"erwst","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Part-time","1987","Female","646","0.118030030215543","0.10934703640366","0.126713024027426","2"
"Full-time","1988","Female","1376","0.238927028858342","0.227185668172866","0.250668389543817","1"
"Full-time","1988","Male","3293","0.623795851095236","0.610304763615454","0.637286938575018","1"
"Non-working","1988","Female","2709","0.581597519781931","0.568014978398383","0.595180061165479","5"
"Non-working","1988","Male","1324","0.317988568589214","0.305019299298192","0.330957837880236","5"
"Other","1988","Female","347","0.0589959162904606","0.0525083864522928","0.0654834461286284","6"
"Other","1988","Male","291","0.048979256000946","0.0429686949331896","0.0549898170687024","6"
"Part-time","1988","Male","45","0.00923632431460419","0.00657223640363789","0.0119004122255705","2"
"Part-time","1988","Female","635","0.120479535069267","0.111516558627407","0.129442511511127","2"
"Full-time","1989","Male","3228","0.628470263079372","0.614773186753692","0.642167339405053","1"
"Full-time","1989","Female","1404","0.249204442587006","0.237127653584934","0.261281231589077","1"
"Non-working","1989","Female","2585","0.573124504179444","0.559314689747645","0.586934318611242","5"
"Non-working","1989","Male","1244","0.312336437215956","0.299199683689569","0.325473190742342","5"
"Other","1989","Male","265","0.0486238115807312","0.0425271883329381","0.0547204348285242","6"
"Other","1989","Female","309","0.0547987849027894","0.0484445927866053","0.0611529770189734","6"
"Part-time","1989","Female","630","0.122872268330761","0.113706453055253","0.13203808360627","2"
"Part-time","1989","Male","44","0.0105694881239408","0.00767075424613674","0.0134682220017449","2"
"Full-time","1990","Male","4846","0.658863560909626","0.647598650580003","0.670128471239249","1"
"Full-time","1990","Female","2563","0.291883665948805","0.281356845973156","0.302410485924453","1"
"Non-working","1990","Female","3204","0.524225051944121","0.512661276099144","0.535788827789098","5"
"Non-working","1990","Male","1559","0.283215204493103","0.272509417130404","0.293920991855803","5"
"Other","1990","Female","347","0.0454475620212938","0.0406248071902675","0.0502703168523201","6"
"Other","1990","Male","319","0.0452627416886736","0.0403232949994548","0.0502021883778924","6"
"Part-time","1990","Female","1051","0.13844372008578","0.130446879287514","0.146440560884046","2"
"Part-time","1990","Male","80","0.012658492908597","0.0100021102447192","0.0153148755724749","2"
"Full-time","1991","Male","4581","0.642805927440947","0.631299570692857","0.654312284189037","1"
"Full-time","1991","Female","2406","0.281083117745398","0.270556963088329","0.291609272402466","1"
"Non-working","1991","Female","3283","0.535189478723294","0.523510502263588","0.546868455183","5"
"Non-working","1991","Male","1658","0.296716774765299","0.285747397934811","0.307686151595787","5"
"Other","1991","Female","414","0.0562687138261703","0.0508727293062611","0.0616646983460794","6"
"Other","1991","Male","344","0.0469311922188572","0.0418526543125506","0.0520097301251638","6"
"Part-time","1991","Female","903","0.127458689705138","0.11964977375942","0.135267605650856","2"
"Part-time","1991","Male","79","0.013546105574897","0.0107702849347125","0.0163219262150814","2"
"Full-time","1992","Male","4305","0.620926329060207","0.609122916397403","0.63272974172301","1"
"Full-time","1992","Female","2220","0.269897926018551","0.259424623648464","0.280371228388638","1"
"Non-working","1992","Male","1787","0.320390338595568","0.309037741618975","0.33174293557216","5"
"Non-working","1992","Female","3459","0.558691215479886","0.546976026870273","0.570406404089499","5"
"Other","1992","Female","350","0.0447155330998975","0.0398392642543645","0.0495918019454306","6"
"Other","1992","Male","327","0.0452093624152205","0.0401546784229872","0.0502640464074538","6"
"Part-time","1992","Female","872","0.126695325401666","0.118847392786791","0.13454325801654","2"
"Part-time","1992","Male","71","0.013473969929005","0.0106690026208266","0.0162789372371834","2"
"Full-time","1993","Female","2131","0.265042326214308","0.254540569654979","0.275544082773636","1"
"Full-time","1993","Male","4147","0.610391691048129","0.59843766630274","0.622345715793518","1"
"Non-working","1993","Male","1862","0.332209974439993","0.320664227439534","0.343755721440452","5"
"Non-working","1993","Female","3398","0.554530213847309","0.542704022578554","0.566356405116064","5"
"Other","1993","Female","397","0.052774293609678","0.0474542999178275","0.0580942873015285","6"
"Other","1993","Male","323","0.0461037798781247","0.0409631709133784","0.051244388842871","6"
"Part-time","1993","Female","859","0.127653166328705","0.119712927684828","0.135593404972583","2"
"Part-time","1993","Male","61","0.0112945546337533","0.00870417297077764","0.013884936296729","2"
"Full-time","1994","Female","2016","0.254809275210052","0.244378359767922","0.265240190652181","1"
"Full-time","1994","Male","3984","0.598743202185672","0.586581697946545","0.610904706424799","1"
"Non-working","1994","Male","1911","0.346871249969785","0.335061536806105","0.358680963133464","5"
"Non-working","1994","Female","3451","0.571040213386921","0.559192822298974","0.582887604474867","5"
"Other","1994","Female","410","0.0512825775425202","0.0460025711423429","0.0565625839426975","6"
"Other","1994","Male","286","0.0428086495017958","0.0377861379701879","0.0478311610334036","6"
"Part-time","1994","Female","827","0.122867933860508","0.115009556860417","0.130726310860598","2"
"Part-time","1994","Male","59","0.0115768983427474","0.00892276126098915","0.0142310354245056","2"
"Full-time","1995","Female","2053","0.247705024232574","0.237540798563803","0.257869249901345","1"
"Full-time","1995","Male","4104","0.592931656587786","0.580932764674443","0.604930548501129","1"
"Non-working","1995","Male","1942","0.346069169267883","0.334450603537946","0.357687734997819","5"
"Non-working","1995","Female","3542","0.57461314509581","0.562972082580638","0.586254207610981","5"
"Other","1995","Male","319","0.0447249996492251","0.0396767068436979","0.0497732924547523","6"
"Other","1995","Female","431","0.0540939805313101","0.0487678565078838","0.0594201045547364","6"
"Part-time","1995","Female","903","0.123587850140306","0.115838685395432","0.131337014885181","2"
"Part-time","1995","Male","75","0.0162741744951061","0.0131839382788895","0.0193644107113226","2"
"Full-time","1996","Female","1964","0.239356487568852","0.2292215842933","0.249491390844404","1"
"Full-time","1996","Male","3952","0.585849807633623","0.573701004540366","0.59799861072688","1"
"Non-working","1996","Female","3482","0.572888907275373","0.561139605571591","0.584638208979155","5"
"Non-working","1996","Male","1961","0.352582409353618","0.340798646826856","0.36436617188038","5"
"Other","1996","Male","299","0.0413496561514233","0.0364391361878009","0.0462601761150457","6"
"Other","1996","Female","411","0.0521689769910927","0.0468872245242632","0.0574507294579221","6"
"Part-time","1996","Female","952","0.135585628164682","0.127454061212925","0.14371719511644","2"
"Part-time","1996","Male","103","0.0202181268613359","0.0167467914997131","0.0236894622229586","2"
"Full-time","1997","Female","1922","0.239117161571665","0.228886843150466","0.249347479992864","1"
"Full-time","1997","Male","3823","0.574007620089268","0.561735489636441","0.586279750542095","1"
"Non-working","1997","Female","3458","0.580472716974066","0.568636963942936","0.592308470005195","5"
"Non-working","1997","Male","2027","0.366553592864397","0.354594894880507","0.378512290848287","5"
"Other","1997","Male","294","0.0382508044550317","0.0334907554757996","0.0430108534342638","6"
"Other","1997","Female","397","0.0490692865015336","0.0438883986365716","0.0542501743664956","6"
"Part-time","1997","Female","901","0.131340834952736","0.123239632730624","0.139442037174848","2"
"Part-time","1997","Male","93","0.0211879825913031","0.0176139815960902","0.0247619835865161","2"
"Full-time","1998","Female","2085","0.237940769939777","0.228245978304218","0.247635561575335","1"
"Full-time","1998","Male","4158","0.566925807005202","0.555247903977697","0.578603710032706","1"
"Non-working","1998","Female","3878","0.581028670270427","0.569795544580444","0.59226179596041","5"
"Non-working","1998","Male","2291","0.365020736538826","0.353674309139081","0.37636716393857","5"
"Other","1998","Male","360","0.0463582611918021","0.0414028831368754","0.0513136392467288","6"
"Other","1998","Female","441","0.0459774464568083","0.0412091699805131","0.0507457229331036","6"
"Part-time","1998","Male","107","0.0216951952641704","0.0182616761170109","0.0251287144113298","2"
"Part-time","1998","Female","1007","0.135053113332988","0.127271731899148","0.142834494766829","2"
"Full-time","1999","Female","2020","0.243774309474705","0.233803364952407","0.253745253997003","1"
"Full-time","1999","Male","4041","0.573923813244329","0.56203410077955","0.585813525709108","1"
"Non-working","1999","Female","3563","0.555712758725698","0.544173611255774","0.567251906195622","5"
"Non-working","1999","Male","2116","0.353584844872815","0.342089998153097","0.365079691592533","5"
"Other","1999","Female","534","0.0694443215650269","0.063540867744057","0.0753477753859969","6"
"Other","1999","Male","373","0.0503764628144794","0.0451176202585058","0.055635305370453","6"
"Part-time","1999","Male","115","0.0221148790683773","0.0185790863110601","0.0256506718256945","2"
"Part-time","1999","Female","1006","0.131068610234571","0.123231450307348","0.138905770161794","2"
"Full-time","2000","Female","3206","0.238019438598359","0.230586360307118","0.2454525168896","1"
"Full-time","2000","Male","6881","0.575771866847494","0.566799680709533","0.584744052985456","1"
"Non-working","2000","Female","6470","0.543667152383311","0.534973586284907","0.552360718481715","5"
"Non-working","2000","Male","3951","0.351200530758925","0.342534780947335","0.359866280570516","5"
"Other","2000","Female","902","0.0663613433865907","0.0620168659621879","0.0707058208109934","6"
"Other","2000","Male","616","0.0508511423068413","0.0468628145319724","0.0548394700817102","6"
"Part-time","2000","Male","208","0.0221764600867389","0.0195031479054697","0.0248497722680081","2"
"Part-time","2000","Female","2032","0.15195206563174","0.145686589899637","0.158217541363842","2"
"Full-time","2001","Female","2932","0.238083903729998","0.230293197574275","0.245874609885722","1"
"Full-time","2001","Male","6150","0.564759208122618","0.5553129312953","0.574205484949936","1"
"Non-working","2001","Female","5779","0.535229115216339","0.526105907674462","0.544352322758216","5"
"Non-working","2001","Male","3652","0.36044558250889","0.351297652827526","0.369593512190254","5"
"Other","2001","Female","898","0.0725638933536159","0.0678186278082824","0.0773091588989495","6"
"Other","2001","Male","585","0.0525498622186406","0.0482984992540217","0.0568012251832595","6"
"Part-time","2001","Male","195","0.0222453471498512","0.0194353961168184","0.025055298182884","2"
"Part-time","2001","Female","1872","0.154123087700046","0.147518500648687","0.160727674751406","2"
"Full-time","2002","Male","6476","0.546730926593212","0.537502431131868","0.555959422054555","1"
"Full-time","2002","Female","3095","0.227189025905201","0.219685452705664","0.234692599104738","1"
"Non-working","2002","Female","5844","0.541141957584018","0.53221851185355","0.550065403314486","5"
"Non-working","2002","Male","3893","0.379697281197789","0.370700511064567","0.388694051331012","5"
"Other","2002","Female","946","0.0760228730124936","0.07127673286909","0.0807690131558973","6"
"Other","2002","Male","609","0.0534181043138358","0.0492495125008193","0.0575866961268523","6"
"Part-time","2002","Female","2094","0.155646143498287","0.149154282138474","0.1621380048581","2"
"Part-time","2002","Male","200","0.0201536878951633","0.017548600581707","0.0227587752086197","2"
"Full-time","2003","Male","5992","0.530720628981048","0.521278352568284","0.540162905393813","1"
"Full-time","2003","Female","2879","0.22274274921279","0.21515975584876","0.230325742576819","1"
"Non-working","2003","Female","5710","0.545423327283809","0.53634873912812","0.554497915439498","5"
"Non-working","2003","Male","3926","0.39386934060189","0.384624760121548","0.403113921082232","5"
"Other","2003","Female","913","0.0760670947027094","0.071235670963477","0.0808985184419417","6"
"Other","2003","Male","595","0.0518238024639599","0.0476297181618117","0.056017886766108","6"
"Part-time","2003","Female","2064","0.155766828800692","0.149157989491509","0.162375668109874","2"
"Part-time","2003","Male","218","0.0235862279531021","0.0207149569334151","0.0264574989727891","2"
"Full-time","2004","Male","5767","0.521710275662781","0.512123181832265","0.531297369493296","1"
"Full-time","2004","Female","2768","0.220210680839143","0.212571622133051","0.227849739545235","1"
"Non-working","2004","Female","5596","0.544515123173786","0.535334461761488","0.553695784586084","5"
"Non-working","2004","Male","3870","0.402691371911792","0.393278713168081","0.412104030655503","5"
"Other","2004","Female","963","0.0827157175322929","0.0776378892131876","0.0877935458513982","6"
"Other","2004","Male","578","0.0524483919541546","0.0481698648998268","0.0567269190084823","6"
"Part-time","2004","Female","1977","0.152558478454778","0.145930134135309","0.159186822774246","2"
"Part-time","2004","Male","214","0.0231499604712729","0.0202638308416763","0.0260360901008694","2"
"Full-time","2005","Male","5391","0.521547478499036","0.51173071380999","0.531364243188083","1"
"Full-time","2005","Female","2610","0.219905454733878","0.212117474379246","0.227693435088511","1"
"Non-working","2005","Male","3797","0.396258029172249","0.386645962961196","0.405870095383301","5"
"Non-working","2005","Female","5410","0.538729619120595","0.529356234525442","0.548103003715747","5"
"Other","2005","Female","964","0.0855838713376172","0.0803236850073005","0.090844057667934","6"
"Other","2005","Male","544","0.0575896041875734","0.0530114110192069","0.0621677973559398","6"
"Part-time","2005","Female","1881","0.15578105480791","0.148962095594934","0.162600014020886","2"
"Part-time","2005","Male","215","0.0246048881411419","0.0215604790023446","0.0276492972799391","2"
"Full-time","2006","Female","2714","0.215998407379265","0.20854311497833","0.223453699780199","1"
"Full-time","2006","Male","5616","0.518717438992208","0.509239600676126","0.52819527730829","1"
"Non-working","2006","Male","4175","0.394305755298715","0.385035598286466","0.403575912310964","5"
"Non-working","2006","Female","5862","0.539746361221469","0.530716638564333","0.548776083878605","5"
"Other","2006","Female","1062","0.0897782683285668","0.0845993370681286","0.0949571995890051","6"
"Other","2006","Male","639","0.0619733492647715","0.057399794529048","0.0665469040004951","6"
"Part-time","2006","Female","2066","0.1544769630707","0.147929462901958","0.161024463239441","2"
"Part-time","2006","Male","246","0.0250034564443054","0.0220417270810379","0.0279651858075729","2"
"Full-time","2007","Female","2548","0.218978284085023","0.211238368071667","0.226718200098379","1"
"Full-time","2007","Male","5338","0.527687627935414","0.5179013766778","0.537473879193027","1"
"Non-working","2007","Male","3828","0.384436143079388","0.374900238278292","0.393972047880484","5"
"Non-working","2007","Female","5395","0.523441875012272","0.514094356370205","0.532789393654339","5"
"Other","2007","Female","965","0.0900315389777052","0.0846746249519327","0.0953884530034778","6"
"Other","2007","Male","596","0.0601715796183349","0.0555099985826429","0.064833160654027","6"
"Part-time","2007","Female","2059","0.167548301925","0.16055867965557","0.17453792419443","2"
"Part-time","2007","Male","235","0.0277046493668635","0.024487370705549","0.030921928028178","2"
"Full-time","2008","Female","2514","0.231067080230181","0.222927131622026","0.239207028838336","1"
"Full-time","2008","Male","5014","0.53748917838976","0.527401835951291","0.54757652082823","1"
"Non-working","2008","Male","3572","0.371400429354046","0.361624924554121","0.381175934153972","5"
"Non-working","2008","Female","4932","0.505742766961105","0.496087823067662","0.515397710854548","5"
"Other","2008","Male","581","0.0662763305211394","0.0612434182048736","0.0713092428374052","6"
"Other","2008","Female","942","0.0953622770475196","0.0896903054096403","0.101034248685399","6"
"Part-time","2008","Female","1913","0.167827875761194","0.160611036571171","0.175044714951218","2"
"Part-time","2008","Male","218","0.0248340617350539","0.0216856313692286","0.0279824921008792","2"
"Full-time","2009","Female","2372","0.239011651244496","0.230475096727286","0.247548205761706","1"
"Full-time","2009","Male","4616","0.529096573674115","0.518651598162367","0.539541549185864","1"
"Non-working","2009","Female","4522","0.494086043356498","0.484078587069767","0.504093499643229","5"
"Non-working","2009","Male","3426","0.379706098404924","0.369550709297178","0.38986148751267","5"
"Other","2009","Male","511","0.0652242732605418","0.0600573458048973","0.0703912007161863","6"
"Other","2009","Female","920","0.100376290111091","0.0943613667954169","0.106391213426765","6"
"Part-time","2009","Female","1774","0.166526015287915","0.15906889501377","0.173983135562061","2"
"Part-time","2009","Male","220","0.0259730546604188","0.0226447656827476","0.0293013436380899","2"
"Full-time","2010","Female","2639","0.239801167930635","0.232544657163311","0.247057678697959","1"
"Full-time","2010","Male","6384","0.521614749252382","0.512334816654976","0.530894681849788","1"
"Non-working","2010","Female","6557","0.488262235671334","0.479766736547796","0.496757734794872","5"
"Non-working","2010","Male","3716","0.382210458963012","0.373183269470232","0.391237648455792","5"
"Other","2010","Male","677","0.0673193277565606","0.0626643525365623","0.0719743029765589","6"
"Other","2010","Female","1403","0.101905358873443","0.0967637603535741","0.107046957393311","6"
"Part-time","2010","Female","2700","0.170031237524588","0.163646635527156","0.17641583952202","2"
"Part-time","2010","Male","354","0.0288554640280456","0.0257456317534048","0.0319652963026865","2"
"Full-time","2011","Female","3394","0.25095535634309","0.244202230280328","0.257708482405853","1"
"Full-time","2011","Male","7434","0.534547780759532","0.526031417895752","0.543064143623312","1"
"Non-working","2011","Female","7299","0.489572901060622","0.481786651529923","0.497359150591321","5"
"Non-working","2011","Male","4634","0.373475787720674","0.365216863240119","0.38173471220123","5"
"Other","2011","Male","722","0.0615757212056537","0.0574715288167252","0.0656799135945822","6"
"Other","2011","Female","1588","0.0909516289345482","0.0864729337273488","0.0954303241417476","6"
"Part-time","2011","Male","388","0.0304007103141399","0.0274694030160768","0.033332017612203","2"
"Part-time","2011","Female","3553","0.16852011366174","0.162689630889967","0.174350596433513","2"
"Full-time","2012","Female","3409","0.249577599762693","0.24274584885758","0.256409350667805","1"
"Full-time","2012","Male","7091","0.534093327409245","0.52547177151697","0.54271488330152","1"
"Non-working","2012","Female","6887","0.482252909847398","0.474364806567149","0.490141013127646","5"
"Non-working","2012","Male","4533","0.370673194386497","0.36232560049953","0.379020788273463","5"
"Other","2012","Female","1590","0.0925533489644789","0.0879784348377899","0.0971282630911679","6"
"Other","2012","Male","812","0.0639065442105568","0.0596792752769026","0.068133813144211","6"
"Part-time","2012","Male","424","0.0313269339937015","0.0283161807362977","0.0343376872511052","2"
"Part-time","2012","Female","3529","0.175616141425431","0.169609616526174","0.181622666324688","2"
"Full-time","2013","Female","3763","0.240670099218481","0.234245096392055","0.247095102044907","1"
"Full-time","2013","Male","7918","0.525418805261177","0.517236955168491","0.533600655353863","1"
"Non-working","2013","Female","7298","0.476637456448314","0.46913087145045","0.484144041446178","5"
"Non-working","2013","Male","4828","0.373930366791219","0.366002613317199","0.38185812026524","5"
"Other","2013","Female","1993","0.100347973569497","0.0958321331308905","0.104863814008104","6"
"Other","2013","Male","1053","0.0683381578664537","0.0642038364485399","0.0724724792843674","6"
"Part-time","2013","Male","510","0.0323126700811501","0.0294153438404457","0.0352099963218544","2"
"Part-time","2013","Female","3952","0.182344470763708","0.176541124394035","0.18814781713338","2"
"Full-time","2014","Female","3342","0.239859569289987","0.233026993190746","0.246692145389229","1"
"Full-time","2014","Male","6902","0.519450141516705","0.51078701204719","0.52811327098622","1"
"Non-working","2014","Male","4422","0.367635644260323","0.359275261891315","0.375996026629332","5"
"Non-working","2014","Female","6414","0.471682040389292","0.463694162930191","0.479669917848393","5"
"Other","2014","Female","1801","0.104071564340405","0.0991854712369264","0.108957657443883","6"
"Other","2014","Male","990","0.0752255514864591","0.0706522035371641","0.0797988994357541","6"
"Part-time","2014","Male","463","0.0376886627365128","0.0343865126475187","0.0409908128255069","2"
"Part-time","2014","Female","3446","0.184386825980316","0.178181478629137","0.190592173331495","2"
"Full-time","2015","Male","6823","0.518167985447549","0.509466824971145","0.526869145923954","1"
"Full-time","2015","Female","3306","0.243181741628426","0.236280394046823","0.25008308921003","1"
"Non-working","2015","Female","6379","0.462317920657225","0.45429734087441","0.470338500440039","5"
"Non-working","2015","Male","4380","0.366916681107302","0.358523854957904","0.375309507256701","5"
"Other","2015","Female","1695","0.099478886360555","0.0946640112644214","0.104293761456689","6"
"Other","2015","Male","969","0.0771302173002907","0.0724842456625442","0.0817761889380372","6"
"Part-time","2015","Female","3464","0.195021451353794","0.188647540811038","0.201395361896549","2"
"Part-time","2015","Male","496","0.0377851161448579","0.0344647155756789","0.0411055167140369","2"
"Full-time","2016","Male","6176","0.512691917134763","0.504477390751777","0.520906443517749","1"
"Full-time","2016","Female","3125","0.252012547671289","0.245109941274319","0.258915154068259","1"
"Non-working","2016","Female","7268","0.457823166284456","0.449902271732374","0.465744060836538","5"
"Non-working","2016","Male","6410","0.368866772316322","0.360937236292374","0.376796308340271","5"
"Other","2016","Female","1528","0.0938431522413883","0.0892069982468124","0.0984793062359642","6"
"Other","2016","Male","1062","0.0749168769823071","0.070590416936955","0.0792433370276592","6"
"Part-time","2016","Female","3277","0.196321133802867","0.19000604194956","0.202636225656174","2"
"Part-time","2016","Male","575","0.0435244335666075","0.0401712603385731","0.046877606794642","2"
"Full-time","2017","Male","7185","0.519416948021617","0.511672691621192","0.527161204422043","1"
"Full-time","2017","Female","3572","0.250392818839383","0.243863148585354","0.256922489093413","1"
"Non-working","2017","Female","7997","0.450278749216986","0.442780231278544","0.457777267155428","5"
"Non-working","2017","Male","6904","0.363639183202755","0.356182863998265","0.371095502407245","5"
"Other","2017","Male","1221","0.0753498775253344","0.0712585200122687","0.0794412350384001","6"
"Other","2017","Female","1635","0.0991789125108957","0.0946739374688593","0.103683887552932","6"
"Part-time","2017","Female","3707","0.200149519432735","0.194119133220698","0.206179905644772","2"
"Part-time","2017","Male","679","0.041593991250293","0.0384992274961508","0.0446887550044352","2"
"Full-time","2018","Male","6904","0.524744271315319","0.516695475626929","0.532793067003709","1"
"Full-time","2018","Female","3477","0.254456671128655","0.247682556628893","0.261230785628418","1"
"Non-working","2018","Male","5832","0.350534782752863","0.342844596155757","0.358224969349969","5"
"Non-working","2018","Female","7256","0.446558300563449","0.438826436846861","0.454290164280036","5"
"Other","2018","Female","1541","0.0933977466153862","0.0888720465910969","0.0979234466396755","6"
"Other","2018","Male","1237","0.0746392897683203","0.0704035170665892","0.0788750624700514","6"
"Part-time","2018","Female","3607","0.20558728169251","0.19930191840513","0.21187264497989","2"
"Part-time","2018","Male","815","0.0500816561634978","0.0465662472595505","0.0535970650674451","2"
"Full-time","2019","Female","3639","0.25748590036584","0.250553898750507","0.264417901981173","1"
"Full-time","2019","Male","7662","0.528941618579855","0.520932395991978","0.536950841167731","1"
"Non-working","2019","Male","5237","0.346104884340589","0.33847167739782","0.353738091283358","5"
"Non-working","2019","Female","6570","0.438076664078191","0.430210859176437","0.445942468979946","5"
"Other","2019","Female","1452","0.085751160870019","0.0813121951689697","0.0901901265710683","6"
"Other","2019","Male","1171","0.0701190536837752","0.0660219135016183","0.074216193865932","6"
"Part-time","2019","Female","3623","0.21868627468595","0.21213308005831","0.225239469313589","2"
"Part-time","2019","Male","851","0.0548344433957811","0.051181610636582","0.0584872761549803","2"
