"erwst","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Non-working","1984","higher education","West Germany","170","0.24426109054095","0.214357417573887","0.274164763508014"
"Non-working","1984","higher education","East Germany","","","",""
"Other","1984","in school","West Germany","1","","",""
"Other","1984","in school","East Germany","","","",""
"Other","1984","inadequately","West Germany","26","","",""
"Other","1984","inadequately","East Germany","","","",""
"Other","1984","general elemantary","West Germany","403","0.114654982626921","0.104051188512626","0.125258776741217"
"Other","1984","general elemantary","East Germany","","","",""
"Other","1984","middle vocational","West Germany","286","0.0453761428193147","0.0399848828354319","0.0507674028031975"
"Other","1984","middle vocational","East Germany","","","",""
"Other","1984","vocational + Abi","West Germany","9","","",""
"Other","1984","vocational + Abi","East Germany","","","",""
"Other","1984","higher vocational","West Germany","25","","",""
"Other","1984","higher vocational","East Germany","","","",""
"Other","1984","higher education","West Germany","28","","",""
"Other","1984","higher education","East Germany","","","",""
"Full-time","1985","in school","West Germany","","","",""
"Full-time","1985","in school","East Germany","","","",""
"Full-time","1985","inadequately","West Germany","429","0.388339258735919","0.355555767759249","0.421122749712588"
"Full-time","1985","inadequately","East Germany","","","",""
"Full-time","1985","general elemantary","West Germany","1028","0.235917405774449","0.220920785608102","0.250914025940796"
"Full-time","1985","general elemantary","East Germany","","","",""
"Full-time","1985","middle vocational","West Germany","2712","0.475749499329767","0.462172976621909","0.489326022037624"
"Full-time","1985","middle vocational","East Germany","","","",""
"Full-time","1985","vocational + Abi","West Germany","161","0.503977525313213","0.445414252736308","0.562540797890117"
"Full-time","1985","vocational + Abi","East Germany","","","",""
"Full-time","1985","higher vocational","West Germany","355","0.54415976591929","0.504988118908701","0.583331412929879"
"Full-time","1985","higher vocational","East Germany","","","",""
"Full-time","1985","higher education","West Germany","521","0.660801876800067","0.627098311680614","0.69450544191952"
"Full-time","1985","higher education","East Germany","","","",""
"Part-time","1985","in school","West Germany","1","","",""
"Part-time","1985","in school","East Germany","","","",""
"Part-time","1985","inadequately","West Germany","27","","",""
"Part-time","1985","inadequately","East Germany","","","",""
"Part-time","1985","general elemantary","West Germany","207","0.0680426948696783","0.0591479804698027","0.0769374092695539"
"Part-time","1985","general elemantary","East Germany","","","",""
"Part-time","1985","middle vocational","West Germany","391","0.0718760416346295","0.0648546205185092","0.0788974627507499"
"Part-time","1985","middle vocational","East Germany","","","",""
"Part-time","1985","vocational + Abi","West Germany","19","","",""
"Part-time","1985","vocational + Abi","East Germany","","","",""
"Part-time","1985","higher vocational","West Germany","55","0.0791615822689612","0.0579266324509489","0.100396532086974"
"Part-time","1985","higher vocational","East Germany","","","",""
"Part-time","1985","higher education","West Germany","50","0.0634464152680798","0.0460930643890119","0.0807997661471477"
"Part-time","1985","higher education","East Germany","","","",""
"Non-working","1985","in school","West Germany","181","0.966362593209511","0.940521636012065","0.992203550406956"
"Non-working","1985","in school","East Germany","","","",""
"Non-working","1985","inadequately","West Germany","375","0.531442150257759","0.49787582077674","0.565008479738779"
"Non-working","1985","inadequately","East Germany","","","",""
"Non-working","1985","general elemantary","West Germany","1587","0.61364263111051","0.596443931621429","0.630841330599592"
"Non-working","1985","general elemantary","East Germany","","","",""
"Non-working","1985","middle vocational","West Germany","1917","0.420536110116696","0.407116348885552","0.433955871347839"
"Non-working","1985","middle vocational","East Germany","","","",""
"Non-working","1985","vocational + Abi","West Germany","90","0.400549908714089","0.343154928668324","0.457944888759855"
"Non-working","1985","vocational + Abi","East Germany","","","",""
"Non-working","1985","higher vocational","West Germany","192","0.347084128329696","0.309643055784968","0.384525200874423"
"Non-working","1985","higher vocational","East Germany","","","",""
"Non-working","1985","higher education","West Germany","164","0.246654537709272","0.215967488387915","0.277341587030629"
"Non-working","1985","higher education","East Germany","","","",""
"Other","1985","in school","West Germany","5","","",""
"Other","1985","in school","East Germany","","","",""
"Other","1985","inadequately","West Germany","18","","",""
"Other","1985","inadequately","East Germany","","","",""
"Other","1985","general elemantary","West Germany","257","0.0823972682453619","0.0726848583611848","0.092109678129539"
"Other","1985","general elemantary","East Germany","","","",""
"Other","1985","middle vocational","West Germany","178","0.0318383489189079","0.0270654838097341","0.0366112140280816"
"Other","1985","middle vocational","East Germany","","","",""
"Other","1985","vocational + Abi","West Germany","10","","",""
"Other","1985","vocational + Abi","East Germany","","","",""
"Other","1985","higher vocational","West Germany","19","","",""
"Other","1985","higher vocational","East Germany","","","",""
"Other","1985","higher education","West Germany","23","","",""
"Other","1985","higher education","East Germany","","","",""
"Full-time","1986","in school","West Germany","1","","",""
"Full-time","1986","in school","East Germany","","","",""
"Full-time","1986","inadequately","West Germany","394","0.420375518367275","0.385954270271784","0.454796766462765"
"Full-time","1986","inadequately","East Germany","","","",""
"Full-time","1986","general elemantary","West Germany","967","0.233797378913526","0.218456471723202","0.249138286103851"
"Full-time","1986","general elemantary","East Germany","","","",""
"Full-time","1986","middle vocational","West Germany","2638","0.475842361642543","0.462020226559864","0.489664496725221"
"Full-time","1986","middle vocational","East Germany","","","",""
"Full-time","1986","vocational + Abi","West Germany","165","0.525114226374474","0.466413001297702","0.583815451451246"
"Full-time","1986","vocational + Abi","East Germany","","","",""
"Full-time","1986","higher vocational","West Germany","333","0.535675970639253","0.495192710797562","0.576159230480944"
"Full-time","1986","higher vocational","East Germany","","","",""
"Full-time","1986","higher education","West Germany","485","0.631085745152436","0.596576534454814","0.665594955850057"
"Full-time","1986","higher education","East Germany","","","",""
"Part-time","1986","in school","West Germany","","","",""
"Part-time","1986","in school","East Germany","","","",""
"Part-time","1986","inadequately","West Germany","22","","",""
"Part-time","1986","inadequately","East Germany","","","",""
"Part-time","1986","general elemantary","West Germany","178","0.0607864623129805","0.0521259214897225","0.0694470031362384"
"Part-time","1986","general elemantary","East Germany","","","",""
"Part-time","1986","middle vocational","West Germany","306","0.0583077600571963","0.0518224566757657","0.0647930634386269"
"Part-time","1986","middle vocational","East Germany","","","",""
"Part-time","1986","vocational + Abi","West Germany","13","","",""
"Part-time","1986","vocational + Abi","East Germany","","","",""
"Part-time","1986","higher vocational","West Germany","42","0.0632942967223799","0.0435292572848716","0.0830593361598882"
"Part-time","1986","higher vocational","East Germany","","","",""
"Part-time","1986","higher education","West Germany","77","0.0933407354622937","0.0725348701081672","0.11414660081642"
"Part-time","1986","higher education","East Germany","","","",""
"Non-working","1986","in school","West Germany","183","0.96689807400888","0.941324810972316","0.992471337045444"
"Non-working","1986","in school","East Germany","","","",""
"Non-working","1986","inadequately","West Germany","351","0.49849404743937","0.463628010990338","0.533360083888402"
"Non-working","1986","inadequately","East Germany","","","",""
"Non-working","1986","general elemantary","West Germany","1478","0.608210250953442","0.590516789304741","0.625903712602143"
"Non-working","1986","general elemantary","East Germany","","","",""
"Non-working","1986","middle vocational","West Germany","1846","0.424397792195757","0.410718601438865","0.438076982952648"
"Non-working","1986","middle vocational","East Germany","","","",""
"Non-working","1986","vocational + Abi","West Germany","87","0.38422047543693","0.327042527144232","0.441398423729628"
"Non-working","1986","vocational + Abi","East Germany","","","",""
"Non-working","1986","higher vocational","West Germany","188","0.372350801988236","0.333109044498304","0.411592559478168"
"Non-working","1986","higher vocational","East Germany","","","",""
"Non-working","1986","higher education","West Germany","164","0.248013733592409","0.21712707396295","0.278900393221868"
"Non-working","1986","higher education","East Germany","","","",""
"Other","1986","in school","West Germany","4","","",""
"Other","1986","in school","East Germany","","","",""
"Other","1986","inadequately","West Germany","23","","",""
"Other","1986","inadequately","East Germany","","","",""
"Other","1986","general elemantary","West Germany","301","0.0972059078200518","0.0864684841049684","0.107943331535135"
"Other","1986","general elemantary","East Germany","","","",""
"Other","1986","middle vocational","West Germany","225","0.0414520861045042","0.0359352163458699","0.0469689558631384"
"Other","1986","middle vocational","East Germany","","","",""
"Other","1986","vocational + Abi","West Germany","13","","",""
"Other","1986","vocational + Abi","East Germany","","","",""
"Other","1986","higher vocational","West Germany","20","","",""
"Other","1986","higher vocational","East Germany","","","",""
"Other","1986","higher education","West Germany","25","","",""
"Other","1986","higher education","East Germany","","","",""
"Full-time","1987","in school","West Germany","","","",""
"Full-time","1987","in school","East Germany","","","",""
"Full-time","1987","inadequately","West Germany","363","0.42013028195574","0.385062122695456","0.455198441216023"
"Full-time","1987","inadequately","East Germany","","","",""
"Full-time","1987","general elemantary","West Germany","916","0.233395122258047","0.217884663342785","0.248905581173309"
"Full-time","1987","general elemantary","East Germany","","","",""
"Full-time","1987","middle vocational","West Germany","2639","0.47819863680601","0.464333354213741","0.49206391939828"
"Full-time","1987","middle vocational","East Germany","","","",""
"Full-time","1987","vocational + Abi","West Germany","161","0.49364954277642","0.43487886952277","0.552420216030071"
"Full-time","1987","vocational + Abi","East Germany","","","",""
"Full-time","1987","higher vocational","West Germany","318","0.527906459157768","0.486887515218646","0.568925403096891"
"Full-time","1987","higher vocational","East Germany","","","",""
"Full-time","1987","higher education","West Germany","513","0.653205212472343","0.619005478747872","0.687404946196814"
"Full-time","1987","higher education","East Germany","","","",""
"Part-time","1987","in school","West Germany","3","","",""
"Part-time","1987","in school","East Germany","","","",""
"Part-time","1987","inadequately","West Germany","33","0.0314884971855984","0.019081001832195","0.0438959925390019"
"Part-time","1987","inadequately","East Germany","","","",""
"Part-time","1987","general elemantary","West Germany","193","0.0734092523066927","0.0638458516500836","0.0829726529633018"
"Part-time","1987","general elemantary","East Germany","","","",""
"Part-time","1987","middle vocational","West Germany","340","0.065649020534139","0.0587745207606377","0.0725235203076402"
"Part-time","1987","middle vocational","East Germany","","","",""
"Part-time","1987","vocational + Abi","West Germany","15","","",""
"Part-time","1987","vocational + Abi","East Germany","","","",""
"Part-time","1987","higher vocational","West Germany","49","0.074831773269301","0.0532122889438447","0.0964512575947573"
"Part-time","1987","higher vocational","East Germany","","","",""
"Part-time","1987","higher education","West Germany","49","0.061218658035938","0.0439926061643478","0.0784447099075283"
"Part-time","1987","higher education","East Germany","","","",""
"Non-working","1987","in school","West Germany","182","0.934738455646173","0.899711278734888","0.969765632557459"
"Non-working","1987","in school","East Germany","","","",""
"Non-working","1987","inadequately","West Germany","340","0.487340136838416","0.451827206314684","0.522853067362148"
"Non-working","1987","inadequately","East Germany","","","",""
"Non-working","1987","general elemantary","West Germany","1418","0.592218553240868","0.574198847011443","0.610238259470293"
"Non-working","1987","general elemantary","East Germany","","","",""
"Non-working","1987","middle vocational","West Germany","1792","0.41850008640752","0.404807214130725","0.432192958684315"
"Non-working","1987","middle vocational","East Germany","","","",""
"Non-working","1987","vocational + Abi","West Germany","87","0.373815767339303","0.316942842329754","0.430688692348852"
"Non-working","1987","vocational + Abi","East Germany","","","",""
"Non-working","1987","higher vocational","West Germany","190","0.372754191888219","0.33302386761887","0.412484516157568"
"Non-working","1987","higher vocational","East Germany","","","",""
"Non-working","1987","higher education","West Germany","161","0.258788587378521","0.227317972229938","0.290259202527104"
"Non-working","1987","higher education","East Germany","","","",""
"Other","1987","in school","West Germany","6","","",""
"Other","1987","in school","East Germany","","","",""
"Other","1987","inadequately","West Germany","25","","",""
"Other","1987","inadequately","East Germany","","","",""
"Other","1987","general elemantary","West Germany","330","0.100977072194392","0.0899289176199074","0.112025226768877"
"Other","1987","general elemantary","East Germany","","","",""
"Other","1987","middle vocational","West Germany","215","0.0376522562523307","0.0323686131663386","0.0429358993383227"
"Other","1987","middle vocational","East Germany","","","",""
"Other","1987","vocational + Abi","West Germany","15","","",""
"Other","1987","vocational + Abi","East Germany","","","",""
"Other","1987","higher vocational","West Germany","12","","",""
"Other","1987","higher vocational","East Germany","","","",""
"Other","1987","higher education","West Germany","21","","",""
"Other","1987","higher education","East Germany","","","",""
"Full-time","1988","in school","West Germany","","","",""
"Full-time","1988","in school","East Germany","","","",""
"Full-time","1988","inadequately","West Germany","321","0.386148970027262","0.350133551184605","0.422164388869919"
"Full-time","1988","inadequately","East Germany","","","",""
"Full-time","1988","general elemantary","West Germany","876","0.229330539033143","0.2135835911585","0.245077486907786"
"Full-time","1988","general elemantary","East Germany","","","",""
"Full-time","1988","middle vocational","West Germany","2463","0.47055417477347","0.456370227936326","0.484738121610613"
"Full-time","1988","middle vocational","East Germany","","","",""
"Full-time","1988","vocational + Abi","West Germany","151","0.501308422466328","0.441778959739682","0.560837885192974"
"Full-time","1988","vocational + Abi","East Germany","","","",""
"Full-time","1988","higher vocational","West Germany","316","0.558284401871798","0.516438920002839","0.600129883740757"
"Full-time","1988","higher vocational","East Germany","","","",""
"Full-time","1988","higher education","West Germany","487","0.672857725561907","0.638151331705858","0.707564119417956"
"Full-time","1988","higher education","East Germany","","","",""
"Part-time","1988","in school","West Germany","3","","",""
"Part-time","1988","in school","East Germany","","","",""
"Part-time","1988","inadequately","West Germany","35","0.0366678856262957","0.0227648227061524","0.0505709485464391"
"Part-time","1988","inadequately","East Germany","","","",""
"Part-time","1988","general elemantary","West Germany","194","0.0743534794756063","0.0645268494750891","0.0841801094761235"
"Part-time","1988","general elemantary","East Germany","","","",""
"Part-time","1988","middle vocational","West Germany","340","0.0692088974780047","0.0619963515391672","0.0764214434168421"
"Part-time","1988","middle vocational","East Germany","","","",""
"Part-time","1988","vocational + Abi","West Germany","13","","",""
"Part-time","1988","vocational + Abi","East Germany","","","",""
"Part-time","1988","higher vocational","West Germany","41","0.064265894822191","0.0436018199242705","0.0849299697201116"
"Part-time","1988","higher vocational","East Germany","","","",""
"Part-time","1988","higher education","West Germany","48","0.0618057381113787","0.0439926047300423","0.0796188714927152"
"Part-time","1988","higher education","East Germany","","","",""
"Non-working","1988","in school","West Germany","156","0.961243022968098","0.93161205514418","0.990873990792017"
"Non-working","1988","in school","East Germany","","","",""
"Non-working","1988","inadequately","West Germany","329","0.538567669561667","0.501690830786544","0.57544450833679"
"Non-working","1988","inadequately","East Germany","","","",""
"Non-working","1988","general elemantary","West Germany","1335","0.59521387909528","0.576828156614699","0.613599601575861"
"Non-working","1988","general elemantary","East Germany","","","",""
"Non-working","1988","middle vocational","West Germany","1756","0.42408165282109","0.410037785613433","0.438125520028746"
"Non-working","1988","middle vocational","East Germany","","","",""
"Non-working","1988","vocational + Abi","West Germany","88","0.376385912627517","0.318704208256915","0.434067616998119"
"Non-working","1988","vocational + Abi","East Germany","","","",""
"Non-working","1988","higher vocational","West Germany","169","0.352113139261575","0.311865523301192","0.392360755221959"
"Non-working","1988","higher vocational","East Germany","","","",""
"Non-working","1988","higher education","West Germany","147","0.239100622143123","0.207548141967974","0.270653102318271"
"Non-working","1988","higher education","East Germany","","","",""
"Other","1988","in school","West Germany","4","","",""
"Other","1988","in school","East Germany","","","",""
"Other","1988","inadequately","West Germany","17","","",""
"Other","1988","inadequately","East Germany","","","",""
"Other","1988","general elemantary","West Germany","333","0.10110210239597","0.0898102122395402","0.112393992552401"
"Other","1988","general elemantary","East Germany","","","",""
"Other","1988","middle vocational","West Germany","198","0.0361552749274362","0.030850452061332","0.0414600977935404"
"Other","1988","middle vocational","East Germany","","","",""
"Other","1988","vocational + Abi","West Germany","19","","",""
"Other","1988","vocational + Abi","East Germany","","","",""
"Other","1988","higher vocational","West Germany","15","","",""
"Other","1988","higher vocational","East Germany","","","",""
"Other","1988","higher education","West Germany","20","","",""
"Other","1988","higher education","East Germany","","","",""
"Full-time","1989","in school","West Germany","2","","",""
"Full-time","1989","in school","East Germany","","","",""
"Full-time","1989","inadequately","West Germany","297","0.394399498032282","0.35711421765445","0.431684778410114"
"Full-time","1989","inadequately","East Germany","","","",""
"Full-time","1989","general elemantary","West Germany","869","0.23253807884549","0.216265457300082","0.248810700390898"
"Full-time","1989","general elemantary","East Germany","","","",""
"Full-time","1989","middle vocational","West Germany","2461","0.48447854808581","0.470095750590088","0.498861345581533"
"Full-time","1989","middle vocational","East Germany","","","",""
"Full-time","1989","vocational + Abi","West Germany","162","0.513654443249031","0.456129381576779","0.571179504921282"
"Full-time","1989","vocational + Abi","East Germany","","","",""
"Full-time","1989","higher vocational","West Germany","304","0.556898069294594","0.514037008297612","0.599759130291575"
"Full-time","1989","higher vocational","East Germany","","","",""
"Full-time","1989","higher education","West Germany","481","0.656321099090579","0.621112874853548","0.691529323327609"
"Full-time","1989","higher education","East Germany","","","",""
"Part-time","1989","in school","West Germany","4","","",""
"Part-time","1989","in school","East Germany","","","",""
"Part-time","1989","inadequately","West Germany","31","0.0350764397117415","0.0210408607637358","0.0491120186597473"
"Part-time","1989","inadequately","East Germany","","","",""
"Part-time","1989","general elemantary","West Germany","184","0.0754649935536252","0.0652904129796277","0.0856395741276227"
"Part-time","1989","general elemantary","East Germany","","","",""
"Part-time","1989","middle vocational","West Germany","340","0.0709823613454531","0.0635919277329453","0.078372794957961"
"Part-time","1989","middle vocational","East Germany","","","",""
"Part-time","1989","vocational + Abi","West Germany","18","","",""
"Part-time","1989","vocational + Abi","East Germany","","","",""
"Part-time","1989","higher vocational","West Germany","40","0.0698368670728223","0.0478458570987845","0.0918278770468602"
"Part-time","1989","higher vocational","East Germany","","","",""
"Part-time","1989","higher education","West Germany","51","0.0646700218218123","0.0464376388791116","0.082902404764513"
"Part-time","1989","higher education","East Germany","","","",""
"Non-working","1989","in school","West Germany","163","0.95058607942951","0.91847540345771","0.98269675540131"
"Non-working","1989","in school","East Germany","","","",""
"Non-working","1989","inadequately","West Germany","314","0.515538248556378","0.477410925294148","0.553665571818608"
"Non-working","1989","inadequately","East Germany","","","",""
"Non-working","1989","general elemantary","West Germany","1234","0.590405161749736","0.571462789099295","0.609347534400177"
"Non-working","1989","general elemantary","East Germany","","","",""
"Non-working","1989","middle vocational","West Germany","1660","0.411360627383751","0.397198818359854","0.425522436407649"
"Non-working","1989","middle vocational","East Germany","","","",""
"Non-working","1989","vocational + Abi","West Germany","101","0.383992908504677","0.32801669080165","0.439969126207705"
"Non-working","1989","vocational + Abi","East Germany","","","",""
"Non-working","1989","higher vocational","West Germany","159","0.35208731734396","0.310876932373744","0.393297702314175"
"Non-working","1989","higher vocational","East Germany","","","",""
"Non-working","1989","higher education","West Germany","144","0.245310748091728","0.213413598581474","0.277207897601983"
"Non-working","1989","higher education","East Germany","","","",""
"Other","1989","in school","West Germany","6","","",""
"Other","1989","in school","East Germany","","","",""
"Other","1989","inadequately","West Germany","18","","",""
"Other","1989","inadequately","East Germany","","","",""
"Other","1989","general elemantary","West Germany","302","0.101591765851149","0.0899545743191407","0.113228957383157"
"Other","1989","general elemantary","East Germany","","","",""
"Other","1989","middle vocational","West Germany","177","0.0331784631849851","0.0280239932616501","0.03833293310832"
"Other","1989","middle vocational","East Germany","","","",""
"Other","1989","vocational + Abi","West Germany","9","","",""
"Other","1989","vocational + Abi","East Germany","","","",""
"Other","1989","higher vocational","West Germany","13","","",""
"Other","1989","higher vocational","East Germany","","","",""
"Other","1989","higher education","West Germany","23","","",""
"Other","1989","higher education","East Germany","","","",""
"Full-time","1990","in school","West Germany","","","",""
"Full-time","1990","in school","East Germany","","","",""
"Full-time","1990","inadequately","West Germany","291","0.434559969482254","0.3961259508401","0.472993988124408"
"Full-time","1990","inadequately","East Germany","5","","",""
"Full-time","1990","general elemantary","West Germany","862","0.242973630238464","0.226121376943498","0.259825883533431"
"Full-time","1990","general elemantary","East Germany","98","0.162199765689955","0.1305763927703","0.19382313860961"
"Full-time","1990","middle vocational","West Germany","2377","0.480183334906831","0.465684046251446","0.494682623562217"
"Full-time","1990","middle vocational","East Germany","1725","0.634127884823512","0.615410609933755","0.652845159713269"
"Full-time","1990","vocational + Abi","West Germany","155","0.504435122191921","0.447380609380255","0.561489635003586"
"Full-time","1990","vocational + Abi","East Germany","55","0.677913958855885","0.575519527743256","0.780308389968514"
"Full-time","1990","higher vocational","West Germany","297","0.553276147225877","0.510297071040332","0.596255223411422"
"Full-time","1990","higher vocational","East Germany","214","0.743964800765113","0.690812234106763","0.797117367423463"
"Full-time","1990","higher education","West Germany","475","0.653820177747401","0.618601818677155","0.689038536817646"
"Full-time","1990","higher education","East Germany","785","0.766876413280751","0.740630825087895","0.793122001473607"
"Part-time","1990","in school","West Germany","4","","",""
"Part-time","1990","in school","East Germany","","","",""
"Part-time","1990","inadequately","West Germany","36","0.0378797495297664","0.0230779032685657","0.0526815957909671"
"Part-time","1990","inadequately","East Germany","","","",""
"Part-time","1990","general elemantary","West Germany","179","0.0750726900785743","0.0647184628025335","0.0854269173546151"
"Part-time","1990","general elemantary","East Germany","42","0.0625891113032182","0.0418099875788321","0.0833682350276043"
"Part-time","1990","middle vocational","West Germany","373","0.0812604162488439","0.0733307704197124","0.0891900620779753"
"Part-time","1990","middle vocational","East Germany","284","0.100374029505292","0.0886970314135141","0.112051027597071"
"Part-time","1990","vocational + Abi","West Germany","20","","",""
"Part-time","1990","vocational + Abi","East Germany","8","","",""
"Part-time","1990","higher vocational","West Germany","43","0.0721202387477629","0.0497566776434105","0.0944837998521152"
"Part-time","1990","higher vocational","East Germany","6","","",""
"Part-time","1990","higher education","West Germany","60","0.0874245562394144","0.0665152227462158","0.108333889732613"
"Part-time","1990","higher education","East Germany","68","0.0704528595456398","0.0545679211847622","0.0863377979065174"
"Non-working","1990","in school","West Germany","154","0.934934934246866","0.896954912060691","0.972914956433041"
"Non-working","1990","in school","East Germany","32","1","1","1"
"Non-working","1990","inadequately","West Germany","295","0.485778080073613","0.447026277244865","0.52452988290236"
"Non-working","1990","inadequately","East Germany","6","","",""
"Non-working","1990","general elemantary","West Germany","1181","0.584103968802588","0.564737057231132","0.603470880374043"
"Non-working","1990","general elemantary","East Germany","262","0.602065553200476","0.560076073131544","0.644055033269407"
"Non-working","1990","middle vocational","West Germany","1636","0.404352161967474","0.390109448918258","0.418594875016689"
"Non-working","1990","middle vocational","East Germany","517","0.259467365756141","0.242433900465436","0.276500831046846"
"Non-working","1990","vocational + Abi","West Germany","108","0.369533084306098","0.314452961837236","0.424613206774959"
"Non-working","1990","vocational + Abi","East Germany","15","","",""
"Non-working","1990","higher vocational","West Germany","163","0.357229317308698","0.31580378398675","0.398654850630647"
"Non-working","1990","higher vocational","East Germany","38","0.231409369797656","0.180048044480523","0.28277069511479"
"Non-working","1990","higher education","West Germany","152","0.239697076527739","0.208095133860763","0.271299019194714"
"Non-working","1990","higher education","East Germany","142","0.159176396939378","0.136467695837203","0.181885098041554"
"Other","1990","in school","West Germany","4","","",""
"Other","1990","in school","East Germany","","","",""
"Other","1990","inadequately","West Germany","17","","",""
"Other","1990","inadequately","East Germany","","","",""
"Other","1990","general elemantary","West Germany","266","0.0978497108803735","0.0861751078373052","0.109524313923442"
"Other","1990","general elemantary","East Germany","120","0.173145569806351","0.140686724935423","0.20560441467728"
"Other","1990","middle vocational","West Germany","175","0.0342040868768511","0.0289293629147906","0.0394788108389117"
"Other","1990","middle vocational","East Germany","18","","",""
"Other","1990","vocational + Abi","West Germany","12","","",""
"Other","1990","vocational + Abi","East Germany","2","","",""
"Other","1990","higher vocational","West Germany","11","","",""
"Other","1990","higher vocational","East Germany","1","","",""
"Other","1990","higher education","West Germany","14","","",""
"Other","1990","higher education","East Germany","2","","",""
"Full-time","1991","in school","West Germany","","","",""
"Full-time","1991","in school","East Germany","","","",""
"Full-time","1991","inadequately","West Germany","290","0.451095421824395","0.412115266917087","0.490075576731704"
"Full-time","1991","inadequately","East Germany","3","","",""
"Full-time","1991","general elemantary","West Germany","836","0.241856369881494","0.224813342968627","0.25889939679436"
"Full-time","1991","general elemantary","East Germany","76","0.132583189900844","0.101626410145472","0.163539969656216"
"Full-time","1991","middle vocational","West Germany","2376","0.473868020948344","0.45940725148796","0.488328790408729"
"Full-time","1991","middle vocational","East Germany","1434","0.554971332211082","0.534946449096084","0.57499621532608"
"Full-time","1991","vocational + Abi","West Germany","179","0.540267363148441","0.484788918299106","0.595745807997777"
"Full-time","1991","vocational + Abi","East Germany","48","0.666332196461354","0.556653705338024","0.776010687584683"
"Full-time","1991","higher vocational","West Germany","298","0.550321100843061","0.507564245511504","0.593077956174618"
"Full-time","1991","higher vocational","East Germany","188","0.714783837649203","0.65754068181921","0.772026993479196"
"Full-time","1991","higher education","West Germany","482","0.629531264153814","0.594402391402958","0.66466013690467"
"Full-time","1991","higher education","East Germany","700","0.689011633622203","0.659699280399899","0.718323986844508"
"Part-time","1991","in school","West Germany","1","","",""
"Part-time","1991","in school","East Germany","","","",""
"Part-time","1991","inadequately","West Germany","42","0.0549895430872351","0.0371320994909337","0.0728469866835364"
"Part-time","1991","inadequately","East Germany","","","",""
"Part-time","1991","general elemantary","West Germany","179","0.0787411785944236","0.0680214446961704","0.0894609124926768"
"Part-time","1991","general elemantary","East Germany","16","","",""
"Part-time","1991","middle vocational","West Germany","387","0.079993760615125","0.0721370854896076","0.0878504357406423"
"Part-time","1991","middle vocational","East Germany","164","0.0603089556403482","0.050716624367706","0.0699012869129904"
"Part-time","1991","vocational + Abi","West Germany","18","","",""
"Part-time","1991","vocational + Abi","East Germany","2","","",""
"Part-time","1991","higher vocational","West Germany","50","0.0851110287022065","0.0611269226854501","0.109095134718963"
"Part-time","1991","higher vocational","East Germany","5","","",""
