"erwst","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Non-working","1984","Not Working","(1b) general elementary school","1481","0.980489558840899","0.973556907170598","0.987422210511201"
"Non-working","1984","Not Working","(1c) basic vocational qualification","1296","0.972641141698151","0.963926473347733","0.981355810048569"
"Non-working","1984","Not Working","(2b) intermediate general qualification","228","0.954634969850755","0.928361414768331","0.980908524933179"
"Non-working","1984","Not Working","(2a) intermediate vocational","396","0.974650873750472","0.959417627156956","0.989884120343988"
"Non-working","1984","Not Working","(2c_gen) general maturity certificate","215","0.929976952656569","0.897140162704642","0.962813742608496"
"Non-working","1984","Not Working","(2c_voc) vocational maturity certificate","117","0.905045007824809","0.854844693905444","0.955245321744175"
"Non-working","1984","Not Working","(3a) lower tertiary education","57","0.938416229585674","0.878088904942559","0.998743554228788"
"Non-working","1984","Not Working","(3b) higher tertiary education","87","0.898341704881372","0.83881351378381","0.957869895978935"
"Other","1984","Full Time","(0) in school","","","",""
"Other","1984","Full Time","(1a) inadequately completed","8","","",""
"Other","1984","Full Time","(1b) general elementary school","114","0.143554083283891","0.122182063462876","0.164926103104906"
"Other","1984","Full Time","(1c) basic vocational qualification","39","0.0127642712268591","0.00818455432193016","0.0173439881317881"
"Other","1984","Full Time","(2b) intermediate general qualification","66","0.490498714763671","0.405217632289029","0.575779797238312"
"Other","1984","Full Time","(2a) intermediate vocational","23","","",""
"Other","1984","Full Time","(2c_gen) general maturity certificate","18","","",""
"Other","1984","Full Time","(2c_voc) vocational maturity certificate","4","","",""
"Other","1984","Full Time","(3a) lower tertiary education","","","",""
"Other","1984","Full Time","(3b) higher tertiary education","7","","",""
"Other","1984","Part Time","(0) in school","1","","",""
"Other","1984","Part Time","(1a) inadequately completed","16","","",""
"Other","1984","Part Time","(1b) general elementary school","125","0.30706685256177","0.264542176810608","0.349591528312932"
"Other","1984","Part Time","(1c) basic vocational qualification","98","0.159689105977107","0.130737798964027","0.188640412990188"
"Other","1984","Part Time","(2b) intermediate general qualification","67","0.650507297321543","0.558869094391219","0.742145500251867"
"Other","1984","Part Time","(2a) intermediate vocational","47","0.199665159864925","0.148336829549559","0.250993490180291"
"Other","1984","Part Time","(2c_gen) general maturity certificate","47","0.495857144681105","0.399765302933089","0.591948986429121"
"Other","1984","Part Time","(2c_voc) vocational maturity certificate","9","","",""
"Other","1984","Part Time","(3a) lower tertiary education","7","","",""
"Other","1984","Part Time","(3b) higher tertiary education","11","","",""
"Other","1984","Not Working","(0) in school","","","",""
"Other","1984","Not Working","(1a) inadequately completed","2","","",""
"Other","1984","Not Working","(1b) general elementary school","22","","",""
"Other","1984","Not Working","(1c) basic vocational qualification","10","","",""
"Other","1984","Not Working","(2b) intermediate general qualification","12","","",""
"Other","1984","Not Working","(2a) intermediate vocational","3","","",""
"Other","1984","Not Working","(2c_gen) general maturity certificate","13","","",""
"Other","1984","Not Working","(2c_voc) vocational maturity certificate","3","","",""
"Other","1984","Not Working","(3a) lower tertiary education","1","","",""
"Other","1984","Not Working","(3b) higher tertiary education","2","","",""
"Full-time","1985","Full Time","(0) in school","","","",""
"Full-time","1985","Full Time","(1a) inadequately completed","431","0.922452247824723","0.8977955207936","0.947108974855845"
"Full-time","1985","Full Time","(1b) general elementary school","761","0.828141132511694","0.80315873072874","0.853123534294648"
"Full-time","1985","Full Time","(1c) basic vocational qualification","1865","0.935222439556237","0.924432687934655","0.946012191177818"
"Full-time","1985","Full Time","(2b) intermediate general qualification","71","0.557745675035527","0.473966639437227","0.641524710633827"
"Full-time","1985","Full Time","(2a) intermediate vocational","663","0.932520005049468","0.914132971457187","0.950907038641749"
"Full-time","1985","Full Time","(2c_gen) general maturity certificate","53","0.559725125494084","0.448118327840728","0.671331923147441"
"Full-time","1985","Full Time","(2c_voc) vocational maturity certificate","203","0.948260307334355","0.91865261430102","0.977868000367689"
"Full-time","1985","Full Time","(3a) lower tertiary education","154","0.964482810593944","0.93571438662404","0.993251234563849"
"Full-time","1985","Full Time","(3b) higher tertiary education","286","0.947701821201445","0.922675878863483","0.972727763539407"
"Full-time","1985","Part Time","(0) in school","","","",""
"Full-time","1985","Part Time","(1a) inadequately completed","47","0.447942677587168","0.352825982997022","0.543059372177314"
"Full-time","1985","Part Time","(1b) general elementary school","147","0.263483674362047","0.222554203504607","0.304413145219486"
"Full-time","1985","Part Time","(1c) basic vocational qualification","213","0.328927412538436","0.291855901118429","0.365998923958442"
"Full-time","1985","Part Time","(2b) intermediate general qualification","26","","",""
"Full-time","1985","Part Time","(2a) intermediate vocational","65","0.282715733636474","0.225504639431911","0.339926827841038"
"Full-time","1985","Part Time","(2c_gen) general maturity certificate","22","","",""
"Full-time","1985","Part Time","(2c_voc) vocational maturity certificate","32","0.371522860044219","0.266292006036828","0.476753714051609"
"Full-time","1985","Part Time","(3a) lower tertiary education","15","","",""
"Full-time","1985","Part Time","(3b) higher tertiary education","60","0.504517080962959","0.41233189201335","0.596702269912568"
"Full-time","1985","Not Working","(0) in school","","","",""
"Full-time","1985","Not Working","(1a) inadequately completed","4","","",""
"Full-time","1985","Not Working","(1b) general elementary school","25","","",""
"Full-time","1985","Not Working","(1c) basic vocational qualification","26","","",""
"Full-time","1985","Not Working","(2b) intermediate general qualification","5","","",""
"Full-time","1985","Not Working","(2a) intermediate vocational","9","","",""
"Full-time","1985","Not Working","(2c_gen) general maturity certificate","3","","",""
"Full-time","1985","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Full-time","1985","Not Working","(3a) lower tertiary education","2","","",""
"Full-time","1985","Not Working","(3b) higher tertiary education","4","","",""
"Part-time","1985","Full Time","(0) in school","","","",""
"Part-time","1985","Full Time","(1a) inadequately completed","4","","",""
"Part-time","1985","Full Time","(1b) general elementary school","22","","",""
"Part-time","1985","Full Time","(1c) basic vocational qualification","40","0.0210204112402242","0.0147318815367311","0.0273089409437173"
"Part-time","1985","Full Time","(2b) intermediate general qualification","3","","",""
"Part-time","1985","Full Time","(2a) intermediate vocational","18","","",""
"Part-time","1985","Full Time","(2c_gen) general maturity certificate","1","","",""
"Part-time","1985","Full Time","(2c_voc) vocational maturity certificate","4","","",""
"Part-time","1985","Full Time","(3a) lower tertiary education","2","","",""
"Part-time","1985","Full Time","(3b) higher tertiary education","7","","",""
"Part-time","1985","Part Time","(0) in school","","","",""
"Part-time","1985","Part Time","(1a) inadequately completed","21","","",""
"Part-time","1985","Part Time","(1b) general elementary school","156","0.41469281276874","0.368918348696453","0.460467276841027"
"Part-time","1985","Part Time","(1c) basic vocational qualification","224","0.364328754290958","0.326356313218566","0.402301195363351"
"Part-time","1985","Part Time","(2b) intermediate general qualification","20","","",""
"Part-time","1985","Part Time","(2a) intermediate vocational","112","0.455183966777092","0.391916851840074","0.51845108171411"
"Part-time","1985","Part Time","(2c_gen) general maturity certificate","20","","",""
"Part-time","1985","Part Time","(2c_voc) vocational maturity certificate","24","","",""
"Part-time","1985","Part Time","(3a) lower tertiary education","6","","",""
"Part-time","1985","Part Time","(3b) higher tertiary education","33","0.314617839968902","0.22899947307222","0.400236206865583"
"Part-time","1985","Not Working","(0) in school","1","","",""
"Part-time","1985","Not Working","(1a) inadequately completed","2","","",""
"Part-time","1985","Not Working","(1b) general elementary school","6","","",""
"Part-time","1985","Not Working","(1c) basic vocational qualification","10","","",""
"Part-time","1985","Not Working","(2b) intermediate general qualification","2","","",""
"Part-time","1985","Not Working","(2a) intermediate vocational","4","","",""
"Part-time","1985","Not Working","(2c_gen) general maturity certificate","4","","",""
"Part-time","1985","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1985","Not Working","(3a) lower tertiary education","","","",""
"Part-time","1985","Not Working","(3b) higher tertiary education","2","","",""
"Non-working","1985","Full Time","(0) in school","","","",""
"Non-working","1985","Full Time","(1a) inadequately completed","14","","",""
"Non-working","1985","Full Time","(1b) general elementary school","36","0.0446216357344114","0.0309488665559085","0.0582944049129144"
"Non-working","1985","Full Time","(1c) basic vocational qualification","64","0.0333854047717843","0.0255104749684282","0.0412603345751404"
"Non-working","1985","Full Time","(2b) intermediate general qualification","5","","",""
"Non-working","1985","Full Time","(2a) intermediate vocational","13","","",""
"Non-working","1985","Full Time","(2c_gen) general maturity certificate","7","","",""
"Non-working","1985","Full Time","(2c_voc) vocational maturity certificate","7","","",""
"Non-working","1985","Full Time","(3a) lower tertiary education","1","","",""
"Non-working","1985","Full Time","(3b) higher tertiary education","8","","",""
"Non-working","1985","Part Time","(0) in school","4","","",""
"Non-working","1985","Part Time","(1a) inadequately completed","27","","",""
"Non-working","1985","Part Time","(1b) general elementary school","58","0.118273165214877","0.0882692296224657","0.148277100807288"
"Non-working","1985","Part Time","(1c) basic vocational qualification","134","0.227327676691876","0.194258046078368","0.260397307305384"
"Non-working","1985","Part Time","(2b) intermediate general qualification","15","","",""
"Non-working","1985","Part Time","(2a) intermediate vocational","44","0.189087374055987","0.139339112496145","0.238835635615829"
"Non-working","1985","Part Time","(2c_gen) general maturity certificate","29","","",""
"Non-working","1985","Part Time","(2c_voc) vocational maturity certificate","14","","",""
"Non-working","1985","Part Time","(3a) lower tertiary education","8","","",""
"Non-working","1985","Part Time","(3b) higher tertiary education","13","","",""
"Non-working","1985","Not Working","(0) in school","177","0.983939477568979","0.965575114705795","1.00230384043216"
"Non-working","1985","Not Working","(1a) inadequately completed","352","0.977441909335054","0.962103035065244","0.992780783604865"
"Non-working","1985","Not Working","(1b) general elementary school","1263","0.976147445036887","0.967890748232598","0.984404141841176"
"Non-working","1985","Not Working","(1c) basic vocational qualification","1173","0.974788577138867","0.96599543379311","0.983581720484623"
"Non-working","1985","Not Working","(2b) intermediate general qualification","225","0.956723213447323","0.930926178080289","0.982520248814357"
"Non-working","1985","Not Working","(2a) intermediate vocational","374","0.968889679570025","0.95168093773301","0.986098421407041"
"Non-working","1985","Not Working","(2c_gen) general maturity certificate","184","0.918022767820722","0.880003263993119","0.956042271648325"
"Non-working","1985","Not Working","(2c_voc) vocational maturity certificate","112","0.958923371300558","0.923264798392848","0.994581944208268"
"Non-working","1985","Not Working","(3a) lower tertiary education","52","0.919598900058813","0.849009274228571","0.990188525889054"
"Non-working","1985","Not Working","(3b) higher tertiary education","82","0.922016181264959","0.867518485862602","0.976513876667317"
"Other","1985","Full Time","(0) in school","","","",""
"Other","1985","Full Time","(1a) inadequately completed","3","","",""
"Other","1985","Full Time","(1b) general elementary school","57","0.097997958288806","0.0783096540396424","0.11768626253797"
"Other","1985","Full Time","(1c) basic vocational qualification","30","0.010371744431755","0.00593051058717121","0.0148129782763387"
"Other","1985","Full Time","(2b) intermediate general qualification","56","0.387207748886754","0.305038397432595","0.469377100340912"
"Other","1985","Full Time","(2a) intermediate vocational","21","","",""
"Other","1985","Full Time","(2c_gen) general maturity certificate","15","","",""
"Other","1985","Full Time","(2c_voc) vocational maturity certificate","1","","",""
"Other","1985","Full Time","(3a) lower tertiary education","2","","",""
"Other","1985","Full Time","(3b) higher tertiary education","3","","",""
"Other","1985","Part Time","(0) in school","3","","",""
"Other","1985","Part Time","(1a) inadequately completed","10","","",""
"Other","1985","Part Time","(1b) general elementary school","84","0.203550347654337","0.166140738288824","0.24095995701985"
"Other","1985","Part Time","(1c) basic vocational qualification","46","0.0794161564787306","0.0580812071553687","0.100751105802093"
"Other","1985","Part Time","(2b) intermediate general qualification","40","0.391039607095118","0.29587130930214","0.486207904888096"
"Other","1985","Part Time","(2a) intermediate vocational","17","","",""
"Other","1985","Part Time","(2c_gen) general maturity certificate","31","0.337414736665141","0.245655262815633","0.429174210514648"
"Other","1985","Part Time","(2c_voc) vocational maturity certificate","11","","",""
"Other","1985","Part Time","(3a) lower tertiary education","3","","",""
"Other","1985","Part Time","(3b) higher tertiary education","7","","",""
"Other","1985","Not Working","(0) in school","2","","",""
"Other","1985","Not Working","(1a) inadequately completed","2","","",""
"Other","1985","Not Working","(1b) general elementary school","18","","",""
"Other","1985","Not Working","(1c) basic vocational qualification","12","","",""
"Other","1985","Not Working","(2b) intermediate general qualification","7","","",""
"Other","1985","Not Working","(2a) intermediate vocational","4","","",""
"Other","1985","Not Working","(2c_gen) general maturity certificate","9","","",""
"Other","1985","Not Working","(2c_voc) vocational maturity certificate","6","","",""
"Other","1985","Not Working","(3a) lower tertiary education","3","","",""
"Other","1985","Not Working","(3b) higher tertiary education","5","","",""
"Full-time","1986","Full Time","(0) in school","","","",""
"Full-time","1986","Full Time","(1a) inadequately completed","389","0.957532170944744","0.937917013808108","0.977147328081379"
"Full-time","1986","Full Time","(1b) general elementary school","753","0.827206371314251","0.80218453998493","0.852228202643572"
"Full-time","1986","Full Time","(1c) basic vocational qualification","1819","0.958016099470874","0.949019613174709","0.967012585767039"
"Full-time","1986","Full Time","(2b) intermediate general qualification","74","0.534202361600736","0.452728483683536","0.615676239517936"
"Full-time","1986","Full Time","(2a) intermediate vocational","647","0.935167537760872","0.916900785069406","0.953434290452339"
"Full-time","1986","Full Time","(2c_gen) general maturity certificate","53","0.564695058905611","0.452487722908491","0.676902394902731"
"Full-time","1986","Full Time","(2c_voc) vocational maturity certificate","211","0.938237265770033","0.906499850789991","0.969974680750075"
"Full-time","1986","Full Time","(3a) lower tertiary education","145","0.964807388864618","0.935319171629334","0.994295606099903"
"Full-time","1986","Full Time","(3b) higher tertiary education","278","0.872037560710007","0.835720117895167","0.908355003524848"
"Full-time","1986","Part Time","(0) in school","","","",""
"Full-time","1986","Part Time","(1a) inadequately completed","46","0.439062599918791","0.346321515573999","0.531803684263583"
"Full-time","1986","Part Time","(1b) general elementary school","108","0.18007109746685","0.143752926666214","0.216389268267486"
"Full-time","1986","Part Time","(1c) basic vocational qualification","188","0.307118140941171","0.26957622570657","0.344660056175772"
"Full-time","1986","Part Time","(2b) intermediate general qualification","20","","",""
"Full-time","1986","Part Time","(2a) intermediate vocational","62","0.272572874514724","0.215520171469037","0.329625577560411"
"Full-time","1986","Part Time","(2c_gen) general maturity certificate","24","","",""
"Full-time","1986","Part Time","(2c_voc) vocational maturity certificate","27","","",""
"Full-time","1986","Part Time","(3a) lower tertiary education","13","","",""
"Full-time","1986","Part Time","(3b) higher tertiary education","43","0.441854187761987","0.340377215607209","0.543331159916765"
"Full-time","1986","Not Working","(0) in school","1","","",""
"Full-time","1986","Not Working","(1a) inadequately completed","8","","",""
"Full-time","1986","Not Working","(1b) general elementary school","21","","",""
"Full-time","1986","Not Working","(1c) basic vocational qualification","13","","",""
"Full-time","1986","Not Working","(2b) intermediate general qualification","2","","",""
"Full-time","1986","Not Working","(2a) intermediate vocational","8","","",""
"Full-time","1986","Not Working","(2c_gen) general maturity certificate","10","","",""
"Full-time","1986","Not Working","(2c_voc) vocational maturity certificate","2","","",""
"Full-time","1986","Not Working","(3a) lower tertiary education","3","","",""
"Full-time","1986","Not Working","(3b) higher tertiary education","3","","",""
"Part-time","1986","Full Time","(0) in school","","","",""
"Part-time","1986","Full Time","(1a) inadequately completed","4","","",""
"Part-time","1986","Full Time","(1b) general elementary school","18","","",""
"Part-time","1986","Full Time","(1c) basic vocational qualification","18","","",""
"Part-time","1986","Full Time","(2b) intermediate general qualification","3","","",""
"Part-time","1986","Full Time","(2a) intermediate vocational","10","","",""
"Part-time","1986","Full Time","(2c_gen) general maturity certificate","1","","",""
"Part-time","1986","Full Time","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1986","Full Time","(3a) lower tertiary education","2","","",""
"Part-time","1986","Full Time","(3b) higher tertiary education","36","0.0974601561255755","0.065215841238251","0.1297044710129"
"Part-time","1986","Part Time","(0) in school","","","",""
"Part-time","1986","Part Time","(1a) inadequately completed","22","","",""
"Part-time","1986","Part Time","(1b) general elementary school","141","0.392591452738325","0.346435817475208","0.438747088001443"
"Part-time","1986","Part Time","(1c) basic vocational qualification","181","0.318511607296901","0.28059530669872","0.356427907895081"
"Part-time","1986","Part Time","(2b) intermediate general qualification","10","","",""
"Part-time","1986","Part Time","(2a) intermediate vocational","103","0.420221180192124","0.356978494539227","0.48346386584502"
"Part-time","1986","Part Time","(2c_gen) general maturity certificate","13","","",""
"Part-time","1986","Part Time","(2c_voc) vocational maturity certificate","17","","",""
"Part-time","1986","Part Time","(3a) lower tertiary education","10","","",""
"Part-time","1986","Part Time","(3b) higher tertiary education","27","","",""
"Part-time","1986","Not Working","(0) in school","","","",""
"Part-time","1986","Not Working","(1a) inadequately completed","","","",""
"Part-time","1986","Not Working","(1b) general elementary school","5","","",""
"Part-time","1986","Not Working","(1c) basic vocational qualification","9","","",""
"Part-time","1986","Not Working","(2b) intermediate general qualification","1","","",""
"Part-time","1986","Not Working","(2a) intermediate vocational","","","",""
"Part-time","1986","Not Working","(2c_gen) general maturity certificate","","","",""
"Part-time","1986","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1986","Not Working","(3a) lower tertiary education","1","","",""
"Part-time","1986","Not Working","(3b) higher tertiary education","1","","",""
"Non-working","1986","Full Time","(0) in school","","","",""
"Non-working","1986","Full Time","(1a) inadequately completed","12","","",""
"Non-working","1986","Full Time","(1b) general elementary school","33","0.0378344371039661","0.0252069528022892","0.050461921405643"
"Non-working","1986","Full Time","(1c) basic vocational qualification","49","0.0237492148852699","0.0169187470052735","0.0305796827652662"
"Non-working","1986","Full Time","(2b) intermediate general qualification","6","","",""
"Non-working","1986","Full Time","(2a) intermediate vocational","23","","",""
"Non-working","1986","Full Time","(2c_gen) general maturity certificate","3","","",""
"Non-working","1986","Full Time","(2c_voc) vocational maturity certificate","6","","",""
"Non-working","1986","Full Time","(3a) lower tertiary education","","","",""
"Non-working","1986","Full Time","(3b) higher tertiary education","7","","",""
"Non-working","1986","Part Time","(0) in school","4","","",""
"Non-working","1986","Part Time","(1a) inadequately completed","30","0.291295737786057","0.206387205105198","0.376204270466916"
"Non-working","1986","Part Time","(1b) general elementary school","86","0.193300344354511","0.155976522072589","0.230624166636434"
"Non-working","1986","Part Time","(1c) basic vocational qualification","132","0.235629356713703","0.201091069829636","0.27016764359777"
"Non-working","1986","Part Time","(2b) intermediate general qualification","17","","",""
"Non-working","1986","Part Time","(2a) intermediate vocational","44","0.208173733329551","0.15615400499739","0.260193461661712"
"Non-working","1986","Part Time","(2c_gen) general maturity certificate","41","0.342471285935983","0.259613702611617","0.42532886926035"
"Non-working","1986","Part Time","(2c_voc) vocational maturity certificate","21","","",""
"Non-working","1986","Part Time","(3a) lower tertiary education","14","","",""
"Non-working","1986","Part Time","(3b) higher tertiary education","10","","",""
"Non-working","1986","Not Working","(0) in school","179","0.969387711875265","0.944497085215785","0.994278338534745"
"Non-working","1986","Not Working","(1a) inadequately completed","325","0.974267588645439","0.95736269235632","0.991172484934558"
"Non-working","1986","Not Working","(1b) general elementary school","1141","0.980159246483494","0.972199145267068","0.988119347699921"
"Non-working","1986","Not Working","(1c) basic vocational qualification","1102","0.968864184805838","0.95879518002069","0.978933189590986"
"Non-working","1986","Not Working","(2b) intermediate general qualification","205","0.976671005534236","0.956352006106351","0.99699000496212"
"Non-working","1986","Not Working","(2a) intermediate vocational","364","0.966908893323932","0.94890041948756","0.984917367160304"
"Non-working","1986","Not Working","(2c_gen) general maturity certificate","190","0.934408268516252","0.900435894914007","0.968380642118498"
"Non-working","1986","Not Working","(2c_voc) vocational maturity certificate","111","0.967431788092412","0.93513002477003","0.999733551414794"
"Non-working","1986","Not Working","(3a) lower tertiary education","53","0.905968176606566","0.830196907147657","0.981739446065476"
"Non-working","1986","Not Working","(3b) higher tertiary education","80","0.946789434768686","0.899625057750145","0.993953811787228"
"Other","1986","Full Time","(0) in school","","","",""
"Other","1986","Full Time","(1a) inadequately completed","1","","",""
"Other","1986","Full Time","(1b) general elementary school","73","0.108399674636585","0.0878243169977418","0.128975032275427"
"Other","1986","Full Time","(1c) basic vocational qualification","23","","",""
"Other","1986","Full Time","(2b) intermediate general qualification","61","0.385357421358253","0.30586787295407","0.464846969762436"
"Other","1986","Full Time","(2a) intermediate vocational","18","","",""
"Other","1986","Full Time","(2c_gen) general maturity certificate","18","","",""
"Other","1986","Full Time","(2c_voc) vocational maturity certificate","2","","",""
"Other","1986","Full Time","(3a) lower tertiary education","3","","",""
"Other","1986","Full Time","(3b) higher tertiary education","4","","",""
"Other","1986","Part Time","(0) in school","1","","",""
"Other","1986","Part Time","(1a) inadequately completed","12","","",""
"Other","1986","Part Time","(1b) general elementary school","95","0.234037105440314","0.194018671597004","0.274055539283624"
"Other","1986","Part Time","(1c) basic vocational qualification","79","0.138740895048225","0.11060872374486","0.16687306635159"
"Other","1986","Part Time","(2b) intermediate general qualification","63","0.567763538162242","0.475188010199265","0.660339066125218"
"Other","1986","Part Time","(2a) intermediate vocational","25","","",""
"Other","1986","Part Time","(2c_gen) general maturity certificate","48","0.425301636490829","0.338977682301944","0.511625590679714"
"Other","1986","Part Time","(2c_voc) vocational maturity certificate","11","","",""
"Other","1986","Part Time","(3a) lower tertiary education","3","","",""
"Other","1986","Part Time","(3b) higher tertiary education","12","","",""
"Other","1986","Not Working","(0) in school","4","","",""
"Other","1986","Not Working","(1a) inadequately completed","4","","",""
"Other","1986","Not Working","(1b) general elementary school","12","","",""
"Other","1986","Not Working","(1c) basic vocational qualification","19","","",""
"Other","1986","Not Working","(2b) intermediate general qualification","4","","",""
