"erwst","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Part-time","1984","16-34 y.","(1c) basic vocational qualification","56","0.048053550306557","0.0364002228016015","0.0597068778115126"
"Part-time","1984","16-34 y.","(2b) intermediate general qualification","6","","",""
"Part-time","1984","16-34 y.","(2a) intermediate vocational","41","0.0566794405153916","0.0388208333338098","0.0745380476969734"
"Part-time","1984","16-34 y.","(2c_gen) general maturity certificate","10","","",""
"Part-time","1984","16-34 y.","(2c_voc) vocational maturity certificate","14","","",""
"Part-time","1984","16-34 y.","(3a) lower tertiary education","1","","",""
"Part-time","1984","16-34 y.","(3b) higher tertiary education","16","","",""
"Part-time","1984","35-65 y.","(0) in school","","","",""
"Part-time","1984","35-65 y.","(1a) inadequately completed","24","","",""
"Part-time","1984","35-65 y.","(1b) general elementary school","125","0.0908612989722924","0.076729720129872","0.104992877814713"
"Part-time","1984","35-65 y.","(1c) basic vocational qualification","173","0.0695250743851722","0.0595389461134742","0.0795112026568701"
"Part-time","1984","35-65 y.","(2b) intermediate general qualification","10","","",""
"Part-time","1984","35-65 y.","(2a) intermediate vocational","75","0.10866444083232","0.0841869649085009","0.133141916756139"
"Part-time","1984","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Part-time","1984","35-65 y.","(2c_voc) vocational maturity certificate","9","","",""
"Part-time","1984","35-65 y.","(3a) lower tertiary education","11","","",""
"Part-time","1984","35-65 y.","(3b) higher tertiary education","29","","",""
"Part-time","1984","66 and older","(0) in school","","","",""
"Part-time","1984","66 and older","(1a) inadequately completed","","","",""
"Part-time","1984","66 and older","(1b) general elementary school","3","","",""
"Part-time","1984","66 and older","(1c) basic vocational qualification","4","","",""
"Part-time","1984","66 and older","(2b) intermediate general qualification","1","","",""
"Part-time","1984","66 and older","(2a) intermediate vocational","1","","",""
"Part-time","1984","66 and older","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1984","66 and older","(3a) lower tertiary education","","","",""
"Part-time","1984","66 and older","(3b) higher tertiary education","1","","",""
"Non-working","1984","16-34 y.","(0) in school","184","0.982027117977007","0.96303647065532","1.00101776529869"
"Non-working","1984","16-34 y.","(1a) inadequately completed","158","0.514006539584093","0.460162996639284","0.567850082528902"
"Non-working","1984","16-34 y.","(1b) general elementary school","351","0.371146169731983","0.340229406606303","0.402062932857664"
"Non-working","1984","16-34 y.","(1c) basic vocational qualification","302","0.230079397899723","0.207147352683363","0.253011443116083"
"Non-working","1984","16-34 y.","(2b) intermediate general qualification","172","0.4666672851585","0.415416539358845","0.517918030958154"
"Non-working","1984","16-34 y.","(2a) intermediate vocational","140","0.212415676101744","0.180825869208527","0.244005482994961"
"Non-working","1984","16-34 y.","(2c_gen) general maturity certificate","233","0.682321723355661","0.633958921850769","0.730684524860554"
"Non-working","1984","16-34 y.","(2c_voc) vocational maturity certificate","71","0.336958463865397","0.274069161558425","0.399847766172369"
"Non-working","1984","16-34 y.","(3a) lower tertiary education","14","","",""
"Non-working","1984","16-34 y.","(3b) higher tertiary education","33","0.156367349532583","0.103010790141275","0.209723908923892"
"Non-working","1984","35-65 y.","(0) in school","","","",""
"Non-working","1984","35-65 y.","(1a) inadequately completed","270","0.384243435746904","0.349797224564356","0.418689646929453"
"Non-working","1984","35-65 y.","(1b) general elementary school","763","0.564068050192337","0.539686504032357","0.588449596352318"
"Non-working","1984","35-65 y.","(1c) basic vocational qualification","755","0.332331602894175","0.313837200473608","0.350826005314742"
"Non-working","1984","35-65 y.","(2b) intermediate general qualification","44","0.556169164635913","0.447971528915413","0.664366800356413"
"Non-working","1984","35-65 y.","(2a) intermediate vocational","184","0.310158588950869","0.273778075196003","0.346539102705735"
"Non-working","1984","35-65 y.","(2c_gen) general maturity certificate","14","","",""
"Non-working","1984","35-65 y.","(2c_voc) vocational maturity certificate","45","0.276466441017796","0.214169596882465","0.338763285153127"
"Non-working","1984","35-65 y.","(3a) lower tertiary education","32","0.18881356403229","0.130495650916331","0.247131477148249"
"Non-working","1984","35-65 y.","(3b) higher tertiary education","36","0.12806064148476","0.0908026165800431","0.165318666389477"
"Non-working","1984","66 and older","(0) in school","","","",""
"Non-working","1984","66 and older","(1a) inadequately completed","18","","",""
"Non-working","1984","66 and older","(1b) general elementary school","476","0.977026190169972","0.963733655745595","0.990318724594349"
"Non-working","1984","66 and older","(1c) basic vocational qualification","467","0.965164545435587","0.948811978079537","0.981517112791636"
"Non-working","1984","66 and older","(2b) intermediate general qualification","31","0.972203314117531","0.915246175918526","1.02916045231654"
"Non-working","1984","66 and older","(2a) intermediate vocational","139","0.960845894002197","0.929383831569038","0.992307956435356"
"Non-working","1984","66 and older","(2c_gen) general maturity certificate","7","","",""
"Non-working","1984","66 and older","(2c_voc) vocational maturity certificate","35","0.892573683582632","0.797790008480616","0.987357358684648"
"Non-working","1984","66 and older","(3a) lower tertiary education","19","","",""
"Non-working","1984","66 and older","(3b) higher tertiary education","36","0.948794495472869","0.880487922250357","1.01710106869538"
"Other","1984","16-34 y.","(0) in school","1","","",""
"Other","1984","16-34 y.","(1a) inadequately completed","16","","",""
"Other","1984","16-34 y.","(1b) general elementary school","193","0.274484130772551","0.24592606757177","0.303042193973332"
"Other","1984","16-34 y.","(1c) basic vocational qualification","74","0.0442360401396208","0.0330327805366214","0.0554392997426202"
"Other","1984","16-34 y.","(2b) intermediate general qualification","140","0.389749450851831","0.339648698845995","0.439850202857666"
"Other","1984","16-34 y.","(2a) intermediate vocational","47","0.0649336848159701","0.0459026945207264","0.0839646751112138"
"Other","1984","16-34 y.","(2c_gen) general maturity certificate","75","0.230433912704805","0.186689836474086","0.274177988935523"
"Other","1984","16-34 y.","(2c_voc) vocational maturity certificate","10","","",""
"Other","1984","16-34 y.","(3a) lower tertiary education","1","","",""
"Other","1984","16-34 y.","(3b) higher tertiary education","12","","",""
"Other","1984","35-65 y.","(0) in school","","","",""
"Other","1984","35-65 y.","(1a) inadequately completed","10","","",""
"Other","1984","35-65 y.","(1b) general elementary school","61","0.0436718479647601","0.0336235987597911","0.0537200971697292"
"Other","1984","35-65 y.","(1c) basic vocational qualification","66","0.0275712764026046","0.0211424544606635","0.0340000983445457"
"Other","1984","35-65 y.","(2b) intermediate general qualification","5","","",""
"Other","1984","35-65 y.","(2a) intermediate vocational","23","","",""
"Other","1984","35-65 y.","(2c_gen) general maturity certificate","3","","",""
"Other","1984","35-65 y.","(2c_voc) vocational maturity certificate","4","","",""
"Other","1984","35-65 y.","(3a) lower tertiary education","5","","",""
"Other","1984","35-65 y.","(3b) higher tertiary education","8","","",""
"Other","1984","66 and older","(0) in school","","","",""
"Other","1984","66 and older","(1a) inadequately completed","","","",""
"Other","1984","66 and older","(1b) general elementary school","7","","",""
"Other","1984","66 and older","(1c) basic vocational qualification","7","","",""
"Other","1984","66 and older","(2b) intermediate general qualification","","","",""
"Other","1984","66 and older","(2a) intermediate vocational","3","","",""
"Other","1984","66 and older","(2c_gen) general maturity certificate","","","",""
"Other","1984","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Other","1984","66 and older","(3a) lower tertiary education","2","","",""
"Other","1984","66 and older","(3b) higher tertiary education","","","",""
"Full-time","1985","16-34 y.","(0) in school","","","",""
"Full-time","1985","16-34 y.","(1a) inadequately completed","100","0.335993499690792","0.27755987411128","0.394427125270304"
"Full-time","1985","16-34 y.","(1b) general elementary school","365","0.431576710729635","0.397212088236308","0.465941333222961"
"Full-time","1985","16-34 y.","(1c) basic vocational qualification","774","0.699967674319308","0.67322427817947","0.726711070459146"
"Full-time","1985","16-34 y.","(2b) intermediate general qualification","82","0.228521668624527","0.185738515547736","0.271304821701318"
"Full-time","1985","16-34 y.","(2a) intermediate vocational","404","0.692912045898377","0.6560940723679","0.729730019428855"
"Full-time","1985","16-34 y.","(2c_gen) general maturity certificate","55","0.136165923041382","0.098647466984757","0.173684379098008"
"Full-time","1985","16-34 y.","(2c_voc) vocational maturity certificate","114","0.55685761631411","0.488522521898361","0.62519271072986"
"Full-time","1985","16-34 y.","(3a) lower tertiary education","49","0.771991349659758","0.66839136401783","0.875591335301687"
"Full-time","1985","16-34 y.","(3b) higher tertiary education","114","0.692298316364482","0.624303934208106","0.760292698520859"
"Full-time","1985","35-65 y.","(0) in school","","","",""
"Full-time","1985","35-65 y.","(1a) inadequately completed","382","0.550944366919364","0.512676902200813","0.589211831637916"
"Full-time","1985","35-65 y.","(1b) general elementary school","564","0.289606850867237","0.266147031225662","0.313066670508811"
"Full-time","1985","35-65 y.","(1c) basic vocational qualification","1326","0.550891595087343","0.530456784018264","0.571326406156422"
"Full-time","1985","35-65 y.","(2b) intermediate general qualification","20","","",""
"Full-time","1985","35-65 y.","(2a) intermediate vocational","330","0.547982097427256","0.508225349845357","0.587738845009155"
"Full-time","1985","35-65 y.","(2c_gen) general maturity certificate","23","","",""
"Full-time","1985","35-65 y.","(2c_voc) vocational maturity certificate","119","0.628003827457113","0.556392875388665","0.69961477952556"
"Full-time","1985","35-65 y.","(3a) lower tertiary education","120","0.735396408798956","0.667257719952237","0.803535097645675"
"Full-time","1985","35-65 y.","(3b) higher tertiary education","234","0.764577585616604","0.716648457483721","0.812506713749487"
"Full-time","1985","66 and older","(0) in school","","","",""
"Full-time","1985","66 and older","(1a) inadequately completed","","","",""
"Full-time","1985","66 and older","(1b) general elementary school","4","","",""
"Full-time","1985","66 and older","(1c) basic vocational qualification","4","","",""
"Full-time","1985","66 and older","(2b) intermediate general qualification","","","",""
"Full-time","1985","66 and older","(2a) intermediate vocational","3","","",""
"Full-time","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Full-time","1985","66 and older","(2c_voc) vocational maturity certificate","3","","",""
"Full-time","1985","66 and older","(3a) lower tertiary education","2","","",""
"Full-time","1985","66 and older","(3b) higher tertiary education","2","","",""
"Part-time","1985","16-34 y.","(0) in school","1","","",""
"Part-time","1985","16-34 y.","(1a) inadequately completed","6","","",""
"Part-time","1985","16-34 y.","(1b) general elementary school","30","0.0396652321226351","0.0261238506858855","0.0532066135593847"
"Part-time","1985","16-34 y.","(1c) basic vocational qualification","62","0.0563581269355425","0.0429002851398287","0.0698159687312563"
"Part-time","1985","16-34 y.","(2b) intermediate general qualification","12","","",""
"Part-time","1985","16-34 y.","(2a) intermediate vocational","46","0.0692411100204779","0.048978749318401","0.0895034707225547"
"Part-time","1985","16-34 y.","(2c_gen) general maturity certificate","21","","",""
"Part-time","1985","16-34 y.","(2c_voc) vocational maturity certificate","17","","",""
"Part-time","1985","16-34 y.","(3a) lower tertiary education","2","","",""
"Part-time","1985","16-34 y.","(3b) higher tertiary education","16","","",""
"Part-time","1985","35-65 y.","(0) in school","","","",""
"Part-time","1985","35-65 y.","(1a) inadequately completed","21","","",""
"Part-time","1985","35-65 y.","(1b) general elementary school","151","0.118177472206077","0.101480842563325","0.134874101848829"
"Part-time","1985","35-65 y.","(1c) basic vocational qualification","204","0.0905625809763833","0.0787723376692834","0.102352824283483"
"Part-time","1985","35-65 y.","(2b) intermediate general qualification","12","","",""
"Part-time","1985","35-65 y.","(2a) intermediate vocational","87","0.132401123128525","0.105326951944752","0.159475294312297"
"Part-time","1985","35-65 y.","(2c_gen) general maturity certificate","4","","",""
"Part-time","1985","35-65 y.","(2c_voc) vocational maturity certificate","9","","",""
"Part-time","1985","35-65 y.","(3a) lower tertiary education","6","","",""
"Part-time","1985","35-65 y.","(3b) higher tertiary education","25","","",""
"Part-time","1985","66 and older","(0) in school","","","",""
"Part-time","1985","66 and older","(1a) inadequately completed","","","",""
"Part-time","1985","66 and older","(1b) general elementary school","3","","",""
"Part-time","1985","66 and older","(1c) basic vocational qualification","8","","",""
"Part-time","1985","66 and older","(2b) intermediate general qualification","1","","",""
"Part-time","1985","66 and older","(2a) intermediate vocational","1","","",""
"Part-time","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Part-time","1985","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1985","66 and older","(3a) lower tertiary education","","","",""
"Part-time","1985","66 and older","(3b) higher tertiary education","1","","",""
"Non-working","1985","16-34 y.","(0) in school","181","0.966362593209511","0.940521636012065","0.992203550406956"
"Non-working","1985","16-34 y.","(1a) inadequately completed","134","0.581599999317374","0.52057338630108","0.642626612333668"
"Non-working","1985","16-34 y.","(1b) general elementary school","289","0.32903977525853","0.296439652682069","0.361639897834991"
"Non-working","1985","16-34 y.","(1c) basic vocational qualification","247","0.214572004392193","0.190614958831242","0.238529049953144"
"Non-working","1985","16-34 y.","(2b) intermediate general qualification","175","0.479038740531107","0.428136691867542","0.529940789194672"
"Non-working","1985","16-34 y.","(2a) intermediate vocational","124","0.190782168382415","0.159421085711857","0.222143251052974"
"Non-working","1985","16-34 y.","(2c_gen) general maturity certificate","191","0.588148293665085","0.53430775077845","0.641988836551719"
"Non-working","1985","16-34 y.","(2c_voc) vocational maturity certificate","61","0.312304167000608","0.248553144038263","0.376055189962952"
"Non-working","1985","16-34 y.","(3a) lower tertiary education","11","","",""
"Non-working","1985","16-34 y.","(3b) higher tertiary education","39","0.174663179537316","0.118728938577872","0.230597420496759"
"Non-working","1985","35-65 y.","(0) in school","","","",""
"Non-working","1985","35-65 y.","(1a) inadequately completed","242","0.409730758486913","0.371895204003282","0.447566312970544"
"Non-working","1985","35-65 y.","(1b) general elementary school","680","0.558813650056242","0.533132444462639","0.584494855649846"
"Non-working","1985","35-65 y.","(1c) basic vocational qualification","708","0.341234426003498","0.321756001358573","0.360712850648422"
"Non-working","1985","35-65 y.","(2b) intermediate general qualification","43","0.573223564767934","0.462748322659934","0.683698806875935"
"Non-working","1985","35-65 y.","(2a) intermediate vocational","174","0.302372668538638","0.265683923624473","0.339061413452803"
"Non-working","1985","35-65 y.","(2c_gen) general maturity certificate","22","","",""
"Non-working","1985","35-65 y.","(2c_voc) vocational maturity certificate","43","0.29024584432322","0.222999908180058","0.357491780466383"
"Non-working","1985","35-65 y.","(3a) lower tertiary education","28","","",""
"Non-working","1985","35-65 y.","(3b) higher tertiary education","35","0.132862628114961","0.0945174981073199","0.171207758122601"
"Non-working","1985","66 and older","(0) in school","","","",""
"Non-working","1985","66 and older","(1a) inadequately completed","17","","",""
"Non-working","1985","66 and older","(1b) general elementary school","388","0.978074337392538","0.963705423617814","0.992443251167262"
"Non-working","1985","66 and older","(1c) basic vocational qualification","416","0.964062913686685","0.946531042849596","0.981594784523774"
"Non-working","1985","66 and older","(2b) intermediate general qualification","27","","",""
"Non-working","1985","66 and older","(2a) intermediate vocational","133","0.967181492024784","0.937563603379391","0.996799380670176"
"Non-working","1985","66 and older","(2c_gen) general maturity certificate","7","","",""
"Non-working","1985","66 and older","(2c_voc) vocational maturity certificate","29","","",""
"Non-working","1985","66 and older","(3a) lower tertiary education","22","","",""
"Non-working","1985","66 and older","(3b) higher tertiary education","29","","",""
"Other","1985","16-34 y.","(0) in school","5","","",""
"Other","1985","16-34 y.","(1a) inadequately completed","11","","",""
"Other","1985","16-34 y.","(1b) general elementary school","114","0.1997182818892","0.171980163086058","0.227456400692342"
"Other","1985","16-34 y.","(1c) basic vocational qualification","45","0.0291021943529559","0.0192927779748303","0.0389116107310815"
"Other","1985","16-34 y.","(2b) intermediate general qualification","101","0.260963820851037","0.216216171114517","0.305711470587557"
"Other","1985","16-34 y.","(2a) intermediate vocational","29","","",""
"Other","1985","16-34 y.","(2c_gen) general maturity certificate","54","0.203373772873959","0.159341576630013","0.247405969117906"
"Other","1985","16-34 y.","(2c_voc) vocational maturity certificate","11","","",""
"Other","1985","16-34 y.","(3a) lower tertiary education","1","","",""
"Other","1985","16-34 y.","(3b) higher tertiary education","8","","",""
"Other","1985","35-65 y.","(0) in school","","","",""
"Other","1985","35-65 y.","(1a) inadequately completed","4","","",""
"Other","1985","35-65 y.","(1b) general elementary school","41","0.033402026870444","0.0241085072178118","0.0426955465230763"
"Other","1985","35-65 y.","(1c) basic vocational qualification","38","0.0173113979327755","0.0119529873080289","0.0226698085575222"
"Other","1985","35-65 y.","(2b) intermediate general qualification","2","","",""
"Other","1985","35-65 y.","(2a) intermediate vocational","11","","",""
"Other","1985","35-65 y.","(2c_gen) general maturity certificate","1","","",""
"Other","1985","35-65 y.","(2c_voc) vocational maturity certificate","4","","",""
"Other","1985","35-65 y.","(3a) lower tertiary education","7","","",""
"Other","1985","35-65 y.","(3b) higher tertiary education","7","","",""
"Other","1985","66 and older","(0) in school","","","",""
"Other","1985","66 and older","(1a) inadequately completed","","","",""
"Other","1985","66 and older","(1b) general elementary school","4","","",""
"Other","1985","66 and older","(1c) basic vocational qualification","5","","",""
"Other","1985","66 and older","(2b) intermediate general qualification","","","",""
"Other","1985","66 and older","(2a) intermediate vocational","2","","",""
"Other","1985","66 and older","(2c_gen) general maturity certificate","","","",""
"Other","1985","66 and older","(2c_voc) vocational maturity certificate","3","","",""
"Other","1985","66 and older","(3a) lower tertiary education","","","",""
"Other","1985","66 and older","(3b) higher tertiary education","","","",""
"Full-time","1986","16-34 y.","(0) in school","1","","",""
"Full-time","1986","16-34 y.","(1a) inadequately completed","93","0.393743888685897","0.331009581187721","0.456478196184074"
"Full-time","1986","16-34 y.","(1b) general elementary school","341","0.402362406944733","0.368102326564796","0.436622487324671"
"Full-time","1986","16-34 y.","(1c) basic vocational qualification","750","0.723682111446455","0.696825469652675","0.750538753240235"
"Full-time","1986","16-34 y.","(2b) intermediate general qualification","74","0.21304612785298","0.171039954556105","0.255052301149854"
"Full-time","1986","16-34 y.","(2a) intermediate vocational","397","0.692713076549003","0.655547919672743","0.729878233425263"
"Full-time","1986","16-34 y.","(2c_gen) general maturity certificate","61","0.135358009197161","0.0994146544141489","0.171301363980174"
"Full-time","1986","16-34 y.","(2c_voc) vocational maturity certificate","123","0.589443036793795","0.523066514353604","0.655819559233986"
"Full-time","1986","16-34 y.","(3a) lower tertiary education","48","0.771777139809944","0.669749711531302","0.873804568088586"
"Full-time","1986","16-34 y.","(3b) higher tertiary education","98","0.627543196573511","0.553550997376164","0.701535395770857"
"Full-time","1986","35-65 y.","(0) in school","","","",""
"Full-time","1986","35-65 y.","(1a) inadequately completed","350","0.563660917960969","0.523945814483609","0.60337602143833"
"Full-time","1986","35-65 y.","(1b) general elementary school","540","0.306115558201777","0.28133723708067","0.330893879322884"
"Full-time","1986","35-65 y.","(1c) basic vocational qualification","1269","0.552539828076483","0.531633526322576","0.573446129830391"
"Full-time","1986","35-65 y.","(2b) intermediate general qualification","22","","",""
"Full-time","1986","35-65 y.","(2a) intermediate vocational","318","0.535771206898964","0.495392258446047","0.576150155351881"
"Full-time","1986","35-65 y.","(2c_gen) general maturity certificate","26","","",""
"Full-time","1986","35-65 y.","(2c_voc) vocational maturity certificate","115","0.654109999709236","0.581088846667586","0.727131152750885"
"Full-time","1986","35-65 y.","(3a) lower tertiary education","112","0.708166227839198","0.637281132517236","0.779051323161159"
"Full-time","1986","35-65 y.","(3b) higher tertiary education","223","0.722944835080305","0.673205084683389","0.772684585477221"
"Full-time","1986","66 and older","(0) in school","","","",""
"Full-time","1986","66 and older","(1a) inadequately completed","","","",""
"Full-time","1986","66 and older","(1b) general elementary school","1","","",""
"Full-time","1986","66 and older","(1c) basic vocational qualification","1","","",""
"Full-time","1986","66 and older","(2b) intermediate general qualification","","","",""
"Full-time","1986","66 and older","(2a) intermediate vocational","2","","",""
"Full-time","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"Full-time","1986","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Full-time","1986","66 and older","(3a) lower tertiary education","1","","",""
"Full-time","1986","66 and older","(3b) higher tertiary education","3","","",""
"Part-time","1986","16-34 y.","(0) in school","","","",""
"Part-time","1986","16-34 y.","(1a) inadequately completed","11","","",""
"Part-time","1986","16-34 y.","(1b) general elementary school","43","0.0660543616030785","0.0487014532246428","0.0834072699815141"
"Part-time","1986","16-34 y.","(1c) basic vocational qualification","46","0.0505314197232692","0.0373763142000422","0.0636865252464961"
"Part-time","1986","16-34 y.","(2b) intermediate general qualification","8","","",""
"Part-time","1986","16-34 y.","(2a) intermediate vocational","38","0.0580849992471612","0.0392430821583354","0.0769269163359871"
"Part-time","1986","16-34 y.","(2c_gen) general maturity certificate","12","","",""
"Part-time","1986","16-34 y.","(2c_voc) vocational maturity certificate","16","","",""
"Part-time","1986","16-34 y.","(3a) lower tertiary education","4","","",""
"Part-time","1986","16-34 y.","(3b) higher tertiary education","23","","",""
"Part-time","1986","35-65 y.","(0) in school","","","",""
"Part-time","1986","35-65 y.","(1a) inadequately completed","15","","",""
"Part-time","1986","35-65 y.","(1b) general elementary school","119","0.0997663913117089","0.0836541727826739","0.115878609840744"
"Part-time","1986","35-65 y.","(1c) basic vocational qualification","160","0.0732750288262881","0.0623185334549678","0.0842315241976084"
"Part-time","1986","35-65 y.","(2b) intermediate general qualification","5","","",""
"Part-time","1986","35-65 y.","(2a) intermediate vocational","73","0.11043439100264","0.0850573813091677","0.135811400696112"
"Part-time","1986","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"Part-time","1986","35-65 y.","(2c_voc) vocational maturity certificate","3","","",""
"Part-time","1986","35-65 y.","(3a) lower tertiary education","9","","",""
"Part-time","1986","35-65 y.","(3b) higher tertiary education","40","0.11169666242113","0.0766885543037313","0.146704770538529"
"Part-time","1986","66 and older","(0) in school","","","",""
"Part-time","1986","66 and older","(1a) inadequately completed","","","",""
"Part-time","1986","66 and older","(1b) general elementary school","2","","",""
"Part-time","1986","66 and older","(1c) basic vocational qualification","2","","",""
"Part-time","1986","66 and older","(2b) intermediate general qualification","1","","",""
"Part-time","1986","66 and older","(2a) intermediate vocational","2","","",""
"Part-time","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"Part-time","1986","66 and older","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1986","66 and older","(3a) lower tertiary education","","","",""
"Part-time","1986","66 and older","(3b) higher tertiary education","1","","",""
"Non-working","1986","16-34 y.","(0) in school","183","0.961297396050899","0.933798442669417","0.988796349432381"
"Non-working","1986","16-34 y.","(1a) inadequately completed","121","0.529415808226705","0.465326254126153","0.593505362327256"
"Non-working","1986","16-34 y.","(1b) general elementary school","269","0.319794983569796","0.287210078240482","0.352379888899111"
"Non-working","1986","16-34 y.","(1c) basic vocational qualification","223","0.191577309215142","0.167941821459739","0.215212796970544"
"Non-working","1986","16-34 y.","(2b) intermediate general qualification","161","0.428872043121988","0.378099111882442","0.479644974361534"
"Non-working","1986","16-34 y.","(2a) intermediate vocational","123","0.201419141128774","0.169112109582909","0.23372617267464"
"Non-working","1986","16-34 y.","(2c_gen) general maturity certificate","207","0.60591048316308","0.55456997730222","0.65725098902394"
"Non-working","1986","16-34 y.","(2c_voc) vocational maturity certificate","61","0.287483879752759","0.226416264710542","0.348551494794976"
"Non-working","1986","16-34 y.","(3a) lower tertiary education","11","","",""
"Non-working","1986","16-34 y.","(3b) higher tertiary education","34","0.179761364038842","0.120992884400573","0.238529843677111"
"Non-working","1986","35-65 y.","(0) in school","","","",""
"Non-working","1986","35-65 y.","(1a) inadequately completed","225","0.398684405163681","0.359474071538597","0.437894738788766"
"Non-working","1986","35-65 y.","(1b) general elementary school","628","0.558243194719993","0.531544566760717","0.584941822679268"
"Non-working","1986","35-65 y.","(1c) basic vocational qualification","674","0.341576573446782","0.321637044057347","0.361516102836217"
"Non-working","1986","35-65 y.","(2b) intermediate general qualification","38","0.562783673738991","0.447401731001177","0.678165616476806"
"Non-working","1986","35-65 y.","(2a) intermediate vocational","181","0.329083218210695","0.291039191453713","0.367127244967677"
"Non-working","1986","35-65 y.","(2c_gen) general maturity certificate","20","","",""
"Non-working","1986","35-65 y.","(2c_voc) vocational maturity certificate","41","0.304508666154032","0.233860648756155","0.375156683551909"
"Non-working","1986","35-65 y.","(3a) lower tertiary education","33","0.210616616449551","0.147038178516796","0.274195054382306"
"Non-working","1986","35-65 y.","(3b) higher tertiary education","38","0.133715558360655","0.0958896710067031","0.171541445714608"
"Non-working","1986","66 and older","(0) in school","","","",""
"Non-working","1986","66 and older","(1a) inadequately completed","21","","",""
"Non-working","1986","66 and older","(1b) general elementary school","363","0.980654186567433","0.966619630819528","0.994688742315338"
"Non-working","1986","66 and older","(1c) basic vocational qualification","386","0.981572460225958","0.968292559110012","0.994852361341904"
"Non-working","1986","66 and older","(2b) intermediate general qualification","29","","",""
"Non-working","1986","66 and older","(2a) intermediate vocational","127","0.958243843344681","0.924248412590157","0.992239274099205"
"Non-working","1986","66 and older","(2c_gen) general maturity certificate","7","","",""
"Non-working","1986","66 and older","(2c_voc) vocational maturity certificate","36","0.933111198863194","0.854703412225641","1.01151898550075"
