"erwst","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1985","Not Employed","middle vocational","38","0.0123741017631015","0.00715727256570263","0.0175909309605003","1"
"Full-time","1985","Not Employed","vocational + Abi","1","","","","1"
"Full-time","1985","Not Employed","higher vocational","2","","","","1"
"Full-time","1985","Not Employed","higher education","6","","","","1"
"Full-time","1985","Employed","in school","","","","","1"
"Full-time","1985","Employed","inadequately","427","0.763969678721223","0.727006775840006","0.800932581602441","1"
"Full-time","1985","Employed","general elemantary","998","0.573843884598962","0.549153491010884","0.59853427818704","1"
"Full-time","1985","Employed","middle vocational","2674","0.7631224412587","0.748982266687085","0.777262615830314","1"
"Full-time","1985","Employed","vocational + Abi","160","0.766211265989372","0.707700454879103","0.824722077099641","1"
"Full-time","1985","Employed","higher vocational","353","0.783538207229239","0.745571792418315","0.821504622040164","1"
"Full-time","1985","Employed","higher education","515","0.845926783871239","0.817230460120196","0.874623107622281","1"
"Non-working","1985","Not Employed","higher education","134","0.921053474277559","0.87790043434183","0.964206514213288","5"
"Non-working","1985","Employed","in school","4","","","","5"
"Non-working","1985","Not Employed","higher vocational","164","0.976090009629302","0.953057600139553","0.999122419119051","5"
"Non-working","1985","Employed","inadequately","38","0.0899486545745223","0.0650443513655465","0.114852957783498","5"
"Non-working","1985","Not Employed","vocational + Abi","73","0.948400949835773","0.899619872322745","0.997182027348801","5"
"Non-working","1985","Not Employed","in school","177","0.983939477568979","0.965575114705795","1.00230384043216","5"
"Non-working","1985","Not Employed","inadequately","337","0.982670254879519","0.968839845646493","0.996500664112545","5"
"Non-working","1985","Not Employed","general elemantary","1475","0.97295979424212","0.964853499949946","0.981066088534295","5"
"Non-working","1985","Not Employed","middle vocational","1643","0.96788225316741","0.959561984696117","0.976202521638703","5"
"Non-working","1985","Employed","general elemantary","112","0.0749572184515747","0.0618099838686571","0.0881044530344923","5"
"Non-working","1985","Employed","middle vocational","274","0.0810867733415194","0.0720084016426048","0.090165145040434","5"
"Non-working","1985","Employed","vocational + Abi","17","","","","5"
"Non-working","1985","Employed","higher vocational","28","","","","5"
"Non-working","1985","Employed","higher education","30","0.0497389292153432","0.0324580439757691","0.0670198144549173","5"
"Other","1985","Not Employed","general elemantary","25","","","","6"
"Other","1985","Employed","vocational + Abi","5","","","","6"
"Other","1985","Employed","higher vocational","18","","","","6"
"Other","1985","Employed","higher education","15","","","","6"
"Other","1985","Not Employed","inadequately","1","","","","6"
"Other","1985","Not Employed","middle vocational","28","","","","6"
"Other","1985","Not Employed","vocational + Abi","5","","","","6"
"Other","1985","Employed","middle vocational","150","0.0436677240728573","0.0368713013261234","0.0504641468195912","6"
"Other","1985","Not Employed","higher vocational","1","","","","6"
"Other","1985","Not Employed","in school","2","","","","6"
"Other","1985","Not Employed","higher education","8","","","","6"
"Other","1985","Employed","in school","3","","","","6"
"Other","1985","Employed","inadequately","17","","","","6"
"Other","1985","Employed","general elemantary","232","0.187970239121847","0.168463831658403","0.207476646585292","6"
"Part-time","1985","Employed","vocational + Abi","19","","","","2"
"Part-time","1985","Not Employed","general elemantary","8","","","","2"
"Part-time","1985","Employed","higher vocational","53","0.111387594843983","0.0823838902774365","0.140391299410529","2"
"Part-time","1985","Employed","middle vocational","375","0.112123061326924","0.101629580802935","0.122616541850912","2"
"Part-time","1985","Not Employed","inadequately","2","","","","2"
"Part-time","1985","Not Employed","middle vocational","16","","","","2"
"Part-time","1985","Not Employed","vocational + Abi","","","","","2"
"Part-time","1985","Not Employed","higher vocational","2","","","","2"
"Part-time","1985","Employed","higher education","48","0.0792630842862909","0.057789746137194","0.100736422435388","2"
"Part-time","1985","Not Employed","in school","1","","","","2"
"Part-time","1985","Employed","inadequately","25","","","","2"
"Part-time","1985","Employed","general elemantary","199","0.163228657827616","0.144776448384113","0.181680867271119","2"
"Part-time","1985","Not Employed","higher education","2","","","","2"
"Part-time","1985","Employed","in school","","","","","2"
"Full-time","1986","Not Employed","in school","1","","","","1"
"Full-time","1986","Not Employed","inadequately","7","","","","1"
"Full-time","1986","Not Employed","general elemantary","23","","","","1"
"Full-time","1986","Not Employed","middle vocational","29","","","","1"
"Full-time","1986","Not Employed","vocational + Abi","","","","","1"
"Full-time","1986","Not Employed","higher vocational","5","","","","1"
"Full-time","1986","Not Employed","higher education","6","","","","1"
"Full-time","1986","Employed","in school","","","","","1"
"Full-time","1986","Employed","inadequately","387","0.780181383406963","0.74258161591528","0.817781150898646","1"
"Full-time","1986","Employed","general elemantary","944","0.540581132437131","0.515715472878233","0.565446791996029","1"
"Full-time","1986","Employed","middle vocational","2609","0.766219386752122","0.751946918577097","0.780491854927147","1"
"Full-time","1986","Employed","vocational + Abi","165","0.760622279323494","0.702210888772338","0.819033669874649","1"
"Full-time","1986","Employed","higher vocational","328","0.797544456302593","0.759023040818227","0.836065871786958","1"
"Full-time","1986","Employed","higher education","479","0.800905525034786","0.769138686587678","0.832672363481893","1"
"Non-working","1986","Not Employed","higher education","133","0.929086741251299","0.887163128776403","0.971010353726195","5"
"Non-working","1986","Employed","in school","4","","","","5"
"Non-working","1986","Employed","inadequately","38","0.0792951680108309","0.0547628432267187","0.103827492794943","5"
"Non-working","1986","Not Employed","vocational + Abi","70","0.964498241536035","0.922049744926623","1.00694673814545","5"
"Non-working","1986","Not Employed","higher vocational","156","0.955217713976849","0.92365964417426","0.986775783779437","5"
"Non-working","1986","Not Employed","in school","179","0.975301447268009","0.952814643332482","0.997788251203536","5"
"Non-working","1986","Not Employed","inadequately","313","0.975096210447432","0.958128156390443","0.992064264504421","5"
"Non-working","1986","Not Employed","general elemantary","1336","0.979488382560869","0.972012700023249","0.986964065098488","5"
"Non-working","1986","Not Employed","middle vocational","1572","0.966663330446112","0.957967271427747","0.975359389464478","5"
"Non-working","1986","Employed","general elemantary","142","0.0990199633304923","0.0841166067459186","0.113923319915066","5"
"Non-working","1986","Employed","middle vocational","274","0.083572160834991","0.0742396560571382","0.0929046656128438","5"
"Non-working","1986","Employed","vocational + Abi","17","","","","5"
"Non-working","1986","Employed","higher vocational","32","0.071405497741477","0.0467201738672295","0.0960908216157246","5"
"Non-working","1986","Employed","higher education","31","0.0523310049019185","0.0346151702280823","0.0700468395757546","5"
"Other","1986","Not Employed","general elemantary","16","","","","6"
"Other","1986","Employed","vocational + Abi","11","","","","6"
"Other","1986","Employed","higher vocational","16","","","","6"
"Other","1986","Not Employed","vocational + Abi","2","","","","6"
"Other","1986","Not Employed","higher vocational","4","","","","6"
"Other","1986","Employed","higher education","22","","","","6"
"Other","1986","Not Employed","middle vocational","27","","","","6"
"Other","1986","Not Employed","inadequately","4","","","","6"
"Other","1986","Employed","middle vocational","198","0.0589282210328075","0.0509869264114495","0.0668695156541654","6"
"Other","1986","Not Employed","in school","3","","","","6"
"Other","1986","Not Employed","higher education","3","","","","6"
"Other","1986","Employed","in school","1","","","","6"
"Other","1986","Employed","inadequately","19","","","","6"
"Other","1986","Employed","general elemantary","285","0.219525706000814","0.198872516920731","0.240178895080897","6"
"Part-time","1986","Not Employed","general elemantary","6","","","","2"
"Part-time","1986","Not Employed","middle vocational","9","","","","2"
"Part-time","1986","Employed","vocational + Abi","12","","","","2"
"Part-time","1986","Not Employed","inadequately","","","","","2"
"Part-time","1986","Not Employed","vocational + Abi","1","","","","2"
"Part-time","1986","Employed","higher vocational","42","0.0959743493937749","0.0677367407346879","0.124211958052862","2"
"Part-time","1986","Employed","middle vocational","297","0.0912802313800794","0.0815679418058476","0.100992520954311","2"
"Part-time","1986","Not Employed","higher vocational","","","","","2"
"Part-time","1986","Employed","higher education","75","0.115040887302037","0.0896579743918886","0.140423800212186","2"
"Part-time","1986","Not Employed","in school","","","","","2"
"Part-time","1986","Employed","in school","","","","","2"
"Part-time","1986","Employed","inadequately","22","","","","2"
"Part-time","1986","Employed","general elemantary","172","0.140873198231563","0.123514867888637","0.158231528574488","2"
"Part-time","1986","Not Employed","higher education","2","","","","2"
"Full-time","1987","Not Employed","in school","","","","","1"
"Full-time","1987","Not Employed","inadequately","","","","","1"
"Full-time","1987","Not Employed","general elemantary","13","","","","1"
"Full-time","1987","Not Employed","middle vocational","21","","","","1"
"Full-time","1987","Not Employed","vocational + Abi","3","","","","1"
"Full-time","1987","Not Employed","higher vocational","","","","","1"
"Full-time","1987","Not Employed","higher education","6","","","","1"
"Full-time","1987","Employed","in school","","","","","1"
"Full-time","1987","Employed","inadequately","363","0.707915705954465","0.666806031437073","0.749025380471857","1"
"Full-time","1987","Employed","general elemantary","903","0.527146927101991","0.502227683729366","0.552066170474615","1"
"Full-time","1987","Employed","middle vocational","2618","0.762512679020152","0.748185652805182","0.776839705235122","1"
"Full-time","1987","Employed","vocational + Abi","158","0.690646520749219","0.627526098216679","0.753766943281759","1"
"Full-time","1987","Employed","higher vocational","318","0.787000834855978","0.747224255415002","0.826777414296954","1"
"Full-time","1987","Employed","higher education","507","0.839119277512293","0.8097444917263","0.868494063298286","1"
"Non-working","1987","Not Employed","in school","175","0.974722992290282","0.951728437188955","0.997717547391608","5"
"Non-working","1987","Not Employed","inadequately","289","0.998336956735461","0.993655382175262","1.00301853129566","5"
"Non-working","1987","Employed","inadequately","51","0.137311960360617","0.106196213168858","0.168427707552376","5"
"Non-working","1987","Employed","general elemantary","138","0.0892692551366525","0.0750377164192864","0.103500793854019","5"
"Non-working","1987","Not Employed","general elemantary","1280","0.98412600787742","0.977370567746788","0.990881448008052","5"
"Non-working","1987","Employed","vocational + Abi","20","","","","5"
"Non-working","1987","Employed","higher vocational","31","0.0697901593669735","0.0450365549533714","0.0945437637805756","5"
"Non-working","1987","Employed","higher education","28","","","","5"
"Non-working","1987","Employed","middle vocational","242","0.0781377310324658","0.0691017413861136","0.087173720678818","5"
"Non-working","1987","Not Employed","middle vocational","1550","0.979054715606147","0.972031399016948","0.986078032195346","5"
"Non-working","1987","Not Employed","vocational + Abi","67","0.932035088812807","0.873899730834355","0.990170446791258","5"
"Non-working","1987","Not Employed","higher vocational","159","0.990045359361272","0.974758054609465","1.00533266411308","5"
"Non-working","1987","Not Employed","higher education","133","0.947515729898837","0.91096568898284","0.984065770814834","5"
"Non-working","1987","Employed","in school","7","","","","5"
"Other","1987","Not Employed","middle vocational","17","","","","6"
"Other","1987","Not Employed","general elemantary","16","","","","6"
"Other","1987","Employed","higher education","18","","","","6"
"Other","1987","Not Employed","inadequately","2","","","","6"
"Other","1987","Employed","higher vocational","12","","","","6"
"Other","1987","Employed","vocational + Abi","13","","","","6"
"Other","1987","Not Employed","vocational + Abi","2","","","","6"
"Other","1987","Not Employed","in school","3","","","","6"
"Other","1987","Not Employed","higher vocational","","","","","6"
"Other","1987","Not Employed","higher education","3","","","","6"
"Other","1987","Employed","middle vocational","198","0.0566923260188584","0.048906563937639","0.0644780881000779","6"
"Other","1987","Employed","in school","3","","","","6"
"Other","1987","Employed","inadequately","23","","","","6"
"Other","1987","Employed","general elemantary","314","0.219742654326907","0.199075436338377","0.240409872315437","6"
"Part-time","1987","Not Employed","middle vocational","9","","","","2"
"Part-time","1987","Not Employed","vocational + Abi","","","","","2"
"Part-time","1987","Not Employed","general elemantary","6","","","","2"
"Part-time","1987","Not Employed","inadequately","","","","","2"
"Part-time","1987","Employed","vocational + Abi","15","","","","2"
"Part-time","1987","Employed","higher vocational","46","0.10667321010799","0.0766827072497153","0.136663712966265","2"
"Part-time","1987","Employed","middle vocational","331","0.102657263928524","0.0924387833246828","0.112875744532365","2"
"Part-time","1987","Employed","higher education","48","0.0778071900092521","0.0563915239318715","0.0992228560866326","2"
"Part-time","1987","Not Employed","higher vocational","3","","","","2"
"Part-time","1987","Not Employed","in school","1","","","","2"
"Part-time","1987","Employed","in school","2","","","","2"
"Part-time","1987","Employed","inadequately","33","0.0530578315155498","0.032793343369061","0.0733223196620387","2"
"Part-time","1987","Employed","general elemantary","187","0.16384116343445","0.145367126495561","0.182315200373338","2"
"Part-time","1987","Not Employed","higher education","1","","","","2"
"Full-time","1988","Not Employed","in school","","","","","1"
"Full-time","1988","Not Employed","inadequately","4","","","","1"
"Full-time","1988","Not Employed","general elemantary","14","","","","1"
"Full-time","1988","Not Employed","middle vocational","18","","","","1"
"Full-time","1988","Not Employed","vocational + Abi","4","","","","1"
"Full-time","1988","Not Employed","higher vocational","1","","","","1"
"Full-time","1988","Not Employed","higher education","7","","","","1"
"Full-time","1988","Employed","in school","","","","","1"
"Full-time","1988","Employed","inadequately","317","0.746083109126007","0.703535568241836","0.788630650010178","1"
"Full-time","1988","Employed","general elemantary","862","0.510997287223781","0.485925026000751","0.536069548446812","1"
"Full-time","1988","Employed","middle vocational","2445","0.746382440053965","0.731424328177132","0.761340551930798","1"
"Full-time","1988","Employed","vocational + Abi","147","0.714164523571699","0.65154780645337","0.776781240690029","1"
"Full-time","1988","Employed","higher vocational","315","0.826558784596345","0.788981204033246","0.864136365159444","1"
"Full-time","1988","Employed","higher education","480","0.841752197072402","0.811842566390565","0.871661827754239","1"
"Non-working","1988","Not Employed","middle vocational","1463","0.97701907640475","0.969453766449793","0.984584386359707","5"
"Non-working","1988","Not Employed","vocational + Abi","65","0.909399968215121","0.842633168651142","0.976166767779101","5"
"Non-working","1988","Not Employed","higher vocational","146","0.971852027300344","0.94547151346456","0.998232541136129","5"
"Non-working","1988","Not Employed","higher education","119","0.939485691168165","0.898498275273497","0.980473107062833","5"
"Non-working","1988","Employed","in school","3","","","","5"
"Non-working","1988","Employed","inadequately","38","0.119003942200461","0.0873518282039867","0.150656056196935","5"
"Non-working","1988","Employed","general elemantary","156","0.106567119833232","0.091090676839967","0.122043562826497","5"
"Non-working","1988","Employed","middle vocational","293","0.0939375546154706","0.0839074583608352","0.103967650870106","5"
"Non-working","1988","Employed","vocational + Abi","23","","","","5"
"Non-working","1988","Employed","higher vocational","23","","","","5"
"Non-working","1988","Not Employed","in school","153","0.988742352553712","0.972133193938411","1.00535151116901","5"
"Non-working","1988","Not Employed","inadequately","291","0.968593122556805","0.948856604599407","0.988329640514204","5"
"Non-working","1988","Not Employed","general elemantary","1179","0.982306547730028","0.974881387526469","0.989731707933587","5"
"Non-working","1988","Employed","higher education","28","","","","5"
"Other","1988","Employed","higher vocational","13","","","","6"
"Other","1988","Not Employed","general elemantary","12","","","","6"
"Other","1988","Not Employed","vocational + Abi","1","","","","6"
"Other","1988","Employed","higher education","16","","","","6"
"Other","1988","Not Employed","middle vocational","15","","","","6"
"Other","1988","Employed","vocational + Abi","18","","","","6"
"Other","1988","Not Employed","inadequately","4","","","","6"
"Other","1988","Not Employed","higher vocational","2","","","","6"
"Other","1988","Not Employed","in school","2","","","","6"
"Other","1988","Employed","middle vocational","183","0.0525482578099387","0.0448770434097462","0.0602194722101312","6"
"Other","1988","Not Employed","higher education","4","","","","6"
"Other","1988","Employed","in school","2","","","","6"
"Other","1988","Employed","inadequately","13","","","","6"
"Other","1988","Employed","general elemantary","321","0.220207977040575","0.199423720694588","0.240992233386562","6"
"Part-time","1988","Not Employed","general elemantary","6","","","","2"
"Part-time","1988","Not Employed","vocational + Abi","1","","","","2"
"Part-time","1988","Employed","higher education","48","0.0782406811639089","0.0562329558679561","0.100248406459862","2"
"Part-time","1988","Not Employed","middle vocational","11","","","","2"
"Part-time","1988","Employed","vocational + Abi","12","","","","2"
"Part-time","1988","Employed","higher vocational","39","0.0892600175801752","0.0609629473278647","0.117557087832486","2"
"Part-time","1988","Not Employed","inadequately","1","","","","2"
"Part-time","1988","Employed","middle vocational","329","0.107131747520625","0.0964986647228217","0.117764830318429","2"
"Part-time","1988","Not Employed","higher vocational","2","","","","2"
"Part-time","1988","Not Employed","in school","","","","","2"
"Part-time","1988","Not Employed","higher education","","","","","2"
"Part-time","1988","Employed","in school","3","","","","2"
"Part-time","1988","Employed","inadequately","34","0.0710242408854704","0.0459145968754518","0.0961338848954889","2"
"Part-time","1988","Employed","general elemantary","188","0.162227615902411","0.143736888946807","0.180718342858016","2"
"Full-time","1989","Not Employed","vocational + Abi","2","","","","1"
"Full-time","1989","Not Employed","higher vocational","2","","","","1"
"Full-time","1989","Not Employed","higher education","8","","","","1"
"Full-time","1989","Employed","in school","2","","","","1"
"Full-time","1989","Employed","inadequately","295","0.760642818139348","0.71728272193775","0.804002914340946","1"
"Full-time","1989","Not Employed","in school","","","","","1"
"Full-time","1989","Not Employed","inadequately","2","","","","1"
"Full-time","1989","Not Employed","general elemantary","16","","","","1"
"Full-time","1989","Not Employed","middle vocational","21","","","","1"
"Full-time","1989","Employed","general elemantary","853","0.519015827166736","0.493218673280185","0.544812981053286","1"
"Full-time","1989","Employed","middle vocational","2440","0.76577298170331","0.751060081597182","0.780485881809438","1"
"Full-time","1989","Employed","vocational + Abi","160","0.742333501631519","0.683461518062154","0.801205485200884","1"
"Full-time","1989","Employed","higher vocational","302","0.809956945433244","0.770194850490709","0.84971904037578","1"
"Full-time","1989","Employed","higher education","473","0.819588742534563","0.788131405612534","0.851046079456593","1"
"Non-working","1989","Not Employed","in school","153","0.985723401830941","0.96710785948826","1.00433894417362","5"
"Non-working","1989","Not Employed","inadequately","279","0.947465107757378","0.921698491910663","0.973231723604093","5"
"Non-working","1989","Not Employed","general elemantary","1108","0.978264959727904","0.969829949363729","0.986699970092078","5"
"Non-working","1989","Not Employed","middle vocational","1401","0.971121676678158","0.96251690391819","0.979726449438125","5"
"Non-working","1989","Not Employed","vocational + Abi","74","0.97943135325176","0.947932796821863","1.01092990968166","5"
"Non-working","1989","Not Employed","higher vocational","140","0.995271101855924","0.983987322225355","1.00655488148649","5"
"Non-working","1989","Not Employed","higher education","115","0.915254823187232","0.866432145724623","0.964077500649842","5"
"Non-working","1989","Employed","in school","10","","","","5"
"Non-working","1989","Employed","inadequately","35","0.0920640070217202","0.062684184074552","0.121443829968888","5"
"Non-working","1989","Employed","general elemantary","126","0.0969952177602922","0.0817147627349902","0.112275672785594","5"
"Non-working","1989","Employed","middle vocational","259","0.0785530115411735","0.0692065683855098","0.0878994546968373","5"
"Non-working","1989","Employed","vocational + Abi","27","","","","5"
"Non-working","1989","Employed","higher vocational","19","","","","5"
"Non-working","1989","Employed","higher education","29","","","","5"
"Other","1989","Not Employed","vocational + Abi","","","","","6"
"Other","1989","Not Employed","higher vocational","","","","","6"
"Other","1989","Not Employed","middle vocational","20","","","","6"
"Other","1989","Not Employed","general elemantary","20","","","","6"
"Other","1989","Employed","vocational + Abi","9","","","","6"
"Other","1989","Not Employed","inadequately","3","","","","6"
"Other","1989","Not Employed","in school","3","","","","6"
"Other","1989","Employed","middle vocational","157","0.0470433958188547","0.0396878371195349","0.0543989545181745","6"
"Other","1989","Employed","higher vocational","13","","","","6"
"Other","1989","Employed","higher education","21","","","","6"
"Other","1989","Not Employed","higher education","2","","","","6"
"Other","1989","Employed","in school","3","","","","6"
"Other","1989","Employed","inadequately","15","","","","6"
"Other","1989","Employed","general elemantary","282","0.213823222746384","0.19265406195422","0.234992383538547","6"
"Part-time","1989","Employed","vocational + Abi","16","","","","2"
"Part-time","1989","Not Employed","general elemantary","4","","","","2"
"Part-time","1989","Not Employed","vocational + Abi","2","","","","2"
"Part-time","1989","Employed","higher vocational","40","0.101843071000631","0.0711914006929289","0.132494741308334","2"
"Part-time","1989","Employed","higher education","51","0.0827387807165955","0.0602019304464986","0.105275630986692","2"
"Part-time","1989","Not Employed","middle vocational","13","","","","2"
"Part-time","1989","Not Employed","inadequately","4","","","","2"
"Part-time","1989","Employed","middle vocational","327","0.108630610936662","0.0978203857557033","0.11944083611762","2"
"Part-time","1989","Not Employed","higher vocational","","","","","2"
"Part-time","1989","Not Employed","in school","","","","","2"
"Part-time","1989","Not Employed","higher education","","","","","2"
"Part-time","1989","Employed","in school","4","","","","2"
"Part-time","1989","Employed","inadequately","27","","","","2"
"Part-time","1989","Employed","general elemantary","180","0.170165732326589","0.150763672625212","0.189567792027965","2"
"Full-time","1990","Not Employed","vocational + Abi","","","","","1"
"Full-time","1990","Not Employed","higher vocational","1","","","","1"
"Full-time","1990","Not Employed","higher education","6","","","","1"
"Full-time","1990","Employed","in school","","","","","1"
"Full-time","1990","Employed","inadequately","288","0.779507745093198","0.737150172048393","0.821865318138004","1"
"Full-time","1990","Not Employed","in school","","","","","1"
"Full-time","1990","Not Employed","inadequately","3","","","","1"
"Full-time","1990","Not Employed","general elemantary","14","","","","1"
"Full-time","1990","Not Employed","middle vocational","10","","","","1"
"Full-time","1990","Employed","general elemantary","848","0.524709502085772","0.498541036130505","0.55087796804104","1"
"Full-time","1990","Employed","middle vocational","2367","0.75078284837654","0.735641119911651","0.765924576841429","1"
"Full-time","1990","Employed","vocational + Abi","155","0.719213111820189","0.658433817452517","0.779992406187862","1"
"Full-time","1990","Employed","higher vocational","296","0.812198631310702","0.772722492107829","0.851674770513575","1"
"Full-time","1990","Employed","higher education","469","0.823368794219763","0.792006715427342","0.854730873012183","1"
"Non-working","1990","Not Employed","in school","144","0.951988843017655","0.917428627755504","0.986549058279806","5"
"Non-working","1990","Not Employed","inadequately","263","0.959661825777126","0.936236767824576","0.983086883729676","5"
"Non-working","1990","Not Employed","general elemantary","1059","0.988698461973493","0.982420266177828","0.994976657769157","5"
"Non-working","1990","Not Employed","middle vocational","1382","0.975841149168262","0.967871925279794","0.98381037305673","5"
"Non-working","1990","Not Employed","vocational + Abi","85","1","1","1","5"
"Non-working","1990","Not Employed","higher vocational","136","0.991967362153314","0.977074220063133","1.0068605042435","5"
"Non-working","1990","Not Employed","higher education","124","0.957881525659019","0.923745379855671","0.992017671462367","5"
"Non-working","1990","Employed","in school","10","","","","5"
"Non-working","1990","Employed","inadequately","32","0.0892996492218445","0.0601631875426173","0.118436110901072","5"
"Non-working","1990","Employed","general elemantary","122","0.105472812175498","0.089377245592214","0.121568378758782","5"
"Non-working","1990","Employed","middle vocational","254","0.0797549112735003","0.0702716046959682","0.0892382178510324","5"
"Non-working","1990","Employed","vocational + Abi","23","","","","5"
"Non-working","1990","Employed","higher vocational","27","","","","5"
"Non-working","1990","Employed","higher education","28","","","","5"
"Other","1990","Not Employed","inadequately","2","","","","6"
"Other","1990","Not Employed","general elemantary","9","","","","6"
"Other","1990","Not Employed","vocational + Abi","","","","","6"
"Other","1990","Not Employed","middle vocational","13","","","","6"
"Other","1990","Not Employed","higher vocational","1","","","","6"
"Other","1990","Employed","vocational + Abi","12","","","","6"
"Other","1990","Employed","higher vocational","10","","","","6"
"Other","1990","Employed","higher education","13","","","","6"
"Other","1990","Not Employed","in school","3","","","","6"
"Other","1990","Employed","middle vocational","162","0.0496420312964207","0.0420388087801348","0.0572452538127066","6"
"Other","1990","Not Employed","higher education","1","","","","6"
"Other","1990","Employed","in school","1","","","","6"
"Other","1990","Employed","inadequately","15","","","","6"
"Other","1990","Employed","general elemantary","257","0.208951685868641","0.18764756201905","0.230255809718232","6"
"Part-time","1990","Not Employed","general elemantary","7","","","","2"
"Part-time","1990","Employed","vocational + Abi","20","","","","2"
"Part-time","1990","Employed","higher vocational","43","0.106183475694784","0.075044320447521","0.137322630942046","2"
"Part-time","1990","Not Employed","middle vocational","21","","","","2"
"Part-time","1990","Not Employed","vocational + Abi","","","","","2"
"Part-time","1990","Employed","higher education","58","0.109828152640337","0.0841142680686024","0.135542037212071","2"
"Part-time","1990","Not Employed","inadequately","3","","","","2"
"Part-time","1990","Not Employed","higher vocational","","","","","2"
