"erwst","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Part-time","1985","Part Time","Female","584","0.50268253057612","0.474298522793976","0.531066538358264"
"Part-time","1985","Not Working","Male","9","","",""
"Part-time","1985","Not Working","Female","23","","",""
"Non-working","1985","Full Time","Male","108","0.0322420836965245","0.0264239989297072","0.0380601684633418"
"Non-working","1985","Full Time","Female","50","0.0296583094887238","0.0209114991534005","0.0384051198240471"
"Non-working","1985","Part Time","Male","173","0.27679532249424","0.243067777553706","0.310522867434774"
"Non-working","1985","Part Time","Female","177","0.141627166844187","0.12183372911657","0.161420604571803"
"Non-working","1985","Not Working","Male","1159","0.959146158153843","0.948119431314004","0.970172884993683"
"Non-working","1985","Not Working","Female","2891","0.972914302714514","0.967100544290024","0.978728061139004"
"Other","1985","Full Time","Male","115","0.0340219378242763","0.028050921167855","0.0399929544806977"
"Other","1985","Full Time","Female","73","0.0597562050323178","0.0475346656982889","0.0719777443663468"
"Other","1985","Part Time","Male","84","0.127302019113586","0.102175960149079","0.152428078078092"
"Other","1985","Part Time","Female","174","0.157910607406852","0.137209445896215","0.178611768917489"
"Other","1985","Not Working","Male","29","","",""
"Other","1985","Not Working","Female","43","0.0119196210463512","0.00803295667283048","0.0158062854198719"
"Full-time","1986","Full Time","Male","3205","0.92711557784024","0.918442766325058","0.935788389355422"
"Full-time","1986","Full Time","Female","1213","0.857548378137995","0.839330977882535","0.875765778393455"
"Full-time","1986","Part Time","Male","311","0.450387759299279","0.411567815794197","0.489207702804362"
"Full-time","1986","Part Time","Female","228","0.16905326138129","0.147865053374755","0.190241469387824"
"Full-time","1986","Not Working","Male","40","0.0241959606581521","0.0154436045318324","0.0329483167844719"
"Full-time","1986","Not Working","Female","33","0.00919680482790422","0.00563617298061909","0.0127574366751893"
"Part-time","1986","Full Time","Male","31","0.00939871315896746","0.00617942944138986","0.0126179968765451"
"Part-time","1986","Full Time","Female","63","0.048577875365166","0.037372426253513","0.0597833244768189"
"Part-time","1986","Part Time","Male","29","","",""
"Part-time","1986","Part Time","Female","501","0.433723250024144","0.40570657617944","0.461739923868847"
"Part-time","1986","Not Working","Male","5","","",""
"Part-time","1986","Not Working","Female","13","","",""
"Non-working","1986","Full Time","Male","84","0.0242744165592267","0.0191397309465409","0.0294091021719125"
"Non-working","1986","Full Time","Female","55","0.0331015687499369","0.0237767993137051","0.0424263381861687"
"Non-working","1986","Part Time","Male","193","0.336564855016968","0.299695373490184","0.373434336543751"
"Non-working","1986","Part Time","Female","211","0.173959020626745","0.152529121309239","0.19538891994425"
"Non-working","1986","Not Working","Male","1117","0.958659424839086","0.947319957087565","0.969998892590607"
"Non-working","1986","Not Working","Female","2678","0.974649064250643","0.968785846546278","0.980512281955008"
"Other","1986","Full Time","Male","131","0.0392112924415657","0.0327354669794572","0.0456871179036742"
"Other","1986","Full Time","Female","83","0.0607721777469023","0.0483195426946249","0.0732248127991796"
"Other","1986","Part Time","Male","98","0.162373221924617","0.13359818484117","0.191148259008065"
"Other","1986","Part Time","Female","262","0.223264467967822","0.199722527926874","0.24680640800877"
"Other","1986","Not Working","Male","22","","",""
"Other","1986","Not Working","Female","37","0.0115329172675564","0.00755032742600821","0.0155155071091047"
"Full-time","1987","Full Time","Male","3215","0.92998773369704","0.921500153106943","0.938475314287137"
"Full-time","1987","Full Time","Female","1210","0.840897071202029","0.821919238599513","0.859874903804546"
"Full-time","1987","Part Time","Male","266","0.415205567847359","0.375711606399345","0.454699529295372"
"Full-time","1987","Part Time","Female","222","0.166594990409021","0.145651921301776","0.187538059516265"
"Full-time","1987","Not Working","Male","19","","",""
"Full-time","1987","Not Working","Female","25","","",""
"Part-time","1987","Full Time","Male","8","","",""
"Part-time","1987","Full Time","Female","53","0.0387632121978123","0.0287479764744321","0.0487784479211925"
"Part-time","1987","Part Time","Male","32","0.0638020143635635","0.0442136332339692","0.0833903954931577"
"Part-time","1987","Part Time","Female","576","0.500206530577213","0.472103621982595","0.52830943917183"
"Part-time","1987","Not Working","Male","3","","",""
"Part-time","1987","Not Working","Female","17","","",""
"Non-working","1987","Full Time","Male","88","0.0222630281190849","0.0173555161319796","0.0271705401061903"
"Non-working","1987","Full Time","Female","51","0.035057191060606","0.0255143992494575","0.0445999828717545"
"Non-working","1987","Part Time","Male","175","0.328740266911995","0.291089896893495","0.366390636930495"
"Non-working","1987","Part Time","Female","209","0.16882321838208","0.147768759087433","0.189877677676726"
"Non-working","1987","Not Working","Male","1103","0.974831487075763","0.965722869311956","0.98394010483957"
"Non-working","1987","Not Working","Female","2587","0.981179329594356","0.976016148075279","0.986342511113433"
"Other","1987","Full Time","Male","161","0.0452851610215378","0.0383688736911237","0.0522014483519518"
"Other","1987","Full Time","Female","113","0.0852825255395524","0.0707911497450636","0.0997739013340412"
"Other","1987","Part Time","Male","125","0.192252150877082","0.160667868935467","0.223836432818697"
"Other","1987","Part Time","Female","209","0.164375260631686","0.14354449774933","0.185206023514043"
"Other","1987","Not Working","Male","11","","",""
"Other","1987","Not Working","Female","32","0.00731480207904765","0.00407713106905666","0.0105524730890386"
"Full-time","1988","Full Time","Male","3006","0.926207748407977","0.917245845868489","0.935169650947466"
"Full-time","1988","Full Time","Female","1129","0.861420425450394","0.842872719129438","0.879968131771351"
"Full-time","1988","Part Time","Male","258","0.4160567014423","0.376616959376815","0.455496443507784"
"Full-time","1988","Part Time","Female","226","0.169226302983129","0.148423775680745","0.190028830285513"
"Full-time","1988","Not Working","Male","29","","",""
"Full-time","1988","Not Working","Female","21","","",""
"Part-time","1988","Full Time","Male","11","","",""
"Part-time","1988","Full Time","Female","38","0.0318325178855252","0.0224083338564104","0.0412567019146399"
"Part-time","1988","Part Time","Male","32","0.0600913015751895","0.0410752167627109","0.079107386387668"
"Part-time","1988","Part Time","Female","578","0.47362774816015","0.445926083926954","0.501329412393347"
"Part-time","1988","Not Working","Male","2","","",""
"Part-time","1988","Not Working","Female","19","","",""
"Non-working","1988","Full Time","Male","91","0.0279768862646632","0.0223238910809304","0.0336298814483959"
"Non-working","1988","Full Time","Female","40","0.0239606126443042","0.0157511326802317","0.0321700926083766"
"Non-working","1988","Part Time","Male","198","0.349374402202708","0.311225365172196","0.387523439233219"
"Non-working","1988","Part Time","Female","247","0.198474219517398","0.176345738793157","0.220602700241639"
"Non-working","1988","Not Working","Male","1035","0.964841970927933","0.953877850327082","0.975806091528783"
"Non-working","1988","Not Working","Female","2422","0.980213115481141","0.974738589855154","0.985687641107129"
"Other","1988","Full Time","Male","161","0.0421661988620407","0.0352770124477703","0.0490553852763111"
"Other","1988","Full Time","Female","126","0.0827864440197764","0.0679937299456126","0.0975791580939402"
"Other","1988","Part Time","Male","112","0.174477594779803","0.144110256237542","0.204844933322064"
"Other","1988","Part Time","Female","197","0.158671729339323","0.138400815992977","0.17894264268567"
"Other","1988","Not Working","Male","18","","",""
"Other","1988","Not Working","Female","24","","",""
"Full-time","1989","Full Time","Male","2965","0.935524888082586","0.927000866187849","0.944048909977322"
"Full-time","1989","Full Time","Female","1170","0.862504733083081","0.844249455063215","0.880760011102947"
"Full-time","1989","Part Time","Male","227","0.381464599856885","0.339953463735162","0.422975735978608"
"Full-time","1989","Part Time","Female","217","0.166008361955198","0.144849821753657","0.187166902156739"
"Full-time","1989","Not Working","Male","36","0.0244953129354333","0.0152157896707513","0.0337748362001154"
"Full-time","1989","Not Working","Female","17","","",""
"Part-time","1989","Full Time","Male","8","","",""
"Part-time","1989","Full Time","Female","55","0.0448419948814215","0.0338710532110028","0.0558129365518403"
"Part-time","1989","Part Time","Male","35","0.0819619980321241","0.0585201515791619","0.105403844485086"
"Part-time","1989","Part Time","Female","553","0.49246648073143","0.46403754683855","0.52089541462431"
"Part-time","1989","Not Working","Male","1","","",""
"Part-time","1989","Not Working","Female","22","","",""
"Non-working","1989","Full Time","Male","72","0.0228125753511057","0.0176305811307701","0.0279945695714413"
"Non-working","1989","Full Time","Female","48","0.0309363021471503","0.021757749644747","0.0401148546495535"
"Non-working","1989","Part Time","Male","167","0.338332420063206","0.297898397000681","0.378766443125731"
"Non-working","1989","Part Time","Female","229","0.18288801084425","0.160905703264741","0.20487031842376"
"Non-working","1989","Not Working","Male","1005","0.95967704337449","0.947868176517234","0.971485910231747"
"Non-working","1989","Not Working","Female","2308","0.977497415780617","0.971530179580824","0.983464651980411"
"Other","1989","Full Time","Male","144","0.0384491497513632","0.031775700998919","0.0451225985038074"
"Other","1989","Full Time","Female","94","0.0617169698883476","0.0489604249798444","0.0744735147968508"
"Other","1989","Part Time","Male","97","0.198240982047785","0.164170846148395","0.232311117947175"
"Other","1989","Part Time","Female","189","0.158637146469121","0.137862483721127","0.179411809217116"
"Other","1989","Not Working","Male","24","","",""
"Other","1989","Not Working","Female","26","","",""
"Full-time","1990","Full Time","Male","2893","0.929892775478125","0.920926400663418","0.938859150292832"
"Full-time","1990","Full Time","Female","1152","0.87410319098961","0.856234496950131","0.89197188502909"
"Full-time","1990","Part Time","Male","222","0.412763719435353","0.369950939044904","0.455576499825802"
"Full-time","1990","Part Time","Female","222","0.164860312418384","0.144081646174487","0.185638978662281"
"Full-time","1990","Not Working","Male","25","","",""
"Full-time","1990","Not Working","Female","9","","",""
"Part-time","1990","Full Time","Male","16","","",""
"Part-time","1990","Full Time","Female","47","0.0401037680025999","0.029535378000583","0.0506721580046167"
"Part-time","1990","Part Time","Male","36","0.0814592116452623","0.0576724369334534","0.105245986357071"
"Part-time","1990","Part Time","Female","588","0.514729168332045","0.486741834362585","0.542716502301505"
"Part-time","1990","Not Working","Male","7","","",""
"Part-time","1990","Not Working","Female","29","","",""
"Non-working","1990","Full Time","Male","65","0.0230624158592082","0.0177912719407431","0.0283335597776732"
"Non-working","1990","Full Time","Female","43","0.0264672536186925","0.0178208835399819","0.035113623697403"
"Non-working","1990","Part Time","Male","167","0.336568159187881","0.295476762392771","0.377659555982991"
"Non-working","1990","Part Time","Female","229","0.174792850568017","0.153525011266327","0.196060689869707"
"Non-working","1990","Not Working","Male","1020","0.967641503361055","0.957024125023092","0.978258881699019"
"Non-working","1990","Not Working","Female","2224","0.983275410704388","0.978009341631178","0.988541479777598"
"Other","1990","Full Time","Male","141","0.0416834747195898","0.0346647936027314","0.0487021558364482"
"Other","1990","Full Time","Female","82","0.0593257873890974","0.0466011482991344","0.0720504264790603"
"Other","1990","Part Time","Male","83","0.169208909731504","0.136604693581377","0.201813125881631"
"Other","1990","Part Time","Female","186","0.145617668681554","0.125865571538967","0.165369765824142"
"Other","1990","Not Working","Male","15","","",""
"Other","1990","Not Working","Female","16","","",""
"Full-time","1991","Full Time","Male","2887","0.939180859342773","0.930745848162219","0.947615870523327"
"Full-time","1991","Full Time","Female","1155","0.863323596995904","0.845013387161743","0.881633806830065"
"Full-time","1991","Part Time","Male","215","0.383844911399531","0.34255847487801","0.425131347921053"
"Full-time","1991","Part Time","Female","184","0.12553102276789","0.107000117122244","0.144061928413536"
"Full-time","1991","Not Working","Male","37","0.026033801904299","0.0163653938412693","0.0357022099673287"
"Full-time","1991","Not Working","Female","23","","",""
"Part-time","1991","Full Time","Male","7","","",""
"Part-time","1991","Full Time","Female","37","0.0298967203246964","0.0208189225032529","0.03897451814614"
"Part-time","1991","Part Time","Male","44","0.0995633990278786","0.074144255473119","0.124982542582638"
"Part-time","1991","Part Time","Female","636","0.546743399592685","0.518900609670886","0.574586189514483"
"Part-time","1991","Not Working","Male","7","","",""
"Part-time","1991","Not Working","Female","19","","",""
"Non-working","1991","Full Time","Male","53","0.0165569072838149","0.0120533557996182","0.0210604587680116"
"Non-working","1991","Full Time","Female","45","0.0296013107117562","0.0205670979011881","0.0386355235223242"
"Non-working","1991","Part Time","Male","165","0.32730637223791","0.287470862971534","0.367141881504286"
"Non-working","1991","Part Time","Female","215","0.163133976209061","0.142468325409428","0.183799627008695"
"Non-working","1991","Not Working","Male","977","0.955943061680311","0.943482506269129","0.968403617091494"
"Non-working","1991","Not Working","Female","2152","0.979571701464027","0.973696507680098","0.985446895247956"
"Other","1991","Full Time","Male","137","0.0413019705017235","0.0342790587730192","0.0483248822304278"
"Other","1991","Full Time","Female","115","0.0771783719676433","0.0629529081938244","0.0914038357414621"
"Other","1991","Part Time","Male","109","0.18928531733468","0.156028784522738","0.222541850146623"
"Other","1991","Part Time","Female","193","0.164591601430364","0.143851916162079","0.185331286698649"
"Other","1991","Not Working","Male","21","","",""
"Other","1991","Not Working","Female","33","0.0102432214859978","0.00606135169166703","0.0144250912803286"
"Full-time","1992","Full Time","Male","3972","0.92517664909839","0.917350752780335","0.933002545416445"
"Full-time","1992","Full Time","Female","1870","0.838760055190829","0.823608367700372","0.853911742681285"
"Full-time","1992","Part Time","Male","304","0.331392112203796","0.298230591182315","0.364553633225276"
"Full-time","1992","Part Time","Female","329","0.163175452665557","0.145792728075661","0.180558177255452"
"Full-time","1992","Not Working","Male","29","","",""
"Full-time","1992","Not Working","Female","21","","",""
"Part-time","1992","Full Time","Male","13","","",""
"Part-time","1992","Full Time","Female","88","0.0370748934265223","0.0292901908437421","0.0448595960093026"
"Part-time","1992","Part Time","Male","53","0.0940804740079595","0.0735134161721309","0.114647531843788"
"Part-time","1992","Part Time","Female","760","0.489035401141723","0.465520736685082","0.512550065598364"
"Part-time","1992","Not Working","Male","5","","",""
"Part-time","1992","Not Working","Female","24","","",""
"Non-working","1992","Full Time","Male","186","0.0386190358165234","0.0328877554490261","0.0443503161840208"
"Non-working","1992","Full Time","Female","174","0.065239011856823","0.0550645888255243","0.0754134348881216"
"Non-working","1992","Part Time","Male","282","0.381768882871798","0.347543106809934","0.415994658933662"
"Non-working","1992","Part Time","Female","461","0.239313284570454","0.219242721792279","0.259383847348629"
"Non-working","1992","Not Working","Male","1319","0.974429796267694","0.966083436584738","0.98277615595065"
"Non-working","1992","Not Working","Female","2824","0.981361445353288","0.976440823414682","0.986282067291895"
"Other","1992","Full Time","Male","171","0.032743602821314","0.0274501722814332","0.0380370333611947"
"Other","1992","Full Time","Female","131","0.0589260395258263","0.0492238150441263","0.0686282640075262"
"Other","1992","Part Time","Male","135","0.192758530916447","0.164968684501326","0.220548377331568"
"Other","1992","Part Time","Female","186","0.108475861622266","0.0938471412657785","0.123104581978754"
"Other","1992","Not Working","Male","21","","",""
"Other","1992","Not Working","Female","33","0.00690454641572286","0.00389180081775313","0.00991729201369259"
"Full-time","1993","Full Time","Male","3820","0.921736656836735","0.913565064919101","0.929908248754369"
"Full-time","1993","Full Time","Female","1798","0.855053842790239","0.840064496354748","0.870043189225729"
"Full-time","1993","Part Time","Male","291","0.375254103785579","0.341099136627547","0.409409070943612"
"Full-time","1993","Part Time","Female","293","0.155237656971039","0.137982706209855","0.172492607732222"
"Full-time","1993","Not Working","Male","36","0.0168559978451578","0.0102774876022987","0.023434508088017"
"Full-time","1993","Not Working","Female","40","0.00821893504783852","0.00497409503039296","0.0114637750652841"
"Part-time","1993","Full Time","Male","16","","",""
"Part-time","1993","Full Time","Female","77","0.0349701124012075","0.0271484060238164","0.0427918187785985"
"Part-time","1993","Part Time","Male","43","0.0760582323324517","0.0573585230462157","0.0947579416186876"
"Part-time","1993","Part Time","Female","749","0.485652772671866","0.461838405273624","0.509467140070107"
"Part-time","1993","Not Working","Male","2","","",""
"Part-time","1993","Not Working","Female","33","0.010000769851073","0.0064246525658719","0.013576887136274"
"Non-working","1993","Full Time","Male","144","0.0352583691017235","0.029647105611933","0.0408696325915139"
"Non-working","1993","Full Time","Female","111","0.0487435793071085","0.0395752517349896","0.0579119068792273"
"Non-working","1993","Part Time","Male","310","0.385083414996896","0.350757276418439","0.419409553575353"
"Non-working","1993","Part Time","Female","441","0.23346546905739","0.213308505946677","0.253622432168104"
"Non-working","1993","Not Working","Male","1408","0.970633589399197","0.962005893160441","0.979261285637952"
"Non-working","1993","Not Working","Female","2846","0.967205152202296","0.960804271700607","0.973606032703986"
"Other","1993","Full Time","Male","170","0.0391866895166152","0.033283145086935","0.0450902339462953"
"Other","1993","Full Time","Female","133","0.0612324655014454","0.0510241868366916","0.0714407441661991"
"Other","1993","Part Time","Male","128","0.163604248885073","0.137510129862875","0.189698367907271"
"Other","1993","Part Time","Female","209","0.125644101299706","0.109851157643834","0.141437044955577"
"Other","1993","Not Working","Male","25","","",""
"Other","1993","Not Working","Female","55","0.0145751428987922","0.0102679355800988","0.0188823502174856"
"Full-time","1994","Full Time","Male","3643","0.925182662341895","0.916998623056504","0.933366701627286"
"Full-time","1994","Full Time","Female","1717","0.872623384686169","0.858066486596843","0.887180282775494"
"Full-time","1994","Part Time","Male","299","0.360824009617313","0.325962814827344","0.395685204407283"
"Full-time","1994","Part Time","Female","277","0.141926666866477","0.125042174622129","0.158811159110825"
"Full-time","1994","Not Working","Male","42","0.0261368957232678","0.0181712180214309","0.0341025734251048"
"Full-time","1994","Not Working","Female","22","","",""
"Part-time","1994","Full Time","Male","16","","",""
"Part-time","1994","Full Time","Female","76","0.0381243688540795","0.029763115980758","0.046485621727401"
"Part-time","1994","Part Time","Male","43","0.0783345997812957","0.0588295176482896","0.0978396819143019"
"Part-time","1994","Part Time","Female","725","0.479322837870403","0.455151976583223","0.503493699157583"
"Part-time","1994","Not Working","Male","","","",""
"Part-time","1994","Not Working","Female","26","","",""
"Non-working","1994","Full Time","Male","158","0.0358437300007473","0.0300609968589359","0.0416264631425586"
"Non-working","1994","Full Time","Female","98","0.0408132095172222","0.0321742282013744","0.0494521908330699"
"Non-working","1994","Part Time","Male","281","0.395386301902882","0.359894003222857","0.430878600582908"
"Non-working","1994","Part Time","Female","397","0.229215196052092","0.208878421434684","0.2495519706695"
"Non-working","1994","Not Working","Male","1472","0.962063051421032","0.952524559033541","0.971601543808523"
"Non-working","1994","Not Working","Female","2956","0.98085314227241","0.975988046896268","0.985718237648552"
"Other","1994","Full Time","Male","153","0.0345125222507159","0.0288342722430289","0.0401907722584029"
"Other","1994","Full Time","Female","124","0.0484390369425297","0.0390650007846362","0.0578130731004232"
"Other","1994","Part Time","Male","106","0.165455088698509","0.138480846795137","0.192429330601881"
"Other","1994","Part Time","Female","242","0.149535299211028","0.132281139694748","0.166789458727308"
"Other","1994","Not Working","Male","27","","",""
"Other","1994","Not Working","Female","44","0.00912936905943433","0.00575284794514648","0.0125058901737222"
"Full-time","1995","Full Time","Male","3647","0.930651097470455","0.922722563686273","0.938579631254636"
"Full-time","1995","Full Time","Female","1665","0.851505797395246","0.835815430382421","0.867196164408071"
"Full-time","1995","Part Time","Male","408","0.450489379297508","0.41719777141799","0.483780987177026"
"Full-time","1995","Part Time","Female","349","0.174810129858222","0.157045912560708","0.192574347155736"
"Full-time","1995","Not Working","Male","49","0.0230135898746958","0.015752069031132","0.0302751107182596"
"Full-time","1995","Not Working","Female","39","0.00755286430578539","0.00455313107420775","0.010552597537363"
"Part-time","1995","Full Time","Male","14","","",""
"Part-time","1995","Full Time","Female","91","0.0455894624657","0.0363852974338629","0.0547936274975371"
"Part-time","1995","Part Time","Male","60","0.10427949813234","0.0838296460670596","0.12472935019762"
"Part-time","1995","Part Time","Female","781","0.472127927658497","0.448778296557464","0.495477558759529"
"Part-time","1995","Not Working","Male","1","","",""
"Part-time","1995","Not Working","Female","31","0.00709111547280507","0.00418384739957809","0.00999838354603204"
"Non-working","1995","Full Time","Male","120","0.0285201265400897","0.0233252854659357","0.0337149676142437"
"Non-working","1995","Full Time","Female","87","0.0457892015020022","0.0365658608938774","0.055012542110127"
"Non-working","1995","Part Time","Male","260","0.300288223647692","0.26961685265196","0.330959594643425"
"Non-working","1995","Part Time","Female","368","0.203434581622289","0.184606375269524","0.222262787975053"
"Non-working","1995","Not Working","Male","1562","0.962116733277727","0.952871268739187","0.971362197816266"
"Non-working","1995","Not Working","Female","3087","0.974179685120363","0.968684612915651","0.979674757325076"
"Other","1995","Full Time","Male","163","0.0371783882669003","0.0312736883367465","0.0430830881970541"
"Other","1995","Full Time","Female","130","0.0571155386370515","0.0468757515601132","0.0673553257139898"
"Other","1995","Part Time","Male","130","0.14494289892246","0.121386956847252","0.168498840997669"
"Other","1995","Part Time","Female","258","0.149627360860993","0.132943522165385","0.1663111995566"
"Other","1995","Not Working","Male","26","","",""
"Other","1995","Not Working","Female","43","0.0111763351010463","0.00753398040917725","0.0148186897929153"
"Full-time","1996","Full Time","Male","3504","0.923045246483823","0.914613358534286","0.93147713443336"
"Full-time","1996","Full Time","Female","1622","0.84868104771401","0.8326307675862","0.86473132784182"
"Full-time","1996","Part Time","Male","415","0.436119024614809","0.403539156276696","0.468698892952921"
"Full-time","1996","Part Time","Female","316","0.147399876254779","0.131072736093322","0.163727016416237"
"Full-time","1996","Not Working","Male","33","0.0175888144943679","0.0111214913517811","0.0240561376369547"
"Full-time","1996","Not Working","Female","26","","",""
"Part-time","1996","Full Time","Male","23","","",""
"Part-time","1996","Full Time","Female","91","0.0522513861030296","0.0422845070381419","0.0622182651679173"
"Part-time","1996","Part Time","Male","76","0.120606215550993","0.0992103614078766","0.14200206969411"
"Part-time","1996","Part Time","Female","829","0.495901676018435","0.472874309121796","0.518929042915074"
"Part-time","1996","Not Working","Male","4","","",""
"Part-time","1996","Not Working","Female","32","0.0115425747937167","0.00777213802958792","0.0153130115578454"
"Non-working","1996","Full Time","Male","160","0.0376497001869593","0.0316276695606537","0.0436717308132649"
"Non-working","1996","Full Time","Female","88","0.0488484752332856","0.0391943247926764","0.0585026256738947"
"Non-working","1996","Part Time","Male","274","0.30315028488238","0.272954130196846","0.333346439567913"
"Non-working","1996","Part Time","Female","408","0.206352617734612","0.187714259650969","0.224990975818254"
"Non-working","1996","Not Working","Male","1527","0.96970451763685","0.961271786128593","0.978137249145106"
"Non-working","1996","Not Working","Female","2986","0.975417035294096","0.969950984973157","0.980883085615034"
"Other","1996","Full Time","Male","151","0.0335647938157994","0.027866773820757","0.0392628138108417"
"Other","1996","Full Time","Female","114","0.0502190909496749","0.0404374922089704","0.0600006896903794"
"Other","1996","Part Time","Male","125","0.140124474951818","0.117319590259685","0.162929359643951"
"Other","1996","Part Time","Female","258","0.150345829992174","0.133884851178302","0.166806808806047"
"Other","1996","Not Working","Male","23","","",""
"Other","1996","Not Working","Female","39","0.00894892436062397","0.00562466602892485","0.0122731826923231"
"Full-time","1997","Full Time","Male","3387","0.920740739595075","0.912043347064953","0.929438132125198"
"Full-time","1997","Full Time","Female","1597","0.844368135885453","0.828068178531409","0.860668093239498"
"Full-time","1997","Part Time","Male","411","0.441806776929858","0.408977439341639","0.474636114518078"
"Full-time","1997","Part Time","Female","304","0.157244051659825","0.139826378418166","0.174661724901484"
"Full-time","1997","Not Working","Male","25","","",""
"Full-time","1997","Not Working","Female","21","","",""
"Part-time","1997","Full Time","Male","21","","",""
"Part-time","1997","Full Time","Female","100","0.0591906199657574","0.048579809567135","0.0698014303643797"
"Part-time","1997","Part Time","Male","68","0.114079653676863","0.0930634103302493","0.135095897023476"
"Part-time","1997","Part Time","Female","779","0.495341379107788","0.471419060757939","0.519263697457636"
"Part-time","1997","Not Working","Male","4","","",""
"Part-time","1997","Not Working","Female","22","","",""
"Non-working","1997","Full Time","Male","142","0.0373926268653481","0.0312844308781341","0.0435008228525621"
"Non-working","1997","Full Time","Female","89","0.0431145449538847","0.0339815509916908","0.0522475389160785"
"Non-working","1997","Part Time","Male","282","0.322255310684156","0.291360413328692","0.353150208039621"
"Non-working","1997","Part Time","Female","351","0.202911342114518","0.183668970873369","0.222153713355668"
"Non-working","1997","Not Working","Male","1603","0.977113945652011","0.969902851967217","0.984325039336804"
"Non-working","1997","Not Working","Female","3018","0.980999431008007","0.976193418186077","0.985805443829937"
"Other","1997","Full Time","Male","156","0.0340330831723","0.0281955796263604","0.0398705867182397"
"Other","1997","Full Time","Female","114","0.0533266991949045","0.0432238538164966","0.0634295445733125"
"Other","1997","Part Time","Male","118","0.121858258709123","0.100232893622442","0.143483623795803"
"Other","1997","Part Time","Female","244","0.144503227117869","0.127680357709267","0.161326096526471"
"Other","1997","Not Working","Male","20","","",""
"Other","1997","Not Working","Female","39","0.00646072795692406","0.00364039429766682","0.0092810616161813"
"Full-time","1998","Full Time","Male","3631","0.91772858186314","0.909183325592828","0.926273838133452"
"Full-time","1998","Full Time","Female","1704","0.842717059221572","0.826899204322115","0.85853491412103"
"Full-time","1998","Part Time","Male","492","0.459827900691713","0.429106837118439","0.490548964264988"
"Full-time","1998","Part Time","Female","361","0.177322893694833","0.160011804320388","0.194633983069277"
"Full-time","1998","Not Working","Male","35","0.0175964812147444","0.011735234075289","0.0234577283541997"
"Full-time","1998","Not Working","Female","20","","",""
"Part-time","1998","Full Time","Male","21","","",""
"Part-time","1998","Full Time","Female","110","0.0581597193661594","0.0479910139632803","0.0683284247690385"
"Part-time","1998","Part Time","Male","80","0.12281322551961","0.102581118219264","0.143045332819956"
"Part-time","1998","Part Time","Female","874","0.511991264556785","0.489335831850493","0.534646697263078"
"Part-time","1998","Not Working","Male","6","","",""
