"erwst","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Bavaria","(3a) lower tertiary education","34","0.565230729714437","0.434219341373864","0.696242118055011"
"Full-time","1984","Bavaria","(3b) higher tertiary education","62","0.570830911915608","0.47477679947005","0.666885024361166"
"Full-time","1984","Berlin","(0) in school","","","",""
"Full-time","1984","Berlin","(1a) inadequately completed","20","","",""
"Full-time","1984","Berlin","(1b) general elementary school","37","0.318100563238239","0.222931331761955","0.413269794714523"
"Full-time","1984","Berlin","(1c) basic vocational qualification","74","0.524100350751288","0.434744625205817","0.613456076296758"
"Full-time","1984","Berlin","(2b) intermediate general qualification","2","","",""
"Full-time","1984","Berlin","(2a) intermediate vocational","40","0.554252683303338","0.435235693838259","0.673269672768418"
"Full-time","1984","Berlin","(2c_gen) general maturity certificate","5","","",""
"Full-time","1984","Berlin","(2c_voc) vocational maturity certificate","11","","",""
"Full-time","1984","Berlin","(3a) lower tertiary education","7","","",""
"Full-time","1984","Berlin","(3b) higher tertiary education","19","","",""
"Full-time","1984","Brandenburg","(0) in school","","","",""
"Full-time","1984","Brandenburg","(1a) inadequately completed","","","",""
"Full-time","1984","Brandenburg","(1b) general elementary school","","","",""
"Full-time","1984","Brandenburg","(1c) basic vocational qualification","","","",""
"Full-time","1984","Brandenburg","(2b) intermediate general qualification","","","",""
"Full-time","1984","Brandenburg","(2a) intermediate vocational","","","",""
"Full-time","1984","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","Brandenburg","(3a) lower tertiary education","","","",""
"Full-time","1984","Brandenburg","(3b) higher tertiary education","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Full-time","1984","Saxony","(0) in school","","","",""
"Full-time","1984","Saxony","(1a) inadequately completed","","","",""
"Full-time","1984","Saxony","(1b) general elementary school","","","",""
"Full-time","1984","Saxony","(1c) basic vocational qualification","","","",""
"Full-time","1984","Saxony","(2b) intermediate general qualification","","","",""
"Full-time","1984","Saxony","(2a) intermediate vocational","","","",""
"Full-time","1984","Saxony","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","Saxony","(3a) lower tertiary education","","","",""
"Full-time","1984","Saxony","(3b) higher tertiary education","","","",""
"Full-time","1984","Saxony-Anhalt","(0) in school","","","",""
"Full-time","1984","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Full-time","1984","Saxony-Anhalt","(1b) general elementary school","","","",""
"Full-time","1984","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Full-time","1984","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Full-time","1984","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Full-time","1984","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Full-time","1984","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Full-time","1984","Thuringia","(0) in school","","","",""
"Full-time","1984","Thuringia","(1a) inadequately completed","","","",""
"Full-time","1984","Thuringia","(1b) general elementary school","","","",""
"Full-time","1984","Thuringia","(1c) basic vocational qualification","","","",""
"Full-time","1984","Thuringia","(2b) intermediate general qualification","","","",""
"Full-time","1984","Thuringia","(2a) intermediate vocational","","","",""
"Full-time","1984","Thuringia","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Full-time","1984","Thuringia","(3a) lower tertiary education","","","",""
"Full-time","1984","Thuringia","(3b) higher tertiary education","","","",""
"Part-time","1984","Schleswig-Holstein","(0) in school","","","",""
"Part-time","1984","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Part-time","1984","Schleswig-Holstein","(1b) general elementary school","3","","",""
"Part-time","1984","Schleswig-Holstein","(1c) basic vocational qualification","9","","",""
"Part-time","1984","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Part-time","1984","Schleswig-Holstein","(2a) intermediate vocational","15","","",""
"Part-time","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","1","","",""
"Part-time","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1984","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Part-time","1984","Schleswig-Holstein","(3b) higher tertiary education","3","","",""
"Part-time","1984","Hamburg","(0) in school","","","",""
"Part-time","1984","Hamburg","(1a) inadequately completed","","","",""
"Part-time","1984","Hamburg","(1b) general elementary school","3","","",""
"Part-time","1984","Hamburg","(1c) basic vocational qualification","4","","",""
"Part-time","1984","Hamburg","(2b) intermediate general qualification","","","",""
"Part-time","1984","Hamburg","(2a) intermediate vocational","2","","",""
"Part-time","1984","Hamburg","(2c_gen) general maturity certificate","1","","",""
"Part-time","1984","Hamburg","(2c_voc) vocational maturity certificate","5","","",""
"Part-time","1984","Hamburg","(3a) lower tertiary education","","","",""
"Part-time","1984","Hamburg","(3b) higher tertiary education","1","","",""
"Part-time","1984","Lower Saxony","(0) in school","","","",""
"Part-time","1984","Lower Saxony","(1a) inadequately completed","","","",""
"Part-time","1984","Lower Saxony","(1b) general elementary school","13","","",""
"Part-time","1984","Lower Saxony","(1c) basic vocational qualification","33","0.0740976360776364","0.0496789816216334","0.0985162905336394"
"Part-time","1984","Lower Saxony","(2b) intermediate general qualification","2","","",""
"Part-time","1984","Lower Saxony","(2a) intermediate vocational","13","","",""
"Part-time","1984","Lower Saxony","(2c_gen) general maturity certificate","1","","",""
"Part-time","1984","Lower Saxony","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1984","Lower Saxony","(3a) lower tertiary education","1","","",""
"Part-time","1984","Lower Saxony","(3b) higher tertiary education","7","","",""
"Part-time","1984","Bremen","(0) in school","","","",""
"Part-time","1984","Bremen","(1a) inadequately completed","","","",""
"Part-time","1984","Bremen","(1b) general elementary school","2","","",""
"Part-time","1984","Bremen","(1c) basic vocational qualification","1","","",""
"Part-time","1984","Bremen","(2b) intermediate general qualification","","","",""
"Part-time","1984","Bremen","(2a) intermediate vocational","","","",""
"Part-time","1984","Bremen","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Bremen","(3a) lower tertiary education","","","",""
"Part-time","1984","Bremen","(3b) higher tertiary education","1","","",""
"Part-time","1984","North Rhine-Westphalia","(0) in school","","","",""
"Part-time","1984","North Rhine-Westphalia","(1a) inadequately completed","5","","",""
"Part-time","1984","North Rhine-Westphalia","(1b) general elementary school","30","0.0501547406167288","0.0344712023693116","0.065838278864146"
"Part-time","1984","North Rhine-Westphalia","(1c) basic vocational qualification","55","0.0465773630462273","0.0343391951421566","0.0588155309502981"
"Part-time","1984","North Rhine-Westphalia","(2b) intermediate general qualification","2","","",""
"Part-time","1984","North Rhine-Westphalia","(2a) intermediate vocational","28","","",""
"Part-time","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","5","","",""
"Part-time","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","4","","",""
"Part-time","1984","North Rhine-Westphalia","(3a) lower tertiary education","2","","",""
"Part-time","1984","North Rhine-Westphalia","(3b) higher tertiary education","15","","",""
"Part-time","1984","Hesse","(0) in school","1","","",""
"Part-time","1984","Hesse","(1a) inadequately completed","4","","",""
"Part-time","1984","Hesse","(1b) general elementary school","19","","",""
"Part-time","1984","Hesse","(1c) basic vocational qualification","27","","",""
"Part-time","1984","Hesse","(2b) intermediate general qualification","1","","",""
"Part-time","1984","Hesse","(2a) intermediate vocational","13","","",""
"Part-time","1984","Hesse","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Hesse","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1984","Hesse","(3a) lower tertiary education","2","","",""
"Part-time","1984","Hesse","(3b) higher tertiary education","3","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","1","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","9","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","11","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","3","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","4","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Part-time","1984","Baden-Württemberg","(0) in school","","","",""
"Part-time","1984","Baden-Württemberg","(1a) inadequately completed","14","","",""
"Part-time","1984","Baden-Württemberg","(1b) general elementary school","40","0.0665359303383207","0.0469506488154866","0.0861212118611547"
"Part-time","1984","Baden-Württemberg","(1c) basic vocational qualification","43","0.0619645442387112","0.0445704761001716","0.0793586123772508"
"Part-time","1984","Baden-Württemberg","(2b) intermediate general qualification","5","","",""
"Part-time","1984","Baden-Württemberg","(2a) intermediate vocational","18","","",""
"Part-time","1984","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","6","","",""
"Part-time","1984","Baden-Württemberg","(3a) lower tertiary education","5","","",""
"Part-time","1984","Baden-Württemberg","(3b) higher tertiary education","4","","",""
"Part-time","1984","Bavaria","(0) in school","1","","",""
"Part-time","1984","Bavaria","(1a) inadequately completed","3","","",""
"Part-time","1984","Bavaria","(1b) general elementary school","35","0.0707559238538134","0.0483028641267965","0.0932089835808303"
"Part-time","1984","Bavaria","(1c) basic vocational qualification","43","0.049524503163564","0.0344429852947877","0.0646060210323402"
"Part-time","1984","Bavaria","(2b) intermediate general qualification","3","","",""
"Part-time","1984","Bavaria","(2a) intermediate vocational","17","","",""
"Part-time","1984","Bavaria","(2c_gen) general maturity certificate","2","","",""
"Part-time","1984","Bavaria","(2c_voc) vocational maturity certificate","3","","",""
"Part-time","1984","Bavaria","(3a) lower tertiary education","2","","",""
"Part-time","1984","Bavaria","(3b) higher tertiary education","11","","",""
"Part-time","1984","Berlin","(0) in school","","","",""
"Part-time","1984","Berlin","(1a) inadequately completed","1","","",""
"Part-time","1984","Berlin","(1b) general elementary school","10","","",""
"Part-time","1984","Berlin","(1c) basic vocational qualification","7","","",""
"Part-time","1984","Berlin","(2b) intermediate general qualification","1","","",""
"Part-time","1984","Berlin","(2a) intermediate vocational","7","","",""
"Part-time","1984","Berlin","(2c_gen) general maturity certificate","2","","",""
"Part-time","1984","Berlin","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1984","Berlin","(3a) lower tertiary education","","","",""
"Part-time","1984","Berlin","(3b) higher tertiary education","1","","",""
"Part-time","1984","Brandenburg","(0) in school","","","",""
"Part-time","1984","Brandenburg","(1a) inadequately completed","","","",""
"Part-time","1984","Brandenburg","(1b) general elementary school","","","",""
"Part-time","1984","Brandenburg","(1c) basic vocational qualification","","","",""
"Part-time","1984","Brandenburg","(2b) intermediate general qualification","","","",""
"Part-time","1984","Brandenburg","(2a) intermediate vocational","","","",""
"Part-time","1984","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Brandenburg","(3a) lower tertiary education","","","",""
"Part-time","1984","Brandenburg","(3b) higher tertiary education","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Part-time","1984","Saxony","(0) in school","","","",""
"Part-time","1984","Saxony","(1a) inadequately completed","","","",""
"Part-time","1984","Saxony","(1b) general elementary school","","","",""
"Part-time","1984","Saxony","(1c) basic vocational qualification","","","",""
"Part-time","1984","Saxony","(2b) intermediate general qualification","","","",""
"Part-time","1984","Saxony","(2a) intermediate vocational","","","",""
"Part-time","1984","Saxony","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Saxony","(3a) lower tertiary education","","","",""
"Part-time","1984","Saxony","(3b) higher tertiary education","","","",""
"Part-time","1984","Saxony-Anhalt","(0) in school","","","",""
"Part-time","1984","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Part-time","1984","Saxony-Anhalt","(1b) general elementary school","","","",""
"Part-time","1984","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Part-time","1984","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Part-time","1984","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Part-time","1984","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Part-time","1984","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Part-time","1984","Thuringia","(0) in school","","","",""
"Part-time","1984","Thuringia","(1a) inadequately completed","","","",""
"Part-time","1984","Thuringia","(1b) general elementary school","","","",""
"Part-time","1984","Thuringia","(1c) basic vocational qualification","","","",""
"Part-time","1984","Thuringia","(2b) intermediate general qualification","","","",""
"Part-time","1984","Thuringia","(2a) intermediate vocational","","","",""
"Part-time","1984","Thuringia","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","Thuringia","(3a) lower tertiary education","","","",""
"Part-time","1984","Thuringia","(3b) higher tertiary education","","","",""
"Non-working","1984","Schleswig-Holstein","(0) in school","9","","",""
"Non-working","1984","Schleswig-Holstein","(1a) inadequately completed","6","","",""
"Non-working","1984","Schleswig-Holstein","(1b) general elementary school","47","0.739582256717188","0.638212041138379","0.840952472295997"
"Non-working","1984","Schleswig-Holstein","(1c) basic vocational qualification","58","0.397047558944802","0.319518382687831","0.474576735201774"
"Non-working","1984","Schleswig-Holstein","(2b) intermediate general qualification","7","","",""
"Non-working","1984","Schleswig-Holstein","(2a) intermediate vocational","17","","",""
"Non-working","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","7","","",""
"Non-working","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","4","","",""
"Non-working","1984","Schleswig-Holstein","(3a) lower tertiary education","2","","",""
"Non-working","1984","Schleswig-Holstein","(3b) higher tertiary education","1","","",""
"Non-working","1984","Hamburg","(0) in school","4","","",""
"Non-working","1984","Hamburg","(1a) inadequately completed","10","","",""
"Non-working","1984","Hamburg","(1b) general elementary school","30","0.710604008019838","0.593897741345239","0.827310274694438"
"Non-working","1984","Hamburg","(1c) basic vocational qualification","49","0.546486493276126","0.451714505958632","0.641258480593621"
"Non-working","1984","Hamburg","(2b) intermediate general qualification","5","","",""
"Non-working","1984","Hamburg","(2a) intermediate vocational","15","","",""
"Non-working","1984","Hamburg","(2c_gen) general maturity certificate","9","","",""
"Non-working","1984","Hamburg","(2c_voc) vocational maturity certificate","4","","",""
"Non-working","1984","Hamburg","(3a) lower tertiary education","5","","",""
"Non-working","1984","Hamburg","(3b) higher tertiary education","1","","",""
"Non-working","1984","Lower Saxony","(0) in school","29","","",""
"Non-working","1984","Lower Saxony","(1a) inadequately completed","37","0.731085901562678","0.62569948803969","0.836472315085667"
"Non-working","1984","Lower Saxony","(1b) general elementary school","190","0.692829663004573","0.641225851870652","0.744433474138494"
"Non-working","1984","Lower Saxony","(1c) basic vocational qualification","156","0.388377946216605","0.342941348385712","0.433814544047499"
"Non-working","1984","Lower Saxony","(2b) intermediate general qualification","37","0.61494974494865","0.495733174379361","0.734166315517939"
"Non-working","1984","Lower Saxony","(2a) intermediate vocational","57","0.382766878140139","0.308376296638371","0.457157459641907"
"Non-working","1984","Lower Saxony","(2c_gen) general maturity certificate","24","","",""
"Non-working","1984","Lower Saxony","(2c_voc) vocational maturity certificate","18","","",""
"Non-working","1984","Lower Saxony","(3a) lower tertiary education","5","","",""
"Non-working","1984","Lower Saxony","(3b) higher tertiary education","8","","",""
"Non-working","1984","Bremen","(0) in school","","","",""
"Non-working","1984","Bremen","(1a) inadequately completed","5","","",""
"Non-working","1984","Bremen","(1b) general elementary school","21","","",""
"Non-working","1984","Bremen","(1c) basic vocational qualification","34","0.703736952511304","0.587226200304149","0.820247704718459"
"Non-working","1984","Bremen","(2b) intermediate general qualification","2","","",""
"Non-working","1984","Bremen","(2a) intermediate vocational","8","","",""
"Non-working","1984","Bremen","(2c_gen) general maturity certificate","4","","",""
"Non-working","1984","Bremen","(2c_voc) vocational maturity certificate","4","","",""
"Non-working","1984","Bremen","(3a) lower tertiary education","","","",""
"Non-working","1984","Bremen","(3b) higher tertiary education","","","",""
"Non-working","1984","North Rhine-Westphalia","(0) in school","61","1","1","1"
"Non-working","1984","North Rhine-Westphalia","(1a) inadequately completed","161","0.496213407430618","0.443454463542958","0.548972351318278"
"Non-working","1984","North Rhine-Westphalia","(1b) general elementary school","391","0.632984971241437","0.598351163095178","0.667618779387696"
"Non-working","1984","North Rhine-Westphalia","(1c) basic vocational qualification","462","0.464362793112559","0.435399342254913","0.493326243970204"
"Non-working","1984","North Rhine-Westphalia","(2b) intermediate general qualification","71","0.576007055782934","0.490394724651274","0.661619386914595"
"Non-working","1984","North Rhine-Westphalia","(2a) intermediate vocational","112","0.365526106602222","0.31395674367836","0.417095469526084"
"Non-working","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","85","0.717339372021112","0.640522588342169","0.794156155700054"
"Non-working","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","42","0.353074878111669","0.270601524816356","0.435548231406983"
"Non-working","1984","North Rhine-Westphalia","(3a) lower tertiary education","16","","",""
"Non-working","1984","North Rhine-Westphalia","(3b) higher tertiary education","25","","",""
"Non-working","1984","Hesse","(0) in school","11","","",""
"Non-working","1984","Hesse","(1a) inadequately completed","46","0.493988914539805","0.408045019550473","0.579932809529137"
"Non-working","1984","Hesse","(1b) general elementary school","164","0.640824135722568","0.588011059725841","0.693637211719295"
