"erwst","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Part-time","1988","Employed","Male","43","0.0122284758194741","0.0087653908955029","0.0156915607434454","2"
"Part-time","1988","Employed","Female","616","0.25310025924225","0.236326456243962","0.269874062240539","2"
"Full-time","1989","Employed","Female","1387","0.530910732758079","0.511560279621857","0.550261185894301","1"
"Full-time","1989","Not Employed","Male","36","0.0244953129354333","0.0152157896707513","0.0337748362001154","1"
"Full-time","1989","Not Employed","Female","17","","","","1"
"Full-time","1989","Employed","Male","3192","0.856737521094227","0.845471804895773","0.86800323729268","1"
"Non-working","1989","Not Employed","Male","1005","0.95967704337449","0.947868176517234","0.971485910231747","5"
"Non-working","1989","Not Employed","Female","2308","0.977497415780617","0.971530179580824","0.983464651980411","5"
"Non-working","1989","Employed","Male","239","0.0676794938538731","0.0596019402024229","0.0757570475053233","5"
"Non-working","1989","Employed","Female","277","0.103278782354903","0.0914786489762828","0.115078915733524","5"
"Other","1989","Not Employed","Male","24","","","","6"
"Other","1989","Not Employed","Female","26","","","","6"
"Other","1989","Employed","Male","241","0.0611715465742737","0.0534654129738893","0.0688776801746582","6"
"Other","1989","Employed","Female","283","0.107859563585686","0.0958314206519981","0.119887706519374","6"
"Part-time","1989","Not Employed","Male","1","","","","2"
"Part-time","1989","Not Employed","Female","22","","","","2"
"Part-time","1989","Employed","Male","43","0.0144114384776267","0.0105790442683087","0.0182438326869446","2"
"Part-time","1989","Employed","Female","608","0.257950921301332","0.240986560694549","0.274915281908115","2"
"Full-time","1990","Employed","Female","1374","0.525758187638792","0.506373620103193","0.545142755174392","1"
"Full-time","1990","Not Employed","Male","25","","","","1"
"Full-time","1990","Not Employed","Female","9","","","","1"
"Full-time","1990","Employed","Male","3115","0.854910407940524","0.843442284578365","0.866378531302683","1"
"Non-working","1990","Not Employed","Female","2224","0.983275410704388","0.978009341631178","0.988541479777598","5"
"Non-working","1990","Employed","Male","232","0.068519932888526","0.0602935452279431","0.0767463205491089","5"
"Non-working","1990","Not Employed","Male","1020","0.967641503361055","0.957024125023092","0.978258881699019","5"
"Non-working","1990","Employed","Female","272","0.099317446588428","0.087706655224877","0.110928237951979","5"
"Other","1990","Not Employed","Female","16","","","","6"
"Other","1990","Not Employed","Male","15","","","","6"
"Other","1990","Employed","Female","268","0.101708089116996","0.0899739923552743","0.113442185878718","6"
"Other","1990","Employed","Male","224","0.0601743309705","0.0524307256335468","0.0679179363074532","6"
"Part-time","1990","Not Employed","Male","7","","","","2"
"Part-time","1990","Not Employed","Female","29","","","","2"
"Part-time","1990","Employed","Male","52","0.01639532820045","0.0122602448043528","0.0205304115965473","2"
"Part-time","1990","Employed","Female","635","0.273216276655783","0.255917354123906","0.29051519918766","2"
"Full-time","1991","Employed","Female","1339","0.503904446177888","0.484611657798695","0.523197234557082","1"
"Full-time","1991","Not Employed","Male","37","0.026033801904299","0.0163653938412693","0.0357022099673287","1"
"Full-time","1991","Not Employed","Female","23","","","","1"
"Full-time","1991","Employed","Male","3102","0.852954667648244","0.841413162932527","0.864496172363962","1"
"Non-working","1991","Not Employed","Female","2152","0.979571701464027","0.973696507680098","0.985446895247956","5"
"Non-working","1991","Employed","Male","218","0.0648065173321861","0.056783570501181","0.0728294641631911","5"
"Non-working","1991","Not Employed","Male","977","0.955943061680311","0.943482506269129","0.968403617091494","5"
"Non-working","1991","Employed","Female","260","0.0946523818610235","0.0833567197367071","0.10594804398534","5"
"Other","1991","Not Employed","Female","33","0.0102432214859978","0.00606135169166703","0.0144250912803286","6"
"Other","1991","Not Employed","Male","21","","","","6"
"Other","1991","Employed","Female","308","0.119762141174897","0.107233671220961","0.132290611128833","6"
"Other","1991","Employed","Male","246","0.0642791260034966","0.0562866382945508","0.0722716137124424","6"
"Part-time","1991","Not Employed","Male","7","","","","2"
"Part-time","1991","Not Employed","Female","19","","","","2"
"Part-time","1991","Employed","Male","51","0.0179596890160731","0.0136316825556802","0.0222876954764659","2"
"Part-time","1991","Employed","Female","673","0.281681030786191","0.26432398910536","0.299038072467022","2"
"Full-time","1992","Not Employed","Male","29","","","","1"
"Full-time","1992","Not Employed","Female","21","","","","1"
"Full-time","1992","Employed","Male","4276","0.832313862207879","0.822076808823416","0.842550915592341","1"
"Full-time","1992","Employed","Female","2199","0.52823693606567","0.512764854749505","0.543709017381835","1"
"Non-working","1992","Not Employed","Male","1319","0.974429796267694","0.966083436584738","0.98277615595065","5"
"Non-working","1992","Employed","Female","635","0.145249843839126","0.134329160345702","0.156170527332549","5"
"Non-working","1992","Not Employed","Female","2824","0.981361445353288","0.976440823414682","0.986282067291895","5"
"Non-working","1992","Employed","Male","468","0.0922847161073225","0.0843538149479599","0.100215617266685","5"
"Other","1992","Not Employed","Female","33","0.00690454641572286","0.00389180081775313","0.00991729201369259","6"
"Other","1992","Not Employed","Male","21","","","","6"
"Other","1992","Employed","Female","317","0.0817009299717756","0.0732115111235514","0.0901903488199998","6"
"Other","1992","Employed","Male","306","0.0577685592553623","0.0513755197631826","0.064161598747542","6"
"Part-time","1992","Not Employed","Male","5","","","","2"
"Part-time","1992","Employed","Male","66","0.0176328624294365","0.0140264022139","0.0212393226449729","2"
"Part-time","1992","Not Employed","Female","24","","","","2"
"Part-time","1992","Employed","Female","848","0.244812290123429","0.23148577937216","0.258138800874698","2"
"Full-time","1993","Not Employed","Male","36","0.0168559978451578","0.0102774876022987","0.023434508088017","1"
"Full-time","1993","Not Employed","Female","40","0.00821893504783852","0.00497409503039296","0.0114637750652841","1"
"Full-time","1993","Employed","Male","4111","0.834616662623841","0.824237395539372","0.844995929708311","1"
"Full-time","1993","Employed","Female","2091","0.525711254287734","0.509857808802115","0.541564699773354","1"
"Non-working","1993","Not Employed","Male","1408","0.970633589399197","0.962005893160441","0.979261285637952","5"
"Non-working","1993","Employed","Female","552","0.135676100383649","0.124803872320245","0.146548328447054","5"
"Non-working","1993","Not Employed","Female","2846","0.967205152202296","0.960804271700607","0.973606032703986","5"
"Non-working","1993","Employed","Male","454","0.0910273150703604","0.0829913402147656","0.0990632899259552","5"
"Other","1993","Not Employed","Female","55","0.0145751428987922","0.0102679355800988","0.0188823502174856","6"
"Other","1993","Not Employed","Male","25","","","","6"
"Other","1993","Employed","Male","298","0.0590212789131914","0.0524375567434018","0.065605001082981","6"
"Other","1993","Employed","Female","342","0.0915454180929137","0.0823895709668874","0.10070126521894","6"
"Part-time","1993","Not Employed","Male","2","","","","2"
"Part-time","1993","Employed","Male","59","0.0153347433926068","0.0119018536894149","0.0187676330957986","2"
"Part-time","1993","Not Employed","Female","33","0.010000769851073","0.0064246525658719","0.013576887136274","2"
"Part-time","1993","Employed","Female","826","0.247067227235703","0.233373732859095","0.26076072161231","2"
"Full-time","1994","Not Employed","Male","42","0.0261368957232678","0.0181712180214309","0.0341025734251048","1"
"Full-time","1994","Not Employed","Female","22","","","","1"
"Full-time","1994","Employed","Male","3942","0.834419754655836","0.823791990260551","0.84504751905112","1"
"Full-time","1994","Employed","Female","1994","0.524591635869227","0.508403788997199","0.540779482741254","1"
"Non-working","1994","Not Employed","Male","1472","0.962063051421032","0.952524559033541","0.971601543808523","5"
"Non-working","1994","Employed","Female","495","0.130549308305197","0.11962850050834","0.141470116102053","5"
"Non-working","1994","Employed","Male","439","0.0936671178503306","0.0853363925259406","0.101997843174721","5"
"Non-working","1994","Not Employed","Female","2956","0.98085314227241","0.975988046896268","0.985718237648552","5"
"Other","1994","Not Employed","Female","44","0.00912936905943433","0.00575284794514648","0.0125058901737222","6"
"Other","1994","Not Employed","Male","27","","","","6"
"Other","1994","Employed","Male","259","0.055571343646118","0.0490211310564431","0.0621215562357928","6"
"Other","1994","Employed","Female","366","0.0965913114746346","0.0870159283349529","0.106166694614316","6"
"Part-time","1994","Not Employed","Male","","","","","2"
"Part-time","1994","Employed","Male","59","0.0163417838477158","0.0127167070522771","0.0199668606431545","2"
"Part-time","1994","Not Employed","Female","26","","","","2"
"Part-time","1994","Employed","Female","801","0.248267744350942","0.234264239715689","0.262271248986195","2"
"Full-time","1995","Employed","Male","4055","0.838397842034771","0.827987004552809","0.848808679516733","1"
"Full-time","1995","Not Employed","Male","49","0.0230135898746958","0.015752069031132","0.0302751107182596","1"
"Full-time","1995","Not Employed","Female","39","0.00755286430578539","0.00455313107420775","0.010552597537363","1"
"Full-time","1995","Employed","Female","2014","0.518986091531754","0.502949628921942","0.535022554141566","1"
"Non-working","1995","Not Employed","Male","1562","0.962116733277727","0.952871268739187","0.971362197816266","5"
"Non-working","1995","Employed","Female","455","0.12325415058189","0.112703249894763","0.133805051269016","5"
"Non-working","1995","Not Employed","Female","3087","0.974179685120363","0.968684612915651","0.979674757325076","5"
"Non-working","1995","Employed","Male","380","0.0807348090789983","0.0730295395985199","0.0884400785594767","5"
"Other","1995","Not Employed","Female","43","0.0111763351010463","0.00753398040917725","0.0148186897929153","6"
"Other","1995","Not Employed","Male","26","","","","6"
"Other","1995","Employed","Male","293","0.0578831353388608","0.0512782478213261","0.0644880228563955","6"
"Other","1995","Employed","Female","388","0.102574679858932","0.0928366490605037","0.112312710657361","6"
"Part-time","1995","Not Employed","Male","1","","","","2"
"Part-time","1995","Employed","Male","74","0.0229842135473696","0.0187458068452","0.0272226202495393","2"
"Part-time","1995","Not Employed","Female","31","0.00709111547280507","0.00418384739957809","0.00999838354603204","2"
"Part-time","1995","Employed","Female","872","0.255185078027424","0.241192307195432","0.269177848859416","2"
"Full-time","1996","Employed","Male","3919","0.82825403391274","0.81750339167391","0.83900467615157","1"
"Full-time","1996","Not Employed","Male","33","0.0175888144943679","0.0111214913517811","0.0240561376369547","1"
"Full-time","1996","Not Employed","Female","26","","","","1"
"Full-time","1996","Employed","Female","1938","0.499851214885584","0.483796719825618","0.515905709945549","1"
"Non-working","1996","Not Employed","Male","1527","0.96970451763685","0.961271786128593","0.978137249145106","5"
"Non-working","1996","Employed","Female","496","0.1271938607","0.116495465499889","0.137892255900111","5"
"Non-working","1996","Not Employed","Female","2986","0.975417035294096","0.969950984973157","0.980883085615034","5"
"Non-working","1996","Employed","Male","434","0.0893353996446905","0.081205215602134","0.0974655836872471","5"
"Other","1996","Not Employed","Male","23","","","","6"
"Other","1996","Not Employed","Female","39","0.00894892436062397","0.00562466602892485","0.0122731826923231","6"
"Other","1996","Employed","Male","276","0.0543090481451306","0.047849233309093","0.0607688629811682","6"
"Other","1996","Employed","Female","372","0.100023926817682","0.0903902050856689","0.109657648549695","6"
"Part-time","1996","Not Employed","Male","4","","","","2"
"Part-time","1996","Not Employed","Female","32","0.0115425747937167","0.00777213802958792","0.0153130115578454","2"
"Part-time","1996","Employed","Male","99","0.028101518297439","0.0233908263860894","0.0328122102087886","2"
"Part-time","1996","Employed","Female","920","0.272930997596735","0.258627543986501","0.287234451206969","2"
"Full-time","1997","Employed","Male","3798","0.824158408175612","0.813139347583939","0.835177468767285","1"
"Full-time","1997","Employed","Female","1901","0.508304555373041","0.491923645676399","0.524685465069684","1"
"Full-time","1997","Not Employed","Male","25","","","","1"
"Full-time","1997","Not Employed","Female","21","","","","1"
"Non-working","1997","Not Employed","Male","1603","0.977113945652011","0.969902851967217","0.984325039336804","5"
"Non-working","1997","Not Employed","Female","3018","0.980999431008007","0.976193418186077","0.985805443829937","5"
"Non-working","1997","Employed","Male","424","0.0948383381373587","0.0863576036982944","0.103319072576423","5"
"Non-working","1997","Employed","Female","440","0.121269109814959","0.110572874113008","0.13196534551691","5"
"Other","1997","Not Employed","Female","39","0.00646072795692406","0.00364039429766682","0.0092810616161813","6"
"Other","1997","Not Employed","Male","20","","","","6"
"Other","1997","Employed","Male","274","0.0517440013194837","0.0453323303845283","0.0581556722544391","6"
"Other","1997","Employed","Female","358","0.0979199700988245","0.0881816040864822","0.107658336111167","6"
"Part-time","1997","Not Employed","Female","22","","","","2"
"Part-time","1997","Employed","Male","89","0.0292592523675457","0.0243810292116741","0.0341374755234173","2"
"Part-time","1997","Not Employed","Male","4","","","","2"
"Part-time","1997","Employed","Female","879","0.272506364713175","0.257917185907351","0.287095543518999","2"
"Full-time","1998","Not Employed","Female","20","","","","1"
"Full-time","1998","Employed","Female","2065","0.50980198968397","0.494122782205397","0.525481197162543","1"
"Full-time","1998","Not Employed","Male","35","0.0175964812147444","0.011735234075289","0.0234577283541997","1"
"Full-time","1998","Employed","Male","4123","0.825612166539113","0.815076821086157","0.836147511992069","1"
"Non-working","1998","Not Employed","Male","1869","0.968298934182896","0.960488524354177","0.976109344011614","5"
"Non-working","1998","Employed","Male","422","0.0809291481093141","0.0733568164333133","0.088501479785315","5"
"Non-working","1998","Not Employed","Female","3433","0.982185553779709","0.977807056649245","0.986564050910174","5"
"Non-working","1998","Employed","Female","445","0.114798524397889","0.104800209992373","0.124796838803405","5"
"Other","1998","Not Employed","Female","30","0.00794841752474845","0.00500907905724907","0.0108877559922478","6"
"Other","1998","Not Employed","Male","23","","","","6"
"Other","1998","Employed","Male","337","0.0634033173669823","0.0566372713716519","0.0701693633623127","6"
"Other","1998","Employed","Female","411","0.0901753162559813","0.0811915122929189","0.0991591202190436","6"
"Part-time","1998","Not Employed","Female","23","","","","2"
"Part-time","1998","Employed","Male","101","0.0300553679845907","0.0253147261556239","0.0347960098135576","2"
"Part-time","1998","Not Employed","Male","6","","","","2"
"Part-time","1998","Employed","Female","984","0.285224169662159","0.271062460746422","0.299385878577897","2"
"Full-time","1999","Employed","Female","1992","0.491414213483822","0.475738318274464","0.50709010869318","1"
"Full-time","1999","Not Employed","Male","25","","","","1"
"Full-time","1999","Not Employed","Female","28","","","","1"
"Full-time","1999","Employed","Male","4016","0.817028411742767","0.80619485925773","0.827861964227805","1"
"Non-working","1999","Not Employed","Male","1704","0.977032715625861","0.970018317419808","0.984047113831914","5"
"Non-working","1999","Employed","Male","412","0.0852649125735592","0.0774397507455311","0.0930900744015872","5"
"Non-working","1999","Not Employed","Female","3119","0.976608599787228","0.971384897072944","0.981832302501513","5"
"Non-working","1999","Employed","Female","444","0.113354598347392","0.103413807425783","0.123295389269","5"
"Other","1999","Not Employed","Female","45","0.00987424927418396","0.00645691633941631","0.0132915822089516","6"
"Other","1999","Not Employed","Male","18","","","","6"
"Other","1999","Employed","Male","355","0.067202058084647","0.0601867692015532","0.0742173469677407","6"
"Other","1999","Employed","Female","489","0.132051990782475","0.121436362140545","0.142667619424405","6"
"Part-time","1999","Not Employed","Female","24","","","","2"
"Part-time","1999","Employed","Male","110","0.0305046175990267","0.0256860700584625","0.0353231651395909","2"
"Part-time","1999","Not Employed","Male","5","","","","2"
"Part-time","1999","Employed","Female","982","0.263179197386311","0.249371123449406","0.276987271323217","2"
"Full-time","2000","Not Employed","Male","50","0.0155668582263578","0.0113387526436202","0.0197949638090955","1"
"Full-time","2000","Not Employed","Female","38","0.00564120920891415","0.00370972055819325","0.00757269785963505","1"
"Full-time","2000","Employed","Female","3167","0.467315203195765","0.455485264700666","0.479145141690864","1"
"Full-time","2000","Employed","Male","6830","0.813880166409762","0.805538178236453","0.822222154583071","1"
"Non-working","2000","Not Employed","Male","3193","0.971233274671733","0.965524285549948","0.976942263793519","5"
"Non-working","2000","Employed","Male","758","0.0876488878979601","0.0815878469604727","0.0937099288354476","5"
"Non-working","2000","Not Employed","Female","5610","0.972791287335034","0.968595646225574","0.976986928444493","5"
"Non-working","2000","Employed","Female","860","0.12009148833249","0.112383922307968","0.127799054357012","5"
"Other","2000","Not Employed","Female","67","0.0117206193257868","0.00894506554884935","0.0144961731027242","6"
"Other","2000","Not Employed","Male","43","0.0108698407614901","0.00732831391252402","0.0144113676104563","6"
"Other","2000","Employed","Male","573","0.0678545067564268","0.0624640668296452","0.0732449466832085","6"
"Other","2000","Employed","Female","835","0.120318156999119","0.11260431427066","0.128031999727578","6"
"Part-time","2000","Not Employed","Female","61","0.00984688413026547","0.00730043449027815","0.0123933337702528","2"
"Part-time","2000","Employed","Male","201","0.0306164389358512","0.0269239587586718","0.0343089191130306","2"
"Part-time","2000","Not Employed","Male","7","","","","2"
"Part-time","2000","Employed","Female","1971","0.292275151472626","0.281491383127513","0.303058919817739","2"
"Full-time","2001","Not Employed","Male","35","0.0104065199281888","0.00680564398027567","0.014007395876102","1"
"Full-time","2001","Not Employed","Female","33","0.00613704304363368","0.00399110402532694","0.00828298206194041","1"
"Full-time","2001","Employed","Female","2899","0.451789037215475","0.439589666158434","0.463988408272516","1"
"Full-time","2001","Employed","Male","6115","0.804056335599883","0.795091741728824","0.813020929470943","1"
"Non-working","2001","Not Employed","Male","2975","0.977391546314009","0.972116859162034","0.982666233465983","5"
"Non-working","2001","Employed","Male","677","0.0941288493329196","0.0875338256943812","0.100723872971458","5"
"Non-working","2001","Not Employed","Female","4935","0.974056919475914","0.969688971275327","0.978424867676501","5"
"Non-working","2001","Employed","Female","844","0.13091342752424","0.122645067937704","0.139181787110777","5"
"Other","2001","Not Employed","Female","69","0.0107174006143526","0.00788809763257821","0.013546703596127","6"
"Other","2001","Not Employed","Male","36","0.0102682302720125","0.00669111000035207","0.0138453505436729","6"
"Other","2001","Employed","Male","549","0.0708015515950082","0.0650086334377384","0.0765944697522779","6"
"Other","2001","Employed","Female","829","0.129546397653705","0.121314855193483","0.137777940113926","6"
"Part-time","2001","Employed","Male","190","0.0310132634721888","0.0270980592729573","0.0349284676714204","2"
"Part-time","2001","Not Employed","Female","51","0.0090886368660999","0.00648103477972196","0.0116962389524778","2"
"Part-time","2001","Not Employed","Male","5","","","","2"
"Part-time","2001","Employed","Female","1821","0.28775113760658","0.27665376557842","0.29884850963474","2"
"Full-time","2002","Not Employed","Male","37","0.0125805068461662","0.00871038068413147","0.0164506330082008","1"
"Full-time","2002","Not Employed","Female","25","","","","1"
"Full-time","2002","Employed","Female","3070","0.434708255006328","0.422974204532256","0.4464423054804","1"
"Full-time","2002","Employed","Male","6439","0.79192347473671","0.783023812893924","0.800823136579495","1"
"Non-working","2002","Not Employed","Male","3107","0.974996119447088","0.969574483443741","0.980417755450434","5"
"Non-working","2002","Employed","Female","853","0.134414782286448","0.126340738160813","0.142488826412083","5"
"Non-working","2002","Employed","Male","786","0.106435604971208","0.099674358812933","0.113196851129483","5"
"Non-working","2002","Not Employed","Female","4991","0.978076447249335","0.974066600448477","0.982086294050194","5"
"Other","2002","Not Employed","Female","68","0.011688861093707","0.0087456673137643","0.0146320548736497","6"
"Other","2002","Not Employed","Male","36","0.0109032221952409","0.00729725285246801","0.0145091915380139","6"
"Other","2002","Employed","Male","573","0.0729338285280287","0.0672329704919894","0.078634686564068","6"
"Other","2002","Employed","Female","878","0.13590917533514","0.127797383971706","0.144020966698574","6"
"Part-time","2002","Not Employed","Male","6","","","","2"
"Part-time","2002","Employed","Male","194","0.0287070917640535","0.0250461732603426","0.0323680102677644","2"
"Part-time","2002","Not Employed","Female","39","0.00597718833001347","0.00386645893417908","0.00808791772584786","2"
"Part-time","2002","Employed","Female","2055","0.294967787372084","0.284173239371214","0.305762335372954","2"
"Full-time","2003","Not Employed","Male","23","","","","1"
"Full-time","2003","Not Employed","Female","17","","","","1"
"Full-time","2003","Employed","Female","2862","0.433459092981206","0.421459017245514","0.445459168716897","1"
"Full-time","2003","Employed","Male","5969","0.785957157016994","0.776691271609716","0.795223042424272","1"
"Non-working","2003","Not Employed","Male","3133","0.979719257313039","0.974838417134201","0.984600097491877","5"
"Non-working","2003","Employed","Female","809","0.127636103265178","0.11955575830909","0.135716448221266","5"
"Non-working","2003","Not Employed","Female","4901","0.979685964468708","0.97578156568072","0.983590363256696","5"
"Non-working","2003","Employed","Male","793","0.109342579621803","0.10229261177865","0.116392547464956","5"
"Other","2003","Not Employed","Female","66","0.0114206124076517","0.00847982862882588","0.0143613961864775","6"
"Other","2003","Not Employed","Male","44","0.0140143515180863","0.00994407759630138","0.0180846254398713","6"
"Other","2003","Employed","Male","551","0.0701865269522676","0.0644153827405147","0.0759576711640205","6"
"Other","2003","Employed","Female","847","0.138260965572429","0.129902395898168","0.146619535246691","6"
"Part-time","2003","Not Employed","Male","4","","","","2"
"Part-time","2003","Employed","Male","214","0.0345137364089355","0.0303898549631031","0.0386376178547678","2"
"Part-time","2003","Not Employed","Female","31","0.00517660357583122","0.00319047174545534","0.00716273540620709","2"
"Part-time","2003","Employed","Female","2033","0.300643838181187","0.289540088880756","0.311747587481617","2"
"Full-time","2004","Not Employed","Male","25","","","","1"
"Full-time","2004","Not Employed","Female","21","","","","1"
"Full-time","2004","Employed","Female","2747","0.4266918081955","0.414525840646119","0.438857775744881","1"
"Full-time","2004","Employed","Male","5742","0.789303705849089","0.779859151890927","0.798748259807251","1"
"Non-working","2004","Not Employed","Male","3193","0.97864952892248","0.973692849284162","0.983606208560797","5"
"Non-working","2004","Employed","Female","748","0.12875313886261","0.120514699425268","0.136991578299952","5"
"Non-working","2004","Not Employed","Female","4848","0.981461436177438","0.977705649433534","0.985217222921341","5"
"Non-working","2004","Employed","Male","677","0.103347116441443","0.0962970649458761","0.110397167937009","5"
"Other","2004","Not Employed","Female","59","0.0107225066656772","0.00785480817058392","0.0135902051607704","6"
"Other","2004","Employed","Male","535","0.073600118184297","0.0675527079017445","0.0796475284668494","6"
