"erwst","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1993","general elemantary","Male","490","0.443901388037605","0.412290685947497","0.475512090127713"
"Full-time","1993","general elemantary","Female","318","0.135450094478078","0.119453654321465","0.151446534634691"
"Full-time","1993","middle vocational","Male","2307","0.628097332504518","0.611870774029848","0.644323890979189"
"Full-time","1993","middle vocational","Female","1090","0.285195749740198","0.269762859262336","0.30062864021806"
"Full-time","1993","vocational + Abi","Male","130","0.564375402011529","0.498705514943631","0.630045289079427"
"Full-time","1993","vocational + Abi","Female","78","0.458363028340183","0.383018383364387","0.53370767331598"
"Full-time","1993","higher vocational","Male","341","0.674530198659615","0.632349383490104","0.716711013829127"
"Full-time","1993","higher vocational","Female","106","0.364614287528227","0.307518728273614","0.42170984678284"
"Full-time","1993","higher education","Male","675","0.719480674680865","0.690291732630092","0.748669616731637"
"Full-time","1993","higher education","Female","418","0.48591458260123","0.449658216818193","0.522170948384266"
"Part-time","1993","in school","Male","","","",""
"Part-time","1993","in school","Female","1","","",""
"Part-time","1993","inadequately","Male","1","","",""
"Part-time","1993","inadequately","Female","40","0.0781674010002234","0.0505531259879431","0.105781676012504"
"Part-time","1993","general elemantary","Male","7","","",""
"Part-time","1993","general elemantary","Female","177","0.0963024517887135","0.0825123052963924","0.110092598281035"
"Part-time","1993","middle vocational","Male","27","","",""
"Part-time","1993","middle vocational","Female","459","0.139457279559846","0.127616262722311","0.15129829639738"
"Part-time","1993","vocational + Abi","Male","3","","",""
"Part-time","1993","vocational + Abi","Female","23","","",""
"Part-time","1993","higher vocational","Male","3","","",""
"Part-time","1993","higher vocational","Female","50","0.160254461045875","0.116738790091808","0.203770131999942"
"Part-time","1993","higher education","Male","18","","",""
"Part-time","1993","higher education","Female","100","0.154134244894255","0.127941141818998","0.180327347969513"
"Non-working","1993","in school","Male","79","0.904191847328791","0.842697063160736","0.965686631496847"
"Non-working","1993","in school","Female","96","0.98880688622256","0.967977990128409","1.00963578231671"
"Non-working","1993","inadequately","Male","84","0.371450896674495","0.311674250979736","0.431227542369254"
"Non-working","1993","inadequately","Female","226","0.639447407581329","0.590052576421352","0.688842238741307"
"Non-working","1993","general elemantary","Male","292","0.379301263087926","0.348430486122611","0.410172040053242"
"Non-working","1993","general elemantary","Female","1090","0.698506834325112","0.677055084600985","0.719958584049239"
"Non-working","1993","middle vocational","Male","986","0.340272246065256","0.324365038821922","0.356179453308591"
"Non-working","1993","middle vocational","Female","1574","0.528879082302688","0.51181721438832","0.545940950217057"
"Non-working","1993","vocational + Abi","Male","72","0.324674027405757","0.262657629993923","0.386690424817591"
"Non-working","1993","vocational + Abi","Female","58","0.306236807458195","0.236537610915382","0.375936004001007"
"Non-working","1993","higher vocational","Male","123","0.305698155941978","0.264223815426299","0.347172496457657"
"Non-working","1993","higher vocational","Female","105","0.422456436749539","0.363862846820699","0.48105002667838"
"Non-working","1993","higher education","Male","203","0.238002300381315","0.210333215074543","0.265671385688086"
"Non-working","1993","higher education","Female","199","0.328200209782683","0.294137748963997","0.362262670601369"
"Other","1993","in school","Male","9","","",""
"Other","1993","in school","Female","1","","",""
"Other","1993","inadequately","Male","7","","",""
"Other","1993","inadequately","Female","9","","",""
"Other","1993","general elemantary","Male","160","0.168915685583815","0.145077537256094","0.192753833911536"
"Other","1993","general elemantary","Female","173","0.0697406194080968","0.0578341339788079","0.0816471048373857"
"Other","1993","middle vocational","Male","88","0.0234452729034392","0.0183651497880027","0.0285253960188756"
"Other","1993","middle vocational","Female","165","0.0464678883972683","0.0392729626390504","0.0536628141554863"
"Other","1993","vocational + Abi","Male","14","","",""
"Other","1993","vocational + Abi","Female","9","","",""
"Other","1993","higher vocational","Male","7","","",""
"Other","1993","higher vocational","Female","12","","",""
"Other","1993","higher education","Male","14","","",""
"Other","1993","higher education","Female","13","","",""
"Full-time","1994","in school","Male","","","",""
"Full-time","1994","in school","Female","","","",""
"Full-time","1994","inadequately","Male","136","0.536991841199767","0.472126407226259","0.601857275173275"
"Full-time","1994","inadequately","Female","76","0.223198390189763","0.178408537241163","0.267988243138363"
"Full-time","1994","general elemantary","Male","426","0.422698639295137","0.389683313985107","0.455713964605168"
"Full-time","1994","general elemantary","Female","266","0.116428825936963","0.10098094358577","0.131876708288155"
"Full-time","1994","middle vocational","Male","2222","0.618983304964068","0.602498767577613","0.635467842350524"
"Full-time","1994","middle vocational","Female","1023","0.267185377347218","0.25200056186037","0.282370192834066"
"Full-time","1994","vocational + Abi","Male","129","0.573509738517545","0.507554974116019","0.639464502919071"
"Full-time","1994","vocational + Abi","Female","80","0.42844507879977","0.355543317413361","0.501346840186179"
"Full-time","1994","higher vocational","Male","334","0.631927723078638","0.588647532978083","0.675207913179193"
"Full-time","1994","higher vocational","Female","119","0.406979888730923","0.349539665848317","0.46442011161353"
"Full-time","1994","higher education","Male","680","0.713383177023994","0.684068354866523","0.742697999181465"
"Full-time","1994","higher education","Female","417","0.485358536213323","0.449397693436868","0.521319378989779"
"Part-time","1994","in school","Male","1","","",""
"Part-time","1994","in school","Female","","","",""
"Part-time","1994","inadequately","Male","","","",""
"Part-time","1994","inadequately","Female","37","0.0859809456687433","0.055826053305383","0.116135838032104"
"Part-time","1994","general elemantary","Male","5","","",""
"Part-time","1994","general elemantary","Female","155","0.0817910439887565","0.0685920277605123","0.0949900602170007"
"Part-time","1994","middle vocational","Male","28","","",""
"Part-time","1994","middle vocational","Female","451","0.139533766490694","0.127642922323674","0.151424610657714"
"Part-time","1994","vocational + Abi","Male","5","","",""
"Part-time","1994","vocational + Abi","Female","21","","",""
"Part-time","1994","higher vocational","Male","2","","",""
"Part-time","1994","higher vocational","Female","48","0.164477370037006","0.121133556818069","0.207821183255943"
"Part-time","1994","higher education","Male","17","","",""
"Part-time","1994","higher education","Female","105","0.154021099685099","0.128048464584566","0.179993734785631"
"Non-working","1994","in school","Male","104","0.977410125860979","0.94938603477622","1.00543421694574"
"Non-working","1994","in school","Female","125","0.946425919193263","0.908012602886435","0.98483923550009"
"Non-working","1994","inadequately","Male","82","0.404785213318862","0.340931767605095","0.468638659032629"
"Non-working","1994","inadequately","Female","208","0.658029809706454","0.607003288793009","0.709056330619899"
"Non-working","1994","general elemantary","Male","296","0.402312947284239","0.369539826835993","0.435086067732486"
"Non-working","1994","general elemantary","Female","1081","0.741627903175472","0.720544837559862","0.762710968791082"
"Non-working","1994","middle vocational","Male","990","0.348551278375056","0.332376484633236","0.364726072116875"
"Non-working","1994","middle vocational","Female","1626","0.549680959608657","0.532607496731124","0.56675442248619"
"Non-working","1994","vocational + Abi","Male","75","0.326463835999387","0.263929403252812","0.388998268745961"
"Non-working","1994","vocational + Abi","Female","61","0.327985537496371","0.258821854014095","0.397149220978647"
"Non-working","1994","higher vocational","Male","136","0.342465560030395","0.299880564534696","0.385050555526095"
"Non-working","1994","higher vocational","Female","96","0.384800712031485","0.327912697492117","0.441688726570853"
"Non-working","1994","higher education","Male","203","0.247949635542942","0.219954653496214","0.275944617589671"
"Non-working","1994","higher education","Female","197","0.31296581024996","0.279601376287914","0.346330244212006"
"Other","1994","in school","Male","3","","",""
"Other","1994","in school","Female","7","","",""
"Other","1994","inadequately","Male","9","","",""
"Other","1994","inadequately","Female","11","","",""
"Other","1994","general elemantary","Male","133","0.164415869248615","0.139643598184738","0.189188140312493"
"Other","1994","general elemantary","Female","154","0.0601522268988088","0.0487004589766151","0.0716039948210025"
"Other","1994","middle vocational","Male","94","0.0232072872157893","0.0180966072342304","0.0283179671973481"
"Other","1994","middle vocational","Female","162","0.043599896553431","0.036592307116648","0.0506074859902139"
"Other","1994","vocational + Abi","Male","7","","",""
"Other","1994","vocational + Abi","Female","15","","",""
"Other","1994","higher vocational","Male","5","","",""
"Other","1994","higher vocational","Female","18","","",""
"Other","1994","higher education","Male","14","","",""
"Other","1994","higher education","Female","23","","",""
"Full-time","1995","in school","Male","1","","",""
"Full-time","1995","in school","Female","","","",""
"Full-time","1995","inadequately","Male","122","0.5257379082403","0.45852169945072","0.59295411702988"
"Full-time","1995","inadequately","Female","67","0.204753432715763","0.160815250738237","0.24869161469329"
"Full-time","1995","general elemantary","Male","434","0.425912819493246","0.393092777747878","0.458732861238615"
"Full-time","1995","general elemantary","Female","263","0.11310678732641","0.0977967170743284","0.128416857578492"
"Full-time","1995","middle vocational","Male","2245","0.603153581537437","0.586725486283858","0.619581676791017"
"Full-time","1995","middle vocational","Female","1049","0.263899617242099","0.248972414922072","0.278826819562126"
"Full-time","1995","vocational + Abi","Male","167","0.592457108559376","0.531788653008599","0.653125564110152"
"Full-time","1995","vocational + Abi","Female","86","0.412061881766155","0.348032074850604","0.476091688681706"
"Full-time","1995","higher vocational","Male","345","0.656631594391824","0.613975050201638","0.699288138582011"
"Full-time","1995","higher vocational","Female","123","0.358727423662222","0.303430268008884","0.41402457931556"
"Full-time","1995","higher education","Male","723","0.715723593331878","0.687190060270004","0.744257126393751"
"Full-time","1995","higher education","Female","428","0.451381453046132","0.416962518986026","0.485800387106238"
"Part-time","1995","in school","Male","","","",""
"Part-time","1995","in school","Female","","","",""
"Part-time","1995","inadequately","Male","","","",""
"Part-time","1995","inadequately","Female","33","0.0808848302462344","0.0511959312550439","0.110573729237425"
"Part-time","1995","general elemantary","Male","7","","",""
"Part-time","1995","general elemantary","Female","129","0.0651665115481073","0.0532355196199929","0.0770975034762218"
"Part-time","1995","middle vocational","Male","40","0.0156687587619868","0.0114986252860704","0.0198388922379033"
"Part-time","1995","middle vocational","Female","505","0.143022473323663","0.131165403539325","0.154879543108001"
"Part-time","1995","vocational + Abi","Male","1","","",""
"Part-time","1995","vocational + Abi","Female","34","0.165611190746102","0.117253646520399","0.213968734971805"
"Part-time","1995","higher vocational","Male","4","","",""
"Part-time","1995","higher vocational","Female","54","0.173268957490848","0.129633285012998","0.216904629968698"
"Part-time","1995","higher education","Male","23","","",""
"Part-time","1995","higher education","Female","137","0.175605908740689","0.149289458016756","0.201922359464623"
"Non-working","1995","in school","Male","137","0.940632534934586","0.901901034370309","0.979364035498864"
"Non-working","1995","in school","Female","137","0.950681643664517","0.915315419425803","0.986047867903231"
"Non-working","1995","inadequately","Male","84","0.423052115870598","0.356548480123005","0.489555751618191"
"Non-working","1995","inadequately","Female","213","0.664428261000081","0.613012967004206","0.715843554995956"
"Non-working","1995","general elemantary","Male","277","0.395699827781976","0.363243518126188","0.428156137437763"
"Non-working","1995","general elemantary","Female","1080","0.749168133047889","0.728213590341424","0.770122675754355"
"Non-working","1995","middle vocational","Male","1017","0.352612937485206","0.336569657838997","0.368656217131415"
"Non-working","1995","middle vocational","Female","1622","0.546819752789716","0.529960120423662","0.56367938515577"
"Non-working","1995","vocational + Abi","Male","75","0.335083326555587","0.276804896827596","0.393361756283578"
"Non-working","1995","vocational + Abi","Female","92","0.367946031418867","0.30521183992791","0.430680222909823"
"Non-working","1995","higher vocational","Male","120","0.321302411219171","0.279351658266816","0.363253164171527"
"Non-working","1995","higher vocational","Female","99","0.431658902251107","0.374553913344168","0.488763891158045"
"Non-working","1995","higher education","Male","200","0.23140465885986","0.204727019486347","0.258082298233374"
"Non-working","1995","higher education","Female","215","0.326168386668082","0.293742867203917","0.358593906132246"
"Other","1995","in school","Male","5","","",""
"Other","1995","in school","Female","7","","",""
"Other","1995","inadequately","Male","6","","",""
"Other","1995","inadequately","Female","11","","",""
"Other","1995","general elemantary","Male","154","0.172869695722336","0.147771861363649","0.197967530081024"
"Other","1995","general elemantary","Female","172","0.0725585680775933","0.0600189363264986","0.085098199828688"
"Other","1995","middle vocational","Male","105","0.0285647222153705","0.0229712180969501","0.034158226333791"
"Other","1995","middle vocational","Female","173","0.0462581566445218","0.0391443821031702","0.0533719311858734"
"Other","1995","vocational + Abi","Male","9","","",""
"Other","1995","vocational + Abi","Female","15","","",""
"Other","1995","higher vocational","Male","7","","",""
"Other","1995","higher vocational","Female","13","","",""
"Other","1995","higher education","Male","14","","",""
"Other","1995","higher education","Female","23","","",""
"Full-time","1996","in school","Male","","","",""
"Full-time","1996","in school","Female","","","",""
"Full-time","1996","inadequately","Male","113","0.559363224153455","0.490899624171094","0.627826824135816"
"Full-time","1996","inadequately","Female","54","0.170328678446326","0.127358084810421","0.21329927208223"
"Full-time","1996","general elemantary","Male","384","0.392048281923457","0.358714176260159","0.425382387586755"
"Full-time","1996","general elemantary","Female","239","0.105517049421465","0.0903925569340751","0.120641541908855"
"Full-time","1996","middle vocational","Male","2178","0.596560388706304","0.579940170943696","0.613180606468912"
"Full-time","1996","middle vocational","Female","990","0.257211834976354","0.242296435316637","0.272127234636072"
"Full-time","1996","vocational + Abi","Male","157","0.607025753519846","0.545362679257109","0.668688827782584"
"Full-time","1996","vocational + Abi","Female","99","0.414044757007136","0.3513357700275","0.476753743986773"
"Full-time","1996","higher vocational","Male","343","0.65513536560271","0.612344726563066","0.697926004642354"
"Full-time","1996","higher vocational","Female","124","0.35321143297435","0.298761070014194","0.407661795934507"
"Full-time","1996","higher education","Male","713","0.70354863687604","0.674808686583007","0.732288587169072"
"Full-time","1996","higher education","Female","430","0.437846355270212","0.403467494404946","0.472225216135479"
"Part-time","1996","in school","Male","1","","",""
"Part-time","1996","in school","Female","1","","",""
"Part-time","1996","inadequately","Male","","","",""
"Part-time","1996","inadequately","Female","35","0.125075430542352","0.0872620299757729","0.162888831108931"
"Part-time","1996","general elemantary","Male","10","","",""
"Part-time","1996","general elemantary","Female","135","0.0698733105882148","0.057322835349566","0.0824237858268637"
"Part-time","1996","middle vocational","Male","47","0.0167045419905147","0.0123626447815372","0.0210464391994923"
"Part-time","1996","middle vocational","Female","539","0.155911483258575","0.143532357330689","0.168290609186462"
"Part-time","1996","vocational + Abi","Male","7","","",""
"Part-time","1996","vocational + Abi","Female","37","0.1746909676264","0.126349765915552","0.223032169337248"
"Part-time","1996","higher vocational","Male","5","","",""
"Part-time","1996","higher vocational","Female","64","0.215595073260238","0.168746992040797","0.262443154479679"
"Part-time","1996","higher education","Male","30","0.0431292024237798","0.0303449720615311","0.0559134327860285"
"Part-time","1996","higher education","Female","127","0.180327269101155","0.153686053086515","0.206968485115796"
"Non-working","1996","in school","Male","134","0.973868739383906","0.947252975126902","1.00048450364091"
"Non-working","1996","in school","Female","149","0.9519585810308","0.918400066266643","0.985517095794957"
"Non-working","1996","inadequately","Male","82","0.398179976333997","0.330673501287233","0.46568645138076"
"Non-working","1996","inadequately","Female","194","0.666161359644577","0.612255938137299","0.720066781151855"
"Non-working","1996","general elemantary","Male","277","0.418678137295589","0.384993416257661","0.452362858333517"
"Non-working","1996","general elemantary","Female","1046","0.747614269600532","0.726229496472471","0.768999042728593"
"Non-working","1996","middle vocational","Male","1031","0.361925824070531","0.345645404056872","0.37820624408419"
"Non-working","1996","middle vocational","Female","1604","0.546257443580624","0.529268734712523","0.563246152448725"
"Non-working","1996","vocational + Abi","Male","68","0.297865121528292","0.240127396278174","0.355602846778411"
"Non-working","1996","vocational + Abi","Female","90","0.356609905508369","0.295627043246421","0.417592767770316"
"Non-working","1996","higher vocational","Male","120","0.320160282406911","0.278160608928425","0.362159955885397"
"Non-working","1996","higher vocational","Female","96","0.399210924259843","0.343419884198717","0.455001964320968"
"Non-working","1996","higher education","Male","215","0.241789585128773","0.214844727590561","0.268734442666986"
"Non-working","1996","higher education","Female","224","0.336868231458434","0.304116592124073","0.369619870792796"
"Other","1996","in school","Male","3","","",""
"Other","1996","in school","Female","6","","",""
"Other","1996","inadequately","Male","7","","",""
"Other","1996","inadequately","Female","11","","",""
"Other","1996","general elemantary","Male","153","0.178783619023957","0.152621245059879","0.204945992988035"
"Other","1996","general elemantary","Female","165","0.0769953703897878","0.0638713256058576","0.0901194151737179"
"Other","1996","middle vocational","Male","91","0.0248092452326502","0.0195397162376729","0.0300787742276274"
"Other","1996","middle vocational","Female","166","0.0406192381844462","0.0338829862249983","0.0473554901438941"
"Other","1996","vocational + Abi","Male","9","","",""
"Other","1996","vocational + Abi","Female","11","","",""
"Other","1996","higher vocational","Male","6","","",""
"Other","1996","higher vocational","Female","12","","",""
"Other","1996","higher education","Male","12","","",""
"Other","1996","higher education","Female","19","","",""
"Full-time","1997","in school","Male","1","","",""
"Full-time","1997","in school","Female","1","","",""
"Full-time","1997","inadequately","Male","93","0.493090926101406","0.422557013632536","0.563624838570276"
"Full-time","1997","inadequately","Female","51","0.206389503616761","0.158556324190157","0.254222683043363"
"Full-time","1997","general elemantary","Male","366","0.383624726408591","0.350563155951566","0.416686296865616"
"Full-time","1997","general elemantary","Female","225","0.111083486746806","0.0952810360974431","0.126885937396169"
"Full-time","1997","middle vocational","Male","2076","0.574792641980723","0.557801255897666","0.59178402806378"
"Full-time","1997","middle vocational","Female","965","0.247862522179925","0.233050066530677","0.262674977829174"
"Full-time","1997","vocational + Abi","Male","157","0.637853489924512","0.576534539900507","0.699172439948517"
"Full-time","1997","vocational + Abi","Female","93","0.377653149454509","0.313880507780535","0.441425791128484"
"Full-time","1997","higher vocational","Male","342","0.659402108616471","0.616783680327068","0.702020536905874"
"Full-time","1997","higher vocational","Female","118","0.350102951314759","0.295013047333125","0.405192855296394"
"Full-time","1997","higher education","Male","727","0.721999052814154","0.693848746650994","0.750149358977313"
"Full-time","1997","higher education","Female","442","0.465254663811598","0.430733949212411","0.499775378410785"
"Part-time","1997","in school","Male","","","",""
"Part-time","1997","in school","Female","","","",""
"Part-time","1997","inadequately","Male","2","","",""
"Part-time","1997","inadequately","Female","30","0.0951968616498544","0.0605095926029406","0.129884130696768"
"Part-time","1997","general elemantary","Male","10","","",""
"Part-time","1997","general elemantary","Female","132","0.0678344398909588","0.0551887987711829","0.0804800810107348"
"Part-time","1997","middle vocational","Male","36","0.0149569635052657","0.0107851763541893","0.0191287506563421"
"Part-time","1997","middle vocational","Female","508","0.152557223526141","0.140222068979203","0.164892378073079"
"Part-time","1997","vocational + Abi","Male","9","","",""
"Part-time","1997","vocational + Abi","Female","33","0.193444842208109","0.141485072503872","0.245404611912346"
"Part-time","1997","higher vocational","Male","5","","",""
"Part-time","1997","higher vocational","Female","61","0.195131713138037","0.149362000710593","0.240901425565481"
"Part-time","1997","higher education","Male","28","","",""
"Part-time","1997","higher education","Female","122","0.172771519439332","0.146607183156779","0.198935855721886"
"Non-working","1997","in school","Male","150","0.967958452425113","0.940322725538544","0.995594179311682"
"Non-working","1997","in school","Female","154","0.947257184922957","0.912623100861004","0.98189126898491"
"Non-working","1997","inadequately","Male","91","0.469354420340059","0.398946394377199","0.53976244630292"
"Non-working","1997","inadequately","Female","185","0.664439715005518","0.608631926505592","0.720247503505444"
"Non-working","1997","general elemantary","Male","297","0.430409345230109","0.396745024723601","0.464073665736618"
"Non-working","1997","general elemantary","Female","1021","0.759247453388343","0.737747064223332","0.780747842553355"
"Non-working","1997","middle vocational","Male","1065","0.388886229588104","0.372131202277386","0.405641256898822"
"Non-working","1997","middle vocational","Female","1619","0.556297647826206","0.539253609845439","0.573341685806973"
"Non-working","1997","vocational + Abi","Male","66","0.264946084004915","0.208643226125249","0.321248941884582"
"Non-working","1997","vocational + Abi","Female","79","0.366695688443765","0.303304232292858","0.430087144594672"
"Non-working","1997","higher vocational","Male","123","0.313114610404145","0.271408941406113","0.354820279402177"
"Non-working","1997","higher vocational","Female","99","0.421753773820372","0.364719260589676","0.478788287051069"
"Non-working","1997","higher education","Male","203","0.225930513054427","0.199653917935158","0.252207108173697"
"Non-working","1997","higher education","Female","221","0.331600512036757","0.299017850475652","0.364183173597862"
"Other","1997","in school","Male","5","","",""
"Other","1997","in school","Female","5","","",""
"Other","1997","inadequately","Male","7","","",""
"Other","1997","inadequately","Female","9","","",""
"Other","1997","general elemantary","Male","158","0.164011014496884","0.138835151627716","0.189186877366052"
"Other","1997","general elemantary","Female","141","0.0618346199738922","0.0497223720032766","0.0739468679445077"
"Other","1997","middle vocational","Male","75","0.0213641649259076","0.0163945087785097","0.0263338210733055"
"Other","1997","middle vocational","Female","172","0.0432826064677278","0.0363015435232696","0.050263669412186"
"Other","1997","vocational + Abi","Male","4","","",""
"Other","1997","vocational + Abi","Female","17","","",""
"Other","1997","higher vocational","Male","5","","",""
"Other","1997","higher vocational","Female","10","","",""
"Other","1997","higher education","Male","15","","",""
"Other","1997","higher education","Female","17","","",""
"Full-time","1998","in school","Male","2","","",""
"Full-time","1998","in school","Female","1","","",""
"Full-time","1998","inadequately","Male","91","0.518483592694881","0.446676941578226","0.590290243811535"
"Full-time","1998","inadequately","Female","41","0.188618972721432","0.141249062992924","0.235988882449941"
"Full-time","1998","general elemantary","Male","374","0.371794582092584","0.340616484816522","0.402972679368646"
"Full-time","1998","general elemantary","Female","217","0.0989869241551163","0.0845243498285957","0.113449498481637"
"Full-time","1998","middle vocational","Male","2216","0.566944230519712","0.550591606719874","0.583296854319549"
"Full-time","1998","middle vocational","Female","1040","0.246661532855906","0.232443319814143","0.260879745897669"
"Full-time","1998","vocational + Abi","Male","167","0.65512041489006","0.595356468914746","0.714884360865375"
"Full-time","1998","vocational + Abi","Female","118","0.410760515940861","0.351969330576022","0.4695517013057"
"Full-time","1998","higher vocational","Male","366","0.678309792355728","0.637365247034056","0.719254337677401"
"Full-time","1998","higher vocational","Female","130","0.33700041608473","0.285846013667218","0.388154818502242"
"Full-time","1998","higher education","Male","783","0.695209573621516","0.667832204519373","0.72258694272366"
"Full-time","1998","higher education","Female","468","0.456551298677195","0.423881502088229","0.489221095266161"
"Part-time","1998","in school","Male","","","",""
"Part-time","1998","in school","Female","","","",""
"Part-time","1998","inadequately","Male","","","",""
"Part-time","1998","inadequately","Female","29","","",""
"Part-time","1998","general elemantary","Male","8","","",""
"Part-time","1998","general elemantary","Female","130","0.0664096889957244","0.0543514181796807","0.0784679598117681"
"Part-time","1998","middle vocational","Male","53","0.0200769354394068","0.0154479047259064","0.0247059661529072"
"Part-time","1998","middle vocational","Female","551","0.154311764622441","0.142396494412087","0.166227034832795"
"Part-time","1998","vocational + Abi","Male","5","","",""
"Part-time","1998","vocational + Abi","Female","43","0.210895036964133","0.162145272895462","0.259644801032804"
"Part-time","1998","higher vocational","Male","5","","",""
"Part-time","1998","higher vocational","Female","70","0.194471983675805","0.151638833472979","0.237305133878631"
"Part-time","1998","higher education","Male","33","0.041656659474242","0.0297733895218878","0.0535399294265963"
"Part-time","1998","higher education","Female","150","0.184691113411356","0.159240019742739","0.210142207079974"
"Non-working","1998","in school","Male","154","0.937655178592613","0.900537905719753","0.974772451465473"
"Non-working","1998","in school","Female","166","0.960394546547688","0.931162960935502","0.989626132159874"
"Non-working","1998","inadequately","Male","83","0.394244816782931","0.324014733324998","0.464474900240863"
"Non-working","1998","inadequately","Female","179","0.665474629698695","0.608342853398724","0.722606405998667"
"Non-working","1998","general elemantary","Male","349","0.428469348823377","0.396544644509205","0.460394053137548"
"Non-working","1998","general elemantary","Female","1136","0.771978326890925","0.75166028926689","0.792296364514959"
"Non-working","1998","middle vocational","Male","1169","0.384203326563575","0.368150755882341","0.40025589724481"
"Non-working","1998","middle vocational","Female","1756","0.56003641329881","0.543663885671152","0.576408940926468"
"Non-working","1998","vocational + Abi","Male","58","0.256886384132991","0.201952145907238","0.311820622358744"
"Non-working","1998","vocational + Abi","Female","92","0.324490976100127","0.268542425470425","0.380439526729828"
"Non-working","1998","higher vocational","Male","125","0.306499719825551","0.266088547431663","0.34691089221944"
"Non-working","1998","higher vocational","Female","115","0.427975350223702","0.374429241053192","0.481521459394212"
"Non-working","1998","higher education","Male","255","0.250593608236818","0.224819902274637","0.276367314199"
"Non-working","1998","higher education","Female","256","0.336627340609339","0.305633468348509","0.367621212870168"
"Other","1998","in school","Male","7","","",""
"Other","1998","in school","Female","4","","",""
"Other","1998","inadequately","Male","12","","",""
"Other","1998","inadequately","Female","13","","",""
"Other","1998","general elemantary","Male","192","0.187886356504599","0.162686198362394","0.213086514646804"
"Other","1998","general elemantary","Female","155","0.0626250599582347","0.0508917136485782","0.0743584062678911"
"Other","1998","middle vocational","Male","89","0.0287755074773061","0.023258333616864","0.0342926813377483"
"Other","1998","middle vocational","Female","184","0.0389902892228428","0.032605576683738","0.0453750017619477"
"Other","1998","vocational + Abi","Male","13","","",""
"Other","1998","vocational + Abi","Female","16","","",""
"Other","1998","higher vocational","Male","4","","",""
"Other","1998","higher vocational","Female","13","","",""
"Other","1998","higher education","Male","15","","",""
"Other","1998","higher education","Female","19","","",""
"Full-time","1999","in school","Male","3","","",""
"Full-time","1999","in school","Female","1","","",""
"Full-time","1999","inadequately","Male","79","0.477865347733365","0.404068844291472","0.551661851175258"
"Full-time","1999","inadequately","Female","46","0.231063515813212","0.17902094485417","0.283106086772254"
"Full-time","1999","general elemantary","Male","360","0.36148115163545","0.32979296197988","0.393169341291021"
"Full-time","1999","general elemantary","Female","208","0.103571511439376","0.0885375797148748","0.118605443163876"
"Full-time","1999","middle vocational","Male","2207","0.580442850538192","0.564049362219997","0.596836338856387"
"Full-time","1999","middle vocational","Female","1025","0.255497160559918","0.241021168522307","0.269973152597528"
"Full-time","1999","vocational + Abi","Male","163","0.629495431663735","0.568396228671245","0.690594634656226"
"Full-time","1999","vocational + Abi","Female","121","0.415360837926961","0.356581737663315","0.474139938190608"
"Full-time","1999","higher vocational","Male","360","0.689493998245383","0.648483607611032","0.730504388879735"
"Full-time","1999","higher vocational","Female","133","0.330095206990521","0.279663808756309","0.380526605224733"
"Full-time","1999","higher education","Male","804","0.711521816088469","0.684576469362778","0.738467162814159"
"Full-time","1999","higher education","Female","463","0.447368068811944","0.414609348015547","0.480126789608342"
"Part-time","1999","in school","Male","2","","",""
"Part-time","1999","in school","Female","1","","",""
"Part-time","1999","inadequately","Male","2","","",""
"Part-time","1999","inadequately","Female","29","","",""
"Part-time","1999","general elemantary","Male","12","","",""
"Part-time","1999","general elemantary","Female","137","0.06465473488833","0.0525213846151355","0.0767880851615245"
"Part-time","1999","middle vocational","Male","56","0.0205604737378573","0.0158463448624825","0.025274602613232"
"Part-time","1999","middle vocational","Female","554","0.152031080694709","0.140113769619168","0.163948391770249"
"Part-time","1999","vocational + Abi","Male","7","","",""
"Part-time","1999","vocational + Abi","Female","43","0.15960613415821","0.115921124593762","0.203291143722657"
"Part-time","1999","higher vocational","Male","4","","",""
"Part-time","1999","higher vocational","Female","76","0.207583155683282","0.164087311733042","0.251078999633522"
"Part-time","1999","higher education","Male","30","0.0370252814137505","0.0257950215646192","0.0482555412628819"
"Part-time","1999","higher education","Female","149","0.167206887377378","0.142621780576051","0.191791994178705"
"Non-working","1999","in school","Male","142","0.864087743662193","0.810820801966318","0.917354685358069"
"Non-working","1999","in school","Female","149","0.885032258406797","0.835912283742472","0.934152233071122"
"Non-working","1999","inadequately","Male","81","0.390706827704522","0.318624232673638","0.462789422735405"
"Non-working","1999","inadequately","Female","164","0.601140018498521","0.540683118672344","0.661596918324699"
"Non-working","1999","general elemantary","Male","320","0.414789861533984","0.382293276382655","0.447286446685313"
"Non-working","1999","general elemantary","Female","1066","0.746870343487379","0.725417309837965","0.768323377136794"
"Non-working","1999","middle vocational","Male","1128","0.374060072466988","0.357985734921827","0.390134410012148"
"Non-working","1999","middle vocational","Female","1654","0.53028350654876","0.513718405780881","0.546848607316638"
"Non-working","1999","vocational + Abi","Male","56","0.256699037944741","0.201435722259969","0.311962353629513"
"Non-working","1999","vocational + Abi","Female","89","0.353505937299678","0.296483360933233","0.410528513666122"
"Non-working","1999","higher vocational","Male","118","0.290478149119473","0.25024043662586","0.330715861613086"
"Non-working","1999","higher vocational","Female","113","0.418225211300391","0.365324999507763","0.47112542309302"
"Non-working","1999","higher education","Male","237","0.238958916430023","0.213596019922889","0.264321812937158"
"Non-working","1999","higher education","Female","238","0.325674750052626","0.294800017026299","0.356549483078953"
