"erwst","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1987","35-65 y.","West Germany","2982","0.519395487272576","0.506046153151457","0.532744821393696"
"Full-time","1987","35-65 y.","East Germany","","","",""
"Full-time","1987","66 and older","West Germany","14","","",""
"Full-time","1987","66 and older","East Germany","","","",""
"Part-time","1987","16-34 y.","West Germany","197","0.054686254664288","0.0476786499803284","0.0616938593482475"
"Part-time","1987","16-34 y.","East Germany","","","",""
"Part-time","1987","35-65 y.","West Germany","481","0.0968842882349012","0.0889808698940489","0.104787706575753"
"Part-time","1987","35-65 y.","East Germany","","","",""
"Part-time","1987","66 and older","West Germany","11","","",""
"Part-time","1987","66 and older","East Germany","","","",""
"Non-working","1987","16-34 y.","West Germany","1360","0.306322947615944","0.292115667356204","0.320530227875684"
"Non-working","1987","16-34 y.","East Germany","","","",""
"Non-working","1987","35-65 y.","West Germany","1804","0.359907000719403","0.347082712179435","0.372731289259371"
"Non-working","1987","35-65 y.","East Germany","","","",""
"Non-working","1987","66 and older","West Germany","1049","0.973617695036104","0.964081309085767","0.98315408098644"
"Non-working","1987","66 and older","East Germany","","","",""
"Other","1987","16-34 y.","West Germany","526","0.128507519634576","0.11819324691849","0.138821792350663"
"Other","1987","16-34 y.","East Germany","","","",""
"Other","1987","35-65 y.","West Germany","114","0.0238132237731192","0.0197394946140957","0.0278869529321428"
"Other","1987","35-65 y.","East Germany","","","",""
"Other","1987","66 and older","West Germany","11","","",""
"Other","1987","66 and older","East Germany","","","",""
"Full-time","1988","16-34 y.","West Germany","1845","0.504966965552476","0.489180054536122","0.520753876568829"
"Full-time","1988","16-34 y.","East Germany","","","",""
"Full-time","1988","35-65 y.","West Germany","2809","0.523024542405341","0.50933404442837","0.536715040382312"
"Full-time","1988","35-65 y.","East Germany","","","",""
"Full-time","1988","66 and older","West Germany","15","","",""
"Full-time","1988","66 and older","East Germany","","","",""
"Part-time","1988","16-34 y.","West Germany","186","0.051685103436917","0.0446946142584029","0.0586755926154311"
"Part-time","1988","16-34 y.","East Germany","","","",""
"Part-time","1988","35-65 y.","West Germany","483","0.100632207471185","0.0923861309644921","0.108878283977879"
"Part-time","1988","35-65 y.","East Germany","","","",""
"Part-time","1988","66 and older","West Germany","11","","",""
"Part-time","1988","66 and older","East Germany","","","",""
"Non-working","1988","16-34 y.","West Germany","1294","0.315832409732359","0.301154703807676","0.330510115657042"
"Non-working","1988","16-34 y.","East Germany","","","",""
"Non-working","1988","35-65 y.","West Germany","1720","0.354102454348986","0.34099384925407","0.367211059443903"
"Non-working","1988","35-65 y.","East Germany","","","",""
"Non-working","1988","66 and older","West Germany","1019","0.972151409749544","0.962218045790278","0.982084773708809"
"Non-working","1988","66 and older","East Germany","","","",""
"Other","1988","16-34 y.","West Germany","528","0.127515521278248","0.116983566960824","0.138047475595672"
"Other","1988","16-34 y.","East Germany","","","",""
"Other","1988","35-65 y.","West Germany","101","0.0222407957744874","0.018198749210631","0.0262828423383438"
"Other","1988","35-65 y.","East Germany","","","",""
"Other","1988","66 and older","West Germany","9","","",""
"Other","1988","66 and older","East Germany","","","",""
"Full-time","1989","16-34 y.","West Germany","1920","0.525142197349983","0.509208192823254","0.541076201876712"
"Full-time","1989","16-34 y.","East Germany","","","",""
"Full-time","1989","35-65 y.","West Germany","2698","0.522594072835395","0.508618609820737","0.536569535850053"
"Full-time","1989","35-65 y.","East Germany","","","",""
"Full-time","1989","66 and older","West Germany","14","","",""
"Full-time","1989","66 and older","East Germany","","","",""
"Part-time","1989","16-34 y.","West Germany","205","0.0600548051599097","0.0524737468754099","0.0676358634444094"
"Part-time","1989","16-34 y.","East Germany","","","",""
"Part-time","1989","35-65 y.","West Germany","456","0.0985244544365219","0.0901859328686529","0.106862976004391"
"Part-time","1989","35-65 y.","East Germany","","","",""
"Part-time","1989","66 and older","West Germany","13","","",""
"Part-time","1989","66 and older","East Germany","","","",""
"Non-working","1989","16-34 y.","West Germany","1191","0.295577183455786","0.281017335194934","0.310137031716639"
"Non-working","1989","16-34 y.","East Germany","","","",""
"Non-working","1989","35-65 y.","West Germany","1645","0.356073029332015","0.342675401497206","0.369470657166824"
"Non-working","1989","35-65 y.","East Germany","","","",""
"Non-working","1989","66 and older","West Germany","993","0.971389405111487","0.961203478828216","0.981575331394759"
"Non-working","1989","66 and older","East Germany","","","",""
"Other","1989","16-34 y.","West Germany","457","0.119225814034321","0.108885776257469","0.129565851811172"
"Other","1989","16-34 y.","East Germany","","","",""
"Other","1989","35-65 y.","West Germany","108","0.0228084433960681","0.0186313158299954","0.0269855709621408"
"Other","1989","35-65 y.","East Germany","","","",""
"Other","1989","66 and older","West Germany","9","","",""
"Other","1989","66 and older","East Germany","","","",""
"Full-time","1990","16-34 y.","West Germany","1857","0.516259401413944","0.500064940485759","0.532453862342128"
"Full-time","1990","16-34 y.","East Germany","1162","0.694894339872554","0.673019099570345","0.716769580174763"
"Full-time","1990","35-65 y.","West Germany","2651","0.532691313176321","0.518573816192478","0.546808810160165"
"Full-time","1990","35-65 y.","East Germany","1717","0.720789975210324","0.702499794736696","0.739080155683951"
"Full-time","1990","66 and older","West Germany","15","","",""
"Full-time","1990","66 and older","East Germany","7","","",""
"Part-time","1990","16-34 y.","West Germany","246","0.0731877412887108","0.0647477636246627","0.0816277189527589"
"Part-time","1990","16-34 y.","East Germany","116","0.0551829741438091","0.0443350979418659","0.0660308503457523"
"Part-time","1990","35-65 y.","West Germany","467","0.105624013986866","0.0969272162835527","0.11432081169018"
"Part-time","1990","35-65 y.","East Germany","281","0.121648002857821","0.108320925871606","0.134975079844036"
"Part-time","1990","66 and older","West Germany","10","","",""
"Part-time","1990","66 and older","East Germany","11","","",""
"Non-working","1990","16-34 y.","West Germany","1141","0.296591410721975","0.281789787025608","0.311393034418342"
"Non-working","1990","16-34 y.","East Germany","291","0.175535709994602","0.157462429944354","0.193608990044851"
"Non-working","1990","35-65 y.","West Germany","1574","0.33758921922272","0.324208608078771","0.350969830366669"
"Non-working","1990","35-65 y.","East Germany","307","0.155077827987554","0.140319698160347","0.16983595781476"
"Non-working","1990","66 and older","West Germany","1033","0.978890033734723","0.970240332197305","0.987539735272141"
"Non-working","1990","66 and older","East Germany","417","0.95740061358169","0.938509204455436","0.976292022707943"
"Other","1990","16-34 y.","West Germany","414","0.113961446575371","0.103663953067874","0.124258940082867"
"Other","1990","16-34 y.","East Germany","133","0.0743869759890347","0.0619208505240908","0.0868531014539786"
"Other","1990","35-65 y.","West Germany","106","0.0240954536140929","0.0197564581799672","0.0284344490482185"
"Other","1990","35-65 y.","East Germany","6","","",""
"Other","1990","66 and older","West Germany","3","","",""
"Other","1990","66 and older","East Germany","4","","",""
"Full-time","1991","16-34 y.","West Germany","1832","0.512522414491194","0.49631782036551","0.528727008616878"
"Full-time","1991","16-34 y.","East Germany","937","0.626145114178199","0.601822215791582","0.650468012564816"
"Full-time","1991","35-65 y.","West Germany","2686","0.539342872736084","0.525203561537689","0.55348218393448"
"Full-time","1991","35-65 y.","East Germany","1519","0.644707734083122","0.624865816369101","0.664549651797143"
"Full-time","1991","66 and older","West Germany","11","","",""
"Full-time","1991","66 and older","East Germany","2","","",""
"Part-time","1991","16-34 y.","West Germany","242","0.0724110299454097","0.0640089937009176","0.0808130661899017"
"Part-time","1991","16-34 y.","East Germany","85","0.0465821478520066","0.0359877155161549","0.0571765801878583"
"Part-time","1991","35-65 y.","West Germany","500","0.112072286963798","0.103123898972859","0.121020674954737"
"Part-time","1991","35-65 y.","East Germany","143","0.0635774214893304","0.0534617033289827","0.0736931396496782"
"Part-time","1991","66 and older","West Germany","8","","",""
"Part-time","1991","66 and older","East Germany","4","","",""
"Non-working","1991","16-34 y.","West Germany","1104","0.284936709489007","0.270303120792412","0.299570298185603"
"Non-working","1991","16-34 y.","East Germany","369","0.25167005707416","0.22985337854297","0.273486735605351"
"Non-working","1991","35-65 y.","West Germany","1464","0.320051948246118","0.306819049538675","0.333284846953562"
"Non-working","1991","35-65 y.","East Germany","559","0.285234212496616","0.266514808656894","0.303953616336337"
"Non-working","1991","66 and older","West Germany","1045","0.976387665028718","0.967315257187454","0.985460072869983"
"Non-working","1991","66 and older","East Germany","400","0.980531194616762","0.967124603357226","0.993937785876297"
"Other","1991","16-34 y.","West Germany","477","0.130129846074389","0.119222475373642","0.141037216775136"
"Other","1991","16-34 y.","East Germany","129","0.0756026808956342","0.0623127037625498","0.0888926580287187"
"Other","1991","35-65 y.","West Germany","124","0.0285328920539998","0.0238101542979525","0.0332556298100471"
"Other","1991","35-65 y.","East Germany","14","","",""
"Other","1991","66 and older","West Germany","12","","",""
"Other","1991","66 and older","East Germany","2","","",""
"Full-time","1992","16-34 y.","West Germany","1795","0.506333482336342","0.490006294218581","0.522660670454103"
"Full-time","1992","16-34 y.","East Germany","761","0.565875662225753","0.539894290288872","0.591857034162634"
"Full-time","1992","35-65 y.","West Germany","2614","0.538167089734396","0.523938488780222","0.55239569068857"
"Full-time","1992","35-65 y.","East Germany","1345","0.564056737187628","0.543312034766246","0.58480143960901"
"Full-time","1992","66 and older","West Germany","8","","",""
"Full-time","1992","66 and older","East Germany","2","","",""
"Part-time","1992","16-34 y.","West Germany","238","0.0690970975397878","0.0608146569097399","0.0773795381698357"
"Part-time","1992","16-34 y.","East Germany","66","0.0432089595676415","0.0325506100043628","0.0538673091309202"
"Part-time","1992","35-65 y.","West Germany","539","0.119402589046188","0.1101480079193","0.128657170173076"
"Part-time","1992","35-65 y.","East Germany","92","0.0372543585663741","0.0293316231182312","0.045177094014517"
"Part-time","1992","66 and older","West Germany","7","","",""
"Part-time","1992","66 and older","East Germany","1","","",""
"Non-working","1992","16-34 y.","West Germany","1154","0.305610181679129","0.290566233857962","0.320654129500296"
"Non-working","1992","16-34 y.","East Germany","423","0.297929840557047","0.273955770804752","0.321903910309342"
"Non-working","1992","35-65 y.","West Germany","1479","0.323864782450018","0.310509292222615","0.337220272677421"
"Non-working","1992","35-65 y.","East Germany","736","0.388684048313254","0.368291943642178","0.40907615298433"
"Non-working","1992","66 and older","West Germany","1058","0.984958872011691","0.977699727121027","0.992218016902355"
"Non-working","1992","66 and older","East Germany","396","0.987433546684849","0.976517172963953","0.998349920405745"
"Other","1992","16-34 y.","West Germany","415","0.118959238444741","0.108386844794004","0.129531632095478"
"Other","1992","16-34 y.","East Germany","148","0.092985537649559","0.0777622198212586","0.108208855477859"
"Other","1992","35-65 y.","West Germany","84","0.0185655387693976","0.014713012374083","0.0224180651647121"
"Other","1992","35-65 y.","East Germany","22","","",""
"Other","1992","66 and older","West Germany","7","","",""
"Other","1992","66 and older","East Germany","1","","",""
"Full-time","1993","16-34 y.","West Germany","1784","0.500098085519285","0.483742320491557","0.516453850547014"
"Full-time","1993","16-34 y.","East Germany","692","0.542019132211013","0.515242666885634","0.568795597536392"
"Full-time","1993","35-65 y.","West Germany","2564","0.542279433711512","0.52794741708969","0.556611450333333"
"Full-time","1993","35-65 y.","East Germany","1230","0.523933161475044","0.502653624768114","0.545212698181974"
"Full-time","1993","66 and older","West Germany","7","","",""
"Full-time","1993","66 and older","East Germany","1","","",""
"Part-time","1993","16-34 y.","West Germany","223","0.0680826770694678","0.0598430440144512","0.0763223101244844"
"Part-time","1993","16-34 y.","East Germany","68","0.048233713042547","0.0367187439432727","0.0597486821418214"
"Part-time","1993","35-65 y.","West Germany","536","0.117477300804217","0.108214646731341","0.126739954877093"
"Part-time","1993","35-65 y.","East Germany","86","0.037322436100825","0.0292460759727253","0.0453987962289246"
"Part-time","1993","66 and older","West Germany","7","","",""
"Part-time","1993","66 and older","East Germany","","","",""
"Non-working","1993","16-34 y.","West Germany","1161","0.311645193401146","0.296494334351934","0.326796052450358"
"Non-working","1993","16-34 y.","East Germany","396","0.286461533950902","0.262163892319197","0.310759175582606"
"Non-working","1993","35-65 y.","West Germany","1450","0.316510742798496","0.303130758709659","0.329890726887332"
"Non-working","1993","35-65 y.","East Germany","780","0.430164591798953","0.409069456999259","0.451259726598648"
"Non-working","1993","66 and older","West Germany","1082","0.981990597326126","0.974153164229716","0.989828030422536"
"Non-working","1993","66 and older","East Germany","391","0.992264426859026","0.9836135537966","1.00091529992145"
"Other","1993","16-34 y.","West Germany","422","0.120174044010101","0.109537400848602","0.130810687171599"
"Other","1993","16-34 y.","East Germany","174","0.123285620795539","0.10561680071036","0.140954440880717"
"Other","1993","35-65 y.","West Germany","92","0.0237325226857759","0.0193537551839979","0.0281112901875538"
"Other","1993","35-65 y.","East Germany","20","","",""
"Other","1993","66 and older","West Germany","10","","",""
"Other","1993","66 and older","East Germany","2","","",""
"Full-time","1994","16-34 y.","West Germany","1748","0.497758897537027","0.481295170515206","0.514222624558849"
"Full-time","1994","16-34 y.","East Germany","622","0.516685297122011","0.48925559736968","0.544114996874341"
"Full-time","1994","35-65 y.","West Germany","2400","0.523297898043667","0.5087001899199","0.537895606167434"
"Full-time","1994","35-65 y.","East Germany","1218","0.52605070192148","0.504735348781705","0.547366055061254"
"Full-time","1994","66 and older","West Germany","11","","",""
"Full-time","1994","66 and older","East Germany","1","","",""
"Part-time","1994","16-34 y.","West Germany","211","0.0655236852465125","0.0573757827799992","0.0736715877130257"
"Part-time","1994","16-34 y.","East Germany","70","0.053750643368928","0.0413715844298081","0.066129702308048"
"Part-time","1994","35-65 y.","West Germany","493","0.111433426946081","0.102236571162388","0.120630282729774"
"Part-time","1994","35-65 y.","East Germany","105","0.0449118174717733","0.0360705437033446","0.0537530912402021"
"Part-time","1994","66 and older","West Germany","7","","",""
"Part-time","1994","66 and older","East Germany","","","",""
"Non-working","1994","16-34 y.","West Germany","1213","0.327872069350612","0.312414518022816","0.343329620678407"
"Non-working","1994","16-34 y.","East Germany","407","0.310710725857813","0.285308493649746","0.33611295806588"
"Non-working","1994","35-65 y.","West Germany","1487","0.336554300737212","0.322743561952101","0.350365039522323"
"Non-working","1994","35-65 y.","East Germany","759","0.41869085357435","0.397630623918129","0.439751083230571"
"Non-working","1994","66 and older","West Germany","1092","0.982719004778786","0.975073343633369","0.990364665924202"
"Non-working","1994","66 and older","East Germany","404","0.996534222824132","0.990810652714896","1.00225779293337"
"Other","1994","16-34 y.","West Germany","371","0.108845347865848","0.0985901512786194","0.119100544453077"
"Other","1994","16-34 y.","East Germany","176","0.118853333651248","0.101090069109341","0.136616598193155"
"Other","1994","35-65 y.","West Germany","117","0.02871437427304","0.0238333630478835","0.0335953854981966"
"Other","1994","35-65 y.","East Germany","26","","",""
"Other","1994","66 and older","West Germany","6","","",""
"Other","1994","66 and older","East Germany","","","",""
"Full-time","1995","16-34 y.","West Germany","1839","0.493347766773273","0.477307601550937","0.50938793199561"
"Full-time","1995","16-34 y.","East Germany","602","0.528598888639768","0.500702116239803","0.556495661039733"
"Full-time","1995","35-65 y.","West Germany","2503","0.510107339039103","0.495952130946417","0.524262547131789"
"Full-time","1995","35-65 y.","East Germany","1201","0.531676943978419","0.510139188407061","0.553214699549778"
"Full-time","1995","66 and older","West Germany","11","","",""
"Full-time","1995","66 and older","East Germany","1","","",""
"Part-time","1995","16-34 y.","West Germany","222","0.0626473828645328","0.0548727437668488","0.0704220219622169"
"Part-time","1995","16-34 y.","East Germany","74","0.0595450268823577","0.0463202824885386","0.0727697712761768"
"Part-time","1995","35-65 y.","West Germany","534","0.112236044185132","0.103297846917602","0.121174241452661"
"Part-time","1995","35-65 y.","East Germany","139","0.0592904378320245","0.0490969251271275","0.0694839505369215"
"Part-time","1995","66 and older","West Germany","9","","",""
"Part-time","1995","66 and older","East Germany","","","",""
"Non-working","1995","16-34 y.","West Germany","1274","0.333451215457104","0.318325727425245","0.348576703488963"
"Non-working","1995","16-34 y.","East Germany","383","0.290533703993061","0.26516141320841","0.315905994777713"
"Non-working","1995","35-65 y.","West Germany","1608","0.344959068923786","0.331498822580451","0.35841931526712"
"Non-working","1995","35-65 y.","East Germany","697","0.39603749575321","0.374928046533957","0.417146944972464"
"Non-working","1995","66 and older","West Germany","1110","0.974746158888176","0.965642525564044","0.983849792212309"
"Non-working","1995","66 and older","East Germany","412","0.996255057667496","0.990364167820053","1.00214594751494"
"Other","1995","16-34 y.","West Germany","397","0.11055363490509","0.10049303984455","0.12061422996563"
"Other","1995","16-34 y.","East Germany","171","0.121322380484813","0.103075829740957","0.139568931228668"
"Other","1995","35-65 y.","West Germany","146","0.0326975478519795","0.0276616867617908","0.0377334089421683"
"Other","1995","35-65 y.","East Germany","25","","",""
"Other","1995","66 and older","West Germany","11","","",""
"Other","1995","66 and older","East Germany","","","",""
"Full-time","1996","16-34 y.","West Germany","1762","0.485475329017023","0.469124188677855","0.501826469356192"
"Full-time","1996","16-34 y.","East Germany","551","0.488024760196937","0.459648486084944","0.51640103430893"
"Full-time","1996","35-65 y.","West Germany","2407","0.505843558200206","0.491528692056744","0.520158424343668"
"Full-time","1996","35-65 y.","East Germany","1183","0.525354662033983","0.503889619598229","0.546819704469736"
"Full-time","1996","66 and older","West Germany","13","","",""
"Full-time","1996","66 and older","East Germany","","","",""
"Part-time","1996","16-34 y.","West Germany","238","0.0719864826917889","0.063530501856707","0.0804424635268709"
"Part-time","1996","16-34 y.","East Germany","61","0.057925621652674","0.0446642663438532","0.0711869769614948"
"Part-time","1996","35-65 y.","West Germany","595","0.125308132872526","0.115829097965332","0.134787167779719"
"Part-time","1996","35-65 y.","East Germany","150","0.0639120317935906","0.0533979708497922","0.074426092737389"
"Part-time","1996","66 and older","West Germany","9","","",""
"Part-time","1996","66 and older","East Germany","2","","",""
"Non-working","1996","16-34 y.","West Germany","1231","0.336918035126827","0.321454560027284","0.35238151022637"
"Non-working","1996","16-34 y.","East Germany","403","0.332912658963476","0.306160029911488","0.359665288015465"
"Non-working","1996","35-65 y.","West Germany","1541","0.337809676742195","0.324267938744875","0.351351414739515"
"Non-working","1996","35-65 y.","East Germany","728","0.401897922131836","0.380822980409053","0.422972863854619"
"Non-working","1996","66 and older","West Germany","1118","0.973094306381414","0.963754604814761","0.982434007948067"
"Non-working","1996","66 and older","East Germany","422","0.996346714625661","0.990610826506609","1.00208260274471"
"Other","1996","16-34 y.","West Germany","358","0.105620153164361","0.0955648363009626","0.115675470027759"
"Other","1996","16-34 y.","East Germany","177","0.121136959186912","0.10261406278195","0.139659855591874"
"Other","1996","35-65 y.","West Germany","143","0.0310386321850732","0.0260732638856937","0.0360040004844527"
"Other","1996","35-65 y.","East Germany","18","","",""
"Other","1996","66 and older","West Germany","13","","",""
"Other","1996","66 and older","East Germany","1","","",""
"Full-time","1997","16-34 y.","West Germany","1679","0.48199696701543","0.465369187959477","0.498624746071383"
"Full-time","1997","16-34 y.","East Germany","540","0.486518223821066","0.457841816752579","0.515194630889552"
"Full-time","1997","35-65 y.","West Germany","2359","0.502396402555211","0.487983509621154","0.516809295489269"
"Full-time","1997","35-65 y.","East Germany","1153","0.506848241493428","0.485169045445358","0.528527437541498"
"Full-time","1997","66 and older","West Germany","14","","",""
"Full-time","1997","66 and older","East Germany","","","",""
"Part-time","1997","16-34 y.","West Germany","227","0.0753537428666447","0.0665698675294202","0.0841376182038693"
"Part-time","1997","16-34 y.","East Germany","50","0.0547899712888299","0.0417334536481224","0.0678464889295374"
"Part-time","1997","35-65 y.","West Germany","564","0.120411288652649","0.111030063270454","0.129792514034845"
"Part-time","1997","35-65 y.","East Germany","143","0.0634076353297836","0.0528404337319983","0.0739748369275689"
"Part-time","1997","66 and older","West Germany","8","","",""
"Part-time","1997","66 and older","East Germany","2","","",""
"Non-working","1997","16-34 y.","West Germany","1193","0.33473030869376","0.319026958017474","0.350433659370047"
"Non-working","1997","16-34 y.","East Germany","416","0.350421576936809","0.323048483609396","0.377794670264223"
"Non-working","1997","35-65 y.","West Germany","1579","0.352646211017768","0.338873272702383","0.366419149333153"
"Non-working","1997","35-65 y.","East Germany","721","0.4184968873103","0.397105643107104","0.439888131513496"
"Non-working","1997","66 and older","West Germany","1139","0.975849254783294","0.967060225312625","0.984638284253962"
"Non-working","1997","66 and older","East Germany","437","0.990898483439762","0.982035085260973","0.999761881618552"
"Other","1997","16-34 y.","West Germany","370","0.107918981424165","0.0975938162172931","0.118244146631037"
"Other","1997","16-34 y.","East Germany","161","0.108270227953295","0.0904429998309998","0.126097456075591"
"Other","1997","35-65 y.","West Germany","121","0.024546097774371","0.0200856264734991","0.0290065690752428"
"Other","1997","35-65 y.","East Germany","26","","",""
"Other","1997","66 and older","West Germany","11","","",""
"Other","1997","66 and older","East Germany","2","","",""
"Full-time","1998","16-34 y.","West Germany","1764","0.467568814354816","0.451437344888989","0.483700283820644"
"Full-time","1998","16-34 y.","East Germany","539","0.464983521776706","0.436880192865245","0.493086850688166"
"Full-time","1998","35-65 y.","West Germany","2728","0.505944704695431","0.492561365224515","0.519328044166347"
"Full-time","1998","35-65 y.","East Germany","1201","0.499775262007855","0.478834330609464","0.520716193406246"
"Full-time","1998","66 and older","West Germany","11","","",""
"Full-time","1998","66 and older","East Germany","","","",""
"Part-time","1998","16-34 y.","West Germany","219","0.0689777159509904","0.0607845101832134","0.0771709217187675"
"Part-time","1998","16-34 y.","East Germany","46","0.0496983668532079","0.0374534115992947","0.0619433221071212"
"Part-time","1998","35-65 y.","West Germany","677","0.127229457884971","0.118309371392478","0.136149544377464"
"Part-time","1998","35-65 y.","East Germany","158","0.0664408811901809","0.0560101527664248","0.076871609613937"
"Part-time","1998","66 and older","West Germany","13","","",""
"Part-time","1998","66 and older","East Germany","1","","",""
"Non-working","1998","16-34 y.","West Germany","1293","0.353578386859411","0.33812156475092","0.369035208967902"
"Non-working","1998","16-34 y.","East Germany","435","0.355593964438624","0.328622011324354","0.382565917552893"
"Non-working","1998","35-65 y.","West Germany","1788","0.339258983000283","0.326585193224426","0.351932772776141"
"Non-working","1998","35-65 y.","East Germany","803","0.420965103670055","0.400287440786973","0.441642766553136"
"Non-working","1998","66 and older","West Germany","1370","0.978603808849182","0.971040233876238","0.986167383822126"
"Non-working","1998","66 and older","East Germany","480","0.991950671533371","0.983998200707517","0.999903142359225"
"Other","1998","16-34 y.","West Germany","399","0.109875082834783","0.0997640736188031","0.119986092050762"
"Other","1998","16-34 y.","East Germany","190","0.129724146931463","0.110792243331644","0.148656050531282"
"Other","1998","35-65 y.","West Germany","168","0.0275668544193149","0.0231840845177099","0.03194962432092"
"Other","1998","35-65 y.","East Germany","28","","",""
"Other","1998","66 and older","West Germany","12","","",""
"Other","1998","66 and older","East Germany","4","","",""
"Full-time","1999","16-34 y.","West Germany","1662","0.469702123909566","0.453033961421602","0.48637028639753"
"Full-time","1999","16-34 y.","East Germany","523","0.459431783661094","0.43091274665459","0.487950820667597"
