"erwst","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Non-working","1986","Not Working","Rural Area","781","0.968976869770466","0.95706622144959","0.980887518091341"
"Non-working","1986","Not Working","Urban Area","3014","0.970042970698998","0.964071910965851","0.976014030432145"
"Non-working","1986","Part Time","Rural Area","101","0.259040377510434","0.215780928512864","0.302299826508005"
"Non-working","1986","Part Time","Urban Area","303","0.219314827129716","0.197935715420811","0.240693938838621"
"Other","1986","Full Time","Rural Area","52","0.0527252037659644","0.0387116613056446","0.0667387462262841"
"Other","1986","Full Time","Urban Area","162","0.0434673734807103","0.0370579855789186","0.049876761382502"
"Other","1986","Not Working","Rural Area","14","","",""
"Other","1986","Not Working","Urban Area","45","0.0111721890767518","0.00749059390314566","0.014853784250358"
"Other","1986","Part Time","Rural Area","87","0.227257807706003","0.185879121319675","0.268636494092331"
"Other","1986","Part Time","Urban Area","273","0.19451314469759","0.174061822047149","0.214964467348031"
"Part-time","1986","Full Time","Rural Area","15","","",""
"Part-time","1986","Full Time","Urban Area","79","0.0217037181572432","0.0171234887067982","0.0262839476076882"
"Part-time","1986","Not Working","Rural Area","5","","",""
"Part-time","1986","Not Working","Urban Area","13","","",""
"Part-time","1986","Part Time","Rural Area","111","0.278938536794696","0.234655195502641","0.323221878086752"
"Part-time","1986","Part Time","Urban Area","419","0.31190020085434","0.2879642195591","0.335836182149579"
"Full-time","1987","Full Time","Rural Area","870","0.883811556116028","0.86372802982527","0.903895082406787"
"Full-time","1987","Full Time","Urban Area","3555","0.909074207348471","0.900075235655453","0.918073179041489"
"Full-time","1987","Not Working","Rural Area","11","","",""
"Full-time","1987","Not Working","Urban Area","33","0.00855829774891724","0.00527790576905234","0.0118386897287821"
"Full-time","1987","Part Time","Rural Area","101","0.261476025060333","0.219043613044641","0.303908437076025"
"Full-time","1987","Part Time","Urban Area","387","0.241595625847646","0.21918938333161","0.264001868363682"
"Non-working","1987","Full Time","Rural Area","29","","",""
"Non-working","1987","Full Time","Urban Area","110","0.0256871932940895","0.0207354604874375","0.0306389261007416"
"Non-working","1987","Not Working","Rural Area","740","0.975278024638133","0.964296230836981","0.986259818439284"
"Non-working","1987","Not Working","Urban Area","2950","0.980433480655261","0.975501012280388","0.985365949030134"
"Non-working","1987","Part Time","Rural Area","87","0.20995199543493","0.170625411220054","0.249278579649805"
"Non-working","1987","Part Time","Urban Area","297","0.223722439212037","0.2019083355125","0.245536542911574"
"Other","1987","Full Time","Rural Area","63","0.0686338553844221","0.0527882774113486","0.0844794333574956"
"Other","1987","Full Time","Urban Area","211","0.0539234090283116","0.0468537008339248","0.0609931172226984"
"Other","1987","Not Working","Rural Area","12","","",""
"Other","1987","Not Working","Urban Area","31","0.00678729118386931","0.00386335540848068","0.00971122695925795"
"Other","1987","Part Time","Rural Area","78","0.153548685759121","0.118737122472669","0.188360249045573"
"Other","1987","Part Time","Urban Area","256","0.179963340946155","0.159854698982146","0.200071982910165"
"Part-time","1987","Full Time","Rural Area","16","","",""
"Part-time","1987","Full Time","Urban Area","45","0.0113151903291277","0.00800456881935793","0.0146258118388975"
"Part-time","1987","Not Working","Rural Area","5","","",""
"Part-time","1987","Not Working","Urban Area","15","","",""
"Part-time","1987","Part Time","Rural Area","146","0.375023293745616","0.328275564464099","0.421771023027134"
"Part-time","1987","Part Time","Urban Area","462","0.354718593994162","0.329675346999546","0.379761840988777"
"Full-time","1988","Full Time","Rural Area","783","0.876955978083805","0.855411225194391","0.898500730973218"
"Full-time","1988","Full Time","Urban Area","3352","0.915710378371635","0.906769384551581","0.924651372191689"
"Full-time","1988","Not Working","Rural Area","12","","",""
"Full-time","1988","Not Working","Urban Area","38","0.00913994231298841","0.00565647184614741","0.0126234127798294"
"Full-time","1988","Part Time","Rural Area","118","0.261734190254716","0.220040459208468","0.303427921300965"
"Full-time","1988","Part Time","Urban Area","366","0.237932838903147","0.215792978970187","0.260072698836107"
"Non-working","1988","Full Time","Rural Area","27","","",""
"Non-working","1988","Full Time","Urban Area","104","0.0249442921106079","0.0199252599251429","0.0299633242960729"
"Non-working","1988","Not Working","Rural Area","676","0.969617664640508","0.956930012454827","0.982305316826189"
"Non-working","1988","Not Working","Urban Area","2781","0.977075763159651","0.971597463197893","0.98255406312141"
"Non-working","1988","Part Time","Rural Area","120","0.293343020389399","0.250158673123492","0.336527367655306"
"Non-working","1988","Part Time","Urban Area","325","0.226851750539999","0.205076983970387","0.248626517109611"
"Other","1988","Full Time","Rural Area","74","0.076659868010812","0.0592101966840598","0.0941095393375642"
"Other","1988","Full Time","Urban Area","213","0.0477581928557999","0.0408951416496807","0.054621244061919"
"Other","1988","Not Working","Rural Area","9","","",""
"Other","1988","Not Working","Urban Area","33","0.00825722227674384","0.00494476141527505","0.0115696831382126"
"Other","1988","Part Time","Rural Area","64","0.145845972439378","0.112368745968338","0.179323198910419"
"Other","1988","Part Time","Urban Area","245","0.169739630920824","0.150220978388186","0.189258283453463"
"Part-time","1988","Full Time","Rural Area","9","","",""
"Part-time","1988","Full Time","Urban Area","40","0.0115871366619573","0.00814302729986256","0.0150312460240521"
"Part-time","1988","Not Working","Rural Area","6","","",""
"Part-time","1988","Not Working","Urban Area","15","","",""
"Part-time","1988","Part Time","Rural Area","125","0.299076816916506","0.255649725724927","0.342503908108086"
"Part-time","1988","Part Time","Urban Area","485","0.365475779636029","0.340437501771494","0.390514057500564"
"Full-time","1989","Full Time","Rural Area","783","0.891367079568703","0.870748768513539","0.911985390623866"
"Full-time","1989","Full Time","Urban Area","3352","0.919524643730172","0.910736880992289","0.928312406468055"
"Full-time","1989","Not Working","Rural Area","10","","",""
"Full-time","1989","Not Working","Urban Area","43","0.0108924394429985","0.00702496146635067","0.0147599174196463"
"Full-time","1989","Part Time","Rural Area","103","0.266901352020161","0.222190724559772","0.31161197948055"
"Full-time","1989","Part Time","Urban Area","341","0.218356715562735","0.196220284084737","0.240493147040733"
"Non-working","1989","Full Time","Rural Area","19","","",""
"Non-working","1989","Full Time","Urban Area","101","0.0258629551337006","0.0207353534072202","0.0309905568601809"
"Non-working","1989","Not Working","Rural Area","651","0.969215659096517","0.956155796869235","0.982275521323798"
"Non-working","1989","Not Working","Urban Area","2662","0.972629661026993","0.966550308129856","0.978709013924131"
"Non-working","1989","Part Time","Rural Area","94","0.265733471906071","0.221085250307304","0.310381693504838"
"Non-working","1989","Part Time","Urban Area","302","0.217397777445576","0.195296462025809","0.239499092865343"
"Other","1989","Full Time","Rural Area","54","0.0549793340698163","0.0398762912032622","0.0700823769363704"
"Other","1989","Full Time","Urban Area","184","0.0428901053618842","0.0363448794378241","0.0494353312859442"
"Other","1989","Not Working","Rural Area","9","","",""
"Other","1989","Not Working","Urban Area","41","0.0111142966484742","0.00720806897290428","0.0150205243240441"
"Other","1989","Part Time","Rural Area","52","0.119499335875502","0.0867123300134156","0.152286341737588"
"Other","1989","Part Time","Urban Area","234","0.186949609715874","0.166059484313549","0.207839735118199"
"Part-time","1989","Full Time","Rural Area","19","","",""
"Part-time","1989","Full Time","Urban Area","44","0.0117222957742433","0.00824524511086835","0.0151993464376183"
"Part-time","1989","Not Working","Rural Area","2","","",""
"Part-time","1989","Not Working","Urban Area","21","","",""
"Part-time","1989","Part Time","Rural Area","127","0.347865840198266","0.299723351688844","0.396008328707688"
"Part-time","1989","Part Time","Urban Area","461","0.377295897275816","0.351324103893093","0.403267690658538"
"Full-time","1990","Full Time","Rural Area","808","0.911047583888908","0.892302791493312","0.929792376284503"
"Full-time","1990","Full Time","Urban Area","3237","0.913930326622725","0.904708178168713","0.923152475076738"
"Full-time","1990","Not Working","Rural Area","6","","",""
"Full-time","1990","Not Working","Urban Area","28","","",""
"Full-time","1990","Part Time","Rural Area","84","0.217239461214233","0.174935067138561","0.259543855289906"
"Full-time","1990","Part Time","Urban Area","360","0.243604632006365","0.220857730684588","0.266351533328141"
"Non-working","1990","Full Time","Rural Area","22","","",""
"Non-working","1990","Full Time","Urban Area","86","0.0231730241102312","0.0182259243716314","0.0281201238488311"
"Non-working","1990","Not Working","Rural Area","650","0.970010256612102","0.957066518657275","0.982953994566929"
"Non-working","1990","Not Working","Urban Area","2594","0.980791014476932","0.975592452110613","0.985989576843252"
"Non-working","1990","Part Time","Rural Area","75","0.199625633077257","0.158618784205332","0.240632481949183"
"Non-working","1990","Part Time","Urban Area","321","0.228919875008981","0.206656215732248","0.251183534285713"
"Other","1990","Full Time","Rural Area","45","0.0470109690716352","0.033073793120601","0.0609481450226693"
"Other","1990","Full Time","Urban Area","178","0.046903675999275","0.0399514749143702","0.0538558770841798"
"Other","1990","Not Working","Rural Area","4","","",""
"Other","1990","Not Working","Urban Area","27","","",""
"Other","1990","Part Time","Rural Area","62","0.169714152958085","0.131204065336139","0.208224240580031"
"Other","1990","Part Time","Urban Area","207","0.14750850917384","0.128717132175774","0.166299886171906"
"Part-time","1990","Full Time","Rural Area","11","","",""
"Part-time","1990","Full Time","Urban Area","52","0.0159929732677686","0.0118680659696876","0.0201178805658495"
"Part-time","1990","Not Working","Rural Area","7","","",""
"Part-time","1990","Not Working","Urban Area","29","","",""
"Part-time","1990","Part Time","Rural Area","144","0.413420752750424","0.362901008603776","0.463940496897072"
"Part-time","1990","Part Time","Urban Area","480","0.379966983810814","0.354246130001526","0.405687837620103"
"Full-time","1991","Full Time","Rural Area","803","0.903330671590233","0.883927310405287","0.922734032775179"
"Full-time","1991","Full Time","Urban Area","3239","0.919508923764556","0.910553383050867","0.928464464478244"
"Full-time","1991","Not Working","Rural Area","10","","",""
"Full-time","1991","Not Working","Urban Area","50","0.0125409818898154","0.00826104439264592","0.0168209193869848"
"Full-time","1991","Part Time","Rural Area","83","0.194866798169008","0.155504895492586","0.23422870084543"
"Full-time","1991","Part Time","Urban Area","316","0.207216962159436","0.185770243169537","0.228663681149334"
"Non-working","1991","Full Time","Rural Area","22","","",""
"Non-working","1991","Full Time","Urban Area","76","0.0197777472352126","0.0151943166219394","0.0243611778484859"
"Non-working","1991","Not Working","Rural Area","646","0.972400694138686","0.960014577531008","0.984786810746364"
"Non-working","1991","Not Working","Urban Area","2483","0.971983847148099","0.965637177561349","0.97833051673485"
"Non-working","1991","Part Time","Rural Area","81","0.210265797707626","0.16977110744316","0.250760487972093"
"Non-working","1991","Part Time","Urban Area","299","0.214053825498434","0.192350367539281","0.235757283457588"
"Other","1991","Full Time","Rural Area","56","0.0597835782715368","0.0442162491260635","0.0753509074170101"
"Other","1991","Full Time","Urban Area","196","0.0501722171169308","0.0429861039512003","0.0573583302826613"
"Other","1991","Not Working","Rural Area","13","","",""
"Other","1991","Not Working","Urban Area","41","0.0105624764286434","0.00663069668490552","0.0144942561723814"
"Other","1991","Part Time","Rural Area","71","0.180840052529217","0.142592384842576","0.219087720215858"
"Other","1991","Part Time","Urban Area","231","0.169274552409553","0.149432087104924","0.189117017714183"
"Part-time","1991","Full Time","Rural Area","10","","",""
"Part-time","1991","Full Time","Urban Area","34","0.010541111883301","0.00717923302725292","0.013902990739349"
"Part-time","1991","Not Working","Rural Area","3","","",""
"Part-time","1991","Not Working","Urban Area","23","","",""
"Part-time","1991","Part Time","Rural Area","154","0.414027351594148","0.365080306474154","0.462974396714143"
"Part-time","1991","Part Time","Urban Area","526","0.409454659932577","0.38343506280983","0.435474257055323"
"Full-time","1992","Full Time","Rural Area","1888","0.869542636547671","0.855446226815323","0.883639046280019"
"Full-time","1992","Full Time","Urban Area","3897","0.909433254415514","0.900899836859335","0.917966671971693"
"Full-time","1992","Not Working","Rural Area","22","","",""
"Full-time","1992","Not Working","Urban Area","27","","",""
"Full-time","1992","Part Time","Rural Area","261","0.231514503035058","0.204003200364751","0.259025805705364"
"Full-time","1992","Part Time","Urban Area","361","0.204468678672832","0.184594605326746","0.224342752018919"
"Non-working","1992","Full Time","Rural Area","167","0.0692575197626072","0.0586313436220542","0.0798836959031603"
"Non-working","1992","Full Time","Urban Area","189","0.0378017709783136","0.0321310072798962","0.0434725346767311"
"Non-working","1992","Not Working","Rural Area","1298","0.975325612226619","0.967035031428576","0.983616193024661"
"Non-working","1992","Not Working","Urban Area","2821","0.981134390393165","0.976186165201627","0.986082615584702"
"Non-working","1992","Part Time","Rural Area","307","0.326671152426477","0.296081593218461","0.357260711634493"
"Non-working","1992","Part Time","Urban Area","426","0.261066073793603","0.239422803978558","0.282709343608648"
"Other","1992","Full Time","Rural Area","104","0.0456591270077915","0.03692248904854","0.054395764967043"
"Other","1992","Full Time","Urban Area","194","0.0393652651399719","0.033583120729969","0.0451474095499749"
"Other","1992","Not Working","Rural Area","20","","",""
"Other","1992","Not Working","Urban Area","33","0.00777522787954393","0.00458066544094291","0.010969790318145"
"Other","1992","Part Time","Rural Area","97","0.133351741144378","0.111178713648216","0.15552476864054"
"Other","1992","Part Time","Urban Area","220","0.13647356893875","0.119557207979642","0.153389929897859"
"Part-time","1992","Full Time","Rural Area","34","0.0155407166819305","0.010363895354403","0.0207175380094581"
"Part-time","1992","Full Time","Urban Area","65","0.0133997094662001","0.00998092665975796","0.0168184922726422"
"Part-time","1992","Not Working","Rural Area","5","","",""
"Part-time","1992","Not Working","Urban Area","23","","",""
"Part-time","1992","Part Time","Rural Area","238","0.308462603394088","0.278338556776084","0.338586650012091"
"Part-time","1992","Part Time","Urban Area","575","0.397991678594814","0.373871356967057","0.422112000222571"
"Full-time","1993","Full Time","Rural Area","1835","0.876939021535315","0.862861956060155","0.891016087010475"
"Full-time","1993","Full Time","Urban Area","3783","0.910377975289193","0.901715657744808","0.919040292833579"
"Full-time","1993","Not Working","Rural Area","27","","",""
"Full-time","1993","Not Working","Urban Area","49","0.0101071880654571","0.00649830554322071","0.0137160705876934"
"Full-time","1993","Part Time","Rural Area","216","0.246067197567237","0.216478280557416","0.275656114577058"
"Full-time","1993","Part Time","Urban Area","368","0.214858453499378","0.195040613345265","0.23467629365349"
"Non-working","1993","Full Time","Rural Area","106","0.0536710215313352","0.0440136653067213","0.0633283777559491"
"Non-working","1993","Full Time","Urban Area","149","0.0336553798909667","0.0281863648406958","0.0391243949412375"
"Non-working","1993","Not Working","Rural Area","1423","0.964947184412916","0.955621386119445","0.974272982706388"
"Non-working","1993","Not Working","Urban Area","2831","0.969906139175503","0.96374207297215","0.976070205378856"
"Non-working","1993","Part Time","Rural Area","262","0.289201663085569","0.258055146447339","0.320348179723799"
"Non-working","1993","Part Time","Urban Area","489","0.277536422301386","0.255930436298504","0.299142408304268"
"Other","1993","Full Time","Rural Area","117","0.0552150602867725","0.0454277691508519","0.0650023514226931"
"Other","1993","Full Time","Urban Area","186","0.0424340816573275","0.0363210365920609","0.0485471267225941"
"Other","1993","Not Working","Rural Area","35","0.0146649326397493","0.00856949632420152","0.0207603689552971"
"Other","1993","Not Working","Urban Area","45","0.0132356048192408","0.00911233155979515","0.0173588780786865"
"Other","1993","Part Time","Rural Area","106","0.133008546503963","0.109680247637932","0.156336845369994"
"Other","1993","Part Time","Urban Area","231","0.139547101445112","0.122827339875917","0.156266863014307"
"Part-time","1993","Full Time","Rural Area","34","0.0141748966465771","0.00910934044780202","0.0192404528453521"
"Part-time","1993","Full Time","Urban Area","59","0.0135325631625125","0.0100286989953909","0.017036427329634"
"Part-time","1993","Not Working","Rural Area","9","","",""
"Part-time","1993","Not Working","Urban Area","26","","",""
"Part-time","1993","Part Time","Rural Area","230","0.33172259284323","0.29937799142654","0.364067194259921"
"Part-time","1993","Part Time","Urban Area","562","0.368058022754124","0.34478767542119","0.391328370087058"
"Full-time","1994","Full Time","Rural Area","1777","0.876914164093009","0.862604871654895","0.891223456531124"
"Full-time","1994","Full Time","Urban Area","3583","0.921674946537061","0.913306598399961","0.93004329467416"
"Full-time","1994","Not Working","Rural Area","19","","",""
"Full-time","1994","Not Working","Urban Area","45","0.0122907494817313","0.00839834891401143","0.0161831500494511"
"Full-time","1994","Part Time","Rural Area","197","0.224621674284085","0.195352853018218","0.253890495549952"
"Full-time","1994","Part Time","Urban Area","379","0.204076831735053","0.184260714297527","0.223892949172579"
"Non-working","1994","Full Time","Rural Area","101","0.0509333788301427","0.0413573560462206","0.0605094016140649"
"Non-working","1994","Full Time","Urban Area","155","0.0318153470173996","0.0263489908229427","0.0372817032118566"
"Non-working","1994","Not Working","Rural Area","1458","0.975092366606207","0.967234494254004","0.982950238958411"
"Non-working","1994","Not Working","Urban Area","2970","0.974171294471977","0.968567492653046","0.979775096290908"
"Non-working","1994","Part Time","Rural Area","230","0.292033101525113","0.260143793848554","0.323922409201672"
"Non-working","1994","Part Time","Urban Area","448","0.276376303168104","0.254387938328784","0.298364668007423"
"Other","1994","Full Time","Rural Area","113","0.0531638715621497","0.0433919204005171","0.0629358227237822"
"Other","1994","Full Time","Urban Area","164","0.0330138904062605","0.0274489698538659","0.0385788109586551"
"Other","1994","Not Working","Rural Area","27","","",""
"Other","1994","Not Working","Urban Area","44","0.00924434791174266","0.00586342550659914","0.0126252703168862"
"Other","1994","Part Time","Rural Area","122","0.163688060921277","0.137739383662669","0.189636738179886"
"Other","1994","Part Time","Urban Area","226","0.150390891323447","0.132815439886323","0.167966342760571"
"Part-time","1994","Full Time","Rural Area","34","0.018988585514698","0.0130440364640037","0.0249331345653924"
"Part-time","1994","Full Time","Urban Area","58","0.0134958160392791","0.00990205216492446","0.0170895799136338"
"Part-time","1994","Not Working","Rural Area","7","","",""
"Part-time","1994","Not Working","Urban Area","19","","",""
"Part-time","1994","Part Time","Rural Area","232","0.319657163269524","0.286951067593082","0.352363258945967"
"Part-time","1994","Part Time","Urban Area","536","0.369155973773396","0.345428467866375","0.392883479680418"
"Full-time","1995","Full Time","Rural Area","1811","0.873358801288244","0.859056243878197","0.88766135869829"
"Full-time","1995","Full Time","Urban Area","3501","0.919930731241787","0.911346666715485","0.92851479576809"
"Full-time","1995","Not Working","Rural Area","32","0.0170722177647381","0.0106868203487139","0.0234576151807624"
"Full-time","1995","Not Working","Urban Area","56","0.0109904959433676","0.00740995957426328","0.0145710323124719"
"Full-time","1995","Part Time","Rural Area","239","0.277584997494335","0.246934852156374","0.308235142832295"
"Full-time","1995","Part Time","Urban Area","518","0.267951082234","0.247456707124228","0.288445457343772"
"Non-working","1995","Full Time","Rural Area","90","0.0432426546422293","0.0344950948657354","0.0519902144187233"
"Non-working","1995","Full Time","Urban Area","117","0.0298804219248357","0.0244953875954758","0.0352654562541956"
"Non-working","1995","Not Working","Rural Area","1510","0.964581997902349","0.955471045833288","0.973692949971411"
"Non-working","1995","Not Working","Urban Area","3139","0.972452428968462","0.966831410007903","0.97807344792902"
"Non-working","1995","Part Time","Rural Area","205","0.242643979041606","0.213302907816261","0.271985050266952"
"Non-working","1995","Part Time","Urban Area","423","0.234850227278704","0.215234446880712","0.254466007676696"
"Other","1995","Full Time","Rural Area","131","0.0594068591674221","0.0492408840496641","0.0695728342851802"
"Other","1995","Full Time","Urban Area","162","0.0364440124550925","0.0305170244371998","0.0423710004729852"
"Other","1995","Not Working","Rural Area","28","","",""
"Other","1995","Not Working","Urban Area","41","0.0117602609819373","0.00805789924960901","0.0154626227142655"
"Other","1995","Part Time","Rural Area","124","0.148737507847447","0.124382786547797","0.173092229147096"
"Other","1995","Part Time","Urban Area","264","0.147683661209233","0.131266294318313","0.164101028100153"
"Part-time","1995","Full Time","Rural Area","45","0.0239916849021049","0.0174107593765513","0.0305726104276586"
"Part-time","1995","Full Time","Urban Area","60","0.0137448343782845","0.0100622994070369","0.0174273693495322"
"Part-time","1995","Not Working","Rural Area","11","","",""
"Part-time","1995","Not Working","Urban Area","21","","",""
"Part-time","1995","Part Time","Rural Area","252","0.331033515616612","0.298824360869757","0.363242670363468"
"Part-time","1995","Part Time","Urban Area","589","0.349515029278063","0.327450816718811","0.371579241837315"
"Full-time","1996","Full Time","Rural Area","1782","0.887060723845742","0.873305369201558","0.900816078489927"
"Full-time","1996","Full Time","Urban Area","3344","0.904851722148884","0.895421451079251","0.914281993218517"
"Full-time","1996","Not Working","Rural Area","19","","",""
"Full-time","1996","Not Working","Urban Area","40","0.00880512299640628","0.00553229516197782","0.0120779508308347"
"Full-time","1996","Part Time","Rural Area","214","0.238284682830948","0.20982756429566","0.266741801366236"
"Full-time","1996","Part Time","Urban Area","517","0.251395174734323","0.231573335047388","0.271217014421258"
"Non-working","1996","Full Time","Rural Area","104","0.0482478685156068","0.0389352114243861","0.0575605256068276"
"Non-working","1996","Full Time","Urban Area","144","0.0382253072510547","0.0320629458167845","0.0443876686853248"
"Non-working","1996","Not Working","Rural Area","1482","0.969928178516771","0.961395636476341","0.978460720557201"
"Non-working","1996","Not Working","Urban Area","3030","0.974976387249036","0.969504363464555","0.980448411033517"
"Non-working","1996","Part Time","Rural Area","255","0.272648016836804","0.242902604026401","0.302393429647207"
"Non-working","1996","Part Time","Urban Area","427","0.226093039960989","0.20698011510394","0.245205964818037"
"Other","1996","Full Time","Rural Area","112","0.0483263282441218","0.0390064863738128","0.0576461701144307"
"Other","1996","Full Time","Urban Area","153","0.0348385032611659","0.0289451192542449","0.0407318872680869"
"Other","1996","Not Working","Rural Area","26","","",""
"Other","1996","Not Working","Urban Area","36","0.00849079720141909","0.00527640747722409","0.0117051869256141"
"Other","1996","Part Time","Rural Area","116","0.120395341056804","0.098658565731655","0.142132116381953"
"Other","1996","Part Time","Urban Area","267","0.157951098723961","0.141287486069034","0.174614711378888"
"Part-time","1996","Full Time","Rural Area","36","0.0163650793945292","0.0108513094176684","0.02187884937139"
"Part-time","1996","Full Time","Urban Area","78","0.0220844673388957","0.0173613456140867","0.0268075890637046"
"Part-time","1996","Not Working","Rural Area","12","","",""
"Part-time","1996","Not Working","Urban Area","24","","",""
"Part-time","1996","Part Time","Rural Area","276","0.368671959275444","0.336446871545805","0.400897047005083"
"Part-time","1996","Part Time","Urban Area","629","0.364560686580728","0.342568868393782","0.386552504767674"
"Full-time","1997","Full Time","Rural Area","1727","0.894166248903184","0.880550845124731","0.907781652681637"
"Full-time","1997","Full Time","Urban Area","3257","0.897303963471428","0.887449205581624","0.907158721361232"
"Full-time","1997","Not Working","Rural Area","18","","",""
"Full-time","1997","Not Working","Urban Area","28","","",""
"Full-time","1997","Part Time","Rural Area","245","0.269690522732238","0.239498281302542","0.299882764161935"
"Full-time","1997","Part Time","Urban Area","470","0.255472096026721","0.23490305012088","0.276041141932563"
"Non-working","1997","Full Time","Rural Area","92","0.0447016617968226","0.0355554629408632","0.053847860652782"
"Non-working","1997","Full Time","Urban Area","139","0.0369819376140828","0.0308554526507281","0.0431084225774375"
"Non-working","1997","Not Working","Rural Area","1523","0.980554476268186","0.973734961133387","0.987373991402985"
"Non-working","1997","Not Working","Urban Area","3097","0.979252259381021","0.974295012590757","0.984209506171284"
"Non-working","1997","Part Time","Rural Area","229","0.285029588867915","0.254318299324006","0.315740878411824"
"Non-working","1997","Part Time","Urban Area","404","0.228544485760764","0.208740949874802","0.248348021646727"
"Other","1997","Full Time","Rural Area","104","0.0428783277774054","0.0339120582604661","0.0518445972943447"
"Other","1997","Full Time","Urban Area","166","0.0390852610596393","0.0327938471144606","0.045376675004818"
"Other","1997","Not Working","Rural Area","25","","",""
"Other","1997","Not Working","Urban Area","34","0.00656248452074002","0.00375438646810345","0.0093705825733766"
"Other","1997","Part Time","Rural Area","109","0.126916236996655","0.104270023665242","0.149562450328069"
"Other","1997","Part Time","Urban Area","253","0.140532242782487","0.124141270899088","0.156923214665886"
"Part-time","1997","Full Time","Rural Area","38","0.0182537615225882","0.0123288058797547","0.0241787171654217"
"Part-time","1997","Full Time","Urban Area","83","0.0266288378548501","0.0214022931557094","0.0318553825539907"
"Part-time","1997","Not Working","Rural Area","9","","",""
"Part-time","1997","Not Working","Urban Area","17","","",""
"Part-time","1997","Part Time","Rural Area","247","0.318363651403192","0.286671833340064","0.350055469466319"
"Part-time","1997","Part Time","Urban Area","600","0.375451175430028","0.352612976366261","0.398289374493795"
"Full-time","1998","Full Time","Rural Area","1837","0.868226262034011","0.85378704382454","0.882665480243482"
"Full-time","1998","Full Time","Urban Area","3498","0.905237305348734","0.89604400612279","0.914430604574679"
"Full-time","1998","Not Working","Rural Area","19","","",""
"Full-time","1998","Not Working","Urban Area","36","0.00821255767310393","0.00527299754934407","0.0111521177968638"
"Full-time","1998","Part Time","Rural Area","270","0.264687612436694","0.236765932989051","0.292609291884338"
"Full-time","1998","Part Time","Urban Area","583","0.282498439656639","0.26237089258519","0.302625986728089"
"Non-working","1998","Full Time","Rural Area","101","0.0569677556018816","0.0470733293965143","0.0668621818072489"
"Non-working","1998","Full Time","Urban Area","130","0.032751794567336","0.0271650606124889","0.0383385285221831"
"Non-working","1998","Not Working","Rural Area","1769","0.975290877843213","0.968155008478342","0.982426747208084"
"Non-working","1998","Not Working","Urban Area","3533","0.978115822843788","0.973350480765511","0.982881164922065"
"Non-working","1998","Part Time","Rural Area","247","0.233922825875635","0.207130442466029","0.260715209285242"
