"erwst","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Part-time","1985","(3a) lower tertiary education","Female","","","",""
"Part-time","1985","(3b) higher tertiary education","Male","","","",""
"Part-time","1985","(3b) higher tertiary education","Female","32","0.163819517141755","0.109140010028082","0.218499024255427"
"Non-working","1985","(0) in school","Male","108","0.957951944630467","0.920782685979196","0.995121203281737"
"Non-working","1985","(0) in school","Female","73","0.979366759892361","0.947195071375364","1.01153844840936"
"Non-working","1985","(1a) inadequately completed","Male","95","0.382626739501632","0.335115470458681","0.430138008544583"
"Non-working","1985","(1a) inadequately completed","Female","298","0.651653822373237","0.610504899192253","0.692802745554221"
"Non-working","1985","(1b) general elementary school","Male","215","0.328549723330219","0.297446634593917","0.359652812066522"
"Non-working","1985","(1b) general elementary school","Female","1142","0.726150777897855","0.705299562745869","0.747001993049841"
"Non-working","1985","(1c) basic vocational qualification","Male","536","0.301516914455129","0.282638350768427","0.32039547814183"
"Non-working","1985","(1c) basic vocational qualification","Female","835","0.579161206349016","0.554717266389447","0.603605146308586"
"Non-working","1985","(2b) intermediate general qualification","Male","80","0.475620955690479","0.402460781641014","0.548781129739944"
"Non-working","1985","(2b) intermediate general qualification","Female","165","0.581842418300532","0.525650363551011","0.638034473050053"
"Non-working","1985","(2a) intermediate vocational","Male","109","0.223884364999325","0.18987212119597","0.25789660880268"
"Non-working","1985","(2a) intermediate vocational","Female","322","0.45832527452169","0.423063302329277","0.493587246714102"
"Non-working","1985","(2c_gen) general maturity certificate","Male","124","0.629743764216582","0.565198855679581","0.694288672753582"
"Non-working","1985","(2c_gen) general maturity certificate","Female","96","0.567991166777509","0.491946039147885","0.644036294407132"
"Non-working","1985","(2c_voc) vocational maturity certificate","Male","74","0.378333951133218","0.318337237365365","0.438330664901071"
"Non-working","1985","(2c_voc) vocational maturity certificate","Female","59","0.376795305455101","0.302631113944171","0.450959496966032"
"Non-working","1985","(3a) lower tertiary education","Male","35","0.233045026426825","0.170762487045653","0.295327565807998"
"Non-working","1985","(3a) lower tertiary education","Female","","","",""
"Non-working","1985","(3b) higher tertiary education","Male","48","0.161724020475126","0.122236884685121","0.20121115626513"
"Non-working","1985","(3b) higher tertiary education","Female","55","0.3566568430475","0.285888605375341","0.427425080719659"
"Other","1985","(0) in school","Male","","","",""
"Other","1985","(0) in school","Female","","","",""
"Other","1985","(1a) inadequately completed","Male","","","",""
"Other","1985","(1a) inadequately completed","Female","","","",""
"Other","1985","(1b) general elementary school","Male","76","0.113131596892503","0.092155842565956","0.134107351219049"
"Other","1985","(1b) general elementary school","Female","83","0.0426794871321499","0.0332279925729511","0.0521309816913487"
"Other","1985","(1c) basic vocational qualification","Male","","","",""
"Other","1985","(1c) basic vocational qualification","Female","62","0.0371460737585313","0.0277823141873207","0.0465098333297419"
"Other","1985","(2b) intermediate general qualification","Male","55","0.280107857297496","0.214324211638195","0.345891502956797"
"Other","1985","(2b) intermediate general qualification","Female","48","0.149994744818062","0.109317543709953","0.190671945926172"
"Other","1985","(2a) intermediate vocational","Male","","","",""
"Other","1985","(2a) intermediate vocational","Female","","","",""
"Other","1985","(2c_gen) general maturity certificate","Male","31","0.164099473046595","0.114593254603971","0.213605691489218"
"Other","1985","(2c_gen) general maturity certificate","Female","","","",""
"Other","1985","(2c_voc) vocational maturity certificate","Male","","","",""
"Other","1985","(2c_voc) vocational maturity certificate","Female","","","",""
"Other","1985","(3a) lower tertiary education","Male","","","",""
"Other","1985","(3a) lower tertiary education","Female","","","",""
"Other","1985","(3b) higher tertiary education","Male","","","",""
"Other","1985","(3b) higher tertiary education","Female","","","",""
"Full-time","1986","(0) in school","Male","","","",""
"Full-time","1986","(0) in school","Female","","","",""
"Full-time","1986","(1a) inadequately completed","Male","281","0.637034874958485","0.588366537491661","0.68570321242531"
"Full-time","1986","(1a) inadequately completed","Female","162","0.280232593241003","0.239971130067417","0.320494056414589"
"Full-time","1986","(1b) general elementary school","Male","554","0.533389321217964","0.499929882541479","0.566848759894449"
"Full-time","1986","(1b) general elementary school","Female","328","0.142284588378447","0.125335804121255","0.15923337263564"
"Full-time","1986","(1c) basic vocational qualification","Male","1614","0.692542548381031","0.672987520446558","0.712097576315505"
"Full-time","1986","(1c) basic vocational qualification","Female","406","0.23445884948795","0.212968881320776","0.255948817655124"
"Full-time","1986","(2b) intermediate general qualification","Male","34","0.194078906617257","0.135815364003369","0.252342449231144"
"Full-time","1986","(2b) intermediate general qualification","Female","62","0.205922479712068","0.159301381440903","0.252543577983233"
"Full-time","1986","(2a) intermediate vocational","Male","430","0.726086439375651","0.689248542889825","0.762924335861478"
"Full-time","1986","(2a) intermediate vocational","Female","287","0.36428440179319","0.329797910270811","0.39877089331557"
"Full-time","1986","(2c_gen) general maturity certificate","Male","51","0.144562423549481","0.0994088629505556","0.189715984148407"
"Full-time","1986","(2c_gen) general maturity certificate","Female","36","0.15854703388949","0.10396146370165","0.213132604077329"
"Full-time","1986","(2c_voc) vocational maturity certificate","Male","161","0.571924566197543","0.509584115680224","0.634265016714862"
"Full-time","1986","(2c_voc) vocational maturity certificate","Female","79","0.464681259925952","0.389927362808216","0.539435157043689"
"Full-time","1986","(3a) lower tertiary education","Male","135","0.729327439532539","0.663872134642966","0.794782744422113"
"Full-time","1986","(3a) lower tertiary education","Female","","","",""
"Full-time","1986","(3b) higher tertiary education","Male","256","0.770145689151537","0.724682184304292","0.815609193998783"
"Full-time","1986","(3b) higher tertiary education","Female","68","0.381131702655259","0.309175916564113","0.453087488746405"
"Part-time","1986","(0) in school","Male","","","",""
"Part-time","1986","(0) in school","Female","","","",""
"Part-time","1986","(1a) inadequately completed","Male","","","",""
"Part-time","1986","(1a) inadequately completed","Female","","","",""
"Part-time","1986","(1b) general elementary school","Male","","","",""
"Part-time","1986","(1b) general elementary school","Female","158","0.0861252031049153","0.0725140006574112","0.0997364055524193"
"Part-time","1986","(1c) basic vocational qualification","Male","","","",""
"Part-time","1986","(1c) basic vocational qualification","Female","199","0.123714386003287","0.107013053201419","0.140415718805156"
"Part-time","1986","(2b) intermediate general qualification","Male","","","",""
"Part-time","1986","(2b) intermediate general qualification","Female","","","",""
"Part-time","1986","(2a) intermediate vocational","Male","","","",""
"Part-time","1986","(2a) intermediate vocational","Female","108","0.123933614493893","0.100320114744099","0.147547114243686"
"Part-time","1986","(2c_gen) general maturity certificate","Male","","","",""
"Part-time","1986","(2c_gen) general maturity certificate","Female","","","",""
"Part-time","1986","(2c_voc) vocational maturity certificate","Male","","","",""
"Part-time","1986","(2c_voc) vocational maturity certificate","Female","","","",""
"Part-time","1986","(3a) lower tertiary education","Male","","","",""
"Part-time","1986","(3a) lower tertiary education","Female","","","",""
"Part-time","1986","(3b) higher tertiary education","Male","31","0.0868150379576965","0.0563902894286335","0.117239786486759"
"Part-time","1986","(3b) higher tertiary education","Female","33","0.169735645759075","0.114116566954742","0.225354724563407"
"Non-working","1986","(0) in school","Male","112","0.968584915544793","0.936841250871149","1.00032858021844"
"Non-working","1986","(0) in school","Female","71","0.948975272854687","0.89849700374525","0.999453541964125"
"Non-working","1986","(1a) inadequately completed","Male","88","0.324197341015256","0.276822569377938","0.371572112652574"
"Non-working","1986","(1a) inadequately completed","Female","279","0.662293365321133","0.619896949657536","0.704689780984729"
"Non-working","1986","(1b) general elementary school","Male","213","0.351144227710287","0.319130517544618","0.383157937875956"
"Non-working","1986","(1b) general elementary school","Female","1047","0.718776387735814","0.696963618446908","0.740589157024721"
"Non-working","1986","(1c) basic vocational qualification","Male","489","0.291773978738061","0.272509737095828","0.311038220380294"
"Non-working","1986","(1c) basic vocational qualification","Female","794","0.587044501215771","0.562069511039408","0.612019491392133"
"Non-working","1986","(2b) intermediate general qualification","Male","78","0.433800627275192","0.360789132885039","0.506812121665345"
"Non-working","1986","(2b) intermediate general qualification","Female","150","0.560487228521557","0.503264603078431","0.617709853964683"
"Non-working","1986","(2a) intermediate vocational","Male","111","0.243604191644057","0.20814646980124","0.279061913486875"
"Non-working","1986","(2a) intermediate vocational","Female","320","0.474105607411874","0.438322001019386","0.509889213804362"
"Non-working","1986","(2c_gen) general maturity certificate","Male","141","0.658248461514582","0.597348040353131","0.719148882676032"
"Non-working","1986","(2c_gen) general maturity certificate","Female","93","0.549938180714522","0.475588879758129","0.624287481670914"
"Non-working","1986","(2c_voc) vocational maturity certificate","Male","76","0.406160386517391","0.344284166888747","0.468036606146035"
"Non-working","1986","(2c_voc) vocational maturity certificate","Female","62","0.381382916717892","0.308581202044532","0.454184631391252"
"Non-working","1986","(3a) lower tertiary education","Male","37","0.244671656214948","0.18133995127949","0.308003361150406"
"Non-working","1986","(3a) lower tertiary education","Female","30","0.426443902522801","0.310588050322331","0.542299754723271"
"Non-working","1986","(3b) higher tertiary education","Male","38","0.130201425914678","0.0938377852140171","0.166565066615339"
"Non-working","1986","(3b) higher tertiary education","Female","59","0.384562811460485","0.312484504582094","0.456641118338877"
"Other","1986","(0) in school","Male","","","",""
"Other","1986","(0) in school","Female","","","",""
"Other","1986","(1a) inadequately completed","Male","","","",""
"Other","1986","(1a) inadequately completed","Female","","","",""
"Other","1986","(1b) general elementary school","Male","81","0.107403472144068","0.0866373256702269","0.128169618617909"
"Other","1986","(1b) general elementary school","Female","99","0.0528138207808231","0.0419625779144015","0.0636650636472446"
"Other","1986","(1c) basic vocational qualification","Male","","","",""
"Other","1986","(1c) basic vocational qualification","Female","94","0.0547822632929918","0.0432396511193421","0.0663248754666415"
