"erwst","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Part-time","1986","Employed","East Germany","","","","","2"
"Full-time","1987","Employed","East Germany","","","","","1"
"Full-time","1987","Not Employed","West Germany","44","0.00901053392042627","0.00600488968053755","0.012016178160315","1"
"Full-time","1987","Not Employed","East Germany","","","","","1"
"Full-time","1987","Employed","West Germany","4913","0.717602389906389","0.706833716293989","0.728371063518789","1"
"Non-working","1987","Not Employed","West Germany","3690","0.97925775935651","0.974724567108656","0.983790951604364","5"
"Non-working","1987","Not Employed","East Germany","","","","","5"
"Non-working","1987","Employed","West Germany","523","0.081017227733228","0.0744899492575263","0.0875445062089297","5"
"Non-working","1987","Employed","East Germany","","","","","5"
"Other","1987","Not Employed","West Germany","43","0.00728581208037232","0.00458073970311088","0.00999088445763377","6"
"Other","1987","Not Employed","East Germany","","","","","6"
"Other","1987","Employed","West Germany","608","0.0900611918472893","0.0832131767945715","0.096909206900007","6"
"Other","1987","Employed","East Germany","","","","","6"
"Part-time","1987","Not Employed","West Germany","20","","","","2"
"Part-time","1987","Not Employed","East Germany","","","","","2"
"Part-time","1987","Employed","West Germany","669","0.111319190513094","0.103795209547372","0.118843171478816","2"
"Part-time","1987","Employed","East Germany","","","","","2"
"Full-time","1988","Employed","East Germany","","","","","1"
"Full-time","1988","Not Employed","West Germany","50","0.00996506291850727","0.00670685146642575","0.0132232743705888","1"
"Full-time","1988","Not Employed","East Germany","","","","","1"
"Full-time","1988","Employed","West Germany","4619","0.711632106784532","0.700576834258104","0.722687379310961","1"
"Non-working","1988","Not Employed","West Germany","3457","0.975412981361246","0.970333010937649","0.980492951784842","5"
"Non-working","1988","Not Employed","East Germany","","","","","5"
"Non-working","1988","Employed","West Germany","576","0.0910015914268188","0.0839826068391446","0.0980205760144929","5"
"Non-working","1988","Employed","East Germany","","","","","5"
"Other","1988","Not Employed","West Germany","42","0.00870268796673852","0.00565589704164187","0.0117494788918352","6"
"Other","1988","Not Employed","East Germany","","","","","6"
"Other","1988","Employed","West Germany","596","0.0862906751302108","0.0794380938470081","0.0931432564134135","6"
"Other","1988","Employed","East Germany","","","","","6"
"Part-time","1988","Not Employed","West Germany","21","","","","2"
"Part-time","1988","Not Employed","East Germany","","","","","2"
"Part-time","1988","Employed","West Germany","659","0.111075626658438","0.1034071336338","0.118744119683076","2"
"Part-time","1988","Employed","East Germany","","","","","2"
"Full-time","1989","Employed","East Germany","","","","","1"
"Full-time","1989","Not Employed","West Germany","53","0.0123645593058009","0.00867121618081353","0.0160579024307883","1"
"Full-time","1989","Not Employed","East Germany","","","","","1"
"Full-time","1989","Employed","West Germany","4579","0.722206269975982","0.711119471142195","0.733293068809769","1"
"Non-working","1989","Not Employed","West Germany","3313","0.971861723573278","0.966334805996657","0.9773886411499","5"
"Non-working","1989","Not Employed","East Germany","","","","","5"
"Non-working","1989","Employed","West Germany","516","0.0823781527499674","0.0755727753010989","0.0891835301988358","5"
"Non-working","1989","Employed","East Germany","","","","","5"
"Other","1989","Not Employed","West Germany","50","0.0111217261864931","0.00761671409838202","0.0146267382746043","6"
"Other","1989","Not Employed","East Germany","","","","","6"
"Other","1989","Employed","West Germany","524","0.0804486519738923","0.07371637928021","0.0871809246675746","6"
"Other","1989","Employed","East Germany","","","","","6"
"Part-time","1989","Not Employed","West Germany","23","","","","2"
"Part-time","1989","Not Employed","East Germany","","","","","2"
"Part-time","1989","Employed","West Germany","651","0.114966925300158","0.107071409090819","0.122862441509497","2"
"Part-time","1989","Employed","East Germany","","","","","2"
"Full-time","1990","Employed","East Germany","","","","","1"
"Full-time","1990","Not Employed","West Germany","34","0.00574893879409026","0.00318686340891902","0.00831101417926149","1"
"Full-time","1990","Not Employed","East Germany","","","","","1"
"Full-time","1990","Employed","West Germany","4489","0.718184962839858","0.706961280474406","0.72940864520531","1"
"Non-working","1990","Not Employed","East Germany","","","","","5"
"Non-working","1990","Employed","West Germany","504","0.0813128095847638","0.0744941588356414","0.0881314603338863","5"
"Non-working","1990","Not Employed","West Germany","3244","0.978316660626565","0.973380914216283","0.983252407036847","5"
"Non-working","1990","Employed","East Germany","","","","","5"
"Other","1990","Not Employed","East Germany","","","","","6"
"Other","1990","Not Employed","West Germany","31","0.00743037098349883","0.00452008431401363","0.010340657652984","6"
"Other","1990","Employed","East Germany","","","","","6"
"Other","1990","Employed","West Germany","492","0.077426900508319","0.0707591174220487","0.0840946835945892","6"
"Part-time","1990","Not Employed","West Germany","36","0.00850402959584587","0.00539225673935412","0.0116158024523376","2"
"Part-time","1990","Not Employed","East Germany","","","","","2"
"Part-time","1990","Employed","West Germany","687","0.123075327067059","0.114879330339417","0.131271323794702","2"
"Part-time","1990","Employed","East Germany","","","","","2"
"Full-time","1991","Employed","East Germany","","","","","1"
"Full-time","1991","Not Employed","West Germany","60","0.0120007440298768","0.00826804455390943","0.0157334435058442","1"
"Full-time","1991","Not Employed","East Germany","","","","","1"
"Full-time","1991","Employed","West Germany","4441","0.705903005561226","0.694558772205446","0.717247238917006","1"
"Non-working","1991","Not Employed","East Germany","","","","","5"
"Non-working","1991","Employed","West Germany","478","0.0773803067625482","0.0707278214150938","0.0840327921100026","5"
"Non-working","1991","Not Employed","West Germany","3129","0.972081219510352","0.966433929004509","0.977728510016196","5"
"Non-working","1991","Employed","East Germany","","","","","5"
"Other","1991","Not Employed","East Germany","","","","","6"
"Other","1991","Not Employed","West Germany","54","0.0115126094339885","0.00785570944385102","0.0151695094241259","6"
"Other","1991","Employed","East Germany","","","","","6"
"Other","1991","Employed","West Germany","554","0.0876536122427113","0.0806128102561315","0.0946944142292912","6"
"Part-time","1991","Not Employed","West Germany","26","","","","2"
"Part-time","1991","Not Employed","East Germany","","","","","2"
"Part-time","1991","Employed","West Germany","724","0.129063075433514","0.120715666313401","0.137410484553628","2"
"Part-time","1991","Employed","East Germany","","","","","2"
"Full-time","1992","Not Employed","West Germany","37","0.00854118560645155","0.00536912367765581","0.0117132475352473","1"
"Full-time","1992","Not Employed","East Germany","13","","","","1"
"Full-time","1992","Employed","West Germany","4380","0.703906362346828","0.692510333664139","0.715302391029517","1"
"Full-time","1992","Employed","East Germany","2095","0.697426668782957","0.680849831231749","0.714003506334166","1"
"Non-working","1992","Not Employed","West Germany","3142","0.980314264064029","0.975525717363506","0.985102810764551","5"
"Non-working","1992","Employed","East Germany","554","0.208764025966026","0.194097815025683","0.223430236906369","5"
"Non-working","1992","Not Employed","East Germany","1001","0.973309824280742","0.963528284920342","0.983091363641143","5"
"Non-working","1992","Employed","West Germany","549","0.0885561044805941","0.0814643160170837","0.0956478929441045","5"
"Other","1992","Not Employed","East Germany","28","","","","6"
"Other","1992","Not Employed","West Germany","26","","","","6"
"Other","1992","Employed","East Germany","143","0.0440764912527756","0.0366693238211699","0.0514836586843812","6"
"Other","1992","Employed","West Germany","480","0.0746967602668531","0.0681341823168574","0.0812593382168488","6"
"Part-time","1992","Not Employed","West Germany","28","","","","2"
"Part-time","1992","Employed","West Germany","756","0.132840772905724","0.124368563682244","0.141312982129204","2"
"Part-time","1992","Not Employed","East Germany","1","","","","2"
"Part-time","1992","Employed","East Germany","158","0.0497328139982412","0.0418880214012134","0.057577606595269","2"
"Full-time","1993","Not Employed","West Germany","48","0.00950603333748885","0.00613928795868707","0.0128727787162906","1"
"Full-time","1993","Not Employed","East Germany","28","","","","1"
"Full-time","1993","Employed","West Germany","4307","0.698627727691331","0.687156998152729","0.710098457229933","1"
"Full-time","1993","Employed","East Germany","1895","0.72193573932787","0.704667196649424","0.739204282006315","1"
"Non-working","1993","Not Employed","West Germany","3074","0.972044750813881","0.966325231873628","0.977764269754133","5"
"Non-working","1993","Employed","East Germany","387","0.166228105355766","0.151879500229816","0.180576710481715","5"
"Non-working","1993","Not Employed","East Germany","1180","0.953445482025767","0.941784686700688","0.965106277350846","5"
"Non-working","1993","Employed","West Germany","619","0.0961538493120806","0.0887841956546405","0.103523502969521","5"
"Other","1993","Not Employed","East Germany","39","0.0254109379774553","0.0167008922044387","0.0341209837504719","6"
"Other","1993","Not Employed","West Germany","41","0.01077864615781","0.0071959206330178","0.0143613716826022","6"
"Other","1993","Employed","West Germany","483","0.0767867265444213","0.0701307684144996","0.0834426846743429","6"
"Other","1993","Employed","East Germany","157","0.0569064445182754","0.0479776681574018","0.0658352208791489","6"
"Part-time","1993","Not Employed","West Germany","28","","","","2"
"Part-time","1993","Employed","West Germany","738","0.128431696452167","0.120067902830823","0.136795490073512","2"
"Part-time","1993","Not Employed","East Germany","7","","","","2"
"Part-time","1993","Employed","East Germany","147","0.0549297107980894","0.0461481938855821","0.0637112277105967","2"
"Full-time","1994","Not Employed","West Germany","47","0.0121955447601364","0.0084238012484122","0.0159672882718606","1"
"Full-time","1994","Not Employed","East Germany","17","","","","1"
"Full-time","1994","Employed","West Germany","4112","0.692212030970005","0.680437134671251","0.703986927268758","1"
"Full-time","1994","Employed","East Germany","1824","0.746149640473733","0.728923431296199","0.763375849651268","1"
"Non-working","1994","Not Employed","West Germany","3142","0.975095046708137","0.969739887334202","0.980450206082073","5"
"Non-working","1994","Employed","East Germany","284","0.126262969230738","0.113116285103945","0.13940965335753","5"
"Non-working","1994","Employed","West Germany","650","0.105350679845221","0.0975189663977719","0.11318239329267","5"
"Non-working","1994","Not Employed","East Germany","1286","0.971947363046667","0.96309308653506","0.980801639558274","5"
"Other","1994","Not Employed","East Germany","28","","","","6"
"Other","1994","Not Employed","West Germany","43","0.00819982031581066","0.00510082929028134","0.01129881134134","6"
"Other","1994","Employed","West Germany","451","0.07609649324101","0.0693324351464166","0.0828605513356035","6"
"Other","1994","Employed","East Germany","174","0.0601095463682191","0.0507015270045546","0.0695175657318836","6"
"Part-time","1994","Not Employed","West Germany","21","","","","2"
"Part-time","1994","Employed","West Germany","690","0.126340795943764","0.117865506635065","0.134816085252463","2"
"Part-time","1994","Not Employed","East Germany","5","","","","2"
"Part-time","1994","Employed","East Germany","170","0.0674778439273103","0.0575490148064087","0.0774066730482118","2"
"Full-time","1995","Employed","West Germany","4299","0.692746676313022","0.681205906085062","0.704287446540981","1"
"Full-time","1995","Not Employed","West Germany","54","0.0112448290294596","0.00776394669779567","0.0147257113611236","1"
"Full-time","1995","Not Employed","East Germany","34","0.0193384885220227","0.0118896843511607","0.0267872926928848","1"
"Full-time","1995","Employed","East Germany","1770","0.749381767516813","0.73201474385569","0.766748791177937","1"
"Non-working","1995","Not Employed","West Germany","3403","0.973012147412217","0.967662664235162","0.978361630589273","5"
"Non-working","1995","Employed","East Germany","246","0.106984345216703","0.0945976013889165","0.11937108904449","5"
"Non-working","1995","Not Employed","East Germany","1246","0.958052589708645","0.947209252106818","0.968895927310472","5"
"Non-working","1995","Employed","West Germany","589","0.0967790822465416","0.089383250585693","0.10417491390739","5"
"Other","1995","Not Employed","East Germany","28","","","","6"
"Other","1995","Not Employed","West Germany","41","0.0100905973951193","0.0067912754603129","0.0133899193299257","6"
"Other","1995","Employed","West Germany","513","0.0807426425227583","0.073927588372026","0.0875576966734907","6"
"Other","1995","Employed","East Germany","168","0.0596591764078639","0.0501673721046556","0.0691509807110723","6"
"Part-time","1995","Not Employed","West Germany","27","","","","2"
"Part-time","1995","Employed","West Germany","738","0.129731598917678","0.121326385074686","0.13813681276067","2"
"Part-time","1995","Not Employed","East Germany","5","","","","2"
"Part-time","1995","Employed","East Germany","208","0.0839747108586192","0.0728600684746045","0.095089353242634","2"
"Full-time","1996","Employed","West Germany","4140","0.68150119414168","0.669765356370143","0.693237031913216","1"
"Full-time","1996","Not Employed","West Germany","42","0.00812857686676399","0.00509880101827341","0.0111583527152546","1"
"Full-time","1996","Not Employed","East Germany","17","","","","1"
"Full-time","1996","Employed","East Germany","1717","0.721084724779922","0.703142686956326","0.739026762603518","1"
"Non-working","1996","Not Employed","West Germany","3266","0.974601163877883","0.969292369276467","0.979909958479298","5"
"Non-working","1996","Employed","East Germany","306","0.134680590346275","0.121022713306235","0.148338467386316","5"
"Non-working","1996","Not Employed","East Germany","1247","0.968716241014566","0.959238532532625","0.978193949496506","5"
"Non-working","1996","Employed","West Germany","624","0.098708233191204","0.0911948372857473","0.106221629096661","5"
"Other","1996","Not Employed","West Germany","38","0.0088192073633118","0.00566444415184778","0.0119739705747758","6"
"Other","1996","Not Employed","East Germany","24","","","","6"
"Other","1996","Employed","West Germany","476","0.0767246155845616","0.0700202162894349","0.0834290148796884","6"
"Other","1996","Employed","East Germany","172","0.0605389738309441","0.0509978533111706","0.0700800943507175","6"
"Part-time","1996","Not Employed","West Germany","28","","","","2"
"Part-time","1996","Not Employed","East Germany","8","","","","2"
"Part-time","1996","Employed","West Germany","814","0.143065957082555","0.134245954078463","0.151885960086646","2"
"Part-time","1996","Employed","East Germany","205","0.0836957110428585","0.0726163699865406","0.0947750520991764","2"
"Full-time","1997","Employed","West Germany","4020","0.684785962673804","0.672875297047709","0.696696628299899","1"
"Full-time","1997","Employed","East Germany","1679","0.716925289163415","0.69858615357355","0.735264424753281","1"
"Full-time","1997","Not Employed","West Germany","32","0.00708863506846399","0.00427650702773759","0.0099007631091904","1"
"Full-time","1997","Not Employed","East Germany","14","","","","1"
"Non-working","1997","Not Employed","West Germany","3335","0.979755645901629","0.975034913415915","0.984476378387343","5"
"Non-working","1997","Not Employed","East Germany","1286","0.9792215533028","0.971564176159958","0.986878930445641","5"
"Non-working","1997","Employed","West Germany","576","0.0988255320982523","0.0911749434217049","0.1064761207748","5"
"Non-working","1997","Employed","East Germany","288","0.137458919191313","0.123441510624437","0.151476327758189","5"
"Other","1997","Not Employed","East Germany","29","","","","6"
"Other","1997","Not Employed","West Germany","30","0.00582757849412026","0.00327620838980964","0.00837894859843087","6"
"Other","1997","Employed","West Germany","472","0.0740296547998392","0.0673175730927533","0.0807417365069251","6"
"Other","1997","Employed","East Germany","160","0.0590470028119233","0.0494513556749243","0.0686426499489224","6"
"Part-time","1997","Not Employed","East Germany","4","","","","2"
"Part-time","1997","Employed","West Germany","777","0.142358850428105","0.13340106047679","0.151316640379419","2"
"Part-time","1997","Not Employed","West Germany","22","","","","2"
"Part-time","1997","Employed","East Germany","191","0.0865687888333487","0.0751213068305895","0.0980162708361079","2"
"Full-time","1998","Not Employed","East Germany","14","","","","1"
"Full-time","1998","Employed","East Germany","1726","0.69691025159137","0.678733847889156","0.715086655293583","1"
"Full-time","1998","Not Employed","West Germany","41","0.00869876961291878","0.00582463144758905","0.0115729077782485","1"
"Full-time","1998","Employed","West Germany","4462","0.690938194784007","0.679644986393871","0.702231403174144","1"
"Non-working","1998","Not Employed","West Germany","3905","0.976569697395443","0.971887858389314","0.981251536401572","5"
"Non-working","1998","Employed","West Germany","546","0.0839471416630302","0.0771701290036349","0.0907241543224255","5"
"Non-working","1998","Not Employed","East Germany","1397","0.980026000285463","0.972771904344252","0.987280096226675","5"
"Non-working","1998","Employed","East Germany","321","0.143559410599082","0.129691904551811","0.157426916646353","5"
"Other","1998","Not Employed","East Germany","13","","","","6"
"Other","1998","Not Employed","West Germany","40","0.00885048890408408","0.00595161635834212","0.011749361449826","6"
"Other","1998","Employed","West Germany","539","0.075075262656311","0.0686353985833008","0.0815151267293212","6"
"Other","1998","Employed","East Germany","209","0.0732226120476013","0.0629200738600304","0.0835251502351722","6"
"Part-time","1998","Not Employed","East Germany","5","","","","2"
"Part-time","1998","Employed","West Germany","885","0.150039400896651","0.141312156645803","0.1587666451475","2"
"Part-time","1998","Not Employed","West Germany","24","","","","2"
"Part-time","1998","Employed","East Germany","200","0.0863077257619471","0.0752016988214845","0.0974137527024097","2"
"Full-time","1999","Employed","East Germany","1707","0.705686903569919","0.687529605173186","0.723844201966651","1"
"Full-time","1999","Not Employed","West Germany","41","0.00896359565776151","0.00587835217360131","0.0120488391419217","1"
"Full-time","1999","Not Employed","East Germany","12","","","","1"
"Full-time","1999","Employed","West Germany","4301","0.67179590376186","0.660273889036909","0.683317918486812","1"
"Non-working","1999","Not Employed","West Germany","3473","0.975923079984185","0.970905298200941","0.980940861767429","5"
"Non-working","1999","Employed","West Germany","578","0.0912681507058182","0.0842014735337379","0.0983348278778984","5"
"Non-working","1999","Not Employed","East Germany","1350","0.980138109295608","0.972784662870804","0.987491555720413","5"
"Non-working","1999","Employed","East Germany","278","0.124573793486443","0.111416592026447","0.137730994946439","5"
"Other","1999","Not Employed","East Germany","14","","","","6"
"Other","1999","Not Employed","West Germany","49","0.0109721319893456","0.00756214056224076","0.0143821234164504","6"
"Other","1999","Employed","West Germany","633","0.0990037797763555","0.0916751104939551","0.106332449058756","6"
"Other","1999","Employed","East Germany","211","0.0762813139757618","0.0657053647958794","0.0868572631556443","6"
"Part-time","1999","Not Employed","East Germany","7","","","","2"
"Part-time","1999","Employed","West Germany","868","0.137932165755966","0.129470784778794","0.146393546733138","2"
"Part-time","1999","Not Employed","West Germany","22","","","","2"
"Part-time","1999","Employed","East Germany","224","0.0934579889678766","0.0818610708343718","0.105054907101381","2"
"Full-time","2000","Not Employed","West Germany","58","0.00836959447219339","0.00620935803345395","0.0105298309109328","1"
"Full-time","2000","Not Employed","East Germany","30","0.0124929633262737","0.00789020755746815","0.0170957190950792","1"
"Full-time","2000","Employed","East Germany","2465","0.675457311150745","0.660245114476605","0.690669507824885","1"
"Full-time","2000","Employed","West Germany","7532","0.660761167811947","0.652129010223448","0.669393325400446","1"
"Non-working","2000","Not Employed","West Germany","6639","0.972557967047449","0.968684141572099","0.976431792522799","5"
"Non-working","2000","Employed","West Germany","1120","0.093725247504997","0.088411479823518","0.0990390151864759","5"
"Non-working","2000","Not Employed","East Germany","2164","0.9709529793669","0.963993688395631","0.977912270338169","5"
"Non-working","2000","Employed","East Germany","498","0.138248205956995","0.127033757649135","0.149462654264855","5"
"Other","2000","Not Employed","East Germany","29","","","","6"
"Other","2000","Not Employed","West Germany","81","0.0114979735319669","0.00896999374890584","0.014025953315028","6"
"Other","2000","Employed","West Germany","1087","0.0911207209147611","0.0858737821086737","0.0963676597208484","6"
"Other","2000","Employed","East Germany","321","0.0884136548704651","0.0791897324672629","0.0976375772736673","6"
"Part-time","2000","Not Employed","East Germany","14","","","","2"
"Part-time","2000","Employed","West Germany","1817","0.154392863768295","0.147805035710746","0.160980691825843","2"
"Part-time","2000","Not Employed","West Germany","54","0.00757446494839057","0.00551857857817118","0.00963035131860995","2"
"Part-time","2000","Employed","East Germany","355","0.0978808280217948","0.0882261490671749","0.107535506976415","2"
"Full-time","2001","Not Employed","West Germany","44","0.00718528636279399","0.00505154359365404","0.00931902913193393","1"
"Full-time","2001","Not Employed","East Germany","24","","","","1"
"Full-time","2001","Employed","East Germany","2251","0.6655115636561","0.649522670989238","0.681500456322963","1"
"Full-time","2001","Employed","West Germany","6763","0.644498044347332","0.635376726672608","0.653619362022056","1"
"Non-working","2001","Not Employed","West Germany","5869","0.977715830071158","0.973986846469438","0.981444813672877","5"
"Non-working","2001","Employed","West Germany","1071","0.102568995693364","0.0967875777139251","0.108350413672802","5"
"Non-working","2001","Not Employed","East Germany","2041","0.965947822688325","0.958227606934448","0.973668038442202","5"
"Non-working","2001","Employed","East Germany","450","0.146897328046167","0.134900743218584","0.158893912873749","5"
"Other","2001","Not Employed","East Germany","42","0.0175845951722038","0.0119896745450375","0.0231795157993701","6"
"Other","2001","Not Employed","West Germany","63","0.00872887397766507","0.0063789097073882","0.0110788382479419","6"
"Other","2001","Employed","West Germany","1080","0.099289442008756","0.093590818777402","0.10498806524011","6"
"Other","2001","Employed","East Germany","298","0.0851488733524576","0.0756905382529567","0.0946072084519585","6"
"Part-time","2001","Employed","West Germany","1665","0.153643517950548","0.146771891130086","0.16051514477101","2"
"Part-time","2001","Not Employed","East Germany","13","","","","2"
"Part-time","2001","Not Employed","West Germany","43","0.0063700095883834","0.00436013801411278","0.00837988116265402","2"
"Part-time","2001","Employed","East Germany","346","0.102442234945276","0.0921663139504671","0.112718155940085","2"
"Full-time","2002","Not Employed","West Germany","41","0.00702047324220085","0.00494101170241595","0.00909993478198575","1"
"Full-time","2002","Not Employed","East Germany","21","","","","1"
"Full-time","2002","Employed","East Germany","2230","0.640315032687927","0.624044459197623","0.65658560617823","1"
"Full-time","2002","Employed","West Germany","7279","0.630946300277748","0.622129177528609","0.639763423026886","1"
"Non-working","2002","Not Employed","West Germany","6050","0.978318708533516","0.974691435023435","0.981945982043598","5"
"Non-working","2002","Employed","East Germany","468","0.16332518760188","0.150792338849363","0.175858036354397","5"
"Non-working","2002","Employed","West Germany","1171","0.109495990318969","0.10379036887493","0.115201611763009","5"
"Non-working","2002","Not Employed","East Germany","2048","0.971543379521713","0.964458817305989","0.978627941737438","5"
"Other","2002","Not Employed","East Germany","40","0.0166516122443388","0.0111994080947598","0.0221038163939177","6"
"Other","2002","Not Employed","West Germany","64","0.0100051388354164","0.00752642962297263","0.0124838480478602","6"
"Other","2002","Employed","West Germany","1154","0.103332247762425","0.0977703933056493","0.108894102219201","6"
"Other","2002","Employed","East Germany","297","0.0901436759183894","0.0804341302392913","0.0998532215974876","6"
"Part-time","2002","Not Employed","West Germany","38","0.00465567938886629","0.00296026542821015","0.00635109334952243","2"
"Part-time","2002","Employed","West Germany","1902","0.156225461640858","0.149591468433229","0.162859454848486","2"
"Part-time","2002","Not Employed","East Germany","7","","","","2"
"Part-time","2002","Employed","East Germany","347","0.106216103791804","0.0957699524314027","0.116662255152205","2"
"Full-time","2003","Not Employed","West Germany","24","","","","1"
"Full-time","2003","Not Employed","East Germany","16","","","","1"
"Full-time","2003","Employed","East Germany","2082","0.630539357697469","0.613909672615474","0.647169042779465","1"
"Full-time","2003","Employed","West Germany","6749","0.628467732574501","0.619372094920909","0.637563370228092","1"
"Non-working","2003","Not Employed","West Germany","5951","0.980426232979957","0.976944993888257","0.983907472071656","5"
"Non-working","2003","Employed","East Germany","474","0.164322062675085","0.151554404652413","0.177089720697756","5"
"Non-working","2003","Not Employed","East Germany","2083","0.976926912981437","0.970559964205781","0.983293861757093","5"
"Non-working","2003","Employed","West Germany","1128","0.107720066915437","0.101884376292994","0.113555757537879","5"
"Other","2003","Not Employed","East Germany","35","0.0172133312805127","0.0116975179670576","0.0227291445939678","6"
"Other","2003","Not Employed","West Germany","75","0.0111631000645256","0.00852285691872533","0.0138033432103259","6"
"Other","2003","Employed","West Germany","1109","0.103925198475457","0.0981810460832993","0.109669350867615","6"
"Other","2003","Employed","East Germany","289","0.0842799803694833","0.0747083173173371","0.0938516434216295","6"
"Part-time","2003","Not Employed","West Germany","33","0.00440080511431805","0.00273740196467961","0.00606420826395649","2"
"Part-time","2003","Employed","West Germany","1856","0.159887002034605","0.152988277225555","0.166785726843656","2"
"Part-time","2003","Not Employed","East Germany","2","","","","2"
"Part-time","2003","Employed","East Germany","391","0.120858599257963","0.109627766009982","0.132089432505943","2"
"Full-time","2004","Not Employed","West Germany","34","0.00460257675754419","0.00289729004758019","0.00630786346750818","1"
"Full-time","2004","Not Employed","East Germany","12","","","","1"
"Full-time","2004","Employed","East Germany","2020","0.616764690377702","0.599608809730462","0.633920571024943","1"
"Full-time","2004","Employed","West Germany","6469","0.627079744772634","0.617797380587456","0.636362108957812","1"
"Non-working","2004","Not Employed","West Germany","5929","0.98186162359024","0.978499427960289","0.985223819220191","5"
"Non-working","2004","Employed","East Germany","381","0.140942079879512","0.12866338894381","0.153220770815214","5"
"Non-working","2004","Not Employed","East Germany","2112","0.974602628398934","0.967983109903843","0.981222146894026","5"
"Non-working","2004","Employed","West Germany","1044","0.109526529546082","0.103531940900457","0.115521118191708","5"
"Other","2004","Not Employed","East Germany","35","0.0159106713486604","0.0106458972908661","0.0211754454064548","6"
"Other","2004","Employed","West Germany","1141","0.108102174163019","0.102141930733327","0.114062417592711","6"
"Other","2004","Employed","East Germany","298","0.111627238392481","0.100514957412487","0.122739519372475","6"
"Other","2004","Not Employed","West Germany","67","0.00986653373764594","0.00737637057716695","0.0123566968981249","6"
"Part-time","2004","Not Employed","West Germany","22","","","","2"
"Part-time","2004","Employed","West Germany","1772","0.155291551518265","0.148339442654325","0.162243660382205","2"
"Part-time","2004","Not Employed","East Germany","11","","","","2"
"Part-time","2004","Employed","East Germany","386","0.130665991350305","0.118772889843599","0.14255909285701","2"
