"erwst","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Non-working","1989","Not Employed","indirect migration background","104","0.978689693139664","0.951578277127533","1.00580110915179"
"Non-working","1989","Employed","no migration background","356","0.0798453486272101","0.0717634912601153","0.0879272059943049"
"Non-working","1989","Employed","direct migration background","141","0.0996169537652685","0.0857738482149412","0.113460059315596"
"Non-working","1989","Employed","indirect migration background","19","","",""
"Other","1989","Not Employed","no migration background","36","0.010906117429306","0.00685262475398599","0.014959610104626"
"Other","1989","Not Employed","direct migration background","12","","",""
"Other","1989","Not Employed","indirect migration background","2","","",""
"Other","1989","Employed","no migration background","393","0.0835821839470176","0.0753301771483329","0.0918341907457023"
"Other","1989","Employed","direct migration background","94","0.0474329807281159","0.0376077846496138","0.057258176806618"
"Other","1989","Employed","indirect migration background","37","0.200894302150717","0.136987727442352","0.264800876859083"
"Full-time","1990","Not Employed","no migration background","14","","",""
"Full-time","1990","Not Employed","direct migration background","20","","",""
"Full-time","1990","Not Employed","indirect migration background","","","",""
"Full-time","1990","Employed","no migration background","2986","0.711799144830066","0.698175777723797","0.725422511936335"
"Full-time","1990","Employed","direct migration background","1407","0.780551484428931","0.761155122155368","0.799947846702493"
"Full-time","1990","Employed","indirect migration background","96","0.512952878519511","0.439317642369829","0.586588114669192"
"Part-time","1990","Not Employed","no migration background","23","","",""
"Part-time","1990","Not Employed","direct migration background","12","","",""
"Part-time","1990","Not Employed","indirect migration background","1","","",""
"Part-time","1990","Employed","no migration background","539","0.125358190019218","0.115398414054816","0.135317965983619"
"Part-time","1990","Employed","direct migration background","131","0.101918690957648","0.0877399413292009","0.116097440586095"
"Part-time","1990","Employed","indirect migration background","17","","",""
"Non-working","1990","Not Employed","no migration background","2364","0.979973280977797","0.974396368832328","0.985550193123266"
"Non-working","1990","Not Employed","direct migration background","764","0.963548431483247","0.950577959149504","0.97651890381699"
"Non-working","1990","Not Employed","indirect migration background","116","0.988219093593994","0.968832987571813","1.00760519961618"
"Non-working","1990","Employed","no migration background","362","0.0827458601003887","0.0744592658621856","0.0910324543385917"
"Non-working","1990","Employed","direct migration background","128","0.0716836314570972","0.0595940521217859","0.0837732107924086"
"Non-working","1990","Employed","indirect migration background","14","","",""
"Other","1990","Not Employed","no migration background","23","","",""
"Other","1990","Not Employed","direct migration background","6","","",""
"Other","1990","Not Employed","indirect migration background","2","","",""
"Other","1990","Employed","no migration background","359","0.0800968050503271","0.0719321703913553","0.0882614397092988"
"Other","1990","Employed","direct migration background","83","0.0458461931563243","0.0360442084656424","0.0556481778470062"
"Other","1990","Employed","indirect migration background","50","0.234841027972927","0.172392201482035","0.297289854463819"
"Full-time","1991","Not Employed","no migration background","32","0.0109790693322807","0.00678910449793373","0.0151690341666278"
"Full-time","1991","Not Employed","direct migration background","22","","",""
"Full-time","1991","Not Employed","indirect migration background","6","","",""
"Full-time","1991","Employed","no migration background","2939","0.698832892229349","0.685024103000022","0.712641681458675"
"Full-time","1991","Employed","direct migration background","1398","0.775245122332951","0.755643225473029","0.794847019192872"
"Full-time","1991","Employed","indirect migration background","104","0.469966887026056","0.403253346128814","0.536680427923298"
"Part-time","1991","Not Employed","no migration background","12","","",""
"Part-time","1991","Not Employed","direct migration background","12","","",""
"Part-time","1991","Not Employed","indirect migration background","2","","",""
"Part-time","1991","Employed","no migration background","570","0.133792464702243","0.12354557719163","0.144039352212855"
"Part-time","1991","Employed","direct migration background","134","0.0935849671002651","0.0799079745131522","0.107261959687378"
"Part-time","1991","Employed","indirect migration background","20","","",""
"Non-working","1991","Not Employed","no migration background","2299","0.974157779867227","0.967778018486471","0.980537541247982"
"Non-working","1991","Not Employed","direct migration background","711","0.960878484354364","0.947085149691416","0.974671819017313"
"Non-working","1991","Not Employed","indirect migration background","119","0.922657348565313","0.877427467834471","0.967887229296156"
"Non-working","1991","Employed","no migration background","340","0.0787921207712596","0.0706827831934084","0.0869014583491109"
"Non-working","1991","Employed","direct migration background","120","0.0710126688165197","0.0589512935815356","0.0830740440515038"
"Non-working","1991","Employed","indirect migration background","18","","",""
"Other","1991","Not Employed","no migration background","33","0.010956169664018","0.00677052827824736","0.0151418110497887"
"Other","1991","Not Employed","direct migration background","14","","",""
"Other","1991","Not Employed","indirect migration background","7","","",""
"Other","1991","Employed","no migration background","391","0.0885825222971491","0.0800299282191096","0.0971351163751886"
"Other","1991","Employed","direct migration background","90","0.0601572417502646","0.0489912944685822","0.0713231890319469"
"Other","1991","Employed","indirect migration background","73","0.31150158860484","0.249598764134307","0.373404413075373"
"Full-time","1992","Not Employed","no migration background","38","0.00851417364216399","0.00538461562356221","0.0116437316607658"
"Full-time","1992","Not Employed","direct migration background","11","","",""
"Full-time","1992","Not Employed","indirect migration background","1","","",""
"Full-time","1992","Employed","no migration background","4988","0.701094583760921","0.690444934818022","0.711744232703819"
"Full-time","1992","Employed","direct migration background","1365","0.7428820425637","0.722486984995585","0.763277100131815"
"Full-time","1992","Employed","indirect migration background","122","0.43470670285018","0.373623343050374","0.495790062649985"
"Part-time","1992","Not Employed","no migration background","20","","",""
"Part-time","1992","Not Employed","direct migration background","5","","",""
"Part-time","1992","Not Employed","indirect migration background","4","","",""
"Part-time","1992","Employed","no migration background","737","0.115901277125661","0.108454393177447","0.123348161073874"
"Part-time","1992","Employed","direct migration background","155","0.100758990821488","0.0867121468857824","0.114805834757194"
"Part-time","1992","Employed","indirect migration background","22","","",""
"Non-working","1992","Not Employed","no migration background","3209","0.979548940943662","0.974727914964682","0.984369966922642"
"Non-working","1992","Not Employed","direct migration background","784","0.978770960625822","0.968825680213818","0.988716241037827"
"Non-working","1992","Not Employed","indirect migration background","150","0.954384177163334","0.921850068009272","0.986918286317396"
"Non-working","1992","Employed","no migration background","914","0.116748094983366","0.109277635987807","0.124218553978926"
"Non-working","1992","Employed","direct migration background","164","0.102015039817558","0.0878907885873512","0.116139291047764"
"Non-working","1992","Employed","indirect migration background","25","","",""
"Other","1992","Not Employed","no migration background","44","0.00772074488428271","0.00473938050844887","0.0107021092601166"
"Other","1992","Not Employed","direct migration background","7","","",""
"Other","1992","Not Employed","indirect migration background","3","","",""
"Other","1992","Employed","no migration background","459","0.0662560441300523","0.0604696668541136","0.072042421405991"
"Other","1992","Employed","direct migration background","80","0.0543439267972545","0.0437650169303177","0.0649228366641914"
"Other","1992","Employed","indirect migration background","84","0.312684925456298","0.25556084301887","0.369809007893726"
"Full-time","1993","Not Employed","no migration background","52","0.0101870169609536","0.00683968727671862","0.0135343466451885"
"Full-time","1993","Not Employed","direct migration background","19","","",""
"Full-time","1993","Not Employed","indirect migration background","5","","",""
"Full-time","1993","Employed","no migration background","4765","0.701121110214227","0.690198237358999","0.712043983069455"
"Full-time","1993","Employed","direct migration background","1288","0.755678517413487","0.735119541467533","0.776237493359442"
"Full-time","1993","Employed","indirect migration background","149","0.444569178189995","0.389073725849959","0.500064630530032"
"Part-time","1993","Not Employed","no migration background","27","","",""
"Part-time","1993","Not Employed","direct migration background","7","","",""
"Part-time","1993","Not Employed","indirect migration background","1","","",""
"Part-time","1993","Employed","no migration background","720","0.117795227981908","0.110103192377927","0.125487263585889"
"Part-time","1993","Employed","direct migration background","150","0.091195777985826","0.0774213159288493","0.104970240042803"
"Part-time","1993","Employed","indirect migration background","15","","",""
"Non-working","1993","Not Employed","no migration background","3311","0.969417717052987","0.963678021875441","0.975157412230533"
"Non-working","1993","Not Employed","direct migration background","788","0.960675382947091","0.947372010591476","0.973978755302707"
"Non-working","1993","Not Employed","indirect migration background","155","0.96256312160475","0.933858100278747","0.991268142930754"
"Non-working","1993","Employed","no migration background","795","0.110010682030607","0.102544431449206","0.117476932612007"
"Non-working","1993","Employed","direct migration background","179","0.115824364767681","0.100512737523104","0.131135992012259"
"Non-working","1993","Employed","indirect migration background","32","0.069960638049055","0.0414734043518431","0.098447871746267"
"Other","1993","Not Employed","no migration background","67","0.0137856389607271","0.0098987913612161","0.0176724865602381"
"Other","1993","Not Employed","direct migration background","6","","",""
"Other","1993","Not Employed","indirect migration background","7","","",""
"Other","1993","Employed","no migration background","467","0.0710729797732586","0.0649419165343246","0.0772040430121925"
"Other","1993","Employed","direct migration background","61","0.0373013398330057","0.0282344255029607","0.0463682541630508"
"Other","1993","Employed","indirect migration background","112","0.408664454475742","0.353764351661355","0.463564557290129"
"Full-time","1994","Not Employed","no migration background","47","0.0109610707546406","0.00754849328185632","0.0143736482274248"
"Full-time","1994","Not Employed","direct migration background","11","","",""
"Full-time","1994","Not Employed","indirect migration background","6","","",""
"Full-time","1994","Employed","no migration background","4627","0.705681291962312","0.694600482839596","0.716762101085028"
"Full-time","1994","Employed","direct migration background","1145","0.718199795605572","0.695687037670193","0.74071255354095"
"Full-time","1994","Employed","indirect migration background","164","0.470305886474938","0.415874473222378","0.524737299727499"
"Part-time","1994","Not Employed","no migration background","18","","",""
"Part-time","1994","Not Employed","direct migration background","7","","",""
"Part-time","1994","Not Employed","indirect migration background","1","","",""
"Part-time","1994","Employed","no migration background","708","0.118869157229541","0.111000275261423","0.126738039197659"
"Part-time","1994","Employed","direct migration background","134","0.0925347030264013","0.0780335431100068","0.107035862942796"
"Part-time","1994","Employed","indirect migration background","18","","",""
"Non-working","1994","Not Employed","no migration background","3459","0.975568719640564","0.970508709548054","0.980628729733074"
"Non-working","1994","Not Employed","direct migration background","812","0.973800709515356","0.962999105393225","0.984602313637486"
"Non-working","1994","Not Employed","indirect migration background","157","0.926059743597395","0.887066890070382","0.965052597124408"
"Non-working","1994","Employed","no migration background","696","0.105013171048758","0.0975591872235629","0.112467154873954"
"Non-working","1994","Employed","direct migration background","193","0.137572639745663","0.120335598950458","0.154809680540868"
"Non-working","1994","Employed","indirect migration background","45","0.123405724922526","0.0875371767293824","0.159274273115669"
"Other","1994","Not Employed","no migration background","52","0.010117184669841","0.00683720564072002","0.0133971636989621"
"Other","1994","Not Employed","direct migration background","10","","",""
"Other","1994","Not Employed","indirect migration background","9","","",""
"Other","1994","Employed","no migration background","467","0.0704363797593885","0.0642148625037327","0.0766578970150444"
"Other","1994","Employed","direct migration background","62","0.0516928616223645","0.0406132328768134","0.0627724903679156"
"Other","1994","Employed","indirect migration background","96","0.317726070458299","0.266950753396881","0.368501387519717"
"Full-time","1995","Not Employed","no migration background","67","0.0131221407276753","0.0093839871459957","0.0168602943093549"
"Full-time","1995","Not Employed","direct migration background","17","","",""
"Full-time","1995","Not Employed","indirect migration background","4","","",""
"Full-time","1995","Employed","no migration background","4621","0.706684511701341","0.69560108987941","0.717767933523273"
"Full-time","1995","Employed","direct migration background","1269","0.714501636829573","0.693082222921937","0.735921050737209"
"Full-time","1995","Employed","indirect migration background","179","0.482895045835669","0.429857108513231","0.535932983158107"
"Part-time","1995","Not Employed","no migration background","26","","",""
"Part-time","1995","Not Employed","direct migration background","5","","",""
"Part-time","1995","Not Employed","indirect migration background","1","","",""
"Part-time","1995","Employed","no migration background","756","0.124335912310286","0.116303229098848","0.132368595521724"
"Part-time","1995","Employed","direct migration background","167","0.106146545352432","0.0915385624653707","0.120754528239494"
"Part-time","1995","Employed","indirect migration background","23","","",""
"Non-working","1995","Not Employed","no migration background","3417","0.969705966630474","0.96407579446099","0.975336138799957"
"Non-working","1995","Not Employed","direct migration background","1073","0.976938861530417","0.968092909252075","0.985784813808759"
"Non-working","1995","Not Employed","indirect migration background","159","0.925276780915344","0.885980858639981","0.964572703190707"
"Non-working","1995","Employed","no migration background","614","0.0955220038645072","0.0883664329038466","0.102677574825168"
"Non-working","1995","Employed","direct migration background","179","0.113810597127453","0.0987494245454223","0.128871769709484"
"Non-working","1995","Employed","indirect migration background","42","0.130499776934575","0.0947469295499614","0.166252624319188"
"Other","1995","Not Employed","no migration background","50","0.0121233345951922","0.0085284454609979","0.0157182237293866"
"Other","1995","Not Employed","direct migration background","11","","",""
"Other","1995","Not Employed","indirect migration background","8","","",""
"Other","1995","Employed","no migration background","491","0.0734575721238653","0.0671065369447655","0.0798086073029652"
"Other","1995","Employed","direct migration background","93","0.0655412206905411","0.0538046425380413","0.0772777988430409"
"Other","1995","Employed","indirect migration background","97","0.300428166456466","0.25176981590807","0.349086517004861"
"Full-time","1996","Not Employed","no migration background","37","0.00712288297640896","0.00432198364005822","0.00992378231275969"
"Full-time","1996","Not Employed","direct migration background","14","","",""
"Full-time","1996","Not Employed","indirect migration background","8","","",""
"Full-time","1996","Employed","no migration background","4526","0.693502120173262","0.682286328850598","0.704717911495926"
"Full-time","1996","Employed","direct migration background","1138","0.690479381436604","0.667791815899982","0.713166946973226"
"Full-time","1996","Employed","indirect migration background","193","0.490860074534605","0.439783517638785","0.541936631430426"
"Part-time","1996","Not Employed","no migration background","28","","",""
"Part-time","1996","Not Employed","direct migration background","7","","",""
"Part-time","1996","Not Employed","indirect migration background","1","","",""
"Part-time","1996","Employed","no migration background","810","0.13514126721504","0.126824417240307","0.143458117189774"
"Part-time","1996","Employed","direct migration background","187","0.119868861413027","0.103928629684508","0.135809093141546"
"Part-time","1996","Employed","indirect migration background","22","","",""
"Non-working","1996","Not Employed","no migration background","3352","0.975239671963332","0.970064131335078","0.980415212591587"
"Non-working","1996","Not Employed","direct migration background","995","0.966256607098619","0.955207809361369","0.97730540483587"
"Non-working","1996","Not Employed","indirect migration background","166","0.951064117552375","0.919635345435185","0.982492889669565"
"Non-working","1996","Employed","no migration background","684","0.101979579383162","0.0946176440065231","0.1093415147598"
"Non-working","1996","Employed","direct migration background","185","0.12040248936696","0.104431659759525","0.136373318974396"
"Non-working","1996","Employed","indirect migration background","61","0.148906394246285","0.11253419854058","0.18527858995199"
"Other","1996","Not Employed","no migration background","46","0.00931387483515299","0.00611457396424728","0.0125131757060587"
"Other","1996","Not Employed","direct migration background","10","","",""
"Other","1996","Not Employed","indirect migration background","6","","",""
"Other","1996","Employed","no migration background","471","0.0693770332285357","0.0631956306117765","0.075558435845295"
"Other","1996","Employed","direct migration background","85","0.0692492677834083","0.0567900139613405","0.0817085216054761"
"Other","1996","Employed","indirect migration background","92","0.277750303360364","0.231989342312103","0.323511264408626"
"Full-time","1997","Not Employed","no migration background","24","","",""
"Full-time","1997","Not Employed","direct migration background","11","","",""
"Full-time","1997","Not Employed","indirect migration background","11","","",""
"Full-time","1997","Employed","no migration background","4430","0.694995366189203","0.683640782815299","0.706349949563106"
"Full-time","1997","Employed","direct migration background","1073","0.705541199126097","0.682272462267825","0.728809935984369"
"Full-time","1997","Employed","indirect migration background","196","0.464306050507945","0.41369396684564","0.514918134170251"
"Part-time","1997","Not Employed","no migration background","21","","",""
"Part-time","1997","Not Employed","direct migration background","5","","",""
"Part-time","1997","Not Employed","indirect migration background","","","",""
"Part-time","1997","Employed","no migration background","772","0.133609297762821","0.125218519150646","0.142000076374996"
"Part-time","1997","Employed","direct migration background","156","0.118012971914393","0.101542906586307","0.134483037242479"
"Part-time","1997","Employed","indirect migration background","40","0.151986372647306","0.115553164428549","0.188419580866064"
"Non-working","1997","Not Employed","no migration background","3441","0.983215964352507","0.978979433232235","0.987452495472778"
"Non-working","1997","Not Employed","direct migration background","997","0.969640175606285","0.959100454225328","0.980179896987242"
"Non-working","1997","Not Employed","indirect migration background","183","0.909529463085562","0.869971458525479","0.949087467645645"
"Non-working","1997","Employed","no migration background","658","0.105402975635359","0.0978299889927687","0.112975962277949"
"Non-working","1997","Employed","direct migration background","168","0.111553731326318","0.0954822101876459","0.127625252464989"
"Non-working","1997","Employed","indirect migration background","38","0.0966135514602864","0.0666323188232688","0.126594784097304"
"Other","1997","Not Employed","no migration background","46","0.0068958900985608","0.00416672191996842","0.00962505827715318"
"Other","1997","Not Employed","direct migration background","5","","",""
"Other","1997","Not Employed","indirect migration background","8","","",""
"Other","1997","Employed","no migration background","456","0.0659923604126169","0.0598695744783274","0.0721151463469064"
"Other","1997","Employed","direct migration background","77","0.0648920976331916","0.0523165727965411","0.077467622469842"
"Other","1997","Employed","indirect migration background","99","0.287094025384462","0.241182483356296","0.333005567412628"
"Full-time","1998","Not Employed","no migration background","38","0.00773454648138727","0.00509044783982968","0.0103786451229448"
"Full-time","1998","Not Employed","direct migration background","13","","",""
"Full-time","1998","Not Employed","indirect migration background","4","","",""
"Full-time","1998","Employed","no migration background","4948","0.693883374244051","0.68315176469161","0.704614983796492"
"Full-time","1998","Employed","direct migration background","1024","0.716375306802273","0.692822462259583","0.739928151344963"
"Full-time","1998","Employed","indirect migration background","216","0.525833080548484","0.476652904820439","0.575013256276529"
"Part-time","1998","Not Employed","no migration background","19","","",""
"Part-time","1998","Not Employed","direct migration background","5","","",""
"Part-time","1998","Not Employed","indirect migration background","5","","",""
"Part-time","1998","Employed","no migration background","901","0.142288541074168","0.134153987325656","0.15042309482268"
"Part-time","1998","Employed","direct migration background","157","0.122612521022025","0.105474361951136","0.139750680092915"
"Part-time","1998","Employed","indirect migration background","27","","",""
"Non-working","1998","Not Employed","no migration background","4122","0.980362654845077","0.97617490185971","0.984550407830444"
"Non-working","1998","Not Employed","direct migration background","987","0.96513212856005","0.953841055484594","0.976423201635506"
"Non-working","1998","Not Employed","indirect migration background","193","0.939002067784288","0.906477820501748","0.971526315066827"
"Non-working","1998","Employed","no migration background","664","0.0920405220743826","0.0853091912757266","0.0987718528730385"
"Non-working","1998","Employed","direct migration background","150","0.104952904383591","0.0889381155400539","0.120967693227128"
"Non-working","1998","Employed","indirect migration background","53","0.144375693864734","0.109758720259951","0.178992667469516"
