"erwst","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1985","(2a) intermediate vocational","West Germany","737","0.524347634469453","0.497648145828382","0.551047123110524"
"Full-time","1985","(2a) intermediate vocational","East Germany","","","",""
"Full-time","1985","(2c_gen) general maturity certificate","West Germany","78","0.146118593778318","0.11051009116217","0.181727096394466"
"Full-time","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Full-time","1985","(2c_voc) vocational maturity certificate","West Germany","236","0.514087830502726","0.466001504953882","0.562174156051571"
"Full-time","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Full-time","1985","(3a) lower tertiary education","West Germany","171","0.655449763305601","0.596304736577568","0.714594790033635"
"Full-time","1985","(3a) lower tertiary education","East Germany","","","",""
"Full-time","1985","(3b) higher tertiary education","West Germany","350","0.663702235511601","0.622699613143506","0.704704857879697"
"Full-time","1985","(3b) higher tertiary education","East Germany","","","",""
"Part-time","1985","(0) in school","West Germany","","","",""
"Part-time","1985","(0) in school","East Germany","","","",""
"Part-time","1985","(1a) inadequately completed","West Germany","","","",""
"Part-time","1985","(1a) inadequately completed","East Germany","","","",""
"Part-time","1985","(1b) general elementary school","West Germany","184","0.0716165576359367","0.0617675363591907","0.0814655789126827"
"Part-time","1985","(1b) general elementary school","East Germany","","","",""
"Part-time","1985","(1c) basic vocational qualification","West Germany","274","0.0684102918913365","0.0604225273569843","0.0763980564256887"
"Part-time","1985","(1c) basic vocational qualification","East Germany","","","",""
"Part-time","1985","(2b) intermediate general qualification","West Germany","","","",""
"Part-time","1985","(2b) intermediate general qualification","East Germany","","","",""
"Part-time","1985","(2a) intermediate vocational","West Germany","134","0.0873053940893933","0.0722139174047558","0.102396870774031"
"Part-time","1985","(2a) intermediate vocational","East Germany","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","West Germany","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Part-time","1985","(3a) lower tertiary education","West Germany","","","",""
"Part-time","1985","(3a) lower tertiary education","East Germany","","","",""
"Part-time","1985","(3b) higher tertiary education","West Germany","42","0.0792770444852391","0.0558292923799535","0.102724796590525"
"Part-time","1985","(3b) higher tertiary education","East Germany","","","",""
"Non-working","1985","(0) in school","West Germany","181","0.966362593209511","0.940521636012065","0.992203550406956"
"Non-working","1985","(0) in school","East Germany","","","",""
"Non-working","1985","(1a) inadequately completed","West Germany","393","0.524526032622225","0.492203132603837","0.556848932640612"
"Non-working","1985","(1a) inadequately completed","East Germany","","","",""
"Non-working","1985","(1b) general elementary school","West Germany","1357","0.627140217115039","0.608669755110622","0.645610679119455"
"Non-working","1985","(1b) general elementary school","East Germany","","","",""
"Non-working","1985","(1c) basic vocational qualification","West Germany","1371","0.41890752015952","0.403296406080302","0.434518634238738"
"Non-working","1985","(1c) basic vocational qualification","East Germany","","","",""
"Non-working","1985","(2b) intermediate general qualification","West Germany","245","0.545967760396234","0.501193529831854","0.590741990960613"
"Non-working","1985","(2b) intermediate general qualification","East Germany","","","",""
"Non-working","1985","(2a) intermediate vocational","West Germany","431","0.359875707345865","0.334215694061008","0.385535720630721"
"Non-working","1985","(2a) intermediate vocational","East Germany","","","",""
"Non-working","1985","(2c_gen) general maturity certificate","West Germany","220","0.602674613691412","0.553343968301446","0.652005259081377"
"Non-working","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Non-working","1985","(2c_voc) vocational maturity certificate","West Germany","133","0.377709153664569","0.331064754416039","0.424353552913099"
"Non-working","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Non-working","1985","(3a) lower tertiary education","West Germany","61","0.273650269850809","0.218163035255176","0.329137504446442"
"Non-working","1985","(3a) lower tertiary education","East Germany","","","",""
"Non-working","1985","(3b) higher tertiary education","West Germany","103","0.232025306290337","0.195389636578156","0.268660976002519"
"Non-working","1985","(3b) higher tertiary education","East Germany","","","",""
"Other","1985","(0) in school","West Germany","","","",""
"Other","1985","(0) in school","East Germany","","","",""
"Other","1985","(1a) inadequately completed","West Germany","","","",""
"Other","1985","(1a) inadequately completed","East Germany","","","",""
"Other","1985","(1b) general elementary school","West Germany","159","0.0602234619671524","0.0511365186411271","0.0693104052931776"
"Other","1985","(1b) general elementary school","East Germany","","","",""
"Other","1985","(1c) basic vocational qualification","West Germany","88","0.0198997219865641","0.0154808547640841","0.0243185892090441"
"Other","1985","(1c) basic vocational qualification","East Germany","","","",""
"Other","1985","(2b) intermediate general qualification","West Germany","103","0.193938438346355","0.158382074708134","0.229494801984577"
"Other","1985","(2b) intermediate general qualification","East Germany","","","",""
"Other","1985","(2a) intermediate vocational","West Germany","42","0.0284712640952891","0.0195796694237041","0.0373628587668741"
"Other","1985","(2a) intermediate vocational","East Germany","","","",""
"Other","1985","(2c_gen) general maturity certificate","West Germany","55","0.180921757686576","0.142114738522034","0.219728776851117"
"Other","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1985","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Other","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1985","(3a) lower tertiary education","West Germany","","","",""
"Other","1985","(3a) lower tertiary education","East Germany","","","",""
"Other","1985","(3b) higher tertiary education","West Germany","","","",""
"Other","1985","(3b) higher tertiary education","East Germany","","","",""
"Full-time","1986","(0) in school","West Germany","","","",""
"Full-time","1986","(0) in school","East Germany","","","",""
"Full-time","1986","(1a) inadequately completed","West Germany","443","0.446648663965609","0.413286279987004","0.480011047944214"
"Full-time","1986","(1a) inadequately completed","East Germany","","","",""
"Full-time","1986","(1b) general elementary school","West Germany","882","0.241848048479624","0.225015613283504","0.258680483675744"
"Full-time","1986","(1b) general elementary school","East Germany","","","",""
"Full-time","1986","(1c) basic vocational qualification","West Germany","2020","0.497274489900144","0.481013809156937","0.513535170643351"
"Full-time","1986","(1c) basic vocational qualification","East Germany","","","",""
"Full-time","1986","(2b) intermediate general qualification","West Germany","96","0.201802150092763","0.165362575014604","0.238241725170922"
"Full-time","1986","(2b) intermediate general qualification","East Germany","","","",""
"Full-time","1986","(2a) intermediate vocational","West Germany","717","0.516097883076216","0.48904637103082","0.543149395121612"
"Full-time","1986","(2a) intermediate vocational","East Germany","","","",""
"Full-time","1986","(2c_gen) general maturity certificate","West Germany","87","0.150757949159869","0.115910063342328","0.185605834977409"
"Full-time","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Full-time","1986","(2c_voc) vocational maturity certificate","West Germany","240","0.526207298348142","0.478051822120246","0.574362774576037"
"Full-time","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Full-time","1986","(3a) lower tertiary education","West Germany","161","0.632305727507925","0.572173595146351","0.692437859869498"
"Full-time","1986","(3a) lower tertiary education","East Germany","","","",""
"Full-time","1986","(3b) higher tertiary education","West Germany","324","0.630396396706577","0.588255110945246","0.672537682467908"
"Full-time","1986","(3b) higher tertiary education","East Germany","","","",""
"Part-time","1986","(0) in school","West Germany","","","",""
"Part-time","1986","(0) in school","East Germany","","","",""
"Part-time","1986","(1a) inadequately completed","West Germany","","","",""
"Part-time","1986","(1a) inadequately completed","East Germany","","","",""
"Part-time","1986","(1b) general elementary school","West Germany","164","0.0662529170145591","0.0564757133901368","0.0760301206389814"
"Part-time","1986","(1b) general elementary school","East Germany","","","",""
"Part-time","1986","(1c) basic vocational qualification","West Germany","208","0.0557330084192319","0.0482723214487464","0.0631936953897174"
"Part-time","1986","(1c) basic vocational qualification","East Germany","","","",""
"Part-time","1986","(2b) intermediate general qualification","West Germany","","","",""
"Part-time","1986","(2b) intermediate general qualification","East Germany","","","",""
"Part-time","1986","(2a) intermediate vocational","West Germany","113","0.0745392999050327","0.0603219585643402","0.0887566412457252"
"Part-time","1986","(2a) intermediate vocational","East Germany","","","",""
"Part-time","1986","(2c_gen) general maturity certificate","West Germany","","","",""
"Part-time","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Part-time","1986","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Part-time","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Part-time","1986","(3a) lower tertiary education","West Germany","","","",""
"Part-time","1986","(3a) lower tertiary education","East Germany","","","",""
"Part-time","1986","(3b) higher tertiary education","West Germany","64","0.116603417480291","0.0885835343330667","0.144623300627516"
"Part-time","1986","(3b) higher tertiary education","East Germany","","","",""
"Non-working","1986","(0) in school","West Germany","183","0.961297396050899","0.933798442669417","0.988796349432381"
"Non-working","1986","(0) in school","East Germany","","","",""
"Non-working","1986","(1a) inadequately completed","West Germany","367","0.50460207584349","0.471049552818851","0.538154598868129"
"Non-working","1986","(1a) inadequately completed","East Germany","","","",""
"Non-working","1986","(1b) general elementary school","West Germany","1260","0.625188336190475","0.606159619024154","0.644217053356795"
"Non-working","1986","(1b) general elementary school","East Germany","","","",""
"Non-working","1986","(1c) basic vocational qualification","West Germany","1283","0.417639408549649","0.401600607646065","0.433678209453233"
"Non-working","1986","(1c) basic vocational qualification","East Germany","","","",""
"Non-working","1986","(2b) intermediate general qualification","West Germany","228","0.516413489008511","0.471041166469667","0.561785811547355"
"Non-working","1986","(2b) intermediate general qualification","East Germany","","","",""
"Non-working","1986","(2a) intermediate vocational","West Germany","431","0.377386355629322","0.351147242062525","0.40362546919612"
"Non-working","1986","(2a) intermediate vocational","East Germany","","","",""
"Non-working","1986","(2c_gen) general maturity certificate","West Germany","234","0.610264348818552","0.562767516480284","0.657761181156821"
"Non-working","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Non-working","1986","(2c_voc) vocational maturity certificate","West Germany","138","0.395597879048762","0.348439047910514","0.44275671018701"
"Non-working","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Non-working","1986","(3a) lower tertiary education","West Germany","67","0.294798412520826","0.237936845335429","0.351659979706224"
"Non-working","1986","(3a) lower tertiary education","East Germany","","","",""
"Non-working","1986","(3b) higher tertiary education","West Germany","97","0.221578149861046","0.185320153781437","0.257836145940655"
"Non-working","1986","(3b) higher tertiary education","East Germany","","","",""
"Other","1986","(0) in school","West Germany","","","",""
"Other","1986","(0) in school","East Germany","","","",""
"Other","1986","(1a) inadequately completed","West Germany","","","",""
"Other","1986","(1a) inadequately completed","East Germany","","","",""
"Other","1986","(1b) general elementary school","West Germany","180","0.0667106983153421","0.0569021798045219","0.0765192168261624"
"Other","1986","(1b) general elementary school","East Germany","","","",""
"Other","1986","(1c) basic vocational qualification","West Germany","121","0.0293530931309756","0.0238635936948379","0.0348425925671133"
"Other","1986","(1c) basic vocational qualification","East Germany","","","",""
"Other","1986","(2b) intermediate general qualification","West Germany","128","0.249833921039534","0.210527858041952","0.289139984037116"
"Other","1986","(2b) intermediate general qualification","East Germany","","","",""
"Other","1986","(2a) intermediate vocational","West Germany","50","0.0319764613894291","0.0224527789669675","0.0415001438118908"
"Other","1986","(2a) intermediate vocational","East Germany","","","",""
"Other","1986","(2c_gen) general maturity certificate","West Germany","70","0.2076463665607","0.168142257244778","0.247150475876622"
"Other","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1986","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Other","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1986","(3a) lower tertiary education","West Germany","","","",""
"Other","1986","(3a) lower tertiary education","East Germany","","","",""
"Other","1986","(3b) higher tertiary education","West Germany","","","",""
"Other","1986","(3b) higher tertiary education","East Germany","","","",""
"Full-time","1987","(0) in school","West Germany","","","",""
"Full-time","1987","(0) in school","East Germany","","","",""
"Full-time","1987","(1a) inadequately completed","West Germany","417","0.460892461561268","0.426837085676543","0.494947837445994"
"Full-time","1987","(1a) inadequately completed","East Germany","","","",""
"Full-time","1987","(1b) general elementary school","West Germany","849","0.242044411539036","0.225097903520548","0.258990919557525"
"Full-time","1987","(1b) general elementary school","East Germany","","","",""
"Full-time","1987","(1c) basic vocational qualification","West Germany","2002","0.496454641747652","0.480101565008803","0.512807718486501"
"Full-time","1987","(1c) basic vocational qualification","East Germany","","","",""
"Full-time","1987","(2b) intermediate general qualification","West Germany","76","0.191513329797907","0.154450371712463","0.228576287883351"
"Full-time","1987","(2b) intermediate general qualification","East Germany","","","",""
"Full-time","1987","(2a) intermediate vocational","West Germany","731","0.520500842339949","0.493672081056454","0.547329603623445"
"Full-time","1987","(2a) intermediate vocational","East Germany","","","",""
"Full-time","1987","(2c_gen) general maturity certificate","West Germany","77","0.127646144621175","0.0941830113553516","0.161109277886999"
"Full-time","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Full-time","1987","(2c_voc) vocational maturity certificate","West Germany","231","0.511925805450202","0.46330395216835","0.560547658732054"
"Full-time","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Full-time","1987","(3a) lower tertiary education","West Germany","158","0.594424455469398","0.533438106886857","0.655410804051939"
"Full-time","1987","(3a) lower tertiary education","East Germany","","","",""
"Full-time","1987","(3b) higher tertiary education","West Germany","355","0.68692972102047","0.646076851657881","0.727782590383058"
"Full-time","1987","(3b) higher tertiary education","East Germany","","","",""
"Part-time","1987","(0) in school","West Germany","","","",""
"Part-time","1987","(0) in school","East Germany","","","",""
"Part-time","1987","(1a) inadequately completed","West Germany","34","0.0320850908830667","0.0200453150741007","0.0441248666920327"
"Part-time","1987","(1a) inadequately completed","East Germany","","","",""
"Part-time","1987","(1b) general elementary school","West Germany","175","0.0778121698802913","0.0672136731958977","0.0884106665646849"
"Part-time","1987","(1b) general elementary school","East Germany","","","",""
"Part-time","1987","(1c) basic vocational qualification","West Germany","240","0.0640440758202399","0.0560363799812876","0.0720517716591921"
"Part-time","1987","(1c) basic vocational qualification","East Germany","","","",""
"Part-time","1987","(2b) intermediate general qualification","West Germany","","","",""
"Part-time","1987","(2b) intermediate general qualification","East Germany","","","",""
"Part-time","1987","(2a) intermediate vocational","West Germany","120","0.0802904537272365","0.0656971614110862","0.0948837460433868"
"Part-time","1987","(2a) intermediate vocational","East Germany","","","",""
"Part-time","1987","(2c_gen) general maturity certificate","West Germany","","","",""
"Part-time","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Part-time","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Part-time","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Part-time","1987","(3a) lower tertiary education","West Germany","","","",""
"Part-time","1987","(3a) lower tertiary education","East Germany","","","",""
"Part-time","1987","(3b) higher tertiary education","West Germany","37","0.0705081680516339","0.0479560157458691","0.0930603203573986"
"Part-time","1987","(3b) higher tertiary education","East Germany","","","",""
"Non-working","1987","(0) in school","West Germany","182","0.929521974090455","0.893318172788806","0.965725775392105"
"Non-working","1987","(0) in school","East Germany","","","",""
"Non-working","1987","(1a) inadequately completed","West Germany","352","0.478578190503005","0.444449531724456","0.512706849281554"
"Non-working","1987","(1a) inadequately completed","East Germany","","","",""
"Non-working","1987","(1b) general elementary school","West Germany","1238","0.615307794604109","0.596058549010118","0.634557040198099"
"Non-working","1987","(1b) general elementary school","East Germany","","","",""
"Non-working","1987","(1c) basic vocational qualification","West Germany","1264","0.420078245935092","0.403935025222231","0.436221466647953"
"Non-working","1987","(1c) basic vocational qualification","East Germany","","","",""
"Non-working","1987","(2b) intermediate general qualification","West Germany","195","0.463948697280757","0.416976345950097","0.510921048611418"
"Non-working","1987","(2b) intermediate general qualification","East Germany","","","",""
"Non-working","1987","(2a) intermediate vocational","West Germany","428","0.364696630297547","0.338847113259501","0.390546147335592"
"Non-working","1987","(2a) intermediate vocational","East Germany","","","",""
"Non-working","1987","(2c_gen) general maturity certificate","West Germany","209","0.593451094666751","0.544194398895967","0.642707790437535"
"Non-working","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Non-working","1987","(2c_voc) vocational maturity certificate","West Germany","133","0.373900475829001","0.326836916385829","0.420964035272173"
"Non-working","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Non-working","1987","(3a) lower tertiary education","West Germany","74","0.341918623028408","0.283000406000179","0.400836840056638"
"Non-working","1987","(3a) lower tertiary education","East Germany","","","",""
"Non-working","1987","(3b) higher tertiary education","West Germany","87","0.211094074057772","0.17514430361163","0.247043844503914"
"Non-working","1987","(3b) higher tertiary education","East Germany","","","",""
"Other","1987","(0) in school","West Germany","","","",""
"Other","1987","(0) in school","East Germany","","","",""
"Other","1987","(1a) inadequately completed","West Germany","","","",""
"Other","1987","(1a) inadequately completed","East Germany","","","",""
"Other","1987","(1b) general elementary school","West Germany","192","0.0648356239765634","0.0550933208897856","0.0745779270633411"
"Other","1987","(1b) general elementary school","East Germany","","","",""
"Other","1987","(1c) basic vocational qualification","West Germany","85","0.0194230364970166","0.014909262662464","0.0239368103315692"
"Other","1987","(1c) basic vocational qualification","East Germany","","","",""
"Other","1987","(2b) intermediate general qualification","West Germany","144","0.299763995020718","0.256610488021566","0.34291750201987"
"Other","1987","(2b) intermediate general qualification","East Germany","","","",""
"Other","1987","(2a) intermediate vocational","West Germany","53","0.0345120736352677","0.0247091655771398","0.0443149816933956"
"Other","1987","(2a) intermediate vocational","East Germany","","","",""
"Other","1987","(2c_gen) general maturity certificate","West Germany","82","0.240365637275488","0.197515235223244","0.283216039327733"
"Other","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Other","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1987","(3a) lower tertiary education","West Germany","","","",""
"Other","1987","(3a) lower tertiary education","East Germany","","","",""
"Other","1987","(3b) higher tertiary education","West Germany","","","",""
"Other","1987","(3b) higher tertiary education","East Germany","","","",""
"Full-time","1988","(0) in school","West Germany","","","",""
"Full-time","1988","(0) in school","East Germany","","","",""
"Full-time","1988","(1a) inadequately completed","West Germany","367","0.434567139712812","0.39923205335424","0.469902226071385"
"Full-time","1988","(1a) inadequately completed","East Germany","","","",""
"Full-time","1988","(1b) general elementary school","West Germany","797","0.228593026994642","0.211578752631661","0.245607301357623"
"Full-time","1988","(1b) general elementary school","East Germany","","","",""
"Full-time","1988","(1c) basic vocational qualification","West Germany","1874","0.489649041848105","0.472929480955093","0.506368602741118"
"Full-time","1988","(1c) basic vocational qualification","East Germany","","","",""
"Full-time","1988","(2b) intermediate general qualification","West Germany","86","0.228192059607333","0.188340238078068","0.268043881136598"
"Full-time","1988","(2b) intermediate general qualification","East Germany","","","",""
"Full-time","1988","(2a) intermediate vocational","West Germany","699","0.517784541753041","0.490389134017724","0.545179949488357"
"Full-time","1988","(2a) intermediate vocational","East Germany","","","",""
"Full-time","1988","(2c_gen) general maturity certificate","West Germany","68","0.135949709555704","0.100043238742177","0.171856180369231"
"Full-time","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"Full-time","1988","(2c_voc) vocational maturity certificate","West Germany","223","0.533424684265576","0.484038839013491","0.582810529517662"
"Full-time","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Full-time","1988","(3a) lower tertiary education","West Germany","156","0.642322095630874","0.580777118082207","0.703867073179541"
"Full-time","1988","(3a) lower tertiary education","East Germany","","","",""
"Full-time","1988","(3b) higher tertiary education","West Germany","331","0.689602248933004","0.647730578480617","0.731473919385391"
"Full-time","1988","(3b) higher tertiary education","East Germany","","","",""
"Part-time","1988","(0) in school","West Germany","","","",""
"Part-time","1988","(0) in school","East Germany","","","",""
"Part-time","1988","(1a) inadequately completed","West Germany","37","0.0377740976605381","0.0241839941542999","0.0513642011667763"
"Part-time","1988","(1a) inadequately completed","East Germany","","","",""
"Part-time","1988","(1b) general elementary school","West Germany","174","0.0783670785368004","0.0674781291132573","0.0892560279603435"
"Part-time","1988","(1b) general elementary school","East Germany","","","",""
"Part-time","1988","(1c) basic vocational qualification","West Germany","228","0.0632047522641889","0.0550662375729533","0.0713432669554244"
"Part-time","1988","(1c) basic vocational qualification","East Germany","","","",""
"Part-time","1988","(2b) intermediate general qualification","West Germany","","","",""
"Part-time","1988","(2b) intermediate general qualification","East Germany","","","",""
"Part-time","1988","(2a) intermediate vocational","West Germany","121","0.0873670402335193","0.0718858427620261","0.102848237705012"
"Part-time","1988","(2a) intermediate vocational","East Germany","","","",""
"Part-time","1988","(2c_gen) general maturity certificate","West Germany","","","",""
"Part-time","1988","(2c_gen) general maturity certificate","East Germany","","","",""
"Part-time","1988","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Part-time","1988","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Part-time","1988","(3a) lower tertiary education","West Germany","","","",""
"Part-time","1988","(3a) lower tertiary education","East Germany","","","",""
"Part-time","1988","(3b) higher tertiary education","West Germany","41","0.0810435596308742","0.056345184274337","0.105741934987411"
