"erwst","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Part-time","1996","West Germany","Male","86","0.0226920816821701","0.0183683229255168","0.0270158404388235","2"
"Part-time","1996","West Germany","Female","756","0.146492863565259","0.136562827202831","0.156422899927688","2"
"Part-time","1996","East Germany","Male","17","","","","2"
"Part-time","1996","East Germany","Female","196","0.0888850234462141","0.0762151553644063","0.101554891528022","2"
"Full-time","1997","East Germany","Male","994","0.52344243166818","0.500048825949646","0.546836037386715","1"
"Full-time","1997","East Germany","Female","699","0.297359274915241","0.276806110611063","0.317912439219418","1"
"Full-time","1997","West Germany","Male","2829","0.585962633345121","0.571549009423909","0.600376257266334","1"
"Full-time","1997","West Germany","Female","1223","0.225679477334509","0.213826391292262","0.237532563376756","1"
"Non-working","1997","West Germany","Male","1384","0.353596991460644","0.339606775403338","0.36758720751795","5"
"Non-working","1997","West Germany","Female","2527","0.579850899321863","0.565855512549938","0.593846286093788","5"
"Non-working","1997","East Germany","Male","643","0.421355120663366","0.39822727326108","0.444482968065653","5"
"Non-working","1997","East Germany","Female","931","0.583167822286816","0.560998690476944","0.605336954096689","5"
"Other","1997","West Germany","Female","309","0.0530127361246564","0.0466596140940307","0.0593658581552821","6"
"Other","1997","West Germany","Male","193","0.0366020398585961","0.0311069605804988","0.0420971191366934","6"
"Other","1997","East Germany","Male","101","0.0452244556502708","0.0354915539920265","0.0549573573085152","6"
"Other","1997","East Germany","Female","88","0.0319774397323163","0.0240663579427906","0.039888521521842","6"
"Part-time","1997","West Germany","Female","719","0.141456887218972","0.131575495380803","0.151338279057141","2"
"Part-time","1997","East Germany","Male","13","","","","2"
"Part-time","1997","West Germany","Male","80","0.0238383353356381","0.0193744061868025","0.0283022644844737","2"
"Part-time","1997","East Germany","Female","182","0.0874954630656267","0.0747902610815386","0.100200665049715","2"
"Full-time","1998","West Germany","Female","1373","0.226576777756401","0.215414652048553","0.237738903464249","1"
"Full-time","1998","East Germany","Female","712","0.286557489295015","0.266780890181087","0.306334088408942","1"
"Full-time","1998","West Germany","Male","3130","0.580603147420837","0.566978408525696","0.594227886315977","1"
"Full-time","1998","East Germany","Male","1028","0.510035306375924","0.487420208685445","0.532650404066403","1"
"Non-working","1998","West Germany","Male","1583","0.350500516757636","0.33732675976389","0.363674273751381","5"
"Non-working","1998","East Germany","Male","708","0.425417169434125","0.403050579076437","0.447783759791813","5"
"Non-working","1998","West Germany","Female","2868","0.578656507852074","0.56549034649225","0.591822669211898","5"
"Non-working","1998","East Germany","Female","1010","0.591177106902302","0.569674424304323","0.612679789500281","5"
"Other","1998","West Germany","Female","348","0.0483639232102186","0.0426435176820454","0.0540843287383918","6"
"Other","1998","West Germany","Male","231","0.0444800348380851","0.0387878583885716","0.0501722112875985","6"
"Other","1998","East Germany","Male","129","0.0541706892158879","0.043930581629494","0.0644107968022819","6"
"Other","1998","East Germany","Female","93","0.035767771133547","0.0276450228049027","0.0438905194621912","6"
"Part-time","1998","West Germany","Female","814","0.146402791181306","0.136976696912772","0.15582888544984","2"
"Part-time","1998","East Germany","Male","12","","","","2"
"Part-time","1998","West Germany","Male","95","0.0244163009834428","0.0201549420689455","0.0286776598979401","2"
"Part-time","1998","East Germany","Female","193","0.0864976326691364","0.0742027840416854","0.0987924812965874","2"
"Full-time","1999","East Germany","Female","693","0.284680065803992","0.264793323774","0.304566807833984","1"
"Full-time","1999","West Germany","Male","3015","0.585012101813672","0.571102179226431","0.598922024400913","1"
"Full-time","1999","West Germany","Female","1327","0.234422921539147","0.222847151261513","0.245998691816781","1"
"Full-time","1999","East Germany","Male","1026","0.526400051704756","0.503492406853566","0.549307696555947","1"
"Non-working","1999","West Germany","Male","1454","0.340215442925628","0.326840169880751","0.353590715970506","5"
"Non-working","1999","East Germany","Male","662","0.410885326014818","0.388312969935787","0.433457682093849","5"
"Non-working","1999","West Germany","Female","2597","0.551046217797527","0.537455254748471","0.564637180846582","5"
"Non-working","1999","East Germany","Female","966","0.576125598768679","0.554347892880444","0.597903304656914","5"
"Other","1999","West Germany","Female","425","0.0754715373675853","0.0682536991606885","0.0826893755744821","6"
"Other","1999","West Germany","Male","257","0.0503700878432822","0.0441957822760245","0.0565443934105398","6"
"Other","1999","East Germany","Male","116","0.0504037855711975","0.0403664666926925","0.0604411044497025","6"
"Other","1999","East Germany","Female","109","0.0430794843170705","0.0341318520258254","0.0520271166083157","6"
"Part-time","1999","West Germany","Female","796","0.139059323295741","0.129604746997101","0.148513899594381","2"
"Part-time","1999","East Germany","Male","21","","","","2"
"Part-time","1999","West Germany","Male","94","0.0244023674174171","0.0200464872687125","0.0287582475661217","2"
"Part-time","1999","East Germany","Female","210","0.0961148511102584","0.0831255189811659","0.109104183239351","2"
"Full-time","2000","West Germany","Male","5392","0.593075210186866","0.582837304321178","0.603313116052554","1"
"Full-time","2000","West Germany","Female","2198","0.226363052222251","0.217966963848492","0.234759140596009","1"
"Full-time","2000","East Germany","Female","1008","0.287521899814616","0.271503747182742","0.303540052446491","1"
"Full-time","2000","East Germany","Male","1489","0.501150491346911","0.482666892990031","0.519634089703791","1"
"Non-working","2000","West Germany","Male","2847","0.33519021744064","0.325352518209539","0.345027916671741","5"
"Non-working","2000","East Germany","Male","1104","0.420245661435339","0.401998669035721","0.438492653834958","5"
"Non-working","2000","West Germany","Female","4912","0.53804708352064","0.528044443797551","0.548049723243729","5"
"Non-working","2000","East Germany","Female","1558","0.567534518471767","0.55000124252397","0.585067794419564","5"
"Other","2000","West Germany","Female","727","0.0701753524074379","0.0650502982700397","0.0753004065448361","6"
"Other","2000","West Germany","Male","441","0.0486402651898013","0.0441572570990214","0.0531232732805812","6"
"Other","2000","East Germany","Male","175","0.0603856402533102","0.0515800326481767","0.0691912478584437","6"
"Other","2000","East Germany","Female","175","0.0501639707583174","0.0424387397389889","0.057889201777646","6"
"Part-time","2000","West Germany","Female","1706","0.165414511849671","0.157959851731438","0.172869171967905","2"
"Part-time","2000","East Germany","Male","43","0.0182182069644398","0.0132742125557701","0.0231622013731094","2"
"Part-time","2000","West Germany","Male","165","0.0230943071826927","0.0199640648410415","0.0262245495243438","2"
"Part-time","2000","East Germany","Female","326","0.0947796109552989","0.0844132619173622","0.105145959993236","2"
"Full-time","2001","West Germany","Male","4786","0.581116407888795","0.570269031044371","0.591963784733219","1"
"Full-time","2001","West Germany","Female","2021","0.228902607715007","0.220049516836143","0.237755698593871","1"
"Full-time","2001","East Germany","Female","911","0.27796312174552","0.261457641944527","0.294468601546514","1"
"Full-time","2001","East Germany","Male","1364","0.494646345281452","0.475556478882123","0.51373621168078","1"
"Non-working","2001","West Germany","Male","2588","0.34320400108846","0.332765505671726","0.353642496505194","5"
"Non-working","2001","East Germany","Male","1064","0.434349224365429","0.415423544050341","0.453274904680517","5"
"Non-working","2001","West Germany","Female","4352","0.529363053291098","0.518845014764923","0.539881091817273","5"
"Non-working","2001","East Germany","Female","1427","0.560708520523312","0.542423315216459","0.578993725830164","5"
"Other","2001","West Germany","Female","733","0.0771498331852879","0.0715270928438513","0.0827725735267245","6"
"Other","2001","West Germany","Male","410","0.0508775485344918","0.0460461741041148","0.0557089229648688","6"
"Other","2001","East Germany","Male","175","0.0597180023428799","0.0506702755585846","0.0687657291271753","6"
"Other","2001","East Germany","Female","165","0.0526447344402445","0.0444168387061659","0.0608726301743232","6"
"Part-time","2001","East Germany","Male","32","0.0112864280102397","0.0072530280747825","0.0153198279456968","2"
"Part-time","2001","West Germany","Female","1545","0.164584505808607","0.156770734940725","0.172398276676489","2"
"Part-time","2001","West Germany","Male","163","0.0248020424882529","0.0213827472647988","0.0282213377117069","2"
"Part-time","2001","East Germany","Female","327","0.108683623290923","0.0972165425461358","0.120150704035711","2"
"Full-time","2002","West Germany","Male","5144","0.566776513953479","0.556262727848131","0.577290300058827","1"
"Full-time","2002","West Germany","Female","2176","0.219070034175195","0.210602524598374","0.227537543752017","1"
"Full-time","2002","East Germany","Female","919","0.262669704041378","0.246406756663579","0.278932651419178","1"
"Full-time","2002","East Germany","Male","1332","0.461679578410559","0.442680785325104","0.480678371496015","1"
"Non-working","2002","West Germany","Male","2792","0.360214318290765","0.350028522563566","0.370400114017964","5"
"Non-working","2002","East Germany","Female","1415","0.579101453264988","0.560857066704688","0.597345839825287","5"
"Non-working","2002","East Germany","Male","1101","0.462361472176772","0.443360699445298","0.481362244908247","5"
"Non-working","2002","West Germany","Female","4429","0.532455741657532","0.52224137870411","0.542670104610954","5"
"Other","2002","West Germany","Female","781","0.0812385384474881","0.0756455927817206","0.0868314841132555","6"
"Other","2002","West Germany","Male","437","0.0513901052561602","0.0467054159100211","0.0560747946022994","6"
"Other","2002","East Germany","Male","172","0.0620226939857922","0.0528307634996065","0.071214624471978","6"
"Other","2002","East Germany","Female","165","0.0532299754805127","0.0449340735832725","0.0615258773777529","6"
"Part-time","2002","West Germany","Male","160","0.0216190624995959","0.0185332492606274","0.0247048757385643","2"
"Part-time","2002","East Germany","Male","40","0.0139362554268764","0.0094687941465964","0.0184037167071565","2"
"Part-time","2002","West Germany","Female","1780","0.167235685719784","0.159595855709564","0.174875515730004","2"
"Part-time","2002","East Germany","Female","314","0.104998867213121","0.0936704998463781","0.116327234579864","2"
"Full-time","2003","West Germany","Male","4733","0.550215522705791","0.53940521730629","0.561025828105292","1"
"Full-time","2003","West Germany","Female","2040","0.217741758807795","0.209113968320445","0.226369549295144","1"
"Full-time","2003","East Germany","Female","839","0.244916358885428","0.228919128921051","0.260913588849805","1"
"Full-time","2003","East Germany","Male","1259","0.447894551714788","0.428765446618612","0.467023656810965","1"
"Non-working","2003","West Germany","Male","2805","0.374411928047947","0.363895012653591","0.384928843442302","5"
"Non-working","2003","East Germany","Female","1436","0.592581528941909","0.574303356404772","0.610859701479045","5"
"Non-working","2003","West Germany","Female","4274","0.534787363293698","0.524360108799888","0.545214617787508","5"
"Non-working","2003","East Germany","Male","1121","0.476536175227872","0.457323536280078","0.495748814175665","5"
"Other","2003","West Germany","Female","755","0.0817650689091282","0.0760369178548019","0.0874932199634545","6"
"Other","2003","West Germany","Male","429","0.0507008489334808","0.0459334831596929","0.0554682147072688","6"
"Other","2003","East Germany","Male","166","0.0565947869686782","0.0477061923960498","0.0654833815413066","6"
"Other","2003","East Germany","Female","158","0.0508031678110077","0.042634299462923","0.0589720361590925","6"
"Part-time","2003","West Germany","Male","168","0.0246717003127816","0.0213008127574853","0.028042587868078","2"
"Part-time","2003","East Germany","Male","50","0.0189744860886619","0.0137261588100929","0.0242228133672309","2"
"Part-time","2003","West Germany","Female","1721","0.16570580898938","0.157932926000278","0.173478691978481","2"
"Part-time","2003","East Germany","Female","343","0.111698944361655","0.099981227937719","0.123416660785592","2"
"Full-time","2004","West Germany","Male","4559","0.542912480056228","0.531939303602489","0.553885656509966","1"
"Full-time","2004","West Germany","Female","1944","0.217464204519025","0.208725806160564","0.226202602877487","1"
"Full-time","2004","East Germany","Female","824","0.232390665815547","0.216584932465891","0.248196399165202","1"
"Full-time","2004","East Germany","Male","1208","0.429995033227632","0.410634856694538","0.449355209760727","1"
"Non-working","2004","West Germany","Male","2783","0.386175862967575","0.375451233105179","0.396900492829972","5"
