"erwst","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1987","35-65 y.","Couple + C. LE 16 ","762","0.605413809725109","0.577874534376548","0.63295308507367","1"
"Full-time","1987","35-65 y.","Couple + C. GT 16 ","648","0.514004804929681","0.486016304924906","0.541993304934456","1"
"Full-time","1987","35-65 y.","Couple + C. LE and GT 16","404","0.531623894470801","0.495326170594268","0.567921618347333","1"
"Full-time","1987","66 and older","1-pers.-HH","3","","","","1"
"Full-time","1987","66 and older","(Married) couple without C. ","9","","","","1"
"Full-time","1987","66 and older","Single parent ","","","","","1"
"Full-time","1987","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1987","66 and older","Couple + C. GT 16 ","","","","","1"
"Full-time","1987","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1987","35-65 y.","Couple + C. LE and GT 16","236","0.320529122072124","0.286582313491015","0.354475930653232","5"
"Non-working","1987","35-65 y.","Single parent ","74","0.317753361644005","0.257840525627875","0.377666197660135","5"
"Non-working","1987","16-34 y.","1-pers.-HH","59","0.182939636911751","0.139762512949895","0.226116760873607","5"
"Non-working","1987","16-34 y.","(Married) couple without C. ","76","0.102564780001813","0.0783092071380443","0.126820352865581","5"
"Non-working","1987","16-34 y.","Single parent ","117","0.421816327061559","0.362468902451813","0.481163751671306","5"
"Non-working","1987","16-34 y.","Couple + C. LE 16 ","433","0.367935024963572","0.340147629620147","0.395722420306997","5"
"Non-working","1987","16-34 y.","Couple + C. LE and GT 16","229","0.385349110849302","0.344032382549866","0.426665839148738","5"
"Non-working","1987","35-65 y.","1-pers.-HH","142","0.38628825108758","0.340321117347456","0.432255384827704","5"
"Non-working","1987","35-65 y.","(Married) couple without C. ","521","0.454619018177567","0.426982160703251","0.482255875651884","5"
"Non-working","1987","35-65 y.","Couple + C. LE 16 ","311","0.263372959118497","0.238555070783634","0.288190847453359","5"
"Non-working","1987","35-65 y.","Couple + C. GT 16 ","405","0.335530638830045","0.30908928920732","0.361971988452771","5"
"Non-working","1987","66 and older","1-pers.-HH","372","0.980327366298813","0.966382883235453","0.994271849362174","5"
"Non-working","1987","66 and older","Single parent ","25","","","","5"
"Non-working","1987","66 and older","Couple + C. LE 16 ","","","","","5"
"Non-working","1987","66 and older","Couple + C. GT 16 ","42","0.962559984133168","0.906467630112131","1.0186523381542","5"
"Non-working","1987","66 and older","(Married) couple without C. ","488","0.967266111668033","0.951807838259264","0.982724385076802","5"
"Non-working","1987","16-34 y.","Couple + C. GT 16 ","333","0.363412888526258","0.331795478300574","0.395030298751942","5"
"Non-working","1987","66 and older","Couple + C. LE and GT 16","1","","","","5"
"Other","1987","16-34 y.","Couple + C. LE and GT 16","139","0.299784719967424","0.260888712499793","0.338680727435056","6"
"Other","1987","35-65 y.","Single parent ","3","","","","6"
"Other","1987","35-65 y.","(Married) couple without C. ","18","","","","6"
"Other","1987","35-65 y.","Couple + C. LE 16 ","29","","","","6"
"Other","1987","16-34 y.","1-pers.-HH","31","0.0938399658669507","0.0612736144259884","0.126406317307913","6"
"Other","1987","16-34 y.","(Married) couple without C. ","18","","","","6"
"Other","1987","16-34 y.","Single parent ","48","0.197906092654292","0.150026608399394","0.245785576909189","6"
"Other","1987","16-34 y.","Couple + C. LE 16 ","40","0.0339103661121894","0.02348103725205","0.0443396949723287","6"
"Other","1987","16-34 y.","Couple + C. GT 16 ","215","0.236428688164831","0.208498613392267","0.264358762937395","6"
"Other","1987","35-65 y.","1-pers.-HH","6","","","","6"
"Other","1987","35-65 y.","Couple + C. GT 16 ","27","","","","6"
"Other","1987","35-65 y.","Couple + C. LE and GT 16","23","","","","6"
"Other","1987","66 and older","1-pers.-HH","2","","","","6"
"Other","1987","66 and older","(Married) couple without C. ","6","","","","6"
"Other","1987","66 and older","Single parent ","","","","","6"
"Other","1987","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1987","66 and older","Couple + C. GT 16 ","2","","","","6"
"Other","1987","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1987","16-34 y.","Couple + C. GT 16 ","13","","","","2"
"Part-time","1987","16-34 y.","Couple + C. LE 16 ","110","0.11288706362775","0.0946526015507715","0.131121525704729","2"
"Part-time","1987","16-34 y.","1-pers.-HH","13","","","","2"
"Part-time","1987","16-34 y.","(Married) couple without C. ","27","","","","2"
"Part-time","1987","16-34 y.","Single parent ","12","","","","2"
"Part-time","1987","35-65 y.","1-pers.-HH","13","","","","2"
"Part-time","1987","35-65 y.","(Married) couple without C. ","98","0.086580258683535","0.070971818635656","0.102188698731414","2"
"Part-time","1987","35-65 y.","Single parent ","33","0.155027042569617","0.108454576536216","0.201599508603018","2"
"Part-time","1987","35-65 y.","Couple + C. LE and GT 16","63","0.104670330537599","0.0824022354731377","0.12693842560206","2"
"Part-time","1987","66 and older","Single parent ","","","","","2"
"Part-time","1987","66 and older","Couple + C. LE 16 ","1","","","","2"
"Part-time","1987","66 and older","Couple + C. GT 16 ","","","","","2"
"Part-time","1987","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1987","16-34 y.","Couple + C. LE and GT 16","10","","","","2"
"Part-time","1987","35-65 y.","Couple + C. LE 16 ","108","0.103277206094202","0.0861302612516512","0.120424150936752","2"
"Part-time","1987","35-65 y.","Couple + C. GT 16 ","145","0.124497799980543","0.106009818133354","0.142985781827733","2"
"Part-time","1987","66 and older","1-pers.-HH","4","","","","2"
"Part-time","1987","66 and older","(Married) couple without C. ","6","","","","2"
"Full-time","1988","16-34 y.","1-pers.-HH","195","0.712961723942521","0.659879513015938","0.766043934869103","1"
"Full-time","1988","16-34 y.","(Married) couple without C. ","450","0.818881209467347","0.787457866032708","0.850304552901986","1"
"Full-time","1988","16-34 y.","Single parent ","97","0.406166630696177","0.345530393949781","0.466802867442573","1"
"Full-time","1988","16-34 y.","Couple + C. LE 16 ","522","0.442550346128118","0.413291415581733","0.471809276674503","1"
"Full-time","1988","16-34 y.","Couple + C. GT 16 ","343","0.382075068016925","0.350896980059299","0.41325315597455","1"
"Full-time","1988","16-34 y.","Couple + C. LE and GT 16","131","0.265458848622917","0.224750307151818","0.306167390094016","1"
"Full-time","1988","35-65 y.","1-pers.-HH","251","0.542478347403658","0.494430924843261","0.590525769964055","1"
"Full-time","1988","35-65 y.","(Married) couple without C. ","612","0.46208764702986","0.434111615166603","0.490063678893116","1"
"Full-time","1988","35-65 y.","Single parent ","124","0.519915738698535","0.456174968618155","0.583656508778915","1"
"Full-time","1988","35-65 y.","Couple + C. LE 16 ","697","0.611953454620177","0.58345250575081","0.640454403489544","1"
"Full-time","1988","35-65 y.","Couple + C. GT 16 ","632","0.50862942900735","0.48056530106174","0.53669355695296","1"
"Full-time","1988","35-65 y.","Couple + C. LE and GT 16","347","0.533386327580176","0.49467505741888","0.572097597741472","1"
"Full-time","1988","66 and older","1-pers.-HH","2","","","","1"
"Full-time","1988","66 and older","(Married) couple without C. ","10","","","","1"
"Full-time","1988","66 and older","Single parent ","","","","","1"
"Full-time","1988","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1988","66 and older","Couple + C. GT 16 ","","","","","1"
"Full-time","1988","66 and older","Couple + C. LE and GT 16","","","","","1"
