"erwst","year","education","n","percent","lower_confidence","upper_confidence"
"Non-working","1985","college entrance qualification","434","0.363857935004762","0.337003900963958","0.390711969045567"
"Non-working","1985","lower secondary degree","2492","0.505625677836765","0.49240161566274","0.518849740010789"
"Non-working","1985","no degree/no degree yet","571","0.7119560144572","0.685218977209037","0.738693051705364"
"Non-working","1985","Other degree","305","0.280223047892014","0.255114416340733","0.305331679443295"
"Non-working","1985","secondary school degree","688","0.400539499423836","0.378407232854574","0.422671765993098"
"Other","1985","college entrance qualification","87","0.0684726192224128","0.0543757446512513","0.0825694937935744"
"Other","1985","lower secondary degree","233","0.0351380854098493","0.0302679167874205","0.0400082540322781"
"Other","1985","no degree/no degree yet","","","",""
"Other","1985","Other degree","","","",""
"Other","1985","secondary school degree","149","0.069599165382306","0.0581054618044843","0.0810928689601278"
"Part-time","1985","college entrance qualification","91","0.0699037550596896","0.0556712695266388","0.0841362405927403"
"Part-time","1985","lower secondary degree","414","0.0704622441149599","0.0636930943656227","0.0772313938642972"
"Part-time","1985","no degree/no degree yet","","","",""
"Part-time","1985","Other degree","53","0.038378487126718","0.0276381438978552","0.0491188303555808"
"Part-time","1985","secondary school degree","162","0.0766429060259508","0.0646273531839135","0.088658458867988"
"Full-time","1986","college entrance qualification","611","0.481523321229023","0.453912390486721","0.509134251971325"
"Full-time","1986","lower secondary degree","2256","0.392844600543762","0.379555106945736","0.406134094141788"
"Full-time","1986","no degree/no degree yet","443","0.278835089154446","0.251542186939609","0.306127991369282"
"Full-time","1986","Other degree","807","0.65928068340959","0.632134848901751","0.686426517917428"
"Full-time","1986","secondary school degree","852","0.443517409284318","0.420830026161018","0.466204792407617"
"Non-working","1986","college entrance qualification","451","0.375840437136691","0.349076047905318","0.402604826368064"
"Non-working","1986","lower secondary degree","2314","0.503708595246383","0.490103356569139","0.517313833923626"
"Non-working","1986","no degree/no degree yet","546","0.678965317931371","0.650549609718899","0.707381026143843"
"Non-working","1986","Other degree","294","0.265505784249926","0.240212756123367","0.290798812376485"
"Non-working","1986","secondary school degree","676","0.407146169289975","0.384709816007217","0.429582522572734"
"Other","1986","college entrance qualification","100","0.0740572703039437","0.0595867654383543","0.0885277751695332"
"Other","1986","lower secondary degree","281","0.0426431731102436","0.0371451092067621","0.0481412370137251"
"Other","1986","no degree/no degree yet","","","",""
"Other","1986","Other degree","","","",""
"Other","1986","secondary school degree","182","0.0849025350700914","0.0721734472391016","0.0976316229010813"
"Part-time","1986","college entrance qualification","96","0.0685789713303422","0.0546128351282668","0.0825451075324176"
"Part-time","1986","lower secondary degree","337","0.0608036310996118","0.0543009707925236","0.0673062914067"
"Part-time","1986","no degree/no degree yet","","","",""
"Part-time","1986","Other degree","44","0.0259363074661082","0.0168326188572505","0.0350399960749659"
"Part-time","1986","secondary school degree","132","0.0644338863556156","0.0532215095821817","0.0756462631290495"
"Full-time","1987","college entrance qualification","617","0.487609056547755","0.459697803043112","0.515520310052399"
"Full-time","1987","lower secondary degree","2220","0.393791691033576","0.380408572421445","0.407174809645706"
"Full-time","1987","no degree/no degree yet","413","0.288970894574818","0.260974371683079","0.316967417466557"
"Full-time","1987","Other degree","791","0.650960116074775","0.623458393005171","0.67846183914438"
"Full-time","1987","secondary school degree","849","0.455608278209492","0.432802919073788","0.478413637345197"
"Non-working","1987","college entrance qualification","419","0.365124327961306","0.338239487404293","0.392009168518319"
"Non-working","1987","lower secondary degree","2259","0.499812561996829","0.48611689826266","0.513508225730999"
"Non-working","1987","no degree/no degree yet","531","0.647361436893599","0.617851269711779","0.67687160407542"
"Non-working","1987","Other degree","306","0.292336343906282","0.266094156168762","0.318578531643801"
"Non-working","1987","secondary school degree","642","0.383375376288284","0.361111135220617","0.405639617355952"
"Other","1987","college entrance qualification","117","0.0867136699257355","0.070999552316433","0.102427787535038"
"Other","1987","lower secondary degree","262","0.0357537341945745","0.0306678344265318","0.0408396339626171"
"Other","1987","no degree/no degree yet","","","",""
"Other","1987","Other degree","","","",""
"Other","1987","secondary school degree","198","0.0889985391555459","0.0759597779365925","0.102037300374499"
"Part-time","1987","college entrance qualification","79","0.0605529455652032","0.0472347150148592","0.0738711761155472"
"Part-time","1987","lower secondary degree","379","0.0706420127750208","0.0636236443762576","0.077660381173784"
"Part-time","1987","no degree/no degree yet","37","0.0317643065489986","0.0209326822122436","0.0425959308857536"
"Part-time","1987","Other degree","40","0.0246430306343329","0.0156981604757399","0.0335879007929259"
"Part-time","1987","secondary school degree","143","0.0720178063466775","0.0601798939389966","0.0838557187543585"
"Full-time","1988","college entrance qualification","612","0.509773393271829","0.481262543367486","0.538284243176173"
"Full-time","1988","lower secondary degree","2093","0.388075757188021","0.374422911084355","0.401728603291687"
"Full-time","1988","no degree/no degree yet","362","0.262287577490729","0.233739091507268","0.29083606347419"
"Full-time","1988","Other degree","700","0.610848473188314","0.581703076240452","0.639993870136175"
"Full-time","1988","secondary school degree","827","0.464280381897534","0.441026858976646","0.487533904818422"
"Non-working","1988","college entrance qualification","389","0.34825777507337","0.321086408464761","0.375429141681979"
"Non-working","1988","lower secondary degree","2168","0.503511426186564","0.489503449741831","0.517519402631297"
"Non-working","1988","no degree/no degree yet","496","0.695024011314947","0.66514381819118","0.724904204438714"
"Non-working","1988","Other degree","305","0.317074549894149","0.289257491641222","0.344891608147075"
"Non-working","1988","secondary school degree","608","0.379203251006961","0.356580752968338","0.401825749045583"
"Other","1988","college entrance qualification","103","0.0790531234398732","0.0636644937561906","0.0944417531235559"
"Other","1988","lower secondary degree","269","0.0386800426692679","0.0332775577902338","0.044082527548302"
"Other","1988","no degree/no degree yet","","","",""
"Other","1988","Other degree","","","",""
"Other","1988","secondary school degree","189","0.0795891048649101","0.0669694492944591","0.092208760435361"
"Part-time","1988","college entrance qualification","77","0.0629157082149275","0.0490675500226725","0.0767638664071826"
"Part-time","1988","lower secondary degree","364","0.0697327739561472","0.0625970434504683","0.0768685044618262"
"Part-time","1988","no degree/no degree yet","40","0.0296846035473091","0.0186699013501255","0.0406993057444927"
"Part-time","1988","Other degree","47","0.035582673323027","0.0245088995309415","0.0466564471151126"
"Part-time","1988","secondary school degree","143","0.0769272622305952","0.0645025048533994","0.089352019607791"
"Full-time","1989","college entrance qualification","637","0.522432130427351","0.494217956642136","0.550646304212566"
"Full-time","1989","lower secondary degree","2044","0.389069113416738","0.375096622859052","0.403041603974423"
"Full-time","1989","no degree/no degree yet","342","0.240218662847858","0.212135572709654","0.268301752986061"
"Full-time","1989","Other degree","683","0.635668001602703","0.60633532765437","0.665000675551036"
"Full-time","1989","secondary school degree","844","0.489207603976346","0.465535425817979","0.512879782134713"
"Non-working","1989","college entrance qualification","393","0.33817564338684","0.311453125090297","0.364898161683383"
"Non-working","1989","lower secondary degree","2028","0.500436208759643","0.486106602900847","0.514765814618439"
"Non-working","1989","no degree/no degree yet","489","0.692981533330667","0.662660758829492","0.723302307831841"
"Non-working","1989","Other degree","284","0.287838501672255","0.260242160235914","0.315434843108597"
"Non-working","1989","secondary school degree","565","0.362842262959375","0.340072850537196","0.385611675381554"
"Other","1989","college entrance qualification","90","0.0736169236753259","0.0588660077956702","0.0883678395549817"
"Other","1989","lower secondary degree","254","0.0390354348113103","0.0334847367539188","0.0445861328687017"
"Other","1989","no degree/no degree yet","","","",""
"Other","1989","Other degree","","","",""
"Other","1989","secondary school degree","163","0.0700905978282733","0.0580007840588052","0.0821804115977414"
"Part-time","1989","college entrance qualification","84","0.0657753025104836","0.0517732421088631","0.0797773629121042"
"Part-time","1989","lower secondary degree","351","0.0714592430123091","0.0640769020909232","0.0788415839336951"
"Part-time","1989","no degree/no degree yet","38","0.0296949577135161","0.0185367944852817","0.0408531209417505"
"Part-time","1989","Other degree","52","0.0507900476998898","0.0374068999213497","0.0641731954784298"
"Part-time","1989","secondary school degree","141","0.0778595352360059","0.0651706387948584","0.0905484316771534"
"Full-time","1990","college entrance qualification","1039","0.553165383815385","0.529845473600871","0.576485294029898"
"Full-time","1990","lower secondary degree","2948","0.405582520649609","0.393463807420612","0.417701233878606"
"Full-time","1990","no degree/no degree yet","329","0.260179321903833","0.231355424100477","0.289003219707189"
"Full-time","1990","Other degree","690","0.608436969903177","0.579231992956513","0.637641946849842"
"Full-time","1990","secondary school degree","2302","0.562151644329712","0.546232340532815","0.57807094812661"
"Non-working","1990","college entrance qualification","487","0.311126051821808","0.289410841467313","0.332841262176304"
"Non-working","1990","lower secondary degree","2573","0.481904310056139","0.469571657319469","0.494236962792808"
"Non-working","1990","no degree/no degree yet","503","0.675874776593618","0.645124953486738","0.706624599700499"
"Non-working","1990","Other degree","313","0.316681848906438","0.288848126311924","0.344515571500952"
"Non-working","1990","secondary school degree","806","0.28668215135869","0.272171819687114","0.301192483030266"
"Other","1990","college entrance qualification","93","0.0589760151763199","0.0479259705890189","0.0700260597636209"
"Other","1990","lower secondary degree","244","0.032829311307984","0.0284313281993524","0.0372272944166155"
"Other","1990","no degree/no degree yet","","","",""
"Other","1990","Other degree","","","",""
"Other","1990","secondary school degree","274","0.0651348579421676","0.0572168362901554","0.0730528795941798"
"Part-time","1990","college entrance qualification","127","0.0767325491864873","0.0642478079021958","0.0892172904707788"
"Part-time","1990","lower secondary degree","541","0.0796838579862684","0.0730000370871575","0.0863676788853793"
"Part-time","1990","no degree/no degree yet","41","0.0300472421633782","0.018831431032174","0.0412630532945824"
"Part-time","1990","Other degree","60","0.0563561109639493","0.0425578992682087","0.0701543226596899"
"Part-time","1990","secondary school degree","349","0.0860313463694304","0.0770336884705502","0.0950290042683106"
"Full-time","1991","college entrance qualification","1011","0.549218745787267","0.525899806801845","0.572537684772689"
"Full-time","1991","lower secondary degree","2686","0.387772262333368","0.375513845260523","0.400030679406214"
"Full-time","1991","no degree/no degree yet","325","0.271755862480499","0.24214394695922","0.301367778001778"
"Full-time","1991","Other degree","683","0.627134996012072","0.597830208357815","0.656439783666329"
"Full-time","1991","secondary school degree","2170","0.541185288061913","0.525072519333429","0.557298056790396"
"Non-working","1991","college entrance qualification","493","0.300969558915639","0.279473318210044","0.322465799621233"
"Non-working","1991","lower secondary degree","2636","0.498863856813633","0.486284500887842","0.511443212739425"
"Non-working","1991","no degree/no degree yet","473","0.650287317812001","0.618544397746104","0.682030237877897"
"Non-working","1991","Other degree","294","0.31593426885542","0.287761499883772","0.344107037827069"
"Non-working","1991","secondary school degree","955","0.316333530020324","0.301296112119405","0.331370947921242"
"Other","1991","college entrance qualification","123","0.070597552641823","0.0585928912381004","0.0826022140455455"
"Other","1991","lower secondary degree","282","0.039933001297546","0.0350068667543014","0.0448591358407906"
"Other","1991","no degree/no degree yet","","","",""
"Other","1991","Other degree","","","",""
"Other","1991","secondary school degree","258","0.0618465709980484","0.0540577223808171","0.0696354196152798"
"Part-time","1991","college entrance qualification","122","0.079214142655271","0.0665570526194366","0.0918712326911054"
"Part-time","1991","lower secondary degree","465","0.0734308795554525","0.0668684024903152","0.0799933566205898"
"Part-time","1991","no degree/no degree yet","45","0.0395184795988786","0.0265501761898813","0.052486783007876"
"Part-time","1991","Other degree","49","0.0351883175944201","0.024022185093406","0.0463544500954341"
"Part-time","1991","secondary school degree","291","0.0806346109197151","0.0718305439503415","0.0894386778890888"
"Full-time","1992","college entrance qualification","981","0.545201278678926","0.521851127921195","0.568551429436657"
"Full-time","1992","lower secondary degree","2469","0.371818336597314","0.359459171054878","0.38417750213975"
"Full-time","1992","no degree/no degree yet","294","0.262120348227156","0.232761596029724","0.291479100424588"
"Full-time","1992","Other degree","632","0.602103173618767","0.572006262008022","0.632200085229512"
"Full-time","1992","secondary school degree","2027","0.513708373372844","0.497419893527972","0.529996853217716"
"Non-working","1992","college entrance qualification","526","0.309825032905804","0.288141028223669","0.33150903758794"
"Non-working","1992","lower secondary degree","2746","0.524982867419168","0.512212355048538","0.537753379789798"
"Non-working","1992","no degree/no degree yet","510","0.670256262053411","0.638872631939204","0.701639892167618"
"Non-working","1992","Other degree","314","0.342218864409586","0.313045002893625","0.371392725925546"
"Non-working","1992","secondary school degree","1054","0.347943362970489","0.332420537488037","0.363466188452942"
"Other","1992","college entrance qualification","110","0.0624775068509172","0.0511285921455051","0.0738264215563293"
"Other","1992","lower secondary degree","231","0.0305778931070232","0.0261749673880333","0.034980818826013"
"Other","1992","no degree/no degree yet","","","",""
"Other","1992","Other degree","","","",""
"Other","1992","secondary school degree","257","0.0610406444402913","0.053238629305931","0.0688426595746517"
"Part-time","1992","college entrance qualification","130","0.0824961815643521","0.0695952074955835","0.0953971556331207"
"Part-time","1992","lower secondary degree","428","0.0726209028764952","0.0659843800368433","0.079257425716147"
"Part-time","1992","no degree/no degree yet","38","0.0310182561556578","0.0194448566592912","0.0425916556520244"
"Part-time","1992","Other degree","54","0.0428800331249548","0.0304230756665961","0.0553369905833135"
"Part-time","1992","secondary school degree","279","0.0773076192163753","0.068603728023975","0.0860115104087757"
"Full-time","1993","college entrance qualification","967","0.540150266351925","0.516971416766404","0.563329115937445"
"Full-time","1993","lower secondary degree","2297","0.357114614866731","0.34468336650536","0.369545863228103"
"Full-time","1993","no degree/no degree yet","273","0.259453122081693","0.229810666607484","0.289095577555902"
"Full-time","1993","Other degree","596","0.590713890558048","0.559960398176877","0.621467382939219"
"Full-time","1993","secondary school degree","2020","0.517850974247908","0.50149424154545","0.534207706950367"
"Non-working","1993","college entrance qualification","551","0.310104883775232","0.288593296911652","0.331616470638811"
"Non-working","1993","lower secondary degree","2759","0.535802195436761","0.522863278043009","0.548741112830513"
"Non-working","1993","no degree/no degree yet","506","0.677332558642941","0.64571800920693","0.708947108078952"
"Non-working","1993","Other degree","323","0.346531894515104","0.316768932419802","0.376294856610406"
"Non-working","1993","secondary school degree","1024","0.343194894964797","0.327653421888281","0.358736368041314"
"Other","1993","college entrance qualification","126","0.0656266744484457","0.0541100017381108","0.0771433471587806"
"Other","1993","lower secondary degree","257","0.038457642100895","0.0334685710174377","0.0434467131843523"
"Other","1993","no degree/no degree yet","","","",""
"Other","1993","Other degree","","","",""
"Other","1993","secondary school degree","261","0.0599940702117144","0.0522204562245822","0.0677676841988466"
"Part-time","1993","college entrance qualification","132","0.0841181754243978","0.0712092154977254","0.0970271353510703"
"Part-time","1993","lower secondary degree","394","0.0686255475956127","0.0620663724654112","0.0751847227258142"
"Part-time","1993","no degree/no degree yet","43","0.0328145451728066","0.0207670566599998","0.0448620336856134"
"Part-time","1993","Other degree","53","0.0501128732393913","0.0364669476091583","0.0637587988696242"
"Part-time","1993","secondary school degree","280","0.0789600605755799","0.0701323826648246","0.0877877384863351"
"Full-time","1994","college entrance qualification","1007","0.540535438654747","0.517665038142998","0.563405839166495"
"Full-time","1994","lower secondary degree","2130","0.339850133738807","0.327361709511616","0.352338557965998"
"Full-time","1994","no degree/no degree yet","238","0.224733594037823","0.196405030902659","0.253062157172988"
"Full-time","1994","Other degree","509","0.561518543776863","0.529190347912422","0.593846739641303"
"Full-time","1994","secondary school degree","1965","0.507394723019607","0.490881281928641","0.523908164110574"
"Non-working","1994","college entrance qualification","546","0.308294555330672","0.287102201394283","0.329486909267061"
"Non-working","1994","lower secondary degree","2810","0.564021701549117","0.550947264632203","0.577096138466032"
"Non-working","1994","no degree/no degree yet","536","0.716431086416971","0.685840937843575","0.747021234990368"
"Non-working","1994","Other degree","329","0.370439196340613","0.338976125462431","0.401902267218795"
"Non-working","1994","secondary school degree","1031","0.349233454967007","0.33348689802831","0.364980011905705"
"Other","1994","college entrance qualification","146","0.0742027913959458","0.0621745058621311","0.0862310769297605"
"Other","1994","lower secondary degree","222","0.0310726265062374","0.0264977724308081","0.0356474805816666"
"Other","1994","no degree/no degree yet","","","",""
"Other","1994","Other degree","","","",""
"Other","1994","secondary school degree","238","0.0586332406383027","0.0508731560195769","0.0663933252570286"
"Part-time","1994","college entrance qualification","125","0.0769672146186359","0.0647352244707318","0.08919920476654"
"Part-time","1994","lower secondary degree","364","0.0650555382058381","0.0585530781281468","0.0715579982835295"
"Part-time","1994","no degree/no degree yet","40","0.0338089498333222","0.0215426829009403","0.0460752167657041"
"Part-time","1994","Other degree","51","0.0455683264454724","0.0319811954506325","0.0591554574403124"
"Part-time","1994","secondary school degree","287","0.0847385813750831","0.0755398433424806","0.0939373194076856"
"Full-time","1995","college entrance qualification","1052","0.529990773314082","0.507654478360944","0.552327068267219"
"Full-time","1995","lower secondary degree","2073","0.33082258293412","0.318307999777951","0.343337166090289"
"Full-time","1995","no degree/no degree yet","218","0.190709577325559","0.164544164136303","0.216874990514815"
"Full-time","1995","Other degree","626","0.490173916489506","0.461663125494104","0.518684707484908"
"Full-time","1995","secondary school degree","2018","0.512560086615476","0.496216309970269","0.528903863260683"
"Non-working","1995","college entrance qualification","567","0.310307056547802","0.289603378441787","0.331010734653817"
"Non-working","1995","lower secondary degree","2743","0.569908118123993","0.556739772386472","0.583076463861514"
"Non-working","1995","no degree/no degree yet","596","0.748539950645815","0.719644389330093","0.777435511961536"
"Non-working","1995","Other degree","449","0.40324986070041","0.375272514320626","0.431227207080194"
"Non-working","1995","secondary school degree","989","0.338233478068616","0.322763839228944","0.353703116908287"
"Other","1995","college entrance qualification","146","0.0715919452572145","0.0600540837695041","0.0831298067449248"
"Other","1995","lower secondary degree","234","0.0346227019347833","0.0297600050860349","0.0394853987835318"
"Other","1995","no degree/no degree yet","","","",""
"Other","1995","Other degree","41","0.0462181006761887","0.0342437016143716","0.0581924997380057"
"Other","1995","secondary school degree","263","0.0612866779930745","0.0534439163935209","0.0691294395926281"
"Part-time","1995","college entrance qualification","153","0.0881102248809017","0.0754247094634248","0.100795740298379"
"Part-time","1995","lower secondary degree","380","0.0646465970071039","0.0581061282440868","0.071187065770121"
"Part-time","1995","no degree/no degree yet","35","0.027470685464122","0.0165845121652596","0.0383568587629845"
"Part-time","1995","Other degree","65","0.0603581221338953","0.0467758576212581","0.0739403866465324"
"Part-time","1995","secondary school degree","323","0.0879197573228335","0.0786604340525605","0.0971790805931066"
"Full-time","1996","college entrance qualification","1072","0.52791453370159","0.505567022738493","0.550262044664687"
"Full-time","1996","lower secondary degree","1997","0.327893002600652","0.315250926876208","0.340535078325096"
"Full-time","1996","no degree/no degree yet","192","0.179322661124827","0.153208586906841","0.205436735342813"
"Full-time","1996","Other degree","538","0.462216582934218","0.432766881514168","0.491666284354267"
"Full-time","1996","secondary school degree","1951","0.494893484656312","0.478547676103181","0.511239293209442"
"Non-working","1996","college entrance qualification","553","0.30406206710363","0.283469835657718","0.324654298549542"
"Non-working","1996","lower secondary degree","2686","0.571837806736707","0.558512607989102","0.585163005484313"
"Non-working","1996","no degree/no degree yet","579","0.75059825745651","0.721145609698918","0.780050905214103"
"Non-working","1996","Other degree","453","0.427454576499255","0.398232949632236","0.456676203366274"
"Non-working","1996","secondary school degree","1031","0.345509848696994","0.329963055265445","0.361056642128543"
"Other","1996","college entrance qualification","120","0.0636156618340078","0.0526900408620476","0.0745412828059679"
"Other","1996","lower secondary degree","227","0.0318046347784925","0.0270790037370637","0.0365302658199214"
"Other","1996","no degree/no degree yet","","","",""
"Other","1996","Other degree","","","",""
"Other","1996","secondary school degree","266","0.0642863340481421","0.056267894282709","0.0723047738135751"
"Part-time","1996","college entrance qualification","172","0.104407737360772","0.0907191528009571","0.118096321920588"
"Part-time","1996","lower secondary degree","387","0.0684645558841477","0.0616636667645363","0.0752654450037591"
"Part-time","1996","no degree/no degree yet","40","0.0424482723235686","0.0287242328898872","0.05617231175725"
"Part-time","1996","Other degree","82","0.0802293522927521","0.0641835717693362","0.096275132816168"
"Part-time","1996","secondary school degree","346","0.0953103325985521","0.0857101639542314","0.104910501242873"
"Full-time","1997","college entrance qualification","1109","0.546916174269179","0.524782100461985","0.569050248076373"
"Full-time","1997","lower secondary degree","1888","0.316154900219834","0.303488948247278","0.328820852192389"
"Full-time","1997","no degree/no degree yet","173","0.182499156144546","0.156078046848583","0.208920265440508"
"Full-time","1997","Other degree","488","0.439316073211273","0.408962454886006","0.46966969153654"
"Full-time","1997","secondary school degree","1919","0.486532732959182","0.470093363027231","0.502972102891132"
"Non-working","1997","college entrance qualification","546","0.291749547691094","0.271537504542315","0.311961590839874"
"Non-working","1997","lower secondary degree","2708","0.587221980998827","0.57381075621715","0.600633205780505"
"Non-working","1997","no degree/no degree yet","597","0.75918128220638","0.729933403144263","0.788429161268497"
"Non-working","1997","Other degree","452","0.452049993699311","0.421611260701175","0.482488726697447"
"Non-working","1997","secondary school degree","1033","0.360791351685248","0.344996260574984","0.376586442795512"
"Other","1997","college entrance qualification","121","0.0581628930941003","0.0477559641439863","0.0685698220442142"
"Other","1997","lower secondary degree","210","0.0286096531051406","0.0240685412836108","0.0331507649266703"
"Other","1997","no degree/no degree yet","","","",""
"Other","1997","Other degree","","","",""
"Other","1997","secondary school degree","261","0.0592044746947627","0.0514420456662903","0.066966903723235"
"Part-time","1997","college entrance qualification","167","0.103171384945627","0.0896461116500896","0.116696658241164"
"Part-time","1997","lower secondary degree","371","0.0680134656761983","0.0611552477688833","0.0748716835835133"
"Part-time","1997","no degree/no degree yet","33","0.0309312197340294","0.0190884758597555","0.0427739636083033"
"Part-time","1997","Other degree","61","0.0789839568660806","0.0624884406804121","0.0954794730517491"
"Part-time","1997","secondary school degree","338","0.0934714406608073","0.0838972302329209","0.103045651088694"
"Full-time","1998","college entrance qualification","1254","0.537538727759659","0.516784441202041","0.558293014317276"
"Full-time","1998","lower secondary degree","1956","0.298254055349647","0.286330248815893","0.3101778618834"
"Full-time","1998","no degree/no degree yet","158","0.188669205987308","0.161758842298321","0.215579569676295"
"Full-time","1998","Other degree","469","0.458929793372002","0.428075602138609","0.489783984605395"
"Full-time","1998","secondary school degree","2088","0.491670432371205","0.475958165344776","0.507382699397634"
"Non-working","1998","college entrance qualification","652","0.304968555912679","0.285804165808464","0.324132946016894"
"Non-working","1998","lower secondary degree","3044","0.599448032848191","0.586676677449119","0.612219388247263"
"Non-working","1998","no degree/no degree yet","596","0.740064455235088","0.70989706891822","0.770231841551957"
"Non-working","1998","Other degree","422","0.426723892193171","0.396099348164238","0.457348436222104"
"Non-working","1998","secondary school degree","1142","0.352119900900895","0.337108482671344","0.367131319130446"
"Other","1998","college entrance qualification","130","0.055770448239625","0.0462181888694925","0.0653227076097576"
"Other","1998","lower secondary degree","249","0.0333500390421815","0.0286703760469116","0.0380297020374514"
"Other","1998","no degree/no degree yet","","","",""
"Other","1998","Other degree","39","0.0295666281238587","0.0190784998285085","0.0400547564192088"
"Other","1998","secondary school degree","288","0.0621378508309975","0.0545507345898398","0.0697249670721552"
"Part-time","1998","college entrance qualification","181","0.101722268088037","0.0891394308525137","0.114305105323561"
"Part-time","1998","lower secondary degree","406","0.0689478727599808","0.0623442961514545","0.0755514493685071"
"Part-time","1998","no degree/no degree yet","32","0.0319999456172199","0.0198944552244785","0.0441054360099613"
"Part-time","1998","Other degree","72","0.0847796863109686","0.0675323132062288","0.102027059415708"
"Part-time","1998","secondary school degree","371","0.0940718158969022","0.0848968223238852","0.103246809469919"
"Full-time","1999","college entrance qualification","1282","0.535473881806296","0.514792444317579","0.556155319295014"
"Full-time","1999","lower secondary degree","1944","0.313565788580874","0.30133685481505","0.325794722346698"
"Full-time","1999","no degree/no degree yet","155","0.197016845097438","0.169121774070322","0.224911916124555"
"Full-time","1999","Other degree","433","0.476243490949193","0.444230848151865","0.508256133746521"
"Full-time","1999","secondary school degree","2076","0.490226511202017","0.474466360651571","0.505986661752463"
"Non-working","1999","college entrance qualification","587","0.288768376909582","0.269975777700691","0.307560976118473"
"Non-working","1999","lower secondary degree","2915","0.582012502687654","0.569011627202165","0.595013378173144"
"Non-working","1999","no degree/no degree yet","549","0.688796431770432","0.656325832618333","0.721267030922532"
"Non-working","1999","Other degree","399","0.408005333650777","0.376503625563961","0.439507041737594"
"Non-working","1999","secondary school degree","1075","0.333207581104192","0.318347331454436","0.348067830753948"
"Other","1999","college entrance qualification","170","0.0815978232513701","0.0702460882163198","0.0929495582864204"
"Other","1999","lower secondary degree","286","0.0415103009310196","0.036252592942068","0.0467680089199712"
"Other","1999","no degree/no degree yet","39","0.0773693833111824","0.0586314765843768","0.096107290037988"
"Other","1999","Other degree","43","0.0474967121299695","0.0338632140587347","0.0611302102012043"
"Other","1999","secondary school degree","307","0.0724763163669458","0.0643023301354918","0.0806503025983998"
"Part-time","1999","college entrance qualification","195","0.0941599180327514","0.0820493278141864","0.106270508251316"
"Part-time","1999","lower secondary degree","384","0.0629114078004523","0.0565114100196874","0.0693114055812172"
"Part-time","1999","no degree/no degree yet","38","0.0368173398209471","0.0236103724502033","0.0500243071916908"
"Part-time","1999","Other degree","60","0.06825446327006","0.0520901792020058","0.0844187473381141"
"Part-time","1999","secondary school degree","407","0.104089591326846","0.094462185376155","0.113716997277536"
"Full-time","2000","college entrance qualification","2513","0.515014304571475","0.500803139424788","0.529225469718161"
"Full-time","2000","lower secondary degree","3255","0.31176148200669","0.302677677054705","0.320845286958675"
"Full-time","2000","no degree/no degree yet","111","0.144223308109438","0.121595600875598","0.166851015343277"
"Full-time","2000","Other degree","631","0.416778896296469","0.392186892434783","0.441370900158154"
"Full-time","2000","secondary school degree","3562","0.493313809243643","0.481601831417546","0.50502578706974"
"Non-working","2000","college entrance qualification","1420","0.309270058265108","0.296127538010949","0.322412578519266"
"Non-working","2000","lower secondary degree","5463","0.569131370739417","0.559420329814387","0.578842411664448"
"Non-working","2000","no degree/no degree yet","723","0.753061537300967","0.725286656677636","0.780836417924297"
