"erwst","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1989","Urban Area","Male","2593","0.631724487972945","0.61644686863219","0.647002107313699"
"Non-working","1989","Rural Area","Female","503","0.586077583649203","0.555098005134296","0.617057162164109"
"Non-working","1989","Rural Area","Male","261","0.329048866370645","0.29920155186805","0.35889618087324"
"Non-working","1989","Urban Area","Female","2082","0.569495686211275","0.554068062449348","0.584923309973203"
"Non-working","1989","Urban Area","Male","983","0.307454696733446","0.292838981665591","0.322070411801301"
"Other","1989","Rural Area","Female","65","0.0500120647270065","0.0363021449583715","0.0637219844956414"
"Other","1989","Rural Area","Male","50","0.04663838820925","0.0332437738749412","0.0600330025435588"
"Other","1989","Urban Area","Female","244","0.056139789273451","0.0489675578527081","0.0633120206941939"
"Other","1989","Urban Area","Male","215","0.0492037584907685","0.0423528482885343","0.0560546686930027"
"Part-time","1989","Rural Area","Female","142","0.141138821939362","0.119239876260199","0.163037767618526"
"Part-time","1989","Rural Area","Male","6","","",""
"Part-time","1989","Urban Area","Female","488","0.117754875350493","0.107712206371065","0.127797544329922"
"Part-time","1989","Urban Area","Male","38","0.0116170568028407","0.00822302360985333","0.0150110899958281"
"Full-time","1990","Rural Area","Female","985","0.313251043559527","0.294858930631602","0.331643156487451"
"Full-time","1990","Rural Area","Male","1718","0.678776070435695","0.659667922665943","0.697884218205447"
"Full-time","1990","Urban Area","Female","1548","0.28138173755953","0.268487556850586","0.294275918268473"
"Full-time","1990","Urban Area","Male","3096","0.649354565691086","0.635370814587507","0.663338316794666"
"Non-working","1990","Rural Area","Female","946","0.487731469741226","0.467910468659212","0.507552470823241"
"Non-working","1990","Rural Area","Male","458","0.270364924318281","0.252189715468406","0.288540133168156"
"Non-working","1990","Urban Area","Female","2244","0.540764702560606","0.526475155187413","0.555054249933799"
"Non-working","1990","Urban Area","Male","1097","0.289448519503141","0.276158302182799","0.302738736823482"
"Other","1990","Rural Area","Female","109","0.0440175862925102","0.0358832069579954","0.052151965627025"
"Other","1990","Rural Area","Male","99","0.0425786476503487","0.0343163874017783","0.0508409078989191"
"Other","1990","Urban Area","Female","236","0.0461633214660915","0.0401462910377559","0.0521803518944271"
"Other","1990","Urban Area","Male","219","0.0465704442658715","0.040395285360853","0.05274560317089"
"Part-time","1990","Rural Area","Female","403","0.154999900406736","0.140648957153037","0.169350843660436"
"Part-time","1990","Rural Area","Male","19","","",""
"Part-time","1990","Urban Area","Female","644","0.131690238413773","0.121993832056379","0.141386644771167"
"Part-time","1990","Urban Area","Male","61","0.0146264705399012","0.0111082840379899","0.0181446570418125"
"Full-time","1991","Rural Area","Female","894","0.287819617362732","0.269687416089977","0.305951818635487"
"Full-time","1991","Rural Area","Male","1562","0.639135364792118","0.619317944078607","0.658952785505629"
"Full-time","1991","Urban Area","Female","1487","0.277078949773231","0.264091686263613","0.290066213282849"
"Full-time","1991","Urban Area","Male","2987","0.643844439776267","0.629638619819366","0.658050259733168"
"Non-working","1991","Rural Area","Female","1088","0.536742417446159","0.516771888892701","0.556712945999616"
"Non-working","1991","Rural Area","Male","554","0.299461773654238","0.280561627662159","0.318361919646316"
"Non-working","1991","Urban Area","Female","2175","0.53479898390843","0.520325067350288","0.549272900466572"
"Non-working","1991","Urban Area","Male","1096","0.29583256100015","0.282292615283408","0.309372506716891"
"Other","1991","Rural Area","Female","122","0.0507291675876156","0.0419405762908569","0.0595177588843743"
"Other","1991","Rural Area","Male","117","0.0499475914924574","0.0409586283321661","0.0589365546527488"
"Other","1991","Urban Area","Female","291","0.0590512528705471","0.0522110655860097","0.0658914401550845"
"Other","1991","Urban Area","Male","226","0.0457343733013078","0.0395369384022124","0.0519318082004031"
"Part-time","1991","Rural Area","Female","291","0.124708797603494","0.11147696006932","0.137940635137667"
"Part-time","1991","Rural Area","Male","23","","",""
"Part-time","1991","Urban Area","Female","609","0.129070813447792","0.119341641105394","0.13879998579019"
"Part-time","1991","Urban Area","Male","56","0.0145886259222755","0.0110317235378303","0.0181455283067206"
"Full-time","1992","Rural Area","Female","767","0.258261259460884","0.240370296403181","0.276152222518588"
"Full-time","1992","Rural Area","Male","1404","0.60385435803208","0.583141887595801","0.624566828468359"
"Full-time","1992","Urban Area","Female","1424","0.273561638613077","0.260592982242561","0.286530294983592"
"Full-time","1992","Urban Area","Male","2861","0.627560980084121","0.613097467152396","0.642024493015846"
"Non-working","1992","Rural Area","Female","1163","0.575499447613014","0.555295315912389","0.595703579313638"
"Non-working","1992","Rural Area","Male","609","0.331971178774198","0.31202837812434","0.351913979424055"
"Non-working","1992","Urban Area","Female","2269","0.552217232403877","0.53775095911505","0.566683505692705"
"Non-working","1992","Urban Area","Male","1167","0.316119986966235","0.302209761553857","0.330030212378612"
"Other","1992","Rural Area","Female","110","0.0462533198924089","0.0376678003693016","0.0548388394155162"
"Other","1992","Rural Area","Male","111","0.0508562904191347","0.0415521408363001","0.0601604400019692"
"Other","1992","Urban Area","Female","236","0.0441693780572762","0.0381918845696846","0.0501468715448678"
"Other","1992","Urban Area","Male","211","0.0426678652518724","0.0366214215940041","0.0487143089097407"
"Part-time","1992","Rural Area","Female","259","0.119985973033693","0.106703203370489","0.133268742696897"
"Part-time","1992","Rural Area","Male","18","","",""
"Part-time","1992","Urban Area","Female","610","0.13005175092577","0.120266480988792","0.139837020862748"
"Part-time","1992","Urban Area","Male","53","0.013651167697772","0.0101796578414177","0.0171226775541262"
"Full-time","1993","Rural Area","Female","732","0.251058931194474","0.233271763638721","0.268846098750227"
"Full-time","1993","Rural Area","Male","1346","0.592226948291477","0.571293488847181","0.613160407735774"
"Full-time","1993","Urban Area","Female","1399","0.271159203265988","0.25817324934875","0.284145157183227"
"Full-time","1993","Urban Area","Male","2801","0.61826313296419","0.603701906029859","0.632824359898521"
"Non-working","1993","Rural Area","Female","1155","0.57433906044626","0.554057040213378","0.594621080679142"
"Non-working","1993","Rural Area","Male","636","0.347305421729962","0.327023997650825","0.367586845809098"
"Non-working","1993","Urban Area","Female","2243","0.545865059282947","0.531321173594719","0.560408944971175"
"Non-working","1993","Urban Area","Male","1226","0.325668569580492","0.3116225306651","0.339714608495883"
"Other","1993","Rural Area","Female","140","0.0540179081009173","0.0447452238081323","0.0632905923937024"
"Other","1993","Rural Area","Male","118","0.0508463707158968","0.0414883091484773","0.0602044322833164"
"Other","1993","Urban Area","Female","257","0.0522302886000355","0.0457311174899621","0.0587294597101089"
"Other","1993","Urban Area","Male","205","0.0440486432427602","0.0378981009699216","0.0501991855155988"
"Part-time","1993","Rural Area","Female","256","0.120584100258349","0.107226227090034","0.133941973426664"
"Part-time","1993","Rural Area","Male","17","","",""
"Part-time","1993","Urban Area","Female","603","0.130745448851029","0.120897809786629","0.140593087915429"
"Part-time","1993","Urban Area","Male","44","0.0120196542125579","0.00875340451718622","0.0152859039079296"
"Full-time","1994","Rural Area","Female","691","0.241466130468525","0.223723217297289","0.25920904363976"
"Full-time","1994","Rural Area","Male","1302","0.571112332252176","0.549853457324256","0.592371207180097"
"Full-time","1994","Urban Area","Female","1325","0.260483428118252","0.247615550601933","0.273351305634571"
"Full-time","1994","Urban Area","Male","2682","0.610716282664273","0.595895923882973","0.625536641445573"
"Non-working","1994","Rural Area","Female","1135","0.582391452270281","0.561945774444954","0.602837130095608"
"Non-working","1994","Rural Area","Male","654","0.36349478945765","0.342833481784655","0.384156097130644"
"Non-working","1994","Urban Area","Female","2316","0.566213115549839","0.551682932528836","0.580743298570842"
"Non-working","1994","Urban Area","Male","1257","0.339667894570318","0.325272807212463","0.354062981928173"
"Other","1994","Rural Area","Female","154","0.0563956666932152","0.0468319399655669","0.0659593934208635"
"Other","1994","Rural Area","Male","108","0.0555293048450639","0.0456922953538528","0.065366314336275"
"Other","1994","Urban Area","Female","256","0.0491082438126305","0.0427726743549417","0.0554438132703193"
"Other","1994","Urban Area","Male","178","0.0372965020184891","0.0315369835610852","0.0430560204758929"
"Part-time","1994","Rural Area","Female","255","0.119746750567979","0.106286751977885","0.133206749158072"
"Part-time","1994","Rural Area","Male","18","","",""
"Part-time","1994","Urban Area","Female","572","0.124195212519279","0.114525824268669","0.13386460076989"
"Part-time","1994","Urban Area","Male","41","0.0123193207469198","0.0089665218185072","0.0156721196753324"
"Full-time","1995","Rural Area","Female","729","0.244953468771583","0.227412047450632","0.262494890092535"
"Full-time","1995","Rural Area","Male","1353","0.57329496903","0.552480216013972","0.594109722046029"
"Full-time","1995","Urban Area","Female","1324","0.248887025609064","0.236419482918935","0.261354568299192"
"Full-time","1995","Urban Area","Male","2751","0.601663443490715","0.586981444152987","0.616345442828442"
"Non-working","1995","Rural Area","Female","1144","0.576011120257522","0.55585398585535","0.596168254659695"
"Non-working","1995","Rural Area","Male","661","0.354518409990635","0.334386747467701","0.37465007251357"
"Non-working","1995","Urban Area","Female","2398","0.574012608930404","0.559753703401233","0.588271514459576"
"Non-working","1995","Urban Area","Male","1281","0.342312070762062","0.328082088859849","0.356542052664276"
"Other","1995","Rural Area","Female","148","0.0521398771556963","0.0430722583885539","0.0612074959228387"
"Other","1995","Rural Area","Male","135","0.0600185464558157","0.0500226742750602","0.0700144186365712"
"Other","1995","Urban Area","Female","283","0.0549334158661687","0.0483632458249909","0.0615035859073464"
"Other","1995","Urban Area","Male","184","0.037924464105125","0.0321958757305677","0.0436530524796824"
"Part-time","1995","Rural Area","Female","288","0.126895533815198","0.113318890825941","0.140472176804455"
"Part-time","1995","Rural Area","Male","20","","",""
"Part-time","1995","Urban Area","Female","615","0.122166949594363","0.112723950842894","0.131609948345833"
"Part-time","1995","Urban Area","Male","55","0.0181000216420983","0.0141018956335848","0.0220981476506118"
"Full-time","1996","Rural Area","Female","695","0.233950005923022","0.216584588694229","0.251315423151815"
"Full-time","1996","Rural Area","Male","1320","0.564383224467269","0.543429210355223","0.585337238579315"
"Full-time","1996","Urban Area","Female","1269","0.241694778948697","0.229221103016949","0.254168454880445"
"Full-time","1996","Urban Area","Male","2632","0.595135821516359","0.580226583335029","0.610045059697689"
"Non-working","1996","Rural Area","Female","1151","0.582213638474771","0.561982820067507","0.602444456882036"
"Non-working","1996","Rural Area","Male","690","0.371166082509917","0.350749642989916","0.391582522029919"
"Non-working","1996","Urban Area","Female","2330","0.568851485904908","0.554421972215909","0.583280999593906"
"Non-working","1996","Urban Area","Male","1271","0.344543484593943","0.330109484829814","0.358977484358071"
"Other","1996","Rural Area","Female","141","0.0462721149266779","0.0376548975089494","0.0548893323444064"
"Other","1996","Rural Area","Male","113","0.0469665373698145","0.0380257404168891","0.0559073343227399"
"Other","1996","Urban Area","Female","270","0.0546536150653148","0.0480307831959138","0.0612764469347158"
"Other","1996","Urban Area","Male","186","0.0389199058475457","0.0330455748716093","0.0447942368234822"
"Part-time","1996","Rural Area","Female","296","0.137564240675529","0.123435245050693","0.151693236300365"
"Part-time","1996","Rural Area","Male","28","","",""
"Part-time","1996","Urban Area","Female","656","0.13480012008108","0.124849682859625","0.144750557302536"
"Part-time","1996","Urban Area","Male","75","0.0214007880421524","0.0170052702301132","0.0257963058541916"
"Full-time","1997","Rural Area","Female","690","0.236578260433338","0.219010369922689","0.254146150943988"
"Full-time","1997","Rural Area","Male","1300","0.559623789821158","0.538481835893515","0.580765743748801"
"Full-time","1997","Urban Area","Female","1232","0.240290623272304","0.227707530279197","0.25287371626541"
"Full-time","1997","Urban Area","Male","2523","0.580174431789747","0.565102603763373","0.595246259816122"
"Non-working","1997","Rural Area","Female","1156","0.594239371632584","0.57394079427039","0.614537948994778"
"Non-working","1997","Rural Area","Male","688","0.385399520296486","0.364672486981269","0.406126553611703"
"Non-working","1997","Urban Area","Female","2301","0.574504224822145","0.559943282204328","0.589065167439962"
"Non-working","1997","Urban Area","Male","1339","0.358473736273469","0.343828779752016","0.373118692794922"
"Other","1997","Rural Area","Female","129","0.0493640093758309","0.0404090776951415","0.0583189410565204"
"Other","1997","Rural Area","Male","109","0.0382117735272552","0.0300473892269036","0.0463761578276068"
"Other","1997","Urban Area","Female","268","0.0489676125877681","0.0426121470269918","0.0553230781485443"
"Other","1997","Urban Area","Male","185","0.0382675382719362","0.0324089281815904","0.044126148362282"
"Part-time","1997","Rural Area","Female","273","0.119818358558247","0.106393869248233","0.133242847868261"
"Part-time","1997","Rural Area","Male","21","","",""
"Part-time","1997","Urban Area","Female","628","0.136237539317783","0.126134761334254","0.146340317301313"
"Part-time","1997","Urban Area","Male","72","0.0230842936648478","0.0184982410150322","0.0276703463146635"
"Full-time","1998","Rural Area","Female","728","0.224207362851149","0.207875264448945","0.240539461253353"
"Full-time","1998","Rural Area","Male","1398","0.545546872178406","0.525542717868541","0.565551026488271"
"Full-time","1998","Urban Area","Female","1357","0.243797321789869","0.231782484608154","0.255812158971584"
"Full-time","1998","Urban Area","Male","2760","0.576249627004541","0.561869194651593","0.590630059357489"
"Non-working","1998","Rural Area","Female","1301","0.597656545851571","0.578453569981767","0.616859521721375"
"Non-working","1998","Rural Area","Male","816","0.390132250729249","0.370535531379002","0.409728970079495"
"Non-working","1998","Urban Area","Female","2577","0.573937784893666","0.560100424949183","0.58777514483815"
"Non-working","1998","Urban Area","Male","1475","0.354069057228363","0.340151961960925","0.3679861524958"
"Other","1998","Rural Area","Female","166","0.0523011941526308","0.0435828261820383","0.0610195621232232"
"Other","1998","Rural Area","Male","141","0.0494315133173876","0.0407228144848191","0.0581402121499561"
"Other","1998","Urban Area","Female","275","0.0432807116969284","0.0375866288619142","0.0489747945319425"
"Other","1998","Urban Area","Male","219","0.0450179488767268","0.0389839944675342","0.0510519032859194"
"Part-time","1998","Rural Area","Female","310","0.125834897144649","0.112846920237649","0.13882287405165"
"Part-time","1998","Rural Area","Male","25","","",""
"Part-time","1998","Urban Area","Female","697","0.138984181619536","0.129304243716534","0.148664119522539"
"Part-time","1998","Urban Area","Male","82","0.0246633668903694","0.0201498505610242","0.0291768832197146"
"Full-time","1999","Rural Area","Female","704","0.228059031367162","0.211400526908856","0.244717535825468"
"Full-time","1999","Rural Area","Male","1377","0.565763518261838","0.545467251146784","0.586059785376892"
"Full-time","1999","Urban Area","Female","1316","0.250472079021275","0.238066400664467","0.262877757378083"
"Full-time","1999","Urban Area","Male","2664","0.577444948608408","0.562772560007397","0.592117337209418"
"Non-working","1999","Rural Area","Female","1193","0.566863552681314","0.547190490774278","0.58653661458835"
"Non-working","1999","Rural Area","Male","754","0.369561444955124","0.349796288467275","0.389326601442973"
"Non-working","1999","Urban Area","Female","2370","0.550960348512851","0.536719054017089","0.565201643008614"
"Non-working","1999","Urban Area","Male","1362","0.346691004433434","0.332554745734303","0.360827263132566"
"Other","1999","Rural Area","Female","199","0.0732803099637777","0.0629339360269991","0.0836266839005564"
"Other","1999","Rural Area","Male","128","0.0452392959026476","0.0367290769671663","0.0537495148381288"
"Other","1999","Urban Area","Female","335","0.0678094433209176","0.0606109038886823","0.0750079827531529"
"Other","1999","Urban Area","Male","245","0.052593130241728","0.0459627772028432","0.0592234832806127"
"Part-time","1999","Rural Area","Female","341","0.131797105987747","0.118366862758758","0.145227349216736"
"Part-time","1999","Rural Area","Male","32","0.0194357408803904","0.0137828041288151","0.0250886776319657"
"Part-time","1999","Urban Area","Female","665","0.130758129144956","0.121105366731225","0.140410891558686"
"Part-time","1999","Urban Area","Male","83","0.02327091671643","0.0187927765350492","0.0277490568978108"
"Full-time","2000","Rural Area","Female","1123","0.237791086947762","0.225042614271975","0.250539559623549"
"Full-time","2000","Rural Area","Male","2339","0.56379196864591","0.548467714500796","0.579116222791025"
"Full-time","2000","Urban Area","Female","2083","0.238121039729621","0.228972079008508","0.247270000450733"
"Full-time","2000","Urban Area","Male","4542","0.581222541274102","0.570154689534153","0.59229039301405"
"Non-working","2000","Rural Area","Female","2183","0.549994517572321","0.535097084515416","0.564891950629226"
"Non-working","2000","Rural Area","Male","1409","0.369265403590304","0.35435237976867","0.384178427411938"
"Non-working","2000","Urban Area","Female","4287","0.540851900295449","0.530147915997763","0.551555884593135"
"Non-working","2000","Urban Area","Male","2542","0.342981283925185","0.332331898600498","0.353630669249872"
"Other","2000","Rural Area","Female","345","0.0702909578625793","0.0626359327787819","0.0779459829463766"
"Other","2000","Rural Area","Male","221","0.052197175750371","0.0453240296364017","0.0590703218643404"
"Other","2000","Urban Area","Female","557","0.0646129291529325","0.0593323046818913","0.0698935536239737"
"Other","2000","Urban Area","Male","395","0.0502387172307221","0.0453383687931156","0.0551390656683286"
"Part-time","2000","Rural Area","Female","633","0.141923437617338","0.131473506185683","0.152373369048993"
"Part-time","2000","Rural Area","Male","54","0.0147454520134145","0.0110208802718439","0.0184700237549851"
"Part-time","2000","Urban Area","Female","1399","0.156414130821998","0.148611653254165","0.164216608389831"
"Part-time","2000","Urban Area","Male","154","0.0255574575699917","0.0220171792775485","0.0290977358624348"
"Full-time","2001","Rural Area","Female","1018","0.236986953670516","0.223593005384729","0.250380901956303"
"Full-time","2001","Rural Area","Male","2050","0.54469735015588","0.52856580579411","0.560828894517651"
"Full-time","2001","Urban Area","Female","1914","0.238564929263055","0.228988490480158","0.248141368045952"
"Full-time","2001","Urban Area","Male","4100","0.57389835660212","0.562248039090464","0.585548674113776"
"Non-working","2001","Rural Area","Female","1956","0.543862256926198","0.5281740654361","0.559550448416296"
"Non-working","2001","Rural Area","Male","1344","0.390848490324691","0.375042740324357","0.406654240325026"
"Non-working","2001","Urban Area","Female","3823","0.53144338080023","0.520231103275835","0.542655658324626"
"Non-working","2001","Urban Area","Male","2308","0.346595584707196","0.335384020413219","0.357807149001173"
"Other","2001","Rural Area","Female","310","0.0706737653213817","0.0626015334113299","0.0787459972314334"
"Other","2001","Rural Area","Male","222","0.051948433205575","0.0447597319881839","0.0591371344229661"
"Other","2001","Urban Area","Female","588","0.0733927367785201","0.0675332619850214","0.0792522115720188"
"Other","2001","Urban Area","Male","363","0.0528238422786829","0.047554043422005","0.0580936411353608"
"Part-time","2001","Rural Area","Female","588","0.148477024081905","0.137277276641419","0.159676771522391"
"Part-time","2001","Rural Area","Male","45","0.0125057263138537","0.00890599588235967","0.0161054567453476"
"Part-time","2001","Urban Area","Female","1284","0.156598953158195","0.148433208525619","0.16476469779077"
"Part-time","2001","Urban Area","Male","150","0.0266822164120009","0.0228855543137372","0.0304788785102646"
"Full-time","2002","Rural Area","Female","1056","0.229639209694802","0.216501021139914","0.242777398249691"
"Full-time","2002","Rural Area","Male","2053","0.529253464371404","0.513241503612288","0.545265425130521"
"Full-time","2002","Urban Area","Female","2039","0.226088651020705","0.216946444122376","0.235230857919033"
"Full-time","2002","Urban Area","Male","4423","0.554722234540666","0.543432882094593","0.566011586986738"
"Non-working","2002","Rural Area","Female","1947","0.54353185305013","0.527972801401086","0.559090904699174"
"Non-working","2002","Rural Area","Male","1395","0.399335644435332","0.38362463588733","0.415046652983334"
"Non-working","2002","Urban Area","Female","3897","0.540068658120263","0.529175920400266","0.550961395840259"
"Non-working","2002","Urban Area","Male","2498","0.370717933611539","0.359746579933803","0.381689287289275"
"Other","2002","Rural Area","Female","306","0.0748322649970325","0.0666132444132761","0.0830512855807889"
"Other","2002","Rural Area","Male","236","0.057739745188201","0.050257327226551","0.0652221631498509"
"Other","2002","Urban Area","Female","640","0.0765575737819028","0.0707463841282926","0.082368763435513"
"Other","2002","Urban Area","Male","373","0.0514420987229173","0.0464243720313452","0.0564598254144894"
"Part-time","2002","Rural Area","Female","628","0.151996672258035","0.140782139037002","0.163211205479068"
"Part-time","2002","Rural Area","Male","49","0.0136711460050633","0.00994609326572723","0.0173961987443994"
"Part-time","2002","Urban Area","Female","1466","0.15728511707713","0.149328101585855","0.165242132568404"
"Part-time","2002","Urban Area","Male","151","0.0231177331248778","0.0197041579150517","0.0265313083347038"
"Full-time","2003","Rural Area","Female","965","0.222243207519645","0.209006967295257","0.235479447744033"
"Full-time","2003","Rural Area","Male","1920","0.518464776148599","0.502051444286421","0.534878108010777"
"Full-time","2003","Urban Area","Female","1914","0.222965010512394","0.213713585981451","0.232216435043338"
"Full-time","2003","Urban Area","Male","4072","0.536259322821469","0.524717264793202","0.547801380849737"
"Non-working","2003","Rural Area","Female","1892","0.547050219474193","0.531202487734991","0.562897951213394"
"Non-working","2003","Rural Area","Male","1357","0.407261630894478","0.391122083166072","0.423401178622884"
"Non-working","2003","Urban Area","Female","3818","0.544699473444352","0.533630750446634","0.555768196442071"
"Non-working","2003","Urban Area","Male","2569","0.38781706527134","0.376539579260065","0.399094551282614"
"Other","2003","Rural Area","Female","302","0.074700037084352","0.0663299463264523","0.0830701278422517"
"Other","2003","Rural Area","Male","229","0.057202506480855","0.0495739945261503","0.0648310184355598"
"Other","2003","Urban Area","Female","611","0.0766753402346852","0.0707614257778822","0.0825892546914881"
"Other","2003","Urban Area","Male","366","0.0493930458927853","0.0443778069687411","0.0544082848168296"
"Part-time","2003","Rural Area","Female","631","0.15600653592181","0.144454210224811","0.16755886161881"
"Part-time","2003","Rural Area","Male","54","0.0170710864760686","0.0128159379047787","0.0213262350473586"
"Part-time","2003","Urban Area","Female","1433","0.155660175808568","0.147602359545684","0.163717992071452"
"Part-time","2003","Urban Area","Male","164","0.0265305660144056","0.0228109967760933","0.0302501352527178"
"Full-time","2004","Rural Area","Female","925","0.220706662286504","0.207374210749914","0.234039113823094"
"Full-time","2004","Rural Area","Male","1837","0.496124512072812","0.479505595642971","0.512743428502654"
"Full-time","2004","Urban Area","Female","1843","0.219988309035996","0.210667289767776","0.229309328304216"
"Full-time","2004","Urban Area","Male","3930","0.533277671791205","0.521550340375332","0.545005003207078"
"Non-working","2004","Rural Area","Female","1865","0.555058798274577","0.539082630313153","0.571034966236002"
"Non-working","2004","Rural Area","Male","1359","0.42527944549737","0.40884665543222","0.44171223556252"
