"erwst","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Part-time","1987","indirect migration background","Rural Area","2","","",""
"Non-working","1987","no migration background","Urban Area","2428","0.46365942439678","0.45073283756996","0.476586011223599"
"Non-working","1987","no migration background","Rural Area","731","0.456813939695607","0.433633841822849","0.479994037568365"
"Non-working","1987","direct migration background","Urban Area","851","0.395503522980515","0.376255687722271","0.414751358238759"
"Non-working","1987","direct migration background","Rural Area","118","0.396770315577411","0.346442773886854","0.447097857267967"
"Non-working","1987","indirect migration background","Urban Area","78","0.506500751120564","0.428046029325368","0.58495547291576"
"Non-working","1987","indirect migration background","Rural Area","7","","",""
"Other","1987","no migration background","Urban Area","366","0.0559567157680467","0.0499989138920193","0.061914517644074"
"Other","1987","no migration background","Rural Area","128","0.0603625841575496","0.049280145244342","0.0714450230707572"
"Other","1987","direct migration background","Urban Area","105","0.0397812162307214","0.0320875391406562","0.0474748933207866"
"Other","1987","direct migration background","Rural Area","23","","",""
"Other","1987","indirect migration background","Urban Area","27","","",""
"Other","1987","indirect migration background","Rural Area","2","","",""
"Full-time","1988","no migration background","Urban Area","2405","0.419585557789496","0.406480203257885","0.432690912321106"
"Full-time","1988","no migration background","Rural Area","713","0.400557204998986","0.376985000871988","0.424129409125984"
"Full-time","1988","direct migration background","Urban Area","1293","0.50091849614599","0.480724516841183","0.521112475450796"
"Full-time","1988","direct migration background","Rural Area","189","0.423312934255271","0.370325153301807","0.476300715208735"
"Full-time","1988","indirect migration background","Urban Area","58","0.27555706519932","0.212846797989052","0.338267332409589"
"Full-time","1988","indirect migration background","Rural Area","11","","",""
"Part-time","1988","no migration background","Urban Area","411","0.0691415833216737","0.0624043610040802","0.0758788056392671"
"Part-time","1988","no migration background","Rural Area","125","0.0671053382557098","0.0550691523819899","0.0791415241294297"
"Part-time","1988","direct migration background","Urban Area","122","0.0543859214235689","0.0452268204796343","0.0635450223675034"
"Part-time","1988","direct migration background","Rural Area","12","","",""
"Part-time","1988","indirect migration background","Urban Area","7","","",""
"Part-time","1988","indirect migration background","Rural Area","3","","",""
"Non-working","1988","no migration background","Urban Area","2290","0.45908793997601","0.445854258487878","0.472321621464141"
"Non-working","1988","no migration background","Rural Area","698","0.468645738991066","0.444640365513326","0.492651112468806"
"Non-working","1988","direct migration background","Urban Area","827","0.405654381313093","0.385823123818576","0.425485638807611"
"Non-working","1988","direct migration background","Rural Area","115","0.441701718414028","0.38844522745733","0.494958209370727"
"Non-working","1988","indirect migration background","Urban Area","93","0.501227611624937","0.431049855050368","0.571405368199505"
"Non-working","1988","indirect migration background","Rural Area","10","","",""
"Other","1988","no migration background","Urban Area","341","0.0521849189128208","0.0462787791865345","0.058091058639107"
"Other","1988","no migration background","Rural Area","124","0.0636917177542381","0.0519442310962806","0.0754392044121957"
"Other","1988","direct migration background","Urban Area","113","0.0390412011173484","0.0312183222708248","0.046864079963872"
"Other","1988","direct migration background","Rural Area","18","","",""
"Other","1988","indirect migration background","Urban Area","37","0.148413082545728","0.0985152859226129","0.198310879168843"
"Other","1988","indirect migration background","Rural Area","5","","",""
"Full-time","1989","no migration background","Urban Area","2386","0.42722654716163","0.413868414139159","0.440584680184102"
"Full-time","1989","no migration background","Rural Area","700","0.414806898615587","0.390474753602459","0.439139043628715"
"Full-time","1989","direct migration background","Urban Area","1279","0.499854367334692","0.479375763912523","0.520332970756862"
"Full-time","1989","direct migration background","Rural Area","185","0.411128208034947","0.356877730793873","0.465378685276021"
"Full-time","1989","indirect migration background","Urban Area","71","0.254496971373693","0.197958158855218","0.311035783892167"
"Full-time","1989","indirect migration background","Rural Area","11","","",""
"Part-time","1989","no migration background","Urban Area","401","0.0699116364138019","0.0630257152342604","0.0767975575933434"
"Part-time","1989","no migration background","Rural Area","128","0.073643073574022","0.0607438686726657","0.0865422784753784"
"Part-time","1989","direct migration background","Urban Area","113","0.0480628794963876","0.0393021680894513","0.056823590903324"
"Part-time","1989","direct migration background","Rural Area","16","","",""
"Part-time","1989","indirect migration background","Urban Area","12","","",""
"Part-time","1989","indirect migration background","Rural Area","4","","",""
"Non-working","1989","no migration background","Urban Area","2144","0.447890648351102","0.434462264196251","0.461319032505953"
"Non-working","1989","no migration background","Rural Area","655","0.463494663627377","0.43886734075616","0.488121986498594"
"Non-working","1989","direct migration background","Urban Area","809","0.419996360315189","0.399781605753038","0.44021111487734"
"Non-working","1989","direct migration background","Rural Area","98","0.447836767300759","0.3930093024566","0.502664232144917"
"Non-working","1989","indirect migration background","Urban Area","112","0.540607600018688","0.475921101412384","0.605294098624991"
"Non-working","1989","indirect migration background","Rural Area","11","","",""
"Other","1989","no migration background","Urban Area","337","0.054971168073466","0.048816350008016","0.0611259861389159"
"Other","1989","no migration background","Rural Area","92","0.0480553641830142","0.0374924295102618","0.0586182988557666"
"Other","1989","direct migration background","Urban Area","89","0.0320863928537309","0.0248685221890483","0.0393042635184136"
"Other","1989","direct migration background","Rural Area","17","","",""
"Other","1989","indirect migration background","Urban Area","33","0.114051503325354","0.0727909153637848","0.155312091286924"
"Other","1989","indirect migration background","Rural Area","6","","",""
"Full-time","1990","no migration background","Urban Area","3295","0.452171824660787","0.440165304464889","0.464178344856685"
"Full-time","1990","no migration background","Rural Area","2442","0.49053334413592","0.47557228920664","0.5054943990652"
"Full-time","1990","direct migration background","Urban Area","1265","0.502284411186091","0.481779140213775","0.522789682158407"
"Full-time","1990","direct migration background","Rural Area","247","0.474550429775389","0.426215302249044","0.522885557301735"
"Full-time","1990","indirect migration background","Urban Area","84","0.275525682680032","0.221218914594105","0.329832450765958"
"Full-time","1990","indirect migration background","Rural Area","14","","",""
"Part-time","1990","no migration background","Urban Area","563","0.0779324121210887","0.0714656980032522","0.0843991262389253"
"Part-time","1990","no migration background","Rural Area","393","0.0832225943641407","0.0749560758313588","0.0914891128969227"
"Part-time","1990","direct migration background","Urban Area","129","0.0603714272153794","0.0506036921844532","0.0701391622463055"
"Part-time","1990","direct migration background","Rural Area","24","","",""
"Part-time","1990","indirect migration background","Urban Area","13","","",""
"Part-time","1990","indirect migration background","Rural Area","5","","",""
"Non-working","1990","no migration background","Urban Area","2408","0.422204125075545","0.410289190027539","0.434119060123552"
"Non-working","1990","no migration background","Rural Area","1268","0.382794280598561","0.368247470848677","0.397341090348444"
"Non-working","1990","direct migration background","Urban Area","814","0.40820313201977","0.388046195006426","0.428360069033115"
"Non-working","1990","direct migration background","Rural Area","125","0.387796999714007","0.340633490453552","0.434960508974463"
"Non-working","1990","indirect migration background","Urban Area","119","0.500760958774269","0.439985126003178","0.561536791545359"
"Non-working","1990","indirect migration background","Rural Area","11","","",""
"Other","1990","no migration background","Urban Area","335","0.0476916381425792","0.042550572565535","0.0528327037196234"
"Other","1990","no migration background","Rural Area","186","0.0434497809013788","0.0373485459276545","0.0495510158751032"
"Other","1990","direct migration background","Urban Area","76","0.0291410295787593","0.0222429125038046","0.036039146653714"
"Other","1990","direct migration background","Rural Area","14","","",""
"Other","1990","indirect migration background","Urban Area","44","0.127033844300489","0.0865557702224218","0.167511918378556"
"Other","1990","indirect migration background","Rural Area","8","","",""
"Full-time","1991","no migration background","Urban Area","3117","0.443741945465031","0.431552804800167","0.455931086129895"
"Full-time","1991","no migration background","Rural Area","2216","0.458414204792079","0.443346940157853","0.473481469426306"
"Full-time","1991","direct migration background","Urban Area","1260","0.513858215247626","0.493146396990517","0.534570033504735"
"Full-time","1991","direct migration background","Rural Area","225","0.443189704973946","0.394868969692182","0.49151044025571"
"Full-time","1991","indirect migration background","Urban Area","97","0.301896529279033","0.250626721230199","0.353166337327868"
"Full-time","1991","indirect migration background","Rural Area","15","","",""
"Part-time","1991","no migration background","Urban Area","515","0.076859586757392","0.0703244813692015","0.0833946921455826"
"Part-time","1991","no migration background","Rural Area","287","0.0694501822109396","0.0617628038091317","0.0771375606127474"
"Part-time","1991","direct migration background","Urban Area","131","0.0579065172623697","0.0482276213062766","0.0675854132184629"
"Part-time","1991","direct migration background","Rural Area","24","","",""
"Part-time","1991","indirect migration background","Urban Area","19","","",""
"Part-time","1991","indirect migration background","Rural Area","3","","",""
"Non-working","1991","no migration background","Urban Area","2392","0.426853664569701","0.41471860372555","0.438988725413851"
"Non-working","1991","no migration background","Rural Area","1487","0.422576590704192","0.407639305920118","0.437513875488265"
"Non-working","1991","direct migration background","Urban Area","760","0.390079371170653","0.369866488638913","0.410292253702393"
"Non-working","1991","direct migration background","Rural Area","136","0.418276128626253","0.370294492052966","0.46625776519954"
"Non-working","1991","indirect migration background","Urban Area","119","0.380773444482078","0.326544538194456","0.435002350769699"
"Non-working","1991","indirect migration background","Rural Area","19","","",""
"Other","1991","no migration background","Urban Area","358","0.0525448032078764","0.0470706882038592","0.0580189182118936"
"Other","1991","no migration background","Rural Area","211","0.0495590222927896","0.0429961237353234","0.0561219208502559"
"Other","1991","direct migration background","Urban Area","86","0.0381558963193513","0.0302172167553545","0.0460945758833482"
"Other","1991","direct migration background","Rural Area","21","","",""
"Other","1991","indirect migration background","Urban Area","73","0.209863091162964","0.164386077305021","0.255340105020906"
"Other","1991","indirect migration background","Rural Area","7","","",""
"Full-time","1992","no migration background","Urban Area","3015","0.438186866984692","0.425942738710713","0.450430995258672"
"Full-time","1992","no migration background","Rural Area","1942","0.426174512516597","0.41081679795637","0.441532227076824"
"Full-time","1992","direct migration background","Urban Area","1165","0.491159821129889","0.470121047073526","0.512198595186252"
"Full-time","1992","direct migration background","Rural Area","211","0.422860850628463","0.374508798400633","0.471212902856293"
"Full-time","1992","indirect migration background","Urban Area","105","0.247863491658214","0.202885394682067","0.292841588634362"
"Full-time","1992","indirect migration background","Rural Area","18","","",""
"Part-time","1992","no migration background","Urban Area","503","0.0761750388366357","0.0696286252869976","0.0827214523862737"
"Part-time","1992","no migration background","Rural Area","251","0.0670594544447004","0.0592916205574884","0.0748272883319124"
"Part-time","1992","direct migration background","Urban Area","138","0.0615699417150846","0.0514540623589942","0.0716858210711751"
"Part-time","1992","direct migration background","Rural Area","22","","",""
"Part-time","1992","indirect migration background","Urban Area","22","","",""
"Part-time","1992","indirect migration background","Rural Area","4","","",""
"Non-working","1992","no migration background","Urban Area","2492","0.443675717396164","0.431415474141478","0.45593596065085"
"Non-working","1992","no migration background","Rural Area","1594","0.459035629654665","0.443559923787301","0.47451133552203"
"Non-working","1992","direct migration background","Urban Area","792","0.412546472720127","0.391828774055703","0.43326417138455"
"Non-working","1992","direct migration background","Rural Area","155","0.446842553708989","0.398181943718224","0.495503163699753"
"Non-working","1992","indirect migration background","Urban Area","152","0.457652937765855","0.405754625682385","0.509551249849326"
"Non-working","1992","indirect migration background","Rural Area","23","","",""
"Other","1992","no migration background","Urban Area","298","0.0419623767825079","0.0370144465133542","0.0469103070516617"
"Other","1992","no migration background","Rural Area","196","0.0477304033840376","0.0411094512292323","0.054351355538843"
"Other","1992","direct migration background","Urban Area","74","0.0347237644348996","0.0270190326846844","0.0424284961851148"
"Other","1992","direct migration background","Rural Area","13","","",""
"Other","1992","indirect migration background","Urban Area","75","0.194495066950647","0.153263023625165","0.235727110276129"
"Other","1992","indirect migration background","Rural Area","12","","",""
"Full-time","1993","no migration background","Urban Area","2965","0.433491737062685","0.421231463525745","0.445752010599625"
"Full-time","1993","no migration background","Rural Area","1852","0.4134207035783","0.398020664336723","0.428820742819878"
"Full-time","1993","direct migration background","Urban Area","1098","0.492485754229855","0.471093019596926","0.513878488862784"
"Full-time","1993","direct migration background","Rural Area","209","0.448859660004814","0.400117532284783","0.497601787724844"
"Full-time","1993","indirect migration background","Urban Area","137","0.275625555339099","0.232054436753423","0.319196673924776"
"Full-time","1993","indirect migration background","Rural Area","17","","",""
"Part-time","1993","no migration background","Urban Area","492","0.0760427576421074","0.0694849074786073","0.0826006078056075"
"Part-time","1993","no migration background","Rural Area","255","0.0687320632803176","0.06082018918794","0.0766439373726951"
"Part-time","1993","direct migration background","Urban Area","143","0.0637217285386951","0.0532699163905946","0.0741735406867956"
"Part-time","1993","direct migration background","Rural Area","14","","",""
"Part-time","1993","indirect migration background","Urban Area","12","","",""
"Part-time","1993","indirect migration background","Rural Area","4","","",""
"Non-working","1993","no migration background","Urban Area","2510","0.443488400206076","0.431197466771843","0.45577933364031"
"Non-working","1993","no migration background","Rural Area","1596","0.466617890880457","0.451016537758892","0.482219244002022"
"Non-working","1993","direct migration background","Urban Area","798","0.415618829436986","0.394530554087556","0.436707104786417"
"Non-working","1993","direct migration background","Rural Area","169","0.474585170741569","0.425649410430628","0.52352093105251"
"Non-working","1993","indirect migration background","Urban Area","161","0.454511154803646","0.405957422600448","0.503064887006845"
"Non-working","1993","indirect migration background","Rural Area","26","","",""
"Other","1993","no migration background","Urban Area","309","0.0469771050891313","0.0417422891541257","0.052211921024137"
"Other","1993","no migration background","Rural Area","225","0.0512293422609249","0.0443348488015953","0.0581238357202545"
"Other","1993","direct migration background","Urban Area","59","0.0281736877944634","0.0210932269631573","0.0352541486257695"
"Other","1993","direct migration background","Rural Area","8","","",""
"Other","1993","indirect migration background","Urban Area","94","0.228446306053001","0.18750774667099","0.269384865435012"
"Other","1993","indirect migration background","Rural Area","25","","",""
"Full-time","1994","no migration background","Urban Area","2881","0.426778051533055","0.414468431325061","0.439087671741049"
"Full-time","1994","no migration background","Rural Area","1793","0.403223726595537","0.387772632750257","0.418674820440817"
"Full-time","1994","direct migration background","Urban Area","976","0.454299169864226","0.43247237469914","0.476125965029312"
"Full-time","1994","direct migration background","Rural Area","180","0.375659961565268","0.326643663819867","0.424676259310669"
"Full-time","1994","indirect migration background","Urban Area","150","0.298432454909883","0.254981326214812","0.341883583604955"
"Full-time","1994","indirect migration background","Rural Area","20","","",""
"Part-time","1994","no migration background","Urban Area","472","0.0728357494253839","0.0663683029145452","0.0793031959362227"
"Part-time","1994","no migration background","Rural Area","254","0.0678514475180511","0.0599300366470251","0.0757728583890771"
"Part-time","1994","direct migration background","Urban Area","126","0.0607698196892968","0.0502968056069935","0.0712428337716001"
"Part-time","1994","direct migration background","Rural Area","15","","",""
"Part-time","1994","indirect migration background","Urban Area","15","","",""
"Part-time","1994","indirect migration background","Rural Area","4","","",""
"Non-working","1994","no migration background","Urban Area","2563","0.459125201103663","0.446723074819344","0.471527327387982"
"Non-working","1994","no migration background","Rural Area","1592","0.4742175655829","0.458489610090167","0.489945521075634"
"Non-working","1994","direct migration background","Urban Area","835","0.452034388580227","0.430216933840255","0.473851843320198"
"Non-working","1994","direct migration background","Rural Area","170","0.529984284822325","0.479469309790132","0.580499259854518"
"Non-working","1994","indirect migration background","Urban Area","175","0.457044347544812","0.409739609493002","0.504349085596621"
"Non-working","1994","indirect migration background","Rural Area","27","","",""
"Other","1994","no migration background","Urban Area","286","0.0412609979378985","0.0363110313050643","0.0462109645707326"
"Other","1994","no migration background","Rural Area","233","0.0547072603035113","0.0475444069317952","0.0618701136752275"
"Other","1994","direct migration background","Urban Area","62","0.0328966218662506","0.0250775753730603","0.040715668359441"
"Other","1994","direct migration background","Rural Area","10","","",""
"Other","1994","indirect migration background","Urban Area","86","0.186887982043691","0.149870304429786","0.223905659657596"
"Other","1994","indirect migration background","Rural Area","19","","",""
"Full-time","1995","no migration background","Urban Area","2825","0.420026922956933","0.40764615060844","0.432407695305425"
"Full-time","1995","no migration background","Rural Area","1863","0.410333430566974","0.394968270550084","0.425698590583863"
"Full-time","1995","direct migration background","Urban Area","1087","0.414069736301388","0.394146551896662","0.433992920706115"
"Full-time","1995","direct migration background","Rural Area","199","0.358270123893478","0.314735323363687","0.401804924423269"
"Full-time","1995","indirect migration background","Urban Area","163","0.319401247779865","0.275737107432799","0.363065388126932"
"Full-time","1995","indirect migration background","Rural Area","20","","",""
"Part-time","1995","no migration background","Urban Area","508","0.0759829561738942","0.0693362980520471","0.0826296142957413"
"Part-time","1995","no migration background","Rural Area","274","0.071416091171979","0.0633720553019479","0.0794601270420101"
"Part-time","1995","direct migration background","Urban Area","143","0.0587613576253661","0.0492488541224622","0.06827386112827"
"Part-time","1995","direct migration background","Rural Area","29","","",""
"Part-time","1995","indirect migration background","Urban Area","19","","",""
"Part-time","1995","indirect migration background","Rural Area","5","","",""
"Non-working","1995","no migration background","Urban Area","2472","0.459825511431784","0.447323818633382","0.472327204230186"
"Non-working","1995","no migration background","Rural Area","1559","0.462907712471206","0.447332389895382","0.478483035047031"
"Non-working","1995","direct migration background","Urban Area","1035","0.486348879307417","0.46613232557288","0.506565433041953"
"Non-working","1995","direct migration background","Rural Area","217","0.533653596795616","0.488359753951965","0.578947439639267"
"Non-working","1995","indirect migration background","Urban Area","172","0.436305947757149","0.389862085467489","0.48274981004681"
"Non-working","1995","indirect migration background","Rural Area","29","","",""
"Other","1995","no migration background","Urban Area","300","0.0441646094373894","0.0390107329407175","0.0493184859340614"
"Other","1995","no migration background","Rural Area","241","0.0553427657898409","0.0482005504402711","0.0624849811394107"
"Other","1995","direct migration background","Urban Area","83","0.0408200267658288","0.0328164200757094","0.0488236334559482"
"Other","1995","direct migration background","Rural Area","21","","",""
"Other","1995","indirect migration background","Urban Area","84","0.190124744082103","0.153376260552823","0.226873227611383"
"Other","1995","indirect migration background","Rural Area","21","","",""
"Full-time","1996","no migration background","Urban Area","2762","0.415004651392208","0.402592999932607","0.427416302851809"
"Full-time","1996","no migration background","Rural Area","1801","0.400057490023298","0.384679927757727","0.415435052288868"
"Full-time","1996","direct migration background","Urban Area","959","0.398253667117056","0.377670848554879","0.418836485679232"
"Full-time","1996","direct migration background","Rural Area","193","0.343638958765538","0.299661343163628","0.387616574367448"
"Full-time","1996","indirect migration background","Urban Area","180","0.319204348241425","0.276696424848243","0.361712271634607"
"Full-time","1996","indirect migration background","Rural Area","21","","",""
"Part-time","1996","no migration background","Urban Area","548","0.0837925796844121","0.0768130434598885","0.0907721159089357"
"Part-time","1996","no migration background","Rural Area","290","0.0806996954363271","0.0721502858609308","0.0892491050117234"
"Part-time","1996","direct migration background","Urban Area","166","0.0705342727958217","0.0597687527335547","0.0812997928580886"
"Part-time","1996","direct migration background","Rural Area","28","","",""
"Part-time","1996","indirect migration background","Urban Area","17","","",""
"Part-time","1996","indirect migration background","Rural Area","6","","",""
"Non-working","1996","no migration background","Urban Area","2444","0.456835472128606","0.444287530437467","0.469383413819746"
"Non-working","1996","no migration background","Rural Area","1591","0.474191282326779","0.458517920943664","0.489864643709895"
"Non-working","1996","direct migration background","Urban Area","969","0.488015236627217","0.466998589280559","0.509031883973874"
"Non-working","1996","direct migration background","Rural Area","211","0.549945250177169","0.503877024410586","0.596013475943753"
"Non-working","1996","indirect migration background","Urban Area","188","0.460275613081494","0.41482684596537","0.505724380197619"
"Non-working","1996","indirect migration background","Rural Area","39","0.421033838821744","0.317287314450413","0.524780363193075"
"Other","1996","no migration background","Urban Area","300","0.0443672967947734","0.039180444642173","0.0495541489473738"
"Other","1996","no migration background","Rural Area","217","0.0450515322135961","0.0385410040107318","0.0515620604164604"
"Other","1996","direct migration background","Urban Area","79","0.043196823459906","0.0346490020890712","0.0517446448307408"
"Other","1996","direct migration background","Rural Area","16","","",""
"Other","1996","indirect migration background","Urban Area","77","0.17195915064852","0.137550659399513","0.206367641897526"
"Other","1996","indirect migration background","Rural Area","21","","",""
"Full-time","1997","no migration background","Urban Area","2671","0.407162663219418","0.394717654393341","0.419607672045494"
"Full-time","1997","no migration background","Rural Area","1783","0.397418440257208","0.381980606334201","0.412856274180215"
"Full-time","1997","direct migration background","Urban Area","902","0.395833367860075","0.37476662050973","0.41690011521042"
"Full-time","1997","direct migration background","Rural Area","182","0.356369091708685","0.310674970815741","0.402063212601628"
"Full-time","1997","indirect migration background","Urban Area","182","0.313789065863577","0.272744556834433","0.354833574892721"
"Full-time","1997","indirect migration background","Rural Area","25","","",""
"Part-time","1997","no migration background","Urban Area","532","0.0841342057889679","0.0771027430240798","0.091165668553856"
"Part-time","1997","no migration background","Rural Area","261","0.0692996507329953","0.0612879466494199","0.0773113548165707"
"Part-time","1997","direct migration background","Urban Area","139","0.0735896683362334","0.0623417271713306","0.0848376095011362"
"Part-time","1997","direct migration background","Rural Area","22","","",""
"Part-time","1997","indirect migration background","Urban Area","29","","",""
"Part-time","1997","indirect migration background","Rural Area","11","","",""
"Non-working","1997","no migration background","Urban Area","2490","0.468626651775081","0.455986367591357","0.481266935958804"
"Non-working","1997","no migration background","Rural Area","1608","0.490102465015409","0.474332187409499","0.505872742621319"
"Non-working","1997","direct migration background","Urban Area","962","0.493687495648503","0.472149845973063","0.515225145323943"
"Non-working","1997","direct migration background","Rural Area","203","0.543243815251327","0.495717791666192","0.590769838836463"
"Non-working","1997","indirect migration background","Urban Area","188","0.416464610841062","0.372860242842069","0.460068978840055"
"Non-working","1997","indirect migration background","Rural Area","33","0.384904815390295","0.280851413436725","0.488958217343866"
"Other","1997","no migration background","Urban Area","294","0.0400764792165334","0.0351081935484516","0.0450447648846152"
"Other","1997","no migration background","Rural Area","208","0.0431794439943878","0.036767227010715","0.0495916609780606"
"Other","1997","direct migration background","Urban Area","67","0.0368894681551885","0.0287695401005181","0.0450093962098589"
"Other","1997","direct migration background","Rural Area","15","","",""
"Other","1997","indirect migration background","Urban Area","92","0.19457172481292","0.159556199572297","0.229587250053544"
"Other","1997","indirect migration background","Rural Area","15","","",""
"Full-time","1998","no migration background","Urban Area","3048","0.4037397441031","0.392175408634671","0.415304079571529"
"Full-time","1998","no migration background","Rural Area","1938","0.384285733125296","0.369891749215256","0.398679717035335"
"Full-time","1998","direct migration background","Urban Area","876","0.415776431998489","0.394251696259507","0.43730116773747"
"Full-time","1998","direct migration background","Rural Area","161","0.342614262355648","0.296507593717828","0.388720930993468"
"Full-time","1998","indirect migration background","Urban Area","193","0.331002093538967","0.29028121322335","0.371722973854584"
"Full-time","1998","indirect migration background","Rural Area","27","","",""
"Part-time","1998","no migration background","Urban Area","616","0.0872087150249424","0.080558775665883","0.0938586543840019"
"Part-time","1998","no migration background","Rural Area","304","0.0729281734167437","0.065233881953951","0.0806224648795365"
"Part-time","1998","direct migration background","Urban Area","139","0.0756143859086272","0.0640679709387839","0.0871608008784706"
"Part-time","1998","direct migration background","Rural Area","23","","",""
"Part-time","1998","indirect migration background","Urban Area","24","","",""
"Part-time","1998","indirect migration background","Rural Area","8","","",""
"Non-working","1998","no migration background","Urban Area","2916","0.468691062593446","0.456929395154386","0.480452730032507"
"Non-working","1998","no migration background","Rural Area","1870","0.490772205410229","0.475979067592499","0.505565343227958"
"Non-working","1998","direct migration background","Urban Area","928","0.469752497984498","0.447955723914106","0.491549272054889"
"Non-working","1998","direct migration background","Rural Area","209","0.57738658212786","0.529396016263411","0.625377147992308"
"Non-working","1998","indirect migration background","Urban Area","208","0.45609258795617","0.41299247540303","0.49919270050931"
