"erwst","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","(3a) lower tertiary education","in school","","","",""
"Full-time","1984","(3a) lower tertiary education","inadequately","","","",""
"Full-time","1984","(3a) lower tertiary education","general elemantary","","","",""
"Full-time","1984","(3a) lower tertiary education","middle vocational","","","",""
"Full-time","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Full-time","1984","(3a) lower tertiary education","higher vocational","","","",""
"Full-time","1984","(3a) lower tertiary education","higher education","181","0.654309450051007","0.597155977461616","0.711462922640398"
"Full-time","1984","(3b) higher tertiary education","in school","","","",""
"Full-time","1984","(3b) higher tertiary education","inadequately","","","",""
"Full-time","1984","(3b) higher tertiary education","general elemantary","","","",""
"Full-time","1984","(3b) higher tertiary education","middle vocational","","","",""
"Full-time","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Full-time","1984","(3b) higher tertiary education","higher vocational","","","",""
"Full-time","1984","(3b) higher tertiary education","higher education","356","0.643803596947565","0.602918573837158","0.684688620057971"
"Part-time","1984","(0) in school","in school","","","",""
"Part-time","1984","(0) in school","inadequately","","","",""
"Part-time","1984","(0) in school","general elemantary","","","",""
"Part-time","1984","(0) in school","middle vocational","","","",""
"Part-time","1984","(0) in school","vocational + Abi","","","",""
"Part-time","1984","(0) in school","higher vocational","","","",""
"Part-time","1984","(0) in school","higher education","","","",""
"Part-time","1984","(1a) inadequately completed","in school","","","",""
"Part-time","1984","(1a) inadequately completed","inadequately","","","",""
"Part-time","1984","(1a) inadequately completed","general elemantary","","","",""
"Part-time","1984","(1a) inadequately completed","middle vocational","","","",""
"Part-time","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Part-time","1984","(1a) inadequately completed","higher vocational","","","",""
"Part-time","1984","(1a) inadequately completed","higher education","","","",""
"Part-time","1984","(1b) general elementary school","in school","","","",""
"Part-time","1984","(1b) general elementary school","inadequately","","","",""
"Part-time","1984","(1b) general elementary school","general elemantary","163","0.0564109557605898","0.0481427160637","0.0646791954574797"
"Part-time","1984","(1b) general elementary school","middle vocational","","","",""
"Part-time","1984","(1b) general elementary school","vocational + Abi","","","",""
"Part-time","1984","(1b) general elementary school","higher vocational","","","",""
"Part-time","1984","(1b) general elementary school","higher education","","","",""
"Part-time","1984","(1c) basic vocational qualification","in school","","","",""
"Part-time","1984","(1c) basic vocational qualification","inadequately","","","",""
"Part-time","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Part-time","1984","(1c) basic vocational qualification","middle vocational","217","0.0540813606708091","0.0470448356202868","0.0611178857213314"
"Part-time","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Part-time","1984","(1c) basic vocational qualification","higher vocational","","","",""
"Part-time","1984","(1c) basic vocational qualification","higher education","","","",""
"Part-time","1984","(2b) intermediate general qualification","in school","","","",""
"Part-time","1984","(2b) intermediate general qualification","inadequately","","","",""
"Part-time","1984","(2b) intermediate general qualification","general elemantary","","","",""
"Part-time","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Part-time","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Part-time","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Part-time","1984","(2b) intermediate general qualification","higher education","","","",""
"Part-time","1984","(2a) intermediate vocational","in school","","","",""
"Part-time","1984","(2a) intermediate vocational","inadequately","","","",""
"Part-time","1984","(2a) intermediate vocational","general elemantary","","","",""
"Part-time","1984","(2a) intermediate vocational","middle vocational","99","0.0707395046392744","0.0562331860058749","0.0852458232726738"
"Part-time","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Part-time","1984","(2a) intermediate vocational","higher vocational","","","",""
"Part-time","1984","(2a) intermediate vocational","higher education","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","in school","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","middle vocational","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Part-time","1984","(3a) lower tertiary education","in school","","","",""
"Part-time","1984","(3a) lower tertiary education","inadequately","","","",""
"Part-time","1984","(3a) lower tertiary education","general elemantary","","","",""
"Part-time","1984","(3a) lower tertiary education","middle vocational","","","",""
"Part-time","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Part-time","1984","(3a) lower tertiary education","higher vocational","","","",""
"Part-time","1984","(3a) lower tertiary education","higher education","","","",""
"Part-time","1984","(3b) higher tertiary education","in school","","","",""
"Part-time","1984","(3b) higher tertiary education","inadequately","","","",""
"Part-time","1984","(3b) higher tertiary education","general elemantary","","","",""
"Part-time","1984","(3b) higher tertiary education","middle vocational","","","",""
"Part-time","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Part-time","1984","(3b) higher tertiary education","higher vocational","","","",""
"Part-time","1984","(3b) higher tertiary education","higher education","46","0.0884015337650938","0.0641647785641706","0.112638288966017"
"Non-working","1984","(0) in school","in school","184","0.982945434617734","0.96438824006594","1.00150262916953"
"Non-working","1984","(0) in school","inadequately","","","",""
"Non-working","1984","(0) in school","general elemantary","","","",""
"Non-working","1984","(0) in school","middle vocational","","","",""
"Non-working","1984","(0) in school","vocational + Abi","","","",""
"Non-working","1984","(0) in school","higher vocational","","","",""
"Non-working","1984","(0) in school","higher education","","","",""
"Non-working","1984","(1a) inadequately completed","in school","","","",""
"Non-working","1984","(1a) inadequately completed","inadequately","408","0.481114299580851","0.450068951435091","0.512159647726611"
"Non-working","1984","(1a) inadequately completed","general elemantary","","","",""
"Non-working","1984","(1a) inadequately completed","middle vocational","37","0.429697430818624","0.339998100084918","0.51939676155233"
"Non-working","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Non-working","1984","(1a) inadequately completed","higher vocational","","","",""
"Non-working","1984","(1a) inadequately completed","higher education","","","",""
"Non-working","1984","(1b) general elementary school","in school","","","",""
"Non-working","1984","(1b) general elementary school","inadequately","","","",""
"Non-working","1984","(1b) general elementary school","general elemantary","1577","0.64126683696712","0.624078057546683","0.658455616387556"
"Non-working","1984","(1b) general elementary school","middle vocational","","","",""
"Non-working","1984","(1b) general elementary school","vocational + Abi","","","",""
"Non-working","1984","(1b) general elementary school","higher vocational","","","",""
"Non-working","1984","(1b) general elementary school","higher education","","","",""
"Non-working","1984","(1c) basic vocational qualification","in school","","","",""
"Non-working","1984","(1c) basic vocational qualification","inadequately","","","",""
"Non-working","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Non-working","1984","(1c) basic vocational qualification","middle vocational","1439","0.419984442646879","0.404629649703151","0.435339235590606"
"Non-working","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Non-working","1984","(1c) basic vocational qualification","higher vocational","85","0.320362704928291","0.267561110009292","0.373164299847291"
"Non-working","1984","(1c) basic vocational qualification","higher education","","","",""
"Non-working","1984","(2b) intermediate general qualification","in school","","","",""
"Non-working","1984","(2b) intermediate general qualification","inadequately","","","",""
"Non-working","1984","(2b) intermediate general qualification","general elemantary","247","0.537424114251542","0.49267968520408","0.582168543299004"
"Non-working","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Non-working","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Non-working","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Non-working","1984","(2b) intermediate general qualification","higher education","","","",""
"Non-working","1984","(2a) intermediate vocational","in school","","","",""
"Non-working","1984","(2a) intermediate vocational","inadequately","","","",""
"Non-working","1984","(2a) intermediate vocational","general elemantary","","","",""
"Non-working","1984","(2a) intermediate vocational","middle vocational","397","0.366354819801479","0.339094465838313","0.393615173764644"
"Non-working","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Non-working","1984","(2a) intermediate vocational","higher vocational","66","0.355147375352941","0.290575796730768","0.419718953975114"
"Non-working","1984","(2a) intermediate vocational","higher education","","","",""
"Non-working","1984","(2c_gen) general maturity certificate","in school","","","",""
"Non-working","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Non-working","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Non-working","1984","(2c_gen) general maturity certificate","middle vocational","254","0.673514168223732","0.628398272898329","0.718630063549136"
"Non-working","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Non-working","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Non-working","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Non-working","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Non-working","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Non-working","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Non-working","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Non-working","1984","(2c_voc) vocational maturity certificate","vocational + Abi","99","0.378781855247547","0.324956433231995","0.4326072772631"
"Non-working","1984","(2c_voc) vocational maturity certificate","higher vocational","52","0.407677863679254","0.327416895928715","0.487938831429794"
"Non-working","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Non-working","1984","(3a) lower tertiary education","in school","","","",""
"Non-working","1984","(3a) lower tertiary education","inadequately","","","",""
"Non-working","1984","(3a) lower tertiary education","general elemantary","","","",""
"Non-working","1984","(3a) lower tertiary education","middle vocational","","","",""
"Non-working","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Non-working","1984","(3a) lower tertiary education","higher vocational","","","",""
"Non-working","1984","(3a) lower tertiary education","higher education","65","0.265326520773668","0.212269264822561","0.318383776724776"
"Non-working","1984","(3b) higher tertiary education","in school","","","",""
"Non-working","1984","(3b) higher tertiary education","inadequately","","","",""
"Non-working","1984","(3b) higher tertiary education","general elemantary","","","",""
"Non-working","1984","(3b) higher tertiary education","middle vocational","","","",""
"Non-working","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Non-working","1984","(3b) higher tertiary education","higher vocational","","","",""
"Non-working","1984","(3b) higher tertiary education","higher education","105","0.232334347524154","0.196277683119524","0.268391011928784"
"Other","1984","(0) in school","in school","","","",""
"Other","1984","(0) in school","inadequately","","","",""
"Other","1984","(0) in school","general elemantary","","","",""
"Other","1984","(0) in school","middle vocational","","","",""
"Other","1984","(0) in school","vocational + Abi","","","",""
"Other","1984","(0) in school","higher vocational","","","",""
"Other","1984","(0) in school","higher education","","","",""
"Other","1984","(1a) inadequately completed","in school","","","",""
"Other","1984","(1a) inadequately completed","inadequately","","","",""
"Other","1984","(1a) inadequately completed","general elemantary","","","",""
"Other","1984","(1a) inadequately completed","middle vocational","","","",""
"Other","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Other","1984","(1a) inadequately completed","higher vocational","","","",""
"Other","1984","(1a) inadequately completed","higher education","","","",""
"Other","1984","(1b) general elementary school","in school","","","",""
"Other","1984","(1b) general elementary school","inadequately","","","",""
"Other","1984","(1b) general elementary school","general elemantary","258","0.0822751236643973","0.0724275234659052","0.0921227238628893"
"Other","1984","(1b) general elementary school","middle vocational","","","",""
"Other","1984","(1b) general elementary school","vocational + Abi","","","",""
"Other","1984","(1b) general elementary school","higher vocational","","","",""
"Other","1984","(1b) general elementary school","higher education","","","",""
"Other","1984","(1c) basic vocational qualification","in school","","","",""
"Other","1984","(1c) basic vocational qualification","inadequately","","","",""
"Other","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Other","1984","(1c) basic vocational qualification","middle vocational","139","0.0305382011109187","0.0251852334793021","0.0358911687425352"
"Other","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Other","1984","(1c) basic vocational qualification","higher vocational","","","",""
"Other","1984","(1c) basic vocational qualification","higher education","","","",""
"Other","1984","(2b) intermediate general qualification","in school","","","",""
"Other","1984","(2b) intermediate general qualification","inadequately","","","",""
"Other","1984","(2b) intermediate general qualification","general elemantary","145","0.289454011276788","0.248755850441722","0.330152172111854"
"Other","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Other","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Other","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Other","1984","(2b) intermediate general qualification","higher education","","","",""
"Other","1984","(2a) intermediate vocational","in school","","","",""
"Other","1984","(2a) intermediate vocational","inadequately","","","",""
"Other","1984","(2a) intermediate vocational","general elemantary","","","",""
"Other","1984","(2a) intermediate vocational","middle vocational","63","0.0474381968041087","0.0354108970314787","0.0594654965767386"
"Other","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Other","1984","(2a) intermediate vocational","higher vocational","","","",""
"Other","1984","(2a) intermediate vocational","higher education","","","",""
"Other","1984","(2c_gen) general maturity certificate","in school","","","",""
"Other","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Other","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Other","1984","(2c_gen) general maturity certificate","middle vocational","78","0.212186341888217","0.172849951232245","0.251522732544189"
"Other","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Other","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Other","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"Other","1984","(3a) lower tertiary education","in school","","","",""
"Other","1984","(3a) lower tertiary education","inadequately","","","",""
"Other","1984","(3a) lower tertiary education","general elemantary","","","",""
"Other","1984","(3a) lower tertiary education","middle vocational","","","",""
"Other","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"Other","1984","(3a) lower tertiary education","higher vocational","","","",""
"Other","1984","(3a) lower tertiary education","higher education","","","",""
"Other","1984","(3b) higher tertiary education","in school","","","",""
"Other","1984","(3b) higher tertiary education","inadequately","","","",""
"Other","1984","(3b) higher tertiary education","general elemantary","","","",""
"Other","1984","(3b) higher tertiary education","middle vocational","","","",""
"Other","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"Other","1984","(3b) higher tertiary education","higher vocational","","","",""
"Other","1984","(3b) higher tertiary education","higher education","","","",""
"Full-time","1985","(0) in school","in school","","","",""
"Full-time","1985","(0) in school","inadequately","","","",""
"Full-time","1985","(0) in school","general elemantary","","","",""
"Full-time","1985","(0) in school","middle vocational","","","",""
"Full-time","1985","(0) in school","vocational + Abi","","","",""
"Full-time","1985","(0) in school","higher vocational","","","",""
"Full-time","1985","(0) in school","higher education","","","",""
"Full-time","1985","(1a) inadequately completed","in school","","","",""
"Full-time","1985","(1a) inadequately completed","inadequately","422","0.415836744422821","0.382102598916363","0.44957088992928"
"Full-time","1985","(1a) inadequately completed","general elemantary","","","",""
"Full-time","1985","(1a) inadequately completed","middle vocational","58","0.481211928339267","0.380205887739571","0.582217968938964"
"Full-time","1985","(1a) inadequately completed","vocational + Abi","","","",""
"Full-time","1985","(1a) inadequately completed","higher vocational","","","",""
"Full-time","1985","(1a) inadequately completed","higher education","","","",""
"Full-time","1985","(1b) general elementary school","in school","","","",""
"Full-time","1985","(1b) general elementary school","inadequately","","","",""
"Full-time","1985","(1b) general elementary school","general elemantary","926","0.241619384432417","0.225178048624159","0.258060720240675"
"Full-time","1985","(1b) general elementary school","middle vocational","","","",""
"Full-time","1985","(1b) general elementary school","vocational + Abi","","","",""
"Full-time","1985","(1b) general elementary school","higher vocational","","","",""
"Full-time","1985","(1b) general elementary school","higher education","","","",""
"Full-time","1985","(1c) basic vocational qualification","in school","","","",""
"Full-time","1985","(1c) basic vocational qualification","inadequately","","","",""
"Full-time","1985","(1c) basic vocational qualification","general elemantary","","","",""
"Full-time","1985","(1c) basic vocational qualification","middle vocational","1927","0.48310093457799","0.466676552962992","0.499525316192989"
"Full-time","1985","(1c) basic vocational qualification","vocational + Abi","","","",""
"Full-time","1985","(1c) basic vocational qualification","higher vocational","177","0.604544682154419","0.547376044400415","0.661713319908423"
"Full-time","1985","(1c) basic vocational qualification","higher education","","","",""
"Full-time","1985","(2b) intermediate general qualification","in school","","","",""
"Full-time","1985","(2b) intermediate general qualification","inadequately","","","",""
"Full-time","1985","(2b) intermediate general qualification","general elemantary","102","0.20900273342586","0.172437802227002","0.245567664624719"
"Full-time","1985","(2b) intermediate general qualification","middle vocational","","","",""
"Full-time","1985","(2b) intermediate general qualification","vocational + Abi","","","",""
"Full-time","1985","(2b) intermediate general qualification","higher vocational","","","",""
"Full-time","1985","(2b) intermediate general qualification","higher education","","","",""
"Full-time","1985","(2a) intermediate vocational","in school","","","",""
"Full-time","1985","(2a) intermediate vocational","inadequately","","","",""
"Full-time","1985","(2a) intermediate vocational","general elemantary","","","",""
"Full-time","1985","(2a) intermediate vocational","middle vocational","637","0.533707169861004","0.504799308300699","0.562615031421309"
"Full-time","1985","(2a) intermediate vocational","vocational + Abi","","","",""
"Full-time","1985","(2a) intermediate vocational","higher vocational","100","0.469811053243282","0.400642284813435","0.538979821673128"
"Full-time","1985","(2a) intermediate vocational","higher education","","","",""
"Full-time","1985","(2c_gen) general maturity certificate","in school","","","",""
"Full-time","1985","(2c_gen) general maturity certificate","inadequately","","","",""
"Full-time","1985","(2c_gen) general maturity certificate","general elemantary","","","",""
"Full-time","1985","(2c_gen) general maturity certificate","middle vocational","78","0.146118593778318","0.11051009116217","0.181727096394466"
"Full-time","1985","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Full-time","1985","(2c_gen) general maturity certificate","higher vocational","","","",""
"Full-time","1985","(2c_gen) general maturity certificate","higher education","","","",""
"Full-time","1985","(2c_voc) vocational maturity certificate","in school","","","",""
"Full-time","1985","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Full-time","1985","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Full-time","1985","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Full-time","1985","(2c_voc) vocational maturity certificate","vocational + Abi","161","0.503977525313213","0.445414252736308","0.562540797890117"
"Full-time","1985","(2c_voc) vocational maturity certificate","higher vocational","75","0.529614986076889","0.445419641624732","0.613810330529046"
"Full-time","1985","(2c_voc) vocational maturity certificate","higher education","","","",""
"Full-time","1985","(3a) lower tertiary education","in school","","","",""
"Full-time","1985","(3a) lower tertiary education","inadequately","","","",""
"Full-time","1985","(3a) lower tertiary education","general elemantary","","","",""
"Full-time","1985","(3a) lower tertiary education","middle vocational","","","",""
"Full-time","1985","(3a) lower tertiary education","vocational + Abi","","","",""
"Full-time","1985","(3a) lower tertiary education","higher vocational","","","",""
"Full-time","1985","(3a) lower tertiary education","higher education","171","0.655449763305601","0.596304736577568","0.714594790033635"
"Full-time","1985","(3b) higher tertiary education","in school","","","",""
"Full-time","1985","(3b) higher tertiary education","inadequately","","","",""
"Full-time","1985","(3b) higher tertiary education","general elemantary","","","",""
"Full-time","1985","(3b) higher tertiary education","middle vocational","","","",""
"Full-time","1985","(3b) higher tertiary education","vocational + Abi","","","",""
"Full-time","1985","(3b) higher tertiary education","higher vocational","","","",""
"Full-time","1985","(3b) higher tertiary education","higher education","350","0.663702235511601","0.622699613143506","0.704704857879697"
"Part-time","1985","(0) in school","in school","","","",""
"Part-time","1985","(0) in school","inadequately","","","",""
"Part-time","1985","(0) in school","general elemantary","","","",""
"Part-time","1985","(0) in school","middle vocational","","","",""
"Part-time","1985","(0) in school","vocational + Abi","","","",""
"Part-time","1985","(0) in school","higher vocational","","","",""
"Part-time","1985","(0) in school","higher education","","","",""
"Part-time","1985","(1a) inadequately completed","in school","","","",""
"Part-time","1985","(1a) inadequately completed","inadequately","","","",""
"Part-time","1985","(1a) inadequately completed","general elemantary","","","",""
"Part-time","1985","(1a) inadequately completed","middle vocational","","","",""
"Part-time","1985","(1a) inadequately completed","vocational + Abi","","","",""
"Part-time","1985","(1a) inadequately completed","higher vocational","","","",""
"Part-time","1985","(1a) inadequately completed","higher education","","","",""
"Part-time","1985","(1b) general elementary school","in school","","","",""
"Part-time","1985","(1b) general elementary school","inadequately","","","",""
"Part-time","1985","(1b) general elementary school","general elemantary","182","0.0716339633918194","0.0617291405232734","0.0815387862603655"
"Part-time","1985","(1b) general elementary school","middle vocational","","","",""
"Part-time","1985","(1b) general elementary school","vocational + Abi","","","",""
"Part-time","1985","(1b) general elementary school","higher vocational","","","",""
"Part-time","1985","(1b) general elementary school","higher education","","","",""
"Part-time","1985","(1c) basic vocational qualification","in school","","","",""
"Part-time","1985","(1c) basic vocational qualification","inadequately","","","",""
"Part-time","1985","(1c) basic vocational qualification","general elemantary","","","",""
"Part-time","1985","(1c) basic vocational qualification","middle vocational","254","0.0688390949525177","0.0605176804064774","0.077160509498558"
"Part-time","1985","(1c) basic vocational qualification","vocational + Abi","","","",""
"Part-time","1985","(1c) basic vocational qualification","higher vocational","","","",""
"Part-time","1985","(1c) basic vocational qualification","higher education","","","",""
"Part-time","1985","(2b) intermediate general qualification","in school","","","",""
"Part-time","1985","(2b) intermediate general qualification","inadequately","","","",""
"Part-time","1985","(2b) intermediate general qualification","general elemantary","","","",""
"Part-time","1985","(2b) intermediate general qualification","middle vocational","","","",""
"Part-time","1985","(2b) intermediate general qualification","vocational + Abi","","","",""
"Part-time","1985","(2b) intermediate general qualification","higher vocational","","","",""
"Part-time","1985","(2b) intermediate general qualification","higher education","","","",""
"Part-time","1985","(2a) intermediate vocational","in school","","","",""
"Part-time","1985","(2a) intermediate vocational","inadequately","","","",""
"Part-time","1985","(2a) intermediate vocational","general elemantary","","","",""
"Part-time","1985","(2a) intermediate vocational","middle vocational","108","0.082005510530695","0.0661062606771323","0.0979047603842577"
"Part-time","1985","(2a) intermediate vocational","vocational + Abi","","","",""
"Part-time","1985","(2a) intermediate vocational","higher vocational","","","",""
"Part-time","1985","(2a) intermediate vocational","higher education","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","in school","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","inadequately","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","general elemantary","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","middle vocational","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","higher vocational","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","higher education","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","in school","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","higher education","","","",""
"Part-time","1985","(3a) lower tertiary education","in school","","","",""
"Part-time","1985","(3a) lower tertiary education","inadequately","","","",""
