"erwst","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Non-working","1991","no migration background","Male","1315","0.300817950104995","0.288242395466814","0.313393504743176"
"Non-working","1991","no migration background","Female","2591","0.536151034376699","0.523046384222459","0.549255684530939"
"Non-working","1991","direct migration background","Male","281","0.258451780946319","0.235328972385133","0.281574589507505"
"Non-working","1991","direct migration background","Female","616","0.536359339576384","0.508900734862721","0.563817944290047"
"Non-working","1991","indirect migration background","Male","62","0.358293575942749","0.287453427695894","0.429133724189604"
"Non-working","1991","indirect migration background","Female","76","0.435652383616265","0.36239774133636","0.508907025896171"
"Other","1991","no migration background","Male","248","0.0460266221671594","0.0402807915501273","0.0517724527841914"
"Other","1991","no migration background","Female","323","0.0561462488062604","0.050096932588909","0.0621955650236118"
"Other","1991","direct migration background","Male","52","0.038928835557274","0.0287125128890661","0.0491451582254819"
"Other","1991","direct migration background","Female","55","0.044658851171938","0.0332853860763434","0.0560323162675326"
"Other","1991","indirect migration background","Male","44","0.210266074519362","0.15006326516678","0.270468883871943"
"Other","1991","indirect migration background","Female","36","0.183912643564374","0.126677091609563","0.241148195519185"
"Full-time","1992","no migration background","Male","3263","0.620171564693542","0.606648257684657","0.633694871702427"
"Full-time","1992","no migration background","Female","1763","0.26852573507509","0.256771226276414","0.280280243873767"
"Full-time","1992","direct migration background","Male","971","0.658403601392911","0.632954472765468","0.683852730020354"
"Full-time","1992","direct migration background","Female","405","0.293257622567209","0.267887739677351","0.318627505457067"
"Full-time","1992","indirect migration background","Male","71","0.346217602536483","0.28156178498746","0.410873420085507"
"Full-time","1992","indirect migration background","Female","52","0.175036296033631","0.122762799584617","0.227309792482644"
"Part-time","1992","no migration background","Male","52","0.0138875614178863","0.0106268718026848","0.0171482510330878"
"Part-time","1992","no migration background","Female","705","0.126356400220782","0.117544333536557","0.135168466905006"
"Part-time","1992","direct migration background","Male","","","",""
"Part-time","1992","direct migration background","Female","146","0.124411946602012","0.106019301220118","0.142804591983907"
"Part-time","1992","indirect migration background","Male","","","",""
"Part-time","1992","indirect migration background","Female","","","",""
"Non-working","1992","no migration background","Male","1402","0.323703512894153","0.3106665773732","0.336740448415106"
"Non-working","1992","no migration background","Female","2721","0.559932552443515","0.546766988001095","0.573098116885935"
"Non-working","1992","direct migration background","Male","300","0.285791558386067","0.261547385961345","0.310035730810789"
"Non-working","1992","direct migration background","Female","648","0.556064990647741","0.528377364930507","0.583752616364974"
"Non-working","1992","indirect migration background","Male","85","0.404002439318437","0.337317055014059","0.470687823622815"
"Non-working","1992","indirect migration background","Female","90","0.493627608832317","0.424851943183748","0.562403274480886"
"Other","1992","no migration background","Male","231","0.0422373609944186","0.0366332003078992","0.047841521680938"
"Other","1992","no migration background","Female","272","0.0451853122606131","0.0396763449895169","0.0506942795317093"
"Other","1992","direct migration background","Male","49","0.0473172453460205","0.0359238267203605","0.0587106639716804"
"Other","1992","direct migration background","Female","38","0.0262654401830379","0.0173534258742434","0.0351774544918324"
"Other","1992","indirect migration background","Male","47","0.220103763081551","0.163798554739934","0.276408971423168"
"Other","1992","indirect migration background","Female","40","0.162413713500965","0.11167654820865","0.213150878793281"
"Full-time","1993","no migration background","Male","3146","0.60955536312322","0.595835481996418","0.623275244250022"
"Full-time","1993","no migration background","Female","1671","0.261377540452944","0.249600439791505","0.273154641114383"
"Full-time","1993","direct migration background","Male","908","0.655762415393184","0.629895300384492","0.681629530401876"
"Full-time","1993","direct migration background","Female","399","0.304816240745342","0.278792799990657","0.330839681500027"
"Full-time","1993","indirect migration background","Male","93","0.342230671373558","0.2822047625584","0.402256580188717"
"Full-time","1993","indirect migration background","Female","61","0.200929614969931","0.149807762443241","0.25205146749662"
"Part-time","1993","no migration background","Male","47","0.0118887330180689","0.00884059412683629","0.0149368719093014"
"Part-time","1993","no migration background","Female","700","0.129771105278489","0.120763719773001","0.138778490783976"
"Part-time","1993","direct migration background","Male","","","",""
"Part-time","1993","direct migration background","Female","144","0.116226509430675","0.0981081471201331","0.134344871741217"
"Part-time","1993","indirect migration background","Male","","","",""
"Part-time","1993","indirect migration background","Female","","","",""
"Non-working","1993","no migration background","Male","1437","0.335491236465179","0.322212553996816","0.348769918933542"
"Non-working","1993","no migration background","Female","2669","0.555710641956551","0.542392295407922","0.56902898850518"
"Non-working","1993","direct migration background","Male","343","0.305175190317206","0.280104986722855","0.330245393911556"
"Non-working","1993","direct migration background","Female","624","0.553668613493813","0.525565817962879","0.581771409024747"
"Non-working","1993","indirect migration background","Male","82","0.359922436652777","0.299198036649421","0.420646836656133"
"Non-working","1993","indirect migration background","Female","105","0.499733025253231","0.435941640169535","0.563524410336928"
"Other","1993","no migration background","Male","227","0.0430646673935323","0.0373555906230778","0.0487737441639868"
"Other","1993","no migration background","Female","307","0.0531407123120163","0.0471282909873254","0.0591531336367072"
"Other","1993","direct migration background","Male","32","0.0303954931207116","0.0210490256290579","0.0397419606123652"
"Other","1993","direct migration background","Female","35","0.0252886363301705","0.0164130597129392","0.0341642129474019"
"Other","1993","indirect migration background","Male","64","0.296922177809378","0.239117166803776","0.354727188814979"
"Other","1993","indirect migration background","Female","55","0.207616326520035","0.155868680330535","0.259363972709535"
"Full-time","1994","no migration background","Male","3073","0.604051897440057","0.590180581532182","0.617923213347932"
"Full-time","1994","no migration background","Female","1601","0.252485069767446","0.240787950505385","0.264182189029507"
"Full-time","1994","direct migration background","Male","807","0.592192452803277","0.564582741503975","0.619802164102579"
"Full-time","1994","direct migration background","Female","349","0.284895869560525","0.258887739323956","0.310903999797094"
"Full-time","1994","indirect migration background","Male","104","0.417855803245322","0.356472429289882","0.479239177200763"
"Full-time","1994","indirect migration background","Female","66","0.178586722593636","0.130918638866941","0.22625480632033"
"Part-time","1994","no migration background","Male","48","0.012206104761308","0.00909164217226423","0.0153205673503517"
"Part-time","1994","no migration background","Female","678","0.124504319206485","0.115614962285136","0.133393676127834"
"Part-time","1994","direct migration background","Male","","","",""
"Part-time","1994","direct migration background","Female","135","0.118177104961288","0.0995759988573304","0.136778211065246"
"Part-time","1994","indirect migration background","Male","","","",""
"Part-time","1994","indirect migration background","Female","","","",""
"Non-working","1994","no migration background","Male","1449","0.34276130373623","0.329299016306337","0.356223591166123"
"Non-working","1994","no migration background","Female","2706","0.573307789025242","0.559990911366682","0.586624666683801"
"Non-working","1994","direct migration background","Male","373","0.371937250495971","0.344782916336987","0.399091584654954"
"Non-working","1994","direct migration background","Female","632","0.562143188001808","0.533556032567266","0.590730343436351"
"Non-working","1994","indirect migration background","Male","89","0.364373372348235","0.30447753953893","0.424269205157539"
"Non-working","1994","indirect migration background","Female","113","0.517685039791692","0.455495058747545","0.57987502083584"
"Other","1994","no migration background","Male","205","0.0409806940624054","0.035357737445297","0.0466036506795138"
"Other","1994","no migration background","Female","314","0.0497028220008276","0.0438512658766728","0.0555543781249824"
"Other","1994","direct migration background","Male","31","0.032643845320191","0.0226600272811024","0.0426276633592795"
"Other","1994","direct migration background","Female","41","0.0347838374763783","0.0242258181915862","0.0453418567611705"
"Other","1994","indirect migration background","Male","50","0.181214714606688","0.133274056123846","0.229155373089529"
"Other","1994","indirect migration background","Female","55","0.230163027841909","0.177774111644402","0.282551944039416"
"Full-time","1995","no migration background","Male","3091","0.603535790388563","0.58964098370293","0.617430597074196"
"Full-time","1995","no migration background","Female","1597","0.248681106378102","0.237023119615265","0.260339093140938"
"Full-time","1995","direct migration background","Male","907","0.561938541019339","0.536160045152055","0.587717036886624"
"Full-time","1995","direct migration background","Female","379","0.244328208362642","0.221747480508828","0.266908936216456"
"Full-time","1995","indirect migration background","Male","106","0.377190986202231","0.317818367292721","0.436563605111741"
"Full-time","1995","indirect migration background","Female","77","0.226033516793761","0.17489724903296","0.277169784554561"
"Part-time","1995","no migration background","Male","57","0.0165482181450415","0.0129245271671396","0.0201719091229434"
"Part-time","1995","no migration background","Female","725","0.126679484795524","0.117708709412038","0.13565026017901"
"Part-time","1995","direct migration background","Male","","","",""
"Part-time","1995","direct migration background","Female","157","0.107822081682401","0.0915229631815595","0.124121200183243"
"Part-time","1995","indirect migration background","Male","","","",""
"Part-time","1995","indirect migration background","Female","","","",""
"Non-working","1995","no migration background","Male","1396","0.337367491434878","0.32393715211191","0.350797830757846"
"Non-working","1995","no migration background","Female","2635","0.572058210868523","0.558713705889832","0.585402715847214"
"Non-working","1995","direct migration background","Male","459","0.392313378047789","0.366944454610498","0.41768230148508"
"Non-working","1995","direct migration background","Female","793","0.598654582867893","0.572895414610941","0.624413751124845"
"Non-working","1995","indirect migration background","Male","87","0.363750440583241","0.304819466503401","0.422681414663081"
"Non-working","1995","indirect migration background","Female","114","0.510290438223519","0.449173788861389","0.571407087585648"
"Other","1995","no migration background","Male","217","0.0425485000315174","0.0368152679890266","0.0482817320740081"
"Other","1995","no migration background","Female","324","0.0525811979578512","0.0465614785942886","0.0586009173214138"
"Other","1995","direct migration background","Male","42","0.0312304287904579","0.0221930006071035","0.0402678569738124"
"Other","1995","direct migration background","Female","62","0.049195127087064","0.0378295558375097","0.0605606983366184"
"Other","1995","indirect migration background","Male","60","0.241043024996523","0.188648733602104","0.293437316390943"
"Other","1995","indirect migration background","Female","45","0.168360275041122","0.122612607567295","0.214107942514949"
"Full-time","1996","no migration background","Male","3020","0.595431046224497","0.581442407699776","0.609419684749218"
"Full-time","1996","no migration background","Female","1543","0.242534829981828","0.230913031641847","0.254156628321808"
"Full-time","1996","direct migration background","Male","813","0.557116723999938","0.530289672570538","0.583943775429338"
"Full-time","1996","direct migration background","Female","339","0.220643255718497","0.198135988202388","0.243150523234606"
"Full-time","1996","indirect migration background","Male","119","0.39787267689441","0.339381794066298","0.456363559722521"
"Full-time","1996","indirect migration background","Female","82","0.23041409844977","0.181090795525593","0.279737401373947"
"Part-time","1996","no migration background","Male","81","0.0210893618568723","0.0169942414333938","0.0251844822803508"
"Part-time","1996","no migration background","Female","757","0.138597896499298","0.129229047763639","0.147966745234958"
"Part-time","1996","direct migration background","Male","","","",""
"Part-time","1996","direct migration background","Female","176","0.124047874923529","0.106156482356109","0.141939267490949"
"Part-time","1996","indirect migration background","Male","","","",""
"Part-time","1996","indirect migration background","Female","","","",""
"Non-working","1996","no migration background","Male","1423","0.345088917824584","0.331539516389066","0.358638319260102"
"Non-working","1996","no migration background","Female","2613","0.568686385824636","0.555257563038225","0.582115208611048"
"Non-working","1996","direct migration background","Male","444","0.389382584237984","0.363047903447016","0.415717265028952"
"Non-working","1996","direct migration background","Female","736","0.608278442049472","0.581784337586787","0.634772546512157"
"Non-working","1996","indirect migration background","Male","94","0.396058581785211","0.33761335175718","0.454503811813242"
"Non-working","1996","indirect migration background","Female","133","0.509813906209449","0.451260062743708","0.568367749675191"
"Other","1996","no migration background","Male","205","0.0383906740940466","0.0329145203033536","0.0438668278847396"
"Other","1996","no migration background","Female","312","0.0501808876942373","0.044261257651892","0.0561005177365826"
"Other","1996","direct migration background","Male","42","0.0380434535449906","0.0277117271127806","0.0483751799772006"
"Other","1996","direct migration background","Female","53","0.0470304273085025","0.0355399445662335","0.0585209100507714"
"Other","1996","indirect migration background","Male","52","0.187420105525497","0.140784987923832","0.234055223127161"
"Other","1996","indirect migration background","Female","46","0.176263840976862","0.131632004694055","0.220895677259668"
"Full-time","1997","no migration background","Male","2917","0.581150267588678","0.567022724660562","0.595277810516795"
"Full-time","1997","no migration background","Female","1537","0.243439464571305","0.231733307091532","0.255145622051078"
"Full-time","1997","direct migration background","Male","772","0.562814006578154","0.535413991975713","0.590214021180596"
"Full-time","1997","direct migration background","Female","312","0.214710745435563","0.191791080201244","0.237630410669882"
"Full-time","1997","indirect migration background","Male","134","0.394713592417186","0.338746108569129","0.450681076265242"
"Full-time","1997","indirect migration background","Female","73","0.221752081976562","0.173266080136813","0.27023808381631"
"Part-time","1997","no migration background","Male","72","0.0219119962876316","0.0177199773841015","0.0261040151911617"
"Part-time","1997","no migration background","Female","721","0.131365722747901","0.122151545976222","0.14057989951958"
"Part-time","1997","direct migration background","Male","","","",""
"Part-time","1997","direct migration background","Female","148","0.131320965798152","0.112468712917336","0.150173218678967"
"Part-time","1997","indirect migration background","Male","","","",""
"Part-time","1997","indirect migration background","Female","32","0.13050304578803","0.0911871755293875","0.169818916046673"
"Non-working","1997","no migration background","Male","1488","0.361757113867302","0.347997861863784","0.37551636587082"
"Non-working","1997","no migration background","Female","2611","0.578795982377188","0.565327891600093","0.592264073154283"
"Non-working","1997","direct migration background","Male","439","0.393687745178095","0.366700450748486","0.420675039607704"
"Non-working","1997","direct migration background","Female","726","0.611397950360949","0.584190923498437","0.63860497722346"
"Non-working","1997","indirect migration background","Male","100","0.36801287837629","0.31279243320293","0.423233323549651"
"Non-working","1997","indirect migration background","Female","121","0.456006697435573","0.397875947745679","0.514137447125467"
"Other","1997","no migration background","Male","208","0.0351806222563878","0.029905068405804","0.0404561761069716"
"Other","1997","no migration background","Female","294","0.046398830303606","0.0406611818929675","0.0521364787142445"
"Other","1997","direct migration background","Male","35","0.0321739251949827","0.0224265898182423","0.0419212605717231"
"Other","1997","direct migration background","Female","47","0.0425703384053365","0.0313016455171927","0.0538390312934803"
"Other","1997","indirect migration background","Male","51","0.18133494390073","0.137217721804023","0.225452165997437"
"Other","1997","indirect migration background","Female","56","0.191738174799835","0.145791523451343","0.237684826148328"
"Full-time","1998","no migration background","Male","3279","0.573886509519096","0.560677470737409","0.587095548300783"
"Full-time","1998","no migration background","Female","1707","0.236336230866148","0.225512503201735","0.247159958530561"
"Full-time","1998","direct migration background","Male","744","0.562485149668727","0.5346710877017","0.590299211635753"
