"erwst","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Part-time","1991","Urban Area","West Germany","583","0.0777900502929647","0.0717444511732609","0.0838356494126684"
"Part-time","1991","Urban Area","East Germany","82","0.0503754437461733","0.0388649150709953","0.0618859724213512"
"Part-time","1991","Rural Area","West Germany","167","0.0848308841350016","0.0725019292328142","0.097159839037189"
"Part-time","1991","Rural Area","East Germany","147","0.0493254346753433","0.0411407097543053","0.0575101595963813"
"Non-working","1991","Urban Area","West Germany","2862","0.428846895408582","0.417675952707746","0.440017838109417"
"Non-working","1991","Urban Area","East Germany","409","0.361239154373965","0.335959192621124","0.386519116126806"
"Non-working","1991","Rural Area","West Germany","751","0.439295519458556","0.417334930176003","0.461256108741109"
"Non-working","1991","Rural Area","East Germany","891","0.398768545561385","0.380261632545784","0.417275458576985"
"Other","1991","Urban Area","West Germany","471","0.0555294584536115","0.0503603178494228","0.0606985990578003"
"Other","1991","Urban Area","East Germany","46","0.0290593819042421","0.0202194405956834","0.0378993232128008"
"Other","1991","Rural Area","West Germany","142","0.0648934632055662","0.0539933850490739","0.0757935413620586"
"Other","1991","Rural Area","East Germany","97","0.0294665173635328","0.0230747294497465","0.0358583052773191"
"Full-time","1992","Urban Area","West Germany","3521","0.433717446891154","0.422457838262379","0.444977055519929"
"Full-time","1992","Urban Area","East Germany","764","0.508756623804633","0.482466032123172","0.535047215486094"
"Full-time","1992","Rural Area","West Germany","887","0.409580244127683","0.387714632428343","0.431445855827023"
"Full-time","1992","Rural Area","East Germany","1284","0.449040912715768","0.429535528688343","0.468546296743192"
"Part-time","1992","Urban Area","West Germany","605","0.0793508051794844","0.0732099901499965","0.0854916202089722"
"Part-time","1992","Urban Area","East Germany","58","0.036813715451698","0.0269109398359608","0.0467164910674352"
"Part-time","1992","Rural Area","West Germany","178","0.0925453442071006","0.0796598391763017","0.1054308492379"
"Part-time","1992","Rural Area","East Germany","99","0.0317744984419515","0.024896224246565","0.038652772637338"
"Non-working","1992","Urban Area","West Germany","2928","0.442470016423283","0.431185595030023","0.453754437816542"
"Non-working","1992","Urban Area","East Germany","508","0.419138072584993","0.393189589183943","0.445086555986043"
"Non-working","1992","Rural Area","West Germany","760","0.44025274993012","0.418179884593602","0.462325615266638"
"Non-working","1992","Rural Area","East Germany","1012","0.484628787984178","0.465030571249788","0.504227004718568"
"Other","1992","Urban Area","West Germany","388","0.0444617315060787","0.039778771093575","0.0491446919185824"
"Other","1992","Urban Area","East Germany","59","0.0352915881586766","0.0255880391844021","0.0449951371329511"
"Other","1992","Rural Area","West Germany","118","0.0576216617350966","0.047260290662309","0.0679830328078842"
"Other","1992","Rural Area","East Germany","103","0.0345558008581029","0.0273931143444022","0.0417184873718036"
"Full-time","1993","Urban Area","West Germany","3475","0.433070247004414","0.421778423524961","0.444362070483867"
"Full-time","1993","Urban Area","East Germany","725","0.479735248955309","0.453386241040675","0.506084256869943"
"Full-time","1993","Rural Area","West Germany","880","0.408775599660566","0.38690533794217","0.430645861378961"
"Full-time","1993","Rural Area","East Germany","1198","0.42250223527907","0.402978698904412","0.442025771653729"
"Part-time","1993","Urban Area","West Germany","590","0.0780677407981386","0.0719540201160053","0.0841814614802718"
"Part-time","1993","Urban Area","East Germany","57","0.0370218397223437","0.027063464897146","0.0469802145475413"
"Part-time","1993","Rural Area","West Germany","176","0.0908312283995226","0.0780469808329511","0.103615475966094"
"Part-time","1993","Rural Area","East Germany","97","0.0332413058215555","0.0261558644665623","0.0403267471765488"
"Non-working","1993","Urban Area","West Germany","2933","0.439622443797576","0.428311454897507","0.450933432697645"
"Non-working","1993","Urban Area","East Germany","536","0.442764765061172","0.41656743312036","0.468962097001985"
"Non-working","1993","Rural Area","West Germany","760","0.444096149910627","0.421992007583514","0.466200292237741"
"Non-working","1993","Rural Area","East Germany","1031","0.497322709382145","0.477560631571002","0.517084787193289"
"Other","1993","Urban Area","West Germany","399","0.0492395683998715","0.0443088187789264","0.0541703180208166"
"Other","1993","Urban Area","East Germany","63","0.0404781462611751","0.0300839959085616","0.0508722966137886"
"Other","1993","Rural Area","West Germany","125","0.0562970220292843","0.0460429657372151","0.0665510783213535"
"Other","1993","Rural Area","East Germany","133","0.0469337495172288","0.0385743901157312","0.0552931089187265"
"Full-time","1994","Urban Area","West Germany","3309","0.422556027585352","0.411193450111289","0.433918605059415"
"Full-time","1994","Urban Area","East Germany","698","0.469923741253065","0.443466369247618","0.496381113258512"
"Full-time","1994","Rural Area","West Germany","850","0.394274830208479","0.37227768805514","0.416271972361818"
"Full-time","1994","Rural Area","East Germany","1143","0.409224056402867","0.389638195063121","0.428809917742614"
"Part-time","1994","Urban Area","West Germany","545","0.0740462209626972","0.0680230403774652","0.0800694015479293"
"Part-time","1994","Urban Area","East Germany","68","0.0438102216898309","0.0329603748512699","0.0546600685283919"
"Part-time","1994","Rural Area","West Germany","166","0.0869174566384354","0.0742369253714133","0.0995979879054575"
"Part-time","1994","Rural Area","East Germany","107","0.0373619941569856","0.0298076420664111","0.0449163462475601"
"Non-working","1994","Urban Area","West Germany","3029","0.458798787501092","0.447336526538331","0.470261048463853"
"Non-working","1994","Urban Area","East Germany","544","0.452172069905247","0.425788243223762","0.478555896586732"
"Non-working","1994","Rural Area","West Germany","763","0.456435914048096","0.434015470179681","0.47885635791651"
"Non-working","1994","Rural Area","East Germany","1026","0.506780535954922","0.486865515216093","0.526695556693752"
"Other","1994","Urban Area","West Germany","377","0.044598963950859","0.0398506981772348","0.0493472297244832"
"Other","1994","Urban Area","East Germany","57","0.0340939671518575","0.0244740785658892","0.0437138557378258"
"Other","1994","Rural Area","West Germany","117","0.06237179910499","0.0514865495340735","0.0732570486759066"
"Other","1994","Rural Area","East Germany","145","0.0466334134852247","0.03823438096541","0.0550324460050394"
"Full-time","1995","Urban Area","West Germany","3449","0.412963264100436","0.401905356081642","0.42402117211923"
"Full-time","1995","Urban Area","East Germany","626","0.450975274427557","0.423662531557502","0.478288017297611"
"Full-time","1995","Rural Area","West Germany","904","0.391231509266749","0.370095348179246","0.412367670354252"
"Full-time","1995","Rural Area","East Germany","1178","0.423188022108254","0.403544074244832","0.442831969971676"
"Part-time","1995","Urban Area","West Germany","587","0.0749412627531049","0.0690279645406848","0.080854560965525"
"Part-time","1995","Urban Area","East Germany","83","0.0521026081648996","0.0399041934348397","0.0643010228949595"
"Part-time","1995","Rural Area","West Germany","178","0.088085155596526","0.0758104348537654","0.100359876339287"
"Part-time","1995","Rural Area","East Germany","130","0.0463069733104005","0.0379514730767099","0.0546624735440911"
"Non-working","1995","Urban Area","West Germany","3174","0.46443977206665","0.453238857523441","0.47564068660986"
"Non-working","1995","Urban Area","East Germany","505","0.457359059329667","0.430014059810316","0.484704058849018"
"Non-working","1995","Rural Area","West Germany","818","0.457156269629566","0.435581167106672","0.47873137215246"
"Non-working","1995","Rural Area","East Germany","987","0.485813620763779","0.465941689251864","0.505685552275693"
"Other","1995","Urban Area","West Germany","406","0.0476557010798081","0.0428711736585144","0.0524402285011019"
"Other","1995","Urban Area","East Germany","61","0.0395630580778764","0.0288633395380092","0.0502627766177436"
"Other","1995","Rural Area","West Germany","148","0.0635270655071589","0.0529635097934479","0.0740906212208699"
"Other","1995","Rural Area","East Germany","135","0.0446913838175666","0.0364759840239273","0.0529067836112058"
"Full-time","1996","Urban Area","West Germany","3286","0.406858407732988","0.395658183726324","0.418058631739651"
"Full-time","1996","Urban Area","East Germany","615","0.437431735406638","0.410455193701167","0.464408277112109"
"Full-time","1996","Rural Area","West Germany","896","0.386922365341855","0.365771787833068","0.408072942850641"
"Full-time","1996","Rural Area","East Germany","1119","0.405031240936393","0.385379301530604","0.424683180342183"
"Part-time","1996","Urban Area","West Germany","649","0.08390140616207","0.0775804671526587","0.0902223451714813"
"Part-time","1996","Urban Area","East Germany","82","0.0538353058293753","0.0415620304992662","0.0661085811594844"
"Part-time","1996","Rural Area","West Germany","193","0.0989704625157986","0.0860024061188347","0.111938518912763"
"Part-time","1996","Rural Area","East Germany","131","0.0490961904380527","0.0404463864702028","0.0577459944059025"
"Non-working","1996","Urban Area","West Germany","3070","0.461924978202277","0.450558314492614","0.47329164191194"
"Non-working","1996","Urban Area","East Germany","531","0.462914081617931","0.435798707901167","0.490029455334695"
"Non-working","1996","Rural Area","West Germany","819","0.461135730497795","0.439488284867939","0.482783176127651"
"Non-working","1996","Rural Area","East Germany","1022","0.509108546165239","0.489095555013331","0.529121537317147"
"Other","1996","Urban Area","West Germany","385","0.0473152079026654","0.0424745893114385","0.0521558264938923"
"Other","1996","Urban Area","East Germany","71","0.0458188771460559","0.034448335670364","0.0571894186217478"
"Other","1996","Rural Area","West Germany","129","0.0529714416445519","0.0432449770403813","0.0626979062487224"
"Other","1996","Rural Area","East Germany","125","0.036764022460315","0.029230606755539","0.0442974381650909"
"Full-time","1997","Urban Area","West Germany","3165","0.401245872540611","0.389981140994727","0.412510604086496"
"Full-time","1997","Urban Area","East Germany","590","0.415646005956253","0.388594414941325","0.442697596971181"
"Full-time","1997","Rural Area","West Germany","887","0.386866553947292","0.365468235372653","0.408264872521931"
"Full-time","1997","Rural Area","East Germany","1103","0.401496267149979","0.381785702736812","0.421206831563146"
"Part-time","1997","Urban Area","West Germany","630","0.085862149174009","0.0794234516917511","0.092300846656267"
"Part-time","1997","Urban Area","East Germany","70","0.0496192810005717","0.0376995339163848","0.0615390280847586"
"Part-time","1997","Rural Area","West Germany","169","0.0830094240583001","0.0708876080065984","0.0951312401100017"
"Part-time","1997","Rural Area","East Germany","125","0.0501566702936318","0.0413802945123581","0.0589330460749054"
"Non-working","1997","Urban Area","West Germany","3091","0.468379980758688","0.456911889958938","0.479848071558438"
"Non-working","1997","Urban Area","East Germany","549","0.496668169131745","0.469223793147759","0.524112545115732"
"Non-working","1997","Rural Area","West Germany","819","0.482632171143942","0.460677375627765","0.504586966660118"
"Non-working","1997","Rural Area","East Germany","1025","0.509755099203655","0.489654351855652","0.529855846551658"
"Other","1997","Urban Area","West Germany","387","0.0445119975266915","0.0397723891492071","0.049251605904176"
"Other","1997","Urban Area","East Germany","66","0.0380665439114297","0.027562966564467","0.0485701212583924"
"Other","1997","Rural Area","West Germany","115","0.0474918508504663","0.0381471489795933","0.0568365527213393"
"Other","1997","Rural Area","East Germany","123","0.0385919633527344","0.0308468606003153","0.0463370661051534"
"Full-time","1998","Urban Area","West Germany","3512","0.401053849778672","0.390396931391645","0.411710768165699"
"Full-time","1998","Urban Area","East Germany","605","0.423730813452256","0.397043004130038","0.450418622774474"
"Full-time","1998","Rural Area","West Germany","991","0.380704229141079","0.360933258923527","0.400475199358631"
"Full-time","1998","Rural Area","East Germany","1135","0.379409934254059","0.36064239469588","0.398177473812239"
"Part-time","1998","Urban Area","West Germany","709","0.0889251792263259","0.0827361034089404","0.0951142550437115"
"Part-time","1998","Urban Area","East Germany","70","0.040570116491444","0.0299148344065904","0.0512253985762976"
"Part-time","1998","Rural Area","West Germany","200","0.0839978138132135","0.0727033057267741","0.0952923218996528"
"Part-time","1998","Rural Area","East Germany","135","0.0544198562751187","0.0456462437898654","0.063193468760372"
"Non-working","1998","Urban Area","West Germany","3482","0.465582496710489","0.454736360216925","0.476428633204053"
"Non-working","1998","Urban Area","East Germany","570","0.494534620237993","0.467532413301074","0.521536827174913"
"Non-working","1998","Rural Area","West Germany","969","0.481546234786882","0.461201169573024","0.50189130000074"
"Non-working","1998","Rural Area","East Germany","1148","0.519419156742163","0.500095345334486","0.53874296814984"
"Other","1998","Urban Area","West Germany","422","0.0444384742845127","0.039957780098406","0.0489191684706193"
"Other","1998","Urban Area","East Germany","72","0.0411644498183062","0.0304347289250928","0.0518941707115196"
"Other","1998","Rural Area","West Germany","157","0.0537517222588255","0.0445687384798312","0.0629347060378198"
"Other","1998","Rural Area","East Germany","150","0.0467510527286593","0.0385861795050417","0.0549159259522769"
"Full-time","1999","Urban Area","West Germany","3381","0.407614527698801","0.396668701845598","0.418560353552005"
"Full-time","1999","Urban Area","East Germany","599","0.413108447381674","0.386321593300811","0.439895301462537"
"Full-time","1999","Rural Area","West Germany","961","0.388959718206354","0.368693832279326","0.409225604133383"
"Full-time","1999","Rural Area","East Germany","1120","0.396451280132469","0.377295700199405","0.415606860065532"
"Part-time","1999","Urban Area","West Germany","673","0.0819136343529971","0.0758050387668777","0.0880222299391165"
"Part-time","1999","Urban Area","East Germany","75","0.0510426888143243","0.0390697474712337","0.0630156301574148"
"Part-time","1999","Rural Area","West Germany","217","0.0902902943375822","0.0783764942565204","0.102204094418644"
"Part-time","1999","Rural Area","East Germany","156","0.0576727790212968","0.0485436250119641","0.0668019330306295"
"Non-working","1999","Urban Area","West Germany","3185","0.448364193461939","0.43728614672882","0.459442240195058"
"Non-working","1999","Urban Area","East Germany","547","0.490639931900834","0.463443956608241","0.517835907193426"
"Non-working","1999","Rural Area","West Germany","866","0.452963389949018","0.432270644902182","0.473656134995855"
"Non-working","1999","Rural Area","East Germany","1081","0.498413311460808","0.478833340493758","0.517993282427858"
"Other","1999","Urban Area","West Germany","503","0.0621076444862623","0.0567315049183291","0.0674837840541955"
"Other","1999","Urban Area","East Germany","77","0.0452089319031683","0.0339063661590608","0.0565114976472758"
"Other","1999","Rural Area","West Germany","179","0.0677865975070453","0.0573367982260122","0.0782363967880783"
"Other","1999","Rural Area","East Germany","148","0.0474626293854262","0.0391361553032457","0.0557891034676067"
"Full-time","2000","Urban Area","West Germany","5778","0.40376348941795","0.395644395985239","0.411882582850662"
"Full-time","2000","Urban Area","East Germany","847","0.398426667819669","0.376584893069682","0.420268442569657"
"Full-time","2000","Rural Area","West Germany","1812","0.403830341989098","0.389264383620961","0.418396300357235"
"Full-time","2000","Rural Area","East Germany","1650","0.385816830192398","0.370632380429071","0.401001279955726"
"Part-time","2000","Urban Area","West Germany","1433","0.0968829664855005","0.0919882170585045","0.101777715912497"
"Part-time","2000","Urban Area","East Germany","120","0.0594598642357822","0.0489094366832616","0.0700102917883028"
"Part-time","2000","Rural Area","West Germany","438","0.095463403708181","0.0867399957082314","0.10418681170813"
"Part-time","2000","Rural Area","East Germany","249","0.057309883975487","0.050059537507685","0.064560230443289"
"Non-working","2000","Urban Area","West Germany","5973","0.441206467654098","0.432990071816809","0.449422863491388"
"Non-working","2000","Urban Area","East Germany","856","0.488872776379521","0.466571389604356","0.511174163154687"
"Non-working","2000","Rural Area","West Germany","1786","0.435487149209237","0.420768117364761","0.450206181053713"
"Non-working","2000","Rural Area","East Germany","1806","0.500876699170888","0.485280137897261","0.516473260444515"
"Other","2000","Urban Area","West Germany","845","0.0581470764424509","0.0542745871960123","0.0620195656888895"
"Other","2000","Urban Area","East Germany","107","0.0532406915650271","0.0432243051062176","0.0632570780238366"
"Other","2000","Rural Area","West Germany","323","0.0652191050934844","0.057889223012491","0.0725489871744779"
"Other","2000","Rural Area","East Germany","243","0.0559965866612265","0.0488248046795335","0.0631683686429196"
"Full-time","2001","Urban Area","West Germany","5231","0.399884407438183","0.391367929880289","0.408400884996077"
"Full-time","2001","Urban Area","East Germany","783","0.400949688714871","0.378433805550044","0.423465571879699"
"Full-time","2001","Rural Area","West Germany","1576","0.397167691702668","0.381787201433978","0.412548181971359"
"Full-time","2001","Rural Area","East Germany","1492","0.374312677572399","0.358601987161667","0.390023367983132"
"Part-time","2001","Urban Area","West Germany","1314","0.0974960175855043","0.092339062873836","0.102652972297173"
"Part-time","2001","Urban Area","East Germany","120","0.0608508189209915","0.0498680232784347","0.0718336145635484"
"Part-time","2001","Rural Area","West Germany","394","0.0952086656459044","0.0859830062150398","0.104434325076769"
"Part-time","2001","Rural Area","East Germany","239","0.0614620699634441","0.0536650466918255","0.0692590932350627"
"Non-working","2001","Urban Area","West Germany","5330","0.438976260348028","0.430348730860179","0.447603789835876"
"Non-working","2001","Urban Area","East Germany","801","0.476175796563796","0.45323075566566","0.499120837461933"
"Non-working","2001","Rural Area","West Germany","1610","0.440482580176429","0.424877854513271","0.456087305839588"
"Non-working","2001","Rural Area","East Germany","1690","0.511253586522372","0.495025799463158","0.527481373581586"
"Other","2001","Urban Area","West Germany","835","0.063643314628285","0.059399344009085","0.0678872852474849"
"Other","2001","Urban Area","East Germany","116","0.062023695800341","0.0509424866738819","0.0731049049268001"
"Other","2001","Rural Area","West Germany","308","0.0671410624749977","0.0592744626880092","0.0750076622619861"
"Other","2001","Rural Area","East Germany","224","0.0529716659417842","0.0457005239298646","0.0602428079537038"
"Full-time","2002","Urban Area","West Germany","5672","0.385897286405779","0.377727752559047","0.394066820252511"
"Full-time","2002","Urban Area","East Germany","790","0.373441646012556","0.351381581404733","0.395501710620378"
"Full-time","2002","Rural Area","West Germany","1648","0.390289833453666","0.37528283274629","0.405296834161042"
"Full-time","2002","Rural Area","East Germany","1461","0.353267006550281","0.33767692472527","0.368857088375291"
"Part-time","2002","Urban Area","West Germany","1495","0.095836795062198","0.0908967551080108","0.100776835016385"
"Part-time","2002","Urban Area","East Germany","122","0.0606100375334004","0.049728008570573","0.0714920664962278"
"Part-time","2002","Rural Area","West Germany","445","0.100609415094209","0.0913553607423057","0.109863469446112"
"Part-time","2002","Rural Area","East Germany","232","0.0602427014927459","0.0524821172093216","0.0680032857761701"
"Non-working","2002","Urban Area","West Germany","5584","0.453271034480425","0.444916814033075","0.461625254927775"
"Non-working","2002","Urban Area","East Germany","811","0.506911771786104","0.484111335939586","0.529712207632621"
"Non-working","2002","Rural Area","West Germany","1637","0.43619045792868","0.420934381469798","0.451446534387561"
"Non-working","2002","Rural Area","East Germany","1705","0.529735711671216","0.513456439936983","0.546014983405449"
"Other","2002","Urban Area","West Germany","889","0.0649948840515977","0.0608578653314282","0.0691319027717672"
"Other","2002","Urban Area","East Germany","124","0.0590365446679405","0.0482877074192301","0.069785381916651"
"Other","2002","Rural Area","West Germany","329","0.0729102935234456","0.064912063900541","0.0809085231463501"
"Other","2002","Rural Area","East Germany","213","0.0567545802857572","0.0492080528121886","0.0643011077593258"
"Full-time","2003","Urban Area","West Germany","5244","0.376502769105199","0.368208757071473","0.384796781138925"
"Full-time","2003","Urban Area","East Germany","742","0.354732507975569","0.332860143948828","0.37660487200231"
"Full-time","2003","Rural Area","West Germany","1529","0.384380554262356","0.368946473192416","0.399814635332295"
"Full-time","2003","Rural Area","East Germany","1356","0.340194669561891","0.324574473506987","0.355814865616795"
"Part-time","2003","Urban Area","West Germany","1456","0.095525176832583","0.0904934103760069","0.100556943289159"
"Part-time","2003","Urban Area","East Germany","141","0.0701071609248333","0.0584344164326544","0.0817799054170123"
"Part-time","2003","Rural Area","West Germany","433","0.104600557504218","0.09489055554686","0.114310559461576"
"Part-time","2003","Rural Area","East Germany","252","0.0638024767255748","0.0557446610004166","0.0718602924507331"
"Non-working","2003","Urban Area","West Germany","5536","0.462736527387815","0.45420112778692","0.47127192698871"
"Non-working","2003","Urban Area","East Germany","851","0.529118397948379","0.506298818835587","0.551937977061171"
"Non-working","2003","Rural Area","West Germany","1543","0.439090867157578","0.423344971625693","0.454836762689463"
"Non-working","2003","Rural Area","East Germany","1706","0.538456203558887","0.522020190794323","0.554892216323451"
"Other","2003","Urban Area","West Germany","873","0.0652355266744029","0.0610082906704733","0.0694627626783325"
"Other","2003","Urban Area","East Germany","104","0.0460419331512188","0.036460802665212","0.0556230636372256"
"Other","2003","Rural Area","West Germany","311","0.0719280210758486","0.0637304763640775","0.0801255657876197"
"Other","2003","Rural Area","East Germany","220","0.0575466501536465","0.0498685323052486","0.0652247680020444"
"Full-time","2004","Urban Area","West Germany","5037","0.375314746190104","0.366894858673067","0.38373463370714"
"Full-time","2004","Urban Area","East Germany","736","0.339191975749576","0.317530377565437","0.360853573933715"
"Full-time","2004","Rural Area","West Germany","1466","0.374296393307519","0.358856677811399","0.389736108803639"
"Full-time","2004","Rural Area","East Germany","1296","0.32391450912639","0.308230718107623","0.339598300145158"
"Part-time","2004","Urban Area","West Germany","1382","0.0934414547847524","0.0883803471670559","0.0985025624024489"
