"erwst","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Other","1985","16-34 y.","Employed","337","0.124153642352208","0.111997972854417","0.13630931185"
"Other","1985","35-65 y.","Not Employed","17","","",""
"Other","1985","35-65 y.","Employed","98","0.0296476142040917","0.0243794769970943","0.0349157514110891"
"Other","1985","66 and older","Not Employed","3","","",""
"Other","1985","66 and older","Employed","11","","",""
"Full-time","1986","16-34 y.","Not Employed","55","0.0492888586876287","0.0372741419296277","0.0613035754456296"
"Full-time","1986","16-34 y.","Employed","1958","0.684315694017261","0.667254704020056","0.701376684014466"
"Full-time","1986","35-65 y.","Not Employed","17","","",""
"Full-time","1986","35-65 y.","Employed","2990","0.76227345382367","0.748747590373823","0.775799317273516"
"Full-time","1986","66 and older","Not Employed","1","","",""
"Full-time","1986","66 and older","Employed","9","","",""
"Part-time","1986","16-34 y.","Not Employed","13","","",""
"Part-time","1986","16-34 y.","Employed","191","0.0693113858954634","0.059988422605175","0.0786343491857517"
"Part-time","1986","35-65 y.","Not Employed","5","","",""
"Part-time","1986","35-65 y.","Employed","424","0.123351740107112","0.11290318859371","0.133800291620515"
"Part-time","1986","66 and older","Not Employed","","","",""
"Part-time","1986","66 and older","Employed","9","","",""
"Non-working","1986","16-34 y.","Not Employed","1143","0.907901927932048","0.89185249830087","0.923951357563226"
"Non-working","1986","16-34 y.","Employed","278","0.0965456453149495","0.0857046555349075","0.107386635094991"
"Non-working","1986","35-65 y.","Not Employed","1650","0.975701933353515","0.96836754242927","0.98303632427776"
"Non-working","1986","35-65 y.","Employed","250","0.0721828217940141","0.0639600375921476","0.0804056059958806"
"Non-working","1986","66 and older","Not Employed","1002","0.997969293317595","0.995186075164143","1.00075251147105"
"Non-working","1986","66 and older","Employed","15","","",""
"Other","1986","16-34 y.","Not Employed","36","0.0304140686646535","0.0208829192463911","0.0399452180829159"
"Other","1986","16-34 y.","Employed","424","0.149827274772327","0.136726453963276","0.162928095581377"
"Other","1986","35-65 y.","Not Employed","21","","",""
"Other","1986","35-65 y.","Employed","141","0.0421919842752041","0.0358045716939223","0.0485793968564858"
"Other","1986","66 and older","Not Employed","2","","",""
"Other","1986","66 and older","Employed","9","","",""
"Full-time","1987","16-34 y.","Not Employed","32","0.0323780153335337","0.0220941842217482","0.0426618464453191"
"Full-time","1987","16-34 y.","Employed","1929","0.665026611597217","0.647866308619395","0.682186914575039"
"Full-time","1987","35-65 y.","Not Employed","12","","",""
"Full-time","1987","35-65 y.","Employed","2970","0.765713917555783","0.752181122726206","0.779246712385359"
"Full-time","1987","66 and older","Not Employed","","","",""
"Full-time","1987","66 and older","Employed","14","","",""
"Part-time","1987","16-34 y.","Not Employed","7","","",""
"Part-time","1987","16-34 y.","Employed","190","0.069331057654603","0.0600955279527115","0.0785665873564945"
"Part-time","1987","35-65 y.","Not Employed","13","","",""
"Part-time","1987","35-65 y.","Employed","468","0.140135752371354","0.129044760103883","0.151226744638826"
"Part-time","1987","66 and older","Not Employed","","","",""
"Part-time","1987","66 and older","Employed","11","","",""
"Non-working","1987","16-34 y.","Not Employed","1071","0.935944026708921","0.921718062371026","0.950169991046816"
"Non-working","1987","16-34 y.","Employed","289","0.102803455166831","0.091761450206566","0.113845460127096"
"Non-working","1987","35-65 y.","Not Employed","1579","0.978946308903739","0.971951072560367","0.98594154524711"
"Non-working","1987","35-65 y.","Employed","225","0.0621985374680472","0.0544819280062125","0.0699151469298819"
"Non-working","1987","66 and older","Not Employed","1040","0.999172144303552","0.997425034478662","1.00091925412844"
"Non-working","1987","66 and older","Employed","9","","",""
"Other","1987","16-34 y.","Not Employed","28","","",""
"Other","1987","16-34 y.","Employed","498","0.162838875581349","0.149414816348405","0.176262934814293"
"Other","1987","35-65 y.","Not Employed","14","","",""
"Other","1987","35-65 y.","Employed","100","0.0319517926048158","0.0263325589796233","0.0375710262300083"
"Other","1987","66 and older","Not Employed","1","","",""
"Other","1987","66 and older","Employed","10","","",""
"Full-time","1988","16-34 y.","Not Employed","36","0.0332243844822461","0.0224148386361571","0.0440339303283352"
"Full-time","1988","16-34 y.","Employed","1809","0.660374561274407","0.642823752610411","0.677925369938402"
"Full-time","1988","35-65 y.","Not Employed","14","","",""
"Full-time","1988","35-65 y.","Employed","2795","0.759182897341602","0.745225246567498","0.773140548115705"
"Full-time","1988","66 and older","Not Employed","","","",""
"Full-time","1988","66 and older","Employed","15","","",""
"Part-time","1988","16-34 y.","Not Employed","12","","",""
"Part-time","1988","16-34 y.","Employed","174","0.0632821034213942","0.0542591914615942","0.0723050153811941"
"Part-time","1988","35-65 y.","Not Employed","9","","",""
"Part-time","1988","35-65 y.","Employed","474","0.143571061816242","0.132124512615116","0.155017611017368"
"Part-time","1988","66 and older","Not Employed","","","",""
"Part-time","1988","66 and older","Employed","11","","",""
"Non-working","1988","16-34 y.","Not Employed","979","0.921834132002648","0.905643973462598","0.938024290542698"
"Non-working","1988","16-34 y.","Employed","315","0.116195416082735","0.104319298728971","0.128071533436498"
"Non-working","1988","35-65 y.","Not Employed","1472","0.975232222794473","0.967388089631963","0.983076355956982"
"Non-working","1988","35-65 y.","Employed","248","0.0686178682465172","0.0603655110406612","0.0768702254523733"
"Non-working","1988","66 and older","Not Employed","1006","1","1","1"
"Non-working","1988","66 and older","Employed","13","","",""
"Other","1988","16-34 y.","Not Employed","29","","",""
"Other","1988","16-34 y.","Employed","499","0.160147919221465","0.146556528135936","0.173739310306993"
"Other","1988","35-65 y.","Not Employed","13","","",""
"Other","1988","35-65 y.","Employed","88","0.0286281725956387","0.0231845874328151","0.0340717577584623"
"Other","1988","66 and older","Not Employed","","","",""
"Other","1988","66 and older","Employed","9","","",""
"Full-time","1989","16-34 y.","Not Employed","36","0.044896843667441","0.0321322922066087","0.0576613951282732"
"Full-time","1989","16-34 y.","Employed","1884","0.688082395248475","0.670805073511294","0.705359716985656"
"Full-time","1989","35-65 y.","Not Employed","17","","",""
"Full-time","1989","35-65 y.","Employed","2681","0.757025845202465","0.74273747530229","0.771314215102641"
"Full-time","1989","66 and older","Not Employed","","","",""
"Full-time","1989","66 and older","Employed","14","","",""
"Part-time","1989","16-34 y.","Not Employed","13","","",""
"Part-time","1989","16-34 y.","Employed","192","0.075925208574185","0.0660468949082533","0.0858035222401166"
"Part-time","1989","35-65 y.","Not Employed","9","","",""
"Part-time","1989","35-65 y.","Employed","447","0.141504698725018","0.129892841610209","0.153116555839828"
"Part-time","1989","66 and older","Not Employed","1","","",""
"Part-time","1989","66 and older","Employed","12","","",""
"Non-working","1989","16-34 y.","Not Employed","921","0.899123920225098","0.880559713868477","0.917688126581719"
"Non-working","1989","16-34 y.","Employed","270","0.0908026364953846","0.0800870840290652","0.101518188961704"
"Non-working","1989","35-65 y.","Not Employed","1413","0.981987196877846","0.975132196099752","0.988842197655939"
"Non-working","1989","35-65 y.","Employed","232","0.0704687626986439","0.061942128946647","0.0789953964506409"
"Non-working","1989","66 and older","Not Employed","979","0.997593259766789","0.994528589821891","1.00065792971169"
"Non-working","1989","66 and older","Employed","14","","",""
"Other","1989","16-34 y.","Not Employed","41","0.042700411332216","0.0302377016388239","0.0551631210256081"
"Other","1989","16-34 y.","Employed","416","0.145189759681955","0.132051461772976","0.158328057590935"
"Other","1989","35-65 y.","Not Employed","7","","",""
"Other","1989","35-65 y.","Employed","101","0.0310006933738723","0.0252264547380968","0.0367749320096478"
"Other","1989","66 and older","Not Employed","2","","",""
"Other","1989","66 and older","Employed","7","","",""
"Full-time","1990","16-34 y.","Not Employed","25","","",""
"Full-time","1990","16-34 y.","Employed","1832","0.666555038177525","0.648902673242296","0.684207403112753"
"Full-time","1990","35-65 y.","Not Employed","7","","",""
"Full-time","1990","35-65 y.","Employed","2644","0.763583487071094","0.749276652421935","0.777890321720252"
"Full-time","1990","66 and older","Not Employed","2","","",""
"Full-time","1990","66 and older","Employed","13","","",""
"Part-time","1990","16-34 y.","Not Employed","19","","",""
"Part-time","1990","16-34 y.","Employed","227","0.0889549073576069","0.0782956314921275","0.0996141832230863"
"Part-time","1990","35-65 y.","Not Employed","17","","",""
"Part-time","1990","35-65 y.","Employed","450","0.146470937974761","0.134565064084303","0.158376811865219"
"Part-time","1990","66 and older","Not Employed","","","",""
"Part-time","1990","66 and older","Employed","10","","",""
"Non-working","1990","16-34 y.","Not Employed","852","0.931672308264983","0.915350934182621","0.947993682347345"
"Non-working","1990","16-34 y.","Employed","289","0.104094860639149","0.0926603267064777","0.115529394571821"
"Non-working","1990","35-65 y.","Not Employed","1377","0.97911654851697","0.971652802216028","0.986580294817913"
"Non-working","1990","35-65 y.","Employed","197","0.0580582003701783","0.0501837507291901","0.0659326500111665"
"Non-working","1990","66 and older","Not Employed","1015","0.998116891884684","0.995452390533435","1.00078139323593"
"Non-working","1990","66 and older","Employed","18","","",""
"Other","1990","16-34 y.","Not Employed","22","","",""
"Other","1990","16-34 y.","Employed","392","0.140395193825719","0.127387558658528","0.15340282899291"
"Other","1990","35-65 y.","Not Employed","9","","",""
"Other","1990","35-65 y.","Employed","97","0.031887374583967","0.0259710946627821","0.037803654505152"
"Other","1990","66 and older","Not Employed","","","",""
"Other","1990","66 and older","Employed","3","","",""
"Full-time","1991","16-34 y.","Not Employed","44","0.044163590430038","0.0307480038281057","0.0575791770319703"
"Full-time","1991","16-34 y.","Employed","1766","0.647424563971368","0.629476209299396","0.66537291864334"
"Full-time","1991","35-65 y.","Not Employed","15","","",""
"Full-time","1991","35-65 y.","Employed","2665","0.75411707206203","0.739714783108402","0.768519361015658"
"Full-time","1991","66 and older","Not Employed","1","","",""
"Full-time","1991","66 and older","Employed","10","","",""
"Part-time","1991","16-34 y.","Not Employed","11","","",""
"Part-time","1991","16-34 y.","Employed","231","0.0917308833268516","0.0808873931075854","0.102574373546118"
"Part-time","1991","35-65 y.","Not Employed","15","","",""
"Part-time","1991","35-65 y.","Employed","485","0.154762893726328","0.142666089737187","0.166859697715468"
"Part-time","1991","66 and older","Not Employed","","","",""
"Part-time","1991","66 and older","Employed","8","","",""
"Non-working","1991","16-34 y.","Not Employed","805","0.901069141261989","0.881573808910536","0.920564473613441"
"Non-working","1991","16-34 y.","Employed","294","0.106225343119774","0.0946500467358737","0.117800639503675"
"Non-working","1991","35-65 y.","Not Employed","1292","0.97433185682197","0.965842325907678","0.982821387736261"
"Non-working","1991","35-65 y.","Employed","171","0.0539881695172696","0.0464294969814831","0.0615468420530561"
"Non-working","1991","66 and older","Not Employed","1032","0.998631930260823","0.996380104627743","1.0008837558939"
"Non-working","1991","66 and older","Employed","13","","",""
"Other","1991","16-34 y.","Not Employed","41","0.045764594326376","0.0321194458014491","0.0594097428513029"
"Other","1991","16-34 y.","Employed","431","0.154619209582006","0.141037265360745","0.168201153803268"
"Other","1991","35-65 y.","Not Employed","11","","",""
"Other","1991","35-65 y.","Employed","113","0.0371318646943728","0.0308076772658683","0.0434560521228773"
"Other","1991","66 and older","Not Employed","2","","",""
"Other","1991","66 and older","Employed","10","","",""
"Full-time","1992","16-34 y.","Not Employed","29","","",""
"Full-time","1992","16-34 y.","Employed","2527","0.654491705000322","0.63947459837595","0.669508811624693"
"Full-time","1992","35-65 y.","Not Employed","21","","",""
"Full-time","1992","35-65 y.","Employed","3938","0.7397801322812","0.727883432521415","0.751676832040985"
"Full-time","1992","66 and older","Not Employed","","","",""
"Full-time","1992","66 and older","Employed","10","","",""
"Part-time","1992","16-34 y.","Not Employed","20","","",""
"Part-time","1992","16-34 y.","Employed","284","0.0778487912958018","0.0693875913352909","0.0863099912563126"
"Part-time","1992","35-65 y.","Not Employed","9","","",""
"Part-time","1992","35-65 y.","Employed","622","0.137864132917295","0.128516138440755","0.147212127393834"
"Part-time","1992","66 and older","Not Employed","","","",""
"Part-time","1992","66 and older","Employed","8","","",""
"Non-working","1992","16-34 y.","Not Employed","1052","0.921120904239981","0.905528379999054","0.936713428480908"
"Non-working","1992","16-34 y.","Employed","525","0.132027929679415","0.121337608982817","0.142718250376014"
"Non-working","1992","35-65 y.","Not Employed","1650","0.981935254404265","0.975577896568854","0.988292612239676"
"Non-working","1992","35-65 y.","Employed","565","0.10047668412471","0.0923250664330855","0.108628301816334"
"Non-working","1992","66 and older","Not Employed","1441","0.99927275288322","0.997881364132681","1.00066414163376"
"Non-working","1992","66 and older","Employed","13","","",""
"Other","1992","16-34 y.","Not Employed","47","0.0349392811337653","0.024317155127147","0.0455614071403836"
"Other","1992","16-34 y.","Employed","516","0.135631574024461","0.124818857932867","0.146444290116055"
"Other","1992","35-65 y.","Not Employed","6","","",""
"Other","1992","35-65 y.","Employed","100","0.0218790506767957","0.0179124775880537","0.0258456237655377"
"Other","1992","66 and older","Not Employed","1","","",""
"Other","1992","66 and older","Employed","7","","",""
"Full-time","1993","16-34 y.","Not Employed","56","0.0451525952230373","0.0332852719008701","0.0570199185452044"
"Full-time","1993","16-34 y.","Employed","2420","0.643722802046824","0.628382863085787","0.659062741007861"
"Full-time","1993","35-65 y.","Not Employed","20","","",""
"Full-time","1993","35-65 y.","Employed","3774","0.748642982974839","0.736560932129984","0.760725033819695"
"Full-time","1993","66 and older","Not Employed","","","",""
"Full-time","1993","66 and older","Employed","8","","",""
"Part-time","1993","16-34 y.","Not Employed","25","","",""
"Part-time","1993","16-34 y.","Employed","266","0.0754853722356623","0.0670234610066561","0.0839472834646686"
"Part-time","1993","35-65 y.","Not Employed","10","","",""
"Part-time","1993","35-65 y.","Employed","612","0.138702434366687","0.129075756829189","0.148329111904186"
"Part-time","1993","66 and older","Not Employed","","","",""
"Part-time","1993","66 and older","Employed","7","","",""
"Non-working","1993","16-34 y.","Not Employed","1039","0.886778014323714","0.868668063443562","0.904887965203866"
"Non-working","1993","16-34 y.","Employed","518","0.13736366454992","0.126337360123838","0.148389968976002"
"Non-working","1993","35-65 y.","Not Employed","1753","0.969678767721869","0.961770587010919","0.977586948432818"
"Non-working","1993","35-65 y.","Employed","477","0.0899111005005604","0.0819438891453577","0.0978783118557631"
"Non-working","1993","66 and older","Not Employed","1462","0.999239015220879","0.997825994259374","1.00065203618238"
"Non-working","1993","66 and older","Employed","11","","",""
"Other","1993","16-34 y.","Not Employed","56","0.0432115459283232","0.0315903106179563","0.05483278123869"
"Other","1993","16-34 y.","Employed","540","0.143428161167593","0.132200758924718","0.154655563410468"
"Other","1993","35-65 y.","Not Employed","23","","",""
"Other","1993","35-65 y.","Employed","89","0.0227434821579131","0.0185911647884798","0.0268957995273463"
"Other","1993","66 and older","Not Employed","1","","",""
"Other","1993","66 and older","Employed","11","","",""
"Full-time","1994","16-34 y.","Not Employed","41","0.0404145235364706","0.0293821756847106","0.0514468713882306"
"Full-time","1994","16-34 y.","Employed","2329","0.652253596801269","0.636683238042694","0.667823955559845"
"Full-time","1994","35-65 y.","Not Employed","22","","",""
"Full-time","1994","35-65 y.","Employed","3596","0.740020211409479","0.727508328409457","0.752532094409501"
"Full-time","1994","66 and older","Not Employed","1","","",""
"Full-time","1994","66 and older","Employed","11","","",""
"Part-time","1994","16-34 y.","Not Employed","11","","",""
"Part-time","1994","16-34 y.","Employed","270","0.0812717194314985","0.0723382054542697","0.0902052334087273"
"Part-time","1994","35-65 y.","Not Employed","15","","",""
"Part-time","1994","35-65 y.","Employed","583","0.136177426119716","0.126393888348624","0.145960963890809"
"Part-time","1994","66 and older","Not Employed","","","",""
"Part-time","1994","66 and older","Employed","7","","",""
"Non-working","1994","16-34 y.","Not Employed","1120","0.912564102107476","0.89673945770872","0.928388746506232"
"Non-working","1994","16-34 y.","Employed","500","0.132207256148609","0.121133506324673","0.143281005972545"
"Non-working","1994","35-65 y.","Not Employed","1828","0.974570317955235","0.967461707812143","0.981678928098326"
"Non-working","1994","35-65 y.","Employed","418","0.0915616462732723","0.083334757647688","0.0997885348988566"
"Non-working","1994","66 and older","Not Employed","1480","0.999596173952493","0.998572928039969","1.00061941986502"
"Non-working","1994","66 and older","Employed","16","","",""
"Other","1994","16-34 y.","Not Employed","52","0.0391312093560796","0.028268177304663","0.0499942414074962"
"Other","1994","16-34 y.","Employed","495","0.134267427618623","0.123120985433179","0.145413869804066"
"Other","1994","35-65 y.","Not Employed","19","","",""
"Other","1994","35-65 y.","Employed","124","0.0322407161975322","0.0272020324093388","0.0372793999857256"
"Other","1994","66 and older","Not Employed","","","",""
"Other","1994","66 and older","Employed","6","","",""
"Full-time","1995","16-34 y.","Not Employed","56","0.0441048192023003","0.0332281849182269","0.0549814534863737"
"Full-time","1995","16-34 y.","Employed","2385","0.663155074677967","0.647701034551357","0.678609114804577"
"Full-time","1995","35-65 y.","Not Employed","30","0.0115041297708831","0.00678071522215629","0.01622754431961"
"Full-time","1995","35-65 y.","Employed","3674","0.73727531835154","0.724946057875994","0.749604578827085"
"Full-time","1995","66 and older","Not Employed","2","","",""
"Full-time","1995","66 and older","Employed","10","","",""
"Part-time","1995","16-34 y.","Not Employed","23","","",""
"Part-time","1995","16-34 y.","Employed","273","0.0774216909353279","0.0686828782911988","0.086160503579457"
"Part-time","1995","35-65 y.","Not Employed","9","","",""
"Part-time","1995","35-65 y.","Employed","664","0.145486916627042","0.135609506856759","0.155364326397326"
"Part-time","1995","66 and older","Not Employed","","","",""
"Part-time","1995","66 and older","Employed","9","","",""
"Non-working","1995","16-34 y.","Not Employed","1244","0.899109677304201","0.883155388162656","0.915063966445746"
"Non-working","1995","16-34 y.","Employed","413","0.12002362144676","0.109397167781971","0.13065007511155"
"Non-working","1995","35-65 y.","Not Employed","1898","0.972796730486541","0.965591243294128","0.980002217678953"
"Non-working","1995","35-65 y.","Employed","407","0.0809576023110697","0.0733162832290755","0.0885989213930639"
"Non-working","1995","66 and older","Not Employed","1507","0.997782754462161","0.99541115823749","1.00015435068683"
"Non-working","1995","66 and older","Employed","15","","",""
"Other","1995","16-34 y.","Not Employed","46","0.0377268129978098","0.0276338049629806","0.047819821032639"
"Other","1995","16-34 y.","Employed","522","0.139399612939945","0.128074278520811","0.150724947359079"
"Other","1995","35-65 y.","Not Employed","21","","",""
"Other","1995","35-65 y.","Employed","150","0.0362801627103482","0.0310419665808147","0.0415183588398817"
"Other","1995","66 and older","Not Employed","2","","",""
"Other","1995","66 and older","Employed","9","","",""
"Full-time","1996","16-34 y.","Not Employed","40","0.0250316374118877","0.0164734262581907","0.0335898485655846"
"Full-time","1996","16-34 y.","Employed","2273","0.649684840365196","0.633882083147864","0.665487597582528"
"Full-time","1996","35-65 y.","Not Employed","18","","",""
"Full-time","1996","35-65 y.","Employed","3572","0.719827700955957","0.70725616585672","0.732399236055193"
"Full-time","1996","66 and older","Not Employed","1","","",""
"Full-time","1996","66 and older","Employed","12","","",""
"Part-time","1996","16-34 y.","Not Employed","21","","",""
"Part-time","1996","16-34 y.","Employed","278","0.0885120354782315","0.0791033561054163","0.0979207148510467"
"Part-time","1996","35-65 y.","Not Employed","15","","",""
"Part-time","1996","35-65 y.","Employed","730","0.155122765148592","0.144988412546505","0.165257117750679"
"Part-time","1996","66 and older","Not Employed","","","",""
"Part-time","1996","66 and older","Employed","11","","",""
"Non-working","1996","16-34 y.","Not Employed","1173","0.919099716767829","0.904161476397268","0.934037957138391"
"Non-working","1996","16-34 y.","Employed","461","0.129091975162317","0.117985204494557","0.140198745830076"
"Non-working","1996","35-65 y.","Not Employed","1815","0.968697801195303","0.960790591736464","0.976605010654141"
"Non-working","1996","35-65 y.","Employed","454","0.0893015596094505","0.0813183367015917","0.0972847825173093"
"Non-working","1996","66 and older","Not Employed","1525","0.999536232518013","0.998456346320608","1.00061611871542"
"Non-working","1996","66 and older","Employed","15","","",""
"Other","1996","16-34 y.","Not Employed","46","0.040567939847377","0.0297600304257806","0.0513758492689734"
"Other","1996","16-34 y.","Employed","489","0.132711148994256","0.12147318536899","0.143949112619523"
"Other","1996","35-65 y.","Not Employed","15","","",""
"Other","1996","35-65 y.","Employed","146","0.035747974286001","0.0305506186388414","0.0409453299331605"
"Other","1996","66 and older","Not Employed","1","","",""
"Other","1996","66 and older","Employed","13","","",""
"Full-time","1997","16-34 y.","Not Employed","32","0.0241981481017346","0.0159022717548529","0.0324940244486163"
"Full-time","1997","16-34 y.","Employed","2187","0.658828759819053","0.642696976430283","0.674960543207823"
"Full-time","1997","35-65 y.","Not Employed","14","","",""
"Full-time","1997","35-65 y.","Employed","3498","0.718008011295649","0.705266585310645","0.730749437280652"
"Full-time","1997","66 and older","Not Employed","","","",""
"Full-time","1997","66 and older","Employed","14","","",""
"Part-time","1997","16-34 y.","Not Employed","12","","",""
"Part-time","1997","16-34 y.","Employed","265","0.091843434835602","0.0820165849390083","0.101670284732196"
"Part-time","1997","35-65 y.","Not Employed","14","","",""
"Part-time","1997","35-65 y.","Employed","693","0.153232529362209","0.143032707811185","0.163432350913234"
"Part-time","1997","66 and older","Not Employed","","","",""
"Part-time","1997","66 and older","Employed","10","","",""
"Non-working","1997","16-34 y.","Not Employed","1230","0.931267051981405","0.917608332343745","0.944925771619064"
"Non-working","1997","16-34 y.","Employed","379","0.110029680815706","0.0993820597144552","0.120677301916957"
"Non-working","1997","35-65 y.","Not Employed","1832","0.97967691983608","0.973290114809434","0.986063724862727"
"Non-working","1997","35-65 y.","Employed","468","0.0996384908239143","0.0911572960658452","0.108119685581983"
"Non-working","1997","66 and older","Not Employed","1559","1","1","1"
"Non-working","1997","66 and older","Employed","17","","",""
"Other","1997","16-34 y.","Not Employed","44","0.0263700573514768","0.0177195240204271","0.0350205906825265"
"Other","1997","16-34 y.","Employed","487","0.139298124529639","0.127516398772833","0.151079850286445"
"Other","1997","35-65 y.","Not Employed","15","","",""
"Other","1997","35-65 y.","Employed","132","0.029120968518228","0.0243597241301778","0.0338822129062782"
"Other","1997","66 and older","Not Employed","","","",""
"Other","1997","66 and older","Employed","13","","",""
"Full-time","1998","16-34 y.","Not Employed","30","0.0244565685966674","0.0163655138617065","0.0325476233316284"
"Full-time","1998","16-34 y.","Employed","2273","0.649317090412557","0.633474272987608","0.665159907837506"
"Full-time","1998","35-65 y.","Not Employed","25","","",""
"Full-time","1998","35-65 y.","Employed","3904","0.723206872436614","0.711212344510025","0.735201400363203"
"Full-time","1998","66 and older","Not Employed","","","",""
"Full-time","1998","66 and older","Employed","11","","",""
"Part-time","1998","16-34 y.","Not Employed","18","","",""
"Part-time","1998","16-34 y.","Employed","247","0.0848507565673461","0.0755990782932783","0.0941024348414138"
"Part-time","1998","35-65 y.","Not Employed","11","","",""
"Part-time","1998","35-65 y.","Employed","824","0.16446254419142","0.154524733942331","0.17440035444051"
"Part-time","1998","66 and older","Not Employed","","","",""
"Part-time","1998","66 and older","Employed","14","","",""
"Non-working","1998","16-34 y.","Not Employed","1317","0.928207870732619","0.91468574052265","0.941730000942588"
"Non-working","1998","16-34 y.","Employed","411","0.117522047922519","0.10683006375298","0.128214032092058"
"Non-working","1998","35-65 y.","Not Employed","2153","0.976060906107798","0.969682125720519","0.982439686495076"
"Non-working","1998","35-65 y.","Employed","438","0.0800466260339435","0.0727716986936903","0.0873215533741966"
"Non-working","1998","66 and older","Not Employed","1832","0.999349621649353","0.998182520161011","1.00051672313769"
"Non-working","1998","66 and older","Employed","18","","",""
"Other","1998","16-34 y.","Not Employed","35","0.0296740440142461","0.0207854869310102","0.0385626010974819"
"Other","1998","16-34 y.","Employed","554","0.148310105097578","0.136510354762972","0.160109855432184"
"Other","1998","35-65 y.","Not Employed","17","","",""
"Other","1998","35-65 y.","Employed","179","0.0322839573380221","0.0275454496563148","0.0370224650197294"
"Other","1998","66 and older","Not Employed","1","","",""
"Other","1998","66 and older","Employed","15","","",""
"Full-time","1999","16-34 y.","Not Employed","30","0.0217037752939646","0.0134764740655037","0.0299310765224255"
"Full-time","1999","16-34 y.","Employed","2155","0.621976995788204","0.605706909525515","0.638247082050893"
"Full-time","1999","35-65 y.","Not Employed","22","","",""
"Full-time","1999","35-65 y.","Employed","3839","0.717671440197673","0.70556887156275","0.729774008832597"
"Full-time","1999","66 and older","Not Employed","1","","",""
"Full-time","1999","66 and older","Employed","14","","",""
"Part-time","1999","16-34 y.","Not Employed","18","","",""
"Part-time","1999","16-34 y.","Employed","273","0.0864479717966642","0.0770184943285677","0.0958774492647606"
"Part-time","1999","35-65 y.","Not Employed","11","","",""
"Part-time","1999","35-65 y.","Employed","807","0.150611562999388","0.140995005205286","0.160228120793491"
"Part-time","1999","66 and older","Not Employed","","","",""
