"erwst","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1987","inadequately","Urban Area","318","0.436337864497821","0.398531210472079","0.474144518523563","1"
"Full-time","1987","inadequately","Rural Area","45","0.355615644950334","0.261792277916642","0.449439011984027","1"
"Full-time","1987","general elemantary","Urban Area","736","0.238769075398159","0.220954150291757","0.25658400050456","1"
"Full-time","1987","general elemantary","Rural Area","180","0.218355492820463","0.186765312346232","0.249945673294693","1"
"Full-time","1987","middle vocational","Urban Area","2058","0.473114117853779","0.457456589518095","0.488771646189464","1"
"Full-time","1987","middle vocational","Rural Area","581","0.495121476645578","0.465302993710841","0.524939959580315","1"
"Full-time","1987","vocational + Abi","Urban Area","141","0.521649807450568","0.4579182411885","0.585381373712635","1"
"Full-time","1987","vocational + Abi","Rural Area","20","","","","1"
"Full-time","1987","higher vocational","Urban Area","247","0.525208078003743","0.479223061225794","0.571193094781692","1"
"Full-time","1987","higher vocational","Rural Area","71","0.538101114091961","0.447376631642967","0.628825596540955","1"
"Full-time","1987","higher education","Urban Area","433","0.662010599321471","0.62489642458121","0.699124774061732","1"
"Full-time","1987","higher education","Rural Area","80","0.611065899874597","0.523841196058639","0.698290603690555","1"
"Non-working","1987","in school","Urban Area","158","0.946016424948049","0.911534914756426","0.980497935139673","5"
"Non-working","1987","in school","Rural Area","24","","","","5"
"Non-working","1987","inadequately","Urban Area","298","0.489045856351826","0.450938123169669","0.527153589533983","5"
"Non-working","1987","inadequately","Rural Area","42","0.48055048298628","0.382626454072479","0.57847451190008","5"
"Non-working","1987","general elemantary","Urban Area","1069","0.589087973821878","0.568529008453795","0.609646939189962","5"
"Non-working","1987","vocational + Abi","Urban Area","70","0.345144424057555","0.284489608670599","0.405799239444511","5"
"Non-working","1987","vocational + Abi","Rural Area","17","","","","5"
"Non-working","1987","higher vocational","Urban Area","155","0.372184204767139","0.327670465465004","0.416697944069274","5"
"Non-working","1987","higher vocational","Rural Area","35","0.374907639338619","0.286812217992408","0.463003060684831","5"
"Non-working","1987","higher education","Urban Area","132","0.246868780390053","0.213037050300714","0.280700510479391","5"
"Non-working","1987","higher education","Rural Area","29","","","","5"
"Non-working","1987","general elemantary","Rural Area","349","0.600979841841453","0.563534933056456","0.63842475062645","5"
"Non-working","1987","middle vocational","Urban Area","1438","0.429042235372425","0.413520724744236","0.444563746000614","5"
"Non-working","1987","middle vocational","Rural Area","354","0.3834125785874","0.354414666961849","0.412410490212951","5"
"Other","1987","higher education","Rural Area","2","","","","6"
"Other","1987","inadequately","Urban Area","15","","","","6"
"Other","1987","in school","Rural Area","","","","","6"
"Other","1987","higher vocational","Rural Area","2","","","","6"
"Other","1987","higher education","Urban Area","19","","","","6"
"Other","1987","inadequately","Rural Area","10","","","","6"
"Other","1987","general elemantary","Urban Area","253","0.102072295796608","0.0894216884048409","0.114722903188374","6"
"Other","1987","in school","Urban Area","6","","","","6"
"Other","1987","higher vocational","Urban Area","10","","","","6"
"Other","1987","middle vocational","Urban Area","162","0.0365349082028614","0.0306511614212375","0.0424186549844852","6"
"Other","1987","general elemantary","Rural Area","77","0.0979119622652279","0.0751867606269841","0.120637163903472","6"
"Other","1987","middle vocational","Rural Area","53","0.0413711335470895","0.0294940400646245","0.0532482270295545","6"
"Other","1987","vocational + Abi","Urban Area","12","","","","6"
"Other","1987","vocational + Abi","Rural Area","3","","","","6"
"Part-time","1987","inadequately","Rural Area","3","","","","2"
"Part-time","1987","inadequately","Urban Area","30","0.0333220365120623","0.0196398962435185","0.047004176780606","2"
"Part-time","1987","higher vocational","Rural Area","8","","","","2"
"Part-time","1987","higher education","Urban Area","40","0.0607305184287725","0.0419911738858939","0.079469862971651","2"
"Part-time","1987","in school","Rural Area","2","","","","2"
"Part-time","1987","general elemantary","Urban Area","142","0.0700706549833554","0.0594039614999867","0.0807373484667242","2"
"Part-time","1987","higher vocational","Urban Area","41","0.0758501738146366","0.0514693445454776","0.100231003083796","2"
"Part-time","1987","general elemantary","Rural Area","51","0.0827527030728567","0.061685847355391","0.103819558790323","2"
"Part-time","1987","higher education","Rural Area","9","","","","2"
"Part-time","1987","in school","Urban Area","1","","","","2"
"Part-time","1987","middle vocational","Rural Area","92","0.0800948112199323","0.0639061871298286","0.0962834353100361","2"
"Part-time","1987","vocational + Abi","Urban Area","13","","","","2"
"Part-time","1987","vocational + Abi","Rural Area","2","","","","2"
"Part-time","1987","middle vocational","Urban Area","248","0.0613087385709343","0.0537855049325837","0.0688319722092849","2"
"Full-time","1988","in school","Urban Area","","","","","1"
"Full-time","1988","in school","Rural Area","","","","","1"
"Full-time","1988","inadequately","Urban Area","281","0.410873487300288","0.37173427432043","0.450012700280147","1"
"Full-time","1988","inadequately","Rural Area","40","0.29196800627638","0.200539765830199","0.383396246722561","1"
"Full-time","1988","general elemantary","Urban Area","698","0.22720992734008","0.209452210876029","0.244967643804131","1"
"Full-time","1988","general elemantary","Rural Area","178","0.235450611947368","0.201473429352476","0.26942779454226","1"
"Full-time","1988","middle vocational","Urban Area","1937","0.472156026080717","0.456141479447512","0.488170572713922","1"
"Full-time","1988","middle vocational","Rural Area","526","0.465199461726842","0.434649291652538","0.495749631801145","1"
"Full-time","1988","vocational + Abi","Urban Area","136","0.532670718162091","0.468880355890813","0.596461080433369","1"
"Full-time","1988","vocational + Abi","Rural Area","15","","","","1"
"Full-time","1988","higher vocational","Urban Area","245","0.554436130671954","0.507458121473615","0.601414139870292","1"
"Full-time","1988","higher vocational","Rural Area","71","0.572729081559616","0.480702585444403","0.664755577674829","1"
"Full-time","1988","higher education","Urban Area","411","0.680411894810968","0.642816417530782","0.718007372091154","1"
"Full-time","1988","higher education","Rural Area","76","0.633744490792743","0.544118125758347","0.723370855827138","1"
"Non-working","1988","higher vocational","Rural Area","32","0.350481714597755","0.261722188458147","0.439241240737364","5"
"Non-working","1988","higher education","Urban Area","122","0.231102135149991","0.197116870437562","0.265087399862419","5"
"Non-working","1988","vocational + Abi","Urban Area","72","0.350301979991606","0.289307402468101","0.411296557515111","5"
"Non-working","1988","vocational + Abi","Rural Area","16","","","","5"
"Non-working","1988","higher vocational","Urban Area","137","0.352547774344123","0.307390604440966","0.39770494424728","5"
"Non-working","1988","in school","Urban Area","128","0.951607952249616","0.915408896835931","0.987807007663301","5"
"Non-working","1988","in school","Rural Area","28","","","","5"
"Non-working","1988","inadequately","Urban Area","284","0.520521212445418","0.480778485666449","0.560263939224386","5"
"Non-working","1988","inadequately","Rural Area","45","0.607310476740821","0.50910938131648","0.705511572165162","5"
"Non-working","1988","general elemantary","Urban Area","1027","0.596656710686438","0.57586729029577","0.617446131077106","5"
"Non-working","1988","general elemantary","Rural Area","308","0.59104987558171","0.551678379557008","0.630421371606413","5"
"Non-working","1988","middle vocational","Urban Area","1393","0.427077536503253","0.411209602487662","0.442945470518843","5"
"Non-working","1988","middle vocational","Rural Area","363","0.414066929627698","0.383898174432283","0.444235684823113","5"
"Non-working","1988","higher education","Rural Area","25","","","","5"
"Other","1988","inadequately","Urban Area","10","","","","6"
"Other","1988","general elemantary","Urban Area","263","0.100094442127506","0.0873756418564921","0.112813242398519","6"
"Other","1988","higher education","Urban Area","16","","","","6"
"Other","1988","higher education","Rural Area","4","","","","6"
"Other","1988","inadequately","Rural Area","7","","","","6"
"Other","1988","higher vocational","Rural Area","2","","","","6"
"Other","1988","in school","Rural Area","","","","","6"
"Other","1988","general elemantary","Rural Area","70","0.104010204023414","0.079563282082814","0.128457125964013","6"
"Other","1988","in school","Urban Area","4","","","","6"
"Other","1988","higher vocational","Urban Area","13","","","","6"
"Other","1988","middle vocational","Urban Area","143","0.033079973200327","0.0273428133790895","0.0388171330215644","6"
"Other","1988","middle vocational","Rural Area","55","0.0464354789675752","0.0335471052834512","0.0593238526516992","6"
"Other","1988","vocational + Abi","Urban Area","16","","","","6"
"Other","1988","vocational + Abi","Rural Area","3","","","","6"
"Part-time","1988","inadequately","Rural Area","3","","","","2"
"Part-time","1988","inadequately","Urban Area","32","0.0436017114804111","0.0273565172200896","0.0598469057407326","2"
"Part-time","1988","higher education","Rural Area","6","","","","2"
"Part-time","1988","general elemantary","Urban Area","151","0.0760389198459763","0.0648061332741586","0.0872717064177939","2"
"Part-time","1988","higher vocational","Rural Area","6","","","","2"
"Part-time","1988","higher education","Urban Area","42","0.063260451585211","0.0436345361785657","0.0828863669918562","2"
"Part-time","1988","in school","Rural Area","","","","","2"
"Part-time","1988","higher vocational","Urban Area","35","0.0664624583000158","0.0429191246472523","0.0900057919527793","2"
"Part-time","1988","general elemantary","Rural Area","43","0.0694893084475084","0.0491257177896958","0.089852899105321","2"
"Part-time","1988","in school","Urban Area","3","","","","2"
"Part-time","1988","middle vocational","Rural Area","80","0.0742981296778851","0.0582352789323885","0.0903609804233818","2"
"Part-time","1988","vocational + Abi","Urban Area","11","","","","2"
"Part-time","1988","vocational + Abi","Rural Area","2","","","","2"
"Part-time","1988","middle vocational","Urban Area","260","0.0676864642157033","0.0596280236916543","0.0757449047397524","2"
"Full-time","1989","in school","Urban Area","2","","","","1"
"Full-time","1989","in school","Rural Area","","","","","1"
"Full-time","1989","inadequately","Urban Area","253","0.397575801086723","0.357574386988876","0.437577215184569","1"
"Full-time","1989","inadequately","Rural Area","44","0.381938347303501","0.278650040090602","0.485226654516399","1"
"Full-time","1989","general elemantary","Urban Area","706","0.237261597314814","0.218774269243899","0.255748925385729","1"
"Full-time","1989","general elemantary","Rural Area","163","0.218430878421587","0.1840559096716","0.252805847171573","1"
"Full-time","1989","middle vocational","Urban Area","1929","0.481284842484257","0.465090952951222","0.497478732017292","1"
"Full-time","1989","middle vocational","Rural Area","532","0.495449850754591","0.464162729321991","0.52673697218719","1"
"Full-time","1989","vocational + Abi","Urban Area","149","0.546130372490211","0.484782210445498","0.607478534534924","1"
"Full-time","1989","vocational + Abi","Rural Area","13","","","","1"
"Full-time","1989","higher vocational","Urban Area","235","0.550638542632495","0.502371663072195","0.598905422192794","1"
"Full-time","1989","higher vocational","Rural Area","69","0.579609052260576","0.486513170228945","0.672704934292208","1"
"Full-time","1989","higher education","Urban Area","415","0.671824938125207","0.633968896639666","0.709680979610749","1"
"Full-time","1989","higher education","Rural Area","66","0.579339098086971","0.48623501936806","0.672443176805882","1"
"Non-working","1989","in school","Urban Area","137","0.94353245440763","0.906345114755576","0.980719794059685","5"
"Non-working","1989","in school","Rural Area","26","","","","5"
"Non-working","1989","inadequately","Urban Area","281","0.526357079744966","0.4855458268119","0.567168332678031","5"
"Non-working","1989","inadequately","Rural Area","33","0.473094223587868","0.366954260874133","0.579234186301603","5"
"Non-working","1989","general elemantary","Urban Area","944","0.584431109823165","0.563014003443011","0.60584821620332","5"
"Non-working","1989","general elemantary","Rural Area","290","0.608247189555544","0.567635812549981","0.648858566561108","5"
"Non-working","1989","middle vocational","Urban Area","1332","0.415618346148508","0.399645538844211","0.431591153452805","5"
"Non-working","1989","middle vocational","Rural Area","328","0.396734131684219","0.366120295981562","0.427347967386876","5"
"Non-working","1989","vocational + Abi","Urban Area","80","0.349600475312046","0.290842889266005","0.408358061358088","5"
"Non-working","1989","vocational + Abi","Rural Area","21","","","","5"
"Non-working","1989","higher vocational","Urban Area","128","0.349152654254396","0.302896954806318","0.395408353702474","5"
"Non-working","1989","higher vocational","Rural Area","31","0.362734940884175","0.272059231361008","0.453410650407341","5"
"Non-working","1989","higher education","Urban Area","114","0.230409988525028","0.19646038452346","0.264359592526596","5"
"Non-working","1989","higher education","Rural Area","30","0.319298247920395","0.231373138951547","0.407223356889244","5"
"Other","1989","inadequately","Rural Area","5","","","","6"
"Other","1989","inadequately","Urban Area","13","","","","6"
"Other","1989","higher vocational","Rural Area","2","","","","6"
"Other","1989","in school","Urban Area","6","","","","6"
"Other","1989","general elemantary","Urban Area","247","0.108833092800532","0.0952988916227496","0.122367293978315","6"
"Other","1989","in school","Rural Area","","","","","6"
"Other","1989","higher education","Urban Area","22","","","","6"
"Other","1989","general elemantary","Rural Area","55","0.079964910515793","0.0573989656392914","0.102530855392295","6"
"Other","1989","higher education","Rural Area","1","","","","6"
"Other","1989","higher vocational","Urban Area","11","","","","6"
"Other","1989","middle vocational","Urban Area","134","0.0327399202093765","0.0269723080164379","0.0385075324023152","6"
"Other","1989","middle vocational","Rural Area","43","0.0346849851750924","0.0232346322014426","0.0461353381487422","6"
"Other","1989","vocational + Abi","Urban Area","8","","","","6"
"Other","1989","vocational + Abi","Rural Area","1","","","","6"
"Part-time","1989","inadequately","Urban Area","28","","","","2"
"Part-time","1989","general elemantary","Urban Area","137","0.0694742000614881","0.0584245479800896","0.0805238521428866","2"
"Part-time","1989","higher vocational","Rural Area","6","","","","2"
"Part-time","1989","higher education","Rural Area","11","","","","2"
"Part-time","1989","inadequately","Rural Area","3","","","","2"
"Part-time","1989","higher education","Urban Area","40","0.0580797196664434","0.0392226728113923","0.0769367665214945","2"
"Part-time","1989","in school","Rural Area","1","","","","2"
"Part-time","1989","higher vocational","Urban Area","34","0.0754664462077347","0.0498359922828344","0.101096900132635","2"
"Part-time","1989","general elemantary","Rural Area","47","0.0933570215070761","0.0691526815330036","0.117561361481149","2"
"Part-time","1989","in school","Urban Area","3","","","","2"
"Part-time","1989","middle vocational","Urban Area","262","0.0703568911578582","0.0620679881345703","0.0786457941811461","2"
"Part-time","1989","middle vocational","Rural Area","78","0.073131032386098","0.056839062058498","0.089423002713698","2"
"Part-time","1989","vocational + Abi","Urban Area","16","","","","2"
"Part-time","1989","vocational + Abi","Rural Area","2","","","","2"
"Full-time","1990","general elemantary","Urban Area","731","0.245561107296563","0.227221835569571","0.263900379023556","1"
"Full-time","1990","general elemantary","Rural Area","228","0.204962648779504","0.178367184001734","0.231558113557274","1"
"Full-time","1990","middle vocational","Urban Area","2410","0.493597877572234","0.478837041193741","0.508358713950727","1"
"Full-time","1990","middle vocational","Rural Area","1651","0.550795164910831","0.53183532629624","0.569755003525423","1"
"Full-time","1990","vocational + Abi","Urban Area","161","0.527170587624825","0.469807908826127","0.584533266423523","1"
"Full-time","1990","in school","Urban Area","","","","","1"
"Full-time","1990","in school","Rural Area","","","","","1"
"Full-time","1990","inadequately","Urban Area","254","0.444047201919161","0.402895518433666","0.485198885404656","1"
"Full-time","1990","inadequately","Rural Area","42","0.384262453376299","0.283768801063438","0.484756105689161","1"
"Full-time","1990","vocational + Abi","Rural Area","48","0.51068652270443","0.403144096008753","0.618228949400107","1"
"Full-time","1990","higher vocational","Urban Area","302","0.568879461790119","0.525030477816865","0.612728445763373","1"
"Full-time","1990","higher vocational","Rural Area","205","0.630930345411073","0.574307607332856","0.68755308348929","1"
"Full-time","1990","higher education","Urban Area","730","0.682243139162131","0.653442754301414","0.711043524022848","1"
"Full-time","1990","higher education","Rural Area","515","0.725744748290308","0.692088505508858","0.759400991071759","1"
"Non-working","1990","in school","Urban Area","136","0.962612224908505","0.93129891099121","0.993925538825801","5"
"Non-working","1990","in school","Rural Area","50","0.886020920969762","0.800466054795156","0.971575787144367","5"
"Non-working","1990","inadequately","Urban Area","262","0.484357244927296","0.442965718957363","0.525748770897229","5"
"Non-working","1990","inadequately","Rural Area","39","0.516167502868521","0.412922347299474","0.619412658437569","5"
"Non-working","1990","general elemantary","Urban Area","993","0.583740184110664","0.562737137381879","0.604743230839449","5"
"Non-working","1990","general elemantary","Rural Area","445","0.591270616380574","0.558882362543906","0.623658870217243","5"
"Non-working","1990","middle vocational","Urban Area","1479","0.393806905663659","0.379381643264036","0.408232168063282","5"
"Non-working","1990","middle vocational","Rural Area","663","0.332601930175566","0.314643340759408","0.350560519591725","5"
"Non-working","1990","vocational + Abi","Urban Area","97","0.343937573242159","0.289360028935557","0.398515117548761","5"
"Non-working","1990","vocational + Abi","Rural Area","26","","","","5"
"Non-working","1990","higher vocational","Urban Area","142","0.346723495374829","0.304583915005472","0.388863075744187","5"
"Non-working","1990","higher vocational","Rural Area","59","0.306995854969769","0.252873066812068","0.36111864312747","5"
"Non-working","1990","higher education","Urban Area","177","0.21247443115104","0.187171728971282","0.237777133330798","5"
"Non-working","1990","higher education","Rural Area","115","0.205426437923755","0.174948089627568","0.235904786219942","5"
"Other","1990","inadequately","Urban Area","13","","","","6"
"Other","1990","general elemantary","Urban Area","246","0.103364739436377","0.0903934134673775","0.116336065405376","6"
"Other","1990","inadequately","Rural Area","4","","","","6"
"Other","1990","general elemantary","Rural Area","137","0.115171421916611","0.0941395276144916","0.136203316218731","6"
"Other","1990","in school","Rural Area","2","","","","6"
"Other","1990","higher vocational","Rural Area","2","","","","6"
"Other","1990","higher education","Urban Area","13","","","","6"
"Other","1990","higher education","Rural Area","3","","","","6"
"Other","1990","in school","Urban Area","2","","","","6"
"Other","1990","higher vocational","Urban Area","10","","","","6"
"Other","1990","middle vocational","Urban Area","145","0.0323106891249399","0.0270901224341897","0.0375312558156901","6"
"Other","1990","middle vocational","Rural Area","48","0.01994428513594","0.0146152082566339","0.0252733620152461","6"
"Other","1990","vocational + Abi","Urban Area","8","","","","6"
"Other","1990","vocational + Abi","Rural Area","6","","","","6"
"Part-time","1990","higher vocational","Rural Area","13","","","","2"
"Part-time","1990","inadequately","Urban Area","31","0.039229950428323","0.0231504450499961","0.0553094558066499","2"
"Part-time","1990","general elemantary","Urban Area","146","0.0673339691563956","0.0566564478458507","0.0780114904669404","2"
"Part-time","1990","higher education","Urban Area","84","0.0899300869209322","0.072234249499253","0.107625924342611","2"
"Part-time","1990","higher education","Rural Area","42","0.0600455290673902","0.0421233855201127","0.0779676726146678","2"
"Part-time","1990","inadequately","Rural Area","5","","","","2"
"Part-time","1990","in school","Rural Area","1","","","","2"
"Part-time","1990","higher vocational","Urban Area","36","0.0688775707176286","0.046454640993659","0.0913005004415983","2"
"Part-time","1990","general elemantary","Rural Area","75","0.0885953129233103","0.0698739502001874","0.107316675646433","2"
"Part-time","1990","in school","Urban Area","3","","","","2"
"Part-time","1990","middle vocational","Urban Area","373","0.0802845276391669","0.0722618518790974","0.0883072033992364","2"
"Part-time","1990","middle vocational","Rural Area","282","0.0966586197776627","0.0853953726596384","0.107921866895687","2"
"Part-time","1990","vocational + Abi","Urban Area","25","","","","2"
"Part-time","1990","vocational + Abi","Rural Area","3","","","","2"
"Full-time","1991","general elemantary","Urban Area","711","0.244932828988859","0.226220693173226","0.263644964804492","1"
"Full-time","1991","general elemantary","Rural Area","200","0.194191104167418","0.167550928751026","0.220831279583811","1"
"Full-time","1991","middle vocational","Urban Area","2284","0.480600346630078","0.465686078480687","0.495514614779469","1"
