"erwst","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Part-time","1984","Hamburg","direct migration background","6","","",""
"Part-time","1984","Hamburg","indirect migration background","","","",""
"Part-time","1984","Lower Saxony","no migration background","65","0.0568872176122101","0.0427210612506324","0.0710533739737878"
"Part-time","1984","Lower Saxony","direct migration background","7","","",""
"Part-time","1984","Lower Saxony","indirect migration background","","","",""
"Part-time","1984","Bremen","no migration background","4","","",""
"Part-time","1984","Bremen","direct migration background","","","",""
"Part-time","1984","Bremen","indirect migration background","","","",""
"Part-time","1984","North Rhine-Westphalia","no migration background","128","0.0508416164497115","0.0418088049662359","0.0598744279331872"
"Part-time","1984","North Rhine-Westphalia","direct migration background","20","","",""
"Part-time","1984","North Rhine-Westphalia","indirect migration background","","","",""
"Part-time","1984","Hesse","no migration background","58","0.0691870236789029","0.0512275358289882","0.0871465115288177"
"Part-time","1984","Hesse","direct migration background","15","","",""
"Part-time","1984","Hesse","indirect migration background","","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","no migration background","25","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","direct migration background","3","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Part-time","1984","Baden-Württemberg","no migration background","91","0.0612704812629328","0.0484773431085234","0.0740636194173421"
"Part-time","1984","Baden-Württemberg","direct migration background","42","0.0743301827664812","0.0571067429863365","0.0915536225466259"
"Part-time","1984","Baden-Württemberg","indirect migration background","2","","",""
"Part-time","1984","Bavaria","no migration background","93","0.0516066674496772","0.0408402845879534","0.0623730503114011"
"Part-time","1984","Bavaria","direct migration background","25","","",""
"Part-time","1984","Bavaria","indirect migration background","3","","",""
"Part-time","1984","Berlin","no migration background","23","","",""
"Part-time","1984","Berlin","direct migration background","7","","",""
"Part-time","1984","Berlin","indirect migration background","1","","",""
"Part-time","1984","Brandenburg","no migration background","","","",""
"Part-time","1984","Brandenburg","direct migration background","","","",""
"Part-time","1984","Brandenburg","indirect migration background","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Part-time","1984","Saxony","no migration background","","","",""
"Part-time","1984","Saxony","direct migration background","","","",""
"Part-time","1984","Saxony","indirect migration background","","","",""
"Part-time","1984","Saxony-Anhalt","no migration background","","","",""
"Part-time","1984","Saxony-Anhalt","direct migration background","","","",""
"Part-time","1984","Saxony-Anhalt","indirect migration background","","","",""
"Part-time","1984","Thuringia","no migration background","","","",""
"Part-time","1984","Thuringia","direct migration background","","","",""
"Part-time","1984","Thuringia","indirect migration background","","","",""
"Non-working","1984","Schleswig-Holstein","no migration background","144","0.445108115921189","0.392437065336035","0.497779166506344"
"Non-working","1984","Schleswig-Holstein","direct migration background","13","","",""
"Non-working","1984","Schleswig-Holstein","indirect migration background","3","","",""
"Non-working","1984","Hamburg","no migration background","107","0.54715082733926","0.481374886313184","0.612926768365337"
"Non-working","1984","Hamburg","direct migration background","24","","",""
"Non-working","1984","Hamburg","indirect migration background","1","","",""
"Non-working","1984","Lower Saxony","no migration background","478","0.501350443125371","0.470770879089416","0.531930007161325"
"Non-working","1984","Lower Saxony","direct migration background","84","0.434833768534813","0.366470606764083","0.503196930305543"
"Non-working","1984","Lower Saxony","indirect migration background","2","","",""
"Non-working","1984","Bremen","no migration background","64","0.708217933087888","0.6182168343975","0.798219031778276"
"Non-working","1984","Bremen","direct migration background","14","","",""
"Non-working","1984","Bremen","indirect migration background","","","",""
"Non-working","1984","North Rhine-Westphalia","no migration background","1045","0.493552718076228","0.472994861879978","0.514110574272478"
"Non-working","1984","North Rhine-Westphalia","direct migration background","373","0.443565346735035","0.412105889479531","0.47502480399054"
"Non-working","1984","North Rhine-Westphalia","indirect migration background","21","","",""
"Non-working","1984","Hesse","no migration background","335","0.469329119538268","0.434010657145715","0.504647581930821"
"Non-working","1984","Hesse","direct migration background","156","0.390632017868787","0.346663557845844","0.434600477891729"
"Non-working","1984","Hesse","indirect migration background","9","","",""
"Non-working","1984","Rhineland-Palatinate,Saarland","no migration background","352","0.525988482805773","0.488892572260172","0.563084393351373"
"Non-working","1984","Rhineland-Palatinate,Saarland","direct migration background","44","0.330925422555369","0.256365627448294","0.405485217662445"
"Non-working","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Non-working","1984","Baden-Württemberg","no migration background","562","0.451724247903541","0.42517712697325","0.478271368833831"
"Non-working","1984","Baden-Württemberg","direct migration background","247","0.304945440368921","0.274716024214262","0.335174856523579"
"Non-working","1984","Baden-Württemberg","indirect migration background","10","","",""
"Non-working","1984","Bavaria","no migration background","680","0.452263468653728","0.428041787980041","0.476485149327416"
"Non-working","1984","Bavaria","direct migration background","141","0.39277246341264","0.348095052921723","0.437449873903557"
"Non-working","1984","Bavaria","indirect migration background","11","","",""
"Non-working","1984","Berlin","no migration background","114","0.446341256420896","0.389323350571955","0.503359162269836"
"Non-working","1984","Berlin","direct migration background","31","0.25970620039397","0.18025538195884","0.339157018829101"
"Non-working","1984","Berlin","indirect migration background","1","","",""
"Non-working","1984","Brandenburg","no migration background","","","",""
"Non-working","1984","Brandenburg","direct migration background","","","",""
"Non-working","1984","Brandenburg","indirect migration background","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Non-working","1984","Saxony","no migration background","","","",""
"Non-working","1984","Saxony","direct migration background","","","",""
"Non-working","1984","Saxony","indirect migration background","","","",""
"Non-working","1984","Saxony-Anhalt","no migration background","","","",""
"Non-working","1984","Saxony-Anhalt","direct migration background","","","",""
"Non-working","1984","Saxony-Anhalt","indirect migration background","","","",""
"Non-working","1984","Thuringia","no migration background","","","",""
"Non-working","1984","Thuringia","direct migration background","","","",""
"Non-working","1984","Thuringia","indirect migration background","","","",""
"Other","1984","Schleswig-Holstein","no migration background","24","","",""
"Other","1984","Schleswig-Holstein","direct migration background","","","",""
"Other","1984","Schleswig-Holstein","indirect migration background","1","","",""
"Other","1984","Hamburg","no migration background","12","","",""
"Other","1984","Hamburg","direct migration background","5","","",""
"Other","1984","Hamburg","indirect migration background","","","",""
"Other","1984","Lower Saxony","no migration background","80","0.0724425208682007","0.0565888418022651","0.0882961999341363"
"Other","1984","Lower Saxony","direct migration background","8","","",""
"Other","1984","Lower Saxony","indirect migration background","3","","",""
"Other","1984","Bremen","no migration background","7","","",""
"Other","1984","Bremen","direct migration background","3","","",""
"Other","1984","Bremen","indirect migration background","","","",""
"Other","1984","North Rhine-Westphalia","no migration background","141","0.0575959817412877","0.0480161344814403","0.0671758290011351"
"Other","1984","North Rhine-Westphalia","direct migration background","40","0.0362465248532382","0.0244111640394606","0.0480818856670158"
"Other","1984","North Rhine-Westphalia","indirect migration background","9","","",""
"Other","1984","Hesse","no migration background","58","0.0695810907759227","0.0515743426662964","0.0875878388855491"
"Other","1984","Hesse","direct migration background","24","","",""
"Other","1984","Hesse","indirect migration background","2","","",""
"Other","1984","Rhineland-Palatinate,Saarland","no migration background","48","0.0665697411163429","0.0480505146386791","0.0850889675940067"
"Other","1984","Rhineland-Palatinate,Saarland","direct migration background","9","","",""
"Other","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Other","1984","Baden-Württemberg","no migration background","94","0.0646611131877808","0.0515425192170064","0.0777797071585552"
"Other","1984","Baden-Württemberg","direct migration background","35","0.031197598233004","0.0197822957786657","0.0426129006873422"
"Other","1984","Baden-Württemberg","indirect migration background","4","","",""
"Other","1984","Bavaria","no migration background","124","0.0738387750201045","0.0611122977840761","0.0865652522561328"
"Other","1984","Bavaria","direct migration background","23","","",""
"Other","1984","Bavaria","indirect migration background","6","","",""
"Other","1984","Berlin","no migration background","13","","",""
"Other","1984","Berlin","direct migration background","5","","",""
"Other","1984","Berlin","indirect migration background","","","",""
"Other","1984","Brandenburg","no migration background","","","",""
"Other","1984","Brandenburg","direct migration background","","","",""
"Other","1984","Brandenburg","indirect migration background","","","",""
"Other","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Other","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Other","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Other","1984","Saxony","no migration background","","","",""
"Other","1984","Saxony","direct migration background","","","",""
"Other","1984","Saxony","indirect migration background","","","",""
"Other","1984","Saxony-Anhalt","no migration background","","","",""
"Other","1984","Saxony-Anhalt","direct migration background","","","",""
"Other","1984","Saxony-Anhalt","indirect migration background","","","",""
"Other","1984","Thuringia","no migration background","","","",""
"Other","1984","Thuringia","direct migration background","","","",""
"Other","1984","Thuringia","indirect migration background","","","",""
"Full-time","1985","Schleswig-Holstein","no migration background","136","0.410248724442173","0.355843409194954","0.464654039689393"
"Full-time","1985","Schleswig-Holstein","direct migration background","24","","",""
"Full-time","1985","Schleswig-Holstein","indirect migration background","","","",""
"Full-time","1985","Hamburg","no migration background","87","0.384380772172781","0.318431218104285","0.450330326241278"
"Full-time","1985","Hamburg","direct migration background","42","0.540349615652144","0.423601384782452","0.657097846521836"
"Full-time","1985","Hamburg","indirect migration background","","","",""
"Full-time","1985","Lower Saxony","no migration background","375","0.368329591391141","0.33757600575452","0.399083177027762"
"Full-time","1985","Lower Saxony","direct migration background","74","0.399649971954624","0.322537539475222","0.476762404434025"
"Full-time","1985","Lower Saxony","indirect migration background","2","","",""
"Full-time","1985","Bremen","no migration background","22","","",""
"Full-time","1985","Bremen","direct migration background","9","","",""
"Full-time","1985","Bremen","indirect migration background","","","",""
"Full-time","1985","North Rhine-Westphalia","no migration background","907","0.401649865882196","0.38079657489459","0.422503156869803"
"Full-time","1985","North Rhine-Westphalia","direct migration background","449","0.517624085510527","0.483148522341757","0.552099648679296"
"Full-time","1985","North Rhine-Westphalia","indirect migration background","10","","",""
"Full-time","1985","Hesse","no migration background","301","0.406729136748087","0.37046872887792","0.442989544618254"
"Full-time","1985","Hesse","direct migration background","250","0.478332294177177","0.430728701014471","0.525935887339883"
"Full-time","1985","Hesse","indirect migration background","3","","",""
"Full-time","1985","Rhineland-Palatinate,Saarland","no migration background","262","0.3930368400905","0.355047738397282","0.431025941783718"
"Full-time","1985","Rhineland-Palatinate,Saarland","direct migration background","83","0.595733922085322","0.511696589543019","0.679771254627624"
"Full-time","1985","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Full-time","1985","Baden-Württemberg","no migration background","580","0.443221721646571","0.415414697372343","0.471028745920798"
"Full-time","1985","Baden-Württemberg","direct migration background","493","0.56476035432067","0.530340006438621","0.599180702202719"
"Full-time","1985","Baden-Württemberg","indirect migration background","13","","",""
"Full-time","1985","Bavaria","no migration background","682","0.429814364140467","0.404669497249294","0.454959231031639"
"Full-time","1985","Bavaria","direct migration background","259","0.503654099372702","0.454347170896694","0.55296102784871"
"Full-time","1985","Bavaria","indirect migration background","10","","",""
"Full-time","1985","Berlin","no migration background","128","0.440794239223182","0.380676696768157","0.500911781678207"
"Full-time","1985","Berlin","direct migration background","53","0.525505236584743","0.428598885463042","0.622411587706443"
"Full-time","1985","Berlin","indirect migration background","","","",""
"Full-time","1985","Brandenburg","no migration background","","","",""
"Full-time","1985","Brandenburg","direct migration background","","","",""
"Full-time","1985","Brandenburg","indirect migration background","","","",""
"Full-time","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Full-time","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Full-time","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Full-time","1985","Saxony","no migration background","","","",""
"Full-time","1985","Saxony","direct migration background","","","",""
"Full-time","1985","Saxony","indirect migration background","","","",""
"Full-time","1985","Saxony-Anhalt","no migration background","","","",""
"Full-time","1985","Saxony-Anhalt","direct migration background","","","",""
"Full-time","1985","Saxony-Anhalt","indirect migration background","","","",""
"Full-time","1985","Thuringia","no migration background","","","",""
"Full-time","1985","Thuringia","direct migration background","","","",""
"Full-time","1985","Thuringia","indirect migration background","","","",""
"Part-time","1985","Schleswig-Holstein","no migration background","28","","",""
"Part-time","1985","Schleswig-Holstein","direct migration background","2","","",""
"Part-time","1985","Schleswig-Holstein","indirect migration background","","","",""
"Part-time","1985","Hamburg","no migration background","17","","",""
"Part-time","1985","Hamburg","direct migration background","5","","",""
"Part-time","1985","Hamburg","indirect migration background","","","",""
"Part-time","1985","Lower Saxony","no migration background","77","0.0747870941593615","0.0580158084536616","0.0915583798650613"
"Part-time","1985","Lower Saxony","direct migration background","6","","",""
"Part-time","1985","Lower Saxony","indirect migration background","","","",""
"Part-time","1985","Bremen","no migration background","5","","",""
"Part-time","1985","Bremen","direct migration background","1","","",""
"Part-time","1985","Bremen","indirect migration background","","","",""
"Part-time","1985","North Rhine-Westphalia","no migration background","148","0.0620178065510916","0.0517582499477622","0.0722773631544209"
"Part-time","1985","North Rhine-Westphalia","direct migration background","36","0.0459114049272923","0.0314714456904083","0.0603513641641763"
"Part-time","1985","North Rhine-Westphalia","indirect migration background","1","","",""
"Part-time","1985","Hesse","no migration background","57","0.0704414696086491","0.0515525939886807","0.0893303452286175"
"Part-time","1985","Hesse","direct migration background","13","","",""
"Part-time","1985","Hesse","indirect migration background","","","",""
"Part-time","1985","Rhineland-Palatinate,Saarland","no migration background","33","0.0499076610362607","0.0329710019873286","0.0668443200851929"
"Part-time","1985","Rhineland-Palatinate,Saarland","direct migration background","5","","",""
"Part-time","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Part-time","1985","Baden-Württemberg","no migration background","104","0.0786259585894282","0.0635597554504974","0.0936921617283591"
"Part-time","1985","Baden-Württemberg","direct migration background","37","0.0535903385945997","0.0379551989891029","0.0692254782000965"
"Part-time","1985","Baden-Württemberg","indirect migration background","1","","",""
"Part-time","1985","Bavaria","no migration background","123","0.0742651919655046","0.0609472630355881","0.0875831208954212"
"Part-time","1985","Bavaria","direct migration background","21","","",""
"Part-time","1985","Bavaria","indirect migration background","4","","",""
"Part-time","1985","Berlin","no migration background","26","","",""
"Part-time","1985","Berlin","direct migration background","4","","",""
"Part-time","1985","Berlin","indirect migration background","1","","",""
"Part-time","1985","Brandenburg","no migration background","","","",""
"Part-time","1985","Brandenburg","direct migration background","","","",""
"Part-time","1985","Brandenburg","indirect migration background","","","",""
"Part-time","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Part-time","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Part-time","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Part-time","1985","Saxony","no migration background","","","",""
"Part-time","1985","Saxony","direct migration background","","","",""
"Part-time","1985","Saxony","indirect migration background","","","",""
"Part-time","1985","Saxony-Anhalt","no migration background","","","",""
"Part-time","1985","Saxony-Anhalt","direct migration background","","","",""
"Part-time","1985","Saxony-Anhalt","indirect migration background","","","",""
"Part-time","1985","Thuringia","no migration background","","","",""
"Part-time","1985","Thuringia","direct migration background","","","",""
"Part-time","1985","Thuringia","indirect migration background","","","",""
"Non-working","1985","Schleswig-Holstein","no migration background","135","0.467888190398801","0.412698779589762","0.523077601207839"
"Non-working","1985","Schleswig-Holstein","direct migration background","13","","",""
"Non-working","1985","Schleswig-Holstein","indirect migration background","1","","",""
"Non-working","1985","Hamburg","no migration background","90","0.483560705913816","0.415810582785735","0.551310829041897"
"Non-working","1985","Hamburg","direct migration background","22","","",""
"Non-working","1985","Hamburg","indirect migration background","2","","",""
"Non-working","1985","Lower Saxony","no migration background","449","0.512339784086233","0.4804706773656","0.544208890806867"
"Non-working","1985","Lower Saxony","direct migration background","69","0.496583693774916","0.417871483346233","0.575295904203599"
"Non-working","1985","Lower Saxony","indirect migration background","5","","",""
"Non-working","1985","Bremen","no migration background","59","0.709658285685336","0.615879156946254","0.803437414424419"
"Non-working","1985","Bremen","direct migration background","15","","",""
"Non-working","1985","Bremen","indirect migration background","","","",""
"Non-working","1985","North Rhine-Westphalia","no migration background","960","0.487920968963559","0.466658370804531","0.509183567122586"
"Non-working","1985","North Rhine-Westphalia","direct migration background","297","0.411644435038654","0.377690322734474","0.445598547342834"
"Non-working","1985","North Rhine-Westphalia","indirect migration background","26","","",""
"Non-working","1985","Hesse","no migration background","311","0.476481397790534","0.43961399306279","0.513348802518278"
"Non-working","1985","Hesse","direct migration background","146","0.432186189966248","0.384978111280991","0.479394268651506"
"Non-working","1985","Hesse","indirect migration background","6","","",""
"Non-working","1985","Rhineland-Palatinate,Saarland","no migration background","311","0.514147782735673","0.475273954936813","0.553021610534533"
"Non-working","1985","Rhineland-Palatinate,Saarland","direct migration background","39","0.316571246963373","0.236919592726782","0.396222901199963"
"Non-working","1985","Rhineland-Palatinate,Saarland","indirect migration background","5","","",""
"Non-working","1985","Baden-Württemberg","no migration background","474","0.426775028921727","0.399088729800177","0.454461328043277"
"Non-working","1985","Baden-Württemberg","direct migration background","241","0.345661427542792","0.312643816203097","0.378679038882488"
"Non-working","1985","Baden-Württemberg","indirect migration background","17","","",""
"Non-working","1985","Bavaria","no migration background","606","0.446434010981355","0.421183854234104","0.471684167728605"
"Non-working","1985","Bavaria","direct migration background","107","0.376133969650795","0.328362732188003","0.423905207113586"
"Non-working","1985","Bavaria","indirect migration background","12","","",""
"Non-working","1985","Berlin","no migration background","101","0.453610770753246","0.393328418659284","0.513893122847208"
"Non-working","1985","Berlin","direct migration background","36","0.304372574962647","0.215075113666783","0.393670036258511"
"Non-working","1985","Berlin","indirect migration background","3","","",""
"Non-working","1985","Brandenburg","no migration background","","","",""
"Non-working","1985","Brandenburg","direct migration background","","","",""
"Non-working","1985","Brandenburg","indirect migration background","","","",""
"Non-working","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Non-working","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Non-working","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Non-working","1985","Saxony","no migration background","","","",""
"Non-working","1985","Saxony","direct migration background","","","",""
"Non-working","1985","Saxony","indirect migration background","","","",""
"Non-working","1985","Saxony-Anhalt","no migration background","","","",""
"Non-working","1985","Saxony-Anhalt","direct migration background","","","",""
"Non-working","1985","Saxony-Anhalt","indirect migration background","","","",""
"Non-working","1985","Thuringia","no migration background","","","",""
"Non-working","1985","Thuringia","direct migration background","","","",""
"Non-working","1985","Thuringia","indirect migration background","","","",""
"Other","1985","Schleswig-Holstein","no migration background","15","","",""
"Other","1985","Schleswig-Holstein","direct migration background","","","",""
"Other","1985","Schleswig-Holstein","indirect migration background","","","",""
"Other","1985","Hamburg","no migration background","15","","",""
"Other","1985","Hamburg","direct migration background","1","","",""
"Other","1985","Hamburg","indirect migration background","","","",""
"Other","1985","Lower Saxony","no migration background","44","0.0445435303632644","0.0313903747911596","0.0576966859353692"
"Other","1985","Lower Saxony","direct migration background","6","","",""
"Other","1985","Lower Saxony","indirect migration background","1","","",""
"Other","1985","Bremen","no migration background","4","","",""
"Other","1985","Bremen","direct migration background","1","","",""
"Other","1985","Bremen","indirect migration background","","","",""
"Other","1985","North Rhine-Westphalia","no migration background","108","0.0484113586031534","0.0392813464836649","0.0575413707226419"
"Other","1985","North Rhine-Westphalia","direct migration background","25","","",""
"Other","1985","North Rhine-Westphalia","indirect migration background","7","","",""
"Other","1985","Hesse","no migration background","36","0.0463479958527304","0.0308289872046498","0.0618670045008111"
"Other","1985","Hesse","direct migration background","14","","",""
"Other","1985","Hesse","indirect migration background","2","","",""
"Other","1985","Rhineland-Palatinate,Saarland","no migration background","29","","",""
"Other","1985","Rhineland-Palatinate,Saarland","direct migration background","4","","",""
"Other","1985","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Other","1985","Baden-Württemberg","no migration background","68","0.0513772908422739","0.0390196600867333","0.0637349215978144"
"Other","1985","Baden-Württemberg","direct migration background","26","","",""
"Other","1985","Baden-Württemberg","indirect migration background","3","","",""
"Other","1985","Bavaria","no migration background","78","0.0494864329126739","0.0384704570099559","0.0605024088153919"
"Other","1985","Bavaria","direct migration background","8","","",""
"Other","1985","Bavaria","indirect migration background","5","","",""
"Other","1985","Berlin","no migration background","7","","",""
"Other","1985","Berlin","direct migration background","9","","",""
"Other","1985","Berlin","indirect migration background","","","",""
"Other","1985","Brandenburg","no migration background","","","",""
"Other","1985","Brandenburg","direct migration background","","","",""
"Other","1985","Brandenburg","indirect migration background","","","",""
"Other","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"Other","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Other","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Other","1985","Saxony","no migration background","","","",""
"Other","1985","Saxony","direct migration background","","","",""
"Other","1985","Saxony","indirect migration background","","","",""
"Other","1985","Saxony-Anhalt","no migration background","","","",""
"Other","1985","Saxony-Anhalt","direct migration background","","","",""
"Other","1985","Saxony-Anhalt","indirect migration background","","","",""
"Other","1985","Thuringia","no migration background","","","",""
"Other","1985","Thuringia","direct migration background","","","",""
"Other","1985","Thuringia","indirect migration background","","","",""
"Full-time","1986","Schleswig-Holstein","no migration background","127","0.447962879823626","0.390228990439211","0.505696769208042"
"Full-time","1986","Schleswig-Holstein","direct migration background","24","","",""
"Full-time","1986","Schleswig-Holstein","indirect migration background","","","",""
"Full-time","1986","Hamburg","no migration background","80","0.414995307253446","0.343801790338942","0.486188824167951"
"Full-time","1986","Hamburg","direct migration background","37","0.455721805750062","0.339051739783565","0.572391871716558"
"Full-time","1986","Hamburg","indirect migration background","","","",""
"Full-time","1986","Lower Saxony","no migration background","373","0.372143047360455","0.341059860250137","0.403226234470773"
"Full-time","1986","Lower Saxony","direct migration background","86","0.441722083309085","0.367508457861588","0.515935708756583"
"Full-time","1986","Lower Saxony","indirect migration background","4","","",""
"Full-time","1986","Bremen","no migration background","24","","",""
"Full-time","1986","Bremen","direct migration background","8","","",""
"Full-time","1986","Bremen","indirect migration background","","","",""
"Full-time","1986","North Rhine-Westphalia","no migration background","857","0.391983126851234","0.370824234105929","0.413142019596539"
"Full-time","1986","North Rhine-Westphalia","direct migration background","422","0.479251668419611","0.444170413334909","0.514332923504314"
"Full-time","1986","North Rhine-Westphalia","indirect migration background","14","","",""
"Full-time","1986","Hesse","no migration background","282","0.39838917921915","0.361095890557594","0.435682467880706"
"Full-time","1986","Hesse","direct migration background","213","0.455246124743086","0.405241646954564","0.505250602531608"
"Full-time","1986","Hesse","indirect migration background","4","","",""
"Full-time","1986","Rhineland-Palatinate,Saarland","no migration background","275","0.405039993076452","0.366858397905825","0.443221588247078"
"Full-time","1986","Rhineland-Palatinate,Saarland","direct migration background","80","0.557568189300412","0.471525243071741","0.643611135529082"
"Full-time","1986","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Full-time","1986","Baden-Württemberg","no migration background","556","0.443498127731209","0.415236189568587","0.47176006589383"
"Full-time","1986","Baden-Württemberg","direct migration background","489","0.575719044076555","0.540967856649315","0.610470231503796"
"Full-time","1986","Baden-Württemberg","indirect migration background","16","","",""
"Full-time","1986","Bavaria","no migration background","633","0.429332907617712","0.403150997594011","0.455514817641413"
"Full-time","1986","Bavaria","direct migration background","229","0.46693612386897","0.416840018176179","0.517032229561762"
"Full-time","1986","Bavaria","indirect migration background","10","","",""
"Full-time","1986","Berlin","no migration background","130","0.475489310755834","0.413083060514306","0.537895560997361"
"Full-time","1986","Berlin","direct migration background","55","0.556395850852842","0.461818989021419","0.650972712684264"
"Full-time","1986","Berlin","indirect migration background","","","",""
"Full-time","1986","Brandenburg","no migration background","","","",""
"Full-time","1986","Brandenburg","direct migration background","","","",""
"Full-time","1986","Brandenburg","indirect migration background","","","",""
"Full-time","1986","Mecklenburg-Western Pomerania","no migration background","","","",""
"Full-time","1986","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Full-time","1986","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Full-time","1986","Saxony","no migration background","","","",""
"Full-time","1986","Saxony","direct migration background","","","",""
