"erwst","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Part-time","1988","35-65 y.","indirect migration background","5","","","","2"
"Part-time","1988","16-34 y.","no migration background","138","0.0525775830525684","0.044054193400888","0.0611009727042488","2"
"Part-time","1988","35-65 y.","direct migration background","90","0.070838595129005","0.0582754786614039","0.0834017115966062","2"
"Part-time","1988","35-65 y.","no migration background","388","0.104518020478758","0.094362354396703","0.114673686560812","2"
"Part-time","1988","66 and older","direct migration background","1","","","","2"
"Part-time","1988","66 and older","indirect migration background","","","","","2"
"Part-time","1988","16-34 y.","indirect migration background","5","","","","2"
"Part-time","1988","66 and older","no migration background","10","","","","2"
"Full-time","1989","16-34 y.","no migration background","1330","0.528700653217895","0.509446549166548","0.547954757269242","1"
"Full-time","1989","16-34 y.","direct migration background","516","0.540672368026484","0.509181188446109","0.572163547606858","1"
"Full-time","1989","16-34 y.","indirect migration background","74","0.283587719046154","0.225208864338475","0.341966573753834","1"
"Full-time","1989","35-65 y.","no migration background","1742","0.522099973698921","0.505070245285213","0.53912970211263","1"
"Full-time","1989","35-65 y.","direct migration background","948","0.53311078426271","0.508471762153418","0.557749806372001","1"
"Full-time","1989","35-65 y.","indirect migration background","8","","","","1"
"Full-time","1989","66 and older","no migration background","14","","","","1"
"Full-time","1989","66 and older","direct migration background","","","","","1"
"Full-time","1989","66 and older","indirect migration background","","","","","1"
"Non-working","1989","16-34 y.","no migration background","760","0.285635699693218","0.268212172136759","0.303059227249678","5"
"Non-working","1989","16-34 y.","direct migration background","320","0.339598063161867","0.309672155850243","0.369523970473491","5"
"Non-working","1989","35-65 y.","direct migration background","518","0.37942867549684","0.355464155272857","0.403393195720823","5"
"Non-working","1989","35-65 y.","indirect migration background","8","","","","5"
"Non-working","1989","66 and older","no migration background","920","0.969628119345265","0.958749905599236","0.980506333091293","5"
"Non-working","1989","66 and older","direct migration background","69","1","1","1","5"
"Non-working","1989","66 and older","indirect migration background","4","","","","5"
"Non-working","1989","16-34 y.","indirect migration background","111","0.529721732888276","0.465077215128985","0.594366250647567","5"
"Non-working","1989","35-65 y.","no migration background","1119","0.352881206814402","0.336589423306612","0.369172990322191","5"
"Other","1989","35-65 y.","no migration background","87","0.0233746660421562","0.0182235769739022","0.0285257551104102","6"
"Other","1989","35-65 y.","direct migration background","20","","","","6"
"Other","1989","16-34 y.","no migration background","333","0.123190449446341","0.110513605978624","0.135867292914059","6"
"Other","1989","16-34 y.","direct migration background","86","0.0801034976373648","0.0629498778930364","0.0972571173816932","6"
"Other","1989","16-34 y.","indirect migration background","38","0.134587020152949","0.0903848450147517","0.178789195291147","6"
"Other","1989","35-65 y.","indirect migration background","1","","","","6"
"Other","1989","66 and older","no migration background","9","","","","6"
"Other","1989","66 and older","direct migration background","","","","","6"
"Other","1989","66 and older","indirect migration background","","","","","6"
"Part-time","1989","16-34 y.","direct migration background","40","0.0396260711742845","0.0272986781197045","0.0519534642288644","2"
"Part-time","1989","16-34 y.","no migration background","159","0.0624731976425454","0.0531383187916367","0.0718080764934541","2"
"Part-time","1989","35-65 y.","direct migration background","89","0.070216020328519","0.0575972525846074","0.0828347880724306","2"
"Part-time","1989","35-65 y.","indirect migration background","10","","","","2"
"Part-time","1989","35-65 y.","no migration background","357","0.101644153444521","0.0913420060298033","0.111946300859238","2"
"Part-time","1989","66 and older","direct migration background","","","","","2"
"Part-time","1989","66 and older","indirect migration background","","","","","2"
"Part-time","1989","16-34 y.","indirect migration background","6","","","","2"
"Part-time","1989","66 and older","no migration background","13","","","","2"
"Full-time","1990","16-34 y.","no migration background","2429","0.561230737616868","0.546152934943151","0.576308540290586","1"
"Full-time","1990","16-34 y.","direct migration background","502","0.529604404386548","0.497525905726919","0.561682903046177","1"
"Full-time","1990","16-34 y.","indirect migration background","88","0.284342427811599","0.230435395956293","0.338249459666904","1"
"Full-time","1990","35-65 y.","no migration background","3347","0.571269946972837","0.558101915710988","0.584437978234685","1"
"Full-time","1990","35-65 y.","direct migration background","1011","0.56072058540125","0.536838701971333","0.584602468831168","1"
"Full-time","1990","35-65 y.","indirect migration background","10","","","","1"
"Full-time","1990","66 and older","no migration background","22","","","","1"
"Full-time","1990","66 and older","direct migration background","","","","","1"
"Full-time","1990","66 and older","indirect migration background","","","","","1"
"Non-working","1990","16-34 y.","no migration background","1005","0.261351607787269","0.248001625188275","0.274701590386264","5"
"Non-working","1990","16-34 y.","direct migration background","309","0.329768194777777","0.299553130903771","0.359983258651783","5"
"Non-working","1990","35-65 y.","direct migration background","524","0.344663385886762","0.321793990157097","0.367532781616427","5"
"Non-working","1990","35-65 y.","indirect migration background","7","","","","5"
"Non-working","1990","66 and older","no migration background","1339","0.973482467644104","0.965033034206934","0.981931901081274","5"
"Non-working","1990","66 and older","direct migration background","106","1","1","1","5"
"Non-working","1990","66 and older","indirect migration background","5","","","","5"
"Non-working","1990","16-34 y.","indirect migration background","118","0.494109442244277","0.434363032305344","0.553855852183211","5"
"Non-working","1990","35-65 y.","no migration background","1350","0.296065596818099","0.283918618280705","0.308212575355492","5"
"Other","1990","35-65 y.","direct migration background","18","","","","6"
"Other","1990","35-65 y.","no migration background","93","0.0208748254225722","0.017070840990808","0.0246788098543364","6"
"Other","1990","16-34 y.","no migration background","424","0.106799165899012","0.0974147396945451","0.116183592103479","6"
"Other","1990","16-34 y.","direct migration background","72","0.0821548566688534","0.0645063507465919","0.0998033625911149","6"
"Other","1990","16-34 y.","indirect migration background","51","0.159538284704261","0.115779688838167","0.203296880570354","6"
"Other","1990","35-65 y.","indirect migration background","1","","","","6"
"Other","1990","66 and older","no migration background","7","","","","6"
"Other","1990","66 and older","direct migration background","","","","","6"
"Other","1990","66 and older","indirect migration background","","","","","6"
"Part-time","1990","16-34 y.","no migration background","303","0.0706184886968503","0.0628344415645854","0.0784025358291151","2"
"Part-time","1990","16-34 y.","direct migration background","47","0.0584725441668216","0.043392621772619","0.0735524665610242","2"
"Part-time","1990","35-65 y.","direct migration background","106","0.0829044488510717","0.0696359708239805","0.0961729268781629","2"
"Part-time","1990","35-65 y.","indirect migration background","6","","","","2"
"Part-time","1990","35-65 y.","no migration background","636","0.111789630786492","0.103405329489298","0.120173932083687","2"
"Part-time","1990","16-34 y.","indirect migration background","12","","","","2"
"Part-time","1990","66 and older","direct migration background","","","","","2"
"Part-time","1990","66 and older","indirect migration background","","","","","2"
"Part-time","1990","66 and older","no migration background","21","","","","2"
"Full-time","1991","16-34 y.","no migration background","2194","0.543759176001373","0.528253823679588","0.559264528323158","1"
"Full-time","1991","16-34 y.","direct migration background","474","0.515993292804261","0.483161030717279","0.548825554891243","1"
"Full-time","1991","16-34 y.","indirect migration background","101","0.314701330889208","0.26389886314181","0.365503798636606","1"
"Full-time","1991","35-65 y.","no migration background","3184","0.559013114681548","0.545711208696481","0.572315020666615","1"
"Full-time","1991","35-65 y.","direct migration background","1010","0.58215247901989","0.558216654015768","0.606088304024012","1"
"Full-time","1991","35-65 y.","indirect migration background","11","","","","1"
"Full-time","1991","66 and older","no migration background","12","","","","1"
"Full-time","1991","66 and older","direct migration background","1","","","","1"
"Full-time","1991","66 and older","indirect migration background","","","","","1"
"Non-working","1991","35-65 y.","indirect migration background","7","","","","5"
"Non-working","1991","16-34 y.","no migration background","1058","0.269890042344503","0.256071289966442","0.283708794722564","5"
"Non-working","1991","35-65 y.","direct migration background","489","0.31892913725709","0.296310608106931","0.341547666407249","5"
"Non-working","1991","66 and older","direct migration background","119","0.961707813423439","0.927794346392054","0.995621280454824","5"
"Non-working","1991","66 and older","indirect migration background","5","","","","5"
"Non-working","1991","16-34 y.","direct migration background","289","0.337146459953588","0.306088624859587","0.368204295047589","5"
"Non-working","1991","16-34 y.","indirect migration background","126","0.366472104364216","0.313761389385529","0.419182819342903","5"
"Non-working","1991","35-65 y.","no migration background","1527","0.312148297548323","0.29973412057703","0.324562474519616","5"
"Non-working","1991","66 and older","no migration background","1321","0.978078729482376","0.970285131242577","0.985872327722175","5"
"Other","1991","35-65 y.","no migration background","115","0.0246283847661526","0.0204760433032616","0.0287807262290436","6"
"Other","1991","35-65 y.","direct migration background","23","","","","6"
"Other","1991","16-34 y.","no migration background","444","0.117288080022714","0.107271540654832","0.127304619390596","6"
"Other","1991","16-34 y.","direct migration background","82","0.0981842230578479","0.0786348490193123","0.117733597096384","6"
"Other","1991","16-34 y.","indirect migration background","80","0.256536880838954","0.208761935975318","0.304311825702591","6"
"Other","1991","35-65 y.","indirect migration background","","","","","6"
"Other","1991","66 and older","no migration background","12","","","","6"
"Other","1991","66 and older","direct migration background","2","","","","6"
"Other","1991","66 and older","indirect migration background","","","","","6"
"Part-time","1991","16-34 y.","no migration background","268","0.0690627016314102","0.0611693170105499","0.0769560862522704","2"
"Part-time","1991","16-34 y.","direct migration background","45","0.0486760241843032","0.0345384512664879","0.0628135971021184","2"
"Part-time","1991","35-65 y.","direct migration background","109","0.0795189783646729","0.0663890025620921","0.0926489541672538","2"
"Part-time","1991","35-65 y.","no migration background","526","0.104210203003976","0.0960246464126706","0.112395759595282","2"
"Part-time","1991","35-65 y.","indirect migration background","8","","","","2"
"Part-time","1991","66 and older","direct migration background","1","","","","2"
"Part-time","1991","66 and older","indirect migration background","","","","","2"
"Part-time","1991","16-34 y.","indirect migration background","14","","","","2"
"Part-time","1991","66 and older","no migration background","11","","","","2"
"Full-time","1992","16-34 y.","no migration background","1997","0.529796942988955","0.51387533007229","0.545718555905619","1"
"Full-time","1992","16-34 y.","direct migration background","447","0.511148118558937","0.477444093786222","0.544852143331653","1"
"Full-time","1992","16-34 y.","indirect migration background","112","0.244895245308062","0.201658790974228","0.288131699641896","1"
"Full-time","1992","35-65 y.","no migration background","3021","0.54242204607802","0.529005698011466","0.555838394144575","1"
"Full-time","1992","35-65 y.","direct migration background","927","0.552569597429148","0.52810625096306","0.577032943895236","1"
"Full-time","1992","35-65 y.","indirect migration background","11","","","","1"
"Full-time","1992","66 and older","no migration background","8","","","","1"
"Full-time","1992","66 and older","direct migration background","2","","","","1"
"Full-time","1992","66 and older","indirect migration background","","","","","1"
"Non-working","1992","16-34 y.","no migration background","1133","0.295051305943751","0.280502842108349","0.309599769779153","5"
"Non-working","1992","35-65 y.","direct migration background","532","0.351294994682274","0.327808444345308","0.37478154501924","5"
"Non-working","1992","35-65 y.","indirect migration background","8","","","","5"
"Non-working","1992","66 and older","direct migration background","135","0.978200463605427","0.953924400828736","1.00247652638212","5"
"Non-working","1992","66 and older","indirect migration background","4","","","","5"
"Non-working","1992","16-34 y.","direct migration background","281","0.331577752522277","0.299835490194256","0.363320014850297","5"
"Non-working","1992","16-34 y.","indirect migration background","163","0.460536580191839","0.410421392739357","0.51065176764432","5"
"Non-working","1992","35-65 y.","no migration background","1675","0.335895080392219","0.323176071386475","0.348614089397963","5"
"Non-working","1992","66 and older","no migration background","1315","0.985883363823457","0.979559816581052","0.992206911065863","5"
"Other","1992","16-34 y.","no migration background","404","0.109577440169047","0.0996131064141689","0.119541773923925","6"
"Other","1992","35-65 y.","no migration background","93","0.0178215782741601","0.0142586967586579","0.0213844597896624","6"
"Other","1992","35-65 y.","direct migration background","13","","","","6"
"Other","1992","16-34 y.","direct migration background","72","0.108323723148845","0.0873688453760807","0.12927860092161","6"
"Other","1992","16-34 y.","indirect migration background","87","0.234528874117591","0.191927965825352","0.277129782409829","6"
"Other","1992","35-65 y.","indirect migration background","","","","","6"
"Other","1992","66 and older","no migration background","6","","","","6"
"Other","1992","66 and older","direct migration background","2","","","","6"
"Other","1992","66 and older","indirect migration background","","","","","6"
"Part-time","1992","16-34 y.","no migration background","241","0.0655743108982477","0.057677915886471","0.0734707059100244","2"
"Part-time","1992","16-34 y.","direct migration background","45","0.0489504057699408","0.034402533913723","0.0634982776261587","2"
"Part-time","1992","35-65 y.","direct migration background","115","0.0855661971389959","0.0718040283844135","0.0993283658935783","2"
"Part-time","1992","35-65 y.","no migration background","508","0.103861295255601","0.0956455381835831","0.112077052327618","2"
"Part-time","1992","35-65 y.","indirect migration background","8","","","","2"
"Part-time","1992","66 and older","direct migration background","","","","","2"
"Part-time","1992","66 and older","indirect migration background","","","","","2"
"Part-time","1992","16-34 y.","indirect migration background","18","","","","2"
"Part-time","1992","66 and older","no migration background","8","","","","2"
"Full-time","1993","16-34 y.","no migration background","1906","0.518889162696271","0.502704334391073","0.53507399100147","1"
"Full-time","1993","16-34 y.","direct migration background","429","0.540830030046286","0.506617402908177","0.575042657184396","1"
"Full-time","1993","16-34 y.","indirect migration background","141","0.25262448069674","0.21220751023551","0.293041451157969","1"
"Full-time","1993","35-65 y.","no migration background","2905","0.535411888793437","0.52186262259443","0.548961154992445","1"
"Full-time","1993","35-65 y.","direct migration background","876","0.559818188428218","0.534903657319793","0.584732719536643","1"
"Full-time","1993","35-65 y.","indirect migration background","13","","","","1"
"Full-time","1993","66 and older","no migration background","6","","","","1"
"Full-time","1993","66 and older","direct migration background","2","","","","1"
"Full-time","1993","66 and older","indirect migration background","","","","","1"
"Non-working","1993","16-34 y.","no migration background","1101","0.298018317265037","0.283202261783355","0.31283437274672","5"
"Non-working","1993","16-34 y.","direct migration background","281","0.325217399555978","0.293055765146351","0.357379033965604","5"
"Non-working","1993","16-34 y.","indirect migration background","175","0.422232684316046","0.376290777650768","0.468174590981324","5"
"Non-working","1993","35-65 y.","no migration background","1691","0.33744091104931","0.324595473574112","0.350286348524507","5"
"Non-working","1993","35-65 y.","direct migration background","531","0.35444134564852","0.330433498833732","0.378449192463308","5"
"Non-working","1993","35-65 y.","indirect migration background","8","","","","5"
"Non-working","1993","66 and older","direct migration background","155","0.978441887617554","0.955795839188332","1.00108793604678","5"
"Non-working","1993","66 and older","indirect migration background","4","","","","5"
"Non-working","1993","66 and older","no migration background","1314","0.984205780815086","0.977525233097304","0.990886328532869","5"
