"erwst","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Part-time","1985","Couple + C. LE and GT 16","Rural Area","16","","","","2"
"Full-time","1986","1-pers.-HH","Urban Area","425","0.353170250744946","0.322841050849094","0.383499450640797","1"
"Full-time","1986","1-pers.-HH","Rural Area","68","0.298417104132205","0.229226869666719","0.367607338597692","1"
"Full-time","1986","(Married) couple without C. ","Urban Area","915","0.397762292922335","0.376011050667412","0.419513535177257","1"
"Full-time","1986","(Married) couple without C. ","Rural Area","172","0.309058281743548","0.266026717977951","0.352089845509144","1"
"Full-time","1986","Single parent ","Urban Area","176","0.431043214746342","0.382144209181716","0.479942220310969","1"
"Full-time","1986","Single parent ","Rural Area","48","0.357463929775283","0.270623886885373","0.444303972665193","1"
"Full-time","1986","Couple + C. LE 16 ","Urban Area","1067","0.539990226614557","0.517685327217083","0.562295126012031","1"
"Full-time","1986","Couple + C. LE 16 ","Rural Area","267","0.528617977376273","0.484554161537328","0.572681793215218","1"
"Full-time","1986","Couple + C. GT 16 ","Urban Area","776","0.43175778892742","0.408079458838523","0.455436119016317","1"
"Full-time","1986","Couple + C. GT 16 ","Rural Area","208","0.480383669212952","0.432939941483876","0.527827396942028","1"
"Full-time","1986","Couple + C. LE and GT 16","Urban Area","489","0.435630835431398","0.40611368728489","0.465147983577905","1"
"Full-time","1986","Couple + C. LE and GT 16","Rural Area","139","0.438479736845907","0.38402818892502","0.492931284766793","1"
"Non-working","1986","Couple + C. LE 16 ","Rural Area","149","0.294108602762014","0.253888105104611","0.334329100419418","5"
"Non-working","1986","1-pers.-HH","Urban Area","467","0.59353951132636","0.562371586441231","0.624707436211488","5"
"Non-working","1986","1-pers.-HH","Rural Area","97","0.682783158216351","0.612409039597371","0.753157276835332","5"
"Non-working","1986","(Married) couple without C. ","Urban Area","872","0.522309632187163","0.50011103412255","0.544508230251776","5"
"Non-working","1986","(Married) couple without C. ","Rural Area","237","0.623615889480518","0.578500942167684","0.668730836793351","5"
"Non-working","1986","Single parent ","Urban Area","167","0.438280078690151","0.389286884066373","0.487273273313929","5"
"Non-working","1986","Single parent ","Rural Area","39","0.373777020489321","0.286112076606758","0.461441964371883","5"
"Non-working","1986","Couple + C. LE 16 ","Urban Area","624","0.329473611262249","0.30843863410182","0.350508588422679","5"
"Non-working","1986","Couple + C. GT 16 ","Rural Area","154","0.368517715078691","0.322708477658024","0.414326952499358","5"
"Non-working","1986","Couple + C. LE and GT 16","Urban Area","426","0.371565198863528","0.342799092700658","0.400331305026399","5"
"Non-working","1986","Couple + C. LE and GT 16","Rural Area","122","0.374553585766069","0.32144010268611","0.427667068846028","5"
"Non-working","1986","Couple + C. GT 16 ","Urban Area","626","0.390195905698101","0.366877397858532","0.41351441353767","5"
"Other","1986","1-pers.-HH","Urban Area","33","0.0274686648705653","0.0170970953991691","0.0378402343419615","6"
"Other","1986","1-pers.-HH","Rural Area","3","","","","6"
"Other","1986","(Married) couple without C. ","Urban Area","55","0.0260832701201239","0.0190000584401839","0.0331664818000638","6"
"Other","1986","(Married) couple without C. ","Rural Area","12","","","","6"
"Other","1986","Single parent ","Urban Area","32","0.080532472748216","0.0536633371402087","0.107401608356223","6"
"Other","1986","Single parent ","Rural Area","15","","","","6"
"Other","1986","Couple + C. LE 16 ","Urban Area","65","0.0376148408664224","0.0290999739877101","0.0461297077451348","6"
"Other","1986","Couple + C. LE 16 ","Rural Area","27","","","","6"
"Other","1986","Couple + C. GT 16 ","Urban Area","159","0.0980341257094156","0.083819090899612","0.112249160519219","6"
"Other","1986","Couple + C. GT 16 ","Rural Area","43","0.0976719150751442","0.0694809216353248","0.125862908514964","6"
"Other","1986","Couple + C. LE and GT 16","Urban Area","111","0.126338880005906","0.106561285624797","0.146116474387016","6"
"Other","1986","Couple + C. LE and GT 16","Rural Area","41","0.134053566844181","0.0966651177730374","0.171442015915324","6"
"Part-time","1986","1-pers.-HH","Urban Area","29","","","","2"
"Part-time","1986","1-pers.-HH","Rural Area","","","","","2"
"Part-time","1986","(Married) couple without C. ","Urban Area","103","0.0538448047703785","0.0438138705906925","0.0638757389500646","2"
"Part-time","1986","(Married) couple without C. ","Rural Area","22","","","","2"
"Part-time","1986","Single parent ","Urban Area","19","","","","2"
"Part-time","1986","Single parent ","Rural Area","15","","","","2"
"Part-time","1986","Couple + C. LE 16 ","Rural Area","50","0.11856302951037","0.0900269105719184","0.147099148448822","2"
"Part-time","1986","Couple + C. LE 16 ","Urban Area","162","0.0929213212567714","0.0799284852402943","0.105914157273249","2"
"Part-time","1986","Couple + C. LE and GT 16","Rural Area","17","","","","2"
"Part-time","1986","Couple + C. GT 16 ","Urban Area","120","0.080012179665063","0.0670423783269733","0.0929819810031528","2"
"Part-time","1986","Couple + C. LE and GT 16","Urban Area","58","0.0664650856991676","0.0516366438953588","0.0812935275029765","2"
"Part-time","1986","Couple + C. GT 16 ","Rural Area","21","","","","2"
"Full-time","1987","1-pers.-HH","Urban Area","417","0.347916520307236","0.317660016632219","0.378173023982253","1"
"Full-time","1987","1-pers.-HH","Rural Area","61","0.288114000424446","0.219631303119929","0.356596697728964","1"
"Full-time","1987","(Married) couple without C. ","Urban Area","905","0.408605152514257","0.386489962531024","0.43072034249749","1"
"Full-time","1987","(Married) couple without C. ","Rural Area","194","0.337248563008865","0.293997962555769","0.380499163461961","1"
"Full-time","1987","Single parent ","Urban Area","158","0.382456661855063","0.334890211841709","0.430023111868416","1"
"Full-time","1987","Single parent ","Rural Area","53","0.41606751350321","0.328603098018472","0.503531928987948","1"
"Full-time","1987","Couple + C. LE 16 ","Urban Area","1073","0.549861103988565","0.527378145230303","0.572344062746826","1"
"Full-time","1987","Couple + C. LE 16 ","Rural Area","263","0.52791127758376","0.48357329859772","0.5722492565698","1"
"Full-time","1987","Couple + C. GT 16 ","Urban Area","757","0.438125151172207","0.414601975693064","0.46164832665135","1"
"Full-time","1987","Couple + C. GT 16 ","Rural Area","219","0.487562653394944","0.441328754032522","0.533796552757365","1"
"Full-time","1987","Couple + C. LE and GT 16","Urban Area","438","0.436722334593527","0.405764284355825","0.467680384831228","1"
"Full-time","1987","Couple + C. LE and GT 16","Rural Area","121","0.434686624108961","0.375991019760546","0.493382228457377","1"
"Non-working","1987","Single parent ","Rural Area","41","0.360425497153662","0.275229046968699","0.445621947338625","5"
"Non-working","1987","(Married) couple without C. ","Urban Area","854","0.515582078683008","0.493098833610616","0.5380653237554","5"
"Non-working","1987","1-pers.-HH","Urban Area","472","0.593415654538628","0.562213510100973","0.624617798976283","5"
"Non-working","1987","1-pers.-HH","Rural Area","101","0.686947030024259","0.616823464630438","0.75707059541808","5"
"Non-working","1987","Couple + C. LE 16 ","Urban Area","600","0.324417274669646","0.303260719876268","0.345573829463023","5"
"Non-working","1987","Couple + C. LE 16 ","Rural Area","144","0.28813521184164","0.247911649226815","0.328358774456465","5"
"Non-working","1987","(Married) couple without C. ","Rural Area","231","0.593213741293494","0.548274008429533","0.638153474157455","5"
"Non-working","1987","Single parent ","Urban Area","175","0.434002970143126","0.385493187172294","0.482512753113959","5"
"Non-working","1987","Couple + C. GT 16 ","Rural Area","148","0.335295949724792","0.291628961732943","0.378962937716641","5"
"Non-working","1987","Couple + C. GT 16 ","Urban Area","632","0.371255614076833","0.348349541383025","0.394161686770641","5"
"Non-working","1987","Couple + C. LE and GT 16","Urban Area","377","0.35593780957712","0.326052304660747","0.385823314493492","5"
"Non-working","1987","Couple + C. LE and GT 16","Rural Area","89","0.328414466753003","0.272806807329363","0.384022126176642","5"
"Other","1987","1-pers.-HH","Urban Area","35","0.030757303916655","0.0197894914182537","0.0417251164150563","6"
"Other","1987","1-pers.-HH","Rural Area","4","","","","6"
"Other","1987","(Married) couple without C. ","Urban Area","35","0.0186259976363897","0.0125435688459115","0.0247084264268679","6"
"Other","1987","(Married) couple without C. ","Rural Area","7","","","","6"
"Other","1987","Single parent ","Urban Area","39","0.109170234362979","0.0786473630295438","0.139693105696414","6"
"Other","1987","Single parent ","Rural Area","12","","","","6"
"Other","1987","Couple + C. LE 16 ","Urban Area","50","0.0282046178895461","0.0207229018856179","0.0356863338934743","6"
"Other","1987","Couple + C. LE 16 ","Rural Area","19","","","","6"
"Other","1987","Couple + C. GT 16 ","Urban Area","192","0.108969978209162","0.094196707356321","0.123743249062002","6"
"Other","1987","Couple + C. GT 16 ","Rural Area","52","0.101187836616529","0.0732930177023573","0.129082655530702","6"
"Other","1987","Couple + C. LE and GT 16","Urban Area","120","0.141841706536841","0.120064844015303","0.163618569058379","6"
"Other","1987","Couple + C. LE and GT 16","Rural Area","42","0.147883670862871","0.105851447368188","0.189915894357555","6"
"Part-time","1987","1-pers.-HH","Urban Area","28","","","","2"
"Part-time","1987","(Married) couple without C. ","Rural Area","27","","","","2"
"Part-time","1987","Single parent ","Rural Area","16","","","","2"
"Part-time","1987","1-pers.-HH","Rural Area","2","","","","2"
"Part-time","1987","(Married) couple without C. ","Urban Area","104","0.0571867711663456","0.0467405165044006","0.0676330258282905","2"
"Part-time","1987","Single parent ","Urban Area","29","","","","2"
"Part-time","1987","Couple + C. LE 16 ","Urban Area","158","0.0975170034522434","0.0841105661593193","0.110923440745168","2"
"Part-time","1987","Couple + C. LE 16 ","Rural Area","61","0.144412976507026","0.113193988949213","0.17563196406484","2"
"Part-time","1987","Couple + C. GT 16 ","Urban Area","128","0.0816492565417985","0.068666782349883","0.0946317307337141","2"
"Part-time","1987","Couple + C. GT 16 ","Rural Area","30","0.0759535602637348","0.0514490578890139","0.100458062638456","2"
"Part-time","1987","Couple + C. LE and GT 16","Rural Area","22","","","","2"
"Part-time","1987","Couple + C. LE and GT 16","Urban Area","51","0.0654981492925126","0.0500557694471706","0.0809405291378547","2"
"Full-time","1988","1-pers.-HH","Urban Area","389","0.350237068195919","0.319122574663462","0.381351561728376","1"
"Full-time","1988","1-pers.-HH","Rural Area","59","0.269326367352226","0.202444884538747","0.336207850165706","1"
"Full-time","1988","(Married) couple without C. ","Urban Area","893","0.42312725654551","0.400680664410819","0.4455738486802","1"
"Full-time","1988","(Married) couple without C. ","Rural Area","179","0.331079374941634","0.286547313286226","0.375611436597042","1"
"Full-time","1988","Single parent ","Urban Area","164","0.417774178060537","0.368826475133523","0.466721880987551","1"
"Full-time","1988","Single parent ","Rural Area","57","0.480437046792745","0.391415991442377","0.569458102143112","1"
"Full-time","1988","Couple + C. LE 16 ","Urban Area","969","0.531022559129217","0.507741207081143","0.554303911177292","1"
"Full-time","1988","Couple + C. LE 16 ","Rural Area","250","0.512870221532151","0.467439702777958","0.558300740286343","1"
"Full-time","1988","Couple + C. GT 16 ","Urban Area","770","0.431506171438982","0.408516709738289","0.454495633139675","1"
"Full-time","1988","Couple + C. GT 16 ","Rural Area","205","0.468447053168928","0.421061406456229","0.515832699881627","1"
"Full-time","1988","Couple + C. LE and GT 16","Urban Area","374","0.428164459622104","0.39495862084246","0.461370298401748","1"
"Full-time","1988","Couple + C. LE and GT 16","Rural Area","104","0.435362803315528","0.372373034363735","0.498352572267321","1"
"Non-working","1988","(Married) couple without C. ","Urban Area","819","0.496113855931555","0.473397859548373","0.518829852314738","5"
"Non-working","1988","(Married) couple without C. ","Rural Area","226","0.615814935319253","0.569787710255984","0.661842160382522","5"
"Non-working","1988","Single parent ","Urban Area","160","0.413901758059869","0.365019683132951","0.462783832986787","5"
"Non-working","1988","Single parent ","Rural Area","37","0.300891762607983","0.219170933395084","0.382612591820882","5"
"Non-working","1988","Couple + C. LE 16 ","Urban Area","567","0.31890343961324","0.297160929466866","0.340645949759614","5"
"Non-working","1988","Couple + C. LE 16 ","Rural Area","133","0.287394929761932","0.246262381152606","0.328527478371259","5"
"Non-working","1988","1-pers.-HH","Urban Area","464","0.599963918346842","0.568010570688408","0.631917266005276","5"
"Non-working","1988","1-pers.-HH","Rural Area","103","0.704179975347512","0.635368580926541","0.772991369768483","5"
"Non-working","1988","Couple + C. GT 16 ","Rural Area","148","0.359769439382687","0.314194759526791","0.405344119238583","5"
"Non-working","1988","Couple + C. GT 16 ","Urban Area","678","0.388920258741861","0.366291973455774","0.411548544027948","5"
"Non-working","1988","Couple + C. LE and GT 16","Urban Area","327","0.363511322986144","0.331231742039938","0.39579090393235","5"
"Non-working","1988","Couple + C. LE and GT 16","Rural Area","84","0.350203981343056","0.289598950710074","0.410809011976038","5"
"Other","1988","1-pers.-HH","Urban Area","27","","","","6"
"Other","1988","1-pers.-HH","Rural Area","2","","","","6"
"Other","1988","(Married) couple without C. ","Rural Area","8","","","","6"
"Other","1988","(Married) couple without C. ","Urban Area","43","0.0202601548912358","0.0138590982455605","0.0266612115369111","6"
"Other","1988","Single parent ","Urban Area","41","0.104706078521096","0.0743193075348668","0.135092849507326","6"
"Other","1988","Single parent ","Rural Area","17","","","","6"
"Other","1988","Couple + C. LE 16 ","Urban Area","53","0.0336178229474788","0.0252090043268185","0.0420266415681391","6"
"Other","1988","Couple + C. LE 16 ","Rural Area","22","","","","6"
"Other","1988","Couple + C. GT 16 ","Urban Area","196","0.0943864882443803","0.0808158966637139","0.107957079825047","6"
"Other","1988","Couple + C. GT 16 ","Rural Area","47","0.104383910717499","0.0753489651173818","0.133418856317617","6"
"Other","1988","Couple + C. LE and GT 16","Urban Area","106","0.138099022866173","0.114946540354994","0.161251505377352","6"
"Other","1988","Couple + C. LE and GT 16","Rural Area","34","0.143454773466291","0.0989207161165736","0.187988830816007","6"
"Part-time","1988","1-pers.-HH","Urban Area","23","","","","2"
"Part-time","1988","(Married) couple without C. ","Rural Area","16","","","","2"
"Part-time","1988","Single parent ","Rural Area","10","","","","2"
"Part-time","1988","Couple + C. LE 16 ","Urban Area","176","0.116456178310064","0.101491373716291","0.131420982903836","2"
"Part-time","1988","Couple + C. LE 16 ","Rural Area","60","0.150271904998091","0.117793065768614","0.182750744227569","2"
"Part-time","1988","1-pers.-HH","Rural Area","5","","","","2"
"Part-time","1988","(Married) couple without C. ","Urban Area","106","0.0604987326316992","0.0496670300141593","0.0713304352492391","2"
"Part-time","1988","Single parent ","Urban Area","25","","","","2"
"Part-time","1988","Couple + C. GT 16 ","Rural Area","26","","","","2"
"Part-time","1988","Couple + C. GT 16 ","Urban Area","139","0.0851870815747769","0.0722294557768328","0.0981447073727209","2"
"Part-time","1988","Couple + C. LE and GT 16","Urban Area","46","0.0702251945255793","0.0530773736705819","0.0873730153805767","2"
"Part-time","1988","Couple + C. LE and GT 16","Rural Area","16","","","","2"
"Full-time","1989","1-pers.-HH","Urban Area","417","0.387654118995467","0.355911379622432","0.419396858368503","1"
"Full-time","1989","1-pers.-HH","Rural Area","59","0.279733258583447","0.21124362356074","0.348222893606153","1"
"Full-time","1989","(Married) couple without C. ","Urban Area","915","0.427491669784862","0.404868771329036","0.450114568240689","1"
"Full-time","1989","(Married) couple without C. ","Rural Area","182","0.338698527849447","0.293861934711342","0.383535120987551","1"
"Full-time","1989","Single parent ","Urban Area","144","0.377277610192936","0.32795581301973","0.426599407366143","1"
"Full-time","1989","Single parent ","Rural Area","53","0.512477138110068","0.415946712764078","0.609007563456059","1"
"Full-time","1989","Couple + C. LE 16 ","Urban Area","939","0.53986460103717","0.516206975791654","0.563522226282685","1"
"Full-time","1989","Couple + C. LE 16 ","Rural Area","244","0.544675918817721","0.498143979820624","0.591207857814818","1"
"Full-time","1989","Couple + C. GT 16 ","Urban Area","758","0.431175494681719","0.407736865246752","0.454614124116686","1"
"Full-time","1989","Couple + C. GT 16 ","Rural Area","207","0.455968617739983","0.409002390995549","0.502934844484418","1"
"Full-time","1989","Couple + C. LE and GT 16","Urban Area","360","0.420098417522371","0.385723776620478","0.454473058424263","1"
"Full-time","1989","Couple + C. LE and GT 16","Rural Area","90","0.444360286858029","0.37479632412047","0.513924249595587","1"
"Non-working","1989","1-pers.-HH","Urban Area","440","0.568036237645331","0.535763524326219","0.600308950964443","5"
"Non-working","1989","1-pers.-HH","Rural Area","99","0.686169394242942","0.615363495782554","0.75697529270333","5"
"Non-working","1989","(Married) couple without C. ","Urban Area","780","0.496485934207629","0.473621903694702","0.519349964720555","5"
"Non-working","1989","(Married) couple without C. ","Rural Area","221","0.608955221048874","0.562724344102609","0.655186097995138","5"
"Non-working","1989","Single parent ","Urban Area","156","0.432510120618265","0.382097609160738","0.482922632075793","5"
"Non-working","1989","Single parent ","Rural Area","28","","","","5"
"Non-working","1989","Couple + C. LE 16 ","Urban Area","538","0.307386077101164","0.285484589996027","0.329287564206301","5"
"Non-working","1989","Couple + C. LE 16 ","Rural Area","122","0.278159231382167","0.236290558521505","0.320027904242829","5"
"Non-working","1989","Couple + C. GT 16 ","Urban Area","637","0.372406032042062","0.349525624138309","0.395286439945814","5"
"Non-working","1989","Couple + C. GT 16 ","Rural Area","157","0.375490638861153","0.329826502206669","0.421154775515636","5"
"Non-working","1989","Couple + C. LE and GT 16","Urban Area","300","0.385557003167079","0.35165927461964","0.419454731714518","5"
"Non-working","1989","Couple + C. LE and GT 16","Rural Area","60","0.3305534430576","0.264696911514773","0.396409974600427","5"
"Other","1989","1-pers.-HH","Urban Area","24","","","","6"
"Other","1989","1-pers.-HH","Rural Area","2","","","","6"
"Other","1989","(Married) couple without C. ","Rural Area","4","","","","6"
"Other","1989","(Married) couple without C. ","Urban Area","31","0.0147659802723786","0.00925036005892314","0.0202816004858341","6"
"Other","1989","Single parent ","Urban Area","43","0.109278584301957","0.077531809348005","0.141025359255908","6"
"Other","1989","Single parent ","Rural Area","11","","","","6"
"Other","1989","Couple + C. LE 16 ","Urban Area","56","0.0369449890458218","0.0279915636736431","0.0458984144180004","6"
"Other","1989","Couple + C. LE 16 ","Rural Area","15","","","","6"
"Other","1989","Couple + C. GT 16 ","Urban Area","195","0.1142428259325","0.0991875806059663","0.129298071259033","6"
"Other","1989","Couple + C. GT 16 ","Rural Area","42","0.0940827966572746","0.0665528366578495","0.1216127566567","6"
"Other","1989","Couple + C. LE and GT 16","Urban Area","86","0.119995080644589","0.0973637666009305","0.142626394688247","6"
"Other","1989","Couple + C. LE and GT 16","Rural Area","29","","","","6"
"Part-time","1989","1-pers.-HH","Urban Area","24","","","","2"
"Part-time","1989","1-pers.-HH","Rural Area","5","","","","2"
"Part-time","1989","(Married) couple without C. ","Urban Area","111","0.0612564157351304","0.0502905532706572","0.0722222781996037","2"
"Part-time","1989","(Married) couple without C. ","Rural Area","21","","","","2"
"Part-time","1989","Single parent ","Urban Area","28","","","","2"
"Part-time","1989","Single parent ","Rural Area","11","","","","2"
"Part-time","1989","Couple + C. LE 16 ","Urban Area","172","0.115804332815844","0.100615566689918","0.130993098941771","2"
"Part-time","1989","Couple + C. LE 16 ","Rural Area","59","0.144976089617826","0.112078879143797","0.177873300091855","2"
"Part-time","1989","Couple + C. GT 16 ","Rural Area","26","","","","2"
"Part-time","1989","Couple + C. LE and GT 16","Rural Area","17","","","","2"
"Part-time","1989","Couple + C. LE and GT 16","Urban Area","46","0.074349498665962","0.056079099205292","0.0926198981266319","2"
"Part-time","1989","Couple + C. GT 16 ","Urban Area","125","0.0821756473437195","0.0691779211462151","0.0951733735412239","2"
"Full-time","1990","1-pers.-HH","Urban Area","439","0.384593699035593","0.354649605882256","0.41453779218893","1"
"Full-time","1990","1-pers.-HH","Rural Area","125","0.322816169654743","0.274247744466027","0.371384594843459","1"
"Full-time","1990","(Married) couple without C. ","Urban Area","1073","0.434098598325027","0.413297568590539","0.454899628059516","1"
"Full-time","1990","(Married) couple without C. ","Rural Area","549","0.421632651351265","0.392085390155609","0.451179912546922","1"
"Full-time","1990","Single parent ","Urban Area","218","0.433487321238083","0.388493989936099","0.478480652540067","1"
"Full-time","1990","Single parent ","Rural Area","106","0.494194999056311","0.42215014607677","0.566239852035851","1"
"Full-time","1990","Couple + C. LE 16 ","Urban Area","1348","0.575424437653706","0.55476084201171","0.596088033295702","1"
"Full-time","1990","Couple + C. LE 16 ","Rural Area","955","0.662567473011187","0.637203575707409","0.687931370314966","1"
"Full-time","1990","Couple + C. GT 16 ","Urban Area","907","0.468212087339233","0.44553526694267","0.490888907735796","1"
"Full-time","1990","Couple + C. GT 16 ","Rural Area","575","0.507863125732854","0.477227513200694","0.538498738265014","1"
"Full-time","1990","Couple + C. LE and GT 16","Urban Area","381","0.437016961042433","0.403231509746464","0.470802412338403","1"
"Full-time","1990","Couple + C. LE and GT 16","Rural Area","211","0.506908403638954","0.456641186961404","0.557175620316505","1"
"Non-working","1990","1-pers.-HH","Urban Area","520","0.565812183897751","0.535304862510565","0.596319505284937","5"
"Non-working","1990","1-pers.-HH","Rural Area","213","0.636845714729268","0.586889929008998","0.686801500449538","5"
"Non-working","1990","(Married) couple without C. ","Urban Area","915","0.480717473844591","0.459748988178729","0.501685959510453","5"
"Non-working","1990","(Married) couple without C. ","Rural Area","434","0.500447619350426","0.470530618048439","0.530364620652413","5"
"Non-working","1990","Single parent ","Urban Area","160","0.374580904956462","0.330635495193193","0.41852631471973","5"
"Non-working","1990","Single parent ","Rural Area","48","0.293708360891093","0.228076848179795","0.359339873602391","5"
"Non-working","1990","Couple + C. LE 16 ","Urban Area","551","0.265462251392279","0.247001783963194","0.283922718821364","5"
"Non-working","1990","Couple + C. LE 16 ","Rural Area","198","0.179372593655303","0.158791970970426","0.199953216340179","5"
"Non-working","1990","Couple + C. GT 16 ","Urban Area","638","0.353035231140179","0.33131617446638","0.374754287813978","5"
"Non-working","1990","Couple + C. GT 16 ","Rural Area","282","0.329371963358806","0.300571833805421","0.358172092912191","5"
"Non-working","1990","Couple + C. LE and GT 16","Urban Area","291","0.363823229827122","0.331053939315298","0.396592520338946","5"
"Non-working","1990","Couple + C. LE and GT 16","Rural Area","80","0.237456560853258","0.194672630967071","0.280240490739446","5"
"Other","1990","1-pers.-HH","Urban Area","25","","","","6"
"Other","1990","1-pers.-HH","Rural Area","6","","","","6"
"Other","1990","(Married) couple without C. ","Rural Area","9","","","","6"
"Other","1990","(Married) couple without C. ","Urban Area","42","0.019299490202937","0.0135256949729773","0.0250732854328967","6"
"Other","1990","Single parent ","Urban Area","52","0.112289342929491","0.0836238034331654","0.140954882425817","6"
"Other","1990","Single parent ","Rural Area","11","","","","6"
"Other","1990","Couple + C. LE 16 ","Urban Area","47","0.027672283693892","0.0208148268926231","0.0345297404951608","6"
"Other","1990","Couple + C. LE 16 ","Rural Area","18","","","","6"
"Other","1990","Couple + C. GT 16 ","Urban Area","171","0.0917556161683475","0.0786363571242112","0.104874875212484","6"
"Other","1990","Couple + C. GT 16 ","Rural Area","93","0.088534253027794","0.0711267646410454","0.105941741414543","6"
"Other","1990","Couple + C. LE and GT 16","Urban Area","98","0.118269751581141","0.0962740593221993","0.140265443840082","6"
"Other","1990","Couple + C. LE and GT 16","Rural Area","50","0.138347744425198","0.103633449502002","0.173062039348393","6"
"Part-time","1990","1-pers.-HH","Urban Area","30","0.029550044477186","0.0191269960589621","0.0399730928954098","2"
"Part-time","1990","1-pers.-HH","Rural Area","12","","","","2"
