"erwst","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Other","1986","Employed","secondary school degree","170","0.126710728578766","0.108173321049469","0.145248136108064"
"Other","1986","Employed","college entrance qualification","92","0.103470202253737","0.0832200535777984","0.123720350929676"
"Other","1986","Employed","Other degree","24","","",""
"Other","1986","Employed","no degree/no degree yet","14","","",""
"Full-time","1987","Not Employed","lower secondary degree","22","","",""
"Full-time","1987","Not Employed","secondary school degree","3","","",""
"Full-time","1987","Not Employed","college entrance qualification","9","","",""
"Full-time","1987","Not Employed","Other degree","9","","",""
"Full-time","1987","Not Employed","no degree/no degree yet","","","",""
"Full-time","1987","Employed","lower secondary degree","2198","0.729588846305387","0.713825458324244","0.745352234286529"
"Full-time","1987","Employed","secondary school degree","846","0.696468758390201","0.671061354603324","0.721876162177078"
"Full-time","1987","Employed","college entrance qualification","608","0.699124276234724","0.668683157158878","0.72956539531057"
"Full-time","1987","Employed","Other degree","782","0.832372972782637","0.807914738945569","0.856831206619704"
"Full-time","1987","Employed","no degree/no degree yet","413","0.72441807681822","0.68616182210839","0.762674331528051"
"Part-time","1987","Not Employed","lower secondary degree","10","","",""
"Part-time","1987","Not Employed","secondary school degree","5","","",""
"Part-time","1987","Not Employed","college entrance qualification","","","",""
"Part-time","1987","Not Employed","Other degree","2","","",""
"Part-time","1987","Not Employed","no degree/no degree yet","1","","",""
"Part-time","1987","Employed","lower secondary degree","369","0.12853149302833","0.116653890276304","0.140409095780357"
"Part-time","1987","Employed","secondary school degree","138","0.106392527703172","0.0893538169737422","0.123431238432602"
"Part-time","1987","Employed","college entrance qualification","79","0.0881545041856718","0.0693365359672941","0.10697247240405"
"Part-time","1987","Employed","Other degree","38","0.0308470997256992","0.0195257708935705","0.0421684285578279"
"Part-time","1987","Employed","no degree/no degree yet","36","0.0685634843543057","0.0469260622468136","0.0902009064617979"
"Non-working","1987","Not Employed","lower secondary degree","2021","0.983687338303314","0.978230339308989","0.989144337297639"
"Non-working","1987","Not Employed","secondary school degree","558","0.979145041159651","0.967454884592429","0.990835197726873"
"Non-working","1987","Not Employed","college entrance qualification","340","0.955420895308664","0.934102236490006","0.976739554127323"
"Non-working","1987","Not Employed","Other degree","246","0.952710561868102","0.926810499792212","0.978610623943991"
"Non-working","1987","Not Employed","no degree/no degree yet","476","0.984833514501359","0.973934219372283","0.995732809630436"
"Non-working","1987","Employed","lower secondary degree","238","0.0790720504985098","0.0694952046107738","0.0886488963862459"
"Non-working","1987","Employed","secondary school degree","84","0.0658828542111827","0.052174205579336","0.0795915028430295"
"Non-working","1987","Employed","college entrance qualification","79","0.0960522761392333","0.0764946861733315","0.115609866105135"
"Non-working","1987","Employed","Other degree","60","0.0960716642269919","0.076776043972261","0.115367284481723"
"Non-working","1987","Employed","no degree/no degree yet","55","0.138828335328665","0.109223246299653","0.168433424357677"
"Other","1987","Not Employed","lower secondary degree","17","","",""
"Other","1987","Not Employed","secondary school degree","8","","",""
"Other","1987","Not Employed","college entrance qualification","11","","",""
"Other","1987","Not Employed","Other degree","1","","",""
"Other","1987","Not Employed","no degree/no degree yet","6","","",""
"Other","1987","Employed","lower secondary degree","245","0.0628076101677731","0.0541973022564632","0.071417918079083"
"Other","1987","Employed","secondary school degree","190","0.131255859695444","0.112595798441692","0.149915920949196"
"Other","1987","Employed","college entrance qualification","106","0.116668943440371","0.0953616036871095","0.137976283193632"
"Other","1987","Employed","Other degree","16","","",""
"Other","1987","Employed","no degree/no degree yet","20","","",""
"Full-time","1988","Not Employed","lower secondary degree","19","","",""
"Full-time","1988","Not Employed","secondary school degree","9","","",""
"Full-time","1988","Not Employed","college entrance qualification","12","","",""
"Full-time","1988","Not Employed","Other degree","4","","",""
"Full-time","1988","Not Employed","no degree/no degree yet","4","","",""
"Full-time","1988","Employed","lower secondary degree","2074","0.715822686068534","0.699571949885989","0.73207342225108"
"Full-time","1988","Employed","secondary school degree","818","0.691731030645231","0.666018431920263","0.7174436293702"
"Full-time","1988","Employed","college entrance qualification","600","0.719299169040135","0.688930432665439","0.749667905414832"
"Full-time","1988","Employed","Other degree","696","0.806515421182086","0.779576041980887","0.833454800383285"
"Full-time","1988","Employed","no degree/no degree yet","358","0.781336519430257","0.74310407106609","0.819568967794424"
"Part-time","1988","Not Employed","lower secondary degree","12","","",""
"Part-time","1988","Not Employed","secondary school degree","4","","",""
"Part-time","1988","Not Employed","college entrance qualification","3","","",""
"Part-time","1988","Not Employed","Other degree","1","","",""
"Part-time","1988","Not Employed","no degree/no degree yet","1","","",""
"Part-time","1988","Employed","lower secondary degree","352","0.125426793652804","0.113493265757675","0.137360321547933"
"Part-time","1988","Employed","secondary school degree","139","0.111759034727913","0.0942154168918065","0.129302652564019"
"Part-time","1988","Employed","college entrance qualification","74","0.083934583568485","0.0651939699365189","0.102675197200451"
"Part-time","1988","Employed","Other degree","46","0.0469099196438751","0.0324901810766934","0.0613296582110569"
"Part-time","1988","Employed","no degree/no degree yet","39","0.0888850891119237","0.0625626606727074","0.11520751755114"
"Non-working","1988","Not Employed","lower secondary degree","1886","0.982003576035365","0.976080364417355","0.987926787653376"
"Non-working","1988","Not Employed","secondary school degree","510","0.975758218667097","0.962639708885095","0.988876728449099"
"Non-working","1988","Not Employed","college entrance qualification","316","0.934520998332117","0.90822714783534","0.960814848828893"
"Non-working","1988","Not Employed","Other degree","241","0.966599343365516","0.944281657117818","0.988917029613215"
"Non-working","1988","Not Employed","no degree/no degree yet","453","0.981791955201275","0.969613309767167","0.993970600635383"
"Non-working","1988","Employed","lower secondary degree","282","0.0929211080599869","0.0824605385694498","0.103381677550524"
"Non-working","1988","Employed","secondary school degree","98","0.0802857107634227","0.0651550451645909","0.0954163763622545"
"Non-working","1988","Employed","college entrance qualification","73","0.0926277783577527","0.0730342135903366","0.112221343125169"
"Non-working","1988","Employed","Other degree","64","0.102565061711672","0.0818751195418342","0.12325500388151"
"Non-working","1988","Employed","no degree/no degree yet","43","0.110184015008835","0.0812216302335721","0.139146399784097"
"Other","1988","Not Employed","lower secondary degree","18","","",""
"Other","1988","Not Employed","secondary school degree","5","","",""
"Other","1988","Not Employed","college entrance qualification","9","","",""
"Other","1988","Not Employed","Other degree","3","","",""
"Other","1988","Not Employed","no degree/no degree yet","5","","",""
"Other","1988","Employed","lower secondary degree","251","0.0658294122186742","0.0568943271461921","0.0747644972911563"
"Other","1988","Employed","secondary school degree","184","0.116224223863433","0.0983785968380181","0.134069850888848"
"Other","1988","Employed","college entrance qualification","94","0.104138469033627","0.0834953112770085","0.124781626790245"
"Other","1988","Employed","Other degree","20","","",""
"Other","1988","Employed","no degree/no degree yet","9","","",""
"Full-time","1989","Not Employed","lower secondary degree","19","","",""
"Full-time","1989","Not Employed","secondary school degree","9","","",""
"Full-time","1989","Not Employed","college entrance qualification","10","","",""
"Full-time","1989","Not Employed","Other degree","9","","",""
"Full-time","1989","Not Employed","no degree/no degree yet","2","","",""
"Full-time","1989","Employed","lower secondary degree","2025","0.719235522972123","0.702693896741884","0.735777149202362"
"Full-time","1989","Employed","secondary school degree","835","0.722482287142379","0.697304421717143","0.747660152567616"
"Full-time","1989","Employed","college entrance qualification","627","0.729700803753075","0.700172874458805","0.759228733047345"
"Full-time","1989","Employed","Other degree","674","0.841280298764497","0.815685425232429","0.866875172296565"
"Full-time","1989","Employed","no degree/no degree yet","340","0.68495477132737","0.641401099593719","0.728508443061022"
"Part-time","1989","Not Employed","lower secondary degree","8","","",""
"Part-time","1989","Not Employed","secondary school degree","5","","",""
"Part-time","1989","Not Employed","college entrance qualification","2","","",""
"Part-time","1989","Not Employed","Other degree","3","","",""
"Part-time","1989","Not Employed","no degree/no degree yet","5","","",""
"Part-time","1989","Employed","lower secondary degree","343","0.130351535309535","0.117957820395973","0.142745250223098"
"Part-time","1989","Employed","secondary school degree","136","0.112937206501465","0.0951398436625664","0.130734569340363"
"Part-time","1989","Employed","college entrance qualification","82","0.0919243887327785","0.0727149540570673","0.11113382340849"
"Part-time","1989","Employed","Other degree","49","0.0553136165987102","0.0393022992551179","0.0713249339423026"
"Part-time","1989","Employed","no degree/no degree yet","33","0.0746861792291087","0.0500387278668476","0.0993336305913698"
"Non-working","1989","Not Employed","lower secondary degree","1800","0.986340576671847","0.981039880518006","0.991641272825688"
"Non-working","1989","Not Employed","secondary school degree","471","0.954602199167245","0.93631858522884","0.972885813105649"
"Non-working","1989","Not Employed","college entrance qualification","312","0.929151463323079","0.901676672956511","0.956626253689647"
"Non-working","1989","Not Employed","Other degree","237","0.894048617659152","0.855973161773359","0.932124073544944"
"Non-working","1989","Not Employed","no degree/no degree yet","439","0.976869556701855","0.96301192102384","0.990727192379869"
"Non-working","1989","Employed","lower secondary degree","228","0.0819948767469361","0.0718956651730217","0.0920940883208506"
"Non-working","1989","Employed","secondary school degree","94","0.0701188447864688","0.0557609405784716","0.0844767489944661"
"Non-working","1989","Employed","college entrance qualification","81","0.085144699965209","0.0665883217063189","0.103701078224099"
"Non-working","1989","Employed","Other degree","47","0.0736277390600662","0.0553349168551073","0.0919205612650251"
"Non-working","1989","Employed","no degree/no degree yet","50","0.166089364323083","0.131196386018096","0.200982342628069"
"Other","1989","Not Employed","lower secondary degree","15","","",""
"Other","1989","Not Employed","secondary school degree","13","","",""
"Other","1989","Not Employed","college entrance qualification","11","","",""
"Other","1989","Not Employed","Other degree","2","","",""
"Other","1989","Not Employed","no degree/no degree yet","6","","",""
"Other","1989","Employed","lower secondary degree","239","0.0684180649714052","0.0591248179305553","0.0777113120122551"
"Other","1989","Employed","secondary school degree","150","0.0944616615696872","0.0780163856937031","0.110906937445671"
"Other","1989","Employed","college entrance qualification","79","0.0932301075489377","0.0738986392639227","0.112561575833953"
"Other","1989","Employed","Other degree","13","","",""
"Other","1989","Employed","no degree/no degree yet","14","","",""
"Full-time","1990","Not Employed","lower secondary degree","16","","",""
"Full-time","1990","Not Employed","secondary school degree","2","","",""
"Full-time","1990","Not Employed","college entrance qualification","6","","",""
"Full-time","1990","Not Employed","Other degree","6","","",""
"Full-time","1990","Not Employed","no degree/no degree yet","4","","",""
"Full-time","1990","Employed","lower secondary degree","1964","0.718600290521207","0.701775039431415","0.735425541611"
"Full-time","1990","Employed","secondary school degree","834","0.706843524537432","0.681341845830608","0.732345203244257"
"Full-time","1990","Employed","college entrance qualification","620","0.70737513660503","0.67748460802675","0.73726566518331"
"Full-time","1990","Employed","Other degree","655","0.842374588095749","0.816451129138103","0.868298047053395"
"Full-time","1990","Employed","no degree/no degree yet","320","0.72984912771538","0.686972638577513","0.772725616853248"
"Part-time","1990","Not Employed","lower secondary degree","15","","",""
"Part-time","1990","Not Employed","secondary school degree","7","","",""
"Part-time","1990","Not Employed","college entrance qualification","3","","",""
"Part-time","1990","Not Employed","Other degree","4","","",""
"Part-time","1990","Not Employed","no degree/no degree yet","3","","",""
"Part-time","1990","Employed","lower secondary degree","344","0.136321620000348","0.123483115700956","0.14916012429974"
"Part-time","1990","Employed","secondary school degree","156","0.12243660743064","0.104073242075061","0.140799972786219"
"Part-time","1990","Employed","college entrance qualification","92","0.109369346356286","0.088864821251341","0.129873871461232"
"Part-time","1990","Employed","Other degree","49","0.0617183480979851","0.0445984584186861","0.0788382377772842"
"Part-time","1990","Employed","no degree/no degree yet","37","0.0799593333355693","0.0537692079719275","0.106149458699211"
"Non-working","1990","Not Employed","lower secondary degree","1767","0.985697337806194","0.980225804589383","0.991168871023006"
"Non-working","1990","Not Employed","secondary school degree","446","0.972052519507137","0.957039301484391","0.987065737529884"
"Non-working","1990","Not Employed","college entrance qualification","304","0.970930972248004","0.952466199720097","0.98939574477591"
"Non-working","1990","Not Employed","Other degree","245","0.954458077919651","0.928868559799373","0.980047596039928"
"Non-working","1990","Not Employed","no degree/no degree yet","421","0.955832683634157","0.936479804370625","0.975185562897688"
"Non-working","1990","Employed","lower secondary degree","217","0.0779133815801459","0.0678846057405186","0.0879421574197732"
"Non-working","1990","Employed","secondary school degree","94","0.0777429212053538","0.0627421423570629","0.0927437000536448"
"Non-working","1990","Employed","college entrance qualification","93","0.0920754218144037","0.0730799610406732","0.111070882588134"
"Non-working","1990","Employed","Other degree","45","0.0679574916951012","0.0500529283714991","0.0858620550187034"
"Non-working","1990","Employed","no degree/no degree yet","43","0.147382831277903","0.113153377615805","0.18161228494"
"Other","1990","Not Employed","lower secondary degree","11","","",""
"Other","1990","Not Employed","secondary school degree","8","","",""
"Other","1990","Not Employed","college entrance qualification","5","","",""
"Other","1990","Not Employed","Other degree","","","",""
"Other","1990","Not Employed","no degree/no degree yet","5","","",""
"Other","1990","Employed","lower secondary degree","219","0.0671647078982984","0.0577992484682465","0.0765301673283503"
"Other","1990","Employed","secondary school degree","140","0.0929769468265735","0.0767081968374263","0.109245696815721"
"Other","1990","Employed","college entrance qualification","85","0.0911800952242802","0.072267896461586","0.110092293986974"
"Other","1990","Employed","Other degree","10","","",""
"Other","1990","Employed","no degree/no degree yet","12","","",""
"Full-time","1991","Not Employed","lower secondary degree","23","","",""
"Full-time","1991","Not Employed","secondary school degree","7","","",""
"Full-time","1991","Not Employed","college entrance qualification","11","","",""
"Full-time","1991","Not Employed","Other degree","10","","",""
"Full-time","1991","Not Employed","no degree/no degree yet","8","","",""
"Full-time","1991","Employed","lower secondary degree","1932","0.70765966448827","0.690597922933743","0.724721406042798"
"Full-time","1991","Employed","secondary school degree","815","0.690018564088898","0.664140961437183","0.715896166740613"
"Full-time","1991","Employed","college entrance qualification","628","0.705131752251758","0.675505512360183","0.734757992143332"
"Full-time","1991","Employed","Other degree","653","0.855957729370616","0.8308780637822","0.881037394959032"
"Full-time","1991","Employed","no degree/no degree yet","314","0.678447251457748","0.63356386857434","0.723330634341155"
"Part-time","1991","Not Employed","lower secondary degree","8","","",""
"Part-time","1991","Not Employed","secondary school degree","4","","",""
"Part-time","1991","Not Employed","college entrance qualification","5","","",""
"Part-time","1991","Not Employed","Other degree","6","","",""
"Part-time","1991","Not Employed","no degree/no degree yet","3","","",""
"Part-time","1991","Employed","lower secondary degree","364","0.142637815906678","0.129519856892946","0.155755774920411"
"Part-time","1991","Employed","secondary school degree","165","0.134477695973974","0.115388392975502","0.153566998972447"
"Part-time","1991","Employed","college entrance qualification","103","0.118247276137131","0.0972677162842791","0.139226835989983"
"Part-time","1991","Employed","Other degree","40","0.0379920582952081","0.0243372268670423","0.0516468897233739"
"Part-time","1991","Employed","no degree/no degree yet","42","0.100516350504946","0.0716217683578065","0.129410932652085"
"Non-working","1991","Not Employed","lower secondary degree","1688","0.978271541077946","0.971427012045931","0.985116070109961"
"Non-working","1991","Not Employed","secondary school degree","455","0.97508062533809","0.961077226830052","0.989084023846127"
"Non-working","1991","Not Employed","college entrance qualification","305","0.945198414201279","0.920716966037757","0.969679862364801"
"Non-working","1991","Not Employed","Other degree","227","0.934315166601093","0.903294987600066","0.96533534560212"
"Non-working","1991","Not Employed","no degree/no degree yet","394","0.964449991090687","0.946526777664341","0.982373204517034"
"Non-working","1991","Employed","lower secondary degree","191","0.0713327615159432","0.0616780044938042","0.0809875185380822"
"Non-working","1991","Employed","secondary school degree","104","0.0791365128546087","0.0640318202674996","0.0942412054417177"
"Non-working","1991","Employed","college entrance qualification","81","0.0794643076638257","0.0618917991276233","0.097036816200028"
"Non-working","1991","Employed","Other degree","43","0.0777032959378462","0.0585825138708696","0.0968240780048228"
"Non-working","1991","Employed","no degree/no degree yet","41","0.13362153702726","0.100925623122091","0.16631745093243"
"Other","1991","Not Employed","lower secondary degree","24","","",""
"Other","1991","Not Employed","secondary school degree","10","","",""
"Other","1991","Not Employed","college entrance qualification","11","","",""
"Other","1991","Not Employed","Other degree","2","","",""
"Other","1991","Not Employed","no degree/no degree yet","5","","",""
"Other","1991","Employed","lower secondary degree","243","0.0783697580891079","0.0682883921541998","0.088451124024016"
"Other","1991","Employed","secondary school degree","143","0.0963672270825193","0.0798557290283705","0.112878725136668"
"Other","1991","Employed","college entrance qualification","98","0.0971566639472853","0.0779137919782672","0.116399535916303"
"Other","1991","Employed","Other degree","17","","",""
"Other","1991","Employed","no degree/no degree yet","19","","",""
"Full-time","1992","Not Employed","lower secondary degree","18","","",""
"Full-time","1992","Not Employed","secondary school degree","14","","",""
"Full-time","1992","Not Employed","college entrance qualification","8","","",""
"Full-time","1992","Not Employed","Other degree","5","","",""
"Full-time","1992","Not Employed","no degree/no degree yet","4","","",""
"Full-time","1992","Employed","lower secondary degree","2451","0.694039134108462","0.678859147783602","0.709219120433321"
"Full-time","1992","Employed","secondary school degree","2013","0.699474377270416","0.682723816367287","0.716224938173544"
"Full-time","1992","Employed","college entrance qualification","973","0.720984678397167","0.696988124544054","0.74498123225028"
"Full-time","1992","Employed","Other degree","627","0.835169128871076","0.80858001980962","0.861758237932531"
"Full-time","1992","Employed","no degree/no degree yet","290","0.650533244217738","0.604380891565704","0.696685596869773"
"Part-time","1992","Not Employed","lower secondary degree","7","","",""
"Part-time","1992","Not Employed","secondary school degree","9","","",""
"Part-time","1992","Not Employed","college entrance qualification","9","","",""
"Part-time","1992","Not Employed","Other degree","2","","",""
"Part-time","1992","Not Employed","no degree/no degree yet","1","","",""
"Part-time","1992","Employed","lower secondary degree","421","0.135017912562597","0.123760315201682","0.146275509923511"
"Part-time","1992","Employed","secondary school degree","270","0.103161010025421","0.0920483576388324","0.114273662412009"
"Part-time","1992","Employed","college entrance qualification","121","0.104133355197461","0.0877919857948534","0.120474724600068"
"Part-time","1992","Employed","Other degree","52","0.0573786543757598","0.0407122810142863","0.0740450277372334"
"Part-time","1992","Employed","no degree/no degree yet","37","0.0771075502092698","0.0512861278278689","0.102928972590671"
"Non-working","1992","Not Employed","lower secondary degree","2295","0.989975944805341","0.985934545981139","0.994017343629543"
"Non-working","1992","Not Employed","secondary school degree","691","0.961039871338672","0.947088825489625","0.974990917187718"
"Non-working","1992","Not Employed","college entrance qualification","378","0.941723578526025","0.918908144267871","0.964539012784179"
"Non-working","1992","Not Employed","Other degree","260","0.960107948843342","0.936677321849356","0.983538575837328"
"Non-working","1992","Not Employed","no degree/no degree yet","446","0.994564180952908","0.987785771856256","1.00134259004956"
"Non-working","1992","Employed","lower secondary degree","451","0.116057920381203","0.105506868549025","0.12660897221338"
"Non-working","1992","Employed","secondary school degree","363","0.119438862084954","0.107590582816144","0.131287141353764"
"Non-working","1992","Employed","college entrance qualification","148","0.100507813751445","0.0844209848103782","0.116594642692513"
