"erwst","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Non-working","1994","66 and older","Male","554","0.970001450958437","0.956009884052195","0.983993017864679"
"Other","1994","16-34 y.","Female","293","0.111464501320866","0.0989697963232483","0.123959206318483"
"Other","1994","16-34 y.","Male","254","0.110221319086453","0.0976424327353712","0.122800205437536"
"Other","1994","35-65 y.","Female","115","0.0396171372556919","0.0329791089310217","0.046255165580362"
"Other","1994","35-65 y.","Male","","","",""
"Other","1994","66 and older","Female","","","",""
"Other","1994","66 and older","Male","","","",""
"Part-time","1994","16-34 y.","Female","254","0.112932342988394","0.100366030125655","0.125498655851133"
"Part-time","1994","16-34 y.","Male","","","",""
"Part-time","1994","35-65 y.","Female","570","0.186801452707441","0.173537780603661","0.200065124811221"
"Part-time","1994","35-65 y.","Male","","","",""
"Part-time","1994","66 and older","Female","","","",""
"Part-time","1994","66 and older","Male","","","",""
"Full-time","1995","16-34 y.","Female","896","0.376901842704557","0.357950907909935","0.395852777499178"
"Full-time","1995","16-34 y.","Male","1545","0.616276751726949","0.597020932624345","0.635532570829554"
"Full-time","1995","35-65 y.","Female","1154","0.291617883701092","0.2764625697873","0.306773197614884"
"Full-time","1995","35-65 y.","Male","2550","0.736346642206337","0.721531896116957","0.751161388295716"
"Full-time","1995","66 and older","Female","","","",""
"Full-time","1995","66 and older","Male","","","",""
"Non-working","1995","16-34 y.","Female","1063","0.40724018628848","0.388026842062215","0.426453530514745"
"Non-working","1995","16-34 y.","Male","594","0.24787127271015","0.23077410249108","0.264968442929219"
"Non-working","1995","35-65 y.","Female","1529","0.472645218464057","0.455997943856091","0.489292493072024"
"Non-working","1995","35-65 y.","Male","776","0.237571544155576","0.223261757382653","0.2518813309285"
"Non-working","1995","66 and older","Female","950","0.98732808232398","0.980259823056531","0.994396341591428"
"Non-working","1995","66 and older","Male","572","0.963689652024357","0.948621116686298","0.978758187362416"
"Other","1995","16-34 y.","Female","286","0.105575665637222","0.0935587782635662","0.117592553010878"
"Other","1995","16-34 y.","Male","282","0.119266355852705","0.106432820329071","0.132099891376338"
"Other","1995","35-65 y.","Female","138","0.0471862241145847","0.0401159591121396","0.0542564891170299"
"Other","1995","35-65 y.","Male","33","0.0105714301643737","0.00713272057621859","0.0140101397525289"
"Other","1995","66 and older","Female","","","",""
"Other","1995","66 and older","Male","","","",""
"Part-time","1995","16-34 y.","Female","267","0.110282305369741","0.0980328351701465","0.122531775569336"
"Part-time","1995","16-34 y.","Male","","","",""
"Part-time","1995","35-65 y.","Female","634","0.188550673720266","0.175507934485985","0.201593412954547"
"Part-time","1995","35-65 y.","Male","39","0.0155103834737131","0.0113555536401762","0.0196652133072499"
"Part-time","1995","66 and older","Female","","","",""
"Part-time","1995","66 and older","Male","","","",""
"Full-time","1996","16-34 y.","Female","860","0.356742665111572","0.337668686833561","0.375816643389584"
"Full-time","1996","16-34 y.","Male","1453","0.611739955422067","0.592069203367904","0.631410707476231"
"Full-time","1996","35-65 y.","Female","1103","0.286923537022893","0.27175289796136","0.302094176084426"
"Full-time","1996","35-65 y.","Male","2487","0.729203942738175","0.714156199921906","0.744251685554444"
"Full-time","1996","66 and older","Female","","","",""
"Full-time","1996","66 and older","Male","","","",""
"Non-working","1996","16-34 y.","Female","1046","0.426494961734855","0.406802638522171","0.446187284947539"
"Non-working","1996","16-34 y.","Male","588","0.248224257292449","0.230788434165301","0.265660080419597"
"Non-working","1996","35-65 y.","Female","1476","0.456684170597866","0.439977615957889","0.473390725237844"
"Non-working","1996","35-65 y.","Male","793","0.245150388373136","0.23058331867164","0.259717458074631"
"Non-working","1996","66 and older","Female","960","0.989499441059404","0.98308804713709","0.995910834981718"
"Non-working","1996","66 and older","Male","580","0.956542704084607","0.940323210999245","0.972762197169969"
"Other","1996","16-34 y.","Female","263","0.0988578859497389","0.0869735837509685","0.110742188148509"
"Other","1996","16-34 y.","Male","272","0.118003654437087","0.104982265471059","0.131025043403115"
"Other","1996","35-65 y.","Female","140","0.0476508752473427","0.0405061378414867","0.0547956126531988"
"Other","1996","35-65 y.","Male","","","",""
"Other","1996","66 and older","Female","","","",""
"Other","1996","66 and older","Male","","","",""
"Part-time","1996","16-34 y.","Female","254","0.117904487203834","0.10506361992334","0.130745354484328"
"Part-time","1996","16-34 y.","Male","45","0.0220321328483964","0.0161074275324345","0.0279568381643582"
"Part-time","1996","35-65 y.","Female","696","0.208741417131898","0.195110776505261","0.222372057758535"
"Part-time","1996","35-65 y.","Male","49","0.019499346368762","0.014817041817125","0.0241816509203991"
"Part-time","1996","66 and older","Female","","","",""
"Part-time","1996","66 and older","Male","","","",""
"Full-time","1997","16-34 y.","Female","810","0.342149283078483","0.322893760420087","0.361404805736878"
"Full-time","1997","16-34 y.","Male","1409","0.620512567826545","0.600698171591736","0.640326964061354"
"Full-time","1997","35-65 y.","Female","1110","0.295043180635341","0.279659122207871","0.310427239062811"
"Full-time","1997","35-65 y.","Male","2402","0.708785212119351","0.693260835205205","0.724309589033497"
"Full-time","1997","66 and older","Female","","","",""
"Full-time","1997","66 and older","Male","","","",""
"Non-working","1997","16-34 y.","Female","1014","0.436547599172613","0.416418319361519","0.456676878983707"
"Non-working","1997","16-34 y.","Male","595","0.241076782961439","0.223611184682828","0.258542381240051"
"Non-working","1997","35-65 y.","Female","1487","0.467919406399618","0.451087972711235","0.484750840088002"
"Non-working","1997","35-65 y.","Male","813","0.263985159794609","0.248923141034309","0.27904717855491"
"Non-working","1997","66 and older","Female","957","0.984059505314482","0.976177734512446","0.991941276116517"
"Non-working","1997","66 and older","Male","619","0.969468977343903","0.956171163820564","0.982766790867243"
"Other","1997","16-34 y.","Female","271","0.108031434883986","0.0954325048314103","0.120630364936562"
"Other","1997","16-34 y.","Male","260","0.107942087671194","0.0952714408648605","0.120612734477528"
"Other","1997","35-65 y.","Female","119","0.0363307261186961","0.0300190033213848","0.0426424489160075"
"Other","1997","35-65 y.","Male","","","",""
"Other","1997","66 and older","Female","","","",""
"Other","1997","66 and older","Male","","","",""
"Part-time","1997","16-34 y.","Female","237","0.113271682864918","0.100408756508462","0.126134609221374"
"Part-time","1997","16-34 y.","Male","40","0.0304685615408215","0.0234505548595175","0.0374865682221254"
"Part-time","1997","35-65 y.","Female","660","0.200706686846345","0.187195892518729","0.21421748117396"
"Part-time","1997","35-65 y.","Male","47","0.0193922089661227","0.0146801420097814","0.0241042759224639"
"Part-time","1997","66 and older","Female","","","",""
"Part-time","1997","66 and older","Male","","","",""
"Full-time","1998","16-34 y.","Female","866","0.341691577726796","0.322976339525735","0.360406815927857"
"Full-time","1998","16-34 y.","Male","1437","0.586956781976008","0.567331280937062","0.606582283014955"
"Full-time","1998","35-65 y.","Female","1218","0.293949679965788","0.279497234676464","0.308402125255113"
"Full-time","1998","35-65 y.","Male","2711","0.712410924938517","0.697892737080914","0.726929112796121"
"Full-time","1998","66 and older","Female","","","",""
"Full-time","1998","66 and older","Male","","","",""
"Non-working","1998","16-34 y.","Female","1105","0.46167372788626","0.442001484696507","0.481345971076014"
"Non-working","1998","16-34 y.","Male","623","0.250978352273791","0.2336967001187","0.268260004428883"
"Non-working","1998","35-65 y.","Female","1660","0.453766315501361","0.437972306652681","0.469560324350041"
"Non-working","1998","35-65 y.","Male","931","0.257764985415305","0.243735439501807","0.271794531328802"
"Non-working","1998","66 and older","Female","1113","0.988738969470031","0.982578468551216","0.994899470388847"
"Non-working","1998","66 and older","Male","737","0.968523624579874","0.956142819697139","0.980904429462609"
"Other","1998","16-34 y.","Female","279","0.0988786186568497","0.0870996746074428","0.110657562706257"
"Other","1998","16-34 y.","Male","310","0.127889069778769","0.114577706932187","0.141200432625352"
"Other","1998","35-65 y.","Female","154","0.0369451639531014","0.0309611676252026","0.0429291602810002"
"Other","1998","35-65 y.","Male","42","0.0126781883824505","0.00908963922124751","0.0162667375436536"
"Other","1998","66 and older","Female","","","",""
"Other","1998","66 and older","Male","","","",""
"Part-time","1998","16-34 y.","Female","217","0.0977560757300942","0.0860368915712421","0.109475259888946"
"Part-time","1998","16-34 y.","Male","48","0.0341757959714312","0.026934299818069","0.0414172921247933"
"Part-time","1998","35-65 y.","Female","785","0.215338840579749","0.202298489794353","0.228379191365145"
"Part-time","1998","35-65 y.","Male","50","0.0171459012637272","0.0129821419226439","0.0213096606048106"
"Part-time","1998","66 and older","Female","","","",""
"Part-time","1998","66 and older","Male","","","",""
"Full-time","1999","16-34 y.","Female","829","0.34907713790737","0.329788145014772","0.368366130799967"
"Full-time","1999","16-34 y.","Male","1356","0.58115363465524","0.560862217531113","0.601445051779368"
"Full-time","1999","35-65 y.","Female","1188","0.301550417725115","0.286760920046697","0.316339915403532"
