"erwst","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Other","1984","Hesse","84","0.06642249507876","0.0526288607520843","0.0802161294054356"
"Other","1984","Rhineland-Palatinate,Saarland","59","0.0667839483778491","0.0500404462520502","0.083527450503648"
"Other","1984","Baden-Württemberg","133","0.0600308082371604","0.050258907034129","0.0698027094401918"
"Other","1984","Bavaria","153","0.072078606128031","0.0610385426262949","0.0831186696297671"
"Other","1984","Berlin","18","","",""
"Other","1984","Brandenburg","","","",""
"Other","1984","Mecklenburg-Western Pomerania","","","",""
"Other","1984","Saxony","","","",""
"Other","1984","Saxony-Anhalt","","","",""
"Other","1984","Thuringia","","","",""
"Full-time","1985","Schleswig-Holstein","160","0.414984039201175","0.363657023455737","0.466311054946612"
"Full-time","1985","Hamburg","129","0.395541437033748","0.338370647257257","0.45271222681024"
"Full-time","1985","Lower Saxony","451","0.369471980922818","0.341052171553429","0.397891790292206"
"Full-time","1985","Bremen","31","0.199693787913525","0.126944379192081","0.272443196634969"
"Full-time","1985","North Rhine-Westphalia","1366","0.413047544323461","0.395351382007501","0.43074370663942"
"Full-time","1985","Hesse","554","0.415060010724941","0.386444774736411","0.443675246713471"
"Full-time","1985","Rhineland-Palatinate,Saarland","347","0.405583254476297","0.371014576939711","0.440151932012884"
"Full-time","1985","Baden-Württemberg","1086","0.460258920630186","0.438719957685617","0.481797883574756"
"Full-time","1985","Bavaria","951","0.435365739292538","0.413159529422952","0.457571949162123"
"Full-time","1985","Berlin","181","0.447704261561302","0.396899356757748","0.498509166364857"
"Full-time","1985","Brandenburg","","","",""
"Full-time","1985","Mecklenburg-Western Pomerania","","","",""
"Full-time","1985","Saxony","","","",""
"Full-time","1985","Saxony-Anhalt","","","",""
"Full-time","1985","Thuringia","","","",""
"Part-time","1985","Schleswig-Holstein","30","0.0774826502609944","0.0496319598991516","0.105333340622837"
"Part-time","1985","Hamburg","22","","",""
"Part-time","1985","Lower Saxony","83","0.0742223667179445","0.0587876397265389","0.08965709370935"
"Part-time","1985","Bremen","6","","",""
"Part-time","1985","North Rhine-Westphalia","185","0.0601192430211024","0.0515760397511075","0.0686624462910973"
"Part-time","1985","Hesse","70","0.0677069091623203","0.0531161141473034","0.0822977041773373"
"Part-time","1985","Rhineland-Palatinate,Saarland","38","0.0498679341163983","0.0345429541334852","0.0651929140993114"
"Part-time","1985","Baden-Württemberg","142","0.0752921262276147","0.0638894182083079","0.0866948342469216"
"Part-time","1985","Bavaria","148","0.0756637872053774","0.0638191238088703","0.0875084506018845"
"Part-time","1985","Berlin","31","0.0792838153531464","0.0516793499365718","0.106888280769721"
"Part-time","1985","Brandenburg","","","",""
"Part-time","1985","Mecklenburg-Western Pomerania","","","",""
"Part-time","1985","Saxony","","","",""
"Part-time","1985","Saxony-Anhalt","","","",""
"Part-time","1985","Thuringia","","","",""
"Non-working","1985","Schleswig-Holstein","149","0.466823368811514","0.414852699816895","0.518794037806134"
"Non-working","1985","Hamburg","114","0.476064527666215","0.417670726894857","0.534458328437573"
"Non-working","1985","Lower Saxony","523","0.512452183267673","0.48302060900264","0.541883757532706"
"Non-working","1985","Bremen","74","0.705774378729247","0.622848079418511","0.788700678039984"
"Non-working","1985","North Rhine-Westphalia","1283","0.480744932022935","0.462788281175151","0.498701582870718"
"Non-working","1985","Hesse","463","0.470536643910323","0.441549801573026","0.499523486247621"
"Non-working","1985","Rhineland-Palatinate,Saarland","355","0.501873196459167","0.466671451157618","0.537074941760716"
"Non-working","1985","Baden-Württemberg","732","0.415414795342946","0.394118903372024","0.436710687313868"
"Non-working","1985","Bavaria","725","0.439948145895352","0.417716144172703","0.462180147618"
"Non-working","1985","Berlin","140","0.437937167629496","0.387247141150523","0.488627194108469"
"Non-working","1985","Brandenburg","","","",""
"Non-working","1985","Mecklenburg-Western Pomerania","","","",""
"Non-working","1985","Saxony","","","",""
"Non-working","1985","Saxony-Anhalt","","","",""
"Non-working","1985","Thuringia","","","",""
"Other","1985","Schleswig-Holstein","15","","",""
"Other","1985","Hamburg","16","","",""
"Other","1985","Lower Saxony","51","0.043853469091565","0.0317963815285112","0.0559105566546188"
"Other","1985","Bremen","5","","",""
"Other","1985","North Rhine-Westphalia","140","0.0460882806325024","0.0385525224385349","0.05362403882647"
"Other","1985","Hesse","52","0.0466964362024155","0.0344434003050593","0.0589494720997717"
"Other","1985","Rhineland-Palatinate,Saarland","35","0.0426756149481374","0.028445228490983","0.0569060014052919"
"Other","1985","Baden-Württemberg","97","0.0490341577992527","0.0397024149154934","0.0583659006830119"
"Other","1985","Bavaria","91","0.0490223276067335","0.0393518967060793","0.0586927585073876"
"Other","1985","Berlin","16","","",""
"Other","1985","Brandenburg","","","",""
"Other","1985","Mecklenburg-Western Pomerania","","","",""
"Other","1985","Saxony","","","",""
"Other","1985","Saxony-Anhalt","","","",""
"Other","1985","Thuringia","","","",""
"Full-time","1986","Schleswig-Holstein","151","0.453389982483391","0.399183610711998","0.507596354254784"
"Full-time","1986","Hamburg","117","0.416751549442335","0.356357588077701","0.47714551080697"
"Full-time","1986","Lower Saxony","463","0.375885212192009","0.347404495209237","0.404365929174782"
"Full-time","1986","Bremen","32","0.214392769118654","0.13734809102124","0.291437447216068"
"Full-time","1986","North Rhine-Westphalia","1293","0.400899879678409","0.382970105943389","0.418829653413429"
"Full-time","1986","Hesse","499","0.406562479857725","0.376894699549824","0.436230260165627"
"Full-time","1986","Rhineland-Palatinate,Saarland","357","0.414625686391373","0.379873320717036","0.44937805206571"
"Full-time","1986","Baden-Württemberg","1061","0.46239222204478","0.44057937085675","0.48420507323281"
"Full-time","1986","Bavaria","872","0.431829574397975","0.408857359680828","0.454801789115123"
"Full-time","1986","Berlin","185","0.482869181266659","0.430887673946823","0.534850688586495"
"Full-time","1986","Brandenburg","","","",""
"Full-time","1986","Mecklenburg-Western Pomerania","","","",""
"Full-time","1986","Saxony","","","",""
"Full-time","1986","Saxony-Anhalt","","","",""
"Full-time","1986","Thuringia","","","",""
"Part-time","1986","Schleswig-Holstein","27","","",""
"Part-time","1986","Hamburg","17","","",""
"Part-time","1986","Lower Saxony","75","0.063286620145817","0.0489696745493663","0.0776035657422676"
"Part-time","1986","Bremen","5","","",""
"Part-time","1986","North Rhine-Westphalia","149","0.0510957568525504","0.0430399182757784","0.0591515954293224"
"Part-time","1986","Hesse","61","0.065755249809463","0.0507849859711053","0.0807255136478208"
"Part-time","1986","Rhineland-Palatinate,Saarland","33","0.0451296756550682","0.0304862480245239","0.0597731032856124"
"Part-time","1986","Baden-Württemberg","126","0.0688276693655621","0.0577519748693535","0.0799033638617707"
"Part-time","1986","Bavaria","119","0.0639329062753347","0.0525874209993956","0.0752783915512737"
"Part-time","1986","Berlin","30","0.0675508648122357","0.0414435656088405","0.0936581640156309"
"Part-time","1986","Brandenburg","","","",""
"Part-time","1986","Mecklenburg-Western Pomerania","","","",""
"Part-time","1986","Saxony","","","",""
"Part-time","1986","Saxony-Anhalt","","","",""
"Part-time","1986","Thuringia","","","",""
"Non-working","1986","Schleswig-Holstein","128","0.420892261768084","0.367134554186606","0.474649969349562"
"Non-working","1986","Hamburg","113","0.498076171566958","0.436827750430118","0.559324592703797"
"Non-working","1986","Lower Saxony","498","0.496356122702315","0.466955973623124","0.525756271781506"
"Non-working","1986","Bremen","60","0.644335758145793","0.55446651984087","0.734204996450715"
"Non-working","1986","North Rhine-Westphalia","1264","0.49133418511726","0.473044260760447","0.509624109474074"
"Non-working","1986","Hesse","419","0.461382365243059","0.431272786100462","0.491491944385655"
"Non-working","1986","Rhineland-Palatinate,Saarland","347","0.500093936449119","0.464823613397271","0.535364259500967"
"Non-working","1986","Baden-Württemberg","700","0.412119576768664","0.390585288301836","0.433653865235492"
"Non-working","1986","Bavaria","681","0.444331590465766","0.421287009632312","0.46737617129922"
"Non-working","1986","Berlin","128","0.420469418786316","0.369119554414394","0.471819283158238"
"Non-working","1986","Brandenburg","","","",""
"Non-working","1986","Mecklenburg-Western Pomerania","","","",""
"Non-working","1986","Saxony","","","",""
"Non-working","1986","Saxony-Anhalt","","","",""
"Non-working","1986","Thuringia","","","",""
"Other","1986","Schleswig-Holstein","18","","",""
"Other","1986","Hamburg","9","","",""
"Other","1986","Lower Saxony","75","0.0644720449598583","0.0500307822334201","0.0789133076862965"
"Other","1986","Bremen","12","","",""
"Other","1986","North Rhine-Westphalia","164","0.0566701783517801","0.0482112330940887","0.0651291236094714"
"Other","1986","Hesse","74","0.066299905089753","0.0512721516752418","0.0813276585042642"
"Other","1986","Rhineland-Palatinate,Saarland","35","0.0401507015044399","0.0263026861771784","0.0539987168317013"
"Other","1986","Baden-Württemberg","120","0.0566605318209934","0.0465459313985945","0.0667751322433924"
"Other","1986","Bavaria","114","0.0599059288609241","0.0488999690193207","0.0709118887025274"
"Other","1986","Berlin","12","","",""
"Other","1986","Brandenburg","","","",""
"Other","1986","Mecklenburg-Western Pomerania","","","",""
"Other","1986","Saxony","","","",""
"Other","1986","Saxony-Anhalt","","","",""
"Other","1986","Thuringia","","","",""
"Full-time","1987","Schleswig-Holstein","144","0.416031872557005","0.362444275333316","0.469619469780693"
"Full-time","1987","Hamburg","101","0.410111006261764","0.34598565894545","0.474236353578078"
"Full-time","1987","Lower Saxony","460","0.37493613636929","0.346431266890809","0.403441005847772"
"Full-time","1987","Bremen","32","0.229047501674607","0.14709466441052","0.311000338938693"
"Full-time","1987","North Rhine-Westphalia","1280","0.414113605638319","0.395994704687929","0.432232506588709"
"Full-time","1987","Hesse","513","0.407399778646359","0.377848441843552","0.436951115449165"
"Full-time","1987","Rhineland-Palatinate,Saarland","335","0.390117442635436","0.355664722280489","0.424570162990384"
"Full-time","1987","Baden-Württemberg","1031","0.463624363812086","0.441653717112472","0.485595010511699"
"Full-time","1987","Bavaria","873","0.45492311818381","0.431491826169096","0.478354410198524"
"Full-time","1987","Berlin","188","0.481770458358551","0.430509959902401","0.533030956814701"
"Full-time","1987","Brandenburg","","","",""
"Full-time","1987","Mecklenburg-Western Pomerania","","","",""
"Full-time","1987","Saxony","","","",""
"Full-time","1987","Saxony-Anhalt","","","",""
"Full-time","1987","Thuringia","","","",""
"Part-time","1987","Schleswig-Holstein","28","","",""
"Part-time","1987","Hamburg","14","","",""
"Part-time","1987","Lower Saxony","89","0.0793363049209539","0.0634228417118335","0.0952497681300743"
"Part-time","1987","Bremen","5","","",""
"Part-time","1987","North Rhine-Westphalia","160","0.0576459918347372","0.0490725147036393","0.0662194689658351"
"Part-time","1987","Hesse","70","0.0691413934771277","0.0538834235024907","0.0843993634517648"
"Part-time","1987","Rhineland-Palatinate,Saarland","34","0.0490056727976945","0.0337576030589906","0.0642537425363983"
"Part-time","1987","Baden-Württemberg","137","0.0754736416052045","0.0638355305985933","0.0871117526118157"
"Part-time","1987","Bavaria","130","0.0713420846597135","0.0592305512475425","0.0834536180718846"
"Part-time","1987","Berlin","22","","",""
"Part-time","1987","Brandenburg","","","",""
"Part-time","1987","Mecklenburg-Western Pomerania","","","",""
"Part-time","1987","Saxony","","","",""
"Part-time","1987","Saxony-Anhalt","","","",""
"Part-time","1987","Thuringia","","","",""
"Non-working","1987","Schleswig-Holstein","132","0.441407139662507","0.387422056154123","0.49539222317089"
"Non-working","1987","Hamburg","96","0.475128865414408","0.410022129320087","0.540235601508728"
"Non-working","1987","Lower Saxony","479","0.480900021029978","0.451480803703967","0.510319238355989"
"Non-working","1987","Bremen","60","0.685909241674723","0.595388456912231","0.776430026437215"
"Non-working","1987","North Rhine-Westphalia","1238","0.477647898800886","0.459274013389598","0.496021784212174"
"Non-working","1987","Hesse","411","0.462418169072356","0.432431683545704","0.492404654599007"
"Non-working","1987","Rhineland-Palatinate,Saarland","354","0.507124417260891","0.471811902959984","0.542436931561799"
"Non-working","1987","Baden-Württemberg","692","0.403588064279852","0.381972453384079","0.425203675175625"
"Non-working","1987","Bavaria","616","0.418118324005806","0.39490885030764","0.441327797703972"
"Non-working","1987","Berlin","135","0.416435936272924","0.365862783512405","0.467009089033444"
"Non-working","1987","Brandenburg","","","",""
"Non-working","1987","Mecklenburg-Western Pomerania","","","",""
"Non-working","1987","Saxony","","","",""
"Non-working","1987","Saxony-Anhalt","","","",""
"Non-working","1987","Thuringia","","","",""
"Other","1987","Schleswig-Holstein","21","","",""
"Other","1987","Hamburg","15","","",""
"Other","1987","Lower Saxony","80","0.0648275376797778","0.050329680108497","0.0793253952510586"
"Other","1987","Bremen","4","","",""
"Other","1987","North Rhine-Westphalia","161","0.0505925037260577","0.042530651947328","0.0586543555047873"
"Other","1987","Hesse","68","0.0610406588041579","0.0466421063721733","0.0754392112361425"
"Other","1987","Rhineland-Palatinate,Saarland","47","0.0537524673059778","0.0378228878556206","0.0696820467563349"
"Other","1987","Baden-Württemberg","119","0.0573139303028578","0.0470730135870846","0.067554847018631"
"Other","1987","Bavaria","116","0.0556164731506705","0.0448326122951934","0.0664003340061475"
"Other","1987","Berlin","20","","",""
"Other","1987","Brandenburg","","","",""
"Other","1987","Mecklenburg-Western Pomerania","","","",""
"Other","1987","Saxony","","","",""
"Other","1987","Saxony-Anhalt","","","",""
"Other","1987","Thuringia","","","",""
"Full-time","1988","Schleswig-Holstein","143","0.40525266992083","0.35171295889631","0.458792380945349"
"Full-time","1988","Hamburg","91","0.438199854423609","0.369946011251827","0.506453697595391"
"Full-time","1988","Lower Saxony","451","0.393399201372766","0.363865698597049","0.422932704148483"
"Full-time","1988","Bremen","34","0.286460512646096","0.197849136873435","0.375071888418757"
"Full-time","1988","North Rhine-Westphalia","1194","0.408288239375183","0.389765594850156","0.42681088390021"
"Full-time","1988","Hesse","468","0.402924061056739","0.372599714829004","0.433248407284474"
"Full-time","1988","Rhineland-Palatinate,Saarland","316","0.387568208986697","0.352465941810843","0.422670476162551"
"Full-time","1988","Baden-Württemberg","967","0.450963637812658","0.428595576250749","0.473331699374566"
"Full-time","1988","Bavaria","824","0.452582495307054","0.428616522984138","0.47654846762997"
"Full-time","1988","Berlin","181","0.514775643463693","0.461256891295554","0.568294395631832"
"Full-time","1988","Brandenburg","","","",""
"Full-time","1988","Mecklenburg-Western Pomerania","","","",""
"Full-time","1988","Saxony","","","",""
"Full-time","1988","Saxony-Anhalt","","","",""
"Full-time","1988","Thuringia","","","",""
"Part-time","1988","Schleswig-Holstein","26","","",""
"Part-time","1988","Hamburg","15","","",""
"Part-time","1988","Lower Saxony","77","0.0720057623482475","0.05637777686522","0.0876337478312751"
"Part-time","1988","Bremen","6","","",""
"Part-time","1988","North Rhine-Westphalia","169","0.0607564429270723","0.0517542205189087","0.0697586653352359"
"Part-time","1988","Hesse","70","0.0698837181679652","0.054121342085074","0.0856460942508563"
"Part-time","1988","Rhineland-Palatinate,Saarland","35","0.0541310026083589","0.0378278812211741","0.0704341239955437"
"Part-time","1988","Baden-Württemberg","141","0.0810430089253514","0.0687753299109964","0.0933106879397064"
"Part-time","1988","Bavaria","118","0.0693161415871053","0.0570867425006588","0.0815455406735518"
"Part-time","1988","Berlin","23","","",""
"Part-time","1988","Brandenburg","","","",""
"Part-time","1988","Mecklenburg-Western Pomerania","","","",""
"Part-time","1988","Saxony","","","",""
"Part-time","1988","Saxony-Anhalt","","","",""
"Part-time","1988","Thuringia","","","",""
"Non-working","1988","Schleswig-Holstein","136","0.47118228090853","0.416745265760287","0.525619296056774"
"Non-working","1988","Hamburg","84","0.45175356918721","0.383293272829858","0.520213865544563"
"Non-working","1988","Lower Saxony","450","0.47673890477081","0.446543124727145","0.506934684814475"
"Non-working","1988","Bremen","53","0.610267324717936","0.514681925351411","0.705852724084461"
"Non-working","1988","North Rhine-Westphalia","1176","0.475821447597971","0.457001167319103","0.49464172787684"
"Non-working","1988","Hesse","407","0.484612778931017","0.453714853963478","0.515510703898557"
"Non-working","1988","Rhineland-Palatinate,Saarland","350","0.509520273281678","0.473501949637231","0.545538596926125"
"Non-working","1988","Baden-Württemberg","669","0.408627153558771","0.386529236786015","0.430725070331527"
"Non-working","1988","Bavaria","595","0.417369556851679","0.393626107727701","0.441113005975658"
"Non-working","1988","Berlin","113","0.390089551354353","0.337857042909967","0.442322059798738"
"Non-working","1988","Brandenburg","","","",""
"Non-working","1988","Mecklenburg-Western Pomerania","","","",""
"Non-working","1988","Saxony","","","",""
"Non-working","1988","Saxony-Anhalt","","","",""
"Non-working","1988","Thuringia","","","",""
"Other","1988","Schleswig-Holstein","18","","",""
"Other","1988","Hamburg","13","","",""
"Other","1988","Lower Saxony","73","0.0578561315081767","0.0437411588296068","0.0719711041867466"
"Other","1988","Bremen","7","","",""
"Other","1988","North Rhine-Westphalia","166","0.0551338700997734","0.0465326742575123","0.0637350659420346"
"Other","1988","Hesse","60","0.0425794418442792","0.0300965152537507","0.0550623684348077"
"Other","1988","Rhineland-Palatinate,Saarland","39","0.0487805151232662","0.0332603695254108","0.0643006607211216"
"Other","1988","Baden-Württemberg","124","0.0593661997032203","0.0487434500358895","0.0699889493705512"
"Other","1988","Bavaria","120","0.0607318062541613","0.049232020645967","0.0722315918623556"
"Other","1988","Berlin","18","","",""
"Other","1988","Brandenburg","","","",""
"Other","1988","Mecklenburg-Western Pomerania","","","",""
"Other","1988","Saxony","","","",""
"Other","1988","Saxony-Anhalt","","","",""
"Other","1988","Thuringia","","","",""
"Full-time","1989","Schleswig-Holstein","136","0.419326542344811","0.363857142978861","0.474795941710761"
"Full-time","1989","Hamburg","93","0.478213806571965","0.408459291335727","0.547968321808203"
"Full-time","1989","Lower Saxony","443","0.405818866908687","0.37541423317934","0.436223500638034"
"Full-time","1989","Bremen","38","0.303406906868134","0.216703028027254","0.390110785709014"
"Full-time","1989","North Rhine-Westphalia","1198","0.422930309162922","0.404045989851968","0.441814628473877"
"Full-time","1989","Hesse","470","0.401613001556902","0.371198704967228","0.432027298146575"
"Full-time","1989","Rhineland-Palatinate,Saarland","313","0.407992004209022","0.371480217696512","0.444503790721532"
"Full-time","1989","Baden-Württemberg","950","0.451678866126748","0.428834077999973","0.474523654253523"
"Full-time","1989","Bavaria","814","0.450372476306572","0.42614485699956","0.474600095613585"
"Full-time","1989","Berlin","177","0.49681105320196","0.443028648010575","0.550593458393346"
"Full-time","1989","Brandenburg","","","",""
"Full-time","1989","Mecklenburg-Western Pomerania","","","",""
"Full-time","1989","Saxony","","","",""
"Full-time","1989","Saxony-Anhalt","","","",""
"Full-time","1989","Thuringia","","","",""
"Part-time","1989","Schleswig-Holstein","23","","",""
"Part-time","1989","Hamburg","16","","",""
"Part-time","1989","Lower Saxony","67","0.065616825068054","0.0502853358651413","0.0809483142709667"
"Part-time","1989","Bremen","3","","",""
"Part-time","1989","North Rhine-Westphalia","154","0.0556681203594344","0.0469037968001372","0.0644324439187315"
"Part-time","1989","Hesse","74","0.0763883682708893","0.059908978196544","0.0928677583452345"
"Part-time","1989","Rhineland-Palatinate,Saarland","42","0.0673347005968141","0.0487170083408831","0.0859523928527451"
"Part-time","1989","Baden-Württemberg","138","0.0814063985697384","0.0688534504006256","0.0939593467388512"
"Part-time","1989","Bavaria","129","0.08104775579079","0.0677582891299918","0.0943372224515882"
"Part-time","1989","Berlin","28","","",""
"Part-time","1989","Brandenburg","","","",""
"Part-time","1989","Mecklenburg-Western Pomerania","","","",""
"Part-time","1989","Saxony","","","",""
"Part-time","1989","Saxony-Anhalt","","","",""
"Part-time","1989","Thuringia","","","",""
"Non-working","1989","Schleswig-Holstein","129","0.463726333929509","0.407668615938204","0.519784051920814"
"Non-working","1989","Hamburg","78","0.423092450847344","0.35410251722222","0.492082384472468"
"Non-working","1989","Lower Saxony","434","0.482594272060478","0.451654227997889","0.513534316123067"
"Non-working","1989","Bremen","60","0.635841928645384","0.545090020598295","0.726593836692472"
"Non-working","1989","North Rhine-Westphalia","1128","0.46720122903244","0.448129661353466","0.486272796711414"
"Non-working","1989","Hesse","394","0.472320031648037","0.441346815250103","0.503293248045971"
"Non-working","1989","Rhineland-Palatinate,Saarland","300","0.463747547946446","0.426699192908703","0.500795902984188"
"Non-working","1989","Baden-Württemberg","620","0.406836468635042","0.384286189831839","0.429386747438245"
"Non-working","1989","Bavaria","575","0.417763383766338","0.393747115451067","0.441779652081608"
"Non-working","1989","Berlin","111","0.388998471512607","0.336557087495449","0.441439855529766"
"Non-working","1989","Brandenburg","","","",""
"Non-working","1989","Mecklenburg-Western Pomerania","","","",""
"Non-working","1989","Saxony","","","",""
"Non-working","1989","Saxony-Anhalt","","","",""
"Non-working","1989","Thuringia","","","",""
"Other","1989","Schleswig-Holstein","16","","",""
"Other","1989","Hamburg","10","","",""
"Other","1989","Lower Saxony","58","0.0459700359627803","0.0330032405232018","0.0589368314023589"
"Other","1989","Bremen","7","","",""
"Other","1989","North Rhine-Westphalia","149","0.0542003414452038","0.0455456141987215","0.0628550686916862"
"Other","1989","Hesse","60","0.049678598524172","0.0361981996431456","0.0631589974051984"
"Other","1989","Rhineland-Palatinate,Saarland","41","0.0609257472477184","0.0431554836457224","0.0786960108497144"
"Other","1989","Baden-Württemberg","115","0.0600782666684721","0.0491699107506338","0.0709866225863105"
"Other","1989","Bavaria","102","0.0508163841363","0.040121709415747","0.0615110588568531"
"Other","1989","Berlin","16","","",""
"Other","1989","Brandenburg","","","",""
"Other","1989","Mecklenburg-Western Pomerania","","","",""
"Other","1989","Saxony","","","",""
"Other","1989","Saxony-Anhalt","","","",""
"Other","1989","Thuringia","","","",""
"Full-time","1990","Schleswig-Holstein","123","0.404490292995785","0.347409842055466","0.461570743936105"
"Full-time","1990","Hamburg","80","0.488107774504063","0.412745869496547","0.563469679511578"
"Full-time","1990","Lower Saxony","438","0.410743820177683","0.379973647101913","0.441513993253452"
"Full-time","1990","Bremen","35","0.298681019776266","0.210293471448361","0.38706856810417"
"Full-time","1990","North Rhine-Westphalia","1181","0.437249686743522","0.418090278094302","0.456409095392742"
"Full-time","1990","Hesse","469","0.404427624776553","0.373825097209146","0.435030152343959"
"Full-time","1990","Rhineland-Palatinate,Saarland","289","0.385765955614061","0.348989535679605","0.422542375548516"
"Full-time","1990","Baden-Württemberg","941","0.47039565964182","0.447363363008996","0.493427956274644"
"Full-time","1990","Bavaria","810","0.450108438453284","0.42579187635564","0.474425000550929"
"Full-time","1990","Berlin","359","0.522867491205876","0.483802872167763","0.561932110243988"
"Full-time","1990","Brandenburg","498","0.634136805451272","0.599314681043447","0.668958929859097"
"Full-time","1990","Mecklenburg-Western Pomerania","332","0.625034105922757","0.582894365804276","0.667173846041237"
"Full-time","1990","Saxony","858","0.585336257648045","0.559036370215293","0.611636145080798"
"Full-time","1990","Saxony-Anhalt","525","0.582141087331361","0.548404164034696","0.615878010628025"
"Full-time","1990","Thuringia","471","0.584802407034757","0.549395041660887","0.620209772408626"
"Part-time","1990","Schleswig-Holstein","30","0.113519829672033","0.076625527613831","0.150414131730234"
"Part-time","1990","Hamburg","10","","",""
"Part-time","1990","Lower Saxony","72","0.0753926323978886","0.0588792713785713","0.0919059934172059"
"Part-time","1990","Bremen","2","","",""
"Part-time","1990","North Rhine-Westphalia","169","0.0674299568430189","0.0577443542546422","0.0771155594313956"
"Part-time","1990","Hesse","78","0.073847310788509","0.0575401536128355","0.0901544679641825"
"Part-time","1990","Rhineland-Palatinate,Saarland","41","0.0713542089135512","0.0519061883939816","0.0908022294331209"
"Part-time","1990","Baden-Württemberg","151","0.0915615001637525","0.0782528490569536","0.104870151270551"
"Part-time","1990","Bavaria","139","0.0832485537186405","0.069745897227148","0.0967512102101331"
"Part-time","1990","Berlin","53","0.0868540647882936","0.064828176185048","0.108879953391539"
"Part-time","1990","Brandenburg","49","0.0629286809727256","0.0453731059679041","0.0804842559775471"
"Part-time","1990","Mecklenburg-Western Pomerania","45","0.0777926134478464","0.0544780337568374","0.101107193138855"
"Part-time","1990","Saxony","143","0.0956437579810237","0.0799437009106723","0.111343815051375"
"Part-time","1990","Saxony-Anhalt","74","0.0788492275748759","0.0604143357136389","0.0972841194361129"
"Part-time","1990","Thuringia","75","0.0892001588302938","0.068718934698998","0.10968138296159"
"Non-working","1990","Schleswig-Holstein","116","0.433984077421816","0.376341931148265","0.491626223695368"
