"erwst","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Other","1996","16-34 y.","535","0.108559685480127","0.0997417048044655","0.117377666155788"
"Other","1996","35-65 y.","161","0.0267535841894952","0.0229084049973645","0.030598763381626"
"Other","1996","66 and older","","","",""
"Part-time","1996","16-34 y.","299","0.0693227672756202","0.0621228715030448","0.0765226630481956"
"Part-time","1996","35-65 y.","745","0.113459180045776","0.105901589145732","0.12101677094582"
"Part-time","1996","66 and older","","","",""
"Full-time","1997","16-34 y.","2219","0.482863101197509","0.468478721103134","0.497247481291884"
"Full-time","1997","35-65 y.","3512","0.503251401133945","0.491248775566271","0.51525402670162"
"Full-time","1997","66 and older","","","",""
"Non-working","1997","16-34 y.","1609","0.337736274594334","0.324122432292779","0.351350116895888"
"Non-working","1997","35-65 y.","2300","0.36529317228931","0.353734104814866","0.376852239763754"
"Non-working","1997","66 and older","1576","0.978536829964003","0.971464436265874","0.985609223662132"
"Other","1997","16-34 y.","531","0.107986269489916","0.0990522598614812","0.116920279118351"
"Other","1997","35-65 y.","147","0.0219919829045796","0.0184713654449894","0.0255126003641697"
"Other","1997","66 and older","","","",""
"Part-time","1997","16-34 y.","277","0.0714143547182409","0.0640015916617474","0.0788271177747344"
"Part-time","1997","35-65 y.","707","0.109463443672165","0.101968370697396","0.116958516646934"
"Part-time","1997","66 and older","","","",""
"Full-time","1998","16-34 y.","2303","0.467069512246602","0.453078734747396","0.481060289745807"
"Full-time","1998","35-65 y.","3929","0.504753979757637","0.493476910985557","0.516031048529717"
"Full-time","1998","66 and older","","","",""
"Non-working","1998","16-34 y.","1728","0.353967658906641","0.34055778393624","0.367377533877043"
"Non-working","1998","35-65 y.","2591","0.355028562260306","0.344235423910755","0.365821700609857"
"Non-working","1998","66 and older","1850","0.98107862593013","0.974937746514608","0.987219505345653"
"Other","1998","16-34 y.","589","0.113708567537239","0.10480629928422","0.122610835790259"
"Other","1998","35-65 y.","196","0.0247204170865897","0.0212182382512946","0.0282225959218848"
"Other","1998","66 and older","","","",""
"Part-time","1998","16-34 y.","265","0.0652542613095181","0.0583285084046561","0.0721800142143801"
"Part-time","1998","35-65 y.","835","0.115497040895467","0.10828794288911","0.122706138901825"
"Part-time","1998","66 and older","","","",""
"Full-time","1999","16-34 y.","2185","0.467746402899623","0.453354020665905","0.482138785133342"
"Full-time","1999","35-65 y.","3861","0.519452541152947","0.508003942713621","0.530901139592274"
"Full-time","1999","66 and older","","","",""
"Non-working","1999","16-34 y.","1502","0.323206836185307","0.309716076554076","0.336697595816538"
"Non-working","1999","35-65 y.","2387","0.333176538075761","0.322375788811172","0.34397728734035"
"Non-working","1999","66 and older","1790","0.973698570268473","0.966376531880777","0.98102060865617"
"Other","1999","16-34 y.","639","0.140379861385715","0.13035972001193","0.1504000027595"
"Other","1999","35-65 y.","250","0.0379758019687839","0.0335959672926783","0.0423556366448895"
"Other","1999","66 and older","","","",""
"Part-time","1999","16-34 y.","291","0.0686668995293549","0.0613724186170362","0.0759613804416735"
"Part-time","1999","35-65 y.","818","0.109395118802508","0.102242703061853","0.116547534543162"
"Part-time","1999","66 and older","","","",""
"Full-time","2000","16-34 y.","3161","0.464349600539948","0.452785543393829","0.475913657686067"
"Full-time","2000","35-65 y.","6891","0.515104952777733","0.506667895619752","0.523542009935713"
"Full-time","2000","66 and older","33","0.0102115597402127","0.00694557140637463","0.0134775480740507"
"Non-working","2000","16-34 y.","2445","0.322567287240263","0.311728262247739","0.333406312232787"
"Non-working","2000","35-65 y.","4428","0.321284903968072","0.31340160188333","0.329168206052815"
"Non-working","2000","66 and older","3548","0.969947957681941","0.964401590575863","0.97549432478802"
"Other","2000","16-34 y.","1015","0.138701677054532","0.130687394844393","0.146715959264671"
"Other","2000","35-65 y.","471","0.036929625658231","0.0337458994041866","0.0401133519122754"
"Other","2000","66 and older","32","0.0113064194209143","0.00787170366475752","0.014741135177071"
"Part-time","2000","16-34 y.","524","0.0743814351652572","0.0682973500719126","0.0804655202586018"
"Part-time","2000","35-65 y.","1689","0.126680517595964","0.121065375598698","0.132295659593229"
"Part-time","2000","66 and older","","","",""
"Full-time","2001","16-34 y.","2691","0.447757981783901","0.435478947604389","0.460037015963413"
"Full-time","2001","35-65 y.","6362","0.518309002612955","0.509485182778293","0.527132822447617"
"Full-time","2001","66 and older","","","",""
"Non-working","2001","16-34 y.","2162","0.319758369676206","0.308241873168327","0.331274866184085"
"Non-working","2001","35-65 y.","3915","0.316253827400622","0.308041933295329","0.324465721505915"
"Non-working","2001","66 and older","3354","0.971385953082263","0.965818724798942","0.976953181365585"
"Other","2001","16-34 y.","991","0.155969148671011","0.147009802280416","0.164928495061605"
"Other","2001","35-65 y.","450","0.0368538083760186","0.0335267127474651","0.0401809040045722"
"Other","2001","66 and older","42","0.014441663958709","0.0104578113412556","0.0184255165761624"
"Part-time","2001","16-34 y.","456","0.0765144998688822","0.0699505579632901","0.0830784417744743"
"Part-time","2001","35-65 y.","1591","0.128583361610404","0.12267205749465","0.134494665726158"
"Part-time","2001","66 and older","","","",""
"Full-time","2002","16-34 y.","2520","0.432098525471872","0.419754095978924","0.44444295496482"
"Full-time","2002","35-65 y.","7013","0.504728428852966","0.496240854343325","0.513216003362606"
"Full-time","2002","66 and older","38","0.00688875197327631","0.00420212744061641","0.00957537650593622"
"Non-working","2002","16-34 y.","2239","0.339281528253733","0.327482901425169","0.351080155082297"
"Non-working","2002","35-65 y.","3976","0.321679149820747","0.313749353075075","0.329608946566419"
"Non-working","2002","66 and older","3522","0.973100273248272","0.967845058314108","0.978355488182436"
"Other","2002","16-34 y.","999","0.158532936627271","0.149431259062066","0.167634614192475"
"Other","2002","35-65 y.","513","0.0426033484490338","0.0391748746447151","0.0460318222533525"
"Other","2002","66 and older","43","0.0110816902704036","0.00768136107534802","0.0144820194654591"
"Part-time","2002","16-34 y.","428","0.0700870096471245","0.0637251650564212","0.0764488542378278"
"Part-time","2002","35-65 y.","1828","0.130989072877253","0.125261598313207","0.1367165474413"
"Part-time","2002","66 and older","38","0.00892928450804815","0.00587367112292147","0.0119848978931748"
"Full-time","2003","16-34 y.","2294","0.416751553222953","0.404156402436356","0.429346704009549"
"Full-time","2003","35-65 y.","6537","0.497527072808335","0.488833640664873","0.506220504951796"
"Full-time","2003","66 and older","40","0.00865907552474143","0.00567534303492206","0.0116428080145608"
"Non-working","2003","16-34 y.","2214","0.355147964443348","0.342922294566569","0.367373634320127"
"Non-working","2003","35-65 y.","3848","0.326318347903587","0.318166150592707","0.334470545214468"
"Non-working","2003","66 and older","3574","0.967931209961359","0.962257382357462","0.973605037565255"
"Other","2003","16-34 y.","942","0.150921188887122","0.14177611807697","0.160066259697273"
"Other","2003","35-65 y.","512","0.0440157186592237","0.0404491067911956","0.0475823305272519"
"Other","2003","66 and older","54","0.0159993977912959","0.0119586466682977","0.0200401489142942"
"Part-time","2003","16-34 y.","436","0.0771792934465779","0.0703614499663519","0.0839971369268039"
"Part-time","2003","35-65 y.","1810","0.132138860628854","0.126250871817781","0.138026849439927"
"Part-time","2003","66 and older","36","0.00741031672260375","0.00464836638238208","0.0101722670628254"
"Full-time","2004","16-34 y.","2148","0.405718952278913","0.392910807090559","0.418527097467267"
"Full-time","2004","35-65 y.","6344","0.499477520800983","0.490630529975865","0.508324511626101"
"Full-time","2004","66 and older","43","0.00843869982364291","0.00553678564443617","0.0113406140028496"
"Non-working","2004","16-34 y.","2194","0.364954064418805","0.352396676028679","0.37751145280893"
"Non-working","2004","35-65 y.","3607","0.320050926755503","0.311796754131058","0.328305099379947"
"Non-working","2004","66 and older","3665","0.965344101257784","0.959541580969277","0.971146621546291"
"Other","2004","16-34 y.","917","0.159864872052606","0.150305513569358","0.169424230535853"
"Other","2004","35-65 y.","555","0.0473588762678775","0.043600578667107","0.051117173868648"
"Other","2004","66 and older","69","0.0175290090029788","0.0133658254315365","0.0216921925744212"
"Part-time","2004","16-34 y.","387","0.0694621112496766","0.0628305058844043","0.0760937166149489"
"Part-time","2004","35-65 y.","1764","0.133112676175637","0.127102089790167","0.139123262561107"
"Part-time","2004","66 and older","40","0.00868818991559435","0.00574406112693284","0.0116323187042559"
"Full-time","2005","16-34 y.","1979","0.391561212714964","0.378474723705701","0.404647701724226"
"Full-time","2005","35-65 y.","5990","0.503405724571575","0.494326187676174","0.512485261466976"
"Full-time","2005","66 and older","32","0.00794967249552726","0.00513314021627647","0.010766204774778"
"Non-working","2005","16-34 y.","2145","0.378929415343434","0.365922793716738","0.39193603697013"
"Non-working","2005","35-65 y.","3381","0.305909412715675","0.29754167101052","0.31427715442083"
"Non-working","2005","66 and older","3681","0.966514948922238","0.960809326443756","0.97222057140072"
"Other","2005","16-34 y.","868","0.159796188388774","0.149972142149105","0.169620234628442"
"Other","2005","35-65 y.","581","0.0535945226821446","0.0495047177471089","0.0576843276171803"
"Other","2005","66 and older","59","0.0148493092987112","0.0110133170442391","0.0186853015531833"
"Part-time","2005","16-34 y.","352","0.0697131835528288","0.0628853840849699","0.0765409830206878"
"Part-time","2005","35-65 y.","1697","0.137090340030605","0.130844514327266","0.143336165733945"
"Part-time","2005","66 and older","47","0.0106860692835237","0.00742508041077248","0.013947058156275"
"Full-time","2006","16-34 y.","1946","0.381789251014755","0.368889842060447","0.394688659969064"
"Full-time","2006","35-65 y.","6329","0.506491655744203","0.497705705193346","0.51527760629506"
"Full-time","2006","66 and older","55","0.0118847286280324","0.00871569638618264","0.0150537608698821"
"Non-working","2006","16-34 y.","2166","0.375042190337728","0.362187692959779","0.387896687715678"
"Non-working","2006","35-65 y.","3567","0.300447906871589","0.292391340696041","0.308504473047137"
"Non-working","2006","66 and older","4304","0.961034785475873","0.955375829610754","0.966693741340993"
"Other","2006","16-34 y.","971","0.173498007525894","0.163443544408536","0.183552470643252"
"Other","2006","35-65 y.","649","0.0570583876079849","0.0529821686411242","0.0611346065748456"
"Other","2006","66 and older","81","0.0145741732035725","0.011069624089897","0.0180787223172479"
"Part-time","2006","16-34 y.","366","0.0696705511216218","0.0629107690605874","0.0764303331826562"
"Part-time","2006","35-65 y.","1894","0.136002049776223","0.12997805703106","0.142026042521386"
"Part-time","2006","66 and older","52","0.0125063126925219","0.00925648733710329","0.0157561380479405"
"Full-time","2007","16-34 y.","1848","0.394034378467302","0.380583979656801","0.407484777277804"
"Full-time","2007","35-65 y.","5986","0.515853560399286","0.506715404484566","0.524991716314007"
"Full-time","2007","66 and older","52","0.0098447525000555","0.00692914416891702","0.012760360831194"
"Non-working","2007","16-34 y.","1941","0.355921941058629","0.342742689599692","0.369101192517566"
"Non-working","2007","35-65 y.","3059","0.280202939792944","0.271990950880854","0.288414928705034"
"Non-working","2007","66 and older","4223","0.959758325990609","0.953954771076991","0.965561880904227"
"Other","2007","16-34 y.","886","0.172370041454131","0.161973399066911","0.182766683841351"
"Other","2007","35-65 y.","596","0.0553190778871742","0.0511389745821669","0.0594991811921816"
"Other","2007","66 and older","79","0.0180248185537436","0.014096010230308","0.0219536268771792"
"Part-time","2007","16-34 y.","395","0.0776736390199371","0.0703060863675112","0.085041191672363"
"Part-time","2007","35-65 y.","1848","0.148624421920595","0.142119940768174","0.155128903073016"
"Part-time","2007","66 and older","51","0.0123721029555915","0.00910777659813275","0.0156364293130503"
"Full-time","2008","16-34 y.","1776","0.408519074075109","0.394363080490803","0.422675067659416"
"Full-time","2008","35-65 y.","5700","0.533273862640016","0.523818368897631","0.5427293563824"
"Full-time","2008","66 and older","52","0.0102103273912547","0.0072263458014242","0.0131943089810852"
"Non-working","2008","16-34 y.","1672","0.338760447556037","0.325130644633772","0.352390250478303"
"Non-working","2008","35-65 y.","2671","0.255978403695816","0.247707129173421","0.264249678218211"
"Non-working","2008","66 and older","4161","0.955744098066106","0.949639441214916","0.961848754917297"
"Other","2008","16-34 y.","848","0.18033882306299","0.169266834873907","0.191410811252074"
"Other","2008","35-65 y.","580","0.0605590592740214","0.0560383945091275","0.0650797240389153"
"Other","2008","66 and older","95","0.023427974661829","0.0189382019201591","0.0279177474034989"
"Part-time","2008","16-34 y.","336","0.0723816553058632","0.0649195265999572","0.0798437840117693"
"Part-time","2008","35-65 y.","1743","0.150188674390147","0.143417595862694","0.156959752917601"
"Part-time","2008","66 and older","52","0.0106175998808101","0.00757531335319157","0.0136598864084286"
"Full-time","2009","16-34 y.","1597","0.403841651757719","0.389074378048829","0.418608925466608"
"Full-time","2009","35-65 y.","5331","0.539087348393775","0.529268796377959","0.548905900409591"
"Full-time","2009","66 and older","60","0.0111212551116935","0.0079568523779888","0.0142856578453982"
"Non-working","2009","16-34 y.","1539","0.333571114264267","0.319381026580344","0.34776120194819"
"Non-working","2009","35-65 y.","2419","0.254760855748592","0.246178179323805","0.26334353217338"
"Non-working","2009","66 and older","3990","0.947451167197557","0.940718249853467","0.954184084541646"
"Other","2009","16-34 y.","790","0.186390097425825","0.174669938915775","0.198110255935875"
"Other","2009","35-65 y.","532","0.0586298183828892","0.054002301050857","0.0632573357149213"
"Other","2009","66 and older","109","0.0278300562093822","0.0228667454808962","0.0327933669378681"
"Part-time","2009","16-34 y.","315","0.0761971365521895","0.0682121731057083","0.0841820999986708"
"Part-time","2009","35-65 y.","1619","0.147521977474744","0.140536782721696","0.154507172227791"
"Part-time","2009","66 and older","60","0.0135975214813678","0.0101028988705991","0.0170921440921365"
"Full-time","2010","16-34 y.","2244","0.394865335421962","0.383372228268068","0.406358442575857"
"Full-time","2010","35-65 y.","6722","0.538694559961386","0.530255768304338","0.547133351618435"
"Full-time","2010","66 and older","57","0.0117711794815791","0.00846009888764067","0.0150822600755176"
"Non-working","2010","16-34 y.","3043","0.346722625399333","0.335532709176623","0.357912541622044"
"Non-working","2010","35-65 y.","3365","0.239715303273006","0.232488425887626","0.246942180658386"
"Non-working","2010","66 and older","3865","0.952643817476523","0.946123261569479","0.959164373383567"
"Other","2010","16-34 y.","1093","0.187697438440581","0.178516754858462","0.196878122022699"
"Other","2010","35-65 y.","887","0.0644700876026364","0.0603126795677125","0.0686274956375603"
"Other","2010","66 and older","100","0.0232761799779515","0.0186473338276937","0.0279050261282093"
"Part-time","2010","16-34 y.","569","0.0707146007381234","0.0646873946876137","0.0767418067886331"
"Part-time","2010","35-65 y.","2431","0.157120049162971","0.150959586257888","0.163280512068054"
"Part-time","2010","66 and older","54","0.0123088230639465","0.00892389179391414","0.0156937543339789"
"Full-time","2011","16-34 y.","2405","0.417729556336068","0.406452310540373","0.429006802131763"
"Full-time","2011","35-65 y.","8367","0.552423094750042","0.54482516471705","0.560021024783033"
"Full-time","2011","66 and older","56","0.00947487612318538","0.00684481764116294","0.0121049346052078"
"Non-working","2011","16-34 y.","2996","0.337454318805542","0.32664225798288","0.348266379628204"
"Non-working","2011","35-65 y.","3950","0.233023106559191","0.226563349634229","0.239482863484152"
"Non-working","2011","66 and older","4987","0.957357818022915","0.951872488261111","0.962843147784719"
"Other","2011","16-34 y.","1199","0.169236942614393","0.16066302621602","0.177810859012766"
"Other","2011","35-65 y.","1011","0.0584883361608138","0.0549026437833712","0.0620740285382565"
"Other","2011","66 and older","100","0.0214337209793052","0.01750193565814","0.0253655063004704"
"Part-time","2011","16-34 y.","747","0.0755791822439972","0.0695351186674455","0.0816232458205488"
"Part-time","2011","35-65 y.","3125","0.156065462529954","0.150520056832194","0.161610868227714"
"Part-time","2011","66 and older","69","0.0117335848745948","0.00881011740656192","0.0146570523426277"
"Full-time","2012","16-34 y.","2242","0.418460804076514","0.406814386832657","0.430107221320371"
"Full-time","2012","35-65 y.","8202","0.549072485658142","0.541391440638777","0.556753530677507"
"Full-time","2012","66 and older","56","0.0105002563521596","0.00774615154560523","0.013254361158714"
"Non-working","2012","16-34 y.","2713","0.320993961169783","0.309971953571563","0.332015968768003"
"Non-working","2012","35-65 y.","3730","0.236243577647045","0.229686511797702","0.242800643496388"
"Non-working","2012","66 and older","4977","0.948355274557138","0.942375687576694","0.954334861537582"
"Other","2012","16-34 y.","1267","0.18154999639758","0.172449404145785","0.190650588649375"
"Other","2012","35-65 y.","988","0.0534082756929244","0.0499374106125613","0.0568791407732874"
"Other","2012","66 and older","147","0.028256446145895","0.0237792381274533","0.0327336541643366"
"Part-time","2012","16-34 y.","670","0.0789952383561232","0.0726271826869978","0.0853632940252487"
"Part-time","2012","35-65 y.","3201","0.161275661001889","0.155598304835849","0.166953017167929"
"Part-time","2012","66 and older","82","0.0128880229448076","0.00984048564248437","0.0159355602471309"
"Full-time","2013","16-34 y.","2676","0.399714437485134","0.389263470778402","0.410165404191865"
