"erwst","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Full-time","1998","Not Employed","Urban Area","36","0.00821255767310393","0.00527299754934407","0.0111521177968638"
"Non-working","1998","Employed","Rural Area","348","0.113027589010557","0.101821901929147","0.124233276091967"
"Non-working","1998","Employed","Urban Area","519","0.0878245258143523","0.0805534881596752","0.0950955634690293"
"Non-working","1998","Not Employed","Rural Area","1769","0.975290877843213","0.968155008478342","0.982426747208084"
"Non-working","1998","Not Employed","Urban Area","3533","0.978115822843788","0.973350480765511","0.982881164922065"
"Other","1998","Employed","Rural Area","285","0.0828566849735052","0.0731006447493223","0.0926127251976881"
"Other","1998","Employed","Urban Area","463","0.0713264108299296","0.0647148191560069","0.0779380025038524"
"Other","1998","Not Employed","Rural Area","22","","",""
"Other","1998","Not Employed","Urban Area","31","0.00767645987427376","0.0048336948228478","0.0105192249256997"
"Part-time","1998","Employed","Rural Area","327","0.127092101463746","0.115304248906383","0.138879954021109"
"Part-time","1998","Employed","Urban Area","758","0.142492359817867","0.133512613249782","0.151472106385952"
"Part-time","1998","Not Employed","Rural Area","8","","",""
"Part-time","1998","Not Employed","Urban Area","21","","",""
"Full-time","1999","Employed","Rural Area","2069","0.674153043939396","0.657486701907095","0.690819385971697"
"Full-time","1999","Employed","Urban Area","3939","0.679454425576921","0.667404440126598","0.691504411027244"
"Full-time","1999","Not Employed","Rural Area","12","","",""
"Full-time","1999","Not Employed","Urban Area","41","0.00854813568528897","0.00539665146554179","0.0116996199050361"
"Non-working","1999","Employed","Rural Area","310","0.101420569429095","0.090685732167127","0.112155406691063"
"Non-working","1999","Employed","Urban Area","546","0.0955443343239823","0.087954058198208","0.103134610449756"
"Non-working","1999","Not Employed","Rural Area","1637","0.97369007367262","0.966059188367558","0.981320958977682"
"Non-working","1999","Not Employed","Urban Area","3186","0.978137893156663","0.973131906766633","0.983143879546692"
"Other","1999","Employed","Rural Area","297","0.0927756454249611","0.0824592364969296","0.103092054352993"
"Other","1999","Employed","Urban Area","547","0.095796782620727","0.088197546311516","0.103396018929938"
"Other","1999","Not Employed","Rural Area","30","0.0146680949151161","0.00893640262123753","0.0203997872089947"
"Other","1999","Not Employed","Urban Area","33","0.00844303540684213","0.00531081902721345","0.0115752517864708"
"Part-time","1999","Employed","Rural Area","362","0.131650741206548","0.119627734773009","0.143673747640086"
"Part-time","1999","Employed","Urban Area","730","0.12920445747837","0.12054365146869","0.137865263488049"
"Part-time","1999","Not Employed","Rural Area","11","","",""
"Part-time","1999","Not Employed","Urban Area","18","","",""
"Full-time","2000","Employed","Rural Area","3425","0.659458236591167","0.6466198611875","0.672296611994833"
"Full-time","2000","Employed","Urban Area","6572","0.665161589994952","0.655893764712422","0.674429415277482"
"Full-time","2000","Not Employed","Rural Area","35","0.010102035419398","0.00656525708200081","0.0136388137567951"
"Full-time","2000","Not Employed","Urban Area","53","0.00880111485945155","0.00643740532416659","0.0111648243947365"
"Non-working","2000","Employed","Rural Area","611","0.112501817895491","0.103941404497943","0.121062231293039"
"Non-working","2000","Employed","Urban Area","1007","0.0969435099670173","0.0911330107102014","0.102754009223833"
"Non-working","2000","Not Employed","Rural Area","2981","0.9754108768053","0.969933488865027","0.980888264745573"
"Non-working","2000","Not Employed","Urban Area","5822","0.970779506198912","0.966517157898245","0.975041854499579"
"Other","2000","Employed","Rural Area","531","0.0972649678050733","0.0892372960963779","0.105292639513769"
"Other","2000","Employed","Urban Area","877","0.0876825083028755","0.0821282495988172","0.0932367670069338"
"Other","2000","Not Employed","Rural Area","35","0.00898502381583905","0.00564762653408438","0.0123224210975937"
"Other","2000","Not Employed","Urban Area","75","0.0125242236384835","0.00970983873393823","0.0153386085430288"
"Part-time","2000","Employed","Rural Area","667","0.130774977708269","0.121641005852115","0.139908949564424"
"Part-time","2000","Employed","Urban Area","1505","0.150212391735155","0.143196147498623","0.157228635971688"
"Part-time","2000","Not Employed","Rural Area","20","","",""
"Part-time","2000","Not Employed","Urban Area","48","0.00789515530315279","0.00565538241067694","0.0101349281956286"
"Full-time","2001","Employed","Rural Area","3047","0.647279265469382","0.633655143361998","0.660903387576766"
"Full-time","2001","Employed","Urban Area","5967","0.648617039514463","0.638861252571201","0.658372826457725"
"Full-time","2001","Not Employed","Rural Area","21","","",""
"Full-time","2001","Not Employed","Urban Area","47","0.0084530868468711","0.00599550467046533","0.0109106690232769"
"Non-working","2001","Employed","Rural Area","571","0.124205098326761","0.114800979622166","0.133609217031356"
"Non-working","2001","Employed","Urban Area","950","0.10439765397741","0.0981490822059525","0.110646225748868"
"Non-working","2001","Not Employed","Rural Area","2729","0.976299869373402","0.970673651776253","0.981926086970551"
"Non-working","2001","Not Employed","Urban Area","5181","0.974827610679671","0.970622573108332","0.979032648251011"
"Other","2001","Employed","Rural Area","488","0.094769645020763","0.0864182050100521","0.103121085031474"
"Other","2001","Employed","Urban Area","890","0.0976697885835124","0.0916032543223966","0.103736322844628"
"Other","2001","Not Employed","Rural Area","44","0.0124448879409328","0.00834449284703689","0.0165452830348286"
"Other","2001","Not Employed","Urban Area","61","0.00966967920507266","0.00704280170321102","0.0122965567069343"
"Part-time","2001","Employed","Rural Area","619","0.133745991183094","0.124040663567585","0.143451318798602"
"Part-time","2001","Employed","Urban Area","1392","0.149315517924615","0.142032447500566","0.156598588348663"
"Part-time","2001","Not Employed","Rural Area","14","","",""
"Part-time","2001","Not Employed","Urban Area","42","0.00704962326838478","0.00480372295013581","0.00929552358663375"
"Full-time","2002","Employed","Rural Area","3082","0.627206762133607","0.613592448064755","0.640821076202458"
"Full-time","2002","Employed","Urban Area","6427","0.634991890938023","0.62555693205266","0.644426849823386"
"Full-time","2002","Not Employed","Rural Area","27","","",""
"Full-time","2002","Not Employed","Urban Area","35","0.00720850748341008","0.00496972719038633","0.00944728777643382"
"Non-working","2002","Employed","Rural Area","595","0.129470038931068","0.12001783926839","0.138922238593746"
"Non-working","2002","Employed","Urban Area","1044","0.114194847263206","0.107961848782569","0.120427845743842"
"Non-working","2002","Not Employed","Rural Area","2747","0.975797974270317","0.970130082351481","0.981465866189154"
"Non-working","2002","Not Employed","Urban Area","5351","0.977418274382337","0.973486590741891","0.981349958022784"
"Other","2002","Employed","Rural Area","503","0.102987883597703","0.094430350105911","0.111545417089495"
"Other","2002","Employed","Urban Area","948","0.1001459738276","0.0942628573758628","0.106029090279337"
"Other","2002","Not Employed","Rural Area","39","0.0131804977787805","0.00897419517530859","0.0173868003822523"
"Other","2002","Not Employed","Urban Area","65","0.0105641121820686","0.00785847158593742","0.0132697527781997"
"Part-time","2002","Employed","Rural Area","666","0.140335315337623","0.130556090829925","0.15011453984532"
"Part-time","2002","Employed","Urban Area","1583","0.150667287971171","0.143656722055678","0.157677853886664"
"Part-time","2002","Not Employed","Rural Area","11","","",""
"Part-time","2002","Not Employed","Urban Area","34","0.00480910595218422","0.00297828807473795","0.00663992382963049"
"Full-time","2003","Employed","Rural Area","2865","0.620576069930554","0.606535127527794","0.634617012333314"
"Full-time","2003","Employed","Urban Area","5966","0.632509851091547","0.622809856712762","0.642209845470332"
"Full-time","2003","Not Employed","Rural Area","20","","",""
"Full-time","2003","Not Employed","Urban Area","20","","",""
"Non-working","2003","Employed","Rural Area","561","0.128627585272878","0.11894022729912","0.138314943246636"
"Non-working","2003","Employed","Urban Area","1041","0.11252631537587","0.106168326319181","0.118884304432559"
"Non-working","2003","Not Employed","Rural Area","2688","0.977474822701092","0.971941026602135","0.983008618800049"
"Non-working","2003","Not Employed","Urban Area","5346","0.9807012943827","0.977051204331058","0.984351384434342"
"Other","2003","Employed","Rural Area","481","0.10147570951847","0.092738306952407","0.110213112084533"
"Other","2003","Employed","Urban Area","917","0.10011022100477","0.0940714459215906","0.10614899608795"
"Other","2003","Not Employed","Rural Area","50","0.0159085870430797","0.0112423179572735","0.0205748561288859"
"Other","2003","Not Employed","Urban Area","60","0.0108486398145452","0.00810017529079143","0.013597104338299"
"Part-time","2003","Employed","Rural Area","681","0.149320635278098","0.139007772243428","0.159633498312768"
"Part-time","2003","Employed","Urban Area","1566","0.154853612527813","0.147575116904561","0.162132108151064"
"Part-time","2003","Not Employed","Rural Area","4","","",""
"Part-time","2003","Not Employed","Urban Area","31","0.00461643464637553","0.00281789633658922","0.00641497295616185"
"Full-time","2004","Employed","Rural Area","2746","0.606600468669498","0.592223425764526","0.62097751157447"
"Full-time","2004","Employed","Urban Area","5743","0.633749360869042","0.623837645770837","0.643661075967247"
"Full-time","2004","Not Employed","Rural Area","16","","",""
"Full-time","2004","Not Employed","Urban Area","30","0.00489461987388765","0.00304396040962867","0.00674527933814663"
"Non-working","2004","Employed","Rural Area","528","0.139804610539562","0.129598492634398","0.150010728444725"
"Non-working","2004","Employed","Urban Area","897","0.103623857506987","0.0973537372616825","0.109893977752291"
"Non-working","2004","Not Employed","Rural Area","2696","0.982192699082838","0.97725789812433","0.987127500041345"
"Non-working","2004","Not Employed","Urban Area","5345","0.979505404704565","0.97574828023958","0.98326252916955"
"Other","2004","Employed","Rural Area","506","0.107895056958603","0.0987642318138889","0.117025882103318"
"Other","2004","Employed","Urban Area","933","0.109058322982561","0.102645416710298","0.115471229254824"
"Other","2004","Not Employed","Rural Area","34","0.010125667647018","0.00638994946146165","0.0138613858325743"
"Other","2004","Not Employed","Urban Area","68","0.0115867994587151","0.0087489882195618","0.0144246106978684"
"Part-time","2004","Employed","Rural Area","655","0.145699863832337","0.135316547392792","0.156083180271882"
"Part-time","2004","Employed","Urban Area","1503","0.15356845864141","0.146151125602365","0.160985791680455"
"Part-time","2004","Not Employed","Rural Area","13","","",""
"Part-time","2004","Not Employed","Urban Area","20","","",""
"Full-time","2005","Employed","Rural Area","2576","0.603360398366627","0.588574370223733","0.618146426509521"
"Full-time","2005","Employed","Urban Area","5375","0.615829639523196","0.60559599117836","0.626063287868031"
"Full-time","2005","Not Employed","Rural Area","29","","",""
"Full-time","2005","Not Employed","Urban Area","21","","",""
"Non-working","2005","Employed","Rural Area","538","0.148428661446216","0.137682966823697","0.159174356068736"
