"erwst","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Non-working","1985","higher education","164","0.246654537709272","0.215967488387915","0.277341587030629","5"
"Other","1985","higher education","23","","","","6"
"Other","1985","middle vocational","178","0.0318383489189079","0.0270654838097341","0.0366112140280816","6"
"Other","1985","general elemantary","257","0.0823972682453619","0.0726848583611848","0.092109678129539","6"
"Other","1985","inadequately","18","","","","6"
"Other","1985","vocational + Abi","10","","","","6"
"Other","1985","higher vocational","19","","","","6"
"Other","1985","in school","5","","","","6"
"Part-time","1985","general elemantary","207","0.0680426948696783","0.0591479804698027","0.0769374092695539","2"
"Part-time","1985","inadequately","27","","","","2"
"Part-time","1985","in school","1","","","","2"
"Part-time","1985","middle vocational","391","0.0718760416346295","0.0648546205185092","0.0788974627507499","2"
"Part-time","1985","vocational + Abi","19","","","","2"
"Part-time","1985","higher vocational","55","0.0791615822689612","0.0579266324509489","0.100396532086974","2"
"Part-time","1985","higher education","50","0.0634464152680798","0.0460930643890119","0.0807997661471477","2"
"Full-time","1986","in school","1","","","","1"
"Full-time","1986","inadequately","394","0.420375518367275","0.385954270271784","0.454796766462765","1"
"Full-time","1986","general elemantary","967","0.233797378913526","0.218456471723202","0.249138286103851","1"
"Full-time","1986","middle vocational","2638","0.475842361642543","0.462020226559864","0.489664496725221","1"
"Full-time","1986","vocational + Abi","165","0.525114226374474","0.466413001297702","0.583815451451246","1"
"Full-time","1986","higher vocational","333","0.535675970639253","0.495192710797562","0.576159230480944","1"
"Full-time","1986","higher education","485","0.631085745152436","0.596576534454814","0.665594955850057","1"
"Non-working","1986","inadequately","351","0.49849404743937","0.463628010990338","0.533360083888402","5"
"Non-working","1986","general elemantary","1478","0.608210250953442","0.590516789304741","0.625903712602143","5"
"Non-working","1986","middle vocational","1846","0.424397792195757","0.410718601438865","0.438076982952648","5"
"Non-working","1986","vocational + Abi","87","0.38422047543693","0.327042527144232","0.441398423729628","5"
"Non-working","1986","higher vocational","188","0.372350801988236","0.333109044498304","0.411592559478168","5"
"Non-working","1986","in school","183","0.96689807400888","0.941324810972316","0.992471337045444","5"
"Non-working","1986","higher education","164","0.248013733592409","0.21712707396295","0.278900393221868","5"
"Other","1986","higher vocational","20","","","","6"
"Other","1986","general elemantary","301","0.0972059078200518","0.0864684841049684","0.107943331535135","6"
"Other","1986","middle vocational","225","0.0414520861045042","0.0359352163458699","0.0469689558631384","6"
"Other","1986","higher education","25","","","","6"
"Other","1986","inadequately","23","","","","6"
"Other","1986","vocational + Abi","13","","","","6"
"Other","1986","in school","4","","","","6"
"Part-time","1986","inadequately","22","","","","2"
"Part-time","1986","general elemantary","178","0.0607864623129805","0.0521259214897225","0.0694470031362384","2"
"Part-time","1986","in school","","","","","2"
"Part-time","1986","middle vocational","306","0.0583077600571963","0.0518224566757657","0.0647930634386269","2"
"Part-time","1986","vocational + Abi","13","","","","2"
"Part-time","1986","higher vocational","42","0.0632942967223799","0.0435292572848716","0.0830593361598882","2"
"Part-time","1986","higher education","77","0.0933407354622937","0.0725348701081672","0.11414660081642","2"
"Full-time","1987","general elemantary","916","0.233395122258047","0.217884663342785","0.248905581173309","1"
"Full-time","1987","higher vocational","318","0.527906459157768","0.486887515218646","0.568925403096891","1"
"Full-time","1987","in school","","","","","1"
"Full-time","1987","inadequately","363","0.42013028195574","0.385062122695456","0.455198441216023","1"
"Full-time","1987","middle vocational","2639","0.47819863680601","0.464333354213741","0.49206391939828","1"
"Full-time","1987","vocational + Abi","161","0.49364954277642","0.43487886952277","0.552420216030071","1"
"Full-time","1987","higher education","513","0.653205212472343","0.619005478747872","0.687404946196814","1"
"Non-working","1987","general elemantary","1418","0.592218553240868","0.574198847011443","0.610238259470293","5"
"Non-working","1987","inadequately","340","0.487340136838416","0.451827206314684","0.522853067362148","5"
"Non-working","1987","middle vocational","1792","0.41850008640752","0.404807214130725","0.432192958684315","5"
"Non-working","1987","higher vocational","190","0.372754191888219","0.33302386761887","0.412484516157568","5"
"Non-working","1987","vocational + Abi","87","0.373815767339303","0.316942842329754","0.430688692348852","5"
"Non-working","1987","in school","182","0.934738455646173","0.899711278734888","0.969765632557459","5"
"Non-working","1987","higher education","161","0.258788587378521","0.227317972229938","0.290259202527104","5"
"Other","1987","general elemantary","330","0.100977072194392","0.0899289176199074","0.112025226768877","6"
"Other","1987","middle vocational","215","0.0376522562523307","0.0323686131663386","0.0429358993383227","6"
"Other","1987","higher vocational","12","","","","6"
"Other","1987","higher education","21","","","","6"
"Other","1987","inadequately","25","","","","6"
"Other","1987","vocational + Abi","15","","","","6"
"Other","1987","in school","6","","","","6"
"Part-time","1987","general elemantary","193","0.0734092523066927","0.0638458516500836","0.0829726529633018","2"
"Part-time","1987","inadequately","33","0.0314884971855984","0.019081001832195","0.0438959925390019","2"
"Part-time","1987","middle vocational","340","0.065649020534139","0.0587745207606377","0.0725235203076402","2"
"Part-time","1987","in school","3","","","","2"
"Part-time","1987","vocational + Abi","15","","","","2"
"Part-time","1987","higher vocational","49","0.074831773269301","0.0532122889438447","0.0964512575947573","2"
"Part-time","1987","higher education","49","0.061218658035938","0.0439926061643478","0.0784447099075283","2"
"Full-time","1988","general elemantary","876","0.229330539033143","0.2135835911585","0.245077486907786","1"
"Full-time","1988","higher vocational","316","0.558284401871798","0.516438920002839","0.600129883740757","1"
"Full-time","1988","in school","","","","","1"
"Full-time","1988","inadequately","321","0.386148970027262","0.350133551184605","0.422164388869919","1"
"Full-time","1988","middle vocational","2463","0.47055417477347","0.456370227936326","0.484738121610613","1"
"Full-time","1988","vocational + Abi","151","0.501308422466328","0.441778959739682","0.560837885192974","1"
"Full-time","1988","higher education","487","0.672857725561907","0.638151331705858","0.707564119417956","1"
"Non-working","1988","general elemantary","1335","0.59521387909528","0.576828156614699","0.613599601575861","5"
"Non-working","1988","inadequately","329","0.538567669561667","0.501690830786544","0.57544450833679","5"
"Non-working","1988","middle vocational","1756","0.42408165282109","0.410037785613433","0.438125520028746","5"
"Non-working","1988","vocational + Abi","88","0.376385912627517","0.318704208256915","0.434067616998119","5"
"Non-working","1988","higher vocational","169","0.352113139261575","0.311865523301192","0.392360755221959","5"
"Non-working","1988","in school","156","0.961243022968098","0.93161205514418","0.990873990792017","5"
"Non-working","1988","higher education","147","0.239100622143123","0.207548141967974","0.270653102318271","5"
"Other","1988","general elemantary","333","0.10110210239597","0.0898102122395402","0.112393992552401","6"
"Other","1988","higher vocational","15","","","","6"
"Other","1988","higher education","20","","","","6"
"Other","1988","middle vocational","198","0.0361552749274362","0.030850452061332","0.0414600977935404","6"
"Other","1988","vocational + Abi","19","","","","6"
"Other","1988","inadequately","17","","","","6"
"Other","1988","in school","4","","","","6"
"Part-time","1988","general elemantary","194","0.0743534794756063","0.0645268494750891","0.0841801094761235","2"
"Part-time","1988","middle vocational","340","0.0692088974780047","0.0619963515391672","0.0764214434168421","2"
"Part-time","1988","inadequately","35","0.0366678856262957","0.0227648227061524","0.0505709485464391","2"
"Part-time","1988","higher vocational","41","0.064265894822191","0.0436018199242705","0.0849299697201116","2"
"Part-time","1988","higher education","48","0.0618057381113787","0.0439926047300423","0.0796188714927152","2"
"Part-time","1988","in school","3","","","","2"
"Part-time","1988","vocational + Abi","13","","","","2"
"Full-time","1989","in school","2","","","","1"
"Full-time","1989","inadequately","297","0.394399498032282","0.35711421765445","0.431684778410114","1"
"Full-time","1989","general elemantary","869","0.23253807884549","0.216265457300082","0.248810700390898","1"
"Full-time","1989","middle vocational","2461","0.48447854808581","0.470095750590088","0.498861345581533","1"
"Full-time","1989","vocational + Abi","162","0.513654443249031","0.456129381576779","0.571179504921282","1"
"Full-time","1989","higher vocational","304","0.556898069294594","0.514037008297612","0.599759130291575","1"
"Full-time","1989","higher education","481","0.656321099090579","0.621112874853548","0.691529323327609","1"
"Non-working","1989","general elemantary","1234","0.590405161749736","0.571462789099295","0.609347534400177","5"
"Non-working","1989","inadequately","314","0.515538248556378","0.477410925294148","0.553665571818608","5"
"Non-working","1989","middle vocational","1660","0.411360627383751","0.397198818359854","0.425522436407649","5"
"Non-working","1989","vocational + Abi","101","0.383992908504677","0.32801669080165","0.439969126207705","5"
"Non-working","1989","higher vocational","159","0.35208731734396","0.310876932373744","0.393297702314175","5"
"Non-working","1989","in school","163","0.95058607942951","0.91847540345771","0.98269675540131","5"
"Non-working","1989","higher education","144","0.245310748091728","0.213413598581474","0.277207897601983","5"
"Other","1989","general elemantary","302","0.101591765851149","0.0899545743191407","0.113228957383157","6"
"Other","1989","middle vocational","177","0.0331784631849851","0.0280239932616501","0.03833293310832","6"
"Other","1989","higher education","23","","","","6"
"Other","1989","inadequately","18","","","","6"
"Other","1989","vocational + Abi","9","","","","6"
"Other","1989","higher vocational","13","","","","6"
"Other","1989","in school","6","","","","6"
"Part-time","1989","general elemantary","184","0.0754649935536252","0.0652904129796277","0.0856395741276227","2"
"Part-time","1989","inadequately","31","0.0350764397117415","0.0210408607637358","0.0491120186597473","2"
"Part-time","1989","in school","4","","","","2"
"Part-time","1989","middle vocational","340","0.0709823613454531","0.0635919277329453","0.078372794957961","2"
"Part-time","1989","higher vocational","40","0.0698368670728223","0.0478458570987845","0.0918278770468602","2"
"Part-time","1989","higher education","51","0.0646700218218123","0.0464376388791116","0.082902404764513","2"
"Part-time","1989","vocational + Abi","18","","","","2"
"Full-time","1990","general elemantary","960","0.233132750357179","0.218027546796281","0.248237953918077","1"
"Full-time","1990","in school","","","","","1"
"Full-time","1990","inadequately","296","0.43136633892124","0.393292135898928","0.469440541943552","1"
"Full-time","1990","middle vocational","4102","0.512407652446271","0.500785079144173","0.52403022574837","1"
"Full-time","1990","vocational + Abi","210","0.525658118069124","0.47511874139635","0.576197494741898","1"
"Full-time","1990","higher vocational","511","0.588432866770476","0.553741041686851","0.623124691854101","1"
"Full-time","1990","higher education","1260","0.695781023969595","0.67389793186875","0.717664116070439","1"
"Non-working","1990","general elemantary","1443","0.586292273095383","0.568698104685615","0.603886441505152","5"
"Non-working","1990","middle vocational","2153","0.374024269994176","0.36277317764165","0.385275362346702","5"
"Non-working","1990","vocational + Abi","123","0.350646143342464","0.302350528143101","0.398941758541828","5"
"Non-working","1990","inadequately","301","0.491104476164573","0.452672503713453","0.529536448615694","5"
"Non-working","1990","higher vocational","201","0.334032254842411","0.300783212241455","0.367281297443366","5"
"Non-working","1990","in school","186","0.940600963551267","0.907339631663966","0.973862295438568","5"
"Non-working","1990","higher education","294","0.209811808917559","0.19044493703088","0.229178680804237","5"
"Other","1990","general elemantary","386","0.107023191775345","0.0959792557406538","0.118067127810037","6"
"Other","1990","middle vocational","193","0.0283067197818583","0.0244503788470951","0.0321630607166216","6"
"Other","1990","higher education","16","","","","6"
"Other","1990","inadequately","17","","","","6"
"Other","1990","vocational + Abi","14","","","","6"
"Other","1990","higher vocational","12","","","","6"
"Other","1990","in school","4","","","","6"
"Part-time","1990","inadequately","36","0.0368656063456026","0.0223797041285707","0.0513515085626345","2"
"Part-time","1990","general elemantary","221","0.0735517847720928","0.0642262869390297","0.0828772826051559","2"
"Part-time","1990","in school","4","","","","2"
"Part-time","1990","middle vocational","657","0.0852613577776944","0.078767680743244","0.0917550348121447","2"
"Part-time","1990","vocational + Abi","28","","","","2"
"Part-time","1990","higher vocational","49","0.0626229682134151","0.045543186249346","0.0797027501774842","2"
"Part-time","1990","higher education","128","0.0811255073480588","0.0681391885826643","0.0941118261134533","2"
"Full-time","1991","general elemantary","912","0.228760285519202","0.213435834153378","0.244084736885025","1"
"Full-time","1991","in school","","","","","1"
"Full-time","1991","inadequately","293","0.422049756863481","0.384512345392266","0.459587168334696","1"
"Full-time","1991","middle vocational","3810","0.49163877028227","0.479881947437229","0.50339559312731","1"
"Full-time","1991","vocational + Abi","227","0.555051145290559","0.505150386292385","0.604951904288733","1"
"Full-time","1991","higher vocational","486","0.580673968640119","0.545568943078163","0.615778994202075","1"
"Full-time","1991","higher education","1182","0.65132690148418","0.62856619302125","0.67408760994711","1"
"Non-working","1991","vocational + Abi","110","0.317018296599348","0.270295126438532","0.363741466760164","5"
"Non-working","1991","general elemantary","1414","0.596248034236907","0.578347304624674","0.61414876384914","5"
"Non-working","1991","middle vocational","2335","0.395450174957402","0.383951636622339","0.406948713292464","5"
"Non-working","1991","inadequately","313","0.498556804787399","0.460554891417774","0.536558718157024","5"
"Non-working","1991","higher vocational","201","0.325607566515295","0.292270238222862","0.358944894807728","5"
"Non-working","1991","higher education","361","0.245392745312532","0.224840068402443","0.265945422222622","5"
"Non-working","1991","in school","141","0.884739128554937","0.835564719385941","0.933913537723932","5"
"Other","1991","general elemantary","365","0.102736264730014","0.0916592719897758","0.113813257470253","6"
"Other","1991","middle vocational","250","0.0372304809861295","0.0327781115674777","0.0416828504047813","6"
"Other","1991","higher vocational","17","","","","6"
"Other","1991","higher education","29","","","","6"
"Other","1991","inadequately","17","","","","6"
"Other","1991","vocational + Abi","24","","","","6"
"Other","1991","in school","20","","","","6"
"Part-time","1991","inadequately","42","0.0507561975106142","0.0340733303032823","0.0674390647179461","2"
"Part-time","1991","general elemantary","195","0.0722554155138766","0.0628093850247032","0.0817014460030501","2"
"Part-time","1991","middle vocational","551","0.0756805737741989","0.0694606659338582","0.0819004816145397","2"
"Part-time","1991","in school","1","","","","2"
"Part-time","1991","higher vocational","55","0.0734005499273183","0.0548471767904921","0.0919539230641446","2"
"Part-time","1991","vocational + Abi","20","","","","2"
"Part-time","1991","higher education","112","0.0811317012629318","0.0680910592460358","0.0941723432798278","2"
"Full-time","1992","general elemantary","848","0.222158436867094","0.206785770575181","0.237531103159007","1"
"Full-time","1992","in school","","","","","1"
"Full-time","1992","inadequately","261","0.3990134087169","0.360865356151941","0.437161461281859","1"
"Full-time","1992","middle vocational","3527","0.469652877971844","0.457747789169305","0.481557966774383","1"
"Full-time","1992","vocational + Abi","202","0.496947250129718","0.447132894366087","0.54676160589335","1"
"Full-time","1992","higher vocational","484","0.572801421878015","0.537861681679274","0.607741162076757","1"
"Full-time","1992","higher education","1124","0.643705581437258","0.62066771829752","0.666743444576996","1"
"Non-working","1992","vocational + Abi","139","0.367530339396296","0.319495200037514","0.415565478755079","5"
"Non-working","1992","general elemantary","1422","0.611353490738969","0.593327638563298","0.62937934291464","5"
"Non-working","1992","middle vocational","2501","0.425723461912432","0.413928722060484","0.43751820176438","5"
"Non-working","1992","inadequately","325","0.543549992149649","0.504747234405818","0.582352749893479","5"
"Non-working","1992","higher vocational","215","0.330291257663636","0.297071668898468","0.363510846428805","5"
"Non-working","1992","higher education","401","0.259904297810086","0.23880613114749","0.281002464472681","5"
"Non-working","1992","in school","169","0.893344522998915","0.849103174246601","0.937585871751229","5"
"Other","1992","general elemantary","346","0.0948198848754909","0.0839858697968672","0.105653899954115","6"
"Other","1992","higher vocational","18","","","","6"
"Other","1992","middle vocational","206","0.0284923557560049","0.024523627828522","0.0324610836834877","6"
"Other","1992","higher education","27","","","","6"
"Other","1992","vocational + Abi","20","","","","6"
"Other","1992","inadequately","12","","","","6"
"Other","1992","in school","16","","","","6"
"Part-time","1992","inadequately","35","0.0361798242641045","0.0216326892661771","0.0507269592620319","2"
"Part-time","1992","general elemantary","193","0.0716681875184461","0.0621295345500108","0.0812068404868815","2"
"Part-time","1992","middle vocational","517","0.0761313043597188","0.0698049895681663","0.0824576191512712","2"
"Part-time","1992","in school","2","","","","2"
"Part-time","1992","higher vocational","53","0.0668204711848282","0.0491828465023388","0.0844580958673176","2"
"Part-time","1992","vocational + Abi","26","","","","2"
"Part-time","1992","higher education","108","0.0771585073424919","0.0643219220083535","0.0899950926766302","2"
"Full-time","1993","in school","","","","","1"
"Full-time","1993","inadequately","247","0.392312997762282","0.353692290066354","0.430933705458209","1"
"Full-time","1993","general elemantary","808","0.222949238024559","0.207269758054491","0.238628717994627","1"
"Full-time","1993","middle vocational","3397","0.460160899698236","0.448223014618562","0.47209878477791","1"
"Full-time","1993","vocational + Abi","208","0.516906549333795","0.467119750766518","0.566693347901072","1"
"Full-time","1993","higher vocational","447","0.550260493614266","0.51458643871941","0.585934548509123","1"
"Full-time","1993","higher education","1093","0.626832868866135","0.603425438532604","0.650240299199667","1"
"Non-working","1993","general elemantary","1382","0.607956998154207","0.589565917581818","0.626348078726595","5"
"Non-working","1993","middle vocational","2560","0.432642654580876","0.420775861306034","0.444509447855719","5"
"Non-working","1993","vocational + Abi","130","0.316418446975202","0.270082432799788","0.362754461150616","5"
"Non-working","1993","inadequately","310","0.523874148460657","0.4843704033321","0.563377893589214","5"
"Non-working","1993","in school","175","0.945081903034412","0.912341495403048","0.977822310665775","5"
"Non-working","1993","higher vocational","228","0.352515749348489","0.318255410258977","0.386776088438001","5"
"Non-working","1993","higher education","402","0.273780774562675","0.252200274104145","0.295361275021205","5"
"Other","1993","general elemantary","333","0.0978738564303828","0.0866802264172069","0.109067486443559","6"
"Other","1993","middle vocational","253","0.034720624532719","0.0303357149134782","0.0391055341519598","6"
"Other","1993","higher vocational","19","","","","6"
"Other","1993","higher education","27","","","","6"
"Other","1993","vocational + Abi","23","","","","6"
"Other","1993","inadequately","16","","","","6"
"Other","1993","in school","10","","","","6"
"Part-time","1993","inadequately","41","0.0453166643470438","0.0288645187642303","0.0617688099298573","2"
"Part-time","1993","in school","1","","","","2"
"Part-time","1993","general elemantary","184","0.0712199073908517","0.06153130541899","0.0809085093627133","2"
"Part-time","1993","middle vocational","486","0.0724758211881687","0.0662657073580012","0.0786859350183362","2"
"Part-time","1993","vocational + Abi","26","","","","2"
"Part-time","1993","higher vocational","53","0.0662337180047501","0.0483998129052751","0.0840676231042251","2"
"Part-time","1993","higher education","118","0.0789603840995367","0.0659085979787508","0.0920121702203225","2"
"Full-time","1994","in school","","","","","1"
"Full-time","1994","inadequately","212","0.352996023801459","0.313379116558433","0.392612931044486","1"
"Full-time","1994","general elemantary","692","0.201244175922803","0.185578055815131","0.216910296030474","1"
"Full-time","1994","middle vocational","3245","0.445375053866035","0.433380878032978","0.457369229699091","1"
"Full-time","1994","vocational + Abi","209","0.509328103435106","0.459903154641852","0.558753052228361","1"
"Full-time","1994","higher vocational","453","0.543147890753658","0.507686125216148","0.578609656291167","1"
"Full-time","1994","higher education","1097","0.620582324152395","0.597211372053961","0.643953276250829","1"
"Non-working","1994","inadequately","290","0.553277625649526","0.512064780864319","0.594490470434734","5"
"Non-working","1994","general elemantary","1377","0.647661356411399","0.628995543686823","0.666327169135976","5"
"Non-working","1994","in school","229","0.962071447574739","0.937904084483766","0.986238810665712","5"
"Non-working","1994","middle vocational","2616","0.447806474218336","0.435805994512732","0.45980695392394","5"
"Non-working","1994","vocational + Abi","136","0.327137089501472","0.280751828622791","0.373522350380153","5"
"Non-working","1994","higher vocational","232","0.359173912466896","0.325020352983358","0.393327471950434","5"
"Non-working","1994","higher education","400","0.274409742844547","0.25291840707","0.295901078619093","5"
"Other","1994","inadequately","20","","","","6"
"Other","1994","vocational + Abi","22","","","","6"
"Other","1994","general elemantary","287","0.0890259745911921","0.0778983071476956","0.100153642034689","6"
"Other","1994","middle vocational","256","0.0332708065389879","0.028942760729069","0.0375988523489068","6"
"Other","1994","higher vocational","23","","","","6"
"Other","1994","higher education","37","0.029859649776457","0.0216622226665337","0.0380570768863803","6"
"Other","1994","in school","10","","","","6"
"Part-time","1994","inadequately","37","0.0504157570149402","0.0322776448518058","0.0685538691780746","2"
"Part-time","1994","in school","1","","","","2"
"Part-time","1994","general elemantary","160","0.0620684930746059","0.0526406154680721","0.0714963706811397","2"
"Part-time","1994","middle vocational","479","0.0735476653766419","0.0672481991295647","0.079847131623719","2"
"Part-time","1994","vocational + Abi","26","","","","2"
"Part-time","1994","higher vocational","50","0.0669131159333197","0.0491249915475084","0.084701240319131","2"
"Part-time","1994","higher education","122","0.0751482832266012","0.0624509209738414","0.0878456454793611","2"
"Full-time","1995","in school","1","","","","1"
"Full-time","1995","inadequately","189","0.33490753363377","0.294952714512995","0.374862352754544","1"
"Full-time","1995","general elemantary","697","0.198240157074481","0.182662191514388","0.213818122634575","1"
"Full-time","1995","middle vocational","3294","0.436628153589684","0.424801640732099","0.448454666447268","1"
"Full-time","1995","vocational + Abi","253","0.505862764905974","0.461089323010445","0.550636206801503","1"
"Full-time","1995","higher vocational","468","0.538575299642464","0.503249580744124","0.573901018540805","1"
"Full-time","1995","higher education","1151","0.606362851984377","0.583557526938636","0.629168177030118","1"
"Non-working","1995","middle vocational","2639","0.447940852359031","0.436082989810511","0.459798714907552","5"
"Non-working","1995","inadequately","297","0.566554072221812","0.524601958964604","0.60850618547902","5"
"Non-working","1995","general elemantary","1357","0.652968108649455","0.63436765863629","0.67156855866262","5"
"Non-working","1995","in school","274","0.945289394888094","0.918979125514798","0.97159966426139","5"
"Non-working","1995","vocational + Abi","167","0.350858269212873","0.308120095770534","0.393596442655212","5"
"Non-working","1995","higher vocational","219","0.365035529828634","0.330919408160182","0.399151651497086","5"
"Non-working","1995","higher education","415","0.270609272678744","0.249870961307695","0.291347584049794","5"
"Other","1995","inadequately","17","","","","6"
"Other","1995","general elemantary","326","0.0998592702426689","0.0881442734720433","0.111574267013294","6"
"Other","1995","middle vocational","278","0.0372496811260199","0.0327340195570653","0.0417653426949746","6"
"Other","1995","vocational + Abi","24","","","","6"
"Other","1995","higher vocational","20","","","","6"
"Other","1995","higher education","37","0.0280747801011893","0.0203640315263375","0.0357855286760411","6"
"Other","1995","in school","12","","","","6"
"Part-time","1995","inadequately","33","0.0480873177142008","0.0299747705585101","0.0661998648698914","2"
"Part-time","1995","in school","","","","","2"
"Part-time","1995","general elemantary","136","0.048932464033395","0.0405030576026811","0.0573618704641088","2"
"Part-time","1995","middle vocational","545","0.0781813129252649","0.0717798755052491","0.0845827503452808","2"
"Part-time","1995","vocational + Abi","35","0.0811234623877611","0.0566732770962937","0.105573647679229","2"
"Part-time","1995","higher vocational","58","0.0729047891729655","0.0544819071293205","0.0913276712166106","2"
"Part-time","1995","higher education","160","0.0949530952356897","0.0812691274943992","0.10863706297698","2"
"Full-time","1996","in school","","","","","1"
"Full-time","1996","inadequately","167","0.339004765977081","0.297345720124479","0.380663811829682","1"
"Full-time","1996","general elemantary","623","0.183451622501264","0.167996180500982","0.198907064501547","1"
"Full-time","1996","middle vocational","3168","0.42926722322153","0.417367189437557","0.441167257005503","1"
"Full-time","1996","vocational + Abi","256","0.513337547915584","0.46853016500266","0.558144930828507","1"
"Full-time","1996","higher vocational","467","0.53324660015396","0.498008659399633","0.568484540908287","1"
"Full-time","1996","higher education","1143","0.595109215789451","0.572241186403138","0.617977245175765","1"
"Non-working","1996","middle vocational","2635","0.452798231770015","0.440830990973136","0.464765472566895","5"
"Non-working","1996","inadequately","276","0.549971032161585","0.50618885084596","0.593753213477211","5"
"Non-working","1996","general elemantary","1323","0.658145848242564","0.639204486716073","0.677087209769056","5"
"Non-working","1996","in school","283","0.962590990120363","0.940899797605811","0.984282182634915","5"
"Non-working","1996","vocational + Abi","158","0.326384475760878","0.28435006796051","0.368418883561246","5"
"Non-working","1996","higher vocational","216","0.352073569503782","0.318338447257615","0.385808691749949","5"
"Non-working","1996","higher education","439","0.280593442225418","0.259662565858738","0.301524318592097","5"
"Other","1996","inadequately","18","","","","6"
"Other","1996","general elemantary","318","0.104681091183905","0.0924559835945604","0.11690619877325","6"
"Other","1996","middle vocational","257","0.0326033075267913","0.028333571244986","0.0368730438085965","6"
"Other","1996","vocational + Abi","20","","","","6"
"Other","1996","higher education","31","0.0251743451732208","0.0178763423970619","0.0324723479493797","6"
"Other","1996","higher vocational","18","","","","6"
"Other","1996","in school","9","","","","6"
"Part-time","1996","inadequately","35","0.0708457110922162","0.0482665421741477","0.0934248800102847","2"
"Part-time","1996","in school","2","","","","2"
"Part-time","1996","general elemantary","145","0.0537214380722665","0.0447179041222057","0.0627249720223272","2"
"Part-time","1996","middle vocational","586","0.0853312374816631","0.0786145696945882","0.092047905268738","2"
"Part-time","1996","vocational + Abi","44","0.107362887272281","0.0796106050379403","0.135115169506621","2"
"Part-time","1996","higher vocational","69","0.090053568858477","0.0698345021178489","0.110272635599105","2"
"Part-time","1996","higher education","157","0.0991229968119099","0.0852016446396653","0.113044348984154","2"
"Full-time","1997","higher education","1169","0.617708622786721","0.595101879876218","0.640315365697224","1"
"Full-time","1997","vocational + Abi","250","0.514525356125977","0.468753131675705","0.56029758057625","1"
"Full-time","1997","in school","2","","","","1"
"Full-time","1997","inadequately","144","0.330287975859501","0.287677577495725","0.372898374223278","1"
