"transab_cat2","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1994","Part Time","Male","573","0.80051124453145","0.771301579633134","0.829720909429766"
"Very low transfer dependency","1994","Part Time","Female","1465","0.920481470498642","0.907335398396476","0.933627542600808"
"Very low transfer dependency","1994","Not Working","Male","1274","0.876452241739073","0.859952848371582","0.892951635106565"
"Very low transfer dependency","1994","Not Working","Female","2607","0.902530924738984","0.891970260247189","0.91309158923078"
"Low transfer dependency","1994","Full Time","Male","168","0.0297617957724803","0.0244665185520951","0.0350570729928656"
"Low transfer dependency","1994","Full Time","Female","54","0.0166645703949206","0.011069700904082","0.0222594398857592"
"Low transfer dependency","1994","Part Time","Male","89","0.10282508996618","0.0806241299422261","0.125026049990134"
"Low transfer dependency","1994","Part Time","Female","113","0.053741375093293","0.0427838208966649","0.0646989292899211"
"Low transfer dependency","1994","Not Working","Male","114","0.0450599156134716","0.034659045744234","0.0554607854827091"
"Low transfer dependency","1994","Not Working","Female","239","0.0445946634918266","0.0372450914091958","0.0519442355744573"
"High transfer dependency","1994","Full Time","Male","14","","",""
"High transfer dependency","1994","Full Time","Female","15","","",""
"High transfer dependency","1994","Part Time","Male","44","0.0662037244469537","0.0480297076237907","0.0843777412701168"
"High transfer dependency","1994","Part Time","Female","30","0.0148005828981586","0.0089330464298619","0.0206681193664552"
"High transfer dependency","1994","Not Working","Male","52","0.0236508390251773","0.016031588236456","0.0312700898138987"
"High transfer dependency","1994","Not Working","Female","74","0.0186831753475557","0.0138619576274791","0.0235043930676323"
"Very high transfer dependency","1994","Full Time","Male","4","","",""
"Very high transfer dependency","1994","Full Time","Female","2","","",""
"Very high transfer dependency","1994","Part Time","Male","13","","",""
"Very high transfer dependency","1994","Part Time","Female","19","","",""
"Very high transfer dependency","1994","Not Working","Male","88","0.0548370036222776","0.0434219849233196","0.0662520223212357"
"Very high transfer dependency","1994","Not Working","Female","110","0.0341912364216334","0.0277208569653748","0.0406616158778919"
"Very low transfer dependency","1995","Full Time","Male","3765","0.969737411149153","0.964377424528272","0.975097397770034"
"Very low transfer dependency","1995","Full Time","Female","1901","0.972318824709496","0.965076109833627","0.979561539585365"
"Very low transfer dependency","1995","Part Time","Male","686","0.832131653610979","0.80703541002013","0.857227897201827"
"Very low transfer dependency","1995","Part Time","Female","1581","0.918525501321455","0.905697526580527","0.931353476062383"
"Very low transfer dependency","1995","Not Working","Male","1315","0.842804904771326","0.825096809337129","0.860513000205523"
"Very low transfer dependency","1995","Not Working","Female","2683","0.890598114544736","0.879721765346544","0.901474463742929"
"Low transfer dependency","1995","Full Time","Male","140","0.02648911258827","0.0214646721449314","0.0315135530316086"
"Low transfer dependency","1995","Full Time","Female","58","0.0219786366457188","0.0155060283696967","0.0284512449217409"
"Low transfer dependency","1995","Part Time","Male","106","0.112073102033092","0.0908910711856692","0.133255132880514"
"Low transfer dependency","1995","Part Time","Female","114","0.0537343110514849","0.0431604395689601","0.0643081825340097"
"Low transfer dependency","1995","Not Working","Male","127","0.0493067905767183","0.0387735405174981","0.0598400406359385"
"Low transfer dependency","1995","Not Working","Female","222","0.0419173365356329","0.0349345593526063","0.0489001137186595"
"High transfer dependency","1995","Full Time","Male","18","","",""
"High transfer dependency","1995","Full Time","Female","10","","",""
"High transfer dependency","1995","Part Time","Male","39","0.0392845200116103","0.0262397503931437","0.0523292896300768"
"High transfer dependency","1995","Part Time","Female","36","0.0185516346988672","0.012224217676667","0.0248790517210674"
"High transfer dependency","1995","Not Working","Male","55","0.0290428386765314","0.0208730956378441","0.0372125817152188"
"High transfer dependency","1995","Not Working","Female","90","0.0198116629643971","0.014956038571143","0.0246672873576512"
"Very high transfer dependency","1995","Full Time","Male","1","","",""
"Very high transfer dependency","1995","Full Time","Female","2","","",""
"Very high transfer dependency","1995","Part Time","Male","21","","",""
"Very high transfer dependency","1995","Part Time","Female","16","","",""
"Very high transfer dependency","1995","Not Working","Male","126","0.0788454659754241","0.0657342358455017","0.0919566961053465"
"Very high transfer dependency","1995","Not Working","Female","169","0.0476728859552338","0.0402485323177476","0.05509723959272"
"Very low transfer dependency","1996","Full Time","Male","3644","0.965921701491255","0.9601705361263","0.97167286685621"
"Very low transfer dependency","1996","Full Time","Female","1835","0.971086386131537","0.963571688187041","0.978601084076034"
"Very low transfer dependency","1996","Part Time","Male","718","0.844089380368361","0.820120992618035","0.868057768118687"
"Very low transfer dependency","1996","Part Time","Female","1612","0.90558355741683","0.892064010624805","0.919103104208855"
"Very low transfer dependency","1996","Not Working","Male","1219","0.827694857709606","0.808996742099706","0.846392973319505"
"Very low transfer dependency","1996","Not Working","Female","2523","0.874189292712857","0.862415885835948","0.885962699589765"
"Low transfer dependency","1996","Full Time","Male","158","0.0311279928274839","0.025623026015599","0.0366329596393689"
"Low transfer dependency","1996","Full Time","Female","64","0.0247577981725688","0.0177892282892105","0.031726368055927"
"Low transfer dependency","1996","Part Time","Male","96","0.0958573008859178","0.0764064841096348","0.115308117662201"
"Low transfer dependency","1996","Part Time","Female","118","0.0576248645675219","0.0468505185027041","0.0683992106323398"
"Low transfer dependency","1996","Not Working","Male","152","0.0677479254915758","0.0553048346243559","0.0801910163587957"
"Low transfer dependency","1996","Not Working","Female","248","0.0521421165492108","0.0442497626527247","0.0600344704456968"
"High transfer dependency","1996","Full Time","Male","19","","",""
"High transfer dependency","1996","Full Time","Female","10","","",""
"High transfer dependency","1996","Part Time","Male","50","0.0471778625391404","0.0331696796026456","0.0611860454756353"
"High transfer dependency","1996","Part Time","Female","54","0.0308473572093071","0.0228530814325034","0.0388416329861108"
"High transfer dependency","1996","Not Working","Male","67","0.0316845177074384","0.0230119922951671","0.0403570431197096"
"High transfer dependency","1996","Not Working","Female","106","0.0269442999066343","0.0211959537589797","0.0326926460542889"
"Very high transfer dependency","1996","Full Time","Male","2","","",""
"Very high transfer dependency","1996","Full Time","Female","1","","",""
"Very high transfer dependency","1996","Part Time","Male","16","","",""
"Very high transfer dependency","1996","Part Time","Female","13","","",""
"Very high transfer dependency","1996","Not Working","Male","129","0.0728726990913801","0.0600030796340292","0.0857423185487311"
"Very high transfer dependency","1996","Not Working","Female","171","0.0467242908312984","0.0392318860507364","0.0542166956118605"
"Very low transfer dependency","1997","Full Time","Male","3449","0.953019611327992","0.946182188798576","0.959857033857409"
"Very low transfer dependency","1997","Full Time","Female","1800","0.963142343080858","0.954645820580463","0.971638865581254"
"Very low transfer dependency","1997","Part Time","Male","671","0.7939579409718","0.767035450539773","0.820880431403826"
"Very low transfer dependency","1997","Part Time","Female","1446","0.874401063001408","0.858468673994663","0.890333452008154"
"Very low transfer dependency","1997","Not Working","Male","1274","0.821846683664946","0.803321992628858","0.840371374701035"
"Very low transfer dependency","1997","Not Working","Female","2492","0.851547414011633","0.838953990792339","0.864140837230927"
"Low transfer dependency","1997","Full Time","Male","198","0.04117947533984","0.0347586292084107","0.0476003214712692"
"Low transfer dependency","1997","Full Time","Female","75","0.0296048262938747","0.0219614069940046","0.0372482455937448"
"Low transfer dependency","1997","Part Time","Male","127","0.135987819355098","0.11317134802567","0.158804290684525"
"Low transfer dependency","1997","Part Time","Female","146","0.0799893392553305","0.0669473131286045","0.0930313653820565"
"Low transfer dependency","1997","Not Working","Male","163","0.0727554080882655","0.0601809751438987","0.0853298410326323"
"Low transfer dependency","1997","Not Working","Female","282","0.0600790109752161","0.0516621033848393","0.068495918565593"
"High transfer dependency","1997","Full Time","Male","30","0.00541015438305617","0.00303981770532101","0.00778049106079132"
"High transfer dependency","1997","Full Time","Female","14","","",""
"High transfer dependency","1997","Part Time","Male","45","0.0463275632511491","0.0323362691241022","0.060318857378196"
"High transfer dependency","1997","Part Time","Female","45","0.0329676695286436","0.0243835214178758","0.0415518176394114"
