"transab_cat2","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","1147","0.931976671141119","0.917990627578729","0.945962714703508"
"Very low transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","797","0.96873332174433","0.956928814994134","0.980537828494527"
"Very low transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","579","0.952171104170251","0.935467238188613","0.968874970151888"
"Very low transfer dependency","1985","35-65 y.","1-pers.-HH","407","0.905700698994148","0.878608708304684","0.932792689683613"
"Very low transfer dependency","1985","35-65 y.","(Married) couple without C. ","1283","0.960784146642147","0.950395058012593","0.971173235271701"
"Very low transfer dependency","1985","35-65 y.","Single parent ","208","0.880626679458168","0.83934822057877","0.921905138337566"
"Very low transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","1338","0.952416863802353","0.941348303848504","0.963485423756203"
"Very low transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","1106","0.973983062614114","0.964750573010839","0.98321555221739"
"Very low transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","818","0.968118432295276","0.956417425709136","0.979819438881417"
"Very low transfer dependency","1985","66 and older","1-pers.-HH","390","0.970010078059541","0.953337189193027","0.986682966926055"
"Very low transfer dependency","1985","66 and older","(Married) couple without C. ","491","0.987458472919957","0.977684569346748","0.997232376493167"
"Very low transfer dependency","1985","66 and older","Single parent ","26","","",""
"Very low transfer dependency","1985","66 and older","Couple + C. LE 16 ","2","","",""
"Very low transfer dependency","1985","66 and older","Couple + C. GT 16 ","48","1","1","1"
"Very low transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Low transfer dependency","1985","16-34 y.","1-pers.-HH","11","","",""
"Low transfer dependency","1985","16-34 y.","(Married) couple without C. ","17","","",""
"Low transfer dependency","1985","16-34 y.","Single parent ","10","","",""
"Low transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","56","0.0386146728207197","0.0279120963444057","0.0493172492970338"
"Low transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","18","","",""
"Low transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","34","0.0339715767295597","0.0197918740332499","0.0481512794258694"
"Low transfer dependency","1985","35-65 y.","1-pers.-HH","11","","",""
"Low transfer dependency","1985","35-65 y.","(Married) couple without C. ","32","0.0196910513895813","0.0122548757614395","0.0271272270177231"
"Low transfer dependency","1985","35-65 y.","Single parent ","18","","",""
"Low transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","47","0.0254806012300605","0.0172874469668085","0.0336737554933125"
"Low transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","18","","",""
"Low transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","35","0.0235615426255624","0.013459401212841","0.0336636840382837"
"Low transfer dependency","1985","66 and older","1-pers.-HH","3","","",""
"Low transfer dependency","1985","66 and older","(Married) couple without C. ","1","","",""
"Low transfer dependency","1985","66 and older","Single parent ","2","","",""
"Low transfer dependency","1985","66 and older","Couple + C. LE 16 ","","","",""
"Low transfer dependency","1985","66 and older","Couple + C. GT 16 ","","","",""
"Low transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","",""
"High transfer dependency","1985","16-34 y.","1-pers.-HH","9","","",""
"High transfer dependency","1985","16-34 y.","(Married) couple without C. ","8","","",""
"High transfer dependency","1985","16-34 y.","Single parent ","8","","",""
"High transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","12","","",""
"High transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","17","","",""
"High transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","9","","",""
"High transfer dependency","1985","35-65 y.","1-pers.-HH","7","","",""
"High transfer dependency","1985","35-65 y.","(Married) couple without C. ","6","","",""
"High transfer dependency","1985","35-65 y.","Single parent ","4","","",""
"High transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","10","","",""
"High transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","12","","",""
"High transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","11","","",""
"High transfer dependency","1985","66 and older","1-pers.-HH","6","","",""
"High transfer dependency","1985","66 and older","(Married) couple without C. ","4","","",""
"High transfer dependency","1985","66 and older","Single parent ","","","",""
"High transfer dependency","1985","66 and older","Couple + C. LE 16 ","","","",""
"High transfer dependency","1985","66 and older","Couple + C. GT 16 ","","","",""
"High transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Very high transfer dependency","1985","16-34 y.","1-pers.-HH","22","","",""
"Very high transfer dependency","1985","16-34 y.","(Married) couple without C. ","6","","",""
"Very high transfer dependency","1985","16-34 y.","Single parent ","25","","",""
"Very high transfer dependency","1985","16-34 y.","Couple + C. LE 16 ","30","0.0227665359057711","0.0144811821160213","0.0310518896955209"
"Very high transfer dependency","1985","16-34 y.","Couple + C. GT 16 ","3","","",""
"Very high transfer dependency","1985","16-34 y.","Couple + C. LE and GT 16","5","","",""
"Very high transfer dependency","1985","35-65 y.","1-pers.-HH","22","","",""
"Very high transfer dependency","1985","35-65 y.","(Married) couple without C. ","20","","",""
"Very high transfer dependency","1985","35-65 y.","Single parent ","7","","",""
"Very high transfer dependency","1985","35-65 y.","Couple + C. LE 16 ","26","","",""
"Very high transfer dependency","1985","35-65 y.","Couple + C. GT 16 ","6","","",""
"Very high transfer dependency","1985","35-65 y.","Couple + C. LE and GT 16","2","","",""
"Very high transfer dependency","1985","66 and older","1-pers.-HH","3","","",""
"Very high transfer dependency","1985","66 and older","(Married) couple without C. ","2","","",""
"Very high transfer dependency","1985","66 and older","Single parent ","","","",""
"Very high transfer dependency","1985","66 and older","Couple + C. LE 16 ","","","",""
"Very high transfer dependency","1985","66 and older","Couple + C. GT 16 ","","","",""
"Very high transfer dependency","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Very low transfer dependency","1986","16-34 y.","1-pers.-HH","271","0.843641093980926","0.803785166115101","0.883497021846751"
"Very low transfer dependency","1986","16-34 y.","(Married) couple without C. ","607","0.954227639126759","0.938036188624465","0.970419089629052"
"Very low transfer dependency","1986","16-34 y.","Single parent ","209","0.806346189150469","0.757749685380688","0.85494269292025"
"Very low transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","1058","0.930842877193006","0.916127490217926","0.945558264168087"
"Very low transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","841","0.969664780030887","0.95829435341271","0.981035206649063"
"Very low transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","543","0.948061332955986","0.930079507621328","0.966043158290644"
"Very low transfer dependency","1986","35-65 y.","1-pers.-HH","382","0.878966435974582","0.848065953302198","0.909866918646965"
"Very low transfer dependency","1986","35-65 y.","(Married) couple without C. ","1215","0.963318361201979","0.952963589639942","0.973673132764016"
"Very low transfer dependency","1986","35-65 y.","Single parent ","199","0.873693171306186","0.830287176096869","0.917099166515504"
"Very low transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","1176","0.947918769700733","0.935601363510439","0.960236175891027"
"Very low transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","1144","0.970333024973311","0.960668749978795","0.979997299967826"
"Very low transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","767","0.965326019984066","0.952734547595064","0.977917492373067"
"Very low transfer dependency","1986","66 and older","1-pers.-HH","361","0.976575927335455","0.961144037348192","0.992007817322717"
"Very low transfer dependency","1986","66 and older","(Married) couple without C. ","468","0.988627210036227","0.979081489643166","0.998172930429288"
"Very low transfer dependency","1986","66 and older","Single parent ","24","","",""
"Very low transfer dependency","1986","66 and older","Couple + C. LE 16 ","1","","",""
"Very low transfer dependency","1986","66 and older","Couple + C. GT 16 ","49","1","1","1"
"Very low transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","",""
"Low transfer dependency","1986","16-34 y.","1-pers.-HH","12","","",""
"Low transfer dependency","1986","16-34 y.","(Married) couple without C. ","16","","",""
"Low transfer dependency","1986","16-34 y.","Single parent ","22","","",""
"Low transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","53","0.0431095696478245","0.0313299033285067","0.0548892359671423"
"Low transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","18","","",""
"Low transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","27","","",""
"Low transfer dependency","1986","35-65 y.","1-pers.-HH","14","","",""
"Low transfer dependency","1986","35-65 y.","(Married) couple without C. ","20","","",""
"Low transfer dependency","1986","35-65 y.","Single parent ","17","","",""
"Low transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","42","0.0285970955488982","0.0193574832863667","0.0378367078114297"
"Low transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","23","","",""
"Low transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","30","0.0209216933101891","0.0110714990907947","0.0307718875295836"
"Low transfer dependency","1986","66 and older","1-pers.-HH","2","","",""
"Low transfer dependency","1986","66 and older","(Married) couple without C. ","2","","",""
"Low transfer dependency","1986","66 and older","Single parent ","","","",""
"Low transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","",""
"Low transfer dependency","1986","66 and older","Couple + C. GT 16 ","","","",""
"Low transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","",""
"High transfer dependency","1986","16-34 y.","1-pers.-HH","13","","",""
"High transfer dependency","1986","16-34 y.","(Married) couple without C. ","6","","",""
"High transfer dependency","1986","16-34 y.","Single parent ","5","","",""
"High transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","10","","",""
"High transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","7","","",""
"High transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","10","","",""
"High transfer dependency","1986","35-65 y.","1-pers.-HH","8","","",""
"High transfer dependency","1986","35-65 y.","(Married) couple without C. ","16","","",""
"High transfer dependency","1986","35-65 y.","Single parent ","1","","",""
"High transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","12","","",""
"High transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","7","","",""
"High transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","10","","",""
"High transfer dependency","1986","66 and older","1-pers.-HH","4","","",""
"High transfer dependency","1986","66 and older","(Married) couple without C. ","4","","",""
"High transfer dependency","1986","66 and older","Single parent ","","","",""
"High transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","",""
"High transfer dependency","1986","66 and older","Couple + C. GT 16 ","","","",""
"High transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","",""
"Very high transfer dependency","1986","16-34 y.","1-pers.-HH","23","","",""
"Very high transfer dependency","1986","16-34 y.","(Married) couple without C. ","11","","",""
"Very high transfer dependency","1986","16-34 y.","Single parent ","18","","",""
"Very high transfer dependency","1986","16-34 y.","Couple + C. LE 16 ","21","","",""
"Very high transfer dependency","1986","16-34 y.","Couple + C. GT 16 ","8","","",""
"Very high transfer dependency","1986","16-34 y.","Couple + C. LE and GT 16","5","","",""
"Very high transfer dependency","1986","35-65 y.","1-pers.-HH","24","","",""
"Very high transfer dependency","1986","35-65 y.","(Married) couple without C. ","15","","",""
"Very high transfer dependency","1986","35-65 y.","Single parent ","8","","",""
"Very high transfer dependency","1986","35-65 y.","Couple + C. LE 16 ","20","","",""
"Very high transfer dependency","1986","35-65 y.","Couple + C. GT 16 ","10","","",""
"Very high transfer dependency","1986","35-65 y.","Couple + C. LE and GT 16","4","","",""
"Very high transfer dependency","1986","66 and older","1-pers.-HH","2","","",""
"Very high transfer dependency","1986","66 and older","(Married) couple without C. ","","","",""
"Very high transfer dependency","1986","66 and older","Single parent ","","","",""
"Very high transfer dependency","1986","66 and older","Couple + C. LE 16 ","","","",""
"Very high transfer dependency","1986","66 and older","Couple + C. GT 16 ","","","",""
"Very high transfer dependency","1986","66 and older","Couple + C. LE and GT 16","","","",""
"Very low transfer dependency","1987","16-34 y.","1-pers.-HH","266","0.888633668461443","0.853153721787919","0.924113615134968"
"Very low transfer dependency","1987","16-34 y.","(Married) couple without C. ","569","0.958802632669902","0.942859991683511","0.974745273656292"
"Very low transfer dependency","1987","16-34 y.","Single parent ","221","0.832315172875841","0.787250427952237","0.877379917799446"
"Very low transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","1070","0.928701096978339","0.913861008092899","0.94354118586378"
"Very low transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","862","0.98161293070817","0.972761716578705","0.990464144837634"
"Very low transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","484","0.924499052454293","0.90204877507936","0.946949329829226"
"Very low transfer dependency","1987","35-65 y.","1-pers.-HH","390","0.892128593413128","0.862773305426294","0.921483881399963"
"Very low transfer dependency","1987","35-65 y.","(Married) couple without C. ","1203","0.97241799094917","0.963320893305279","0.981515088593062"
"Very low transfer dependency","1987","35-65 y.","Single parent ","199","0.857449208791504","0.812364307921042","0.902534109661966"
"Very low transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","1129","0.937754674342229","0.92414168838878","0.951367660295677"
"Very low transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","1181","0.975521168124894","0.966849914894427","0.984192421355361"
"Very low transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","678","0.938653885419654","0.921198636256491","0.956109134582817"
"Very low transfer dependency","1987","66 and older","1-pers.-HH","371","0.974953280650312","0.959241564664368","0.990664996636257"
"Very low transfer dependency","1987","66 and older","(Married) couple without C. ","503","0.988968262285481","0.979894187777307","0.998042336793656"
"Very low transfer dependency","1987","66 and older","Single parent ","24","","",""
"Very low transfer dependency","1987","66 and older","Couple + C. LE 16 ","1","","",""
"Very low transfer dependency","1987","66 and older","Couple + C. GT 16 ","43","0.972164259712112","0.92355791460532","1.0207706048189"
"Very low transfer dependency","1987","66 and older","Couple + C. LE and GT 16","1","","",""
"Low transfer dependency","1987","16-34 y.","1-pers.-HH","8","","",""
"Low transfer dependency","1987","16-34 y.","(Married) couple without C. ","20","","",""
"Low transfer dependency","1987","16-34 y.","Single parent ","25","","",""
"Low transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","58","0.0498714965498197","0.0373177177286659","0.0624252753709735"
"Low transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","14","","",""
"Low transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","33","0.0558484203858764","0.0363356657315018","0.0753611750402509"
"Low transfer dependency","1987","35-65 y.","1-pers.-HH","10","","",""
"Low transfer dependency","1987","35-65 y.","(Married) couple without C. ","24","","",""
"Low transfer dependency","1987","35-65 y.","Single parent ","23","","",""
"Low transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","40","0.0324052261854412","0.0224280029048057","0.0423824494660766"
"Low transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","23","","",""
"Low transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","30","0.0362793363220128","0.0226778918445213","0.0498807807995044"
"Low transfer dependency","1987","66 and older","1-pers.-HH","7","","",""
"Low transfer dependency","1987","66 and older","(Married) couple without C. ","2","","",""
"Low transfer dependency","1987","66 and older","Single parent ","1","","",""
"Low transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","",""
"Low transfer dependency","1987","66 and older","Couple + C. GT 16 ","1","","",""
"Low transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","",""
"High transfer dependency","1987","16-34 y.","1-pers.-HH","10","","",""
"High transfer dependency","1987","16-34 y.","(Married) couple without C. ","2","","",""
"High transfer dependency","1987","16-34 y.","Single parent ","4","","",""
"High transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","9","","",""
"High transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","7","","",""
"High transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","9","","",""
"High transfer dependency","1987","35-65 y.","1-pers.-HH","4","","",""
"High transfer dependency","1987","35-65 y.","(Married) couple without C. ","10","","",""
"High transfer dependency","1987","35-65 y.","Single parent ","5","","",""
"High transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","17","","",""
"High transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","12","","",""
"High transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","8","","",""
"High transfer dependency","1987","66 and older","1-pers.-HH","","","",""
"High transfer dependency","1987","66 and older","(Married) couple without C. ","4","","",""
"High transfer dependency","1987","66 and older","Single parent ","","","",""
"High transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","",""
"High transfer dependency","1987","66 and older","Couple + C. GT 16 ","","","",""
"High transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","",""
"Very high transfer dependency","1987","16-34 y.","1-pers.-HH","18","","",""
"Very high transfer dependency","1987","16-34 y.","(Married) couple without C. ","6","","",""
"Very high transfer dependency","1987","16-34 y.","Single parent ","14","","",""
"Very high transfer dependency","1987","16-34 y.","Couple + C. LE 16 ","18","","",""
"Very high transfer dependency","1987","16-34 y.","Couple + C. GT 16 ","2","","",""
"Very high transfer dependency","1987","16-34 y.","Couple + C. LE and GT 16","6","","",""
"Very high transfer dependency","1987","35-65 y.","1-pers.-HH","25","","",""
"Very high transfer dependency","1987","35-65 y.","(Married) couple without C. ","8","","",""
"Very high transfer dependency","1987","35-65 y.","Single parent ","4","","",""
"Very high transfer dependency","1987","35-65 y.","Couple + C. LE 16 ","24","","",""
"Very high transfer dependency","1987","35-65 y.","Couple + C. GT 16 ","4","","",""
"Very high transfer dependency","1987","35-65 y.","Couple + C. LE and GT 16","10","","",""
"Very high transfer dependency","1987","66 and older","1-pers.-HH","2","","",""
"Very high transfer dependency","1987","66 and older","(Married) couple without C. ","","","",""
"Very high transfer dependency","1987","66 and older","Single parent ","","","",""
"Very high transfer dependency","1987","66 and older","Couple + C. LE 16 ","","","",""
"Very high transfer dependency","1987","66 and older","Couple + C. GT 16 ","","","",""
"Very high transfer dependency","1987","66 and older","Couple + C. LE and GT 16","","","",""
"Very low transfer dependency","1988","16-34 y.","1-pers.-HH","252","0.909442664645497","0.875647257248232","0.943238072042761"
"Very low transfer dependency","1988","16-34 y.","(Married) couple without C. ","559","0.974472397125088","0.961603243867704","0.987341550382473"
"Very low transfer dependency","1988","16-34 y.","Single parent ","209","0.819997588652749","0.772563204135967","0.867431973169531"
"Very low transfer dependency","1988","16-34 y.","Couple + C. LE 16 ","1026","0.941352393641675","0.927435500492814","0.955269286790537"
"Very low transfer dependency","1988","16-34 y.","Couple + C. GT 16 ","898","0.975104331601044","0.965085255572527","0.98512340762956"
"Very low transfer dependency","1988","16-34 y.","Couple + C. LE and GT 16","410","0.943697647326598","0.92240049477683","0.964994799876367"
"Very low transfer dependency","1988","35-65 y.","1-pers.-HH","368","0.878067479835548","0.846472127372913","0.909662832298183"
"Very low transfer dependency","1988","35-65 y.","(Married) couple without C. ","1165","0.961940842597968","0.9511864702132","0.972695214982736"
"Very low transfer dependency","1988","35-65 y.","Single parent ","204","0.869748312635394","0.826715212273094","0.912781412997694"
"Very low transfer dependency","1988","35-65 y.","Couple + C. LE 16 ","1059","0.946167888032239","0.93295055322508","0.959385222839397"
"Very low transfer dependency","1988","35-65 y.","Couple + C. GT 16 ","1172","0.978177427863573","0.969948603235017","0.986406252492129"
"Very low transfer dependency","1988","35-65 y.","Couple + C. LE and GT 16","593","0.951150814843421","0.934398574807174","0.967903054879668"
"Very low transfer dependency","1988","66 and older","1-pers.-HH","373","0.979311873041058","0.965019422451925","0.993604323630191"
"Very low transfer dependency","1988","66 and older","(Married) couple without C. ","490","0.997313151191379","0.992743721294702","1.00188258108806"
"Very low transfer dependency","1988","66 and older","Single parent ","21","","",""
"Very low transfer dependency","1988","66 and older","Couple + C. LE 16 ","","","",""
"Very low transfer dependency","1988","66 and older","Couple + C. GT 16 ","57","1","1","1"
"Very low transfer dependency","1988","66 and older","Couple + C. LE and GT 16","1","","",""
"Low transfer dependency","1988","16-34 y.","1-pers.-HH","8","","",""
"Low transfer dependency","1988","16-34 y.","(Married) couple without C. ","6","","",""
"Low transfer dependency","1988","16-34 y.","Single parent ","21","","",""
"Low transfer dependency","1988","16-34 y.","Couple + C. LE 16 ","41","0.0351140273866506","0.0242116967311315","0.0460163580421698"
"Low transfer dependency","1988","16-34 y.","Couple + C. GT 16 ","22","","",""
"Low transfer dependency","1988","16-34 y.","Couple + C. LE and GT 16","31","0.0466308492313079","0.0271499480224283","0.0661117504401876"
"Low transfer dependency","1988","35-65 y.","1-pers.-HH","10","","",""
"Low transfer dependency","1988","35-65 y.","(Married) couple without C. ","24","","",""
"Low transfer dependency","1988","35-65 y.","Single parent ","25","","",""
"Low transfer dependency","1988","35-65 y.","Couple + C. LE 16 ","32","0.0239524027830701","0.0149977423635564","0.0329070632025837"
"Low transfer dependency","1988","35-65 y.","Couple + C. GT 16 ","25","","",""
"Low transfer dependency","1988","35-65 y.","Couple + C. LE and GT 16","33","0.0382557272089337","0.0233484760506622","0.0531629783672051"
"Low transfer dependency","1988","66 and older","1-pers.-HH","3","","",""
"Low transfer dependency","1988","66 and older","(Married) couple without C. ","","","",""
"Low transfer dependency","1988","66 and older","Single parent ","2","","",""
"Low transfer dependency","1988","66 and older","Couple + C. LE 16 ","","","",""
"Low transfer dependency","1988","66 and older","Couple + C. GT 16 ","","","",""
