"transab_cat2","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1984","Employed","(2c_voc) vocational maturity certificate","297","0.93929183654098","0.913250057409523","0.965333615672437"
"Very low transfer dependency","1984","Employed","(3a) lower tertiary education","202","0.985538806442248","0.969196622485849","1.00188099039865"
"Very low transfer dependency","1984","Employed","(3b) higher tertiary education","416","0.97338983680617","0.958142521574917","0.988637152037423"
"Low transfer dependency","1984","Not Employed","(0) in school","15","","",""
"Low transfer dependency","1984","Not Employed","(1a) inadequately completed","51","0.138311648380709","0.104005040388742","0.172618256372676"
"Low transfer dependency","1984","Not Employed","(1b) general elementary school","74","0.0330997759955026","0.0240705447035351","0.0421290072874701"
"Low transfer dependency","1984","Not Employed","(1c) basic vocational qualification","56","0.0312164782415005","0.021884461685499","0.0405484947975021"
"Low transfer dependency","1984","Not Employed","(2b) intermediate general qualification","9","","",""
"Low transfer dependency","1984","Not Employed","(2a) intermediate vocational","13","","",""
"Low transfer dependency","1984","Not Employed","(2c_gen) general maturity certificate","12","","",""
"Low transfer dependency","1984","Not Employed","(2c_voc) vocational maturity certificate","3","","",""
"Low transfer dependency","1984","Not Employed","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1984","Not Employed","(3b) higher tertiary education","2","","",""
"Low transfer dependency","1984","Employed","(0) in school","","","",""
"Low transfer dependency","1984","Employed","(1a) inadequately completed","43","0.0817465342652054","0.0616220825512769","0.101870985979134"
"Low transfer dependency","1984","Employed","(1b) general elementary school","61","0.0338801136960576","0.0246440421260861","0.0431161852660291"
"Low transfer dependency","1984","Employed","(1c) basic vocational qualification","95","0.0282458184628889","0.0222284348839671","0.0342632020418108"
"Low transfer dependency","1984","Employed","(2b) intermediate general qualification","6","","",""
"Low transfer dependency","1984","Employed","(2a) intermediate vocational","19","","",""
"Low transfer dependency","1984","Employed","(2c_gen) general maturity certificate","8","","",""
"Low transfer dependency","1984","Employed","(2c_voc) vocational maturity certificate","16","","",""
"Low transfer dependency","1984","Employed","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1984","Employed","(3b) higher tertiary education","10","","",""
"High transfer dependency","1984","Not Employed","(0) in school","1","","",""
"High transfer dependency","1984","Not Employed","(1a) inadequately completed","9","","",""
"High transfer dependency","1984","Not Employed","(1b) general elementary school","26","","",""
"High transfer dependency","1984","Not Employed","(1c) basic vocational qualification","17","","",""
"High transfer dependency","1984","Not Employed","(2b) intermediate general qualification","","","",""
"High transfer dependency","1984","Not Employed","(2a) intermediate vocational","5","","",""
"High transfer dependency","1984","Not Employed","(2c_gen) general maturity certificate","7","","",""
"High transfer dependency","1984","Not Employed","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1984","Not Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Not Employed","(3b) higher tertiary education","3","","",""
"High transfer dependency","1984","Employed","(0) in school","","","",""
"High transfer dependency","1984","Employed","(1a) inadequately completed","8","","",""
"High transfer dependency","1984","Employed","(1b) general elementary school","18","","",""
"High transfer dependency","1984","Employed","(1c) basic vocational qualification","12","","",""
"High transfer dependency","1984","Employed","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1984","Employed","(2a) intermediate vocational","3","","",""
"High transfer dependency","1984","Employed","(2c_gen) general maturity certificate","8","","",""
"High transfer dependency","1984","Employed","(2c_voc) vocational maturity certificate","8","","",""
"High transfer dependency","1984","Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1984","Employed","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1984","Not Employed","(0) in school","2","","",""
"Very high transfer dependency","1984","Not Employed","(1a) inadequately completed","36","0.103676486509349","0.0733832398812256","0.133969733137472"
"Very high transfer dependency","1984","Not Employed","(1b) general elementary school","58","0.0337920508839949","0.0246721525162442","0.0429119492517457"
"Very high transfer dependency","1984","Not Employed","(1c) basic vocational qualification","53","0.0363286902023815","0.0262880937835495","0.0463692866212135"
"Very high transfer dependency","1984","Not Employed","(2b) intermediate general qualification","6","","",""
"Very high transfer dependency","1984","Not Employed","(2a) intermediate vocational","13","","",""
"Very high transfer dependency","1984","Not Employed","(2c_gen) general maturity certificate","12","","",""
"Very high transfer dependency","1984","Not Employed","(2c_voc) vocational maturity certificate","10","","",""
"Very high transfer dependency","1984","Not Employed","(3a) lower tertiary education","5","","",""
"Very high transfer dependency","1984","Not Employed","(3b) higher tertiary education","2","","",""
"Very high transfer dependency","1984","Employed","(0) in school","","","",""
"Very high transfer dependency","1984","Employed","(1a) inadequately completed","1","","",""
"Very high transfer dependency","1984","Employed","(1b) general elementary school","4","","",""
"Very high transfer dependency","1984","Employed","(1c) basic vocational qualification","4","","",""
"Very high transfer dependency","1984","Employed","(2b) intermediate general qualification","","","",""
"Very high transfer dependency","1984","Employed","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1984","Employed","(2c_gen) general maturity certificate","5","","",""
"Very high transfer dependency","1984","Employed","(2c_voc) vocational maturity certificate","2","","",""
"Very high transfer dependency","1984","Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1984","Employed","(3b) higher tertiary education","1","","",""
"Very low transfer dependency","1985","Not Employed","(0) in school","166","0.92635374153349","0.888196619381593","0.964510863685388"
"Very low transfer dependency","1985","Not Employed","(1a) inadequately completed","281","0.768236993753519","0.724156502560586","0.812317484946451"
"Very low transfer dependency","1985","Not Employed","(1b) general elementary school","1174","0.915031134716601","0.899902815485777","0.930159453947424"
"Very low transfer dependency","1985","Not Employed","(1c) basic vocational qualification","1105","0.924416274487081","0.909571541667214","0.939261007306948"
"Very low transfer dependency","1985","Not Employed","(2b) intermediate general qualification","217","0.942085596468609","0.912410093510206","0.971761099427012"
"Very low transfer dependency","1985","Not Employed","(2a) intermediate vocational","364","0.948672242443811","0.926715572655466","0.970628912232156"
"Very low transfer dependency","1985","Not Employed","(2c_gen) general maturity certificate","167","0.86777998058401","0.82023724063364","0.91532272053438"
"Very low transfer dependency","1985","Not Employed","(2c_voc) vocational maturity certificate","102","0.882961978780781","0.825204384329896","0.940719573231666"
"Very low transfer dependency","1985","Not Employed","(3a) lower tertiary education","50","0.890202716329409","0.809041056762463","0.971364375896354"
"Very low transfer dependency","1985","Not Employed","(3b) higher tertiary education","89","0.988794341993473","0.967401017185535","1.01018766680141"
"Very low transfer dependency","1985","Employed","(0) in school","7","","",""
"Very low transfer dependency","1985","Employed","(1a) inadequately completed","532","0.954315553468911","0.936928603935347","0.971702503002474"
"Very low transfer dependency","1985","Employed","(1b) general elementary school","1251","0.952049861953158","0.940510548207921","0.963589175698394"
"Very low transfer dependency","1985","Employed","(1c) basic vocational qualification","2530","0.969544312175892","0.96295187689517","0.976136747456615"
"Very low transfer dependency","1985","Employed","(2b) intermediate general qualification","226","0.958239455983251","0.932717603863285","0.983761308103217"
"Very low transfer dependency","1985","Employed","(2a) intermediate vocational","939","0.986723740976503","0.979457040023237","0.99399044192977"
"Very low transfer dependency","1985","Employed","(2c_gen) general maturity certificate","158","0.908225535453254","0.86569319891108","0.950757871995429"
"Very low transfer dependency","1985","Employed","(2c_voc) vocational maturity certificate","275","0.941964914915927","0.915284058891532","0.968645770940322"
"Very low transfer dependency","1985","Employed","(3a) lower tertiary education","189","0.988163869269691","0.97282650369649","1.00350123484289"
"Very low transfer dependency","1985","Employed","(3b) higher tertiary education","414","0.992842338997237","0.984751272491904","1.00093340550257"
"Low transfer dependency","1985","Not Employed","(0) in school","8","","",""
"Low transfer dependency","1985","Not Employed","(1a) inadequately completed","34","0.113555278706345","0.0804111770636401","0.146699380349049"
"Low transfer dependency","1985","Not Employed","(1b) general elementary school","45","0.0272414618048521","0.0184094312027765","0.0360734924069277"
"Low transfer dependency","1985","Not Employed","(1c) basic vocational qualification","50","0.0290276824934823","0.0195993681620254","0.0384559968249392"
"Low transfer dependency","1985","Not Employed","(2b) intermediate general qualification","9","","",""
"Low transfer dependency","1985","Not Employed","(2a) intermediate vocational","8","","",""
"Low transfer dependency","1985","Not Employed","(2c_gen) general maturity certificate","7","","",""
"Low transfer dependency","1985","Not Employed","(2c_voc) vocational maturity certificate","6","","",""
"Low transfer dependency","1985","Not Employed","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1985","Not Employed","(3b) higher tertiary education","3","","",""
"Low transfer dependency","1985","Employed","(0) in school","","","",""
"Low transfer dependency","1985","Employed","(1a) inadequately completed","20","","",""
"Low transfer dependency","1985","Employed","(1b) general elementary school","55","0.0392768970444898","0.0287857516478761","0.0497680424411036"
"Low transfer dependency","1985","Employed","(1c) basic vocational qualification","58","0.0210466305505844","0.0155398200876358","0.026553441013533"
"Low transfer dependency","1985","Employed","(2b) intermediate general qualification","6","","",""
"Low transfer dependency","1985","Employed","(2a) intermediate vocational","11","","",""
"Low transfer dependency","1985","Employed","(2c_gen) general maturity certificate","6","","",""
"Low transfer dependency","1985","Employed","(2c_voc) vocational maturity certificate","13","","",""
"Low transfer dependency","1985","Employed","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1985","Employed","(3b) higher tertiary education","3","","",""
"High transfer dependency","1985","Not Employed","(0) in school","2","","",""
"High transfer dependency","1985","Not Employed","(1a) inadequately completed","9","","",""
"High transfer dependency","1985","Not Employed","(1b) general elementary school","25","","",""
"High transfer dependency","1985","Not Employed","(1c) basic vocational qualification","19","","",""
"High transfer dependency","1985","Not Employed","(2b) intermediate general qualification","6","","",""
"High transfer dependency","1985","Not Employed","(2a) intermediate vocational","1","","",""
"High transfer dependency","1985","Not Employed","(2c_gen) general maturity certificate","10","","",""
"High transfer dependency","1985","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"High transfer dependency","1985","Not Employed","(3a) lower tertiary education","2","","",""
"High transfer dependency","1985","Not Employed","(3b) higher tertiary education","1","","",""
"High transfer dependency","1985","Employed","(0) in school","","","",""
"High transfer dependency","1985","Employed","(1a) inadequately completed","2","","",""
"High transfer dependency","1985","Employed","(1b) general elementary school","10","","",""
"High transfer dependency","1985","Employed","(1c) basic vocational qualification","18","","",""
"High transfer dependency","1985","Employed","(2b) intermediate general qualification","3","","",""
"High transfer dependency","1985","Employed","(2a) intermediate vocational","3","","",""
"High transfer dependency","1985","Employed","(2c_gen) general maturity certificate","10","","",""
"High transfer dependency","1985","Employed","(2c_voc) vocational maturity certificate","7","","",""
"High transfer dependency","1985","Employed","(3a) lower tertiary education","1","","",""
"High transfer dependency","1985","Employed","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1985","Not Employed","(0) in school","4","","",""
"Very high transfer dependency","1985","Not Employed","(1a) inadequately completed","28","","",""
"Very high transfer dependency","1985","Not Employed","(1b) general elementary school","61","0.0416131397668632","0.0307781500585986","0.0524481294751279"
"Very high transfer dependency","1985","Not Employed","(1c) basic vocational qualification","44","0.0341322012937918","0.0239353651719496","0.0443290374156339"
"Very high transfer dependency","1985","Not Employed","(2b) intermediate general qualification","6","","",""
"Very high transfer dependency","1985","Not Employed","(2a) intermediate vocational","15","","",""
"Very high transfer dependency","1985","Not Employed","(2c_gen) general maturity certificate","11","","",""
"Very high transfer dependency","1985","Not Employed","(2c_voc) vocational maturity certificate","7","","",""
"Very high transfer dependency","1985","Not Employed","(3a) lower tertiary education","2","","",""
"Very high transfer dependency","1985","Not Employed","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1985","Employed","(0) in school","","","",""
"Very high transfer dependency","1985","Employed","(1a) inadequately completed","","","",""
"Very high transfer dependency","1985","Employed","(1b) general elementary school","1","","",""
"Very high transfer dependency","1985","Employed","(1c) basic vocational qualification","4","","",""
"Very high transfer dependency","1985","Employed","(2b) intermediate general qualification","1","","",""
"Very high transfer dependency","1985","Employed","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1985","Employed","(2c_gen) general maturity certificate","3","","",""
"Very high transfer dependency","1985","Employed","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1985","Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1985","Employed","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1986","Not Employed","(0) in school","175","0.950451344549448","0.91900983218285","0.981892856916045"
"Very low transfer dependency","1986","Not Employed","(1a) inadequately completed","263","0.778829838856913","0.734252870157975","0.823406807555851"
"Very low transfer dependency","1986","Not Employed","(1b) general elementary school","1062","0.919408733281355","0.903824602342207","0.934992864220503"
"Very low transfer dependency","1986","Not Employed","(1c) basic vocational qualification","1058","0.936395540114473","0.922216383065862","0.950574697163084"
"Very low transfer dependency","1986","Not Employed","(2b) intermediate general qualification","192","0.934001917037158","0.900341887542506","0.96766194653181"
"Very low transfer dependency","1986","Not Employed","(2a) intermediate vocational","354","0.942505259545321","0.919007126088857","0.966003393001784"
"Very low transfer dependency","1986","Not Employed","(2c_gen) general maturity certificate","176","0.860363234852164","0.812682725779195","0.908043743925134"
"Very low transfer dependency","1986","Not Employed","(2c_voc) vocational maturity certificate","96","0.857467120633489","0.79357233194335","0.921361909323628"
"Very low transfer dependency","1986","Not Employed","(3a) lower tertiary education","52","0.893618504954564","0.813576163457824","0.973660846451304"
"Very low transfer dependency","1986","Not Employed","(3b) higher tertiary education","78","0.945144837373836","0.896739130690152","0.993550544057521"
"Very low transfer dependency","1986","Employed","(0) in school","5","","",""
"Very low transfer dependency","1986","Employed","(1a) inadequately completed","482","0.944489761544688","0.924694934786598","0.964284588302779"
"Very low transfer dependency","1986","Employed","(1b) general elementary school","1239","0.955512714081575","0.944279160956448","0.966746267206702"
"Very low transfer dependency","1986","Employed","(1c) basic vocational qualification","2399","0.962977300652502","0.95554900351404","0.970405597790965"
"Very low transfer dependency","1986","Employed","(2b) intermediate general qualification","245","0.967516734676034","0.945715036888492","0.989318432463577"
"Very low transfer dependency","1986","Employed","(2a) intermediate vocational","910","0.978238332492833","0.968861092299907","0.987615572685759"
"Very low transfer dependency","1986","Employed","(2c_gen) general maturity certificate","185","0.934195966690478","0.899833973778242","0.968557959602713"
"Very low transfer dependency","1986","Employed","(2c_voc) vocational maturity certificate","278","0.944591236166432","0.918528895212177","0.970653577120687"
"Very low transfer dependency","1986","Employed","(3a) lower tertiary education","184","0.966216074105075","0.940458237974268","0.991973910235881"
"Very low transfer dependency","1986","Employed","(3b) higher tertiary education","412","0.987390941983667","0.976668657725474","0.99811322624186"
"Low transfer dependency","1986","Not Employed","(0) in school","3","","",""
"Low transfer dependency","1986","Not Employed","(1a) inadequately completed","32","0.0809869769478765","0.0516851701058192","0.110288783789934"
"Low transfer dependency","1986","Not Employed","(1b) general elementary school","37","0.0258562641307657","0.0167701394058322","0.0349423888556991"
"Low transfer dependency","1986","Not Employed","(1c) basic vocational qualification","28","","",""
"Low transfer dependency","1986","Not Employed","(2b) intermediate general qualification","11","","",""
"Low transfer dependency","1986","Not Employed","(2a) intermediate vocational","12","","",""
"Low transfer dependency","1986","Not Employed","(2c_gen) general maturity certificate","9","","",""
"Low transfer dependency","1986","Not Employed","(2c_voc) vocational maturity certificate","8","","",""
"Low transfer dependency","1986","Not Employed","(3a) lower tertiary education","1","","",""
"Low transfer dependency","1986","Not Employed","(3b) higher tertiary education","1","","",""
"Low transfer dependency","1986","Employed","(0) in school","","","",""
"Low transfer dependency","1986","Employed","(1a) inadequately completed","26","","",""
"Low transfer dependency","1986","Employed","(1b) general elementary school","37","0.0281076282880221","0.0191022462796135","0.0371130102964307"
"Low transfer dependency","1986","Employed","(1c) basic vocational qualification","66","0.0277099913303175","0.0212525077751971","0.0341674748854379"
"Low transfer dependency","1986","Employed","(2b) intermediate general qualification","5","","",""
"Low transfer dependency","1986","Employed","(2a) intermediate vocational","17","","",""
"Low transfer dependency","1986","Employed","(2c_gen) general maturity certificate","6","","",""
"Low transfer dependency","1986","Employed","(2c_voc) vocational maturity certificate","12","","",""
"Low transfer dependency","1986","Employed","(3a) lower tertiary education","5","","",""
"Low transfer dependency","1986","Employed","(3b) higher tertiary education","3","","",""
"High transfer dependency","1986","Not Employed","(0) in school","2","","",""
"High transfer dependency","1986","Not Employed","(1a) inadequately completed","15","","",""
"High transfer dependency","1986","Not Employed","(1b) general elementary school","22","","",""
"High transfer dependency","1986","Not Employed","(1c) basic vocational qualification","16","","",""
"High transfer dependency","1986","Not Employed","(2b) intermediate general qualification","3","","",""
"High transfer dependency","1986","Not Employed","(2a) intermediate vocational","3","","",""
"High transfer dependency","1986","Not Employed","(2c_gen) general maturity certificate","4","","",""
"High transfer dependency","1986","Not Employed","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1986","Not Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1986","Not Employed","(3b) higher tertiary education","2","","",""
"High transfer dependency","1986","Employed","(0) in school","","","",""
"High transfer dependency","1986","Employed","(1a) inadequately completed","4","","",""
"High transfer dependency","1986","Employed","(1b) general elementary school","15","","",""
"High transfer dependency","1986","Employed","(1c) basic vocational qualification","16","","",""
"High transfer dependency","1986","Employed","(2b) intermediate general qualification","3","","",""
"High transfer dependency","1986","Employed","(2a) intermediate vocational","3","","",""
"High transfer dependency","1986","Employed","(2c_gen) general maturity certificate","4","","",""
"High transfer dependency","1986","Employed","(2c_voc) vocational maturity certificate","5","","",""
"High transfer dependency","1986","Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1986","Employed","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1986","Not Employed","(0) in school","3","","",""
"Very high transfer dependency","1986","Not Employed","(1a) inadequately completed","23","","",""
"Very high transfer dependency","1986","Not Employed","(1b) general elementary school","51","0.0390406205889019","0.0279515497840624","0.0501296913937413"
"Very high transfer dependency","1986","Not Employed","(1c) basic vocational qualification","36","0.0293974486301791","0.0195833030846902","0.0392115941756681"
"Very high transfer dependency","1986","Not Employed","(2b) intermediate general qualification","3","","",""
"Very high transfer dependency","1986","Not Employed","(2a) intermediate vocational","8","","",""
"Very high transfer dependency","1986","Not Employed","(2c_gen) general maturity certificate","14","","",""
"Very high transfer dependency","1986","Not Employed","(2c_voc) vocational maturity certificate","8","","",""
"Very high transfer dependency","1986","Not Employed","(3a) lower tertiary education","4","","",""
"Very high transfer dependency","1986","Not Employed","(3b) higher tertiary education","4","","",""
"Very high transfer dependency","1986","Employed","(0) in school","","","",""
"Very high transfer dependency","1986","Employed","(1a) inadequately completed","2","","",""
"Very high transfer dependency","1986","Employed","(1b) general elementary school","3","","",""
"Very high transfer dependency","1986","Employed","(1c) basic vocational qualification","1","","",""
"Very high transfer dependency","1986","Employed","(2b) intermediate general qualification","1","","",""
"Very high transfer dependency","1986","Employed","(2a) intermediate vocational","","","",""
"Very high transfer dependency","1986","Employed","(2c_gen) general maturity certificate","5","","",""
"Very high transfer dependency","1986","Employed","(2c_voc) vocational maturity certificate","1","","",""
"Very high transfer dependency","1986","Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1986","Employed","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1987","Not Employed","(0) in school","164","0.936097741943043","0.899964206366233","0.972231277519853"
"Very low transfer dependency","1987","Not Employed","(1a) inadequately completed","249","0.80248120880267","0.757800524418357","0.847161893186983"
"Very low transfer dependency","1987","Not Employed","(1b) general elementary school","1030","0.925585826530069","0.910310948793559","0.94086070426658"
"Very low transfer dependency","1987","Not Employed","(1c) basic vocational qualification","1029","0.91904225790216","0.903138278545797","0.934946237258522"
"Very low transfer dependency","1987","Not Employed","(2b) intermediate general qualification","171","0.942462962484338","0.908907121988547","0.976018802980129"
"Very low transfer dependency","1987","Not Employed","(2a) intermediate vocational","352","0.955327764895817","0.934334902350212","0.976320627441423"
"Very low transfer dependency","1987","Not Employed","(2c_gen) general maturity certificate","157","0.892146401856035","0.846448438915078","0.937844364796993"
"Very low transfer dependency","1987","Not Employed","(2c_voc) vocational maturity certificate","97","0.907499955649831","0.852857464575216","0.962142446724446"
"Very low transfer dependency","1987","Not Employed","(3a) lower tertiary education","56","0.896153995823355","0.820219613570225","0.972088378076485"
"Very low transfer dependency","1987","Not Employed","(3b) higher tertiary education","73","0.894398386617805","0.827053616033996","0.961743157201615"
"Very low transfer dependency","1987","Employed","(0) in school","13","","",""
"Very low transfer dependency","1987","Employed","(1a) inadequately completed","489","0.945254232648058","0.92558822876261","0.964920236533506"
"Very low transfer dependency","1987","Employed","(1b) general elementary school","1239","0.940162968706614","0.927323905554021","0.953002031859207"
"Very low transfer dependency","1987","Employed","(1c) basic vocational qualification","2388","0.971534021010182","0.964953028662902","0.978115013357461"
"Very low transfer dependency","1987","Employed","(2b) intermediate general qualification","238","0.959805020022751","0.935359478208213","0.984250561837289"
"Very low transfer dependency","1987","Employed","(2a) intermediate vocational","936","0.979454905958522","0.970472108112431","0.988437703804612"
"Very low transfer dependency","1987","Employed","(2c_gen) general maturity certificate","189","0.933118304768586","0.898752852582218","0.967483756954955"
"Very low transfer dependency","1987","Employed","(2c_voc) vocational maturity certificate","285","0.963381396089556","0.942020479439147","0.984742312739964"
"Very low transfer dependency","1987","Employed","(3a) lower tertiary education","184","0.988610139391059","0.973360367282654","1.00385991149946"
"Very low transfer dependency","1987","Employed","(3b) higher tertiary education","405","0.973234205314962","0.957705945250816","0.988762465379107"
"Low transfer dependency","1987","Not Employed","(0) in school","8","","",""
"Low transfer dependency","1987","Not Employed","(1a) inadequately completed","20","","",""
"Low transfer dependency","1987","Not Employed","(1b) general elementary school","49","0.0354351859351171","0.02467487974889","0.0461954921213442"
"Low transfer dependency","1987","Not Employed","(1c) basic vocational qualification","48","0.0359285320953489","0.0250771958441763","0.0467798683465216"
"Low transfer dependency","1987","Not Employed","(2b) intermediate general qualification","8","","",""
"Low transfer dependency","1987","Not Employed","(2a) intermediate vocational","11","","",""
"Low transfer dependency","1987","Not Employed","(2c_gen) general maturity certificate","8","","",""
"Low transfer dependency","1987","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"Low transfer dependency","1987","Not Employed","(3a) lower tertiary education","2","","",""
"Low transfer dependency","1987","Not Employed","(3b) higher tertiary education","3","","",""
"Low transfer dependency","1987","Employed","(0) in school","","","",""
"Low transfer dependency","1987","Employed","(1a) inadequately completed","18","","",""
"Low transfer dependency","1987","Employed","(1b) general elementary school","58","0.0431962511849898","0.0321914751532722","0.0542010272167073"
"Low transfer dependency","1987","Employed","(1c) basic vocational qualification","50","0.0214565055659301","0.0157223577941594","0.0271906533377008"
"Low transfer dependency","1987","Employed","(2b) intermediate general qualification","4","","",""
"Low transfer dependency","1987","Employed","(2a) intermediate vocational","15","","",""
"Low transfer dependency","1987","Employed","(2c_gen) general maturity certificate","7","","",""
"Low transfer dependency","1987","Employed","(2c_voc) vocational maturity certificate","7","","",""
"Low transfer dependency","1987","Employed","(3a) lower tertiary education","2","","",""
"Low transfer dependency","1987","Employed","(3b) higher tertiary education","9","","",""
"High transfer dependency","1987","Not Employed","(0) in school","3","","",""
"High transfer dependency","1987","Not Employed","(1a) inadequately completed","15","","",""
"High transfer dependency","1987","Not Employed","(1b) general elementary school","16","","",""
"High transfer dependency","1987","Not Employed","(1c) basic vocational qualification","16","","",""
"High transfer dependency","1987","Not Employed","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1987","Not Employed","(2a) intermediate vocational","3","","",""
"High transfer dependency","1987","Not Employed","(2c_gen) general maturity certificate","1","","",""
"High transfer dependency","1987","Not Employed","(2c_voc) vocational maturity certificate","3","","",""
"High transfer dependency","1987","Not Employed","(3a) lower tertiary education","2","","",""
"High transfer dependency","1987","Not Employed","(3b) higher tertiary education","","","",""
"High transfer dependency","1987","Employed","(0) in school","","","",""
"High transfer dependency","1987","Employed","(1a) inadequately completed","6","","",""
"High transfer dependency","1987","Employed","(1b) general elementary school","11","","",""
"High transfer dependency","1987","Employed","(1c) basic vocational qualification","13","","",""
"High transfer dependency","1987","Employed","(2b) intermediate general qualification","2","","",""
"High transfer dependency","1987","Employed","(2a) intermediate vocational","6","","",""
"High transfer dependency","1987","Employed","(2c_gen) general maturity certificate","6","","",""
"High transfer dependency","1987","Employed","(2c_voc) vocational maturity certificate","5","","",""
"High transfer dependency","1987","Employed","(3a) lower tertiary education","","","",""
"High transfer dependency","1987","Employed","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1987","Not Employed","(0) in school","1","","",""
"Very high transfer dependency","1987","Not Employed","(1a) inadequately completed","21","","",""
"Very high transfer dependency","1987","Not Employed","(1b) general elementary school","39","0.0297639941020404","0.0198733206766719","0.039654667527409"
"Very high transfer dependency","1987","Not Employed","(1c) basic vocational qualification","37","0.032697665190092","0.022328390998049","0.043066939382135"
"Very high transfer dependency","1987","Not Employed","(2b) intermediate general qualification","4","","",""
"Very high transfer dependency","1987","Not Employed","(2a) intermediate vocational","6","","",""
"Very high transfer dependency","1987","Not Employed","(2c_gen) general maturity certificate","11","","",""
"Very high transfer dependency","1987","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"Very high transfer dependency","1987","Not Employed","(3a) lower tertiary education","2","","",""
"Very high transfer dependency","1987","Not Employed","(3b) higher tertiary education","4","","",""
"Very high transfer dependency","1987","Employed","(0) in school","","","",""
"Very high transfer dependency","1987","Employed","(1a) inadequately completed","1","","",""
"Very high transfer dependency","1987","Employed","(1b) general elementary school","3","","",""
"Very high transfer dependency","1987","Employed","(1c) basic vocational qualification","2","","",""
"Very high transfer dependency","1987","Employed","(2b) intermediate general qualification","4","","",""
"Very high transfer dependency","1987","Employed","(2a) intermediate vocational","1","","",""
"Very high transfer dependency","1987","Employed","(2c_gen) general maturity certificate","1","","",""
"Very high transfer dependency","1987","Employed","(2c_voc) vocational maturity certificate","","","",""
"Very high transfer dependency","1987","Employed","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1987","Employed","(3b) higher tertiary education","1","","",""
"Very low transfer dependency","1988","Not Employed","(0) in school","144","0.917011021479781","0.873582031498317","0.960440011461246"
