"transab_cat2","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very high transfer dependency","1986","indirect migration background","Urban Area","1","","",""
"Very high transfer dependency","1986","indirect migration background","Rural Area","","","",""
"Very low transfer dependency","1987","no migration background","Urban Area","5442","0.952642635301051","0.947131984068865","0.958153286533238"
"Very low transfer dependency","1987","no migration background","Rural Area","1666","0.941848225287135","0.93093320141317","0.952763249161101"
"Very low transfer dependency","1987","direct migration background","Urban Area","2281","0.928857846596297","0.918718133273066","0.938997559919528"
"Very low transfer dependency","1987","direct migration background","Rural Area","327","0.891394844143223","0.859342921475776","0.923446766810669"
"Very low transfer dependency","1987","indirect migration background","Urban Area","143","0.938066333614421","0.900120647316319","0.976012019912522"
"Very low transfer dependency","1987","indirect migration background","Rural Area","21","","",""
"Low transfer dependency","1987","no migration background","Urban Area","159","0.0269048991644506","0.0227069470325821","0.0311028512963192"
"Low transfer dependency","1987","no migration background","Rural Area","55","0.0311818679393236","0.0230755257119646","0.0392882101666827"
"Low transfer dependency","1987","direct migration background","Urban Area","94","0.0329733817328843","0.025929881949682","0.0400168815160866"
"Low transfer dependency","1987","direct migration background","Rural Area","24","","",""
"Low transfer dependency","1987","indirect migration background","Urban Area","10","","",""
"Low transfer dependency","1987","indirect migration background","Rural Area","","","",""
"High transfer dependency","1987","no migration background","Urban Area","40","0.00704967975326026","0.00487901572543836","0.00922034378108215"
"High transfer dependency","1987","no migration background","Rural Area","20","","",""
"High transfer dependency","1987","direct migration background","Urban Area","49","0.0162652673696126","0.0112757659330658","0.0212547688061594"
"High transfer dependency","1987","direct migration background","Rural Area","4","","",""
"High transfer dependency","1987","indirect migration background","Urban Area","","","",""
"High transfer dependency","1987","indirect migration background","Rural Area","","","",""
"Very high transfer dependency","1987","no migration background","Urban Area","66","0.0134027857812378","0.0104193847514935","0.016386186810982"
"Very high transfer dependency","1987","no migration background","Rural Area","25","","",""
"Very high transfer dependency","1987","direct migration background","Urban Area","45","0.0219035043012062","0.0161300570972703","0.0276769515051422"
"Very high transfer dependency","1987","direct migration background","Rural Area","7","","",""
"Very high transfer dependency","1987","indirect migration background","Urban Area","2","","",""
"Very high transfer dependency","1987","indirect migration background","Rural Area","","","",""
"Very low transfer dependency","1988","no migration background","Urban Area","5215","0.957678741603239","0.95232302755142","0.963034455655059"
"Very low transfer dependency","1988","no migration background","Rural Area","1572","0.944395802271848","0.933372166370707","0.955419438172989"
"Very low transfer dependency","1988","direct migration background","Urban Area","2142","0.926637001036095","0.916057039746978","0.937216962325212"
"Very low transfer dependency","1988","direct migration background","Rural Area","300","0.897558166478041","0.864940790329357","0.930175542626725"
"Very low transfer dependency","1988","indirect migration background","Urban Area","178","0.929667468709011","0.893685148238177","0.965649789179845"
"Very low transfer dependency","1988","indirect migration background","Rural Area","24","","",""
"Low transfer dependency","1988","no migration background","Urban Area","111","0.0215500000292604","0.0176870318754255","0.0254129681830952"
"Low transfer dependency","1988","no migration background","Rural Area","46","0.0275656565965432","0.0196896084564276","0.0354417047366587"
"Low transfer dependency","1988","direct migration background","Urban Area","115","0.0391210110520032","0.0312536314533552","0.0469883906506512"
"Low transfer dependency","1988","direct migration background","Rural Area","21","","",""
"Low transfer dependency","1988","indirect migration background","Urban Area","8","","",""
"Low transfer dependency","1988","indirect migration background","Rural Area","2","","",""
"High transfer dependency","1988","no migration background","Urban Area","39","0.00711167896429488","0.00487623162085372","0.00934712630773604"
"High transfer dependency","1988","no migration background","Rural Area","14","","",""
"High transfer dependency","1988","direct migration background","Urban Area","23","","",""
"High transfer dependency","1988","direct migration background","Rural Area","5","","",""
"High transfer dependency","1988","indirect migration background","Urban Area","2","","",""
"High transfer dependency","1988","indirect migration background","Rural Area","2","","",""
"Very high transfer dependency","1988","no migration background","Urban Area","63","0.0136595794032055","0.010571700569559","0.0167474582368521"
"Very high transfer dependency","1988","no migration background","Rural Area","28","","",""
"Very high transfer dependency","1988","direct migration background","Urban Area","53","0.0274427775697541","0.0208135590326579","0.0340719961068503"
"Very high transfer dependency","1988","direct migration background","Rural Area","6","","",""
"Very high transfer dependency","1988","indirect migration background","Urban Area","6","","",""
"Very high transfer dependency","1988","indirect migration background","Rural Area","","","",""
"Very low transfer dependency","1989","no migration background","Urban Area","5033","0.955853019320846","0.950298466280596","0.961407572361096"
"Very low transfer dependency","1989","no migration background","Rural Area","1495","0.947158626156025","0.936095995622373","0.958221256689676"
"Very low transfer dependency","1989","direct migration background","Urban Area","2081","0.921534207504505","0.910498978209335","0.932569436799674"
"Very low transfer dependency","1989","direct migration background","Rural Area","282","0.918491644769705","0.887884869618275","0.949098419921134"
"Very low transfer dependency","1989","indirect migration background","Urban Area","210","0.920399918663388","0.885032621332227","0.955767215994548"
"Very low transfer dependency","1989","indirect migration background","Rural Area","29","","",""
"Low transfer dependency","1989","no migration background","Urban Area","117","0.0202233752272226","0.0164171593746422","0.024029591079803"
"Low transfer dependency","1989","no migration background","Rural Area","32","0.0188655544213771","0.0121379717003643","0.0255931371423898"
"Low transfer dependency","1989","direct migration background","Urban Area","114","0.0414467517026573","0.0332670245062056","0.0496264788991091"
"Low transfer dependency","1989","direct migration background","Rural Area","15","","",""
"Low transfer dependency","1989","indirect migration background","Urban Area","10","","",""
"Low transfer dependency","1989","indirect migration background","Rural Area","2","","",""
"High transfer dependency","1989","no migration background","Urban Area","40","0.00958104856067409","0.00694702868079381","0.0122150684405544"
"High transfer dependency","1989","no migration background","Rural Area","18","","",""
"High transfer dependency","1989","direct migration background","Urban Area","42","0.0157463930710145","0.0106374683902984","0.0208553177517307"
"High transfer dependency","1989","direct migration background","Rural Area","","","",""
"High transfer dependency","1989","indirect migration background","Urban Area","2","","",""
"High transfer dependency","1989","indirect migration background","Rural Area","","","",""
"Very high transfer dependency","1989","no migration background","Urban Area","64","0.0143425568912573","0.0111275689352424","0.0175575448472723"
"Very high transfer dependency","1989","no migration background","Rural Area","26","","",""
"Very high transfer dependency","1989","direct migration background","Urban Area","44","0.0212726477218234","0.0153512111004325","0.0271940843432143"
"Very high transfer dependency","1989","direct migration background","Rural Area","10","","",""
"Very high transfer dependency","1989","indirect migration background","Urban Area","3","","",""
"Very high transfer dependency","1989","indirect migration background","Rural Area","1","","",""
"Very low transfer dependency","1990","no migration background","Urban Area","4913","0.96300810879655","0.957821986196766","0.968194231396335"
"Very low transfer dependency","1990","no migration background","Rural Area","1488","0.952427526534508","0.941857935102641","0.962997117966375"
"Very low transfer dependency","1990","direct migration background","Urban Area","2028","0.924425792781221","0.913405965658696","0.935445619903746"
"Very low transfer dependency","1990","direct migration background","Rural Area","298","0.931541875038484","0.903742684454788","0.95934106562218"
"Very low transfer dependency","1990","indirect migration background","Urban Area","239","0.954562727442557","0.929001225751409","0.980124229133706"
"Very low transfer dependency","1990","indirect migration background","Rural Area","36","0.96702195847407","0.909480902562404","1.02456301438574"
"Low transfer dependency","1990","no migration background","Urban Area","90","0.0169702725527188","0.0134213029949422","0.0205192421104953"
"Low transfer dependency","1990","no migration background","Rural Area","45","0.0288564358881016","0.0205440168698332","0.03716885490637"
"Low transfer dependency","1990","direct migration background","Urban Area","88","0.0322952670802041","0.0249248370613184","0.0396656970990899"
"Low transfer dependency","1990","direct migration background","Rural Area","11","","",""
"Low transfer dependency","1990","indirect migration background","Urban Area","12","","",""
"Low transfer dependency","1990","indirect migration background","Rural Area","1","","",""
"High transfer dependency","1990","no migration background","Urban Area","43","0.00967673525252703","0.0069868889810857","0.0123665815239684"
"High transfer dependency","1990","no migration background","Rural Area","12","","",""
"High transfer dependency","1990","direct migration background","Urban Area","43","0.0152948036075641","0.010178255976139","0.0204113512389893"
"High transfer dependency","1990","direct migration background","Rural Area","1","","",""
"High transfer dependency","1990","indirect migration background","Urban Area","","","",""
"High transfer dependency","1990","indirect migration background","Rural Area","","","",""
"Very high transfer dependency","1990","no migration background","Urban Area","42","0.0103448833982038","0.00756466267073894","0.0131251041256686"
"Very high transfer dependency","1990","no migration background","Rural Area","13","","",""
"Very high transfer dependency","1990","direct migration background","Urban Area","51","0.0279841365310107","0.0211079985006181","0.0348602745614033"
"Very high transfer dependency","1990","direct migration background","Rural Area","7","","",""
"Very high transfer dependency","1990","indirect migration background","Urban Area","4","","",""
"Very high transfer dependency","1990","indirect migration background","Rural Area","","","",""
"Very low transfer dependency","1991","no migration background","Urban Area","4824","0.960162622084905","0.954745394692665","0.965579849477146"
"Very low transfer dependency","1991","no migration background","Rural Area","1509","0.952910729023694","0.942482260141638","0.963339197905749"
"Very low transfer dependency","1991","direct migration background","Urban Area","2006","0.925297306740353","0.914255810415996","0.93633880306471"
"Very low transfer dependency","1991","direct migration background","Rural Area","290","0.935601120663799","0.908407912711107","0.962794328616491"
"Very low transfer dependency","1991","indirect migration background","Urban Area","284","0.933805376318206","0.905994258362096","0.961616494274316"
"Very low transfer dependency","1991","indirect migration background","Rural Area","37","0.843117202292694","0.733126725718784","0.953107678866604"
"Low transfer dependency","1991","no migration background","Urban Area","106","0.0208900359795278","0.0169286731293876","0.024851398829668"
"Low transfer dependency","1991","no migration background","Rural Area","40","0.022263087139908","0.0149997340533955","0.0295264402264204"
"Low transfer dependency","1991","direct migration background","Urban Area","105","0.0488887256726328","0.0398326680594231","0.0579447832858425"
"Low transfer dependency","1991","direct migration background","Rural Area","13","","",""
"Low transfer dependency","1991","indirect migration background","Urban Area","13","","",""
"Low transfer dependency","1991","indirect migration background","Rural Area","3","","",""
"High transfer dependency","1991","no migration background","Urban Area","36","0.00750618684147016","0.00511544388641836","0.00989692979652196"
"High transfer dependency","1991","no migration background","Rural Area","20","","",""
"High transfer dependency","1991","direct migration background","Urban Area","32","0.0108573233676786","0.00650511169237078","0.0152095350429863"
"High transfer dependency","1991","direct migration background","Rural Area","1","","",""
"High transfer dependency","1991","indirect migration background","Urban Area","2","","",""
"High transfer dependency","1991","indirect migration background","Rural Area","","","",""
"Very high transfer dependency","1991","no migration background","Urban Area","41","0.0114411550940966","0.00849540774957493","0.0143869024386183"
"Very high transfer dependency","1991","no migration background","Rural Area","16","","",""
"Very high transfer dependency","1991","direct migration background","Urban Area","35","0.0149566442193356","0.00985906589062373","0.0200542225480475"
"Very high transfer dependency","1991","direct migration background","Rural Area","9","","",""
"Very high transfer dependency","1991","indirect migration background","Urban Area","8","","",""
"Very high transfer dependency","1991","indirect migration background","Rural Area","2","","",""
"Very low transfer dependency","1992","no migration background","Urban Area","5942","0.953941435145411","0.948757204362389","0.959125665928434"
"Very low transfer dependency","1992","no migration background","Rural Area","3602","0.92463708988137","0.916423618569898","0.932850561192841"
"Very low transfer dependency","1992","direct migration background","Urban Area","1983","0.937643803892629","0.927439537926805","0.947848069858453"
"Very low transfer dependency","1992","direct migration background","Rural Area","358","0.920743469196767","0.894203928176324","0.947283010217209"
"Very low transfer dependency","1992","indirect migration background","Urban Area","318","0.921360411241451","0.893200588061173","0.949520234421728"
"Very low transfer dependency","1992","indirect migration background","Rural Area","49","0.875928555220784","0.78958611083215","0.962270999609418"
"Low transfer dependency","1992","no migration background","Urban Area","208","0.0230432259247313","0.019332340185186","0.0267541116642767"
"Low transfer dependency","1992","no migration background","Rural Area","281","0.0506338721000111","0.0438120609002872","0.057455683299735"
"Low transfer dependency","1992","direct migration background","Urban Area","99","0.0335431238953215","0.0259448313277681","0.0411414164628748"
"Low transfer dependency","1992","direct migration background","Rural Area","22","","",""
"Low transfer dependency","1992","indirect migration background","Urban Area","20","","",""
"Low transfer dependency","1992","indirect migration background","Rural Area","4","","",""
"High transfer dependency","1992","no migration background","Urban Area","69","0.00999302360648066","0.007533019379617","0.0124530278333443"
"High transfer dependency","1992","no migration background","Rural Area","56","0.0142872929275746","0.0105948617326239","0.0179797241225254"
"High transfer dependency","1992","direct migration background","Urban Area","34","0.0125219504290432","0.00782925104709098","0.0172146498109953"
"High transfer dependency","1992","direct migration background","Rural Area","3","","",""
"High transfer dependency","1992","indirect migration background","Urban Area","3","","",""
"High transfer dependency","1992","indirect migration background","Rural Area","1","","",""
"Very high transfer dependency","1992","no migration background","Urban Area","61","0.0130223153233767","0.0102183926047683","0.0158262380419852"
"Very high transfer dependency","1992","no migration background","Rural Area","29","","",""
"Very high transfer dependency","1992","direct migration background","Urban Area","41","0.0162911217830061","0.010948778278011","0.0216334652880012"
"Very high transfer dependency","1992","direct migration background","Rural Area","15","","",""
"Very high transfer dependency","1992","indirect migration background","Urban Area","10","","",""
"Very high transfer dependency","1992","indirect migration background","Rural Area","2","","",""
"Very low transfer dependency","1993","no migration background","Urban Area","5809","0.944515536237392","0.938840565961993","0.950190506512791"
"Very low transfer dependency","1993","no migration background","Rural Area","3403","0.901236370874291","0.891874169227973","0.910598572520608"
"Very low transfer dependency","1993","direct migration background","Urban Area","1906","0.935354663905342","0.924779512360476","0.945929815450207"
"Very low transfer dependency","1993","direct migration background","Rural Area","349","0.905306200483156","0.876541154425255","0.934071246541057"
"Very low transfer dependency","1993","indirect migration background","Urban Area","364","0.932286565123458","0.907664173725351","0.956908956521565"
"Very low transfer dependency","1993","indirect migration background","Rural Area","66","0.940693997377371","0.885362479563502","0.99602551519124"
"Low transfer dependency","1993","no migration background","Urban Area","277","0.0298667418648688","0.0256470283924253","0.0340864553373122"
"Low transfer dependency","1993","no migration background","Rural Area","367","0.0654324413551113","0.057672435858635","0.0731924468515876"
"Low transfer dependency","1993","direct migration background","Urban Area","92","0.0351364382344538","0.0272179611711359","0.0430549152977717"
"Low transfer dependency","1993","direct migration background","Rural Area","27","","",""
"Low transfer dependency","1993","indirect migration background","Urban Area","18","","",""
"Low transfer dependency","1993","indirect migration background","Rural Area","3","","",""
"High transfer dependency","1993","no migration background","Urban Area","82","0.0112525647792701","0.00863774484344017","0.0138673847151"
"High transfer dependency","1993","no migration background","Rural Area","69","0.0177145029989403","0.0135750451186233","0.0218539608792572"
"High transfer dependency","1993","direct migration background","Urban Area","35","0.0123299569473385","0.00758407901599152","0.0170758348786855"
"High transfer dependency","1993","direct migration background","Rural Area","15","","",""
"High transfer dependency","1993","indirect migration background","Urban Area","10","","",""
"High transfer dependency","1993","indirect migration background","Rural Area","1","","",""
"Very high transfer dependency","1993","no migration background","Urban Area","83","0.014365157118469","0.0114153979774526","0.0173149162594855"
"Very high transfer dependency","1993","no migration background","Rural Area","62","0.0156166847716578","0.0117259049051481","0.0195074646381675"
"Very high transfer dependency","1993","direct migration background","Urban Area","44","0.0171789409128658","0.0115908268460569","0.0227670549796748"
"Very high transfer dependency","1993","direct migration background","Rural Area","7","","",""
"Very high transfer dependency","1993","indirect migration background","Urban Area","8","","",""
"Very high transfer dependency","1993","indirect migration background","Rural Area","","","",""
"Very low transfer dependency","1994","no migration background","Urban Area","5710","0.93732498483126","0.931282074163954","0.943367895498567"
"Very low transfer dependency","1994","no migration background","Rural Area","3371","0.903382333502747","0.894027068722183","0.91273759828331"
"Very low transfer dependency","1994","direct migration background","Urban Area","1764","0.900432811343634","0.88729386862028","0.913571754066988"
"Very low transfer dependency","1994","direct migration background","Rural Area","339","0.901832495779248","0.871555836660309","0.932109154898186"
"Very low transfer dependency","1994","indirect migration background","Urban Area","379","0.91683877986894","0.89055595287702","0.943121606860859"
"Very low transfer dependency","1994","indirect migration background","Rural Area","66","0.93760512413583","0.88094421747691","0.994266030794751"
"Low transfer dependency","1994","no migration background","Urban Area","286","0.031190997519775","0.0268570108776987","0.0355249841618514"
"Low transfer dependency","1994","no migration background","Rural Area","305","0.0569397461260817","0.0496018848171384","0.064277607435025"
"Low transfer dependency","1994","direct migration background","Urban Area","130","0.0532805806604714","0.0434252373300002","0.0631359239909427"
"Low transfer dependency","1994","direct migration background","Rural Area","20","","",""
"Low transfer dependency","1994","indirect migration background","Urban Area","34","0.052614397474197","0.0313633249407017","0.0738654700076923"
"Low transfer dependency","1994","indirect migration background","Rural Area","2","","",""
"High transfer dependency","1994","no migration background","Urban Area","90","0.0126614534233882","0.00987386481791156","0.0154490420288648"
"High transfer dependency","1994","no migration background","Rural Area","82","0.0193053953890984","0.014948288056997","0.0236625027211998"
"High transfer dependency","1994","direct migration background","Urban Area","45","0.0216017554668079","0.0152223677745463","0.0279811431590695"
"High transfer dependency","1994","direct migration background","Rural Area","5","","",""
"High transfer dependency","1994","indirect migration background","Urban Area","5","","",""
"High transfer dependency","1994","indirect migration background","Rural Area","2","","",""
"Very high transfer dependency","1994","no migration background","Urban Area","94","0.0188225642255765","0.0154343799436669","0.0222107485074861"
"Very high transfer dependency","1994","no migration background","Rural Area","73","0.020372524982073","0.0158990509253738","0.0248459990387722"
"Very high transfer dependency","1994","direct migration background","Urban Area","56","0.0246848525290864","0.0178761494703154","0.0314935555878575"
"Very high transfer dependency","1994","direct migration background","Rural Area","7","","",""
"Very high transfer dependency","1994","indirect migration background","Urban Area","6","","",""
"Very high transfer dependency","1994","indirect migration background","Rural Area","","","",""
"Very low transfer dependency","1995","no migration background","Urban Area","5649","0.939449932299778","0.933448495598971","0.945451369000585"
"Very low transfer dependency","1995","no migration background","Rural Area","3428","0.894180873511782","0.884546543385397","0.903815203638167"
"Very low transfer dependency","1995","direct migration background","Urban Area","2008","0.856946308290898","0.842720523301705","0.871172093280092"
"Very low transfer dependency","1995","direct migration background","Rural Area","392","0.859770661913223","0.828142908196417","0.891398415630029"
"Very low transfer dependency","1995","indirect migration background","Urban Area","390","0.927425993791171","0.903017925649992","0.95183406193235"
"Very low transfer dependency","1995","indirect migration background","Rural Area","64","0.86085783437835","0.782003180738991","0.93971248801771"
"Low transfer dependency","1995","no migration background","Urban Area","225","0.0284791514931515","0.0242936193751137","0.0326646836111894"
"Low transfer dependency","1995","no migration background","Rural Area","325","0.0636643640846666","0.0560173704546179","0.0713113577147153"
"Low transfer dependency","1995","direct migration background","Urban Area","155","0.0545014459987424","0.0452781882306359","0.0637247037668488"
"Low transfer dependency","1995","direct migration background","Rural Area","29","","",""
"Low transfer dependency","1995","indirect migration background","Urban Area","29","","",""
"Low transfer dependency","1995","indirect migration background","Rural Area","4","","",""
"High transfer dependency","1995","no migration background","Urban Area","84","0.0136682525752929","0.0107465964593713","0.0165899086912145"
"High transfer dependency","1995","no migration background","Rural Area","73","0.0149608080232909","0.0111586424113618","0.0187629736352201"
"High transfer dependency","1995","direct migration background","Urban Area","54","0.0228867093560303","0.0168107615167195","0.0289626571953412"
"High transfer dependency","1995","direct migration background","Rural Area","23","","",""
"High transfer dependency","1995","indirect migration background","Urban Area","9","","",""
"High transfer dependency","1995","indirect migration background","Rural Area","5","","",""
"Very high transfer dependency","1995","no migration background","Urban Area","109","0.0184026636317776","0.0150207063066853","0.0217846209568699"
"Very high transfer dependency","1995","no migration background","Rural Area","90","0.0271939543802601","0.0220997535506244","0.0322881552098957"
"Very high transfer dependency","1995","direct migration background","Urban Area","110","0.0656655363543288","0.0556015548129377","0.0757295178957198"
"Very high transfer dependency","1995","direct migration background","Rural Area","19","","",""
"Very high transfer dependency","1995","indirect migration background","Urban Area","6","","",""
"Very high transfer dependency","1995","indirect migration background","Rural Area","1","","",""
"Very low transfer dependency","1996","no migration background","Urban Area","5529","0.927043556983944","0.920478426457388","0.933608687510499"
"Very low transfer dependency","1996","no migration background","Rural Area","3320","0.883964748662404","0.873858745585032","0.894070751739777"
"Very low transfer dependency","1996","direct migration background","Urban Area","1849","0.867696106126165","0.853384241703457","0.882007970548874"
"Very low transfer dependency","1996","direct migration background","Rural Area","376","0.848788985716801","0.815465671604024","0.882112299829578"
"Very low transfer dependency","1996","indirect migration background","Urban Area","401","0.913922417994101","0.888150776143552","0.93969405984465"
"Very low transfer dependency","1996","indirect migration background","Rural Area","75","0.918244983682595","0.860337412136774","0.976152555228415"
"Low transfer dependency","1996","no migration background","Urban Area","273","0.037116285664367","0.032343953716292","0.0418886176124421"
"Low transfer dependency","1996","no migration background","Rural Area","348","0.0719123816043269","0.0637603978639714","0.0800643653446824"
"Low transfer dependency","1996","direct migration background","Urban Area","148","0.0490301713123782","0.0399091987220007","0.0581511439027558"
"Low transfer dependency","1996","direct migration background","Rural Area","31","0.0681255708486567","0.0446891989726705","0.0915619427246429"
"Low transfer dependency","1996","indirect migration background","Urban Area","31","0.045869398297203","0.0266469887102825","0.0650918078841234"
"Low transfer dependency","1996","indirect migration background","Rural Area","5","","",""
"High transfer dependency","1996","no migration background","Urban Area","116","0.0180216691292157","0.014663443069808","0.0213798951886233"
"High transfer dependency","1996","no migration background","Rural Area","105","0.0225920964831447","0.0179030647735664","0.0272811281927229"
"High transfer dependency","1996","direct migration background","Urban Area","55","0.0234645104982255","0.0170704632516119","0.029858557744839"
"High transfer dependency","1996","direct migration background","Rural Area","18","","",""
"High transfer dependency","1996","indirect migration background","Urban Area","8","","",""
"High transfer dependency","1996","indirect migration background","Rural Area","4","","",""
"Very high transfer dependency","1996","no migration background","Urban Area","110","0.0178184882224738","0.014478901130252","0.0211580753146956"
"Very high transfer dependency","1996","no migration background","Rural Area","85","0.021530773250124","0.0169507215676731","0.0261108249325749"
"Very high transfer dependency","1996","direct migration background","Urban Area","101","0.0598092120632311","0.049792663235848","0.0698257608906141"
"Very high transfer dependency","1996","direct migration background","Rural Area","19","","",""
"Very high transfer dependency","1996","indirect migration background","Urban Area","15","","",""
"Very high transfer dependency","1996","indirect migration background","Rural Area","2","","",""
"Very low transfer dependency","1997","no migration background","Urban Area","5385","0.914638949646058","0.907534401064523","0.921743498227592"
"Very low transfer dependency","1997","no migration background","Rural Area","3225","0.856774638365065","0.845655837471807","0.867893439258323"
"Very low transfer dependency","1997","direct migration background","Urban Area","1704","0.839436789989647","0.823559919873061","0.855313660106233"
"Very low transfer dependency","1997","direct migration background","Rural Area","338","0.815726655279027","0.778559139332484","0.852894171225571"
"Very low transfer dependency","1997","indirect migration background","Urban Area","411","0.863213693904012","0.832726415864184","0.89370097194384"
"Very low transfer dependency","1997","indirect migration background","Rural Area","68","0.872704949071659","0.800564200608786","0.944845697534532"
"Low transfer dependency","1997","no migration background","Urban Area","325","0.0447214603352997","0.0394660725626383","0.0499768481079612"
"Low transfer dependency","1997","no migration background","Rural Area","360","0.0793315947519595","0.0707535284128985","0.0879096610910205"
"Low transfer dependency","1997","direct migration background","Urban Area","201","0.0800167945086272","0.0682832724061928","0.0917503166110615"
"Low transfer dependency","1997","direct migration background","Rural Area","45","0.100273447789186","0.0714790372237972","0.129067858354575"
"Low transfer dependency","1997","indirect migration background","Urban Area","50","0.0981637581446909","0.0717653578223284","0.124562158467053"
"Low transfer dependency","1997","indirect migration background","Rural Area","10","","",""
"High transfer dependency","1997","no migration background","Urban Area","113","0.017500469099697","0.0141664138822762","0.0208345243171179"
"High transfer dependency","1997","no migration background","Rural Area","126","0.0333640459301251","0.0276639060153391","0.039064185844911"
"High transfer dependency","1997","direct migration background","Urban Area","54","0.0227718737440235","0.0163206035115304","0.0292231439765165"
"High transfer dependency","1997","direct migration background","Rural Area","16","","",""
"High transfer dependency","1997","indirect migration background","Urban Area","11","","",""
"High transfer dependency","1997","indirect migration background","Rural Area","","","",""
"Very high transfer dependency","1997","no migration background","Urban Area","119","0.0231391209189455","0.0193164091479957","0.0269618326898954"
"Very high transfer dependency","1997","no migration background","Rural Area","102","0.0305297209528506","0.0250690833482352","0.035990358557466"
"Very high transfer dependency","1997","direct migration background","Urban Area","95","0.0577745417577022","0.0476844865299946","0.0678645969854098"
"Very high transfer dependency","1997","direct migration background","Rural Area","19","","",""
"Very high transfer dependency","1997","indirect migration background","Urban Area","16","","",""
"Very high transfer dependency","1997","indirect migration background","Rural Area","4","","",""
"Very low transfer dependency","1998","no migration background","Urban Area","6255","0.918595502147984","0.912128257264444","0.925062747031525"
