"transab_cat2","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1985","Lower Saxony","West Germany","9","","","","2"
"High transfer dependency","1985","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","1985","Hamburg","East Germany","","","","","2"
"High transfer dependency","1985","Hamburg","West Germany","10","","","","2"
"High transfer dependency","1985","Schleswig-Holstein","West Germany","2","","","","2"
"High transfer dependency","1985","Bremen","East Germany","","","","","2"
"High transfer dependency","1985","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","1985","Bremen","West Germany","4","","","","2"
"High transfer dependency","1985","North Rhine-Westphalia","West Germany","48","0.0124264190622884","0.00843359514629119","0.0164192429782857","2"
"High transfer dependency","1985","Hesse","West Germany","15","","","","2"
"High transfer dependency","1985","Hesse","East Germany","","","","","2"
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","West Germany","8","","","","2"
"High transfer dependency","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","1985","Baden-Württemberg","West Germany","18","","","","2"
"High transfer dependency","1985","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","1985","Saxony-Anhalt","West Germany","","","","","2"
"High transfer dependency","1985","Saxony-Anhalt","East Germany","","","","","2"
"High transfer dependency","1985","Thuringia","West Germany","","","","","2"
"High transfer dependency","1985","Thuringia","East Germany","","","","","2"
"High transfer dependency","1985","Bavaria","West Germany","16","","","","2"
"High transfer dependency","1985","Bavaria","East Germany","","","","","2"
"High transfer dependency","1985","Berlin","East Germany","","","","","2"
"High transfer dependency","1985","Berlin","West Germany","4","","","","2"
"High transfer dependency","1985","Brandenburg","West Germany","","","","","2"
"High transfer dependency","1985","Brandenburg","East Germany","","","","","2"
"High transfer dependency","1985","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","1985","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"High transfer dependency","1985","Saxony","West Germany","","","","","2"
"High transfer dependency","1985","Saxony","East Germany","","","","","2"
"Low transfer dependency","1985","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","1985","Hamburg","West Germany","14","","","","1"
"Low transfer dependency","1985","Hamburg","East Germany","","","","","1"
"Low transfer dependency","1985","Lower Saxony","West Germany","61","0.0443627350886238","0.0322061109585227","0.0565193592187249","1"
"Low transfer dependency","1985","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","1985","Schleswig-Holstein","West Germany","11","","","","1"
"Low transfer dependency","1985","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","1985","Bremen","West Germany","23","","","","1"
"Low transfer dependency","1985","North Rhine-Westphalia","West Germany","98","0.0232948701671784","0.0178581834218376","0.0287315569125191","1"
"Low transfer dependency","1985","Bremen","East Germany","","","","","1"
"Low transfer dependency","1985","Hesse","West Germany","36","0.0210370096310792","0.0126881857446229","0.0293858335175355","1"
"Low transfer dependency","1985","Hesse","East Germany","","","","","1"
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","West Germany","14","","","","1"
"Low transfer dependency","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","1985","Baden-Württemberg","West Germany","40","0.011308585192727","0.00673578326745046","0.0158813871180035","1"
"Low transfer dependency","1985","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","1985","Bavaria","West Germany","38","0.019708764136113","0.0134751679748452","0.0259423602973809","1"
"Low transfer dependency","1985","Bavaria","East Germany","","","","","1"
"Low transfer dependency","1985","Berlin","West Germany","21","","","","1"
"Low transfer dependency","1985","Berlin","East Germany","","","","","1"
"Low transfer dependency","1985","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","1985","Brandenburg","East Germany","","","","","1"
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","1985","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Low transfer dependency","1985","Saxony-Anhalt","East Germany","","","","","1"
"Low transfer dependency","1985","Thuringia","East Germany","","","","","1"
"Low transfer dependency","1985","Saxony","West Germany","","","","","1"
"Low transfer dependency","1985","Thuringia","West Germany","","","","","1"
"Low transfer dependency","1985","Saxony","East Germany","","","","","1"
"Low transfer dependency","1985","Saxony-Anhalt","West Germany","","","","","1"
"Very high transfer dependency","1985","Schleswig-Holstein","West Germany","9","","","","3"
"Very high transfer dependency","1985","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","1985","Hesse","West Germany","18","","","","3"
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","West Germany","8","","","","3"
"Very high transfer dependency","1985","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","1985","Hamburg","West Germany","6","","","","3"
"Very high transfer dependency","1985","Hesse","East Germany","","","","","3"
"Very high transfer dependency","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","1985","Baden-Württemberg","West Germany","14","","","","3"
"Very high transfer dependency","1985","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","1985","Bavaria","West Germany","22","","","","3"
"Very high transfer dependency","1985","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","1985","Bremen","West Germany","3","","","","3"
"Very high transfer dependency","1985","Lower Saxony","West Germany","31","0.0261686315753518","0.0167434509893562","0.0355938121613473","3"
"Very high transfer dependency","1985","Bremen","East Germany","","","","","3"
"Very high transfer dependency","1985","North Rhine-Westphalia","West Germany","76","0.0268100370890334","0.0209880673103922","0.0326320068676746","3"
"Very high transfer dependency","1985","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","1985","Berlin","West Germany","3","","","","3"
"Very high transfer dependency","1985","Berlin","East Germany","","","","","3"
"Very high transfer dependency","1985","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","1985","Brandenburg","East Germany","","","","","3"
"Very high transfer dependency","1985","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","1985","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Very high transfer dependency","1985","Saxony","West Germany","","","","","3"
"Very high transfer dependency","1985","Saxony","East Germany","","","","","3"
"Very high transfer dependency","1985","Saxony-Anhalt","West Germany","","","","","3"
"Very high transfer dependency","1985","Saxony-Anhalt","East Germany","","","","","3"
"Very high transfer dependency","1985","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","1985","Thuringia","East Germany","","","","","3"
"Very low transfer dependency","1985","Schleswig-Holstein","West Germany","328","0.948456401045395","0.925292584089662","0.971620218001129","0"
"Very low transfer dependency","1985","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","1985","Hamburg","West Germany","251","0.9160641946098","0.883642813123134","0.948485576096465","0"
"Very low transfer dependency","1985","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","1985","Lower Saxony","West Germany","1001","0.919893899773067","0.903866651738778","0.935921147807357","0"
"Very low transfer dependency","1985","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","1985","Bremen","West Germany","86","0.827737496695572","0.759021035143417","0.896453958247727","0"
"Very low transfer dependency","1985","Bremen","East Germany","","","","","0"
"Very low transfer dependency","1985","North Rhine-Westphalia","West Germany","2735","0.9374686736815","0.928741982025928","0.946195365337072","0"
"Very low transfer dependency","1985","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","1985","Hesse","West Germany","1066","0.954016604950212","0.94183151768912","0.966201692211304","0"
"Very low transfer dependency","1985","Hesse","East Germany","","","","","0"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","West Germany","742","0.957416698405635","0.943173431752517","0.971659965058754","0"
"Very low transfer dependency","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","1985","Baden-Württemberg","West Germany","1982","0.975889606009043","0.969255989346943","0.982523222671144","0"
"Very low transfer dependency","1985","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","1985","Bavaria","West Germany","1834","0.956800489214918","0.947682868623778","0.965918109806058","0"
"Very low transfer dependency","1985","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","1985","Berlin","West Germany","340","0.947213660829992","0.924367726185042","0.970059595474942","0"
"Very low transfer dependency","1985","Berlin","East Germany","","","","","0"
"Very low transfer dependency","1985","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","1985","Brandenburg","East Germany","","","","","0"
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","1985","Mecklenburg-Western Pomerania","East Germany","","","","","0"
"Very low transfer dependency","1985","Saxony","West Germany","","","","","0"
"Very low transfer dependency","1985","Saxony","East Germany","","","","","0"
"Very low transfer dependency","1985","Saxony-Anhalt","West Germany","","","","","0"
"Very low transfer dependency","1985","Saxony-Anhalt","East Germany","","","","","0"
"Very low transfer dependency","1985","Thuringia","West Germany","","","","","0"
"Very low transfer dependency","1985","Thuringia","East Germany","","","","","0"
"High transfer dependency","1986","Lower Saxony","West Germany","10","","","","2"
"High transfer dependency","1986","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","1986","Hamburg","East Germany","","","","","2"
"High transfer dependency","1986","Schleswig-Holstein","West Germany","1","","","","2"
"High transfer dependency","1986","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","1986","Hamburg","West Germany","","","","","2"
"High transfer dependency","1986","Bremen","West Germany","5","","","","2"
"High transfer dependency","1986","Bremen","East Germany","","","","","2"
"High transfer dependency","1986","North Rhine-Westphalia","West Germany","41","0.0117587968603808","0.00780252385382282","0.0157150698669388","2"
"High transfer dependency","1986","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","1986","Hesse","East Germany","","","","","2"
"High transfer dependency","1986","Hesse","West Germany","11","","","","2"
"High transfer dependency","1986","Rhineland-Palatinate,Saarland","West Germany","11","","","","2"
"High transfer dependency","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"High transfer dependency","1986","Baden-Württemberg","West Germany","17","","","","2"
"High transfer dependency","1986","Thuringia","West Germany","","","","","2"
"High transfer dependency","1986","Thuringia","East Germany","","","","","2"
"High transfer dependency","1986","Saxony-Anhalt","East Germany","","","","","2"
"High transfer dependency","1986","Baden-Württemberg","East Germany","","","","","2"
"High transfer dependency","1986","Bavaria","West Germany","17","","","","2"
"High transfer dependency","1986","Berlin","West Germany","9","","","","2"
"High transfer dependency","1986","Bavaria","East Germany","","","","","2"
"High transfer dependency","1986","Berlin","East Germany","","","","","2"
"High transfer dependency","1986","Brandenburg","West Germany","","","","","2"
"High transfer dependency","1986","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"High transfer dependency","1986","Brandenburg","East Germany","","","","","2"
"High transfer dependency","1986","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"High transfer dependency","1986","Saxony","West Germany","","","","","2"
"High transfer dependency","1986","Saxony","East Germany","","","","","2"
"High transfer dependency","1986","Saxony-Anhalt","West Germany","","","","","2"
"Low transfer dependency","1986","Schleswig-Holstein","West Germany","17","","","","1"
"Low transfer dependency","1986","Hamburg","West Germany","9","","","","1"
"Low transfer dependency","1986","Hamburg","East Germany","","","","","1"
"Low transfer dependency","1986","Lower Saxony","East Germany","","","","","1"
"Low transfer dependency","1986","Schleswig-Holstein","East Germany","","","","","1"
"Low transfer dependency","1986","Lower Saxony","West Germany","46","0.039184317154341","0.0277645170748092","0.0506041172338727","1"
"Low transfer dependency","1986","North Rhine-Westphalia","West Germany","91","0.0279656186763389","0.0219146297324232","0.0340166076202545","1"
"Low transfer dependency","1986","Bremen","West Germany","6","","","","1"
"Low transfer dependency","1986","Bremen","East Germany","","","","","1"
"Low transfer dependency","1986","North Rhine-Westphalia","East Germany","","","","","1"
"Low transfer dependency","1986","Hesse","West Germany","34","0.0244233500834964","0.0150823438305807","0.0337643563364122","1"
"Low transfer dependency","1986","Hesse","East Germany","","","","","1"
"Low transfer dependency","1986","Rhineland-Palatinate,Saarland","West Germany","12","","","","1"
"Low transfer dependency","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Low transfer dependency","1986","Baden-Württemberg","West Germany","59","0.0179039925116331","0.0120852577961276","0.0237227272271387","1"
"Low transfer dependency","1986","Baden-Württemberg","East Germany","","","","","1"
"Low transfer dependency","1986","Bavaria","East Germany","","","","","1"
"Low transfer dependency","1986","Bavaria","West Germany","40","0.0248326128128542","0.0175993706430863","0.0320658549826221","1"
"Low transfer dependency","1986","Berlin","West Germany","15","","","","1"
"Low transfer dependency","1986","Berlin","East Germany","","","","","1"
"Low transfer dependency","1986","Brandenburg","West Germany","","","","","1"
"Low transfer dependency","1986","Brandenburg","East Germany","","","","","1"
"Low transfer dependency","1986","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Low transfer dependency","1986","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Low transfer dependency","1986","Saxony-Anhalt","East Germany","","","","","1"
"Low transfer dependency","1986","Thuringia","East Germany","","","","","1"
"Low transfer dependency","1986","Thuringia","West Germany","","","","","1"
"Low transfer dependency","1986","Saxony","West Germany","","","","","1"
"Low transfer dependency","1986","Saxony","East Germany","","","","","1"
"Low transfer dependency","1986","Saxony-Anhalt","West Germany","","","","","1"
"Very high transfer dependency","1986","Schleswig-Holstein","West Germany","5","","","","3"
"Very high transfer dependency","1986","Hamburg","West Germany","10","","","","3"
"Very high transfer dependency","1986","Schleswig-Holstein","East Germany","","","","","3"
"Very high transfer dependency","1986","Hamburg","East Germany","","","","","3"
"Very high transfer dependency","1986","Baden-Württemberg","West Germany","13","","","","3"
"Very high transfer dependency","1986","Baden-Württemberg","East Germany","","","","","3"
"Very high transfer dependency","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Very high transfer dependency","1986","Bavaria","West Germany","16","","","","3"
"Very high transfer dependency","1986","Lower Saxony","West Germany","24","","","","3"
"Very high transfer dependency","1986","Lower Saxony","East Germany","","","","","3"
"Very high transfer dependency","1986","Bremen","West Germany","5","","","","3"
"Very high transfer dependency","1986","Bremen","East Germany","","","","","3"
"Very high transfer dependency","1986","North Rhine-Westphalia","West Germany","67","0.0260675891741362","0.0202198475750269","0.0319153307732455","3"
"Very high transfer dependency","1986","North Rhine-Westphalia","East Germany","","","","","3"
"Very high transfer dependency","1986","Hesse","West Germany","19","","","","3"
"Very high transfer dependency","1986","Hesse","East Germany","","","","","3"
"Very high transfer dependency","1986","Rhineland-Palatinate,Saarland","West Germany","6","","","","3"
"Very high transfer dependency","1986","Bavaria","East Germany","","","","","3"
"Very high transfer dependency","1986","Berlin","West Germany","5","","","","3"
"Very high transfer dependency","1986","Berlin","East Germany","","","","","3"
"Very high transfer dependency","1986","Brandenburg","West Germany","","","","","3"
"Very high transfer dependency","1986","Brandenburg","East Germany","","","","","3"
"Very high transfer dependency","1986","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Very high transfer dependency","1986","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Very high transfer dependency","1986","Saxony","West Germany","","","","","3"
"Very high transfer dependency","1986","Saxony","East Germany","","","","","3"
"Very high transfer dependency","1986","Saxony-Anhalt","West Germany","","","","","3"
"Very high transfer dependency","1986","Saxony-Anhalt","East Germany","","","","","3"
"Very high transfer dependency","1986","Thuringia","West Germany","","","","","3"
"Very high transfer dependency","1986","Thuringia","East Germany","","","","","3"
"Very low transfer dependency","1986","Schleswig-Holstein","West Germany","299","0.93291798472167","0.905593943081457","0.960242026361883","0"
"Very low transfer dependency","1986","Schleswig-Holstein","East Germany","","","","","0"
"Very low transfer dependency","1986","Hamburg","West Germany","237","0.952905778098805","0.926955805628507","0.978855750569103","0"
"Very low transfer dependency","1986","Hamburg","East Germany","","","","","0"
"Very low transfer dependency","1986","Lower Saxony","West Germany","1029","0.931574563815291","0.916715210261979","0.946433917368602","0"
"Very low transfer dependency","1986","Lower Saxony","East Germany","","","","","0"
"Very low transfer dependency","1986","Bremen","West Germany","93","0.893226439927352","0.835250541335161","0.951202338519543","0"
"Very low transfer dependency","1986","Bremen","East Germany","","","","","0"
"Very low transfer dependency","1986","North Rhine-Westphalia","West Germany","2653","0.934207995289144","0.925109246382343","0.943306744195945","0"
"Very low transfer dependency","1986","North Rhine-Westphalia","East Germany","","","","","0"
"Very low transfer dependency","1986","Hesse","West Germany","985","0.950173760006765","0.937006636141375","0.963340883872155","0"
"Very low transfer dependency","1986","Hesse","East Germany","","","","","0"
"Very low transfer dependency","1986","Rhineland-Palatinate,Saarland","West Germany","740","0.961723699909457","0.948163220118407","0.975284179700506","0"
"Very low transfer dependency","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","0"
"Very low transfer dependency","1986","Baden-Württemberg","West Germany","1906","0.969668708728296","0.962143236084305","0.977194181372286","0"
"Very low transfer dependency","1986","Baden-Württemberg","East Germany","","","","","0"
"Very low transfer dependency","1986","Bavaria","West Germany","1705","0.947488230999654","0.937120172254062","0.957856289745246","0"
"Very low transfer dependency","1986","Bavaria","East Germany","","","","","0"
"Very low transfer dependency","1986","Berlin","West Germany","321","0.953502415350551","0.931443194717199","0.975561635983903","0"
"Very low transfer dependency","1986","Berlin","East Germany","","","","","0"
"Very low transfer dependency","1986","Brandenburg","West Germany","","","","","0"
"Very low transfer dependency","1986","Brandenburg","East Germany","","","","","0"
"Very low transfer dependency","1986","Mecklenburg-Western Pomerania","West Germany","","","","","0"
"Very low transfer dependency","1986","Mecklenburg-Western Pomerania","East Germany","","","","","0"
"Very low transfer dependency","1986","Saxony","West Germany","","","","","0"
"Very low transfer dependency","1986","Saxony","East Germany","","","","","0"
"Very low transfer dependency","1986","Saxony-Anhalt","West Germany","","","","","0"
"Very low transfer dependency","1986","Saxony-Anhalt","East Germany","","","","","0"
"Very low transfer dependency","1986","Thuringia","West Germany","","","","","0"
"Very low transfer dependency","1986","Thuringia","East Germany","","","","","0"
"High transfer dependency","1987","Lower Saxony","West Germany","9","","","","2"
"High transfer dependency","1987","Hamburg","East Germany","","","","","2"
"High transfer dependency","1987","Schleswig-Holstein","East Germany","","","","","2"
"High transfer dependency","1987","Hamburg","West Germany","5","","","","2"
"High transfer dependency","1987","Lower Saxony","East Germany","","","","","2"
"High transfer dependency","1987","Schleswig-Holstein","West Germany","13","","","","2"
"High transfer dependency","1987","Bremen","West Germany","12","","","","2"
"High transfer dependency","1987","Bremen","East Germany","","","","","2"
"High transfer dependency","1987","North Rhine-Westphalia","East Germany","","","","","2"
"High transfer dependency","1987","North Rhine-Westphalia","West Germany","31","0.0096930910996133","0.00608019962201884","0.0133059825772078","2"
"High transfer dependency","1987","Hesse","West Germany","7","","","","2"
