"transab_cat2","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1989","35-65 y.","147","0.0242278415421673","0.0199201194059588","0.0285355636783757","1"
"Low transfer dependency","1989","66 and older","11","","","","1"
"Very high transfer dependency","1989","16-34 y.","60","0.0193955386263702","0.0149803815931515","0.0238106956595889","3"
"Very high transfer dependency","1989","35-65 y.","85","0.0196607373151954","0.0157711438924709","0.0235503307379199","3"
"Very high transfer dependency","1989","66 and older","3","","","","3"
"Very low transfer dependency","1989","16-34 y.","3504","0.935053257683715","0.927163836175353","0.942942679192078","0"
"Very low transfer dependency","1989","66 and older","1010","0.983913864455383","0.976223340385483","0.991604388525284","0"
"Very low transfer dependency","1989","35-65 y.","4616","0.947316944901711","0.941058027254602","0.953575862548821","0"
"High transfer dependency","1990","16-34 y.","42","0.0131016082696983","0.00940304125396916","0.0168001752854275","2"
"High transfer dependency","1990","35-65 y.","49","0.00954627897223337","0.0067885594931484","0.0123039984513183","2"
"High transfer dependency","1990","66 and older","8","","","","2"
"Low transfer dependency","1990","16-34 y.","125","0.0330197516210167","0.0272076838561576","0.0388318193858758","1"
"Low transfer dependency","1990","35-65 y.","110","0.0185917055760232","0.0147608091478162","0.0224226020042303","1"
"Low transfer dependency","1990","66 and older","12","","","","1"
"Very high transfer dependency","1990","16-34 y.","44","0.0125820887254141","0.00895663940411575","0.0162075380467125","3"
"Very high transfer dependency","1990","35-65 y.","72","0.0155078642440125","0.0120035902725662","0.0190121382154588","3"
"Very high transfer dependency","1990","66 and older","1","","","","3"
"Very low transfer dependency","1990","16-34 y.","3420","0.941296551383871","0.933650626835966","0.948942475931775","0"
"Very low transfer dependency","1990","66 and older","1037","0.984487262693346","0.977040722687261","0.991933802699432","0"
"Very low transfer dependency","1990","35-65 y.","4545","0.956354151207731","0.950559907237373","0.962148395178088","0"
"High transfer dependency","1991","16-34 y.","39","0.0107749644184289","0.00740480124712374","0.0141451275897341","2"
"High transfer dependency","1991","35-65 y.","44","0.00853395068770137","0.00591863653980304","0.0111492648355997","2"
"High transfer dependency","1991","66 and older","8","","","","2"
"Low transfer dependency","1991","16-34 y.","133","0.0359262973706879","0.0298511501752176","0.0420014445661581","1"
"Low transfer dependency","1991","35-65 y.","135","0.0237637457499365","0.019433178476318","0.0280943130235549","1"
"Low transfer dependency","1991","66 and older","12","","","","1"
"Very high transfer dependency","1991","16-34 y.","53","0.0159686384252048","0.0118766549606328","0.0200606218897767","3"
"Very high transfer dependency","1991","35-65 y.","56","0.013502789793291","0.0102213113236182","0.0167842682629639","3"
"Very high transfer dependency","1991","66 and older","2","","","","3"
"Very low transfer dependency","1991","16-34 y.","3380","0.937330099785678","0.929418373758307","0.945241825813049","0"
"Very low transfer dependency","1991","66 and older","1053","0.982436725624527","0.974584389232801","0.990289062016252","0"
"Very low transfer dependency","1991","35-65 y.","4517","0.954199513769071","0.948255709291427","0.960143318246716","0"
"High transfer dependency","1992","16-34 y.","76","0.0185918014451567","0.0148360298781862","0.0223475730121271","2"
"High transfer dependency","1992","35-65 y.","84","0.010111970567699","0.00774753251631464","0.0124764086190833","2"
"High transfer dependency","1992","66 and older","8","","","","2"
"Low transfer dependency","1992","16-34 y.","348","0.0545084167255666","0.0481963117932296","0.0608205216579037","1"
"Low transfer dependency","1992","35-65 y.","287","0.0299608053086512","0.0259318876855582","0.0339897229317443","1"
"Low transfer dependency","1992","66 and older","7","","","","1"
"Very high transfer dependency","1992","16-34 y.","81","0.0182134831851692","0.0144954040503612","0.0219315623199772","3"
"Very high transfer dependency","1992","35-65 y.","74","0.0136659017472613","0.0109221287613855","0.0164096747331372","3"
"Very high transfer dependency","1992","66 and older","3","","","","3"
"Very low transfer dependency","1992","16-34 y.","4464","0.908686298644108","0.900677109389353","0.916695487898862","0"
"Very low transfer dependency","1992","35-65 y.","6433","0.946261322376388","0.940932073068707","0.95159057168407","0"
"Very low transfer dependency","1992","66 and older","1462","0.992091723546629","0.98757904843283","0.996604398660429","0"
"High transfer dependency","1993","16-34 y.","104","0.0204468072218524","0.0164753128039679","0.0244183016397369","2"
"High transfer dependency","1993","35-65 y.","103","0.0136378662128569","0.0108648343288813","0.0164108980968325","2"
"High transfer dependency","1993","66 and older","5","","","","2"
"Low transfer dependency","1993","16-34 y.","390","0.0631487967311713","0.0563231305866576","0.0699744628756849","1"
"Low transfer dependency","1993","35-65 y.","375","0.0389208832486841","0.0342967071089825","0.0435450593883857","1"
"Low transfer dependency","1993","66 and older","19","","","","1"
"Very high transfer dependency","1993","16-34 y.","111","0.0225921924015469","0.0184221133879575","0.0267622714151363","3"
"Very high transfer dependency","1993","35-65 y.","89","0.0146642403889807","0.0117902496631078","0.0175382311148536","3"
"Very high transfer dependency","1993","66 and older","4","","","","3"
"Very low transfer dependency","1993","16-34 y.","4273","0.893812203645429","0.885166752974191","0.902457654316667","0"
"Very low transfer dependency","1993","35-65 y.","6153","0.932777010149478","0.926789982227859","0.938764038071097","0"
"Very low transfer dependency","1993","66 and older","1471","0.986579252679159","0.980754176443305","0.992404328915014","0"
"High transfer dependency","1994","16-34 y.","96","0.0214669403841347","0.0173599344340037","0.0255739463342657","2"
"High transfer dependency","1994","35-65 y.","128","0.0169562758983958","0.0138336767454789","0.0200788750513128","2"
"High transfer dependency","1994","66 and older","5","","","","2"
"Low transfer dependency","1994","16-34 y.","390","0.0658584562425897","0.0588299243131581","0.0728869881720213","1"
"Low transfer dependency","1994","35-65 y.","366","0.0384941813759417","0.0338411274539594","0.0431472352979239","1"
"Low transfer dependency","1994","66 and older","21","","","","1"
"Very high transfer dependency","1994","16-34 y.","123","0.0296303204022353","0.024825365804346","0.0344352750001247","3"
"Very high transfer dependency","1994","35-65 y.","108","0.0203187222967247","0.0169063596094926","0.0237310849839568","3"
"Very high transfer dependency","1994","66 and older","5","","","","3"
"Very low transfer dependency","1994","16-34 y.","4175","0.88304428297104","0.873937720419677","0.892150845522404","0"
"Very low transfer dependency","1994","35-65 y.","5965","0.924230820428938","0.917830509116219","0.930631131741656","0"
"Very low transfer dependency","1994","66 and older","1489","0.985729917031004","0.979767552633503","0.991692281428505","0"
"High transfer dependency","1995","16-34 y.","113","0.0247397733520875","0.0203981104397335","0.0290814362644416","2"
"High transfer dependency","1995","35-65 y.","128","0.0156231353675441","0.0126786335729914","0.0185676371620969","2"
"High transfer dependency","1995","66 and older","7","","","","2"
"Low transfer dependency","1995","16-34 y.","360","0.0622664036307678","0.0555123482700996","0.0690204589914361","1"
"Low transfer dependency","1995","35-65 y.","389","0.0440330525080863","0.0391616068599118","0.0489044981562609","1"
"Low transfer dependency","1995","66 and older","18","","","","1"
"Very high transfer dependency","1995","16-34 y.","170","0.0396975186227347","0.0342401449309706","0.0451548923144988","3"
"Very high transfer dependency","1995","35-65 y.","159","0.0278635982505808","0.0239558261400041","0.0317713703611574","3"
"Very high transfer dependency","1995","66 and older","6","","","","3"
"Very low transfer dependency","1995","16-34 y.","4274","0.87329630439441","0.863998649137271","0.882593959651549","0"
"Very low transfer dependency","1995","35-65 y.","6138","0.912480213873789","0.9057703782928","0.919190049454778","0"
"Very low transfer dependency","1995","66 and older","1519","0.98649144566289","0.980744549624869","0.992238341700911","0"
"High transfer dependency","1996","16-34 y.","118","0.02349809814762","0.0191871337904042","0.0278090625048358","2"
"High transfer dependency","1996","35-65 y.","183","0.0241104018776591","0.0204402046732135","0.0277805990821047","2"
"High transfer dependency","1996","66 and older","5","","","","2"
"Low transfer dependency","1996","16-34 y.","349","0.0616747239494558","0.0548284883020897","0.0685209595968218","1"
"Low transfer dependency","1996","35-65 y.","454","0.0546871465761683","0.0492469167857282","0.0601273763666084","1"
"Low transfer dependency","1996","66 and older","33","0.0137040782093131","0.00795695704753981","0.0194511993710865","1"
"Very high transfer dependency","1996","16-34 y.","138","0.0288825736266426","0.0241163397737318","0.0336488074795534","3"
"Very high transfer dependency","1996","35-65 y.","186","0.030165112817844","0.0260726173304267","0.0342576083052613","3"
"Very high transfer dependency","1996","66 and older","8","","","","3"
"Very low transfer dependency","1996","16-34 y.","4138","0.885944604276282","0.876898059642199","0.894991148910364","0"
"Very low transfer dependency","1996","35-65 y.","5887","0.891037338728329","0.883581892649475","0.898492784807183","0"
"Very low transfer dependency","1996","66 and older","1526","0.978080336741337","0.970842212671368","0.985318460811306","0"
"High transfer dependency","1997","16-34 y.","129","0.0291256522974548","0.0242614258119651","0.0339898787829444","2"
"High transfer dependency","1997","35-65 y.","180","0.0243072566597146","0.0205916174456824","0.0280228958737468","2"
"High transfer dependency","1997","66 and older","11","","","","2"
"Low transfer dependency","1997","16-34 y.","421","0.0807159335591347","0.0728364283296105","0.0885954387886588","1"
"Low transfer dependency","1997","35-65 y.","540","0.0669791538941799","0.0609476650494016","0.0730106427389582","1"
"Low transfer dependency","1997","66 and older","30","0.0143621208044062","0.00854680841506397","0.0201774331937485","1"
"Very high transfer dependency","1997","16-34 y.","161","0.0398366015855587","0.0341793152694046","0.0454938879017128","3"
"Very high transfer dependency","1997","35-65 y.","190","0.0340568906216844","0.0296807900088131","0.0384329912345557","3"
"Very high transfer dependency","1997","66 and older","4","","","","3"
"Very low transfer dependency","1997","16-34 y.","3880","0.850321812557852","0.840002153192194","0.86064147192351","0"
"Very low transfer dependency","1997","35-65 y.","5689","0.874656698824421","0.866667956662519","0.882645440986323","0"
"Very low transfer dependency","1997","66 and older","1563","0.971832551639472","0.963745791847662","0.979919311431281","0"
"High transfer dependency","1998","16-34 y.","135","0.0270089267217635","0.0224404844801656","0.0315773689633613","2"
"High transfer dependency","1998","35-65 y.","183","0.0221438373099051","0.0188095488549005","0.0254781257649097","2"
"High transfer dependency","1998","66 and older","5","","","","2"
"Low transfer dependency","1998","16-34 y.","434","0.0754022239878895","0.0679612712281781","0.0828431767476008","1"
"Low transfer dependency","1998","35-65 y.","571","0.0629265736624971","0.0574242885210998","0.0684288588038943","1"
"Low transfer dependency","1998","66 and older","46","0.0154583641056992","0.00989655602609644","0.0210201721853019","1"
"Very high transfer dependency","1998","16-34 y.","166","0.0432331877183986","0.0375016424374363","0.0489647329993609","3"
"Very high transfer dependency","1998","35-65 y.","220","0.0339769394606167","0.0298718264803817","0.0380820524408517","3"
"Very high transfer dependency","1998","66 and older","8","","","","3"
"Very low transfer dependency","1998","16-34 y.","4102","0.854355661571948","0.844414750202515","0.864296572941382","0"
"Very low transfer dependency","1998","35-65 y.","6508","0.880952649566981","0.873614688737384","0.888290610396578","0"
"Very low transfer dependency","1998","66 and older","1831","0.977224237742482","0.970498332191833","0.98395014329313","0"
"High transfer dependency","1999","16-34 y.","149","0.0324059003820266","0.0272708619846201","0.037540938779433","2"
"High transfer dependency","1999","35-65 y.","157","0.0162670532295899","0.0133583899609534","0.0191757164982264","2"
"High transfer dependency","1999","66 and older","10","","","","2"
"Low transfer dependency","1999","16-34 y.","408","0.0752822610332065","0.0676309480950532","0.0829335739713598","1"
"Low transfer dependency","1999","35-65 y.","534","0.0604323602801437","0.0549533868061452","0.0659113337541422","1"
"Low transfer dependency","1999","66 and older","36","0.0114274648418432","0.00655776981803851","0.016297159865648","1"
"Very high transfer dependency","1999","16-34 y.","141","0.0355996788186115","0.0302264324177632","0.0409729252194599","3"
"Very high transfer dependency","1999","35-65 y.","178","0.027893051571332","0.0241068351665401","0.0316792679761239","3"
"Very high transfer dependency","1999","66 and older","2","","","","3"
"Very low transfer dependency","1999","16-34 y.","3870","0.856712159766155","0.846551844656184","0.866872474876127","0"
"Very low transfer dependency","1999","35-65 y.","6397","0.895407534918934","0.888370965671045","0.902444104166824","0"
"Very low transfer dependency","1999","66 and older","1782","0.978810379054683","0.972212058307079","0.985408699802286","0"
"High transfer dependency","2000","16-34 y.","194","0.0278640195541922","0.0240243605592105","0.0317036785491738","2"
"High transfer dependency","2000","35-65 y.","258","0.0164518437208561","0.014297342780331","0.0186063446613812","2"
"High transfer dependency","2000","66 and older","16","","","","2"
"Low transfer dependency","2000","16-34 y.","613","0.0796695368889291","0.073352326963007","0.0859867468148512","1"
"Low transfer dependency","2000","35-65 y.","861","0.0527832530315708","0.0489960869930062","0.0565704190701354","1"
"Low transfer dependency","2000","66 and older","80","0.0187088772171947","0.0143035474169317","0.0231142070174577","1"
"Very high transfer dependency","2000","16-34 y.","230","0.0311067794448326","0.0270566141538155","0.0351569447358497","3"
"Very high transfer dependency","2000","35-65 y.","376","0.0312053182376601","0.0282604099990242","0.034150226476296","3"
"Very high transfer dependency","2000","66 and older","10","","","","3"
"Very low transfer dependency","2000","16-34 y.","6021","0.861359664112046","0.853297635589653","0.869421692634439","0"
"Very low transfer dependency","2000","35-65 y.","11896","0.899559585009913","0.894468494677186","0.90465067534264","0"
"Very low transfer dependency","2000","66 and older","3528","0.97477773879985","0.969679731649533","0.979875745950167","0"
"High transfer dependency","2001","16-34 y.","175","0.0279831015753126","0.0238828325108483","0.0320833706397768","2"
"High transfer dependency","2001","35-65 y.","249","0.0173891278866825","0.0150734024538223","0.0197048533195427","2"
"High transfer dependency","2001","66 and older","19","","","","2"
"Low transfer dependency","2001","16-34 y.","584","0.0827212595953625","0.0758728968201822","0.0895696223705428","1"
"Low transfer dependency","2001","35-65 y.","814","0.0528556013542714","0.0488918081489364","0.0568193945596063","1"
"Low transfer dependency","2001","66 and older","67","0.0178788937425536","0.0134494621523688","0.0223083253327383","1"
"Very high transfer dependency","2001","16-34 y.","208","0.0369332335438623","0.0322444046038939","0.0416220624838308","3"
"Very high transfer dependency","2001","35-65 y.","341","0.0314300908894871","0.0283391145061258","0.0345210672728484","3"
"Very high transfer dependency","2001","66 and older","8","","","","3"
"Very low transfer dependency","2001","16-34 y.","5248","0.852362405285463","0.843543023400827","0.861181787170098","0"
"Very low transfer dependency","2001","35-65 y.","10836","0.898325179869559","0.892971148948607","0.903679210790511","0"
"Very low transfer dependency","2001","66 and older","3344","0.9729470536243","0.967523960722626","0.978370146525974","0"
"High transfer dependency","2002","16-34 y.","185","0.0403516533714369","0.0354194998399873","0.0452838069028864","2"
"High transfer dependency","2002","35-65 y.","251","0.0231701276097068","0.020607158388511","0.0257330968309026","2"
"High transfer dependency","2002","66 and older","23","","","","2"
"Low transfer dependency","2002","16-34 y.","520","0.0865815536018352","0.0795330417147764","0.093630065488894","1"
"Low transfer dependency","2002","35-65 y.","747","0.0597614854133334","0.0557231775733826","0.0637997932532843","1"
"Low transfer dependency","2002","66 and older","60","0.0165343129842565","0.0123866099942944","0.0206820159742185","1"
"Very high transfer dependency","2002","16-34 y.","185","0.0369698866210949","0.0322406194059217","0.0416991538362682","3"
"Very high transfer dependency","2002","35-65 y.","324","0.0321811845815392","0.0291746392563437","0.0351877299067347","3"
"Very high transfer dependency","2002","66 and older","8","","","","3"
"Very low transfer dependency","2002","16-34 y.","5225","0.836096906405633","0.826818535192485","0.845375277618781","0"
"Very low transfer dependency","2002","35-65 y.","11914","0.884887202395421","0.879450000329219","0.890324404461622","0"
"Very low transfer dependency","2002","66 and older","3540","0.97244096185956","0.967116219284885","0.977765704434235","0"
"High transfer dependency","2003","16-34 y.","197","0.0366409614229369","0.0318112025605971","0.0414707202852766","2"
"High transfer dependency","2003","35-65 y.","226","0.0197397569984824","0.0173119457248751","0.0221675682720898","2"
"High transfer dependency","2003","66 and older","15","","","","2"
"Low transfer dependency","2003","16-34 y.","538","0.0896937981841071","0.0823482723944225","0.0970393239737918","1"
"Low transfer dependency","2003","35-65 y.","791","0.062878067493968","0.0586414332512754","0.0671147017366605","1"
"Low transfer dependency","2003","66 and older","76","0.0227961161265268","0.0179849939224563","0.0276072383305973","1"
"Very high transfer dependency","2003","16-34 y.","232","0.053896858977231","0.0480919034127027","0.0597018145417594","3"
"Very high transfer dependency","2003","35-65 y.","341","0.0388978965387376","0.0355233054878436","0.0422724875896316","3"
"Very high transfer dependency","2003","66 and older","6","","","","3"
"Very low transfer dependency","2003","16-34 y.","4846","0.819768381415725","0.809887197045191","0.829649565786259","0"
"Very low transfer dependency","2003","35-65 y.","11253","0.878484278968812","0.872781893658796","0.884186664278828","0"
"Very low transfer dependency","2003","66 and older","3600","0.969247707135533","0.963682523391786","0.974812890879279","0"
"High transfer dependency","2004","16-34 y.","189","0.0373916772351982","0.0324129181109767","0.0423704363594197","2"
"High transfer dependency","2004","35-65 y.","236","0.0219512325427825","0.0193473607583845","0.0245551043271805","2"
"High transfer dependency","2004","66 and older","15","","","","2"
"Low transfer dependency","2004","16-34 y.","562","0.1075965841955","0.0994647467200328","0.115728421670968","1"
"Low transfer dependency","2004","35-65 y.","749","0.0623057894511335","0.0580103786568676","0.0666012002453993","1"
"Low transfer dependency","2004","66 and older","77","0.0221804903440001","0.0175048237325612","0.026856156955439","1"
"Very high transfer dependency","2004","16-34 y.","241","0.0546469698341998","0.0486822659373969","0.0606116737310027","3"
"Very high transfer dependency","2004","35-65 y.","362","0.0410512457324689","0.0375253395265255","0.0445771519384123","3"
"Very high transfer dependency","2004","66 and older","6","","","","3"
"Very low transfer dependency","2004","16-34 y.","4586","0.800364768735102","0.789874867209583","0.81085467026062","0"
"Very low transfer dependency","2004","35-65 y.","10817","0.874691732273615","0.868808347405161","0.880575117142069","0"
"Very low transfer dependency","2004","66 and older","3713","0.970677001604011","0.965320636464171","0.976033366743851","0"
"High transfer dependency","2005","16-34 y.","198","0.042330529993714","0.0368940390859772","0.0477670209014507","2"
"High transfer dependency","2005","35-65 y.","251","0.0241174090628077","0.0213194586687421","0.0269153594568734","2"
"High transfer dependency","2005","66 and older","21","","","","2"
"Low transfer dependency","2005","16-34 y.","553","0.110481122103603","0.102016538190904","0.118945706016302","1"
"Low transfer dependency","2005","35-65 y.","754","0.0660199025809309","0.061491112915787","0.0705486922460749","1"
"Low transfer dependency","2005","66 and older","81","0.0241698144739818","0.0192933014816554","0.0290463274663082","1"
"Very high transfer dependency","2005","16-34 y.","268","0.0592975717551868","0.0529203931718801","0.0656747503384936","3"
"Very high transfer dependency","2005","35-65 y.","341","0.0421367534241402","0.0384727304294729","0.0458007764188075","3"
"Very high transfer dependency","2005","66 and older","9","","","","3"
"Very low transfer dependency","2005","16-34 y.","4250","0.787890776147496","0.77685261380169","0.798928938493303","0"
"Very low transfer dependency","2005","35-65 y.","10203","0.867725934932121","0.861547129216249","0.873904740647994","0"
"Very low transfer dependency","2005","66 and older","3699","0.965813064661885","0.960043245171815","0.971582884151955","0"
"High transfer dependency","2006","16-34 y.","265","0.0544705528978457","0.0484130787342264","0.060528027061465","2"
"High transfer dependency","2006","35-65 y.","274","0.0258578889470986","0.0230602359379373","0.02865554195626","2"
"High transfer dependency","2006","66 and older","19","","","","2"
"Low transfer dependency","2006","16-34 y.","530","0.108297757461952","0.100003207822975","0.11659230710093","1"
"Low transfer dependency","2006","35-65 y.","742","0.0608880502714758","0.056672921240434","0.0651031793025175","1"
"Low transfer dependency","2006","66 and older","82","0.0220097099622999","0.0177120804328483","0.0263073394917515","1"
"Very high transfer dependency","2006","16-34 y.","323","0.0753769079661966","0.0683303881728977","0.0824234277594955","3"
"Very high transfer dependency","2006","35-65 y.","446","0.0497673541190235","0.0459340488521512","0.0536006593858958","3"
"Very high transfer dependency","2006","66 and older","14","","","","3"
"Very low transfer dependency","2006","16-34 y.","4274","0.761854781674006","0.750485574485063","0.773223988862948","0"
"Very low transfer dependency","2006","35-65 y.","10901","0.863486706662402","0.8574346713079","0.869538742016905","0"
"Very low transfer dependency","2006","66 and older","4362","0.96598263332379","0.960672694118006","0.971292572529573","0"
"High transfer dependency","2007","16-34 y.","205","0.0535374398084854","0.0473117101841445","0.0597631694328264","2"
"High transfer dependency","2007","35-65 y.","256","0.0260075572075434","0.0230873490275245","0.0289277653875622","2"
"High transfer dependency","2007","66 and older","27","","","","2"
"Low transfer dependency","2007","16-34 y.","499","0.103721377598943","0.0952887019916712","0.112154053206214","1"
"Low transfer dependency","2007","35-65 y.","649","0.0605986007822315","0.0562209295959456","0.0649762719685174","1"
"Low transfer dependency","2007","66 and older","89","0.0219997960264642","0.0176637084117834","0.0263358836411449","1"
"Very high transfer dependency","2007","16-34 y.","283","0.0716573305966324","0.0645239695505287","0.078790691642736","3"
"Very high transfer dependency","2007","35-65 y.","422","0.0482684455553942","0.0443358876237796","0.0522010034870088","3"
"Very high transfer dependency","2007","66 and older","8","","","","3"
"Very low transfer dependency","2007","16-34 y.","4035","0.771083851995939","0.759464049250778","0.782703654741101","0"
"Very low transfer dependency","2007","35-65 y.","10084","0.865125396454831","0.858857946720865","0.871392846188797","0"
"Very low transfer dependency","2007","66 and older","4272","0.967785647912116","0.962566092190177","0.973005203634056","0"
"High transfer dependency","2008","16-34 y.","166","0.0440536966545142","0.0381052590875816","0.0500021342214467","2"
"High transfer dependency","2008","35-65 y.","209","0.0253857536725673","0.0223965884564361","0.0283749188886985","2"
"High transfer dependency","2008","66 and older","19","","","","2"
"Low transfer dependency","2008","16-34 y.","430","0.100726160545209","0.0920022319961641","0.109450089094253","1"
"Low transfer dependency","2008","35-65 y.","534","0.0521691266118332","0.0479433092820653","0.0563949439416011","1"
"Low transfer dependency","2008","66 and older","96","0.0257511710312524","0.0210431677029447","0.0304591743595602","1"
"Very high transfer dependency","2008","16-34 y.","238","0.0606931344267305","0.0537721398033535","0.0676141290501075","3"
"Very high transfer dependency","2008","35-65 y.","368","0.0470782522222494","0.0430531464586749","0.0511033579858239","3"
"Very high transfer dependency","2008","66 and older","8","","","","3"
"Very low transfer dependency","2008","16-34 y.","3738","0.794527008373547","0.782815126467439","0.806238890279654","0"
"Very low transfer dependency","2008","35-65 y.","9526","0.87536686749335","0.869089893648457","0.881643841338243","0"
"Very low transfer dependency","2008","66 and older","4225","0.963948247831951","0.9584071812221","0.969489314441802","0"
"High transfer dependency","2009","16-34 y.","143","0.0318851981240758","0.0265817810802185","0.0371886151679331","2"
"High transfer dependency","2009","35-65 y.","182","0.0226018452424876","0.0196676877670507","0.0255360027179246","2"
"High transfer dependency","2009","66 and older","14","","","","2"
