"transab_cat2","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1986","Full Time","Urban Area","3","","","","2"
"High transfer dependency","1986","Full Time","Rural Area","3","","","","2"
"High transfer dependency","1986","Part Time","Urban Area","35","0.0241245174424364","0.016166396987903","0.0320826378969698","2"
"High transfer dependency","1986","Part Time","Rural Area","10","","","","2"
"High transfer dependency","1986","Not Working","Urban Area","56","0.0128740640735161","0.00891144938967348","0.0168366787573587","2"
"High transfer dependency","1986","Not Working","Rural Area","15","","","","2"
"Low transfer dependency","1986","Full Time","Rural Area","15","","","","1"
"Low transfer dependency","1986","Full Time","Urban Area","57","0.0114248236546584","0.00807999564179909","0.0147696516675178","1"
"Low transfer dependency","1986","Part Time","Rural Area","37","0.0848856950001583","0.0572245142825485","0.112546875717768","1"
"Low transfer dependency","1986","Part Time","Urban Area","71","0.0515535050077886","0.0400846647456965","0.0630223452698806","1"
"Low transfer dependency","1986","Not Working","Urban Area","116","0.0270092136675155","0.0213108775297122","0.0327075498053189","1"
"Low transfer dependency","1986","Not Working","Rural Area","33","0.0292414970508269","0.0176387457160695","0.0408442483855843","1"
"Very high transfer dependency","1986","Full Time","Urban Area","2","","","","3"
"Very high transfer dependency","1986","Full Time","Rural Area","","","","","3"
"Very high transfer dependency","1986","Part Time","Urban Area","9","","","","3"
"Very high transfer dependency","1986","Not Working","Urban Area","130","0.0389236066025712","0.0321249481754419","0.0457222650297005","3"
"Very high transfer dependency","1986","Part Time","Rural Area","2","","","","3"
"Very high transfer dependency","1986","Not Working","Rural Area","27","","","","3"
"Very low transfer dependency","1986","Full Time","Urban Area","3816","0.987889677341325","0.984447158946736","0.991332195735914","0"
"Very low transfer dependency","1986","Full Time","Rural Area","956","0.9821881030761","0.97388154637614","0.990494659776061","0"
"Very low transfer dependency","1986","Part Time","Urban Area","1313","0.918579945807044","0.904395637554859","0.932764254059229","0"
"Very low transfer dependency","1986","Part Time","Rural Area","341","0.877168841902419","0.844591799052568","0.909745884752269","0"
"Very low transfer dependency","1986","Not Working","Urban Area","2807","0.921193115656397","0.911722130612848","0.930664100699946","0"
"Very low transfer dependency","1986","Not Working","Rural Area","735","0.922688042731971","0.904294882171719","0.941081203292223","0"
"High transfer dependency","1987","Full Time","Urban Area","7","","","","2"
"High transfer dependency","1987","Full Time","Rural Area","3","","","","2"
"High transfer dependency","1987","Part Time","Rural Area","7","","","","2"
"High transfer dependency","1987","Part Time","Urban Area","32","0.0202791819401614","0.012890433352254","0.0276679305280687","2"
"High transfer dependency","1987","Not Working","Urban Area","50","0.00993573767284296","0.00639429451391489","0.013477180831771","2"
"High transfer dependency","1987","Not Working","Rural Area","14","","","","2"
"Low transfer dependency","1987","Full Time","Urban Area","58","0.012663567151346","0.00916318333102327","0.0161639509716687","1"
"Low transfer dependency","1987","Part Time","Rural Area","32","0.0727509853447309","0.0475797768376412","0.0979221938518205","1"
"Low transfer dependency","1987","Full Time","Rural Area","13","","","","1"
"Low transfer dependency","1987","Part Time","Urban Area","72","0.0470317664602762","0.0359341589086001","0.0581293740119524","1"
"Low transfer dependency","1987","Not Working","Urban Area","133","0.0357954798099316","0.0291619115743411","0.0424290480455221","1"
"Low transfer dependency","1987","Not Working","Rural Area","34","0.0341428904631065","0.0212576536442643","0.0470281272819487","1"
"Very high transfer dependency","1987","Full Time","Urban Area","2","","","","3"
"Very high transfer dependency","1987","Full Time","Rural Area","","","","","3"
"Very high transfer dependency","1987","Part Time","Urban Area","6","","","","3"
"Very high transfer dependency","1987","Not Working","Urban Area","105","0.0317434173453961","0.0254834712458243","0.038003363444968","3"
"Very high transfer dependency","1987","Part Time","Rural Area","5","","","","3"
"Very high transfer dependency","1987","Not Working","Rural Area","27","","","","3"
"Very low transfer dependency","1987","Full Time","Urban Area","3853","0.985024152452246","0.981222046611075","0.988826258293417","0"
"Very low transfer dependency","1987","Full Time","Rural Area","961","0.982002515468186","0.97366641358731","0.990338617349061","0"
"Very low transfer dependency","1987","Part Time","Urban Area","1288","0.927721232406159","0.914147208088323","0.941295256723994","0"
"Very low transfer dependency","1987","Part Time","Rural Area","365","0.893918045840242","0.864074113617343","0.923761978063141","0"
"Very low transfer dependency","1987","Not Working","Urban Area","2725","0.922525365171829","0.912979452606652","0.932071277737007","0"
"Very low transfer dependency","1987","Not Working","Rural Area","688","0.915770725860316","0.896064169972331","0.9354772817483","0"
"High transfer dependency","1988","Full Time","Urban Area","4","","","","2"
"High transfer dependency","1988","Full Time","Rural Area","1","","","","2"
"High transfer dependency","1988","Part Time","Rural Area","9","","","","2"
"High transfer dependency","1988","Part Time","Urban Area","20","","","","2"
"High transfer dependency","1988","Not Working","Urban Area","40","0.0118205341126853","0.00785053124625629","0.0157905369791143","2"
"High transfer dependency","1988","Not Working","Rural Area","11","","","","2"
"Low transfer dependency","1988","Full Time","Rural Area","10","","","","1"
"Low transfer dependency","1988","Part Time","Urban Area","66","0.0445583490638111","0.0337924274182758","0.0553242707093464","1"
"Low transfer dependency","1988","Full Time","Urban Area","55","0.0127076747219564","0.0090970754429898","0.016318274000923","1"
"Low transfer dependency","1988","Part Time","Rural Area","28","","","","1"
"Low transfer dependency","1988","Not Working","Urban Area","113","0.0261241448588203","0.0202650949367675","0.0319831947808731","1"
"Low transfer dependency","1988","Not Working","Rural Area","31","0.0328121866852037","0.0196340948500978","0.0459902785203097","1"
"Very high transfer dependency","1988","Full Time","Urban Area","1","","","","3"
"Very high transfer dependency","1988","Full Time","Rural Area","1","","","","3"
"Very high transfer dependency","1988","Part Time","Urban Area","9","","","","3"
"Very high transfer dependency","1988","Part Time","Rural Area","5","","","","3"
"Very high transfer dependency","1988","Not Working","Urban Area","112","0.0335975135150357","0.0269785963581158","0.0402164306719557","3"
"Very high transfer dependency","1988","Not Working","Rural Area","28","","","","3"
"Very low transfer dependency","1988","Full Time","Urban Area","3637","0.985856845952136","0.982050542315354","0.989663149588918","0"
"Very low transfer dependency","1988","Full Time","Rural Area","880","0.985271644021182","0.977366299673838","0.993176988368525","0"
"Very low transfer dependency","1988","Part Time","Urban Area","1316","0.93662869814162","0.923916676345023","0.949340719938217","0"
"Very low transfer dependency","1988","Part Time","Rural Area","384","0.906773013304923","0.879163203924444","0.934382822685401","0"
"Very low transfer dependency","1988","Not Working","Urban Area","2582","0.928457807513459","0.918990716191154","0.937924898835763","0"
"Very low transfer dependency","1988","Not Working","Rural Area","632","0.915987603222607","0.895466721349812","0.936508485095403","0"
"High transfer dependency","1989","Full Time","Rural Area","5","","","","2"
"High transfer dependency","1989","Full Time","Urban Area","5","","","","2"
"High transfer dependency","1989","Part Time","Rural Area","6","","","","2"
"High transfer dependency","1989","Part Time","Urban Area","28","","","","2"
"High transfer dependency","1989","Not Working","Urban Area","51","0.0144263461696667","0.00997459171725231","0.018878100622081","2"
"High transfer dependency","1989","Not Working","Rural Area","7","","","","2"
"Low transfer dependency","1989","Full Time","Urban Area","54","0.0125345479614621","0.00893808466124036","0.0161310112616838","1"
"Low transfer dependency","1989","Full Time","Rural Area","8","","","","1"
"Low transfer dependency","1989","Part Time","Rural Area","21","","","","1"
"Low transfer dependency","1989","Part Time","Urban Area","70","0.0406238926623579","0.0300060992597748","0.0512416860649409","1"
"Low transfer dependency","1989","Not Working","Urban Area","117","0.0275232893665028","0.0214153002130056","0.0336312785199999","1"
"Low transfer dependency","1989","Not Working","Rural Area","20","","","","1"
"Very high transfer dependency","1989","Full Time","Urban Area","1","","","","3"
"Very high transfer dependency","1989","Full Time","Rural Area","","","","","3"
"Very high transfer dependency","1989","Part Time","Urban Area","7","","","","3"
"Very high transfer dependency","1989","Not Working","Urban Area","103","0.0355091982307323","0.028599995075319","0.0424184013861455","3"
"Very high transfer dependency","1989","Part Time","Rural Area","2","","","","3"
"Very high transfer dependency","1989","Not Working","Rural Area","35","0.0484263897214667","0.0321476004656261","0.0647051789773073","3"
"Very low transfer dependency","1989","Full Time","Urban Area","3616","0.986746305979339","0.983049458235681","0.990443153722997","0"
"Very low transfer dependency","1989","Full Time","Rural Area","858","0.986632334609181","0.979005497539715","0.994259171678647","0"
"Very low transfer dependency","1989","Part Time","Urban Area","1223","0.930694749544013","0.917035219613352","0.944354279474675","0"
"Very low transfer dependency","1989","Part Time","Rural Area","342","0.907177976866917","0.877650053813322","0.936705899920513","0"
"Very low transfer dependency","1989","Not Working","Urban Area","2485","0.922541166233098","0.912561021519589","0.932521310946607","0"
"Very low transfer dependency","1989","Not Working","Rural Area","606","0.921317967464794","0.900900474468184","0.941735460461403","0"
"High transfer dependency","1990","Full Time","Urban Area","9","","","","2"
"High transfer dependency","1990","Full Time","Rural Area","","","","","2"
"High transfer dependency","1990","Part Time","Rural Area","6","","","","2"
"High transfer dependency","1990","Part Time","Urban Area","30","0.0251547801273331","0.0168199578796889","0.0334896023749774","2"
"High transfer dependency","1990","Not Working","Urban Area","47","0.0128738527256908","0.00858422047101324","0.0171634849803684","2"
"High transfer dependency","1990","Not Working","Rural Area","7","","","","2"
"Low transfer dependency","1990","Full Time","Rural Area","6","","","","1"
"Low transfer dependency","1990","Full Time","Urban Area","40","0.00935530432035615","0.00618581601762218","0.0125247926230901","1"
"Low transfer dependency","1990","Part Time","Urban Area","55","0.0338668189258956","0.0242390879142005","0.0434945499375906","1"
"Low transfer dependency","1990","Part Time","Rural Area","22","","","","1"
"Low transfer dependency","1990","Not Working","Urban Area","95","0.0233648401053364","0.017616703901346","0.0291129763093268","1"
"Low transfer dependency","1990","Not Working","Rural Area","29","","","","1"
"Very high transfer dependency","1990","Full Time","Urban Area","1","","","","3"
"Very high transfer dependency","1990","Full Time","Rural Area","","","","","3"
"Very high transfer dependency","1990","Part Time","Urban Area","10","","","","3"
"Very high transfer dependency","1990","Not Working","Urban Area","86","0.0282686855061781","0.0219619390431265","0.0345754319692297","3"
"Very high transfer dependency","1990","Part Time","Rural Area","","","","","3"
"Very high transfer dependency","1990","Not Working","Rural Area","20","","","","3"
"Very low transfer dependency","1990","Full Time","Urban Area","3494","0.988594782855059","0.98509885734192","0.992090708368198","0"
"Very low transfer dependency","1990","Full Time","Rural Area","879","0.994790303451433","0.990047354600716","0.99953325230215","0"
"Very low transfer dependency","1990","Part Time","Urban Area","1261","0.932983126521519","0.919674071441358","0.94629218160168","0"
"Very low transfer dependency","1990","Part Time","Rural Area","335","0.911945076969017","0.882793910266413","0.941096243671622","0"
"Very low transfer dependency","1990","Not Working","Urban Area","2425","0.935492621662795","0.926144930717045","0.944840312608544","0"
"Very low transfer dependency","1990","Not Working","Rural Area","608","0.923743420526556","0.903556113378391","0.943930727674721","0"
"High transfer dependency","1991","Full Time","Rural Area","1","","","","2"
"High transfer dependency","1991","Full Time","Urban Area","5","","","","2"
"High transfer dependency","1991","Part Time","Urban Area","24","","","","2"
"High transfer dependency","1991","Part Time","Rural Area","5","","","","2"
"High transfer dependency","1991","Not Working","Urban Area","41","0.0121913815081029","0.00796017031534564","0.0164225927008601","2"
"High transfer dependency","1991","Not Working","Rural Area","15","","","","2"
"Low transfer dependency","1991","Full Time","Urban Area","54","0.0114482914139524","0.00794337356470194","0.014953209263203","1"
"Low transfer dependency","1991","Full Time","Rural Area","12","","","","1"
"Low transfer dependency","1991","Part Time","Rural Area","19","","","","1"
"Low transfer dependency","1991","Part Time","Urban Area","54","0.0386630068476099","0.0284505083067901","0.0488755053884297","1"
"Low transfer dependency","1991","Not Working","Urban Area","116","0.0335883142256745","0.0266416384967632","0.0405349899545857","1"
"Low transfer dependency","1991","Not Working","Rural Area","25","","","","1"
"Very high transfer dependency","1991","Full Time","Urban Area","","","","","3"
"Very high transfer dependency","1991","Full Time","Rural Area","","","","","3"
"Very high transfer dependency","1991","Not Working","Urban Area","76","0.0278136450108667","0.0214734071574697","0.0341538828642638","3"
"Very high transfer dependency","1991","Part Time","Urban Area","8","","","","3"
"Very high transfer dependency","1991","Part Time","Rural Area","1","","","","3"
"Very high transfer dependency","1991","Not Working","Rural Area","26","","","","3"
"Very low transfer dependency","1991","Full Time","Urban Area","3480","0.987425572535043","0.983754405838533","0.991096739231553","0"
"Very low transfer dependency","1991","Full Time","Rural Area","874","0.986464776012467","0.978860466315708","0.994069085709225","0"
"Very low transfer dependency","1991","Part Time","Urban Area","1283","0.94033923299482","0.927792430510429","0.952886035479212","0"
"Very low transfer dependency","1991","Part Time","Rural Area","359","0.940326824824887","0.916634293413874","0.964019356235901","0"
"Very low transfer dependency","1991","Not Working","Urban Area","2351","0.926406659255356","0.916339152504969","0.936474166005743","0"
"Very low transfer dependency","1991","Not Working","Rural Area","603","0.919282793443712","0.898641226634281","0.939924360253144","0"
"High transfer dependency","1992","Full Time","Rural Area","7","","","","2"
"High transfer dependency","1992","Full Time","Urban Area","12","","","","2"
"High transfer dependency","1992","Part Time","Urban Area","38","0.0219109097570397","0.0146672835439202","0.0291545359701592","2"
"High transfer dependency","1992","Part Time","Rural Area","22","","","","2"
"High transfer dependency","1992","Not Working","Urban Area","56","0.0140413984675189","0.00974940333140413","0.0183333936036337","2"
"High transfer dependency","1992","Not Working","Rural Area","31","0.020524890735763","0.0129247870663761","0.0281249944051499","2"
"Low transfer dependency","1992","Full Time","Rural Area","107","0.0387330423822319","0.0306442102077302","0.0468218745567335","1"
"Low transfer dependency","1992","Full Time","Urban Area","82","0.012396545072525","0.00910162033272047","0.0156914698123296","1"
"Low transfer dependency","1992","Part Time","Urban Area","101","0.0526019281661764","0.0415559622348643","0.0636478940974886","1"
"Low transfer dependency","1992","Part Time","Rural Area","100","0.0862172673097243","0.0678693469861496","0.104565187633299","1"
"Low transfer dependency","1992","Not Working","Urban Area","144","0.0267222711115358","0.0208395294780918","0.0326050127449797","1"
"Low transfer dependency","1992","Not Working","Rural Area","100","0.0430480701908581","0.0321686865333508","0.0539274538483655","1"
"Very high transfer dependency","1992","Full Time","Urban Area","3","","","","3"
"Very high transfer dependency","1992","Full Time","Rural Area","4","","","","3"
"Very high transfer dependency","1992","Part Time","Urban Area","10","","","","3"
"Very high transfer dependency","1992","Not Working","Urban Area","99","0.0325791502939031","0.0261032180354831","0.0390550825523232","3"
"Very high transfer dependency","1992","Part Time","Rural Area","5","","","","3"
"Very high transfer dependency","1992","Not Working","Rural Area","37","0.028176329609153","0.019306437579533","0.037046221638773","3"
"Very low transfer dependency","1992","Full Time","Urban Area","4235","0.984085677359371","0.980359063439663","0.987812291279078","0"
"Very low transfer dependency","1992","Full Time","Rural Area","2068","0.956777166498664","0.948252350176526","0.965301982820801","0"
"Very low transfer dependency","1992","Part Time","Urban Area","1420","0.920983875467932","0.907635743393663","0.9343320075422","0"
"Very low transfer dependency","1992","Part Time","Rural Area","772","0.88207551845975","0.860992969515717","0.903158067403784","0"
"Very low transfer dependency","1992","Not Working","Urban Area","2588","0.926657180127042","0.917147562636213","0.936166797617872","0"
"Very low transfer dependency","1992","Not Working","Rural Area","1169","0.908250709464226","0.892777278642563","0.923724140285889","0"
"High transfer dependency","1993","Full Time","Rural Area","15","","","","2"
"High transfer dependency","1993","Full Time","Urban Area","16","","","","2"
"High transfer dependency","1993","Part Time","Rural Area","29","","","","2"
"High transfer dependency","1993","Part Time","Urban Area","43","0.0249478997211116","0.0173833008328006","0.0325124986094226","2"
"High transfer dependency","1993","Not Working","Urban Area","68","0.0150297290046668","0.0106294192009275","0.0194300388084061","2"
"High transfer dependency","1993","Not Working","Rural Area","41","0.0232255858460368","0.0155468213129164","0.0309043503791573","2"
"Low transfer dependency","1993","Full Time","Urban Area","99","0.0162010286996197","0.0123636882972469","0.0200383691019924","1"
"Low transfer dependency","1993","Full Time","Rural Area","141","0.0536873126646894","0.044010052920305","0.0633645724090738","1"
"Low transfer dependency","1993","Part Time","Urban Area","108","0.0507481010391526","0.0401028567075928","0.0613933453707123","1"
"Low transfer dependency","1993","Part Time","Rural Area","85","0.0799455589353565","0.0612337722329932","0.0986573456377197","1"
"Low transfer dependency","1993","Not Working","Urban Area","180","0.0379033926351619","0.0309971075525497","0.0448096777177742","1"
"Low transfer dependency","1993","Not Working","Rural Area","171","0.0667751810373473","0.0540486057452972","0.0795017563293974","1"
"Very high transfer dependency","1993","Full Time","Urban Area","2","","","","3"
"Very high transfer dependency","1993","Full Time","Rural Area","3","","","","3"
"Very high transfer dependency","1993","Part Time","Urban Area","16","","","","3"
"Very high transfer dependency","1993","Part Time","Rural Area","13","","","","3"
"Very high transfer dependency","1993","Not Working","Urban Area","117","0.0352536772831482","0.0285839988451089","0.0419233557211876","3"
"Very high transfer dependency","1993","Not Working","Rural Area","53","0.032289042512741","0.0232772478683694","0.0413008371571125","3"
"Very low transfer dependency","1993","Full Time","Urban Area","4041","0.980503290526776","0.976300758456062","0.98470582259749","0"
"Very low transfer dependency","1993","Full Time","Rural Area","1925","0.938745331872834","0.928449943728331","0.949040720017338","0"
"Very low transfer dependency","1993","Part Time","Urban Area","1466","0.919204399597971","0.905986729680074","0.932422069515867","0"
"Very low transfer dependency","1993","Part Time","Rural Area","680","0.870051792134193","0.846852805010517","0.893250779257869","0"
"Very low transfer dependency","1993","Not Working","Urban Area","2572","0.911813201077023","0.901557842623226","0.92206855953082","0"
"Very low transfer dependency","1993","Not Working","Rural Area","1213","0.877710190603875","0.861007686835615","0.894412694372135","0"
"High transfer dependency","1994","Full Time","Urban Area","12","","","","2"
"High transfer dependency","1994","Full Time","Rural Area","17","","","","2"
"High transfer dependency","1994","Part Time","Urban Area","45","0.0258972336665723","0.0180631879419075","0.033731279391237","2"
"High transfer dependency","1994","Part Time","Rural Area","29","","","","2"
"High transfer dependency","1994","Not Working","Urban Area","83","0.019941447962516","0.014993836817406","0.024889059107626","2"
"High transfer dependency","1994","Not Working","Rural Area","43","0.02138937435095","0.014045702311447","0.0287330463904531","2"
"Low transfer dependency","1994","Full Time","Urban Area","125","0.0220747886388115","0.0174945745096522","0.0266550027679709","1"
"Low transfer dependency","1994","Full Time","Rural Area","97","0.0342030782976186","0.0262653932373597","0.0421407633578776","1"
"Low transfer dependency","1994","Part Time","Rural Area","93","0.102957289924262","0.0814500083547438","0.124464571493781","1"
"Low transfer dependency","1994","Part Time","Urban Area","109","0.0539491349497346","0.0428060225233702","0.0650922473760989","1"
"Low transfer dependency","1994","Not Working","Urban Area","216","0.0398193205332058","0.0328991848934047","0.0467394561730069","1"
"Low transfer dependency","1994","Not Working","Rural Area","137","0.0562069295521897","0.0445161736642375","0.067897685440142","1"
"Very high transfer dependency","1994","Full Time","Rural Area","3","","","","3"
"Very high transfer dependency","1994","Full Time","Urban Area","3","","","","3"
"Very high transfer dependency","1994","Part Time","Urban Area","18","","","","3"
"Very high transfer dependency","1994","Part Time","Rural Area","14","","","","3"
"Very high transfer dependency","1994","Not Working","Urban Area","135","0.0426334040034503","0.0354834155088237","0.0497833924980768","3"
"Very high transfer dependency","1994","Not Working","Rural Area","63","0.037980367077334","0.0282779304264652","0.0476828037282028","3"
"Very low transfer dependency","1994","Full Time","Urban Area","3813","0.974312115730467","0.969380401499551","0.979243829961384","0"
"Very low transfer dependency","1994","Full Time","Rural Area","1897","0.957060840524183","0.948207342375491","0.965914338672875","0"
"Very low transfer dependency","1994","Part Time","Urban Area","1407","0.908152312866654","0.89390704943188","0.922397576301428","0"
"Very low transfer dependency","1994","Part Time","Rural Area","631","0.826593176467435","0.799799678948334","0.853386673986536","0"
"Very low transfer dependency","1994","Not Working","Urban Area","2633","0.897605827500828","0.886876520920027","0.908335134081629","0"
"Very low transfer dependency","1994","Not Working","Rural Area","1248","0.884423329019526","0.868194975691853","0.9006516823472","0"
"High transfer dependency","1995","Full Time","Rural Area","16","","","","2"
"High transfer dependency","1995","Full Time","Urban Area","12","","","","2"
"High transfer dependency","1995","Part Time","Rural Area","32","0.026665105973073","0.0156046739689044","0.0377255379772416","2"
"High transfer dependency","1995","Part Time","Urban Area","43","0.0253742842084678","0.018076911988276","0.0326716564286596","2"
"High transfer dependency","1995","Not Working","Urban Area","92","0.0223613779641318","0.0172552559904743","0.0274674999377893","2"
"High transfer dependency","1995","Not Working","Rural Area","53","0.024379669801338","0.0167411968935434","0.0320181427091327","2"
"Low transfer dependency","1995","Full Time","Rural Area","101","0.0400334605810641","0.0315924813866893","0.048474439775439","1"
"Low transfer dependency","1995","Full Time","Urban Area","97","0.0184669483777339","0.0141992278309612","0.0227346689245066","1"
"Low transfer dependency","1995","Part Time","Rural Area","95","0.1044911746024","0.0834899786394618","0.125492370565339","1"
"Low transfer dependency","1995","Part Time","Urban Area","125","0.0611735113858801","0.0500529928526357","0.0722940299191245","1"
"Low transfer dependency","1995","Not Working","Urban Area","187","0.0347304445340191","0.0284073131754832","0.0410535758925551","1"
"Low transfer dependency","1995","Not Working","Rural Area","162","0.0664209635448298","0.0540876337877866","0.078754293301873","1"
"Very high transfer dependency","1995","Full Time","Urban Area","2","","","","3"
"Very high transfer dependency","1995","Full Time","Rural Area","1","","","","3"
"Very high transfer dependency","1995","Part Time","Urban Area","19","","","","3"
"Very high transfer dependency","1995","Part Time","Rural Area","18","","","","3"
"Very high transfer dependency","1995","Not Working","Urban Area","204","0.0585553746306258","0.0504470057017129","0.0666637435595387","3"
"Very high transfer dependency","1995","Not Working","Rural Area","91","0.0579648573190999","0.0463912658059317","0.0695384488322682","3"
"Very low transfer dependency","1995","Full Time","Urban Area","3712","0.978174721756995","0.973543089666575","0.982806353847416","0"
"Very low transfer dependency","1995","Full Time","Rural Area","1954","0.953255721571863","0.944166594903952","0.962344848239773","0"
"Very low transfer dependency","1995","Part Time","Urban Area","1597","0.906245259217635","0.892719235066287","0.919771283368984","0"
"Very low transfer dependency","1995","Part Time","Rural Area","670","0.846360663339164","0.821603650978483","0.871117675699844","0"
"Very low transfer dependency","1995","Not Working","Urban Area","2738","0.884352802871223","0.873308633388279","0.895396972354168","0"
"Very low transfer dependency","1995","Not Working","Rural Area","1260","0.851234509334732","0.833609558161137","0.868859460508328","0"
"High transfer dependency","1996","Full Time","Urban Area","16","","","","2"
"High transfer dependency","1996","Full Time","Rural Area","13","","","","2"
"High transfer dependency","1996","Part Time","Urban Area","64","0.0367179322272789","0.0280894878778997","0.045346376576658","2"
"High transfer dependency","1996","Part Time","Rural Area","40","0.0360063055664261","0.0234963815570811","0.0485162295757711","2"
"High transfer dependency","1996","Not Working","Urban Area","99","0.0259224898003319","0.020329650740457","0.0315153288602069","2"
"High transfer dependency","1996","Not Working","Rural Area","74","0.0347571454479045","0.0255278409365422","0.0439864499592667","2"
"Low transfer dependency","1996","Full Time","Rural Area","108","0.0427527778779926","0.0339373301170625","0.0515682256389228","1"
"Low transfer dependency","1996","Full Time","Urban Area","114","0.0234323284506542","0.0185646707455376","0.0282999861557708","1"
"Low transfer dependency","1996","Part Time","Urban Area","115","0.0544241862309079","0.0440163414609083","0.0648320310009075","1"
"Low transfer dependency","1996","Part Time","Rural Area","99","0.109811313419168","0.0888174256145485","0.130805201223787","1"
"Low transfer dependency","1996","Not Working","Urban Area","223","0.0475877639651723","0.0400947362239386","0.0550807917064061","1"
"Low transfer dependency","1996","Not Working","Rural Area","177","0.0805983419424992","0.0668818099067886","0.0943148739782097","1"
"Very high transfer dependency","1996","Full Time","Rural Area","2","","","","3"
"Very high transfer dependency","1996","Full Time","Urban Area","1","","","","3"
"Very high transfer dependency","1996","Part Time","Urban Area","17","","","","3"
"Very high transfer dependency","1996","Part Time","Rural Area","12","","","","3"
"Very high transfer dependency","1996","Not Working","Urban Area","208","0.0577582489404624","0.0495474505397281","0.0659690473411968","3"
"Very high transfer dependency","1996","Not Working","Rural Area","92","0.0509508649325137","0.039870635420268","0.0620310944447593","3"
"Very low transfer dependency","1996","Full Time","Urban Area","3579","0.973654519955712","0.968500849597625","0.978808190313798","0"
"Very low transfer dependency","1996","Full Time","Rural Area","1900","0.95291460048411","0.943684205829514","0.962144995138707","0"
"Very low transfer dependency","1996","Part Time","Rural Area","701","0.838776916519008","0.814084412100993","0.863469420937024","0"
"Very low transfer dependency","1996","Part Time","Urban Area","1629","0.903494026837925","0.889946613026164","0.917041440649685","0"
"Very low transfer dependency","1996","Not Working","Rural Area","1170","0.833693647677083","0.81493133832783","0.852455957026335","0"
"Very low transfer dependency","1996","Not Working","Urban Area","2571","0.868731497294033","0.856845920631371","0.880617073956696","0"
"High transfer dependency","1997","Full Time","Rural Area","22","","","","2"
"High transfer dependency","1997","Full Time","Urban Area","22","","","","2"
"High transfer dependency","1997","Part Time","Rural Area","39","0.0489974646605486","0.0341775081841158","0.0638174211369813","2"
"High transfer dependency","1997","Part Time","Urban Area","51","0.0327478707605945","0.0243222081757816","0.0411735333454074","2"
"High transfer dependency","1997","Not Working","Urban Area","105","0.0260089514518967","0.020443711355964","0.0315741915478294","2"
"High transfer dependency","1997","Not Working","Rural Area","81","0.0458794517981908","0.0354904194419987","0.056268484154383","2"
"Low transfer dependency","1997","Full Time","Rural Area","124","0.0507941320908893","0.0410232402646326","0.0605650239171459","1"
"Low transfer dependency","1997","Full Time","Urban Area","149","0.0320819973022862","0.0263479082343438","0.0378160863702286","1"
"Low transfer dependency","1997","Part Time","Rural Area","107","0.131217112353389","0.108036753563761","0.154397471143017","1"
"Low transfer dependency","1997","Part Time","Urban Area","166","0.086192400958526","0.0729060856723707","0.0994787162446813","1"
"Low transfer dependency","1997","Not Working","Urban Area","261","0.0557815057719372","0.0477568507969286","0.0638061607469458","1"
