"transab_cat2","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1986","direct migration background","Female","69","0.0490010207611244","0.037311275907452","0.0606907656147968","1"
"Low transfer dependency","1986","indirect migration background","Male","3","","","","1"
"Low transfer dependency","1986","indirect migration background","Female","2","","","","1"
"Very high transfer dependency","1986","no migration background","Male","37","0.0116610956339401","0.00817354900230398","0.0151486422655763","3"
"Very high transfer dependency","1986","no migration background","Female","69","0.0183677385996757","0.0141850301207906","0.0225504470785607","3"
"Very high transfer dependency","1986","direct migration background","Male","32","0.0303279138878696","0.0217210113489394","0.0389348164267999","3"
"Very high transfer dependency","1986","indirect migration background","Male","1","","","","3"
"Very high transfer dependency","1986","direct migration background","Female","31","0.0296856698843387","0.0204951073871528","0.0388762323815246","3"
"Very high transfer dependency","1986","indirect migration background","Female","","","","","3"
"Very low transfer dependency","1986","no migration background","Male","3484","0.953479346216983","0.946637458400648","0.960321234033319","0"
"Very low transfer dependency","1986","no migration background","Female","3755","0.946188069938194","0.939159234773852","0.953216905102536","0"
"Very low transfer dependency","1986","direct migration background","Male","1396","0.914385317451192","0.900342575464181","0.928428059438203","0"
"Very low transfer dependency","1986","direct migration background","Female","1185","0.911512167578281","0.896132906953084","0.926891428203477","0"
"Very low transfer dependency","1986","indirect migration background","Male","69","0.914797070642658","0.850753386520252","0.978840754765064","0"
"Very low transfer dependency","1986","indirect migration background","Female","79","0.969714474293593","0.93262243918178","1.00680650940541","0"
"High transfer dependency","1987","no migration background","Female","31","0.00816042158795436","0.00532998594281693","0.0109908572330918","2"
"High transfer dependency","1987","no migration background","Male","29","","","","2"
"High transfer dependency","1987","direct migration background","Female","26","","","","2"
"High transfer dependency","1987","direct migration background","Male","27","","","","2"
"High transfer dependency","1987","indirect migration background","Male","","","","","2"
"High transfer dependency","1987","indirect migration background","Female","","","","","2"
"Low transfer dependency","1987","no migration background","Female","119","0.029888928372473","0.0245316751797701","0.0352461815651759","1"
"Low transfer dependency","1987","no migration background","Male","95","0.0257084894867044","0.0205328661035902","0.0308841128698185","1"
"Low transfer dependency","1987","direct migration background","Female","60","0.0450832896428747","0.0338731585301181","0.0562934207556313","1"
"Low transfer dependency","1987","direct migration background","Male","58","0.0281522051966562","0.019823123708674","0.0364812866846383","1"
"Low transfer dependency","1987","indirect migration background","Male","5","","","","1"
"Low transfer dependency","1987","indirect migration background","Female","5","","","","1"
"Very high transfer dependency","1987","no migration background","Male","39","0.0125869102772684","0.00894114306089302","0.0162326774936438","3"
"Very high transfer dependency","1987","no migration background","Female","52","0.0148424619346679","0.0110380977546285","0.0186468261147072","3"
"Very high transfer dependency","1987","direct migration background","Male","22","","","","3"
"Very high transfer dependency","1987","indirect migration background","Male","1","","","","3"
"Very high transfer dependency","1987","direct migration background","Female","30","0.0288310906131542","0.0197904736923632","0.0378717075339452","3"
"Very high transfer dependency","1987","indirect migration background","Female","1","","","","3"
"Very low transfer dependency","1987","no migration background","Male","3429","0.953394990276937","0.946501603269759","0.960288377284116","0"
"Very low transfer dependency","1987","no migration background","Female","3679","0.947108188104905","0.940066605349426","0.954149770860384","0"
"Very low transfer dependency","1987","direct migration background","Male","1408","0.933698674027126","0.921169967032207","0.946227381022045","0"
"Very low transfer dependency","1987","direct migration background","Female","1200","0.912630911915679","0.897374702721447","0.92788712110991","0"
"Very low transfer dependency","1987","indirect migration background","Male","77","0.918565256264815","0.859725763632212","0.977404748897418","0"
"Very low transfer dependency","1987","indirect migration background","Female","87","0.966725680588719","0.930274396240134","1.0031769649373","0"
"High transfer dependency","1988","no migration background","Male","22","","","","2"
"High transfer dependency","1988","no migration background","Female","31","0.00884458812147819","0.00581747183772485","0.0118717044052315","2"
"High transfer dependency","1988","direct migration background","Male","14","","","","2"
"High transfer dependency","1988","direct migration background","Female","14","","","","2"
"High transfer dependency","1988","indirect migration background","Male","3","","","","2"
"High transfer dependency","1988","indirect migration background","Female","1","","","","2"
"Low transfer dependency","1988","no migration background","Male","73","0.0209601836312805","0.0161542511437088","0.0257661161188523","1"
"Low transfer dependency","1988","no migration background","Female","84","0.0247791309790623","0.0197532297651318","0.0298050321929928","1"
"Low transfer dependency","1988","direct migration background","Female","70","0.0502454883894999","0.0381643602724736","0.0623266165065263","1"
"Low transfer dependency","1988","direct migration background","Male","66","0.0354039073848936","0.0257547155285439","0.0450530992412432","1"
"Low transfer dependency","1988","indirect migration background","Male","5","","","","1"
"Low transfer dependency","1988","indirect migration background","Female","5","","","","1"
"Very high transfer dependency","1988","no migration background","Male","34","0.012352685396068","0.00864705943034242","0.0160583113617936","3"
"Very high transfer dependency","1988","no migration background","Female","57","0.0176814133145622","0.0134204863693861","0.0219423402597382","3"
"Very high transfer dependency","1988","direct migration background","Male","28","","","","3"
"Very high transfer dependency","1988","direct migration background","Female","31","0.027779978399311","0.018691283945195","0.036868672853427","3"
"Very high transfer dependency","1988","indirect migration background","Male","2","","","","3"
"Very high transfer dependency","1988","indirect migration background","Female","4","","","","3"
"Very low transfer dependency","1988","no migration background","Male","3284","0.961064112107028","0.954574314269657","0.9675539099444","0"
"Very low transfer dependency","1988","no migration background","Female","3503","0.948694867584897","0.941562017418664","0.955827717751131","0"
"Very low transfer dependency","1988","direct migration background","Male","1301","0.928920865644547","0.915503939825544","0.942337791463549","0"
"Very low transfer dependency","1988","direct migration background","Female","1141","0.915864293005196","0.900512503419115","0.931216082591277","0"
"Very low transfer dependency","1988","indirect migration background","Male","97","0.891307436855569","0.832332174386385","0.950282699324754","0"
"Very low transfer dependency","1988","indirect migration background","Female","105","0.954507839621657","0.916422555356825","0.992593123886489","0"
"High transfer dependency","1989","no migration background","Female","35","0.0119094488980291","0.00833243623128286","0.0154864615647752","2"
"High transfer dependency","1989","no migration background","Male","23","","","","2"
"High transfer dependency","1989","direct migration background","Female","22","","","","2"
"High transfer dependency","1989","direct migration background","Male","20","","","","2"
"High transfer dependency","1989","indirect migration background","Male","1","","","","2"
"High transfer dependency","1989","indirect migration background","Female","1","","","","2"
"Low transfer dependency","1989","no migration background","Female","78","0.0206000207828626","0.0159163091688766","0.0252837323968486","1"
"Low transfer dependency","1989","no migration background","Male","71","0.0191345778300112","0.0144547235260491","0.0238144321339734","1"
"Low transfer dependency","1989","direct migration background","Female","66","0.0526983332272023","0.040262358269899","0.0651343081845055","1"
"Low transfer dependency","1989","direct migration background","Male","63","0.0318387005351649","0.0224662173220991","0.0412111837482307","1"
"Low transfer dependency","1989","indirect migration background","Male","6","","","","1"
"Low transfer dependency","1989","indirect migration background","Female","6","","","","1"
"Very high transfer dependency","1989","no migration background","Male","34","0.0115763517135556","0.00792229235478137","0.0152304110723298","3"
"Very high transfer dependency","1989","no migration background","Female","56","0.0193899959276003","0.0148431180378785","0.0239368738173221","3"
"Very high transfer dependency","1989","indirect migration background","Male","2","","","","3"
"Very high transfer dependency","1989","direct migration background","Male","28","","","","3"
"Very high transfer dependency","1989","direct migration background","Female","26","","","","3"
"Very high transfer dependency","1989","indirect migration background","Female","2","","","","3"
"Very low transfer dependency","1989","no migration background","Male","3164","0.960234649397386","0.953559526404061","0.966909772390711","0"
"Very low transfer dependency","1989","no migration background","Female","3364","0.948100534391508","0.940786029898308","0.955415038884708","0"
"Very low transfer dependency","1989","direct migration background","Male","1237","0.930714493361577","0.917158461469481","0.944270525253673","0"
"Very low transfer dependency","1989","direct migration background","Female","1126","0.911309177459231","0.895485425679012","0.92713292923945","0"
"Very low transfer dependency","1989","indirect migration background","Male","113","0.902637641093812","0.85003343876381","0.955241843423813","0"
"Very low transfer dependency","1989","indirect migration background","Female","126","0.935658200208788","0.894269058228302","0.977047342189274","0"
"High transfer dependency","1990","no migration background","Male","23","","","","2"
"High transfer dependency","1990","no migration background","Female","32","0.0100992452655903","0.0067652548073925","0.013433235723788","2"
"High transfer dependency","1990","direct migration background","Female","22","","","","2"
"High transfer dependency","1990","direct migration background","Male","22","","","","2"
"High transfer dependency","1990","indirect migration background","Male","","","","","2"
"High transfer dependency","1990","indirect migration background","Female","","","","","2"
"Low transfer dependency","1990","no migration background","Male","60","0.0184439925071004","0.0137755748800514","0.0231124101341494","1"
"Low transfer dependency","1990","no migration background","Female","75","0.0209337559006399","0.0161600717382981","0.0257074400629818","1"
"Low transfer dependency","1990","direct migration background","Male","50","0.0273599130644931","0.0186026891316441","0.0361171369973421","1"
"Low transfer dependency","1990","direct migration background","Female","49","0.0400835802405398","0.0289574051354692","0.0512097553456104","1"
"Low transfer dependency","1990","indirect migration background","Male","8","","","","1"
"Low transfer dependency","1990","indirect migration background","Female","5","","","","1"
"Very high transfer dependency","1990","no migration background","Male","23","","","","3"
"Very high transfer dependency","1990","no migration background","Female","32","0.0113217932798436","0.00779395103672041","0.0148496355229667","3"
"Very high transfer dependency","1990","direct migration background","Male","33","0.0294056378728116","0.0203364750137976","0.0384748007318256","3"
"Very high transfer dependency","1990","indirect migration background","Male","1","","","","3"
"Very high transfer dependency","1990","direct migration background","Female","25","","","","3"
"Very high transfer dependency","1990","indirect migration background","Female","3","","","","3"
"Very low transfer dependency","1990","no migration background","Male","3085","0.963736250306627","0.957249903871009","0.970222596742244","0"
"Very low transfer dependency","1990","no migration background","Female","3316","0.957645205553926","0.950929716064484","0.964360695043369","0"
"Very low transfer dependency","1990","direct migration background","Male","1228","0.928342582029742","0.914496792370525","0.94218837168896","0"
"Very low transfer dependency","1990","direct migration background","Female","1098","0.922403535003923","0.907228581278824","0.937578488729022","0"
"Very low transfer dependency","1990","indirect migration background","Male","135","0.942010589531941","0.903836465147847","0.980184713916035","0"
"Very low transfer dependency","1990","indirect migration background","Female","140","0.969799462362173","0.942227635666023","0.997371289058324","0"
"High transfer dependency","1991","no migration background","Female","37","0.0119840195243659","0.00834460784807789","0.015623431200654","2"
"High transfer dependency","1991","no migration background","Male","19","","","","2"
"High transfer dependency","1991","direct migration background","Female","16","","","","2"
"High transfer dependency","1991","direct migration background","Male","17","","","","2"
"High transfer dependency","1991","indirect migration background","Male","1","","","","2"
"High transfer dependency","1991","indirect migration background","Female","1","","","","2"
"Low transfer dependency","1991","no migration background","Female","82","0.0226754987195679","0.0176964570294397","0.0276545404096961","1"
"Low transfer dependency","1991","no migration background","Male","64","0.0195777898492969","0.0147457508599112","0.0244098288386827","1"
"Low transfer dependency","1991","direct migration background","Male","59","0.0432055585838454","0.032191245894121","0.0542198712735699","1"
"Low transfer dependency","1991","direct migration background","Female","59","0.0485612462992581","0.0363073363831189","0.0608151562153973","1"
"Low transfer dependency","1991","indirect migration background","Male","10","","","","1"
"Low transfer dependency","1991","indirect migration background","Female","6","","","","1"
"Very high transfer dependency","1991","no migration background","Male","25","","","","3"
"Very high transfer dependency","1991","no migration background","Female","32","0.0118005006959157","0.00818872744062907","0.0154122739512023","3"
"Very high transfer dependency","1991","indirect migration background","Male","5","","","","3"
"Very high transfer dependency","1991","direct migration background","Male","23","","","","3"
"Very high transfer dependency","1991","direct migration background","Female","21","","","","3"
"Very high transfer dependency","1991","indirect migration background","Female","5","","","","3"
"Very low transfer dependency","1991","no migration background","Male","3050","0.963918133310586","0.957413742880686","0.970422523740486","0"
"Very low transfer dependency","1991","no migration background","Female","3283","0.95353998106015","0.946500233425942","0.960579728694359","0"
"Very low transfer dependency","1991","direct migration background","Male","1210","0.927425503981309","0.91337118521941","0.941479822743207","0"
"Very low transfer dependency","1991","direct migration background","Female","1086","0.926209387005196","0.911305673245703","0.941113100764689","0"
"Very low transfer dependency","1991","indirect migration background","Male","158","0.90532668831595","0.861826622603155","0.948826754028744","0"
"Very low transfer dependency","1991","indirect migration background","Female","163","0.936427666962915","0.900278336339418","0.972576997586413","0"
"High transfer dependency","1992","no migration background","Male","54","0.0102297132869226","0.00741861375279936","0.0130408128210458","2"
"High transfer dependency","1992","no migration background","Female","73","0.0124207165185832","0.00947813750815958","0.0153632955290069","2"
"High transfer dependency","1992","direct migration background","Female","20","","","","2"
"High transfer dependency","1992","direct migration background","Male","17","","","","2"
"High transfer dependency","1992","indirect migration background","Male","3","","","","2"
"High transfer dependency","1992","indirect migration background","Female","1","","","","2"
"Low transfer dependency","1992","no migration background","Male","237","0.0335723103533623","0.0285401718817478","0.0386044488249769","1"
"Low transfer dependency","1992","no migration background","Female","260","0.0308890398758607","0.0262922168974899","0.0354858628542316","1"
"Low transfer dependency","1992","direct migration background","Female","60","0.0375718670918288","0.0269405347909984","0.0482031993926592","1"
"Low transfer dependency","1992","direct migration background","Male","61","0.0297368670420491","0.0205977339903637","0.0388760000937345","1"
"Low transfer dependency","1992","indirect migration background","Male","14","","","","1"
"Low transfer dependency","1992","indirect migration background","Female","10","","","","1"
"Very high transfer dependency","1992","no migration background","Male","35","0.0101892279513179","0.00738363918829725","0.0129948167143385","3"
"Very high transfer dependency","1992","no migration background","Female","55","0.0138481910293672","0.0107433652688605","0.016953016789874","3"
"Very high transfer dependency","1992","direct migration background","Male","29","","","","3"
"Very high transfer dependency","1992","indirect migration background","Male","4","","","","3"
"Very high transfer dependency","1992","direct migration background","Female","27","","","","3"
"Very high transfer dependency","1992","indirect migration background","Female","8","","","","3"
"Very low transfer dependency","1992","no migration background","Male","4596","0.946008748408397","0.939695010348314","0.952322486468481","0"
"Very low transfer dependency","1992","no migration background","Female","5054","0.942842052576189","0.936674304777756","0.949009800374621","0"
"Very low transfer dependency","1992","direct migration background","Male","1220","0.938891734321024","0.92600418422401","0.951779284418037","0"
"Very low transfer dependency","1992","direct migration background","Female","1122","0.929960830235463","0.915692440200321","0.944229220270605","0"
"Very low transfer dependency","1992","indirect migration background","Male","184","0.890641383764871","0.847919627394963","0.93336314013478","0"
"Very low transfer dependency","1992","indirect migration background","Female","183","0.936977141709116","0.903466252473779","0.970488030944453","0"
"High transfer dependency","1993","no migration background","Female","82","0.0134444769578899","0.0103488581076441","0.0165400958081358","2"
"High transfer dependency","1993","no migration background","Male","69","0.0132023989815894","0.0099851081533072","0.0164196898098716","2"
"High transfer dependency","1993","direct migration background","Female","22","","","","2"
"High transfer dependency","1993","direct migration background","Male","28","","","","2"
"High transfer dependency","1993","indirect migration background","Male","7","","","","2"
"High transfer dependency","1993","indirect migration background","Female","4","","","","2"
"Low transfer dependency","1993","no migration background","Female","339","0.0410135320358565","0.035682827811224","0.046344236260489","1"
"Low transfer dependency","1993","no migration background","Male","305","0.0416084934371147","0.0359797386995809","0.0472372481746486","1"
"Low transfer dependency","1993","direct migration background","Male","59","0.0310527973356808","0.0215612900831997","0.0405443045881619","1"
"Low transfer dependency","1993","direct migration background","Female","60","0.0422348049096236","0.0308172072509768","0.0536524025682704","1"
"Low transfer dependency","1993","indirect migration background","Male","14","","","","1"
"Low transfer dependency","1993","indirect migration background","Female","7","","","","1"
"Very high transfer dependency","1993","no migration background","Male","58","0.0134503509240475","0.0102033969483701","0.0166973048997249","3"
"Very high transfer dependency","1993","no migration background","Female","87","0.0159632726095376","0.0125944248916528","0.0193321203274224","3"
"Very high transfer dependency","1993","direct migration background","Male","25","","","","3"
"Very high transfer dependency","1993","direct migration background","Female","26","","","","3"
"Very high transfer dependency","1993","indirect migration background","Male","4","","","","3"
"Very high transfer dependency","1993","indirect migration background","Female","4","","","","3"
"Very low transfer dependency","1993","no migration background","Male","4403","0.931738756657248","0.92463015743931","0.938847355875187","0"
"Very low transfer dependency","1993","no migration background","Female","4809","0.929578718396716","0.922701547614527","0.936455889178905","0"
"Very low transfer dependency","1993","direct migration background","Male","1171","0.935466270899404","0.922021846595433","0.948910695203375","0"
"Very low transfer dependency","1993","direct migration background","Female","1084","0.923897924753925","0.908845023627174","0.938950825880676","0"
"Very low transfer dependency","1993","indirect migration background","Male","213","0.906073053208545","0.869010415663913","0.943135690753178","0"
"Very low transfer dependency","1993","indirect migration background","Female","217","0.960589035467753","0.935552084256837","0.98562598667867","0"
"High transfer dependency","1994","no migration background","Male","77","0.0145969080068893","0.0111840898654611","0.0180097261483176","2"
"High transfer dependency","1994","no migration background","Female","95","0.0149423439864056","0.0116658707693662","0.0182188172034449","2"
"High transfer dependency","1994","direct migration background","Female","22","","","","2"
"High transfer dependency","1994","direct migration background","Male","28","","","","2"
"High transfer dependency","1994","indirect migration background","Male","5","","","","2"
"High transfer dependency","1994","indirect migration background","Female","2","","","","2"
"Low transfer dependency","1994","no migration background","Male","275","0.0402835714467853","0.0346884283393848","0.0458787145541859","1"
"Low transfer dependency","1994","no migration background","Female","316","0.0385928205105117","0.0333907842853427","0.0437948567356807","1"
"Low transfer dependency","1994","direct migration background","Female","74","0.0487857799888402","0.0363569290326525","0.061214630945028","1"
"Low transfer dependency","1994","direct migration background","Male","76","0.0542995572359375","0.041541876740167","0.067057237731708","1"
"Low transfer dependency","1994","indirect migration background","Male","20","","","","1"
"Low transfer dependency","1994","indirect migration background","Female","16","","","","1"
"Very high transfer dependency","1994","no migration background","Female","100","0.0197556877289105","0.0159974895846333","0.0235138858731878","3"
"Very high transfer dependency","1994","no migration background","Male","67","0.0188301579952718","0.0149622616385876","0.022698054351956","3"
"Very high transfer dependency","1994","direct migration background","Male","34","0.0264098550413826","0.0173823471983829","0.0354373628843823","3"
"Very high transfer dependency","1994","direct migration background","Female","29","","","","3"
"Very high transfer dependency","1994","indirect migration background","Male","4","","","","3"
"Very high transfer dependency","1994","indirect migration background","Female","2","","","","3"
"Very low transfer dependency","1994","no migration background","Male","4325","0.926289362551054","0.9188537941578","0.933724930944307","0"
"Very low transfer dependency","1994","no migration background","Female","4756","0.926709147774172","0.919670924453883","0.933747371094461","0"
"Very low transfer dependency","1994","direct migration background","Male","1074","0.894310360763086","0.877001952925129","0.911618768601042","0"
"Very low transfer dependency","1994","direct migration background","Female","1029","0.907184260199731","0.890442398300439","0.923926122099023","0"
"Very low transfer dependency","1994","indirect migration background","Male","218","0.897103584762115","0.859213896436665","0.934993273087566","0"
"Very low transfer dependency","1994","indirect migration background","Female","227","0.944188691531583","0.91556075050314","0.972816632560025","0"
"High transfer dependency","1995","no migration background","Female","90","0.0147050549832869","0.011448430890285","0.0179616790762889","2"
"High transfer dependency","1995","no migration background","Male","67","0.0134120273397623","0.0101355797696496","0.016688474909875","2"
"High transfer dependency","1995","direct migration background","Female","37","0.0213859762218862","0.0137504984841309","0.0290214539596414","2"
"High transfer dependency","1995","direct migration background","Male","40","0.0310137881105845","0.0219685336165885","0.0400590426045805","2"
"High transfer dependency","1995","indirect migration background","Male","5","","","","2"
"High transfer dependency","1995","indirect migration background","Female","9","","","","2"
"Low transfer dependency","1995","no migration background","Female","284","0.0373113750920099","0.0321837681660413","0.0424389820179785","1"
"Low transfer dependency","1995","no migration background","Male","266","0.0430194549946082","0.0372401966889396","0.0487987133002768","1"
"Low transfer dependency","1995","direct migration background","Female","91","0.0547841100102628","0.0427736740951484","0.0667945459253773","1"
"Low transfer dependency","1995","direct migration background","Male","93","0.0548877600152651","0.0430037220181792","0.066771798012351","1"
"Low transfer dependency","1995","indirect migration background","Male","14","","","","1"
"Low transfer dependency","1995","indirect migration background","Female","19","","","","1"
"Very high transfer dependency","1995","no migration background","Male","80","0.0198189842282819","0.015849062549669","0.0237889059068947","3"
"Very high transfer dependency","1995","no migration background","Female","119","0.0226073013622595","0.0185855975310286","0.0266290051934904","3"
"Very high transfer dependency","1995","direct migration background","Male","63","0.061624252284839","0.0490769950112219","0.0741715095584561","3"
"Very high transfer dependency","1995","direct migration background","Female","66","0.0613051135161544","0.0486438649653906","0.0739663620669182","3"
"Very high transfer dependency","1995","indirect migration background","Male","5","","","","3"
"Very high transfer dependency","1995","indirect migration background","Female","2","","","","3"
"Very low transfer dependency","1995","no migration background","Male","4322","0.923749533437348","0.916190148376054","0.931308918498641","0"
"Very low transfer dependency","1995","no migration background","Female","4755","0.925376268562444","0.918266608478243","0.932485928646644","0"
"Very low transfer dependency","1995","direct migration background","Female","1185","0.862524800251697","0.844350239092456","0.880699361410937","0"
"Very low transfer dependency","1995","direct migration background","Male","1215","0.852474199589311","0.833970473291265","0.870977925887358","0"
"Very low transfer dependency","1995","indirect migration background","Female","225","0.912165036220113","0.877423547484306","0.946906524955921","0"
"Very low transfer dependency","1995","indirect migration background","Male","229","0.922026454384129","0.888986977476344","0.955065931291915","0"
"High transfer dependency","1996","no migration background","Female","125","0.0219206075444469","0.0179358370337864","0.0259053780551074","2"
"High transfer dependency","1996","no migration background","Male","96","0.016791454220129","0.0131180718336963","0.0204648366065618","2"
"High transfer dependency","1996","direct migration background","Female","42","0.0267973484791076","0.0179984459538465","0.0355962510043687","2"
"High transfer dependency","1996","direct migration background","Male","31","0.0204975926111818","0.0128039844154812","0.0281912008068825","2"
"High transfer dependency","1996","indirect migration background","Male","9","","","","2"
"High transfer dependency","1996","indirect migration background","Female","3","","","","2"
"Low transfer dependency","1996","no migration background","Female","320","0.0460380239940307","0.0403348865677605","0.0517411614203009","1"
"Low transfer dependency","1996","no migration background","Male","301","0.0506881709928708","0.0444168804944173","0.0569594614913244","1"
"Low transfer dependency","1996","direct migration background","Female","91","0.0520978429949544","0.0399898383214466","0.0642058476684623","1"
"Low transfer dependency","1996","direct migration background","Male","88","0.0528196442867381","0.0406748556647368","0.0649644329087395","1"
"Low transfer dependency","1996","indirect migration background","Male","17","","","","1"
"Low transfer dependency","1996","indirect migration background","Female","19","","","","1"
"Very high transfer dependency","1996","no migration background","Male","78","0.016745751484626","0.013077286325639","0.0204142166436129","3"
"Very high transfer dependency","1996","no migration background","Female","117","0.0210511420112148","0.017144462367613","0.0249578216548166","3"
"Very high transfer dependency","1996","direct migration background","Male","61","0.0630793890083212","0.0498794775319253","0.0762793004847171","3"
"Very high transfer dependency","1996","direct migration background","Female","59","0.0561090099244046","0.0435701463893034","0.0686478734595058","3"
"Very high transfer dependency","1996","indirect migration background","Male","8","","","","3"
"Very high transfer dependency","1996","indirect migration background","Female","9","","","","3"
"Very low transfer dependency","1996","no migration background","Male","4225","0.915774623302374","0.90783472489708","0.923714521707669","0"
"Very low transfer dependency","1996","no migration background","Female","4625","0.910990226450308","0.903240869354761","0.918739583545854","0"
"Very low transfer dependency","1996","direct migration background","Male","1123","0.863603374093759","0.84496813960175","0.882238608585767","0"
"Very low transfer dependency","1996","direct migration background","Female","1102","0.864995798601533","0.846376573864886","0.883615023338181","0"
"Very low transfer dependency","1996","indirect migration background","Male","233","0.914268599857929","0.880687159417223","0.947850040298635","0"
"Very low transfer dependency","1996","indirect migration background","Female","243","0.915005051492682","0.881984744013603","0.94802535897176","0"
"High transfer dependency","1997","no migration background","Male","105","0.018864651769163","0.0149514016518855","0.0227779018864404","2"
"High transfer dependency","1997","no migration background","Female","134","0.0259806857891131","0.0216203565382342","0.0303410150399921","2"
