"transab_cat2","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1985","(Married) couple without C. ","Female","1166","0.964134742765541","0.953678737492548","0.974590748038534"
"Very low transfer dependency","1985","Single parent ","Male","174","0.945434320200772","0.912793047349961","0.978075593051583"
"Very low transfer dependency","1985","Single parent ","Female","294","0.825154723684","0.78569829812941","0.86461114923859"
"Very low transfer dependency","1985","Couple + C. LE 16 ","Male","1245","0.943448768726131","0.931062940418304","0.955834597033959"
"Very low transfer dependency","1985","Couple + C. LE 16 ","Female","1242","0.9428830149479","0.930420447484357","0.955345582411443"
"Very low transfer dependency","1985","Couple + C. GT 16 ","Male","1068","0.974003143080576","0.964633591379896","0.983372694781257"
"Very low transfer dependency","1985","Couple + C. GT 16 ","Female","883","0.971066110017646","0.960217071904954","0.981915148130338"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","Male","756","0.959101360852881","0.945462055134347","0.972740666571415"
"Very low transfer dependency","1985","Couple + C. LE and GT 16","Female","641","0.963575489102114","0.949525451851934","0.977625526352293"
"Low transfer dependency","1985","1-pers.-HH","Male","11","","",""
"Low transfer dependency","1985","1-pers.-HH","Female","14","","",""
"Low transfer dependency","1985","(Married) couple without C. ","Male","24","","",""
"Low transfer dependency","1985","(Married) couple without C. ","Female","26","","",""
"Low transfer dependency","1985","Single parent ","Male","9","","",""
"Low transfer dependency","1985","Single parent ","Female","21","","",""
"Low transfer dependency","1985","Couple + C. LE 16 ","Male","52","0.031185061388698","0.0218645749907363","0.0405055477866597"
"Low transfer dependency","1985","Couple + C. LE 16 ","Female","51","0.0316786551989947","0.022272999010194","0.0410843113877955"
"Low transfer dependency","1985","Couple + C. GT 16 ","Male","19","","",""
"Low transfer dependency","1985","Couple + C. GT 16 ","Female","17","","",""
"Low transfer dependency","1985","Couple + C. LE and GT 16","Male","41","0.0316869614366119","0.0196240047311687","0.043749918142055"
"Low transfer dependency","1985","Couple + C. LE and GT 16","Female","28","","",""
"High transfer dependency","1985","1-pers.-HH","Male","7","","",""
"High transfer dependency","1985","1-pers.-HH","Female","15","","",""
"High transfer dependency","1985","(Married) couple without C. ","Male","9","","",""
"High transfer dependency","1985","(Married) couple without C. ","Female","9","","",""
"High transfer dependency","1985","Single parent ","Male","2","","",""
"High transfer dependency","1985","Single parent ","Female","10","","",""
"High transfer dependency","1985","Couple + C. LE 16 ","Male","11","","",""
"High transfer dependency","1985","Couple + C. LE 16 ","Female","11","","",""
"High transfer dependency","1985","Couple + C. GT 16 ","Male","15","","",""
"High transfer dependency","1985","Couple + C. GT 16 ","Female","14","","",""
"High transfer dependency","1985","Couple + C. LE and GT 16","Male","9","","",""
"High transfer dependency","1985","Couple + C. LE and GT 16","Female","11","","",""
"Very high transfer dependency","1985","1-pers.-HH","Male","21","","",""
"Very high transfer dependency","1985","1-pers.-HH","Female","26","","",""
"Very high transfer dependency","1985","(Married) couple without C. ","Male","14","","",""
"Very high transfer dependency","1985","(Married) couple without C. ","Female","14","","",""
"Very high transfer dependency","1985","Single parent ","Male","1","","",""
"Very high transfer dependency","1985","Single parent ","Female","31","0.078496646758931","0.0505585315194458","0.106434761998416"
"Very high transfer dependency","1985","Couple + C. LE 16 ","Male","28","","",""
"Very high transfer dependency","1985","Couple + C. LE 16 ","Female","28","","",""
"Very high transfer dependency","1985","Couple + C. GT 16 ","Male","6","","",""
"Very high transfer dependency","1985","Couple + C. GT 16 ","Female","3","","",""
"Very high transfer dependency","1985","Couple + C. LE and GT 16","Male","4","","",""
"Very high transfer dependency","1985","Couple + C. LE and GT 16","Female","3","","",""
"Very low transfer dependency","1986","1-pers.-HH","Male","406","0.887104882861486","0.857962567461707","0.916247198261265"
"Very low transfer dependency","1986","1-pers.-HH","Female","608","0.928347210070713","0.908715275514215","0.94797914462721"
"Very low transfer dependency","1986","(Married) couple without C. ","Male","1142","0.967524311640909","0.957440311165787","0.977608312116031"
"Very low transfer dependency","1986","(Married) couple without C. ","Female","1148","0.969100216578472","0.959280703967646","0.978919729189297"
"Very low transfer dependency","1986","Single parent ","Male","162","0.91463411033332","0.873234624340939","0.956033596325701"
"Very low transfer dependency","1986","Single parent ","Female","270","0.814765079402872","0.772722553113682","0.856807605692062"
"Very low transfer dependency","1986","Couple + C. LE 16 ","Male","1117","0.940851309348976","0.92748179703291","0.954220821665042"
"Very low transfer dependency","1986","Couple + C. LE 16 ","Female","1118","0.938635294385751","0.925039368653179","0.952231220118323"
"Very low transfer dependency","1986","Couple + C. GT 16 ","Male","1120","0.968965575791918","0.958994981448609","0.978936170135227"
"Very low transfer dependency","1986","Couple + C. GT 16 ","Female","914","0.973487158651096","0.963244199592704","0.983730117709487"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","Male","707","0.963508111208153","0.95007943998448","0.976936782431826"
"Very low transfer dependency","1986","Couple + C. LE and GT 16","Female","603","0.951820974418505","0.935320265919459","0.968321682917552"
"Low transfer dependency","1986","1-pers.-HH","Male","14","","",""
"Low transfer dependency","1986","1-pers.-HH","Female","14","","",""
"Low transfer dependency","1986","(Married) couple without C. ","Male","19","","",""
"Low transfer dependency","1986","(Married) couple without C. ","Female","19","","",""
"Low transfer dependency","1986","Single parent ","Male","12","","",""
"Low transfer dependency","1986","Single parent ","Female","27","","",""
"Low transfer dependency","1986","Couple + C. LE 16 ","Male","48","0.035247458805555","0.0247965424318316","0.0456983751792785"
"Low transfer dependency","1986","Couple + C. LE 16 ","Female","47","0.0358437092389124","0.0253124280612569","0.046374990416568"
"Low transfer dependency","1986","Couple + C. GT 16 ","Male","24","","",""
"Low transfer dependency","1986","Couple + C. GT 16 ","Female","17","","",""
"Low transfer dependency","1986","Couple + C. LE and GT 16","Male","31","0.0267860228793332","0.0152231575192005","0.0383488882394659"
"Low transfer dependency","1986","Couple + C. LE and GT 16","Female","26","","",""
"High transfer dependency","1986","1-pers.-HH","Male","10","","",""
"High transfer dependency","1986","1-pers.-HH","Female","15","","",""
"High transfer dependency","1986","(Married) couple without C. ","Male","13","","",""
"High transfer dependency","1986","(Married) couple without C. ","Female","13","","",""
"High transfer dependency","1986","Single parent ","Male","","","",""
"High transfer dependency","1986","Single parent ","Female","6","","",""
"High transfer dependency","1986","Couple + C. LE 16 ","Male","11","","",""
"High transfer dependency","1986","Couple + C. LE 16 ","Female","11","","",""
"High transfer dependency","1986","Couple + C. GT 16 ","Male","9","","",""
"High transfer dependency","1986","Couple + C. GT 16 ","Female","5","","",""
"High transfer dependency","1986","Couple + C. LE and GT 16","Male","7","","",""
"High transfer dependency","1986","Couple + C. LE and GT 16","Female","13","","",""
"Very high transfer dependency","1986","1-pers.-HH","Male","23","","",""
"Very high transfer dependency","1986","1-pers.-HH","Female","26","","",""
"Very high transfer dependency","1986","(Married) couple without C. ","Male","13","","",""
"Very high transfer dependency","1986","(Married) couple without C. ","Female","13","","",""
"Very high transfer dependency","1986","Single parent ","Male","1","","",""
"Very high transfer dependency","1986","Single parent ","Female","25","","",""
"Very high transfer dependency","1986","Couple + C. LE 16 ","Male","20","","",""
"Very high transfer dependency","1986","Couple + C. LE 16 ","Female","21","","",""
"Very high transfer dependency","1986","Couple + C. GT 16 ","Male","9","","",""
"Very high transfer dependency","1986","Couple + C. GT 16 ","Female","9","","",""
"Very high transfer dependency","1986","Couple + C. LE and GT 16","Male","4","","",""
"Very high transfer dependency","1986","Couple + C. LE and GT 16","Female","5","","",""
"Very low transfer dependency","1987","1-pers.-HH","Male","408","0.906804935476846","0.879764729204339","0.933845141749354"
"Very low transfer dependency","1987","1-pers.-HH","Female","619","0.939990633213468","0.921966414065558","0.958014852361378"
"Very low transfer dependency","1987","(Married) couple without C. ","Male","1139","0.97478437873474","0.965827659174473","0.983741098295008"
"Very low transfer dependency","1987","(Married) couple without C. ","Female","1136","0.974160943831234","0.965085503150678","0.98323638451179"
"Very low transfer dependency","1987","Single parent ","Male","174","0.902563050649951","0.86072513396377","0.944400967336131"
"Very low transfer dependency","1987","Single parent ","Female","270","0.823496897530239","0.782174894031465","0.864818901029013"
"Very low transfer dependency","1987","Couple + C. LE 16 ","Male","1101","0.936424641659198","0.922520744596843","0.950328538721553"
"Very low transfer dependency","1987","Couple + C. LE 16 ","Female","1099","0.930028680420648","0.915492044223121","0.944565316618175"
"Very low transfer dependency","1987","Couple + C. GT 16 ","Male","1163","0.976889922599524","0.968378061448967","0.985401783750081"
"Very low transfer dependency","1987","Couple + C. GT 16 ","Female","923","0.978871886968014","0.969736585147534","0.988007188788494"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","Male","623","0.938468602588481","0.920286458555187","0.956650746621776"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","Female","540","0.927294509821323","0.906307436701493","0.948281582941153"
"Low transfer dependency","1987","1-pers.-HH","Male","9","","",""
"Low transfer dependency","1987","1-pers.-HH","Female","16","","",""
"Low transfer dependency","1987","(Married) couple without C. ","Male","23","","",""
"Low transfer dependency","1987","(Married) couple without C. ","Female","23","","",""
"Low transfer dependency","1987","Single parent ","Male","14","","",""
"Low transfer dependency","1987","Single parent ","Female","35","0.111458266536878","0.0773492441360457","0.14556728893771"
"Low transfer dependency","1987","Couple + C. LE 16 ","Male","48","0.0387253089571741","0.0277307726336321","0.0497198452807161"
"Low transfer dependency","1987","Couple + C. LE 16 ","Female","50","0.0436150754344463","0.0319767527696859","0.0552533980992066"
"Low transfer dependency","1987","Couple + C. GT 16 ","Male","20","","",""
"Low transfer dependency","1987","Couple + C. GT 16 ","Female","18","","",""
"Low transfer dependency","1987","Couple + C. LE and GT 16","Male","33","0.0386069482095543","0.0240298843295153","0.0531840120895932"
"Low transfer dependency","1987","Couple + C. LE and GT 16","Female","30","0.0498888742105988","0.0322914751915033","0.0674862732296943"
"High transfer dependency","1987","1-pers.-HH","Male","5","","",""
"High transfer dependency","1987","1-pers.-HH","Female","9","","",""
"High transfer dependency","1987","(Married) couple without C. ","Male","8","","",""
"High transfer dependency","1987","(Married) couple without C. ","Female","8","","",""
"High transfer dependency","1987","Single parent ","Male","3","","",""
"High transfer dependency","1987","Single parent ","Female","6","","",""
"High transfer dependency","1987","Couple + C. LE 16 ","Male","13","","",""
"High transfer dependency","1987","Couple + C. LE 16 ","Female","13","","",""
"High transfer dependency","1987","Couple + C. GT 16 ","Male","12","","",""
"High transfer dependency","1987","Couple + C. GT 16 ","Female","7","","",""
"High transfer dependency","1987","Couple + C. LE and GT 16","Male","9","","",""
"High transfer dependency","1987","Couple + C. LE and GT 16","Female","8","","",""
"Very high transfer dependency","1987","1-pers.-HH","Male","22","","",""
"Very high transfer dependency","1987","1-pers.-HH","Female","23","","",""
"Very high transfer dependency","1987","(Married) couple without C. ","Male","7","","",""
"Very high transfer dependency","1987","(Married) couple without C. ","Female","7","","",""
"Very high transfer dependency","1987","Single parent ","Male","2","","",""
"Very high transfer dependency","1987","Single parent ","Female","16","","",""
"Very high transfer dependency","1987","Couple + C. LE 16 ","Male","21","","",""
"Very high transfer dependency","1987","Couple + C. LE 16 ","Female","21","","",""
"Very high transfer dependency","1987","Couple + C. GT 16 ","Male","2","","",""
"Very high transfer dependency","1987","Couple + C. GT 16 ","Female","4","","",""
"Very high transfer dependency","1987","Couple + C. LE and GT 16","Male","6","","",""
"Very high transfer dependency","1987","Couple + C. LE and GT 16","Female","10","","",""
"Very low transfer dependency","1988","1-pers.-HH","Male","399","0.919131946302843","0.893423037506637","0.94484085509905"
"Very low transfer dependency","1988","1-pers.-HH","Female","594","0.938135126693516","0.919441545252046","0.956828708134987"
"Very low transfer dependency","1988","(Married) couple without C. ","Male","1104","0.975012325722154","0.965951586390249","0.984073065054059"
"Very low transfer dependency","1988","(Married) couple without C. ","Female","1110","0.974120219290013","0.96492753474537","0.983312903834656"
"Very low transfer dependency","1988","Single parent ","Male","170","0.911674661988394","0.871111503649219","0.952237820327568"
"Very low transfer dependency","1988","Single parent ","Female","264","0.811567305854414","0.768854258667223","0.854280353041604"
"Very low transfer dependency","1988","Couple + C. LE 16 ","Male","1042","0.948197153431156","0.935141445779565","0.961252861082746"
"Very low transfer dependency","1988","Couple + C. LE 16 ","Female","1043","0.939290444984826","0.925229753219284","0.953351136750367"
"Very low transfer dependency","1988","Couple + C. GT 16 ","Male","1182","0.977111709143437","0.968730365390976","0.985493052895898"
"Very low transfer dependency","1988","Couple + C. GT 16 ","Female","945","0.978506168994936","0.969398498466525","0.987613839523347"
"Very low transfer dependency","1988","Couple + C. LE and GT 16","Male","532","0.945876792644483","0.927350870797568","0.964402714491398"
"Very low transfer dependency","1988","Couple + C. LE and GT 16","Female","472","0.951572816566637","0.933014774684907","0.970130858448367"
"Low transfer dependency","1988","1-pers.-HH","Male","10","","",""
"Low transfer dependency","1988","1-pers.-HH","Female","11","","",""
"Low transfer dependency","1988","(Married) couple without C. ","Male","15","","",""
"Low transfer dependency","1988","(Married) couple without C. ","Female","15","","",""
"Low transfer dependency","1988","Single parent ","Male","13","","",""
"Low transfer dependency","1988","Single parent ","Female","35","0.121839942551288","0.0861125075527408","0.157567377549834"
"Low transfer dependency","1988","Couple + C. LE 16 ","Male","37","0.0283710192442237","0.0185904984725789","0.0381515400158685"
"Low transfer dependency","1988","Couple + C. LE 16 ","Female","36","0.0307264259523056","0.0205649353363613","0.0408879165682498"
"Low transfer dependency","1988","Couple + C. GT 16 ","Male","29","","",""
"Low transfer dependency","1988","Couple + C. GT 16 ","Female","18","","",""
"Low transfer dependency","1988","Couple + C. LE and GT 16","Male","33","0.0457790439063067","0.02866594682105","0.0628921409915634"
"Low transfer dependency","1988","Couple + C. LE and GT 16","Female","31","0.0360511892018615","0.0199353355450396","0.0521670428586835"
"High transfer dependency","1988","1-pers.-HH","Male","5","","",""
"High transfer dependency","1988","1-pers.-HH","Female","7","","",""
"High transfer dependency","1988","(Married) couple without C. ","Male","12","","",""
"High transfer dependency","1988","(Married) couple without C. ","Female","12","","",""
"High transfer dependency","1988","Single parent ","Male","3","","",""
"High transfer dependency","1988","Single parent ","Female","8","","",""
"High transfer dependency","1988","Couple + C. LE 16 ","Male","8","","",""
"High transfer dependency","1988","Couple + C. LE 16 ","Female","8","","",""
"High transfer dependency","1988","Couple + C. GT 16 ","Male","5","","",""
"High transfer dependency","1988","Couple + C. GT 16 ","Female","4","","",""
"High transfer dependency","1988","Couple + C. LE and GT 16","Male","3","","",""
"High transfer dependency","1988","Couple + C. LE and GT 16","Female","5","","",""
"Very high transfer dependency","1988","1-pers.-HH","Male","18","","",""
"Very high transfer dependency","1988","1-pers.-HH","Female","26","","",""
"Very high transfer dependency","1988","(Married) couple without C. ","Male","9","","",""
"Very high transfer dependency","1988","(Married) couple without C. ","Female","9","","",""
"Very high transfer dependency","1988","Single parent ","Male","2","","",""
"Very high transfer dependency","1988","Single parent ","Female","15","","",""
"Very high transfer dependency","1988","Couple + C. LE 16 ","Male","20","","",""
"Very high transfer dependency","1988","Couple + C. LE 16 ","Female","21","","",""
"Very high transfer dependency","1988","Couple + C. GT 16 ","Male","7","","",""
"Very high transfer dependency","1988","Couple + C. GT 16 ","Female","7","","",""
"Very high transfer dependency","1988","Couple + C. LE and GT 16","Male","5","","",""
"Very high transfer dependency","1988","Couple + C. LE and GT 16","Female","6","","",""
"Very low transfer dependency","1989","1-pers.-HH","Male","400","0.92483903695726","0.899861164080189","0.94981690983433"
"Very low transfer dependency","1989","1-pers.-HH","Female","597","0.941851308426517","0.923706231734406","0.959996385118628"
"Very low transfer dependency","1989","(Married) couple without C. ","Male","1081","0.969918177829831","0.959941211307524","0.979895144352138"
"Very low transfer dependency","1989","(Married) couple without C. ","Female","1087","0.962481270488947","0.951421101336781","0.973541439641112"
"Very low transfer dependency","1989","Single parent ","Male","159","0.935617446801716","0.898723349921337","0.972511543682095"
"Very low transfer dependency","1989","Single parent ","Female","255","0.814690768840312","0.770869036253099","0.858512501427524"
"Very low transfer dependency","1989","Couple + C. LE 16 ","Male","997","0.942120759805569","0.92808965157804","0.956151868033099"
"Very low transfer dependency","1989","Couple + C. LE 16 ","Female","1006","0.937912851651472","0.923474077275801","0.952351626027144"
"Very low transfer dependency","1989","Couple + C. GT 16 ","Male","1172","0.981343509113732","0.973710074967824","0.988976943259641"
"Very low transfer dependency","1989","Couple + C. GT 16 ","Female","903","0.981286762541732","0.972605505785714","0.98996801929775"
"Very low transfer dependency","1989","Couple + C. LE and GT 16","Male","460","0.938677843766817","0.917627227701808","0.959728459831826"
"Very low transfer dependency","1989","Couple + C. LE and GT 16","Female","447","0.939360922950309","0.918054177960668","0.96066766793995"
"Low transfer dependency","1989","1-pers.-HH","Male","5","","",""
"Low transfer dependency","1989","1-pers.-HH","Female","9","","",""
"Low transfer dependency","1989","(Married) couple without C. ","Male","33","0.0227144306593199","0.0140120000991814","0.0314168612194585"
"Low transfer dependency","1989","(Married) couple without C. ","Female","34","0.0280889540882577","0.018472330731821","0.0377055774446944"
"Low transfer dependency","1989","Single parent ","Male","4","","",""
"Low transfer dependency","1989","Single parent ","Female","16","","",""
"Low transfer dependency","1989","Couple + C. LE 16 ","Male","35","0.0270186660095211","0.0172763663708917","0.0367609656481504"
"Low transfer dependency","1989","Couple + C. LE 16 ","Female","36","0.0300892370799718","0.0198676176463933","0.0403108565135504"
"Low transfer dependency","1989","Couple + C. GT 16 ","Male","20","","",""
"Low transfer dependency","1989","Couple + C. GT 16 ","Female","19","","",""
"Low transfer dependency","1989","Couple + C. LE and GT 16","Male","25","","",""
"Low transfer dependency","1989","Couple + C. LE and GT 16","Female","22","","",""
"High transfer dependency","1989","1-pers.-HH","Male","4","","",""
"High transfer dependency","1989","1-pers.-HH","Female","10","","",""
"High transfer dependency","1989","(Married) couple without C. ","Male","4","","",""
"High transfer dependency","1989","(Married) couple without C. ","Female","5","","",""
"High transfer dependency","1989","Single parent ","Male","7","","",""
"High transfer dependency","1989","Single parent ","Female","15","","",""
"High transfer dependency","1989","Couple + C. LE 16 ","Male","10","","",""
"High transfer dependency","1989","Couple + C. LE 16 ","Female","10","","",""
"High transfer dependency","1989","Couple + C. GT 16 ","Male","6","","",""
"High transfer dependency","1989","Couple + C. GT 16 ","Female","7","","",""
"High transfer dependency","1989","Couple + C. LE and GT 16","Male","10","","",""
"High transfer dependency","1989","Couple + C. LE and GT 16","Female","8","","",""
"Very high transfer dependency","1989","1-pers.-HH","Male","19","","",""
"Very high transfer dependency","1989","1-pers.-HH","Female","23","","",""
"Very high transfer dependency","1989","(Married) couple without C. ","Male","8","","",""
"Very high transfer dependency","1989","(Married) couple without C. ","Female","8","","",""
"Very high transfer dependency","1989","Single parent ","Male","","","",""
"Very high transfer dependency","1989","Single parent ","Female","16","","",""
"Very high transfer dependency","1989","Couple + C. LE 16 ","Male","22","","",""
"Very high transfer dependency","1989","Couple + C. LE 16 ","Female","21","","",""
"Very high transfer dependency","1989","Couple + C. GT 16 ","Male","9","","",""
"Very high transfer dependency","1989","Couple + C. GT 16 ","Female","7","","",""
"Very high transfer dependency","1989","Couple + C. LE and GT 16","Male","4","","",""
"Very high transfer dependency","1989","Couple + C. LE and GT 16","Female","5","","",""
"Very low transfer dependency","1990","1-pers.-HH","Male","389","0.943363372699196","0.9211512725746","0.965575472823793"
"Very low transfer dependency","1990","1-pers.-HH","Female","588","0.965162778936818","0.950682405245498","0.979643152628138"
"Very low transfer dependency","1990","(Married) couple without C. ","Male","1114","0.972234319767416","0.962738361365173","0.98173027816966"
"Very low transfer dependency","1990","(Married) couple without C. ","Female","1122","0.972542083312595","0.963130085788007","0.981954080837183"
"Very low transfer dependency","1990","Single parent ","Male","166","0.903903622316931","0.861085564019307","0.946721680614555"
"Very low transfer dependency","1990","Single parent ","Female","236","0.828989613935005","0.784729606604379","0.873249621265632"
"Very low transfer dependency","1990","Couple + C. LE 16 ","Male","975","0.956421115394517","0.94395324980516","0.968888980983874"
"Very low transfer dependency","1990","Couple + C. LE 16 ","Female","991","0.949352105302487","0.936076271485577","0.962627939119396"
"Very low transfer dependency","1990","Couple + C. GT 16 ","Male","1109","0.977607641271156","0.969041445461945","0.986173837080368"
"Very low transfer dependency","1990","Couple + C. GT 16 ","Female","873","0.966601745714508","0.954959863124278","0.978243628304738"
"Very low transfer dependency","1990","Couple + C. LE and GT 16","Male","421","0.924626546717818","0.900475601436121","0.948777491999514"
"Very low transfer dependency","1990","Couple + C. LE and GT 16","Female","401","0.939169287346547","0.916551358261987","0.961787216431106"
"Low transfer dependency","1990","1-pers.-HH","Male","9","","",""
"Low transfer dependency","1990","1-pers.-HH","Female","14","","",""
"Low transfer dependency","1990","(Married) couple without C. ","Male","15","","",""
"Low transfer dependency","1990","(Married) couple without C. ","Female","15","","",""
"Low transfer dependency","1990","Single parent ","Male","10","","",""
"Low transfer dependency","1990","Single parent ","Female","20","","",""
"Low transfer dependency","1990","Couple + C. LE 16 ","Male","33","0.0218889260406778","0.0129530776129322","0.0308247744684235"
"Low transfer dependency","1990","Couple + C. LE 16 ","Female","35","0.0286667630441295","0.0185639828812236","0.0387695432070354"
"Low transfer dependency","1990","Couple + C. GT 16 ","Male","24","","",""
"Low transfer dependency","1990","Couple + C. GT 16 ","Female","25","","",""
"Low transfer dependency","1990","Couple + C. LE and GT 16","Male","20","","",""
"Low transfer dependency","1990","Couple + C. LE and GT 16","Female","15","","",""
"High transfer dependency","1990","1-pers.-HH","Male","5","","",""
"High transfer dependency","1990","1-pers.-HH","Female","7","","",""
"High transfer dependency","1990","(Married) couple without C. ","Male","9","","",""
"High transfer dependency","1990","(Married) couple without C. ","Female","8","","",""
"High transfer dependency","1990","Single parent ","Male","4","","",""
"High transfer dependency","1990","Single parent ","Female","12","","",""
"High transfer dependency","1990","Couple + C. LE 16 ","Male","8","","",""
"High transfer dependency","1990","Couple + C. LE 16 ","Female","8","","",""
"High transfer dependency","1990","Couple + C. GT 16 ","Male","6","","",""
"High transfer dependency","1990","Couple + C. GT 16 ","Female","9","","",""
"High transfer dependency","1990","Couple + C. LE and GT 16","Male","10","","",""
"High transfer dependency","1990","Couple + C. LE and GT 16","Female","7","","",""
"Very high transfer dependency","1990","1-pers.-HH","Male","13","","",""
"Very high transfer dependency","1990","1-pers.-HH","Female","7","","",""
"Very high transfer dependency","1990","(Married) couple without C. ","Male","12","","",""
"Very high transfer dependency","1990","(Married) couple without C. ","Female","13","","",""
"Very high transfer dependency","1990","Single parent ","Male","2","","",""
"Very high transfer dependency","1990","Single parent ","Female","10","","",""
"Very high transfer dependency","1990","Couple + C. LE 16 ","Male","14","","",""
"Very high transfer dependency","1990","Couple + C. LE 16 ","Female","14","","",""
"Very high transfer dependency","1990","Couple + C. GT 16 ","Male","7","","",""
"Very high transfer dependency","1990","Couple + C. GT 16 ","Female","8","","",""
"Very high transfer dependency","1990","Couple + C. LE and GT 16","Male","8","","",""
"Very high transfer dependency","1990","Couple + C. LE and GT 16","Female","6","","",""
"Very low transfer dependency","1991","1-pers.-HH","Male","375","0.919600869749041","0.893248977926468","0.945952761571614"
"Very low transfer dependency","1991","1-pers.-HH","Female","602","0.951599751494408","0.934907605132194","0.968291897856621"
