"transab_cat2","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","1984","Full Time","1-pers.-HH","","","","","3"
"Very high transfer dependency","1984","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","1984","Full Time","Single parent ","","","","","3"
"Very high transfer dependency","1984","Part Time","(Married) couple without C. ","4","","","","3"
"Very high transfer dependency","1984","Full Time","Couple + C. LE 16 ","","","","","3"
"Very high transfer dependency","1984","Part Time","Single parent ","2","","","","3"
"Very high transfer dependency","1984","Full Time","Couple + C. GT 16 ","2","","","","3"
"Very high transfer dependency","1984","Part Time","1-pers.-HH","3","","","","3"
"Very high transfer dependency","1984","Part Time","Couple + C. GT 16 ","3","","","","3"
"Very high transfer dependency","1984","Part Time","Couple + C. LE and GT 16","3","","","","3"
"Very high transfer dependency","1984","Not Working","1-pers.-HH","67","0.0751767100131253","0.0546844163882388","0.0956690036380117","3"
"Very high transfer dependency","1984","Not Working","(Married) couple without C. ","18","","","","3"
"Very high transfer dependency","1984","Not Working","Single parent ","30","0.117278271388349","0.0751430996453309","0.159413443131368","3"
"Very high transfer dependency","1984","Not Working","Couple + C. LE 16 ","52","0.0624581109617508","0.0464609315176731","0.0784552904058285","3"
"Very high transfer dependency","1984","Not Working","Couple + C. GT 16 ","18","","","","3"
"Very high transfer dependency","1984","Not Working","Couple + C. LE and GT 16","12","","","","3"
"Very low transfer dependency","1984","Full Time","1-pers.-HH","533","0.989656864957192","0.981139272312341","0.998174457602044","0"
"Very low transfer dependency","1984","Full Time","(Married) couple without C. ","1135","0.983123328670968","0.975707601043855","0.990539056298082","0"
"Very low transfer dependency","1984","Full Time","Single parent ","237","0.967644041569745","0.945487600780795","0.989800482358694","0"
"Very low transfer dependency","1984","Full Time","Couple + C. LE 16 ","1616","0.979730047615807","0.972942740467331","0.986517354764282","0"
"Very low transfer dependency","1984","Full Time","Couple + C. GT 16 ","944","0.987883429046931","0.980951807591532","0.99481505050233","0"
"Very low transfer dependency","1984","Full Time","Couple + C. LE and GT 16","768","0.97955972005009","0.969766629145092","0.989352810955087","0"
"Very low transfer dependency","1984","Part Time","1-pers.-HH","97","0.764293853849684","0.69269652105249","0.835891186646878","0"
"Very low transfer dependency","1984","Part Time","(Married) couple without C. ","305","0.924226023341046","0.895759909262532","0.95269213741956","0"
"Very low transfer dependency","1984","Part Time","Single parent ","79","0.818711409067825","0.742822003392468","0.894600814743182","0"
"Very low transfer dependency","1984","Part Time","Couple + C. LE 16 ","472","0.919627087931381","0.89637140118659","0.942882774676171","0"
"Very low transfer dependency","1984","Part Time","Couple + C. GT 16 ","322","0.958136229333534","0.936910244949487","0.97936221371758","0"
"Very low transfer dependency","1984","Part Time","Couple + C. LE and GT 16","275","0.943366880544047","0.917426656310982","0.969307104777112","0"
"Very low transfer dependency","1984","Not Working","1-pers.-HH","552","0.903200609722835","0.880220719212228","0.926180500233443","0"
"Very low transfer dependency","1984","Not Working","(Married) couple without C. ","1149","0.967963912728304","0.958017094883836","0.977910730572771","0"
"Very low transfer dependency","1984","Not Working","Single parent ","156","0.723832479885352","0.665282140689439","0.782382819081265","0"
"Very low transfer dependency","1984","Not Working","Couple + C. LE 16 ","753","0.859257697860938","0.836268294803011","0.882247100918864","0"
"Very low transfer dependency","1984","Not Working","Couple + C. GT 16 ","636","0.942314312028282","0.924892801657048","0.959735822399515","0"
"Very low transfer dependency","1984","Not Working","Couple + C. LE and GT 16","515","0.931934891106807","0.91173188555558","0.952137896658033","0"
"High transfer dependency","1985","Full Time","1-pers.-HH","","","","","2"
"High transfer dependency","1985","Part Time","Single parent ","3","","","","2"
"High transfer dependency","1985","Part Time","Couple + C. LE 16 ","12","","","","2"
"High transfer dependency","1985","Part Time","Couple + C. GT 16 ","10","","","","2"
"High transfer dependency","1985","Part Time","Couple + C. LE and GT 16","3","","","","2"
"High transfer dependency","1985","Not Working","Single parent ","8","","","","2"
"High transfer dependency","1985","Not Working","(Married) couple without C. ","12","","","","2"
"High transfer dependency","1985","Full Time","Couple + C. LE and GT 16","3","","","","2"
"High transfer dependency","1985","Full Time","(Married) couple without C. ","1","","","","2"
"High transfer dependency","1985","Full Time","Single parent ","1","","","","2"
"High transfer dependency","1985","Full Time","Couple + C. LE 16 ","1","","","","2"
"High transfer dependency","1985","Full Time","Couple + C. GT 16 ","3","","","","2"
"High transfer dependency","1985","Part Time","1-pers.-HH","11","","","","2"
"High transfer dependency","1985","Part Time","(Married) couple without C. ","5","","","","2"
"High transfer dependency","1985","Not Working","1-pers.-HH","11","","","","2"
"High transfer dependency","1985","Not Working","Couple + C. LE 16 ","9","","","","2"
"High transfer dependency","1985","Not Working","Couple + C. GT 16 ","16","","","","2"
"High transfer dependency","1985","Not Working","Couple + C. LE and GT 16","14","","","","2"
"Low transfer dependency","1985","Full Time","1-pers.-HH","2","","","","1"
"Low transfer dependency","1985","Full Time","Couple + C. LE 16 ","27","","","","1"
"Low transfer dependency","1985","Full Time","Single parent ","4","","","","1"
"Low transfer dependency","1985","Full Time","Couple + C. GT 16 ","9","","","","1"
"Low transfer dependency","1985","Part Time","(Married) couple without C. ","12","","","","1"
"Low transfer dependency","1985","Part Time","Single parent ","11","","","","1"
"Low transfer dependency","1985","Full Time","(Married) couple without C. ","14","","","","1"
"Low transfer dependency","1985","Not Working","Couple + C. LE and GT 16","38","0.044206901483852","0.0267562570542675","0.0616575459134366","1"
"Low transfer dependency","1985","Full Time","Couple + C. LE and GT 16","19","","","","1"
"Low transfer dependency","1985","Part Time","1-pers.-HH","15","","","","1"
"Low transfer dependency","1985","Part Time","Couple + C. LE and GT 16","12","","","","1"
"Low transfer dependency","1985","Not Working","1-pers.-HH","8","","","","1"
"Low transfer dependency","1985","Not Working","(Married) couple without C. ","24","","","","1"
"Low transfer dependency","1985","Not Working","Single parent ","15","","","","1"
"Low transfer dependency","1985","Not Working","Couple + C. LE 16 ","42","0.0440890274718608","0.0295793117384257","0.0585987432052959","1"
"Low transfer dependency","1985","Not Working","Couple + C. GT 16 ","21","","","","1"
"Low transfer dependency","1985","Part Time","Couple + C. LE 16 ","34","0.0568813874680643","0.037291623798558","0.0764711511375707","1"
"Low transfer dependency","1985","Part Time","Couple + C. GT 16 ","6","","","","1"
"Very high transfer dependency","1985","Full Time","Couple + C. LE and GT 16","","","","","3"
"Very high transfer dependency","1985","Part Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","1985","Part Time","Single parent ","","","","","3"
"Very high transfer dependency","1985","Part Time","Couple + C. LE 16 ","5","","","","3"
"Very high transfer dependency","1985","Full Time","1-pers.-HH","","","","","3"
"Very high transfer dependency","1985","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","1985","Full Time","Single parent ","","","","","3"
"Very high transfer dependency","1985","Full Time","Couple + C. LE 16 ","","","","","3"
"Very high transfer dependency","1985","Full Time","Couple + C. GT 16 ","","","","","3"
"Very high transfer dependency","1985","Part Time","1-pers.-HH","3","","","","3"
"Very high transfer dependency","1985","Part Time","Couple + C. GT 16 ","1","","","","3"
"Very high transfer dependency","1985","Part Time","Couple + C. LE and GT 16","","","","","3"
"Very high transfer dependency","1985","Not Working","1-pers.-HH","44","0.0554647556930543","0.036575007219465","0.0743545041666436","3"
"Very high transfer dependency","1985","Not Working","(Married) couple without C. ","28","","","","3"
"Very high transfer dependency","1985","Not Working","Single parent ","32","0.127004928438776","0.081969465989605","0.172040390887947","3"
"Very high transfer dependency","1985","Not Working","Couple + C. LE 16 ","51","0.0623908856105275","0.0452963854566018","0.0794853857644533","3"
"Very high transfer dependency","1985","Not Working","Couple + C. GT 16 ","8","","","","3"
"Very high transfer dependency","1985","Not Working","Couple + C. LE and GT 16","7","","","","3"
"Very low transfer dependency","1985","Full Time","1-pers.-HH","463","0.99596117939213","0.990196567122705","1.00172579166155","0"
"Very low transfer dependency","1985","Full Time","(Married) couple without C. ","1021","0.987149651549214","0.980291340726889","0.994007962371539","0"
"Very low transfer dependency","1985","Full Time","Single parent ","229","0.980524997520941","0.962819494973124","0.998230500068759","0"
"Very low transfer dependency","1985","Full Time","Couple + C. LE 16 ","1334","0.986902246163989","0.980864219620401","0.992940272707577","0"
"Very low transfer dependency","1985","Full Time","Couple + C. GT 16 ","925","0.98956085458621","0.983053087176657","0.996068621995763","0"
"Very low transfer dependency","1985","Full Time","Couple + C. LE and GT 16","672","0.979702918989406","0.96921154546844","0.990194292510371","0"
"Very low transfer dependency","1985","Part Time","1-pers.-HH","112","0.792235949892215","0.725270466372098","0.859201433412333","0"
"Very low transfer dependency","1985","Part Time","(Married) couple without C. ","289","0.947047462189355","0.921956539077386","0.972138385301324","0"
"Very low transfer dependency","1985","Part Time","Single parent ","84","0.851919447117454","0.78159872320768","0.922240171027227","0"
"Very low transfer dependency","1985","Part Time","Couple + C. LE 16 ","486","0.919973393198033","0.897024286604083","0.942922499791984","0"
"Very low transfer dependency","1985","Part Time","Couple + C. GT 16 ","380","0.963701256811373","0.945303289434146","0.9820992241886","0"
"Very low transfer dependency","1985","Part Time","Couple + C. LE and GT 16","251","0.968121252847709","0.947009573922679","0.989232931772739","0"
"Very low transfer dependency","1985","Not Working","1-pers.-HH","501","0.915210913108973","0.892220905595079","0.938200920622868","0"
"Very low transfer dependency","1985","Not Working","(Married) couple without C. ","1023","0.952517585932751","0.939874991223068","0.965160180642435","0"
"Very low transfer dependency","1985","Not Working","Single parent ","155","0.762046540192627","0.704452810553976","0.819640269831278","0"
"Very low transfer dependency","1985","Not Working","Couple + C. LE 16 ","667","0.885277532768499","0.862753358356003","0.907801707180995","0"
"Very low transfer dependency","1985","Not Working","Couple + C. GT 16 ","646","0.957108450922331","0.942001545559842","0.97221535628482","0"
"Very low transfer dependency","1985","Not Working","Couple + C. LE and GT 16","474","0.932462068843142","0.911157441096112","0.953766696590172","0"
"High transfer dependency","1986","Part Time","Couple + C. LE and GT 16","6","","","","2"
"High transfer dependency","1986","Not Working","Couple + C. GT 16 ","7","","","","2"
"High transfer dependency","1986","Part Time","Single parent ","3","","","","2"
"High transfer dependency","1986","Part Time","Couple + C. LE 16 ","7","","","","2"
"High transfer dependency","1986","Full Time","1-pers.-HH","1","","","","2"
"High transfer dependency","1986","Full Time","(Married) couple without C. ","","","","","2"
"High transfer dependency","1986","Full Time","Single parent ","","","","","2"
"High transfer dependency","1986","Full Time","Couple + C. LE and GT 16","2","","","","2"
"High transfer dependency","1986","Part Time","(Married) couple without C. ","10","","","","2"
"High transfer dependency","1986","Not Working","1-pers.-HH","13","","","","2"
"High transfer dependency","1986","Not Working","(Married) couple without C. ","16","","","","2"
"High transfer dependency","1986","Not Working","Single parent ","3","","","","2"
"High transfer dependency","1986","Not Working","Couple + C. LE 16 ","12","","","","2"
"High transfer dependency","1986","Part Time","Couple + C. GT 16 ","7","","","","2"
"High transfer dependency","1986","Full Time","Couple + C. LE 16 ","3","","","","2"
"High transfer dependency","1986","Part Time","1-pers.-HH","11","","","","2"
"High transfer dependency","1986","Full Time","Couple + C. GT 16 ","","","","","2"
"High transfer dependency","1986","Not Working","Couple + C. LE and GT 16","12","","","","2"
"Low transfer dependency","1986","Full Time","1-pers.-HH","5","","","","1"
"Low transfer dependency","1986","Part Time","Single parent ","15","","","","1"
"Low transfer dependency","1986","Part Time","(Married) couple without C. ","14","","","","1"
"Low transfer dependency","1986","Full Time","Couple + C. GT 16 ","10","","","","1"
"Low transfer dependency","1986","Not Working","Couple + C. GT 16 ","23","","","","1"
"Low transfer dependency","1986","Not Working","Couple + C. LE and GT 16","26","","","","1"
"Low transfer dependency","1986","Part Time","1-pers.-HH","17","","","","1"
"Low transfer dependency","1986","Part Time","Couple + C. LE and GT 16","16","","","","1"
"Low transfer dependency","1986","Full Time","Couple + C. LE 16 ","22","","","","1"
"Low transfer dependency","1986","Not Working","Single parent ","18","","","","1"
"Low transfer dependency","1986","Not Working","Couple + C. LE 16 ","41","0.0497435794937389","0.0332686351862075","0.0662185238012703","1"
"Low transfer dependency","1986","Full Time","(Married) couple without C. ","8","","","","1"
"Low transfer dependency","1986","Full Time","Single parent ","6","","","","1"
"Low transfer dependency","1986","Full Time","Couple + C. LE and GT 16","15","","","","1"
"Low transfer dependency","1986","Part Time","Couple + C. LE 16 ","32","0.0673775789959159","0.0445934599282464","0.0901616980635853","1"
"Low transfer dependency","1986","Part Time","Couple + C. GT 16 ","8","","","","1"
"Low transfer dependency","1986","Not Working","1-pers.-HH","6","","","","1"
"Low transfer dependency","1986","Not Working","(Married) couple without C. ","16","","","","1"
"Very high transfer dependency","1986","Part Time","Couple + C. LE 16 ","3","","","","3"
"Very high transfer dependency","1986","Full Time","Couple + C. LE and GT 16","","","","","3"
"Very high transfer dependency","1986","Part Time","Single parent ","","","","","3"
"Very high transfer dependency","1986","Part Time","(Married) couple without C. ","3","","","","3"
"Very high transfer dependency","1986","Full Time","1-pers.-HH","","","","","3"
"Very high transfer dependency","1986","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","1986","Full Time","Single parent ","","","","","3"
"Very high transfer dependency","1986","Full Time","Couple + C. LE 16 ","","","","","3"
"Very high transfer dependency","1986","Full Time","Couple + C. GT 16 ","2","","","","3"
"Very high transfer dependency","1986","Part Time","1-pers.-HH","3","","","","3"
"Very high transfer dependency","1986","Part Time","Couple + C. GT 16 ","1","","","","3"
"Very high transfer dependency","1986","Part Time","Couple + C. LE and GT 16","","","","","3"
"Very high transfer dependency","1986","Not Working","1-pers.-HH","46","0.0639968566191225","0.0432577915075662","0.0847359217306788","3"
"Very high transfer dependency","1986","Not Working","(Married) couple without C. ","23","","","","3"
"Very high transfer dependency","1986","Not Working","Single parent ","26","","","","3"
"Very high transfer dependency","1986","Not Working","Couple + C. LE 16 ","38","0.0509011065749247","0.0342457330243233","0.067556480125526","3"
"Very high transfer dependency","1986","Not Working","Couple + C. GT 16 ","15","","","","3"
"Very high transfer dependency","1986","Not Working","Couple + C. LE and GT 16","9","","","","3"
"Very low transfer dependency","1986","Full Time","1-pers.-HH","443","0.986824343472661","0.976277294074165","0.997371392871156","0"
"Very low transfer dependency","1986","Full Time","(Married) couple without C. ","1038","0.992926128731443","0.987847233028987","0.9980050244339","0"
"Very low transfer dependency","1986","Full Time","Single parent ","208","0.965347636778966","0.94084293044876","0.989852343109172","0"
"Very low transfer dependency","1986","Full Time","Couple + C. LE 16 ","1234","0.982650479853447","0.975438101603429","0.989862858103465","0"
"Very low transfer dependency","1986","Full Time","Couple + C. GT 16 ","969","0.990258769001865","0.984112736440227","0.996404801563502","0"
"Very low transfer dependency","1986","Full Time","Couple + C. LE and GT 16","620","0.978911793143905","0.967754213858106","0.990069372429704","0"
"Very low transfer dependency","1986","Part Time","1-pers.-HH","101","0.734277708971117","0.658923885809996","0.809631532132239","0"
"Very low transfer dependency","1986","Part Time","(Married) couple without C. ","302","0.929072082595131","0.901333551998785","0.956810613191477","0"
"Very low transfer dependency","1986","Part Time","Single parent ","75","0.784020497939362","0.70038770639066","0.867653289488065","0"
"Very low transfer dependency","1986","Part Time","Couple + C. LE 16 ","423","0.915890217309996","0.890663160791656","0.941117273828335","0"
"Very low transfer dependency","1986","Part Time","Couple + C. GT 16 ","416","0.974461603372406","0.959585629837692","0.98933757690712","0"
"Very low transfer dependency","1986","Part Time","Couple + C. LE and GT 16","242","0.946345342798232","0.919163764875181","0.973526920721284","0"
"Very low transfer dependency","1986","Not Working","1-pers.-HH","470","0.906205504447887","0.881501166260197","0.930909842635577","0"
"Very low transfer dependency","1986","Not Working","(Married) couple without C. ","950","0.959851860565754","0.947715181229968","0.97198853990154","0"
"Very low transfer dependency","1986","Not Working","Single parent ","149","0.765044858214883","0.70569003955495","0.824399676874817","0"
"Very low transfer dependency","1986","Not Working","Couple + C. LE 16 ","578","0.879692452148626","0.855040750528937","0.904344153768315","0"
"Very low transfer dependency","1986","Not Working","Couple + C. GT 16 ","649","0.943647500198786","0.926490954723568","0.960804045674004","0"
"Very low transfer dependency","1986","Not Working","Couple + C. LE and GT 16","448","0.937224158026011","0.915856176379757","0.958592139672266","0"
"High transfer dependency","1987","Part Time","Couple + C. LE and GT 16","5","","","","2"
"High transfer dependency","1987","Part Time","Single parent ","2","","","","2"
"High transfer dependency","1987","Full Time","1-pers.-HH","3","","","","2"
"High transfer dependency","1987","Full Time","(Married) couple without C. ","","","","","2"
"High transfer dependency","1987","Full Time","Single parent ","1","","","","2"
"High transfer dependency","1987","Full Time","Couple + C. LE 16 ","1","","","","2"
"High transfer dependency","1987","Full Time","Couple + C. LE and GT 16","3","","","","2"
"High transfer dependency","1987","Part Time","1-pers.-HH","8","","","","2"
"High transfer dependency","1987","Part Time","(Married) couple without C. ","3","","","","2"
"High transfer dependency","1987","Part Time","Couple + C. LE 16 ","11","","","","2"
"High transfer dependency","1987","Part Time","Couple + C. GT 16 ","6","","","","2"
"High transfer dependency","1987","Not Working","1-pers.-HH","3","","","","2"
"High transfer dependency","1987","Not Working","Single parent ","6","","","","2"
"High transfer dependency","1987","Not Working","Couple + C. LE 16 ","14","","","","2"
"High transfer dependency","1987","Not Working","Couple + C. GT 16 ","12","","","","2"
"High transfer dependency","1987","Not Working","(Married) couple without C. ","13","","","","2"
"High transfer dependency","1987","Full Time","Couple + C. GT 16 ","1","","","","2"
"High transfer dependency","1987","Not Working","Couple + C. LE and GT 16","9","","","","2"
"Low transfer dependency","1987","Full Time","Couple + C. GT 16 ","7","","","","1"
"Low transfer dependency","1987","Full Time","Couple + C. LE 16 ","28","","","","1"
"Low transfer dependency","1987","Full Time","1-pers.-HH","1","","","","1"
"Low transfer dependency","1987","Full Time","(Married) couple without C. ","13","","","","1"
"Low transfer dependency","1987","Full Time","Single parent ","2","","","","1"
"Low transfer dependency","1987","Part Time","1-pers.-HH","9","","","","1"
"Low transfer dependency","1987","Part Time","(Married) couple without C. ","13","","","","1"
"Low transfer dependency","1987","Part Time","Single parent ","24","","","","1"
"Low transfer dependency","1987","Part Time","Couple + C. LE and GT 16","17","","","","1"
"Low transfer dependency","1987","Not Working","Single parent ","23","","","","1"
"Low transfer dependency","1987","Not Working","Couple + C. LE 16 ","43","0.0689658783943766","0.0492725343507934","0.0886592224379598","1"
"Low transfer dependency","1987","Not Working","Couple + C. GT 16 ","23","","","","1"
"Low transfer dependency","1987","Not Working","Couple + C. LE and GT 16","31","0.0615928067861751","0.0387091289778676","0.0844764845944826","1"
"Low transfer dependency","1987","Full Time","Couple + C. LE and GT 16","15","","","","1"
"Low transfer dependency","1987","Part Time","Couple + C. LE 16 ","27","","","","1"
"Low transfer dependency","1987","Part Time","Couple + C. GT 16 ","8","","","","1"
"Low transfer dependency","1987","Not Working","1-pers.-HH","15","","","","1"
"Low transfer dependency","1987","Not Working","(Married) couple without C. ","20","","","","1"
"Very high transfer dependency","1987","Full Time","Couple + C. LE and GT 16","1","","","","3"
"Very high transfer dependency","1987","Part Time","Single parent ","2","","","","3"
"Very high transfer dependency","1987","Part Time","(Married) couple without C. ","1","","","","3"
"Very high transfer dependency","1987","Part Time","Couple + C. LE 16 ","3","","","","3"
"Very high transfer dependency","1987","Full Time","1-pers.-HH","1","","","","3"
"Very high transfer dependency","1987","Full Time","(Married) couple without C. ","","","","","3"
"Very high transfer dependency","1987","Full Time","Single parent ","","","","","3"
"Very high transfer dependency","1987","Full Time","Couple + C. LE 16 ","","","","","3"
"Very high transfer dependency","1987","Full Time","Couple + C. GT 16 ","","","","","3"
"Very high transfer dependency","1987","Part Time","1-pers.-HH","2","","","","3"
"Very high transfer dependency","1987","Part Time","Couple + C. GT 16 ","1","","","","3"
"Very high transfer dependency","1987","Part Time","Couple + C. LE and GT 16","2","","","","3"
"Very high transfer dependency","1987","Not Working","1-pers.-HH","42","0.0595056290369376","0.0393462393240983","0.0796650187497769","3"
"Very high transfer dependency","1987","Not Working","(Married) couple without C. ","13","","","","3"
"Very high transfer dependency","1987","Not Working","Single parent ","16","","","","3"
"Very high transfer dependency","1987","Not Working","Couple + C. LE 16 ","39","0.057649821578932","0.0395353914655904","0.0757642516922736","3"
"Very high transfer dependency","1987","Not Working","Couple + C. GT 16 ","5","","","","3"
"Very high transfer dependency","1987","Not Working","Couple + C. LE and GT 16","13","","","","3"
"Very low transfer dependency","1987","Full Time","1-pers.-HH","456","0.985871493999654","0.975098016642924","0.996644971356385","0"
"Very low transfer dependency","1987","Full Time","(Married) couple without C. ","1047","0.986742808843914","0.979857508289967","0.99362810939786","0"
"Very low transfer dependency","1987","Full Time","Single parent ","207","0.989274553451907","0.975342839331431","1.00320626757238","0"
"Very low transfer dependency","1987","Full Time","Couple + C. LE 16 ","1207","0.974952872067626","0.966241037213141","0.983664706922111","0"
"Very low transfer dependency","1987","Full Time","Couple + C. GT 16 ","1042","0.995952324956371","0.99211193313689","0.999792716775852","0"
"Very low transfer dependency","1987","Full Time","Couple + C. LE and GT 16","566","0.967452251601397","0.953072698037124","0.981831805165669","0"
"Very low transfer dependency","1987","Part Time","1-pers.-HH","102","0.847032278176364","0.782895773872529","0.9111687824802","0"
"Very low transfer dependency","1987","Part Time","(Married) couple without C. ","288","0.968990904676891","0.949537188754804","0.988444620598977","0"
"Very low transfer dependency","1987","Part Time","Single parent ","97","0.757408962828317","0.682264725635407","0.832553200021228","0"
"Very low transfer dependency","1987","Part Time","Couple + C. LE 16 ","453","0.934201722188905","0.912338598505602","0.956064845872207","0"
"Very low transfer dependency","1987","Part Time","Couple + C. GT 16 ","385","0.968590782120676","0.951497839991404","0.985683724249948","0"
"Very low transfer dependency","1987","Part Time","Couple + C. LE and GT 16","226","0.907778760877795","0.87191270902392","0.943644812731669","0"
"Very low transfer dependency","1987","Not Working","1-pers.-HH","469","0.909049504574533","0.884546657091729","0.933552352057338","0"
"Very low transfer dependency","1987","Not Working","(Married) couple without C. ","940","0.966498866226511","0.955267306768766","0.977730425684255","0"
"Very low transfer dependency","1987","Not Working","Single parent ","140","0.769445282276585","0.708752352248835","0.830138212304335","0"
"Very low transfer dependency","1987","Not Working","Couple + C. LE 16 ","540","0.854547727013772","0.827147891791875","0.881947562235669","0"
"Very low transfer dependency","1987","Not Working","Couple + C. GT 16 ","659","0.956459078338355","0.941330730241121","0.971587426435588","0"
"Very low transfer dependency","1987","Not Working","Couple + C. LE and GT 16","371","0.898751810255745","0.870038802694665","0.927464817816825","0"
"High transfer dependency","1988","Part Time","Couple + C. LE and GT 16","1","","","","2"
"High transfer dependency","1988","Full Time","1-pers.-HH","","","","","2"
"High transfer dependency","1988","Full Time","(Married) couple without C. ","1","","","","2"
"High transfer dependency","1988","Full Time","Single parent ","","","","","2"
"High transfer dependency","1988","Full Time","Couple + C. LE 16 ","","","","","2"
"High transfer dependency","1988","Part Time","Single parent ","5","","","","2"
"High transfer dependency","1988","Full Time","Couple + C. GT 16 ","1","","","","2"
"High transfer dependency","1988","Full Time","Couple + C. LE and GT 16","2","","","","2"
"High transfer dependency","1988","Part Time","1-pers.-HH","3","","","","2"
"High transfer dependency","1988","Part Time","(Married) couple without C. ","8","","","","2"
"High transfer dependency","1988","Part Time","Couple + C. LE 16 ","8","","","","2"
"High transfer dependency","1988","Part Time","Couple + C. GT 16 ","3","","","","2"
"High transfer dependency","1988","Not Working","1-pers.-HH","9","","","","2"
"High transfer dependency","1988","Not Working","(Married) couple without C. ","15","","","","2"
"High transfer dependency","1988","Not Working","Single parent ","6","","","","2"
"High transfer dependency","1988","Not Working","Couple + C. LE 16 ","8","","","","2"
"High transfer dependency","1988","Not Working","Couple + C. GT 16 ","5","","","","2"
"High transfer dependency","1988","Not Working","Couple + C. LE and GT 16","5","","","","2"
"Low transfer dependency","1988","Full Time","1-pers.-HH","2","","","","1"
"Low transfer dependency","1988","Full Time","Single parent ","7","","","","1"
"Low transfer dependency","1988","Full Time","Couple + C. LE 16 ","20","","","","1"
"Low transfer dependency","1988","Part Time","(Married) couple without C. ","6","","","","1"
"Low transfer dependency","1988","Part Time","Couple + C. GT 16 ","8","","","","1"
"Low transfer dependency","1988","Part Time","Couple + C. LE and GT 16","17","","","","1"
"Low transfer dependency","1988","Full Time","(Married) couple without C. ","7","","","","1"
"Low transfer dependency","1988","Full Time","Couple + C. GT 16 ","10","","","","1"
"Low transfer dependency","1988","Part Time","1-pers.-HH","11","","","","1"
"Low transfer dependency","1988","Full Time","Couple + C. LE and GT 16","16","","","","1"
"Low transfer dependency","1988","Part Time","Single parent ","19","","","","1"
"Low transfer dependency","1988","Part Time","Couple + C. LE 16 ","26","","","","1"
"Low transfer dependency","1988","Not Working","Single parent ","22","","","","1"
