"transab_cat2","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1985","16-34 y.","Male","31","0.012578130005673","0.00780140230097784","0.0173548577103682","2"
"High transfer dependency","1985","16-34 y.","Female","40","0.0185786401086479","0.0127658699108693","0.0243914103064264","2"
"High transfer dependency","1985","35-65 y.","Male","26","","","","2"
"High transfer dependency","1985","35-65 y.","Female","27","","","","2"
"High transfer dependency","1985","66 and older","Male","2","","","","2"
"High transfer dependency","1985","66 and older","Female","8","","","","2"
"Low transfer dependency","1985","16-34 y.","Male","84","0.0306375225131057","0.0232509834528856","0.0380240615733257","1"
"Low transfer dependency","1985","16-34 y.","Female","86","0.0361214972588801","0.0280891503109559","0.0441538442068042","1"
"Low transfer dependency","1985","35-65 y.","Female","87","0.0250161243739809","0.0193004530380035","0.0307317957099584","1"
"Low transfer dependency","1985","35-65 y.","Male","88","0.0229955479862634","0.0175374164644332","0.0284536795080937","1"
"Low transfer dependency","1985","66 and older","Male","3","","","","1"
"Low transfer dependency","1985","66 and older","Female","8","","","","1"
"Very high transfer dependency","1985","16-34 y.","Male","34","0.0176292922220991","0.011988680377061","0.0232699040671371","3"
"Very high transfer dependency","1985","16-34 y.","Female","64","0.0355303105387959","0.0275615232673139","0.0434990978102779","3"
"Very high transfer dependency","1985","35-65 y.","Male","42","0.015902646148248","0.0113472350744715","0.0204580572220246","3"
"Very high transfer dependency","1985","66 and older","Male","1","","","","3"
"Very high transfer dependency","1985","35-65 y.","Female","44","0.016822717556285","0.0121159525948665","0.0215294825177035","3"
"Very high transfer dependency","1985","66 and older","Female","5","","","","3"
"Very low transfer dependency","1985","16-34 y.","Male","1942","0.939155055259122","0.928909111317621","0.949400999200624","0"
"Very low transfer dependency","1985","16-34 y.","Female","1883","0.909769552093676","0.89743592834813","0.922103175839222","0"
"Very low transfer dependency","1985","35-65 y.","Male","2741","0.95296046715992","0.9452506729546","0.960670261365241","0"
"Very low transfer dependency","1985","35-65 y.","Female","2710","0.949856339396464","0.941869122134035","0.957843556658893","0"
"Very low transfer dependency","1985","66 and older","Male","441","0.988000925384192","0.977907306975278","0.998094543793107","0"
"Very low transfer dependency","1985","66 and older","Female","648","0.967739178478927","0.954350062448231","0.981128294509624","0"
"High transfer dependency","1986","16-34 y.","Male","24","","","","2"
"High transfer dependency","1986","16-34 y.","Female","32","0.0164107603490595","0.0108468662840124","0.0219746544141066","2"
"High transfer dependency","1986","35-65 y.","Male","27","","","","2"
"High transfer dependency","1986","35-65 y.","Female","31","0.0105305444869043","0.00670077236989209","0.0143603166039165","2"
"High transfer dependency","1986","66 and older","Male","2","","","","2"
"High transfer dependency","1986","66 and older","Female","6","","","","2"
"Low transfer dependency","1986","16-34 y.","Male","80","0.038655838457101","0.0303534120066462","0.0469582649075558","1"
"Low transfer dependency","1986","16-34 y.","Female","81","0.0362884134626102","0.0280987671319345","0.044478059793286","1"
"Low transfer dependency","1986","35-65 y.","Male","84","0.0267694556307086","0.0207290956388809","0.0328098156225363","1"
"Low transfer dependency","1986","35-65 y.","Female","76","0.0248506324119116","0.0190101244865722","0.0306911403372511","1"
"Low transfer dependency","1986","66 and older","Male","2","","","","1"
"Low transfer dependency","1986","66 and older","Female","6","","","","1"
"Very high transfer dependency","1986","16-34 y.","Male","30","0.0144282872396174","0.00929247016867428","0.0195641043105605","3"
"Very high transfer dependency","1986","16-34 y.","Female","57","0.0349958681917306","0.0269480049295109","0.0430437314539503","3"
"Very high transfer dependency","1986","35-65 y.","Male","40","0.0173425511782608","0.0124572341187393","0.0222278682377824","3"
"Very high transfer dependency","1986","66 and older","Male","","","","","3"
"Very high transfer dependency","1986","35-65 y.","Female","41","0.016237494699272","0.0114956102444014","0.0209793791541426","3"
"Very high transfer dependency","1986","66 and older","Female","2","","","","3"
"Very low transfer dependency","1986","16-34 y.","Male","1937","0.936324048261922","0.92580784787721","0.946840248646634","0"
"Very low transfer dependency","1986","16-34 y.","Female","1833","0.9123049579966","0.899917986046941","0.924691929946258","0"
"Very low transfer dependency","1986","35-65 y.","Male","2592","0.946646573019391","0.938236296389563","0.955056849649218","0"
"Very low transfer dependency","1986","35-65 y.","Female","2581","0.948381328401912","0.940080121612045","0.956682535191779","0"
"Very low transfer dependency","1986","66 and older","Male","420","0.991828860542676","0.983259965077552","1.0003977560078","0"
"Very low transfer dependency","1986","66 and older","Female","605","0.976345555511834","0.964373715070942","0.988317395952726","0"
"High transfer dependency","1987","16-34 y.","Female","23","","","","2"
"High transfer dependency","1987","16-34 y.","Male","25","","","","2"
"High transfer dependency","1987","35-65 y.","Female","32","0.0101226894100915","0.00633144794669535","0.0139139308734877","2"
"High transfer dependency","1987","35-65 y.","Male","29","","","","2"
"High transfer dependency","1987","66 and older","Male","2","","","","2"
"High transfer dependency","1987","66 and older","Female","2","","","","2"
"Low transfer dependency","1987","16-34 y.","Female","90","0.0446136303286145","0.0354666871575931","0.0537605734996359","1"
"Low transfer dependency","1987","16-34 y.","Male","80","0.0333214435116037","0.0255861683028207","0.0410567187203866","1"
"Low transfer dependency","1987","35-65 y.","Female","86","0.0311557051304661","0.024575512761217","0.0377358974997153","1"
"Low transfer dependency","1987","35-65 y.","Male","72","0.0233046829284474","0.017606569813638","0.0290027960432568","1"
"Low transfer dependency","1987","66 and older","Male","6","","","","1"
"Low transfer dependency","1987","66 and older","Female","8","","","","1"
"Very high transfer dependency","1987","16-34 y.","Male","24","","","","3"
"Very high transfer dependency","1987","16-34 y.","Female","44","0.0263245847352422","0.0192314118551426","0.0334177576153417","3"
"Very high transfer dependency","1987","35-65 y.","Male","38","0.0168376262782253","0.0119782226683895","0.0216970298880611","3"
"Very high transfer dependency","1987","66 and older","Male","","","","","3"
"Very high transfer dependency","1987","35-65 y.","Female","37","0.0153051382885484","0.0106555738657","0.0199547027113968","3"
"Very high transfer dependency","1987","66 and older","Female","2","","","","3"
"Very low transfer dependency","1987","16-34 y.","Male","1939","0.941297521607474","0.931166237364148","0.951428805850801","0"
"Very low transfer dependency","1987","16-34 y.","Female","1800","0.917781184307322","0.905610699977877","0.929951668636766","0"
"Very low transfer dependency","1987","35-65 y.","Male","2554","0.950424614779574","0.942226352639426","0.958622876919723","0"
"Very low transfer dependency","1987","35-65 y.","Female","2523","0.943416467170894","0.934665832344205","0.952167101997583","0"
"Very low transfer dependency","1987","66 and older","Male","421","0.977790468375347","0.963845676252946","0.991735260497747","0"
"Very low transfer dependency","1987","66 and older","Female","643","0.980785896845613","0.970272946669856","0.991298847021369","0"
"High transfer dependency","1988","16-34 y.","Male","18","","","","2"
"High transfer dependency","1988","16-34 y.","Female","21","","","","2"
"High transfer dependency","1988","35-65 y.","Male","20","","","","2"
"High transfer dependency","1988","35-65 y.","Female","21","","","","2"
"High transfer dependency","1988","66 and older","Male","1","","","","2"
"High transfer dependency","1988","66 and older","Female","4","","","","2"
"Low transfer dependency","1988","16-34 y.","Male","73","0.0333075642032124","0.0253595736123637","0.041255554794061","1"
"Low transfer dependency","1988","16-34 y.","Female","68","0.0338878650865995","0.0256825449818621","0.0420931851913369","1"
"Low transfer dependency","1988","35-65 y.","Female","86","0.031400336401631","0.0246221389121243","0.0381785338911376","1"
"Low transfer dependency","1988","35-65 y.","Male","71","0.0213266194033531","0.0157203655493297","0.0269328732573766","1"
"Low transfer dependency","1988","66 and older","Male","","","","","1"
"Low transfer dependency","1988","66 and older","Female","5","","","","1"
"Very high transfer dependency","1988","16-34 y.","Male","24","","","","3"
"Very high transfer dependency","1988","16-34 y.","Female","42","0.0239067351087956","0.0169794119501287","0.0308340582674625","3"
"Very high transfer dependency","1988","35-65 y.","Male","40","0.0192857504769548","0.0139489326762482","0.0246225682776613","3"
"Very high transfer dependency","1988","35-65 y.","Female","46","0.0218761408588051","0.0161907910282911","0.0275614906893192","3"
"Very high transfer dependency","1988","66 and older","Male","","","","","3"
"Very high transfer dependency","1988","66 and older","Female","4","","","","3"
"Very low transfer dependency","1988","16-34 y.","Male","1843","0.947359091148788","0.937467623151074","0.957250559146501","0"
"Very low transfer dependency","1988","16-34 y.","Female","1737","0.930023077313195","0.91845439386712","0.941591760759269","0"
"Very low transfer dependency","1988","35-65 y.","Male","2420","0.952084290201165","0.943795912678745","0.960372667723585","0"
"Very low transfer dependency","1988","35-65 y.","Female","2390","0.939169850799305","0.929880049541385","0.948459652057225","0"
"Very low transfer dependency","1988","66 and older","Male","419","0.999402904342791","0.997066673755519","1.00173913493006","0"
"Very low transfer dependency","1988","66 and older","Female","622","0.979802693156318","0.968861182830877","0.990744203481759","0"
"High transfer dependency","1989","16-34 y.","Female","27","","","","2"
"High transfer dependency","1989","16-34 y.","Male","25","","","","2"
"High transfer dependency","1989","35-65 y.","Female","27","","","","2"
"High transfer dependency","1989","35-65 y.","Male","19","","","","2"
"High transfer dependency","1989","66 and older","Male","","","","","2"
"High transfer dependency","1989","66 and older","Female","4","","","","2"
"Low transfer dependency","1989","16-34 y.","Female","64","0.0296738488497043","0.0218994224882022","0.0374482752112064","1"
"Low transfer dependency","1989","16-34 y.","Male","68","0.0268961205481194","0.019655959729214","0.0341362813670248","1"
"Low transfer dependency","1989","35-65 y.","Female","75","0.025812407445904","0.0195332611491042","0.0320915537427037","1"
"Low transfer dependency","1989","35-65 y.","Male","72","0.0226162488076411","0.0167218388991032","0.028510658716179","1"
"Low transfer dependency","1989","66 and older","Male","","","","","1"
"Low transfer dependency","1989","66 and older","Female","11","","","","1"
"Very high transfer dependency","1989","16-34 y.","Male","22","","","","3"
"Very high transfer dependency","1989","16-34 y.","Female","38","0.0272278439587534","0.0197713488339196","0.0346843390835871","3"
"Very high transfer dependency","1989","66 and older","Male","","","","","3"
"Very high transfer dependency","1989","35-65 y.","Male","42","0.0181048472077405","0.0128188432945721","0.023390851120909","3"
"Very high transfer dependency","1989","35-65 y.","Female","43","0.0211905347394554","0.015487774839236","0.0268932946396747","3"
"Very high transfer dependency","1989","66 and older","Female","3","","","","3"
"Very low transfer dependency","1989","16-34 y.","Male","1803","0.946499672022751","0.936428912035312","0.956570432010191","0"
"Very low transfer dependency","1989","16-34 y.","Female","1701","0.922953926355667","0.910736272613186","0.935171580098149","0"
"Very low transfer dependency","1989","35-65 y.","Male","2311","0.95152659430751","0.943012083077071","0.960041105537948","0"
"Very low transfer dependency","1989","35-65 y.","Female","2305","0.943177892415182","0.934011033988058","0.952344750842305","0"
"Very low transfer dependency","1989","66 and older","Male","400","1","1","1","0"
"Very low transfer dependency","1989","66 and older","Female","610","0.975107092235658","0.962921904022441","0.987292280448875","0"
"High transfer dependency","1990","16-34 y.","Male","21","","","","2"
"High transfer dependency","1990","16-34 y.","Female","21","","","","2"
"High transfer dependency","1990","35-65 y.","Female","27","","","","2"
"High transfer dependency","1990","35-65 y.","Male","22","","","","2"
"High transfer dependency","1990","66 and older","Male","2","","","","2"
"High transfer dependency","1990","66 and older","Female","6","","","","2"
"Low transfer dependency","1990","16-34 y.","Male","64","0.0307608578635063","0.0228968797957227","0.0386248359312898","1"
"Low transfer dependency","1990","16-34 y.","Female","61","0.0354113884575816","0.0268231783694131","0.0439995985457501","1"
"Low transfer dependency","1990","35-65 y.","Male","51","0.0168522722646119","0.0117025821781904","0.0220019623510334","1"
"Low transfer dependency","1990","35-65 y.","Female","59","0.0203402984116302","0.0146643145133731","0.0260162823098873","1"
"Low transfer dependency","1990","66 and older","Male","3","","","","1"
"Low transfer dependency","1990","66 and older","Female","9","","","","1"
"Very high transfer dependency","1990","16-34 y.","Male","19","","","","3"
"Very high transfer dependency","1990","16-34 y.","Female","25","","","","3"
"Very high transfer dependency","1990","35-65 y.","Male","38","0.0146465292830096","0.00984028481138663","0.0194527737546325","3"
"Very high transfer dependency","1990","66 and older","Male","","","","","3"
"Very high transfer dependency","1990","35-65 y.","Female","34","0.0163737348307069","0.0112708730170378","0.021476596644376","3"
"Very high transfer dependency","1990","66 and older","Female","1","","","","3"
"Very low transfer dependency","1990","16-34 y.","Male","1748","0.943903664063721","0.933423726785491","0.954383601341952","0"
"Very low transfer dependency","1990","16-34 y.","Female","1672","0.938536232665262","0.927375435207063","0.94969703012346","0"
"Very low transfer dependency","1990","35-65 y.","Male","2289","0.960039348000655","0.952203188457103","0.967875507544207","0"
"Very low transfer dependency","1990","35-65 y.","Female","2256","0.952649548871076","0.944109634492327","0.961189463249826","0"
"Very low transfer dependency","1990","66 and older","Male","411","0.996555689163087","0.990925754158028","1.00218562416815","0"
"Very low transfer dependency","1990","66 and older","Female","626","0.977999727860278","0.966653174223117","0.98934628149744","0"
"High transfer dependency","1991","16-34 y.","Female","22","","","","2"
"High transfer dependency","1991","16-34 y.","Male","17","","","","2"
"High transfer dependency","1991","35-65 y.","Female","26","","","","2"
"High transfer dependency","1991","35-65 y.","Male","18","","","","2"
"High transfer dependency","1991","66 and older","Male","2","","","","2"
"High transfer dependency","1991","66 and older","Female","6","","","","2"
"Low transfer dependency","1991","16-34 y.","Female","67","0.0374971183565643","0.028641743975711","0.0463524927374176","1"
"Low transfer dependency","1991","16-34 y.","Male","66","0.0344170588656432","0.0260807234091198","0.0427533943221666","1"
"Low transfer dependency","1991","35-65 y.","Male","60","0.0200954782326324","0.0144589790653048","0.0257319773999601","1"
"Low transfer dependency","1991","35-65 y.","Female","75","0.0274269197691803","0.020852885640252","0.0340009538981086","1"
"Low transfer dependency","1991","66 and older","Male","7","","","","1"
"Low transfer dependency","1991","66 and older","Female","5","","","","1"
"Very high transfer dependency","1991","16-34 y.","Male","24","","","","3"
"Very high transfer dependency","1991","16-34 y.","Female","29","","","","3"
"Very high transfer dependency","1991","66 and older","Male","","","","","3"
"Very high transfer dependency","1991","35-65 y.","Male","29","","","","3"
"Very high transfer dependency","1991","35-65 y.","Female","27","","","","3"
"Very high transfer dependency","1991","66 and older","Female","2","","","","3"
"Very low transfer dependency","1991","16-34 y.","Male","1730","0.942612270518003","0.931976484808778","0.953248056227227","0"
"Very low transfer dependency","1991","16-34 y.","Female","1650","0.931832397063688","0.920084371719863","0.943580422407512","0"
"Very low transfer dependency","1991","35-65 y.","Male","2274","0.959822962012601","0.95193521598017","0.967710708045033","0"
"Very low transfer dependency","1991","35-65 y.","Female","2243","0.94858387384993","0.939694526860915","0.957473220838945","0"
"Very low transfer dependency","1991","66 and older","Male","414","0.99211190589483","0.983681581631654","1.00054223015801","0"
"Very low transfer dependency","1991","66 and older","Female","639","0.977238801183018","0.965790996516861","0.988686605849176","0"
"High transfer dependency","1992","16-34 y.","Male","35","0.0172080690968469","0.0120857145808016","0.0223304236128923","2"
"High transfer dependency","1992","16-34 y.","Female","41","0.0200413942425314","0.0145402278268032","0.0255425606582595","2"
"High transfer dependency","1992","35-65 y.","Female","47","0.0113916976209021","0.00785412998328893","0.0149292652585153","2"
"High transfer dependency","1992","35-65 y.","Male","37","0.00884077421435722","0.00570396274370437","0.0119775856850101","2"
"High transfer dependency","1992","66 and older","Male","2","","","","2"
"High transfer dependency","1992","66 and older","Female","6","","","","2"
"Low transfer dependency","1992","16-34 y.","Male","164","0.0511448834699154","0.0424677991157658","0.059821967824065","1"
"Low transfer dependency","1992","16-34 y.","Female","184","0.058032041498145","0.0488542340619976","0.0672098489342923","1"
"Low transfer dependency","1992","35-65 y.","Female","142","0.0293668811674591","0.0237388710816943","0.0349948912532239","1"
"Low transfer dependency","1992","35-65 y.","Male","145","0.0305507703332675","0.0247838338045401","0.036317706861995","1"
"Low transfer dependency","1992","66 and older","Male","3","","","","1"
"Low transfer dependency","1992","66 and older","Female","4","","","","1"
"Very high transfer dependency","1992","16-34 y.","Male","31","0.0130427558844742","0.00857379428098049","0.017511717487968","3"
"Very high transfer dependency","1992","16-34 y.","Female","50","0.023630317633993","0.0176678110143418","0.0295928242536441","3"
"Very high transfer dependency","1992","35-65 y.","Male","37","0.0135734089804019","0.00969593933245268","0.0174508786283511","3"
"Very high transfer dependency","1992","66 and older","Male","","","","","3"
"Very high transfer dependency","1992","35-65 y.","Female","37","0.0137590152113335","0.0098758702824938","0.0176421601401733","3"
"Very high transfer dependency","1992","66 and older","Female","3","","","","3"
"Very low transfer dependency","1992","16-34 y.","Male","2246","0.918604291548763","0.907833744563498","0.929374838534029","0"
"Very low transfer dependency","1992","16-34 y.","Female","2218","0.898296246625331","0.886431315139522","0.91016117811114","0"
"Very low transfer dependency","1992","35-65 y.","Male","3202","0.947035046471973","0.939530077912004","0.954540015031942","0"
"Very low transfer dependency","1992","35-65 y.","Female","3231","0.945482406000305","0.937914190887089","0.953050621113521","0"
"Very low transfer dependency","1992","66 and older","Male","552","0.998703238461789","0.995714631643257","1.00169184528032","0"
"Very low transfer dependency","1992","66 and older","Female","910","0.988510650338876","0.981635445527171","0.995385855150581","0"
"High transfer dependency","1993","16-34 y.","Female","52","0.0223350491027164","0.0164584940040853","0.0282116042013474","2"
"High transfer dependency","1993","16-34 y.","Male","52","0.0187101460217431","0.0133436484007945","0.0240766436426918","2"
"High transfer dependency","1993","35-65 y.","Female","52","0.012732168320726","0.0089485388511016","0.0165157977903505","2"
"High transfer dependency","1993","35-65 y.","Male","51","0.0145332228776828","0.0104788639323233","0.0185875818230422","2"
"High transfer dependency","1993","66 and older","Male","1","","","","2"
"High transfer dependency","1993","66 and older","Female","4","","","","2"
"Low transfer dependency","1993","16-34 y.","Female","204","0.068787344024249","0.0587223611785263","0.0788523268699717","1"
"Low transfer dependency","1993","16-34 y.","Male","186","0.0579628899847385","0.0487081820063128","0.0672175979631641","1"
"Low transfer dependency","1993","35-65 y.","Male","185","0.0387973834277996","0.03225510646894","0.0453396603866592","1"
"Low transfer dependency","1993","35-65 y.","Female","190","0.0390458094728893","0.0325088095731129","0.0455828093726656","1"
"Low transfer dependency","1993","66 and older","Male","7","","","","1"
"Low transfer dependency","1993","66 and older","Female","12","","","","1"
"Very high transfer dependency","1993","16-34 y.","Male","48","0.0185357966290117","0.0131938867305735","0.0238777065274499","3"
"Very high transfer dependency","1993","16-34 y.","Female","63","0.0270026418217209","0.020556597429874","0.0334486862135677","3"
"Very high transfer dependency","1993","35-65 y.","Male","39","0.0138462054164178","0.009887456613178","0.0178049542196575","3"
"Very high transfer dependency","1993","35-65 y.","Female","50","0.0154917235355809","0.0113239945042997","0.0196594525668621","3"
"Very high transfer dependency","1993","66 and older","Male","","","","","3"
"Very high transfer dependency","1993","66 and older","Female","4","","","","3"
"Very low transfer dependency","1993","16-34 y.","Male","2163","0.904791167364507","0.893166875794625","0.916415458934388","0"
"Very low transfer dependency","1993","16-34 y.","Female","2110","0.881874965051314","0.8690395825454","0.894710347557227","0"
"Very low transfer dependency","1993","35-65 y.","Male","3072","0.9328231882781","0.924342529385108","0.941303847171092","0"
"Very low transfer dependency","1993","35-65 y.","Female","3081","0.932730298670804","0.924276970827608","0.941183626513999","0"
"Very low transfer dependency","1993","66 and older","Male","552","0.995082992418316","0.989289583704194","1.00087640113244","0"
"Very low transfer dependency","1993","66 and older","Female","919","0.981993766386724","0.973488633558739","0.990498899214709","0"
"High transfer dependency","1994","16-34 y.","Male","42","0.0184412795269454","0.0130143552004553","0.0238682038534354","2"
"High transfer dependency","1994","16-34 y.","Female","54","0.0246465705897231","0.0184730821264795","0.0308200590529667","2"
"High transfer dependency","1994","35-65 y.","Female","62","0.0156650330206953","0.0114257578901561","0.0199043081512345","2"
"High transfer dependency","1994","35-65 y.","Male","66","0.018226818568815","0.0136425628385104","0.0228110742991196","2"
"High transfer dependency","1994","66 and older","Male","2","","","","2"
"High transfer dependency","1994","66 and older","Female","3","","","","2"
"Low transfer dependency","1994","16-34 y.","Male","186","0.0660785129773948","0.0560581048216085","0.076098921133181","1"
"Low transfer dependency","1994","16-34 y.","Female","204","0.065627201295669","0.0557672806574588","0.0754871219338791","1"
"Low transfer dependency","1994","35-65 y.","Female","189","0.0399345778546305","0.033249915855561","0.0466192398537","1"
"Low transfer dependency","1994","35-65 y.","Male","177","0.0370768762197229","0.0306016462739583","0.0435521061654875","1"
"Low transfer dependency","1994","66 and older","Male","8","","","","1"
"Low transfer dependency","1994","66 and older","Female","13","","","","1"
"Very high transfer dependency","1994","16-34 y.","Female","71","0.0347545128412646","0.0274616864264666","0.0420473392560627","3"
"Very high transfer dependency","1994","16-34 y.","Male","52","0.0247542601420744","0.0184869367647315","0.0310215835194174","3"
"Very high transfer dependency","1994","35-65 y.","Male","52","0.0215579506132558","0.0165808191788539","0.0265350820476576","3"
"Very high transfer dependency","1994","35-65 y.","Female","56","0.0190593039593322","0.0143913196901363","0.0237272882285281","3"
"Very high transfer dependency","1994","66 and older","Male","1","","","","3"
"Very high transfer dependency","1994","66 and older","Female","4","","","","3"
"Very low transfer dependency","1994","16-34 y.","Male","2081","0.890725947353585","0.878141600661004","0.903310294046167","0"
"Very low transfer dependency","1994","16-34 y.","Female","2094","0.874971715273343","0.861802116996317","0.888141313550369","0"
"Very low transfer dependency","1994","35-65 y.","Male","2976","0.923138354598206","0.91400992531829","0.932266783878123","0"
"Very low transfer dependency","1994","35-65 y.","Female","2989","0.925341085165342","0.916367907871024","0.93431426245966","0"
"Very low transfer dependency","1994","66 and older","Male","560","0.987546867539512","0.978450914729028","0.996642820349995","0"
"Very low transfer dependency","1994","66 and older","Female","929","0.984717007145626","0.97691197116985","0.992522043121403","0"
"High transfer dependency","1995","16-34 y.","Female","62","0.0246637265698774","0.0185730187835063","0.0307544343562485","2"
"High transfer dependency","1995","16-34 y.","Male","51","0.0248116866085211","0.018621908505339","0.0310014647117031","2"
"High transfer dependency","1995","35-65 y.","Female","69","0.0167749601178976","0.0124782934307056","0.0210716268050895","2"
"High transfer dependency","1995","35-65 y.","Male","59","0.0144775888914457","0.0104518772654293","0.0185033005174621","2"
"High transfer dependency","1995","66 and older","Male","2","","","","2"
"High transfer dependency","1995","66 and older","Female","5","","","","2"
"Low transfer dependency","1995","16-34 y.","Female","196","0.0682172567160101","0.0583165616648305","0.0781179517671897","1"
"Low transfer dependency","1995","16-34 y.","Male","164","0.0566390093942208","0.0474408808610922","0.0658371379273494","1"
"Low transfer dependency","1995","35-65 y.","Female","185","0.0389239593503402","0.0324531019114635","0.0453948167892169","1"
"Low transfer dependency","1995","35-65 y.","Male","204","0.049114297429346","0.0418309770179333","0.0563976178407587","1"
"Low transfer dependency","1995","66 and older","Male","5","","","","1"
"Low transfer dependency","1995","66 and older","Female","13","","","","1"
"Very high transfer dependency","1995","16-34 y.","Male","73","0.0325394677209504","0.0254791451503071","0.0395997902915936","3"
"Very high transfer dependency","1995","16-34 y.","Female","97","0.0472670094923387","0.0389335391871455","0.0556004797975319","3"
"Very high transfer dependency","1995","35-65 y.","Male","73","0.0284241607257139","0.0228234458011923","0.0340248756502355","3"
"Very high transfer dependency","1995","35-65 y.","Female","86","0.0272999635605446","0.0218481003436466","0.0327518267774426","3"
"Very high transfer dependency","1995","66 and older","Male","2","","","","3"
"Very high transfer dependency","1995","66 and older","Female","4","","","","3"
"Very low transfer dependency","1995","16-34 y.","Male","2138","0.886009836276308","0.87336376418832","0.898655908364296","0"
"Very low transfer dependency","1995","16-34 y.","Female","2136","0.859852007221774","0.846219789206113","0.873484225237435","0"
"Very low transfer dependency","1995","35-65 y.","Female","3092","0.917001116971218","0.907771248596592","0.926230985345844","0"
"Very low transfer dependency","1995","35-65 y.","Male","3046","0.907983952953494","0.898242311027789","0.917725594879199","0"
"Very low transfer dependency","1995","66 and older","Female","937","0.983566990553643","0.975520633276235","0.991613347831051","0"
"Very low transfer dependency","1995","66 and older","Male","582","0.991595882272366","0.984236052463989","0.998955712080742","0"
"High transfer dependency","1996","16-34 y.","Female","62","0.0267567888688198","0.0203033785844724","0.0332101991531672","2"
"High transfer dependency","1996","16-34 y.","Male","56","0.0203320933195511","0.0146149658962481","0.0260492207428541","2"
"High transfer dependency","1996","35-65 y.","Female","104","0.0284728526115683","0.0228699675314111","0.0340757376917256","2"
"High transfer dependency","1996","35-65 y.","Male","79","0.0198206090673494","0.0150829528053886","0.0245582653293101","2"
"High transfer dependency","1996","66 and older","Male","1","","","","2"
"High transfer dependency","1996","66 and older","Female","4","","","","2"
"Low transfer dependency","1996","16-34 y.","Female","183","0.0617647461726656","0.0521378166224333","0.0713916757228978","1"
"Low transfer dependency","1996","16-34 y.","Male","166","0.0615872621994156","0.051848813508054","0.0713257108907772","1"
"Low transfer dependency","1996","35-65 y.","Female","228","0.0537941217784652","0.0461938523842765","0.0613943911726539","1"
"Low transfer dependency","1996","35-65 y.","Male","226","0.0555652977783899","0.0477788377689771","0.0633517577878027","1"
"Low transfer dependency","1996","66 and older","Male","14","","","","1"
"Low transfer dependency","1996","66 and older","Female","19","","","","1"
"Very high transfer dependency","1996","16-34 y.","Male","55","0.0194601846861609","0.0138644968396496","0.0250558725326722","3"
"Very high transfer dependency","1996","16-34 y.","Female","83","0.0385808062824065","0.0308788041717225","0.0462828083930905","3"
"Very high transfer dependency","1996","35-65 y.","Male","88","0.0310112399976669","0.0251191251704108","0.036903354824923","3"
"Very high transfer dependency","1996","35-65 y.","Female","98","0.0293046544461184","0.0236229514153048","0.0349863574769321","3"
"Very high transfer dependency","1996","66 and older","Male","4","","","","3"
"Very high transfer dependency","1996","66 and older","Female","4","","","","3"
"Very low transfer dependency","1996","16-34 y.","Male","2064","0.898620459794872","0.886393719319755","0.91084720026999","0"
"Very low transfer dependency","1996","16-34 y.","Female","2074","0.872897658676108","0.859577173942783","0.886218143409433","0"
