"transab_cat2","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","1990","direct migration background","2326","0.925459948035588","0.915219495953668","0.935700400117508","0"
"Very low transfer dependency","1990","indirect migration background","275","0.956184014610689","0.932706955344104","0.979661073877274","0"
"High transfer dependency","1991","no migration background","56","0.00896227096256583","0.00668720694875437","0.0112373349763773","2"
"High transfer dependency","1991","direct migration background","33","0.0119660106855898","0.00769606979651096","0.0162359515746687","2"
"High transfer dependency","1991","indirect migration background","2","","","","2"
"Low transfer dependency","1991","no migration background","146","0.0212218623854941","0.0177427106593938","0.0247010141115944","1"
"Low transfer dependency","1991","direct migration background","118","0.0458126005683289","0.0376020829280636","0.0540231182085943","1"
"Low transfer dependency","1991","indirect migration background","16","","","","1"
"Very high transfer dependency","1991","no migration background","57","0.0114058155420941","0.00884244322883029","0.0139691878553579","3"
"Very high transfer dependency","1991","indirect migration background","10","","","","3"
"Very high transfer dependency","1991","direct migration background","44","0.0153878662586983","0.0105541292206512","0.0202216032967454","3"
"Very low transfer dependency","1991","no migration background","6333","0.958410051109846","0.953590469208609","0.963229633011083","0"
"Very low transfer dependency","1991","direct migration background","2296","0.926833522487383","0.916607231002651","0.937059813972116","0"
"Very low transfer dependency","1991","indirect migration background","321","0.921330086548566","0.893084711843375","0.949575461253756","0"
"High transfer dependency","1992","no migration background","127","0.0113831313736712","0.00934078559921016","0.0134254771481323","2"
"High transfer dependency","1992","direct migration background","37","0.0114683278117258","0.00734058138884334","0.0155960742346082","2"
"High transfer dependency","1992","indirect migration background","4","","","","2"
"Low transfer dependency","1992","no migration background","497","0.0321597461655664","0.0287631607888078","0.035556331542325","1"
"Low transfer dependency","1992","direct migration background","121","0.0336079188735651","0.0266213304867466","0.0405945072603837","1"
"Low transfer dependency","1992","indirect migration background","24","","","","1"
"Very high transfer dependency","1992","no migration background","90","0.0121154296711432","0.01000919430667","0.0142216650356164","3"
"Very high transfer dependency","1992","direct migration background","56","0.0204445260004309","0.0149583377303963","0.0259307142704656","3"
"Very high transfer dependency","1992","indirect migration background","12","","","","3"
"Very low transfer dependency","1992","no migration background","9650","0.944341692789619","0.939927879400151","0.948755506179088","0"
"Very low transfer dependency","1992","direct migration background","2342","0.934479227314278","0.924886502250049","0.944071952378507","0"
"Very low transfer dependency","1992","indirect migration background","367","0.914244624042951","0.887041876460498","0.941447371625405","0"
"High transfer dependency","1993","no migration background","151","0.0133292714601386","0.0110984664306093","0.0155600764896679","2"
"High transfer dependency","1993","direct migration background","50","0.0145047137549331","0.00979448123713742","0.0192149462727287","2"
"High transfer dependency","1993","indirect migration background","11","","","","2"
"Low transfer dependency","1993","no migration background","644","0.0412966756138979","0.0374261321445518","0.0451672190832441","1"
"Low transfer dependency","1993","direct migration background","119","0.0365158824817263","0.0291262358750859","0.0439055290883666","1"
"Low transfer dependency","1993","indirect migration background","21","","","","1"
"Very high transfer dependency","1993","no migration background","145","0.0147673670669884","0.0124210147967299","0.0171137193372469","3"
"Very high transfer dependency","1993","direct migration background","51","0.0191649677043056","0.0137634908457836","0.0245664445628277","3"
"Very high transfer dependency","1993","indirect migration background","8","","","","3"
"Very low transfer dependency","1993","no migration background","9212","0.930606685858975","0.925663417530018","0.935549954187932","0"
"Very low transfer dependency","1993","direct migration background","2255","0.929814436059035","0.919750160282052","0.939878711836018","0"
"Very low transfer dependency","1993","indirect migration background","430","0.933592339047647","0.911081748243874","0.956102929851419","0"
"High transfer dependency","1994","no migration background","172","0.0147783976048839","0.0124147104415174","0.0171420847682505","2"
"High transfer dependency","1994","direct migration background","50","0.0207665726394811","0.0150205643424213","0.0265125809365409","2"
"High transfer dependency","1994","indirect migration background","7","","","","2"
"Low transfer dependency","1994","no migration background","591","0.0393952629730617","0.0355845720612471","0.0432059538848762","1"
"Low transfer dependency","1994","direct migration background","150","0.051571134457639","0.0426597240526519","0.0604825448626261","1"
"Low transfer dependency","1994","indirect migration background","36","0.0478993039174469","0.0290675548317965","0.0667310530030972","1"
"Very high transfer dependency","1994","no migration background","167","0.0193164247111055","0.0166203173383839","0.022012532083827","3"
"Very high transfer dependency","1994","direct migration background","63","0.0269814461926226","0.0204526382431593","0.0335102541420859","3"
"Very high transfer dependency","1994","indirect migration background","6","","","","3"
"Very low transfer dependency","1994","no migration background","9081","0.926509914710949","0.921398409926984","0.931621419494914","0"
"Very low transfer dependency","1994","direct migration background","2103","0.900680846710257","0.888629302762542","0.912732390657972","0"
"Very low transfer dependency","1994","indirect migration background","445","0.920109719338208","0.896201270566025","0.944018168110391","0"
"High transfer dependency","1995","no migration background","157","0.0140921121125331","0.0117799207690766","0.0164043034559896","2"
"High transfer dependency","1995","direct migration background","77","0.0262310799687281","0.020300706699129","0.0321614532383273","2"
"High transfer dependency","1995","indirect migration background","14","","","","2"
"Low transfer dependency","1995","no migration background","550","0.0400172158368017","0.036172425051009","0.0438620066225943","1"
"Low transfer dependency","1995","direct migration background","184","0.0548362708785268","0.0463886683893681","0.0632838733676855","1"
"Low transfer dependency","1995","indirect migration background","33","0.046708708379618","0.0283590502754537","0.0650583664837822","1"
"Very high transfer dependency","1995","no migration background","199","0.0212855360332417","0.0184542232191436","0.0241168488473399","3"
"Very high transfer dependency","1995","direct migration background","129","0.0614657170324873","0.052553463428379","0.0703779706365956","3"
"Very high transfer dependency","1995","indirect migration background","7","","","","3"
"Very low transfer dependency","1995","no migration background","9077","0.924605136017424","0.919425889445574","0.929784382589273","0"
"Very low transfer dependency","1995","direct migration background","2400","0.857466932120258","0.844494766160434","0.870439098080082","0"
"Very low transfer dependency","1995","indirect migration background","454","0.917231623501828","0.893271560098936","0.94119168690472","0"
"High transfer dependency","1996","no migration background","221","0.0194820925269661","0.0167577520084309","0.0222064330455014","2"
"High transfer dependency","1996","direct migration background","73","0.0236637641834647","0.0178178325159374","0.029509695850992","2"
"High transfer dependency","1996","indirect migration background","12","","","","2"
"Low transfer dependency","1996","no migration background","621","0.0482488086154229","0.044024838513656","0.0524727787171899","1"
"Low transfer dependency","1996","direct migration background","179","0.0524568767797435","0.0438822974423661","0.0610314561171208","1"
"Low transfer dependency","1996","indirect migration background","36","0.0452800188672417","0.0277597501048692","0.0628002876296141","1"
"Very high transfer dependency","1996","no migration background","195","0.0190042623818946","0.016312883173355","0.0216956415904341","3"
"Very high transfer dependency","1996","direct migration background","120","0.0595761713335071","0.0504726330368932","0.0686797096301209","3"
"Very high transfer dependency","1996","indirect migration background","17","","","","3"
"Very low transfer dependency","1996","no migration background","8850","0.913264836475716","0.907717151485649","0.918812521465784","0"
"Very low transfer dependency","1996","direct migration background","2225","0.864303187703285","0.8511318466182","0.877474528788369","0"
"Very low transfer dependency","1996","indirect migration background","476","0.914639602658044","0.891094386959797","0.938184818356291","0"
"High transfer dependency","1997","no migration background","239","0.0225979756263271","0.0196489158186706","0.0255470354339836","2"
"High transfer dependency","1997","direct migration background","70","0.0269818752818234","0.0205945300795698","0.033369220484077","2"
"High transfer dependency","1997","indirect migration background","11","","","","2"
"Low transfer dependency","1997","no migration background","685","0.0558415781959215","0.0512852660130704","0.0603978903787727","1"
"Low transfer dependency","1997","direct migration background","246","0.083633698831969","0.072720575456384","0.094546822207554","1"
"Low transfer dependency","1997","indirect migration background","60","0.0920143717358691","0.068285451142791","0.115743292328947","1"
"Very high transfer dependency","1997","no migration background","221","0.0255110047771963","0.0223823009980111","0.0286397085563816","3"
"Very high transfer dependency","1997","direct migration background","114","0.0541811727772139","0.0452573274177605","0.0631050181366673","3"
"Very high transfer dependency","1997","indirect migration background","20","","","","3"
"Very low transfer dependency","1997","no migration background","8611","0.896049441400555","0.889993361510244","0.902105521290867","0"
"Very low transfer dependency","1997","direct migration background","2042","0.835203253108994","0.820578307363747","0.84982819885424","0"
"Very low transfer dependency","1997","indirect migration background","479","0.864613181175433","0.836525894875645","0.892700467475222","0"
"High transfer dependency","1998","no migration background","220","0.0175511805159262","0.0151198147656782","0.0199825462661741","2"
"High transfer dependency","1998","direct migration background","79","0.0275232147192015","0.0209846902827946","0.0340617391556083","2"
"High transfer dependency","1998","indirect migration background","24","","","","2"
"Low transfer dependency","1998","no migration background","752","0.0515471597734633","0.0474531167552498","0.0556412027916768","1"
"Low transfer dependency","1998","direct migration background","248","0.0864339812567439","0.0752033859441599","0.0976645765693279","1"
"Low transfer dependency","1998","indirect migration background","51","0.0811274922890408","0.0592626507294756","0.102992333848606","1"
"Very high transfer dependency","1998","no migration background","279","0.0279732245660125","0.0249200436399889","0.0310264054920362","3"
"Very high transfer dependency","1998","direct migration background","97","0.0514070323503846","0.0425814825941206","0.0602325821066485","3"
"Very high transfer dependency","1998","indirect migration background","18","","","","3"
"Very low transfer dependency","1998","no migration background","9954","0.902928435144598","0.897446740483174","0.908410129806022","0"
"Very low transfer dependency","1998","direct migration background","1981","0.83463577167367","0.819788049517048","0.849483493830292","0"
"Very low transfer dependency","1998","indirect migration background","506","0.858144184618097","0.830203413746643","0.88608495548955","0"
"High transfer dependency","1999","no migration background","245","0.0170695280270591","0.0146338192084311","0.0195052368456871","2"
"High transfer dependency","1999","direct migration background","52","0.0289955967519208","0.0219776745667892","0.0360135189370523","2"
"High transfer dependency","1999","indirect migration background","19","","","","2"
"Low transfer dependency","1999","no migration background","680","0.0485303804116395","0.0444896718925529","0.0525710889307261","1"
"Low transfer dependency","1999","direct migration background","246","0.0893903269706147","0.0774575007573372","0.101323153183892","1"
"Low transfer dependency","1999","indirect migration background","52","0.0731127669661919","0.0523521774329089","0.0938733564994748","1"
"Very high transfer dependency","1999","no migration background","232","0.0238259720702473","0.0209582163741986","0.026693727766296","3"
"Very high transfer dependency","1999","direct migration background","73","0.0302023318754309","0.0230443148237795","0.0373603489270823","3"
"Very high transfer dependency","1999","indirect migration background","16","","","","3"
"Very low transfer dependency","1999","no migration background","9707","0.910574119491054","0.905208220707816","0.915940018274292","0"
"Very low transfer dependency","1999","direct migration background","1825","0.851411744402034","0.836535476751045","0.866288012053022","0"
"Very low transfer dependency","1999","indirect migration background","517","0.871331606028632","0.844628775739646","0.898034436317618","0"
"High transfer dependency","2000","no migration background","339","0.0145447409714705","0.0128842313975917","0.0162052505453494","2"
"High transfer dependency","2000","direct migration background","107","0.0307926766438967","0.0248967125557722","0.0366886407320212","2"
"High transfer dependency","2000","indirect migration background","22","","","","2"
"Low transfer dependency","2000","no migration background","1147","0.0465067040237209","0.0435860068169522","0.0494274012304896","1"
"Low transfer dependency","2000","direct migration background","341","0.0926462479050874","0.0827510381917981","0.102541457618377","1"
"Low transfer dependency","2000","indirect migration background","66","0.0699218892251964","0.0524460625828407","0.0873977158675521","1"
"Very high transfer dependency","2000","no migration background","422","0.0206468524004517","0.0186745817098898","0.0226191230910136","3"
"Very high transfer dependency","2000","direct migration background","180","0.0588902599488948","0.0508556530165996","0.0669248668811901","3"
"Very high transfer dependency","2000","indirect migration background","16","","","","3"
"Very low transfer dependency","2000","no migration background","18061","0.918301702604357","0.914502704033042","0.922100701175672","0"
"Very low transfer dependency","2000","direct migration background","2670","0.817670815502121","0.804493100562133","0.83084853044211","0"
"Very low transfer dependency","2000","indirect migration background","714","0.883892435095979","0.861939054528977","0.905845815662982","0"
"High transfer dependency","2001","no migration background","335","0.0151938317243611","0.0134179606060511","0.0169697028426711","2"
"High transfer dependency","2001","direct migration background","88","0.0344953833773679","0.0278544076640636","0.0411363590906721","2"
"High transfer dependency","2001","indirect migration background","20","","","","2"
"Low transfer dependency","2001","no migration background","1082","0.0466285541241169","0.0435675814493043","0.0496895267989295","1"
"Low transfer dependency","2001","direct migration background","331","0.0983125899343243","0.0874781417189559","0.109147038149693","1"
"Low transfer dependency","2001","indirect migration background","52","0.0529075389310177","0.0370553705735665","0.0687597072884689","1"
"Very high transfer dependency","2001","no migration background","401","0.0220192530662694","0.0198888153010914","0.0241496908314474","3"
"Very high transfer dependency","2001","direct migration background","130","0.059180444615136","0.0505939380491021","0.0677669511811699","3"
"Very high transfer dependency","2001","indirect migration background","26","","","","3"
"Very low transfer dependency","2001","no migration background","16408","0.916158361085253","0.912134735487865","0.920181986682641","0"
"Very low transfer dependency","2001","direct migration background","2352","0.808011582073172","0.793679128800389","0.822344035345955","0"
"Very low transfer dependency","2001","indirect migration background","668","0.892110364740704","0.870140222877276","0.914080506604132","0"
"High transfer dependency","2002","no migration background","360","0.0214496479948883","0.0194130672459937","0.0234862287437828","2"
"High transfer dependency","2002","direct migration background","77","0.0369359147967523","0.0299072306640223","0.0439645989294822","2"
"High transfer dependency","2002","indirect migration background","22","","","","2"
"Low transfer dependency","2002","no migration background","1008","0.0508882782439111","0.0477989254377645","0.0539776310500577","1"
"Low transfer dependency","2002","direct migration background","264","0.0989989897921892","0.087868865259834","0.110129114324545","1"
"Low transfer dependency","2002","indirect migration background","55","0.0618843945690288","0.0449318074900403","0.0788369816480174","1"
"Very high transfer dependency","2002","no migration background","362","0.0228808075606549","0.0207789203539649","0.0249826947673449","3"
"Very high transfer dependency","2002","direct migration background","123","0.0517496855814327","0.0434943000752344","0.060005071087631","3"
"Very high transfer dependency","2002","indirect migration background","32","0.0391491401078991","0.0255031096692884","0.0527951705465099","3"
"Very low transfer dependency","2002","no migration background","17710","0.904781266200546","0.900655230687721","0.90890730171337","0"
"Very low transfer dependency","2002","direct migration background","2302","0.812315409829626","0.797764214943698","0.826866604715554","0"
"Very low transfer dependency","2002","indirect migration background","667","0.840272153657697","0.814496034301191","0.866048273014203","0"
"High transfer dependency","2003","no migration background","344","0.0191419278182491","0.0171796886570428","0.0211041669794554","2"
"High transfer dependency","2003","direct migration background","67","0.0289879908290562","0.0225514993958526","0.0354244822622599","2"
"High transfer dependency","2003","indirect migration background","27","","","","2"
"Low transfer dependency","2003","no migration background","1059","0.0530962822886374","0.0498852772718734","0.0563072873054014","1"
"Low transfer dependency","2003","direct migration background","275","0.104162353849219","0.0924431560456194","0.115881551652819","1"
"Low transfer dependency","2003","indirect migration background","71","0.0884820231242045","0.0685390683974665","0.108424977850943","1"
"Very high transfer dependency","2003","no migration background","424","0.0285705846440819","0.0261848551194541","0.0309563141687096","3"
"Very high transfer dependency","2003","direct migration background","125","0.0696846014874716","0.0599164732505319","0.0794527297244113","3"
"Very high transfer dependency","2003","indirect migration background","30","0.0530483159120644","0.0373092456857282","0.0687873861384006","3"
"Very low transfer dependency","2003","no migration background","16905","0.899191205249032","0.894879676831085","0.903502733666978","0"
"Very low transfer dependency","2003","direct migration background","2143","0.797165053834253","0.781738342472349","0.812591765196157","0"
"Very low transfer dependency","2003","indirect migration background","651","0.825178680807305","0.798506989365881","0.85185037224873","0"
"High transfer dependency","2004","no migration background","337","0.0204382327682061","0.0183842710724159","0.0224921944639962","2"
"High transfer dependency","2004","direct migration background","70","0.025786848164198","0.0195960541529924","0.0319776421754035","2"
"High transfer dependency","2004","indirect migration background","33","0.0451134707699596","0.0307757818161246","0.0594511597237945","2"
"Low transfer dependency","2004","no migration background","1047","0.0563613242019683","0.05301361121519","0.0597090371887467","1"
"Low transfer dependency","2004","direct migration background","279","0.104748883257216","0.0927878867202721","0.11670987979416","1"
"Low transfer dependency","2004","indirect migration background","62","0.102330065330341","0.0813932743949848","0.123266856265697","1"
"Very high transfer dependency","2004","no migration background","444","0.0296832181955927","0.027219636207033","0.0321468001841523","3"
"Very high transfer dependency","2004","direct migration background","126","0.0657843503597241","0.056101458260548","0.0754672424589002","3"
"Very high transfer dependency","2004","indirect migration background","39","0.0611710778455816","0.0446165633888796","0.0777255923022837","3"
"Very low transfer dependency","2004","no migration background","16402","0.893517224834233","0.889039618566262","0.897994831102204","0"
"Very low transfer dependency","2004","direct migration background","2043","0.803679918218862","0.788165190806877","0.819194645630847","0"
"Very low transfer dependency","2004","indirect migration background","671","0.791385386054118","0.763317059008107","0.819453713100128","0"
"High transfer dependency","2005","no migration background","344","0.0211354202192037","0.01900149204667","0.0232693483917373","2"
"High transfer dependency","2005","direct migration background","91","0.0430643881459771","0.0348585626795798","0.0512702136123744","2"
"High transfer dependency","2005","indirect migration background","35","0.0403010885934812","0.0268731182043186","0.0537290589826438","2"
"Low transfer dependency","2005","no migration background","1053","0.0601731042588574","0.0566450261639914","0.0637011823537235","1"
"Low transfer dependency","2005","direct migration background","270","0.116125100327636","0.10317478843376","0.129075412221511","1"
"Low transfer dependency","2005","indirect migration background","65","0.072599486608434","0.0548827011567524","0.0903162720601156","1"
"Very high transfer dependency","2005","no migration background","442","0.0325114639839438","0.0298802617840911","0.0351426661837965","3"
"Very high transfer dependency","2005","direct migration background","129","0.0672289225437254","0.0571064318150246","0.0773514132724262","3"
"Very high transfer dependency","2005","indirect migration background","47","0.0572554671657901","0.0413922971921223","0.0731186371394578","3"
"Very low transfer dependency","2005","no migration background","15614","0.886180011537995","0.881468250134863","0.890891772941127","0"
"Very low transfer dependency","2005","direct migration background","1861","0.773581588982662","0.756664302333218","0.790498875632106","0"
"Very low transfer dependency","2005","indirect migration background","677","0.829843957632295","0.804186927092541","0.855500988172048","0"
"High transfer dependency","2006","no migration background","410","0.0244773672646527","0.0222807892268286","0.0266739453024769","2"
"High transfer dependency","2006","direct migration background","108","0.0444203182784147","0.0361291632608108","0.0527114732960186","2"
"High transfer dependency","2006","indirect migration background","40","0.0526844523420058","0.0376570880930688","0.0677118165909428","2"
"Low transfer dependency","2006","no migration background","1034","0.0547218260362997","0.0514888259527857","0.0579548261198138","1"
"Low transfer dependency","2006","direct migration background","241","0.105691034997753","0.0933186445711008","0.118063425424405","1"
"Low transfer dependency","2006","indirect migration background","79","0.111295686202206","0.0901407336417279","0.132450638762684","1"
"Very high transfer dependency","2006","no migration background","541","0.0366257216266265","0.0339555681263733","0.0392958751268797","3"
"Very high transfer dependency","2006","direct migration background","182","0.0982682180236337","0.086288792896871","0.110247643150396","3"
"Very high transfer dependency","2006","indirect migration background","60","0.0747984784824113","0.0571031431564606","0.092493813808362","3"
"Very low transfer dependency","2006","no migration background","17026","0.884175085072421","0.879626087118595","0.888724083026247","0"
"Very low transfer dependency","2006","direct migration background","1841","0.751620428700199","0.7342324951023","0.769008362298098","0"
"Very low transfer dependency","2006","indirect migration background","670","0.761221382973377","0.732543475990108","0.789899289956646","0"
"High transfer dependency","2007","no migration background","358","0.0234016501290101","0.021184595267918","0.0256187049901022","2"
"High transfer dependency","2007","direct migration background","97","0.0571525665390136","0.0473082391730558","0.0669968939049715","2"
"High transfer dependency","2007","indirect migration background","33","0.0408609936484698","0.0274091544781929","0.0543128328187467","2"
"Low transfer dependency","2007","no migration background","938","0.0514360845823723","0.0481967004059119","0.0546754687588327","1"
"Low transfer dependency","2007","direct migration background","219","0.115603866150343","0.102043948134275","0.12916378416641","1"
"Low transfer dependency","2007","indirect migration background","80","0.109173062329893","0.0879825798704327","0.130363544789353","1"
"Very high transfer dependency","2007","no migration background","519","0.035209216190693","0.0325062540829612","0.0379121782984248","3"
"Very high transfer dependency","2007","direct migration background","135","0.0788557163671862","0.0674261990959858","0.0902852336383866","3"
"Very high transfer dependency","2007","indirect migration background","59","0.093714215515787","0.0739116367741582","0.113516794257416","3"
"Very low transfer dependency","2007","no migration background","16046","0.889953049097925","0.885363523880751","0.894542574315098","0"
"Very low transfer dependency","2007","direct migration background","1685","0.748387850943458","0.729985359064112","0.766790342822803","0"
"Very low transfer dependency","2007","indirect migration background","660","0.75625172850585","0.727078103899218","0.785425353112483","0"
"High transfer dependency","2008","no migration background","275","0.0189317910105564","0.0168735477040416","0.0209900343170712","2"
"High transfer dependency","2008","direct migration background","79","0.0496606789050367","0.0398847034776865","0.0594366543323869","2"
"High transfer dependency","2008","indirect migration background","40","0.0712450522586242","0.053617201538955","0.0888729029782934","2"
"Low transfer dependency","2008","no migration background","811","0.0493306008173193","0.04606002501418","0.0526011766204585","1"
"Low transfer dependency","2008","direct migration background","173","0.0969529457290988","0.0836376713485425","0.110268220109655","1"
"Low transfer dependency","2008","indirect migration background","76","0.100546720399242","0.0799383003015718","0.121155140496913","1"
"Very high transfer dependency","2008","no migration background","452","0.034437709872645","0.0316837440958542","0.0371916756494358","3"
"Very high transfer dependency","2008","direct migration background","114","0.0734893399055169","0.0617470767509175","0.0852316030601163","3"
"Very high transfer dependency","2008","indirect migration background","48","0.0561539838955256","0.0403774244112732","0.071930543379778","3"
"Very low transfer dependency","2008","no migration background","15304","0.897299898299479","0.892715255487243","0.901884541111716","0"
"Very low transfer dependency","2008","direct migration background","1531","0.779897035460348","0.761252738725941","0.798541332194755","0"
