"transab_cat2","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1985","direct migration background","West Germany","151","0.0417490594720148","0.0344993202996023","0.0489987986444274","1"
"Low transfer dependency","1985","indirect migration background","West Germany","7","","","","1"
"Low transfer dependency","1985","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1985","no migration background","West Germany","131","0.016717450461683","0.0139039144170569","0.0195309865063091","3"
"Very high transfer dependency","1985","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1985","direct migration background","West Germany","58","0.026253060286718","0.0204578069231607","0.0320483136502753","3"
"Very high transfer dependency","1985","indirect migration background","West Germany","1","","","","3"
"Very high transfer dependency","1985","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1985","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1985","no migration background","West Germany","7575","0.950519779809635","0.945760681390824","0.955278878228445","0"
"Very low transfer dependency","1985","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1985","direct migration background","West Germany","2656","0.910274496136298","0.899915836882488","0.920633155390107","0"
"Very low transfer dependency","1985","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1985","indirect migration background","West Germany","134","0.935157153865035","0.894937328575864","0.975376979154207","0"
"Very low transfer dependency","1985","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1986","no migration background","West Germany","70","0.0106523489795361","0.00834418305539813","0.0129605149036742","2"
"High transfer dependency","1986","no migration background","East Germany","","","","","2"
"High transfer dependency","1986","direct migration background","West Germany","51","0.0132201177008125","0.00901576284984538","0.0174244725517797","2"
"High transfer dependency","1986","direct migration background","East Germany","","","","","2"
"High transfer dependency","1986","indirect migration background","West Germany","1","","","","2"
"High transfer dependency","1986","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1986","no migration background","West Germany","184","0.024518014064068","0.0210408743560081","0.0279951537721278","1"
"Low transfer dependency","1986","no migration background","East Germany","","","","","1"
"Low transfer dependency","1986","direct migration background","West Germany","140","0.0437644297361831","0.0362340887250151","0.0512947707473511","1"
"Low transfer dependency","1986","direct migration background","East Germany","","","","","1"
"Low transfer dependency","1986","indirect migration background","West Germany","5","","","","1"
"Low transfer dependency","1986","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1986","no migration background","West Germany","106","0.0152265056320658","0.0124733030516388","0.0179797082124929","3"
"Very high transfer dependency","1986","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1986","direct migration background","West Germany","63","0.0300177386197292","0.0237365412333452","0.0362989360061132","3"
"Very high transfer dependency","1986","indirect migration background","West Germany","1","","","","3"
"Very high transfer dependency","1986","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1986","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1986","no migration background","West Germany","7239","0.94960313132433","0.94468451763294","0.95452174501572","0"
"Very low transfer dependency","1986","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1986","direct migration background","West Germany","2581","0.912997713943275","0.90262310497587","0.92337232291068","0"
"Very low transfer dependency","1986","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1986","indirect migration background","West Germany","148","0.947066800928819","0.911818627286812","0.982314974570827","0"
"Very low transfer dependency","1986","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1987","no migration background","East Germany","","","","","2"
"High transfer dependency","1987","no migration background","West Germany","60","0.00823028510921702","0.00618189126937367","0.0102786789490604","2"
"High transfer dependency","1987","direct migration background","East Germany","","","","","2"
"High transfer dependency","1987","direct migration background","West Germany","53","0.0155209038170216","0.0109674607624334","0.0200743468716098","2"
"High transfer dependency","1987","indirect migration background","West Germany","","","","","2"
"High transfer dependency","1987","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1987","no migration background","East Germany","","","","","1"
"Low transfer dependency","1987","no migration background","West Germany","214","0.0279312678741381","0.0241953750235637","0.0316671607247126","1"
"Low transfer dependency","1987","direct migration background","East Germany","","","","","1"
"Low transfer dependency","1987","direct migration background","West Germany","118","0.0363499239330874","0.0294556332662325","0.0432442145999424","1"
"Low transfer dependency","1987","indirect migration background","West Germany","10","","","","1"
"Low transfer dependency","1987","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1987","no migration background","West Germany","91","0.0137862081531148","0.0111425301865499","0.0164298861196796","3"
"Very high transfer dependency","1987","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1987","direct migration background","West Germany","52","0.0246311199693693","0.0189215331185322","0.0303407068202064","3"
"Very high transfer dependency","1987","indirect migration background","West Germany","2","","","","3"
"Very high transfer dependency","1987","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1987","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1987","no migration background","West Germany","7108","0.95005223886353","0.945113314721078","0.954991163005982","0"
"Very low transfer dependency","1987","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1987","direct migration background","West Germany","2608","0.923498052280522","0.913706931805001","0.933289172756043","0"
"Very low transfer dependency","1987","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1987","indirect migration background","West Germany","164","0.947400179005945","0.914420181275069","0.98038017673682","0"
"Very low transfer dependency","1987","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1988","no migration background","West Germany","53","0.00732761046062354","0.00534210815921206","0.00931311276203503","2"
"High transfer dependency","1988","no migration background","East Germany","","","","","2"
"High transfer dependency","1988","direct migration background","West Germany","28","","","","2"
"High transfer dependency","1988","direct migration background","East Germany","","","","","2"
"High transfer dependency","1988","indirect migration background","West Germany","4","","","","2"
"High transfer dependency","1988","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1988","no migration background","West Germany","157","0.0229808589710848","0.0194925021555813","0.0264692157865882","1"
"Low transfer dependency","1988","no migration background","East Germany","","","","","1"
"Low transfer dependency","1988","direct migration background","East Germany","","","","","1"
"Low transfer dependency","1988","direct migration background","West Germany","136","0.0426557271936246","0.0349834862857661","0.0503279681014831","1"
"Low transfer dependency","1988","indirect migration background","West Germany","10","","","","1"
"Low transfer dependency","1988","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1988","no migration background","West Germany","91","0.015172213427446","0.012326502018704","0.0180179248361881","3"
"Very high transfer dependency","1988","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1988","direct migration background","West Germany","59","0.0274736962394895","0.0212677400032003","0.0336796524757788","3"
"Very high transfer dependency","1988","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1988","indirect migration background","West Germany","6","","","","3"
"Very high transfer dependency","1988","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1988","no migration background","West Germany","6787","0.954519317140846","0.949668754853364","0.959369879428327","0"
"Very low transfer dependency","1988","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1988","direct migration background","West Germany","2442","0.922541227783136","0.912392124304209","0.932690331262063","0"
"Very low transfer dependency","1988","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1988","indirect migration background","West Germany","202","0.926665803595389","0.892374306902484","0.960957300288293","0"
"Very low transfer dependency","1988","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1989","no migration background","East Germany","","","","","2"
"High transfer dependency","1989","no migration background","West Germany","58","0.0105608279383539","0.00813566849536719","0.0129859873813407","2"
"High transfer dependency","1989","direct migration background","East Germany","","","","","2"
"High transfer dependency","1989","direct migration background","West Germany","42","0.0134311293515391","0.00899620797588428","0.0178660507271939","2"
"High transfer dependency","1989","indirect migration background","West Germany","2","","","","2"
"High transfer dependency","1989","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1989","no migration background","East Germany","","","","","1"
"Low transfer dependency","1989","no migration background","West Germany","149","0.0199077938789987","0.0165938755680937","0.0232217121899037","1"
"Low transfer dependency","1989","direct migration background","East Germany","","","","","1"
"Low transfer dependency","1989","direct migration background","West Germany","129","0.0421878850220776","0.0344432671356793","0.0499325029084759","1"
"Low transfer dependency","1989","indirect migration background","West Germany","12","","","","1"
"Low transfer dependency","1989","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1989","no migration background","West Germany","90","0.0156990881842057","0.012749930992151","0.0186482453762605","3"
"Very high transfer dependency","1989","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1989","indirect migration background","West Germany","4","","","","3"
"Very high transfer dependency","1989","direct migration background","West Germany","54","0.0232941399451445","0.0174828680984719","0.029105411791817","3"
"Very high transfer dependency","1989","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1989","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1989","no migration background","West Germany","6528","0.953832289998442","0.948853750694783","0.9588108293021","0"
"Very low transfer dependency","1989","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1989","direct migration background","West Germany","2363","0.921086845681239","0.910699826186277","0.931473865176201","0"
"Very low transfer dependency","1989","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1989","indirect migration background","West Germany","239","0.920552228426572","0.887488897320302","0.953615559532843","0"
"Very low transfer dependency","1989","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1990","no migration background","West Germany","55","0.00958614281668716","0.00724354235767589","0.0119287432756984","2"
"High transfer dependency","1990","no migration background","East Germany","","","","","2"
"High transfer dependency","1990","direct migration background","East Germany","","","","","2"
"High transfer dependency","1990","direct migration background","West Germany","44","0.0153321692826154","0.0105415446004217","0.020122793964809","2"
"High transfer dependency","1990","indirect migration background","West Germany","","","","","2"
"High transfer dependency","1990","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1990","no migration background","West Germany","135","0.0197548062670084","0.0164092243290702","0.0231003882049466","1"
"Low transfer dependency","1990","no migration background","East Germany","","","","","1"
"Low transfer dependency","1990","direct migration background","West Germany","99","0.033535596700694","0.0265163352275302","0.0405548581738578","1"
"Low transfer dependency","1990","direct migration background","East Germany","","","","","1"
"Low transfer dependency","1990","indirect migration background","West Germany","13","","","","1"
"Low transfer dependency","1990","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1990","no migration background","West Germany","55","0.0101296215046965","0.00772219135141149","0.0125370516579814","3"
"Very high transfer dependency","1990","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1990","direct migration background","West Germany","58","0.0256722859811028","0.0195059061993106","0.0318386657628949","3"
"Very high transfer dependency","1990","indirect migration background","West Germany","4","","","","3"
"Very high transfer dependency","1990","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1990","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1990","no migration background","West Germany","6401","0.960529429411608","0.955848199593744","0.965210659229472","0"
"Very low transfer dependency","1990","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1990","direct migration background","West Germany","2326","0.925459948035588","0.915219495953668","0.935700400117508","0"
"Very low transfer dependency","1990","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1990","indirect migration background","West Germany","275","0.956184014610689","0.932706955344104","0.979661073877274","0"
"Very low transfer dependency","1990","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1991","no migration background","East Germany","","","","","2"
"High transfer dependency","1991","no migration background","West Germany","56","0.00896227096256583","0.00668720694875437","0.0112373349763773","2"
"High transfer dependency","1991","direct migration background","East Germany","","","","","2"
"High transfer dependency","1991","direct migration background","West Germany","33","0.0119660106855898","0.00769606979651096","0.0162359515746687","2"
"High transfer dependency","1991","indirect migration background","West Germany","2","","","","2"
"High transfer dependency","1991","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1991","no migration background","East Germany","","","","","1"
"Low transfer dependency","1991","no migration background","West Germany","146","0.0212218623854941","0.0177427106593938","0.0247010141115944","1"
"Low transfer dependency","1991","direct migration background","West Germany","118","0.0458126005683289","0.0376020829280636","0.0540231182085943","1"
"Low transfer dependency","1991","direct migration background","East Germany","","","","","1"
"Low transfer dependency","1991","indirect migration background","West Germany","16","","","","1"
"Low transfer dependency","1991","indirect migration background","East Germany","","","","","1"
"Very high transfer dependency","1991","no migration background","West Germany","57","0.0114058155420941","0.00884244322883029","0.0139691878553579","3"
"Very high transfer dependency","1991","no migration background","East Germany","","","","","3"
"Very high transfer dependency","1991","indirect migration background","West Germany","10","","","","3"
"Very high transfer dependency","1991","direct migration background","West Germany","44","0.0153878662586983","0.0105541292206512","0.0202216032967454","3"
"Very high transfer dependency","1991","direct migration background","East Germany","","","","","3"
"Very high transfer dependency","1991","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1991","no migration background","West Germany","6333","0.958410051109846","0.953590469208609","0.963229633011083","0"
"Very low transfer dependency","1991","no migration background","East Germany","","","","","0"
"Very low transfer dependency","1991","direct migration background","West Germany","2296","0.926833522487383","0.916607231002651","0.937059813972116","0"
"Very low transfer dependency","1991","direct migration background","East Germany","","","","","0"
"Very low transfer dependency","1991","indirect migration background","West Germany","321","0.921330086548566","0.893084711843375","0.949575461253756","0"
"Very low transfer dependency","1991","indirect migration background","East Germany","","","","","0"
"High transfer dependency","1992","no migration background","West Germany","65","0.0101094762425298","0.00768814943357764","0.012530803051482","2"
"High transfer dependency","1992","no migration background","East Germany","62","0.0159656899398811","0.0119841083595709","0.0199472715201914","2"
"High transfer dependency","1992","direct migration background","East Germany","1","","","","2"
"High transfer dependency","1992","direct migration background","West Germany","36","0.011798705378809","0.00748769113966787","0.0161097196179502","2"
"High transfer dependency","1992","indirect migration background","West Germany","4","","","","2"
"High transfer dependency","1992","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1992","no migration background","West Germany","144","0.0182581474558164","0.0150175692478412","0.0214987256637915","1"
"Low transfer dependency","1992","no migration background","East Germany","353","0.0821771242562037","0.0734532065300325","0.0909010419823749","1"
"Low transfer dependency","1992","direct migration background","East Germany","10","","","","1"
"Low transfer dependency","1992","direct migration background","West Germany","111","0.0309351003452783","0.0240224949503627","0.0378477057401939","1"
"Low transfer dependency","1992","indirect migration background","West Germany","22","","","","1"
"Low transfer dependency","1992","indirect migration background","East Germany","2","","","","1"
"Very high transfer dependency","1992","no migration background","West Germany","62","0.0127880632975148","0.0100684754818811","0.0155076511131485","3"
"Very high transfer dependency","1992","no migration background","East Germany","28","","","","3"
"Very high transfer dependency","1992","direct migration background","West Germany","53","0.0196249859427378","0.0140871464511961","0.0251628254342795","3"
"Very high transfer dependency","1992","indirect migration background","West Germany","12","","","","3"
"Very high transfer dependency","1992","direct migration background","East Germany","3","","","","3"
"Very high transfer dependency","1992","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1992","no migration background","West Germany","6286","0.958844313004139","0.954036091401279","0.963652534606999","0"
"Very low transfer dependency","1992","no migration background","East Germany","3364","0.892161864144026","0.88230895073383","0.902014777554222","0"
"Very low transfer dependency","1992","direct migration background","West Germany","2210","0.937641208333175","0.92798722025244","0.947295196413909","0"
"Very low transfer dependency","1992","direct migration background","East Germany","132","0.898057990065011","0.848978453894052","0.94713752623597","0"
"Very low transfer dependency","1992","indirect migration background","West Germany","359","0.917522504804777","0.890462433797264","0.94458257581229","0"
"Very low transfer dependency","1992","indirect migration background","East Germany","8","","","","0"
"High transfer dependency","1993","no migration background","East Germany","96","0.0305910185942586","0.0250058897661318","0.0361761474223853","2"
"High transfer dependency","1993","no migration background","West Germany","55","0.0085567417753495","0.00631761049149571","0.0107958730592033","2"
"High transfer dependency","1993","direct migration background","East Germany","3","","","","2"
"High transfer dependency","1993","direct migration background","West Germany","47","0.0145569322515772","0.009704149357686","0.0194097151454684","2"
"High transfer dependency","1993","indirect migration background","West Germany","11","","","","2"
"High transfer dependency","1993","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1993","no migration background","East Germany","488","0.111599492753861","0.101387318520791","0.121811666986932","1"
"Low transfer dependency","1993","no migration background","West Germany","156","0.0218593452487938","0.0183045823202496","0.0254141081773381","1"
"Low transfer dependency","1993","direct migration background","West Germany","109","0.0330631520013061","0.0258186031636374","0.0403077008389748","1"
"Low transfer dependency","1993","direct migration background","East Germany","10","","","","1"
"Low transfer dependency","1993","indirect migration background","West Germany","19","","","","1"
"Low transfer dependency","1993","indirect migration background","East Germany","2","","","","1"
"Very high transfer dependency","1993","no migration background","West Germany","68","0.0122141504851979","0.00954388497632987","0.0148844159940659","3"
"Very high transfer dependency","1993","no migration background","East Germany","77","0.0240020878386533","0.0190380891135284","0.0289660865637781","3"
"Very high transfer dependency","1993","direct migration background","West Germany","48","0.0190314933767381","0.0134953907950854","0.0245675959583909","3"
"Very high transfer dependency","1993","direct migration background","East Germany","3","","","","3"
"Very high transfer dependency","1993","indirect migration background","West Germany","8","","","","3"
"Very high transfer dependency","1993","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1993","no migration background","West Germany","6221","0.957369762490659","0.952458533973144","0.962280991008173","0"
"Very low transfer dependency","1993","no migration background","East Germany","2991","0.833807400813227","0.821734227935425","0.845880573691028","0"
"Very low transfer dependency","1993","direct migration background","West Germany","2136","0.933348422370379","0.923242701976878","0.94345414276388","0"
"Very low transfer dependency","1993","direct migration background","East Germany","119","0.885300291157612","0.831546677197179","0.939053905118045","0"
"Very low transfer dependency","1993","indirect migration background","West Germany","419","0.936104194318777","0.913681475965166","0.958526912672388","0"
"Very low transfer dependency","1993","indirect migration background","East Germany","11","","","","0"
"High transfer dependency","1994","no migration background","West Germany","56","0.00887235459149547","0.00658011178564546","0.0111645973973455","2"
"High transfer dependency","1994","no migration background","East Germany","116","0.0362894813986834","0.0301652868185935","0.0424136759787733","2"
"High transfer dependency","1994","direct migration background","East Germany","6","","","","2"
"High transfer dependency","1994","direct migration background","West Germany","44","0.0173632378141621","0.0119345788408952","0.022791896787429","2"
"High transfer dependency","1994","indirect migration background","West Germany","5","","","","2"
"High transfer dependency","1994","indirect migration background","East Germany","2","","","","2"
"Low transfer dependency","1994","no migration background","West Germany","172","0.0231980449642054","0.0195184049650875","0.0268776849633233","1"
"Low transfer dependency","1994","no migration background","East Germany","419","0.0983890280074696","0.0886353541540582","0.108142701860881","1"
"Low transfer dependency","1994","direct migration background","East Germany","11","","","","1"
"Low transfer dependency","1994","direct migration background","West Germany","139","0.0503096594696589","0.041225235410546","0.0593940835287717","1"
"Low transfer dependency","1994","indirect migration background","West Germany","33","0.0405259293688916","0.0228485755079606","0.0582032832298226","1"
"Low transfer dependency","1994","indirect migration background","East Germany","3","","","","1"
"Very high transfer dependency","1994","no migration background","East Germany","91","0.0319094279964164","0.0261536662938325","0.0376651896990002","3"
"Very high transfer dependency","1994","no migration background","West Germany","76","0.0158589132354528","0.0128051049334751","0.0189127215374304","3"
"Very high transfer dependency","1994","direct migration background","West Germany","61","0.0268641202445856","0.0201443603782809","0.0335838801108903","3"
"Very high transfer dependency","1994","direct migration background","East Germany","2","","","","3"
"Very high transfer dependency","1994","indirect migration background","West Germany","6","","","","3"
"Very high transfer dependency","1994","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1994","no migration background","West Germany","6125","0.952070687208846","0.946848991304218","0.957292383113475","0"
"Very low transfer dependency","1994","no migration background","East Germany","2956","0.833412062597431","0.821209895532571","0.845614229662291","0"
"Very low transfer dependency","1994","direct migration background","West Germany","1980","0.905462982471594","0.893303446606082","0.917622518337105","0"
"Very low transfer dependency","1994","direct migration background","East Germany","123","0.845795418669154","0.786395586034282","0.905195251304027","0"
"Very low transfer dependency","1994","indirect migration background","West Germany","434","0.932190485075317","0.909651632939367","0.954729337211266","0"
"Very low transfer dependency","1994","indirect migration background","East Germany","11","","","","0"
"High transfer dependency","1995","no migration background","East Germany","83","0.0229519699088002","0.0180049381443886","0.0278990016732119","2"
"High transfer dependency","1995","no migration background","West Germany","74","0.011638597185486","0.00902379270578538","0.0142534016651866","2"
"High transfer dependency","1995","direct migration background","East Germany","5","","","","2"
"High transfer dependency","1995","direct migration background","West Germany","72","0.0256341568432473","0.0196146675705984","0.0316536461158961","2"
"High transfer dependency","1995","indirect migration background","West Germany","11","","","","2"
"High transfer dependency","1995","indirect migration background","East Germany","3","","","","2"
"Low transfer dependency","1995","no migration background","East Germany","358","0.0884363912254043","0.0790567601906048","0.0978160222602038","1"
"Low transfer dependency","1995","no migration background","West Germany","192","0.0266087422130716","0.0226851225093569","0.0305323619167863","1"
"Low transfer dependency","1995","direct migration background","East Germany","8","","","","1"
"Low transfer dependency","1995","direct migration background","West Germany","176","0.0524725112389084","0.0439797105058327","0.060965311971984","1"
"Low transfer dependency","1995","indirect migration background","West Germany","30","0.0399747669479252","0.0226646566992108","0.0572848771966396","1"
"Low transfer dependency","1995","indirect migration background","East Germany","3","","","","1"
"Very high transfer dependency","1995","no migration background","West Germany","103","0.0177764204148012","0.0145549188447025","0.0209979219848998","3"
"Very high transfer dependency","1995","no migration background","East Germany","96","0.0339572605975841","0.0279739540572448","0.0399405671379235","3"
"Very high transfer dependency","1995","direct migration background","West Germany","127","0.0651447461421974","0.0557453276716542","0.0745441646127407","3"
"Very high transfer dependency","1995","direct migration background","East Germany","2","","","","3"
"Very high transfer dependency","1995","indirect migration background","West Germany","7","","","","3"
"Very high transfer dependency","1995","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1995","no migration background","West Germany","6094","0.943976240186641","0.938369664744379","0.949582815628904","0"
"Very low transfer dependency","1995","no migration background","East Germany","2983","0.854654378268211","0.843011161121031","0.866297595415392","0"
"Very low transfer dependency","1995","direct migration background","East Germany","127","0.86750954578277","0.811748187455297","0.923270904110243","0"
"Very low transfer dependency","1995","direct migration background","West Germany","2273","0.856748585775647","0.84340522410115","0.870091947450144","0"
"Very low transfer dependency","1995","indirect migration background","East Germany","10","","","","0"
"Very low transfer dependency","1995","indirect migration background","West Germany","444","0.930863071361964","0.908446794515303","0.953279348208625","0"
"High transfer dependency","1996","no migration background","East Germany","140","0.0396306141592263","0.0331599996305435","0.0461012286879091","2"
"High transfer dependency","1996","no migration background","West Germany","81","0.0140428900559599","0.0111589576571519","0.0169268224547679","2"
"High transfer dependency","1996","direct migration background","East Germany","4","","","","2"
"High transfer dependency","1996","direct migration background","West Germany","69","0.0238464636125034","0.0178124683160485","0.0298804589089583","2"
"High transfer dependency","1996","indirect migration background","West Germany","12","","","","2"
"High transfer dependency","1996","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1996","no migration background","East Germany","426","0.121239144469154","0.1104131511052","0.132065137833108","1"
"Low transfer dependency","1996","no migration background","West Germany","195","0.0285446723824434","0.0244633418778414","0.0326260028870455","1"
"Low transfer dependency","1996","direct migration background","East Germany","14","","","","1"
"Low transfer dependency","1996","direct migration background","West Germany","165","0.0491153055834728","0.0405684520116879","0.0576621591552577","1"
"Low transfer dependency","1996","indirect migration background","West Germany","30","0.0364763124686854","0.0203785360565497","0.0525740888808211","1"
"Low transfer dependency","1996","indirect migration background","East Germany","6","","","","1"
"Very high transfer dependency","1996","no migration background","West Germany","100","0.0160066049459545","0.0129306956723991","0.0190825142195099","3"
"Very high transfer dependency","1996","no migration background","East Germany","95","0.0301085310713023","0.0244406943966479","0.0357763677459566","3"
"Very high transfer dependency","1996","direct migration background","West Germany","112","0.0592064455232975","0.049872493357995","0.0685403976886001","3"
"Very high transfer dependency","1996","direct migration background","East Germany","8","","","","3"
"Very high transfer dependency","1996","indirect migration background","West Germany","17","","","","3"
"Very high transfer dependency","1996","indirect migration background","East Germany","","","","","3"
"Very low transfer dependency","1996","no migration background","West Germany","6019","0.941405832615642","0.935649532181485","0.947162133049799","0"
"Very low transfer dependency","1996","no migration background","East Germany","2831","0.809021710300317","0.795984548320332","0.822058872280303","0"
"Very low transfer dependency","1996","direct migration background","West Germany","2110","0.867831785280726","0.854437634056418","0.881225936505034","0"
"Very low transfer dependency","1996","direct migration background","East Germany","115","0.816228200882359","0.752301283024751","0.880155118739968","0"
"Very low transfer dependency","1996","indirect migration background","West Germany","462","0.921911797770324","0.898872638451618","0.944950957089029","0"
"Very low transfer dependency","1996","indirect migration background","East Germany","14","","","","0"
"High transfer dependency","1997","no migration background","West Germany","91","0.0161412386085396","0.013032883632027","0.0192495935850521","2"
"High transfer dependency","1997","no migration background","East Germany","148","0.0465545559958791","0.0395161927551681","0.05359291923659","2"
"High transfer dependency","1997","direct migration background","West Germany","65","0.026453449727831","0.019954036283748","0.0329528631719139","2"
"High transfer dependency","1997","direct migration background","East Germany","5","","","","2"
"High transfer dependency","1997","indirect migration background","West Germany","11","","","","2"
"High transfer dependency","1997","indirect migration background","East Germany","","","","","2"
"Low transfer dependency","1997","no migration background","West Germany","232","0.0360883626693186","0.0314879371563167","0.0406887881823205","1"
"Low transfer dependency","1997","no migration background","East Germany","453","0.129132389640848","0.117929338430993","0.140335440850703","1"
"Low transfer dependency","1997","direct migration background","East Germany","15","","","","1"
"Low transfer dependency","1997","direct migration background","West Germany","231","0.0807022156987513","0.0696709465329789","0.0917334848645237","1"
"Low transfer dependency","1997","indirect migration background","West Germany","56","0.0881150396918499","0.0644252179206878","0.111804861463012","1"
"Low transfer dependency","1997","indirect migration background","East Germany","4","","","","1"
"Very high transfer dependency","1997","no migration background","West Germany","119","0.0230453024886544","0.0193442587169828","0.026746346260326","3"
"Very high transfer dependency","1997","no migration background","East Germany","102","0.0346595568833319","0.0285488083563985","0.0407703054102652","3"
