"transab_cat2","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1987","(1c) basic vocational qualification","3417","0.951463653435719","0.944427191709905","0.958500115161532"
"Very low transfer dependency","1987","(2b) intermediate general qualification","409","0.952151892818035","0.932047561096007","0.972256224540064"
"Very low transfer dependency","1987","(2a) intermediate vocational","1288","0.971640453534717","0.962719224171356","0.980561682898078"
"Very low transfer dependency","1987","(2c_gen) general maturity certificate","346","0.912771717302285","0.884401279265761","0.941142155338808"
"Very low transfer dependency","1987","(2c_voc) vocational maturity certificate","382","0.946179723103448","0.924202118200409","0.968157328006486"
"Very low transfer dependency","1987","(3a) lower tertiary education","240","0.962859972498598","0.939324391296318","0.986395553700879"
"Very low transfer dependency","1987","(3b) higher tertiary education","478","0.957300837879281","0.939490203535564","0.975111472222998"
"Low transfer dependency","1987","(0) in school","8","","",""
"Low transfer dependency","1987","(1a) inadequately completed","38","0.0424736561961005","0.0286621408776878","0.0562851715145131"
"Low transfer dependency","1987","(1b) general elementary school","107","0.0386794337233939","0.0310360998669377","0.04632276757985"
"Low transfer dependency","1987","(1c) basic vocational qualification","98","0.0269899240452272","0.0216837170608346","0.0322961310296198"
"Low transfer dependency","1987","(2b) intermediate general qualification","12","","",""
"Low transfer dependency","1987","(2a) intermediate vocational","26","","",""
"Low transfer dependency","1987","(2c_gen) general maturity certificate","15","","",""
"Low transfer dependency","1987","(2c_voc) vocational maturity certificate","11","","",""
"Low transfer dependency","1987","(3a) lower tertiary education","4","","",""
"Low transfer dependency","1987","(3b) higher tertiary education","12","","",""
"High transfer dependency","1987","(0) in school","3","","",""
"High transfer dependency","1987","(1a) inadequately completed","21","","",""
"High transfer dependency","1987","(1b) general elementary school","27","","",""
"High transfer dependency","1987","(1c) basic vocational qualification","29","","",""
"High transfer dependency","1987","(2b) intermediate general qualification","4","","",""
"High transfer dependency","1987","(2a) intermediate vocational","9","","",""
"High transfer dependency","1987","(2c_gen) general maturity certificate","7","","",""
"High transfer dependency","1987","(2c_voc) vocational maturity certificate","8","","",""
"High transfer dependency","1987","(3a) lower tertiary education","2","","",""
"High transfer dependency","1987","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1987","(0) in school","1","","",""
"Very high transfer dependency","1987","(1a) inadequately completed","22","","",""
"Very high transfer dependency","1987","(1b) general elementary school","42","0.0187672855620505","0.0133883616618772","0.0241462094622238"
"Very high transfer dependency","1987","(1c) basic vocational qualification","39","0.0131949332616263","0.0094586140649142","0.0169312524583383"
"Very high transfer dependency","1987","(2b) intermediate general qualification","8","","",""
"Very high transfer dependency","1987","(2a) intermediate vocational","7","","",""
"Very high transfer dependency","1987","(2c_gen) general maturity certificate","12","","",""
"Very high transfer dependency","1987","(2c_voc) vocational maturity certificate","4","","",""
"Very high transfer dependency","1987","(3a) lower tertiary education","2","","",""
"Very high transfer dependency","1987","(3b) higher tertiary education","5","","",""
"Very low transfer dependency","1988","(0) in school","151","0.920078122637849","0.87844878706009","0.961707458215608"
"Very low transfer dependency","1988","(1a) inadequately completed","662","0.8477042298871","0.821955050796217","0.873453408977983"
"Very low transfer dependency","1988","(1b) general elementary school","2153","0.9302407998188","0.919897274816838","0.940584324820762"
"Very low transfer dependency","1988","(1c) basic vocational qualification","3283","0.955753774581913","0.948861760395653","0.962645788768173"
"Very low transfer dependency","1988","(2b) intermediate general qualification","402","0.935185889170714","0.911806829049339","0.958564949292089"
"Very low transfer dependency","1988","(2a) intermediate vocational","1242","0.977872155491307","0.969794711180465","0.98594959980215"
"Very low transfer dependency","1988","(2c_gen) general maturity certificate","314","0.917204249685879","0.888251119623198","0.946157379748559"
"Very low transfer dependency","1988","(2c_voc) vocational maturity certificate","373","0.96896765400936","0.951757778383857","0.986177529634864"
"Very low transfer dependency","1988","(3a) lower tertiary education","228","0.97959297502688","0.961438537013798","0.997747413039962"
"Very low transfer dependency","1988","(3b) higher tertiary education","460","0.983019795557588","0.971314624799585","0.994724966315591"
"Low transfer dependency","1988","(0) in school","8","","",""
"Low transfer dependency","1988","(1a) inadequately completed","56","0.0912130239822739","0.0705802905929297","0.111845757371618"
"Low transfer dependency","1988","(1b) general elementary school","84","0.0277783767847925","0.0211056060927755","0.0344511474768096"
"Low transfer dependency","1988","(1c) basic vocational qualification","74","0.0218449082549862","0.016945834130439","0.0267439823795334"
"Low transfer dependency","1988","(2b) intermediate general qualification","14","","",""
"Low transfer dependency","1988","(2a) intermediate vocational","20","","",""
"Low transfer dependency","1988","(2c_gen) general maturity certificate","21","","",""
"Low transfer dependency","1988","(2c_voc) vocational maturity certificate","10","","",""
"Low transfer dependency","1988","(3a) lower tertiary education","4","","",""
"Low transfer dependency","1988","(3b) higher tertiary education","6","","",""
"High transfer dependency","1988","(0) in school","1","","",""
"High transfer dependency","1988","(1a) inadequately completed","7","","",""
"High transfer dependency","1988","(1b) general elementary school","28","","",""
"High transfer dependency","1988","(1c) basic vocational qualification","27","","",""
"High transfer dependency","1988","(2b) intermediate general qualification","6","","",""
"High transfer dependency","1988","(2a) intermediate vocational","4","","",""
"High transfer dependency","1988","(2c_gen) general maturity certificate","6","","",""
"High transfer dependency","1988","(2c_voc) vocational maturity certificate","4","","",""
"High transfer dependency","1988","(3a) lower tertiary education","","","",""
"High transfer dependency","1988","(3b) higher tertiary education","2","","",""
"Very high transfer dependency","1988","(0) in school","3","","",""
"Very high transfer dependency","1988","(1a) inadequately completed","23","","",""
"Very high transfer dependency","1988","(1b) general elementary school","65","0.0320290064042663","0.0248795497850638","0.0391784630234688"
"Very high transfer dependency","1988","(1c) basic vocational qualification","36","0.0139479971687999","0.010017559864946","0.0178784344726538"
"Very high transfer dependency","1988","(2b) intermediate general qualification","4","","",""
"Very high transfer dependency","1988","(2a) intermediate vocational","8","","",""
"Very high transfer dependency","1988","(2c_gen) general maturity certificate","7","","",""
"Very high transfer dependency","1988","(2c_voc) vocational maturity certificate","3","","",""
"Very high transfer dependency","1988","(3a) lower tertiary education","1","","",""
"Very high transfer dependency","1988","(3b) higher tertiary education","","","",""
"Very low transfer dependency","1989","(0) in school","160","0.901783281509687","0.857689954792159","0.945876608227214"
"Very low transfer dependency","1989","(1a) inadequately completed","633","0.850563793881331","0.824413272763133","0.876714314999528"
"Very low transfer dependency","1989","(1b) general elementary school","2030","0.932089991378616","0.921595911355642","0.94258407140159"
"Very low transfer dependency","1989","(1c) basic vocational qualification","3149","0.955192939715378","0.948123761675512","0.962262117755243"
"Very low transfer dependency","1989","(2b) intermediate general qualification","376","0.946049286592332","0.923713189280321","0.968385383904344"
"Very low transfer dependency","1989","(2a) intermediate vocational","1233","0.978231921552108","0.970174542767694","0.986289300336523"
"Very low transfer dependency","1989","(2c_gen) general maturity certificate","318","0.90658922670374","0.876145466433779","0.937032986973701"
"Very low transfer dependency","1989","(2c_voc) vocational maturity certificate","380","0.948927891885489","0.927461161247809","0.97039462252317"
"Very low transfer dependency","1989","(3a) lower tertiary education","229","0.978851102831264","0.960376619115903","0.997325586546624"
"Very low transfer dependency","1989","(3b) higher tertiary education","458","0.979982834233482","0.967266390916499","0.992699277550465"
"Low transfer dependency","1989","(0) in school","10","","",""
"Low transfer dependency","1989","(1a) inadequately completed","45","0.0662975505827794","0.0480480083219943","0.0845470928435645"
"Low transfer dependency","1989","(1b) general elementary school","91","0.0301896095497912","0.0230525269832588","0.0373266921163236"
"Low transfer dependency","1989","(1c) basic vocational qualification","76","0.0191389921587412","0.0144571862060488","0.0238207981114335"
"Low transfer dependency","1989","(2b) intermediate general qualification","4","","",""
"Low transfer dependency","1989","(2a) intermediate vocational","16","","",""
"Low transfer dependency","1989","(2c_gen) general maturity certificate","17","","",""
"Low transfer dependency","1989","(2c_voc) vocational maturity certificate","16","","",""
"Low transfer dependency","1989","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1989","(3b) higher tertiary education","7","","",""
"High transfer dependency","1989","(0) in school","3","","",""
"High transfer dependency","1989","(1a) inadequately completed","14","","",""
"High transfer dependency","1989","(1b) general elementary school","29","","",""
"High transfer dependency","1989","(1c) basic vocational qualification","25","","",""
"High transfer dependency","1989","(2b) intermediate general qualification","8","","",""
"High transfer dependency","1989","(2a) intermediate vocational","4","","",""
"High transfer dependency","1989","(2c_gen) general maturity certificate","10","","",""
"High transfer dependency","1989","(2c_voc) vocational maturity certificate","6","","",""
"High transfer dependency","1989","(3a) lower tertiary education","","","",""
"High transfer dependency","1989","(3b) higher tertiary education","","","",""
"Very high transfer dependency","1989","(0) in school","2","","",""
"Very high transfer dependency","1989","(1a) inadequately completed","22","","",""
"Very high transfer dependency","1989","(1b) general elementary school","58","0.0284863430165591","0.021547431311947","0.0354252547211711"
"Very high transfer dependency","1989","(1c) basic vocational qualification","40","0.0161068868345338","0.0118052879971706","0.0204084856718969"
"Very high transfer dependency","1989","(2b) intermediate general qualification","5","","",""
"Very high transfer dependency","1989","(2a) intermediate vocational","7","","",""
"Very high transfer dependency","1989","(2c_gen) general maturity certificate","6","","",""
"Very high transfer dependency","1989","(2c_voc) vocational maturity certificate","2","","",""
"Very high transfer dependency","1989","(3a) lower tertiary education","1","","",""
"Very high transfer dependency","1989","(3b) higher tertiary education","1","","",""
"Very low transfer dependency","1990","(0) in school","151","0.910133878368404","0.865957939032717","0.95430981770409"
"Very low transfer dependency","1990","(1a) inadequately completed","615","0.880769655725049","0.856395040156541","0.905144271293557"
"Very low transfer dependency","1990","(1b) general elementary school","1980","0.9356350236136","0.92522802470152","0.946042022525679"
"Very low transfer dependency","1990","(1c) basic vocational qualification","3098","0.960732705737423","0.954021943572383","0.967443467902462"
"Very low transfer dependency","1990","(2b) intermediate general qualification","340","0.938951016756324","0.914184692616108","0.963717340896539"
"Very low transfer dependency","1990","(2a) intermediate vocational","1240","0.981800430110277","0.974442923931786","0.989157936288769"
"Very low transfer dependency","1990","(2c_gen) general maturity certificate","320","0.959323110990218","0.938263707786339","0.980382514194097"
"Very low transfer dependency","1990","(2c_voc) vocational maturity certificate","385","0.938695605340878","0.915503756238939","0.961887454442817"
"Very low transfer dependency","1990","(3a) lower tertiary education","235","0.995338801901489","0.986685260811799","1.00399234299118"
"Very low transfer dependency","1990","(3b) higher tertiary education","457","0.987730599095817","0.977692348437893","0.997768849753741"
"Low transfer dependency","1990","(0) in school","4","","",""
"Low transfer dependency","1990","(1a) inadequately completed","28","","",""
"Low transfer dependency","1990","(1b) general elementary school","83","0.0293239735565834","0.0221691977750149","0.0364787493381519"
"Low transfer dependency","1990","(1c) basic vocational qualification","65","0.0199608102514452","0.0151283768714723","0.024793243631418"
"Low transfer dependency","1990","(2b) intermediate general qualification","8","","",""
"Low transfer dependency","1990","(2a) intermediate vocational","17","","",""
"Low transfer dependency","1990","(2c_gen) general maturity certificate","9","","",""
"Low transfer dependency","1990","(2c_voc) vocational maturity certificate","15","","",""
"Low transfer dependency","1990","(3a) lower tertiary education","3","","",""
"Low transfer dependency","1990","(3b) higher tertiary education","3","","",""
"High transfer dependency","1990","(0) in school","3","","",""
"High transfer dependency","1990","(1a) inadequately completed","16","","",""
"High transfer dependency","1990","(1b) general elementary school","37","0.0198342194850875","0.0139212615089991","0.025747177461176"
"High transfer dependency","1990","(1c) basic vocational qualification","26","","",""
"High transfer dependency","1990","(2b) intermediate general qualification","7","","",""
"High transfer dependency","1990","(2a) intermediate vocational","1","","",""
"High transfer dependency","1990","(2c_gen) general maturity certificate","4","","",""
"High transfer dependency","1990","(2c_voc) vocational maturity certificate","4","","",""
"High transfer dependency","1990","(3a) lower tertiary education","","","",""
"High transfer dependency","1990","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1990","(0) in school","3","","",""
"Very high transfer dependency","1990","(1a) inadequately completed","20","","",""
"Very high transfer dependency","1990","(1b) general elementary school","36","0.0152067833447295","0.0100171261613806","0.0203964405280784"
"Very high transfer dependency","1990","(1c) basic vocational qualification","29","","",""
"Very high transfer dependency","1990","(2b) intermediate general qualification","4","","",""
"Very high transfer dependency","1990","(2a) intermediate vocational","10","","",""
"Very high transfer dependency","1990","(2c_gen) general maturity certificate","5","","",""
"Very high transfer dependency","1990","(2c_voc) vocational maturity certificate","7","","",""
"Very high transfer dependency","1990","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1990","(3b) higher tertiary education","1","","",""
"Very low transfer dependency","1991","(0) in school","144","0.928826348498519","0.888085575699452","0.969567121297587"
"Very low transfer dependency","1991","(1a) inadequately completed","609","0.878259601470039","0.853592108258888","0.90292709468119"
"Very low transfer dependency","1991","(1b) general elementary school","1923","0.930750656895672","0.919811285918661","0.941690027872682"
"Very low transfer dependency","1991","(1c) basic vocational qualification","3079","0.960244584951934","0.953474997839978","0.967014172063889"
"Very low transfer dependency","1991","(2b) intermediate general qualification","342","0.935919556788117","0.910795852478659","0.961043261097576"
"Very low transfer dependency","1991","(2a) intermediate vocational","1244","0.978942878593585","0.971055874514277","0.986829882672894"
"Very low transfer dependency","1991","(2c_gen) general maturity certificate","313","0.950920969356845","0.927924114599255","0.973917824114435"
"Very low transfer dependency","1991","(2c_voc) vocational maturity certificate","397","0.946519491421948","0.925204323830714","0.967834659013182"
"Very low transfer dependency","1991","(3a) lower tertiary education","250","0.993548857752167","0.983664220322745","1.00343349518159"
"Very low transfer dependency","1991","(3b) higher tertiary education","459","0.976716604660021","0.963068601596142","0.9903646077239"
"Low transfer dependency","1991","(0) in school","8","","",""
"Low transfer dependency","1991","(1a) inadequately completed","44","0.070624301263532","0.0512971011734323","0.0899515013536316"
"Low transfer dependency","1991","(1b) general elementary school","72","0.0302304342926116","0.0228526778485476","0.0376081907366756"
"Low transfer dependency","1991","(1c) basic vocational qualification","72","0.0222784261303705","0.0171648708616604","0.0273919813990807"
"Low transfer dependency","1991","(2b) intermediate general qualification","11","","",""
"Low transfer dependency","1991","(2a) intermediate vocational","18","","",""
"Low transfer dependency","1991","(2c_gen) general maturity certificate","14","","",""
"Low transfer dependency","1991","(2c_voc) vocational maturity certificate","22","","",""
"Low transfer dependency","1991","(3a) lower tertiary education","2","","",""
"Low transfer dependency","1991","(3b) higher tertiary education","6","","",""
"High transfer dependency","1991","(0) in school","","","",""
"High transfer dependency","1991","(1a) inadequately completed","7","","",""
"High transfer dependency","1991","(1b) general elementary school","37","0.0216888747195684","0.0154122689465444","0.0279654804925924"
"High transfer dependency","1991","(1c) basic vocational qualification","21","","",""
"High transfer dependency","1991","(2b) intermediate general qualification","5","","",""
"High transfer dependency","1991","(2a) intermediate vocational","7","","",""
"High transfer dependency","1991","(2c_gen) general maturity certificate","6","","",""
"High transfer dependency","1991","(2c_voc) vocational maturity certificate","4","","",""
"High transfer dependency","1991","(3a) lower tertiary education","","","",""
"High transfer dependency","1991","(3b) higher tertiary education","1","","",""
"Very high transfer dependency","1991","(0) in school","1","","",""
"Very high transfer dependency","1991","(1a) inadequately completed","15","","",""
"Very high transfer dependency","1991","(1b) general elementary school","37","0.0173300340921482","0.0117069912100223","0.0229530769742742"
"Very high transfer dependency","1991","(1c) basic vocational qualification","28","","",""
"Very high transfer dependency","1991","(2b) intermediate general qualification","7","","",""
"Very high transfer dependency","1991","(2a) intermediate vocational","4","","",""
"Very high transfer dependency","1991","(2c_gen) general maturity certificate","6","","",""
"Very high transfer dependency","1991","(2c_voc) vocational maturity certificate","5","","",""
"Very high transfer dependency","1991","(3a) lower tertiary education","","","",""
"Very high transfer dependency","1991","(3b) higher tertiary education","3","","",""
"Very low transfer dependency","1992","(0) in school","135","0.950424853028244","0.915335099234906","0.985514606821581"
"Very low transfer dependency","1992","(1a) inadequately completed","644","0.89743920612397","0.875324959505266","0.919553452742674"
"Very low transfer dependency","1992","(1b) general elementary school","2115","0.938602614875917","0.928748979558491","0.948456250193343"
"Very low transfer dependency","1992","(1c) basic vocational qualification","4051","0.954247405818749","0.947990469775369","0.96050434186213"
"Very low transfer dependency","1992","(2b) intermediate general qualification","493","0.921099565968738","0.898403978295978","0.943795153641497"
"Very low transfer dependency","1992","(2a) intermediate vocational","2348","0.936170769942683","0.926697821746075","0.945643718139291"
"Very low transfer dependency","1992","(2c_gen) general maturity certificate","343","0.936542310825553","0.911966490741725","0.961118130909382"
"Very low transfer dependency","1992","(2c_voc) vocational maturity certificate","467","0.930338654759726","0.908478879594554","0.952198429924898"
"Very low transfer dependency","1992","(3a) lower tertiary education","795","0.941662250246071","0.926024829916096","0.957299670576046"
"Very low transfer dependency","1992","(3b) higher tertiary education","743","0.962282762494476","0.948938686659924","0.975626838329028"
"Low transfer dependency","1992","(0) in school","6","","",""
"Low transfer dependency","1992","(1a) inadequately completed","50","0.0563979384808223","0.0395826238567715","0.0732132531048732"
"Low transfer dependency","1992","(1b) general elementary school","83","0.0274442147412749","0.0207382180817733","0.0341502114007766"
"Low transfer dependency","1992","(1c) basic vocational qualification","153","0.023419474228978","0.0188908533950155","0.0279480950629405"
"Low transfer dependency","1992","(2b) intermediate general qualification","34","0.0472604062021065","0.0293961771006455","0.0651246353035675"
"Low transfer dependency","1992","(2a) intermediate vocational","173","0.0465749306147246","0.0384087832513046","0.0547410779781445"
"Low transfer dependency","1992","(2c_gen) general maturity certificate","21","","",""
"Low transfer dependency","1992","(2c_voc) vocational maturity certificate","31","0.0356863543832866","0.0197573189804635","0.0516153897861097"
"Low transfer dependency","1992","(3a) lower tertiary education","50","0.038794995504835","0.0259113561970989","0.0516786348125711"
"Low transfer dependency","1992","(3b) higher tertiary education","31","0.0248709243760105","0.0139629470501646","0.0357789017018564"
"High transfer dependency","1992","(0) in school","1","","",""
"High transfer dependency","1992","(1a) inadequately completed","11","","",""
