"transab_cat2","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1987","66 and older","East Germany","","","","","2"
"Low transfer dependency","1987","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1987","16-34 y.","West Germany","170","0.0388420440278655","0.0328728792272118","0.0448112088285192","1"
"Low transfer dependency","1987","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1987","35-65 y.","West Germany","158","0.0273030028533711","0.0229447290616204","0.0316612766451217","1"
"Low transfer dependency","1987","66 and older","West Germany","14","","","","1"
"Low transfer dependency","1987","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1987","16-34 y.","West Germany","68","0.020025213485419","0.0156974733310272","0.0243529536398107","3"
"Very high transfer dependency","1987","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1987","35-65 y.","West Germany","75","0.016057170293493","0.0126956173621184","0.0194187232248677","3"
"Very high transfer dependency","1987","66 and older","West Germany","2","","","","3"
"Very high transfer dependency","1987","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1987","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1987","16-34 y.","West Germany","3739","0.929800695886858","0.921907979713563","0.937693412060154","0"
"Very low transfer dependency","1987","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1987","35-65 y.","West Germany","5077","0.94685554880325","0.940856376405095","0.952854721201405","0"
"Very low transfer dependency","1987","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1987","66 and older","West Germany","1064","0.979716757520034","0.971325009989625","0.988108505050443","0"
"Very low transfer dependency","1987","66 and older","East Germany","","","","","0"
"High transfer dependency","1988","16-34 y.","West Germany","39","0.00973777378822","0.00662619676779042","0.0128493508086496","2"
"High transfer dependency","1988","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1988","35-65 y.","West Germany","41","0.00743014820730307","0.00507185446319285","0.00978844195141329","2"
"High transfer dependency","1988","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1988","66 and older","West Germany","5","","","","2"
"High transfer dependency","1988","66 and older","East Germany","","","","","2"
"Low transfer dependency","1988","16-34 y.","West Germany","141","0.0335899549798618","0.0278809419163794","0.0392989680433442","1"
"Low transfer dependency","1988","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1988","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1988","35-65 y.","West Germany","157","0.026429565504014","0.0220245512221937","0.0308345797858343","1"
"Low transfer dependency","1988","66 and older","West Germany","5","","","","1"
"Low transfer dependency","1988","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1988","16-34 y.","West Germany","66","0.0177493733600788","0.0135655024340793","0.0219332442860783","3"
"Very high transfer dependency","1988","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1988","35-65 y.","West Germany","86","0.0205979396619907","0.0166975228638954","0.024498356460086","3"
"Very high transfer dependency","1988","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1988","66 and older","West Germany","4","","","","3"
"Very high transfer dependency","1988","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1988","16-34 y.","West Germany","3580","0.938922897871839","0.931334854840825","0.946510940902854","0"
"Very low transfer dependency","1988","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1988","35-65 y.","West Germany","4810","0.945542346626692","0.939310904381415","0.95177378887197","0"
"Very low transfer dependency","1988","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1988","66 and older","West Germany","1041","0.986824950669108","0.97994448159764","0.993705419740577","0"
"Very low transfer dependency","1988","66 and older","East Germany","","","","","0"
"High transfer dependency","1989","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1989","16-34 y.","West Germany","52","0.0173047318082349","0.0131298886078669","0.021479575008603","2"
"High transfer dependency","1989","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1989","35-65 y.","West Germany","46","0.00879447624092606","0.00617868575832457","0.0114102667235276","2"
"High transfer dependency","1989","66 and older","West Germany","4","","","","2"
"High transfer dependency","1989","66 and older","East Germany","","","","","2"
"Low transfer dependency","1989","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1989","16-34 y.","West Germany","132","0.0282464718816792","0.0229424113955462","0.0335505323678122","1"
"Low transfer dependency","1989","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1989","35-65 y.","West Germany","147","0.0242278415421673","0.0199201194059588","0.0285355636783757","1"
"Low transfer dependency","1989","66 and older","West Germany","11","","","","1"
"Low transfer dependency","1989","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1989","16-34 y.","West Germany","60","0.0193955386263702","0.0149803815931515","0.0238106956595889","3"
"Very high transfer dependency","1989","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1989","66 and older","West Germany","3","","","","3"
"Very high transfer dependency","1989","35-65 y.","West Germany","85","0.0196607373151954","0.0157711438924709","0.0235503307379199","3"
"Very high transfer dependency","1989","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1989","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1989","16-34 y.","West Germany","3504","0.935053257683715","0.927163836175353","0.942942679192078","0"
"Very low transfer dependency","1989","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1989","35-65 y.","West Germany","4616","0.947316944901711","0.941058027254602","0.953575862548821","0"
"Very low transfer dependency","1989","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1989","66 and older","West Germany","1010","0.983913864455383","0.976223340385483","0.991604388525284","0"
"Very low transfer dependency","1989","66 and older","East Germany","","","","","0"
"High transfer dependency","1990","16-34 y.","West Germany","42","0.0131016082696983","0.00940304125396916","0.0168001752854275","2"
"High transfer dependency","1990","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1990","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1990","35-65 y.","West Germany","49","0.00954627897223337","0.0067885594931484","0.0123039984513183","2"
"High transfer dependency","1990","66 and older","West Germany","8","","","","2"
"High transfer dependency","1990","66 and older","East Germany","","","","","2"
"Low transfer dependency","1990","16-34 y.","West Germany","125","0.0330197516210167","0.0272076838561576","0.0388318193858758","1"
"Low transfer dependency","1990","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1990","35-65 y.","West Germany","110","0.0185917055760232","0.0147608091478162","0.0224226020042303","1"
"Low transfer dependency","1990","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1990","66 and older","West Germany","12","","","","1"
"Low transfer dependency","1990","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1990","16-34 y.","West Germany","44","0.0125820887254141","0.00895663940411575","0.0162075380467125","3"
"Very high transfer dependency","1990","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1990","35-65 y.","West Germany","72","0.0155078642440125","0.0120035902725662","0.0190121382154588","3"
"Very high transfer dependency","1990","66 and older","West Germany","1","","","","3"
"Very high transfer dependency","1990","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1990","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1990","16-34 y.","West Germany","3420","0.941296551383871","0.933650626835966","0.948942475931775","0"
"Very low transfer dependency","1990","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1990","35-65 y.","West Germany","4545","0.956354151207731","0.950559907237373","0.962148395178088","0"
"Very low transfer dependency","1990","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1990","66 and older","West Germany","1037","0.984487262693346","0.977040722687261","0.991933802699432","0"
"Very low transfer dependency","1990","66 and older","East Germany","","","","","0"
"High transfer dependency","1991","16-34 y.","East Germany","","","","","2"
"High transfer dependency","1991","16-34 y.","West Germany","39","0.0107749644184289","0.00740480124712374","0.0141451275897341","2"
"High transfer dependency","1991","35-65 y.","East Germany","","","","","2"
"High transfer dependency","1991","35-65 y.","West Germany","44","0.00853395068770137","0.00591863653980304","0.0111492648355997","2"
"High transfer dependency","1991","66 and older","West Germany","8","","","","2"
"High transfer dependency","1991","66 and older","East Germany","","","","","2"
"Low transfer dependency","1991","16-34 y.","East Germany","","","","","1"
"Low transfer dependency","1991","16-34 y.","West Germany","133","0.0359262973706879","0.0298511501752176","0.0420014445661581","1"
"Low transfer dependency","1991","35-65 y.","West Germany","135","0.0237637457499365","0.019433178476318","0.0280943130235549","1"
"Low transfer dependency","1991","35-65 y.","East Germany","","","","","1"
"Low transfer dependency","1991","66 and older","West Germany","12","","","","1"
"Low transfer dependency","1991","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1991","16-34 y.","West Germany","53","0.0159686384252048","0.0118766549606328","0.0200606218897767","3"
"Very high transfer dependency","1991","16-34 y.","East Germany","","","","","3"
"Very high transfer dependency","1991","66 and older","West Germany","2","","","","3"
"Very high transfer dependency","1991","35-65 y.","West Germany","56","0.013502789793291","0.0102213113236182","0.0167842682629639","3"
"Very high transfer dependency","1991","35-65 y.","East Germany","","","","","3"
"Very high transfer dependency","1991","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1991","16-34 y.","West Germany","3380","0.937330099785678","0.929418373758307","0.945241825813049","0"
"Very low transfer dependency","1991","16-34 y.","East Germany","","","","","0"
"Very low transfer dependency","1991","35-65 y.","West Germany","4517","0.954199513769071","0.948255709291427","0.960143318246716","0"
"Very low transfer dependency","1991","35-65 y.","East Germany","","","","","0"
"Very low transfer dependency","1991","66 and older","West Germany","1053","0.982436725624527","0.974584389232801","0.990289062016252","0"
"Very low transfer dependency","1991","66 and older","East Germany","","","","","0"
"High transfer dependency","1992","16-34 y.","West Germany","50","0.0178266738489085","0.0134958334877199","0.022157514210097","2"
"High transfer dependency","1992","16-34 y.","East Germany","26","","","","2"
"High transfer dependency","1992","35-65 y.","East Germany","36","0.0163036550252699","0.010987558452687","0.0216197515978528","2"
"High transfer dependency","1992","35-65 y.","West Germany","48","0.00850170561852055","0.00587633511239852","0.0111270761246426","2"
"High transfer dependency","1992","66 and older","West Germany","7","","","","2"
"High transfer dependency","1992","66 and older","East Germany","1","","","","2"
"Low transfer dependency","1992","16-34 y.","West Germany","133","0.0276249244487824","0.0222606571919632","0.0329891917056016","1"
"Low transfer dependency","1992","16-34 y.","East Germany","215","0.160772550983413","0.14141355666332","0.180131545303506","1"
"Low transfer dependency","1992","35-65 y.","East Germany","150","0.0592196675012383","0.0493114178338038","0.0691279171686728","1"
"Low transfer dependency","1992","35-65 y.","West Germany","137","0.0223514833923905","0.0181244455761309","0.0265785212086501","1"
"Low transfer dependency","1992","66 and older","West Germany","7","","","","1"
"Low transfer dependency","1992","66 and older","East Germany","","","","","1"
"Very high transfer dependency","1992","16-34 y.","West Germany","59","0.0170039486139305","0.0127724546374926","0.0212354425903684","3"
"Very high transfer dependency","1992","16-34 y.","East Germany","22","","","","3"
"Very high transfer dependency","1992","35-65 y.","West Germany","65","0.0155748613569089","0.0120341132858443","0.0191156094279735","3"
"Very high transfer dependency","1992","66 and older","West Germany","3","","","","3"
"Very high transfer dependency","1992","35-65 y.","East Germany","9","","","","3"
"Very high transfer dependency","1992","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1992","16-34 y.","West Germany","3344","0.937544453088379","0.92962446751275","0.945464438664007","0"
"Very low transfer dependency","1992","16-34 y.","East Germany","1120","0.794616788376355","0.773325676620117","0.815907900132593","0"
"Very low transfer dependency","1992","35-65 y.","West Germany","4448","0.95357194963218","0.947555247078259","0.959588652186101","0"
"Very low transfer dependency","1992","35-65 y.","East Germany","1985","0.918150981169574","0.906643410930958","0.929658551408191","0"
"Very low transfer dependency","1992","66 and older","West Germany","1063","0.99070725140176","0.984984814953504","0.996429687850017","0"
"Very low transfer dependency","1992","66 and older","East Germany","399","0.998433056927382","0.994556874748582","1.00230923910618","0"
"High transfer dependency","1993","16-34 y.","East Germany","53","0.0514662529576786","0.0395061638942473","0.0634263420211099","2"
"High transfer dependency","1993","16-34 y.","West Germany","51","0.0126449568248842","0.00897811745038955","0.0163117961993789","2"
"High transfer dependency","1993","35-65 y.","East Germany","45","0.025503076994563","0.0187524734287416","0.0322536805603844","2"
"High transfer dependency","1993","35-65 y.","West Germany","58","0.0106412104872563","0.00768411977255634","0.0135983012019562","2"
"High transfer dependency","1993","66 and older","West Germany","4","","","","2"
"High transfer dependency","1993","66 and older","East Germany","1","","","","2"
"Low transfer dependency","1993","16-34 y.","East Germany","243","0.168669130670849","0.14839923552862","0.188939025813077","1"
"Low transfer dependency","1993","16-34 y.","West Germany","147","0.0366088686406875","0.0304458850385918","0.0427718522427833","1"
"Low transfer dependency","1993","35-65 y.","West Germany","125","0.0217468556885134","0.0175433069719997","0.0259504044050272","1"
"Low transfer dependency","1993","35-65 y.","East Germany","250","0.106921172781915","0.0936889491850908","0.120153396378739","1"
"Low transfer dependency","1993","66 and older","West Germany","12","","","","1"
"Low transfer dependency","1993","66 and older","East Germany","7","","","","1"
"Very high transfer dependency","1993","16-34 y.","West Germany","62","0.0165616052604595","0.0123734639096271","0.0207497466112919","3"
"Very high transfer dependency","1993","16-34 y.","East Germany","49","0.0465692569516218","0.0351630571410165","0.0579754567622271","3"
"Very high transfer dependency","1993","35-65 y.","West Germany","58","0.0139671338115421","0.0105849939350451","0.0173492736880391","3"
"Very high transfer dependency","1993","35-65 y.","East Germany","31","0.0174244228176663","0.0118214532906972","0.0230273923446354","3"
"Very high transfer dependency","1993","66 and older","West Germany","4","","","","3"
"Very high transfer dependency","1993","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1993","16-34 y.","West Germany","3307","0.934184569273969","0.926047336399498","0.94232180214844","0"
"Very low transfer dependency","1993","16-34 y.","East Germany","966","0.733295359419851","0.709356607745547","0.757234111094155","0"
"Very low transfer dependency","1993","35-65 y.","West Germany","4384","0.953644800012688","0.947585328130914","0.959704271894463","0"
"Very low transfer dependency","1993","35-65 y.","East Germany","1769","0.850151327405856","0.834867552036777","0.865435102774935","0"
"Very low transfer dependency","1993","66 and older","West Germany","1085","0.986017328538767","0.979094169593298","0.992940487484235","0"
"Very low transfer dependency","1993","66 and older","East Germany","386","0.98918896207096","0.978977843801075","0.999400080340844","0"
"High transfer dependency","1994","16-34 y.","West Germany","45","0.0133913662168092","0.00959795206126612","0.0171847803723522","2"
"High transfer dependency","1994","16-34 y.","East Germany","51","0.0545242908326693","0.0419726456806788","0.0670759359846598","2"
"High transfer dependency","1994","35-65 y.","East Germany","73","0.0408742568531952","0.0323611511056681","0.0493873626007222","2"
"High transfer dependency","1994","35-65 y.","West Germany","55","0.0109434778107562","0.00790006037231669","0.0139868952491957","2"
"High transfer dependency","1994","66 and older","West Germany","5","","","","2"
"High transfer dependency","1994","66 and older","East Germany","","","","","2"
"Low transfer dependency","1994","16-34 y.","West Germany","190","0.046885517397115","0.0399090229640392","0.0538620118301908","1"
"Low transfer dependency","1994","16-34 y.","East Germany","200","0.14352415226098","0.124142066645468","0.162906237876491","1"
"Low transfer dependency","1994","35-65 y.","East Germany","226","0.0998230755161697","0.0869345056398931","0.112711645392446","1"
"Low transfer dependency","1994","35-65 y.","West Germany","140","0.0230765648931664","0.0186842938415496","0.0274688359447832","1"
"Low transfer dependency","1994","66 and older","West Germany","14","","","","1"
"Low transfer dependency","1994","66 and older","East Germany","7","","","","1"
"Very high transfer dependency","1994","16-34 y.","East Germany","45","0.0521123051394316","0.0398257810352863","0.0643988292435768","3"
"Very high transfer dependency","1994","16-34 y.","West Germany","78","0.0241382004134732","0.0190730544567483","0.0292033463701982","3"
"Very high transfer dependency","1994","35-65 y.","West Germany","60","0.017820315111214","0.0139501771087616","0.0216904531136664","3"
"Very high transfer dependency","1994","35-65 y.","East Germany","48","0.0302569997192144","0.0228921044273993","0.0376218950110296","3"
"Very high transfer dependency","1994","66 and older","West Germany","5","","","","3"
"Very high transfer dependency","1994","66 and older","East Germany","","","","","3"
"Very low transfer dependency","1994","16-34 y.","West Germany","3214","0.915584915972603","0.906409944885884","0.924759887059321","0"
"Very low transfer dependency","1994","16-34 y.","East Germany","961","0.74983925176692","0.725896496789857","0.773782006743982","0"
"Very low transfer dependency","1994","35-65 y.","West Germany","4234","0.948159642184863","0.941674074194988","0.954645210174739","0"
"Very low transfer dependency","1994","35-65 y.","East Germany","1731","0.829045667911421","0.81285910640557","0.845232229417271","0"
"Very low transfer dependency","1994","66 and older","West Germany","1091","0.984696037678159","0.97749054474782","0.991901530608498","0"
"Very low transfer dependency","1994","66 and older","East Germany","398","0.990380932599627","0.980875142975245","0.999886722224009","0"
"High transfer dependency","1995","16-34 y.","East Germany","40","0.0414269406001557","0.0302172716241181","0.0526366095761934","2"
"High transfer dependency","1995","16-34 y.","West Germany","73","0.0208038356763394","0.0162068008471842","0.0254008705054947","2"
"High transfer dependency","1995","35-65 y.","East Germany","50","0.0227171227169704","0.0162687212558224","0.0291655241781184","2"
"High transfer dependency","1995","35-65 y.","West Germany","78","0.013900442232204","0.0105755123516736","0.0172253721127344","2"
"High transfer dependency","1995","66 and older","West Germany","6","","","","2"
"High transfer dependency","1995","66 and older","East Germany","1","","","","2"
"Low transfer dependency","1995","16-34 y.","East Germany","169","0.137000838907721","0.11765865324595","0.156343024569493","1"
"Low transfer dependency","1995","16-34 y.","West Germany","191","0.044639081083475","0.0379876883182729","0.0512904738486771","1"
"Low transfer dependency","1995","35-65 y.","East Germany","193","0.0876258473075918","0.0753890472848731","0.0998626473303105","1"
"Low transfer dependency","1995","35-65 y.","West Germany","196","0.0334470442940352","0.0283408245619025","0.0385532640261679","1"
"Low transfer dependency","1995","66 and older","West Germany","11","","","","1"
"Low transfer dependency","1995","66 and older","East Germany","7","","","","1"
"Very high transfer dependency","1995","16-34 y.","West Germany","126","0.0377330994853292","0.0315957585557068","0.0438704404149517","3"
"Very high transfer dependency","1995","16-34 y.","East Germany","44","0.0480260526066883","0.0359981549143516","0.060053950299025","3"
"Very high transfer dependency","1995","35-65 y.","West Germany","106","0.0261680053012873","0.0216344895468629","0.0307015210557118","3"
"Very high transfer dependency","1995","35-65 y.","East Germany","53","0.0348459880246531","0.0269092880644474","0.0427826879848587","3"
"Very high transfer dependency","1995","66 and older","West Germany","5","","","","3"
"Very high transfer dependency","1995","66 and older","East Germany","1","","","","3"
"Very low transfer dependency","1995","16-34 y.","West Germany","3313","0.896823983754856","0.887026507499072","0.906621460010641","0"
"Very low transfer dependency","1995","16-34 y.","East Germany","961","0.773546167885435","0.750002631110972","0.797089704659897","0"
"Very low transfer dependency","1995","35-65 y.","East Germany","1755","0.854811041950785","0.839564648717643","0.870057435183927","0"
"Very low transfer dependency","1995","35-65 y.","West Germany","4383","0.926484508172474","0.919072834071014","0.933896182273933","0"
"Very low transfer dependency","1995","66 and older","East Germany","404","0.980868379364326","0.967656812940724","0.994079945787927","0"
"Very low transfer dependency","1995","66 and older","West Germany","1115","0.987782334810572","0.981396868821594","0.994167800799549","0"
"High transfer dependency","1996","16-34 y.","East Germany","45","0.0478152918878487","0.0356252873724481","0.0600052964032493","2"
"High transfer dependency","1996","16-34 y.","West Germany","73","0.0178528691740971","0.0135067692327753","0.0221989691154189","2"
"High transfer dependency","1996","35-65 y.","East Germany","98","0.0466601388140554","0.0375390904046104","0.0557811872235004","2"
"High transfer dependency","1996","35-65 y.","West Germany","85","0.0187377674384146","0.0148428965181938","0.0226326383586353","2"
"High transfer dependency","1996","66 and older","West Germany","4","","","","2"
"High transfer dependency","1996","66 and older","East Germany","1","","","","2"
"Low transfer dependency","1996","16-34 y.","East Germany","179","0.157146739256074","0.136355109532797","0.177938368979352","1"
"Low transfer dependency","1996","16-34 y.","West Germany","170","0.0395109252510095","0.033117078302757","0.0459047721992621","1"
"Low transfer dependency","1996","35-65 y.","East Germany","252","0.13279340097789","0.118117748965138","0.147469052990642","1"
"Low transfer dependency","1996","35-65 y.","West Germany","202","0.036077778604262","0.0307212615018336","0.0414342957066903","1"
"Low transfer dependency","1996","66 and older","West Germany","18","","","","1"
"Low transfer dependency","1996","66 and older","East Germany","15","","","","1"
"Very high transfer dependency","1996","16-34 y.","West Germany","104","0.0288722153184218","0.0233763552635861","0.0343680753732576","3"
"Very high transfer dependency","1996","16-34 y.","East Germany","34","0.0289271927180928","0.0193521901197001","0.0385021953164854","3"
"Very high transfer dependency","1996","35-65 y.","West Germany","119","0.0269222486460827","0.0222731255837693","0.0315713717083961","3"
"Very high transfer dependency","1996","35-65 y.","East Germany","67","0.0437758906998329","0.0349278887074701","0.0526238926921957","3"
"Very high transfer dependency","1996","66 and older","West Germany","6","","","","3"
"Very high transfer dependency","1996","66 and older","East Germany","2","","","","3"
"Very low transfer dependency","1996","16-34 y.","West Germany","3219","0.913763990256472","0.904550614839136","0.922977365673808","0"
"Very low transfer dependency","1996","16-34 y.","East Germany","919","0.766110776137985","0.741927744082193","0.790293808193776","0"
"Very low transfer dependency","1996","35-65 y.","West Germany","4250","0.918262205311241","0.910392899587231","0.926131511035251","0"
"Very low transfer dependency","1996","35-65 y.","East Germany","1637","0.776770569508222","0.758762383068057","0.794778755948386","0"
"Very low transfer dependency","1996","66 and older","West Germany","1122","0.980402173890975","0.97239083223001","0.988413515551939","0"
"Very low transfer dependency","1996","66 and older","East Germany","404","0.967550443367136","0.95064474728364","0.984456139450632","0"
"High transfer dependency","1997","16-34 y.","West Germany","76","0.0204596575648393","0.0157323504050826","0.0251869647245959","2"
"High transfer dependency","1997","16-34 y.","East Germany","53","0.0659656790065932","0.0515943736214783","0.080336984391708","2"
"High transfer dependency","1997","35-65 y.","West Germany","83","0.0185449345833523","0.0146437144320328","0.0224461547346718","2"
