"transab_cat2","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1996","Rural Area","384","0.0712697202625773","0.0636574865912669","0.0788819539338877","1"
"Very high transfer dependency","1996","Urban Area","226","0.0249840853911033","0.0216923163665743","0.0282758544156322","3"
"Very high transfer dependency","1996","Rural Area","106","0.0246157338004908","0.0200310535947505","0.0292004140062311","3"
"Very low transfer dependency","1996","Rural Area","3771","0.881369197342889","0.871801829977522","0.890936564708257","0"
"Very low transfer dependency","1996","Urban Area","7779","0.917040237998885","0.91122296133404","0.92285751466373","0"
"High transfer dependency","1997","Rural Area","142","0.0340761230863525","0.0286616661750839","0.0394905799976212","2"
"High transfer dependency","1997","Urban Area","178","0.0182049937943825","0.0153601826664758","0.0210498049222891","2"
"Low transfer dependency","1997","Rural Area","415","0.0808286150050168","0.0726939592614323","0.0889632707486013","1"
"Low transfer dependency","1997","Urban Area","576","0.0519648095600798","0.0472418452877643","0.0566877738323953","1"
"Very high transfer dependency","1997","Urban Area","230","0.0288992896133751","0.0253345855542846","0.0324639936724656","3"
"Very high transfer dependency","1997","Rural Area","125","0.0315807533715166","0.0263615849575295","0.0367999217855037","3"
"Very low transfer dependency","1997","Rural Area","3631","0.853514508537114","0.842961868547709","0.864067148526519","0"
"Very low transfer dependency","1997","Urban Area","7500","0.900930907032163","0.894573755004377","0.907288059059948","0"
"High transfer dependency","1998","Rural Area","119","0.019768309327272","0.0158425501082573","0.0236940685462866","2"
"High transfer dependency","1998","Urban Area","204","0.0193182526998978","0.0165326588781411","0.0221038465216544","2"
"Low transfer dependency","1998","Rural Area","482","0.0814925983846907","0.0737769053955353","0.0892082913738461","1"
"Low transfer dependency","1998","Urban Area","569","0.0466060877761385","0.0423400240884204","0.0508721514638565","1"
"Very high transfer dependency","1998","Urban Area","262","0.0303982602541064","0.0269237717381413","0.0338727487700716","3"
"Very high transfer dependency","1998","Rural Area","132","0.0324912169521251","0.0274910446184134","0.0374913892858368","3"
"Very low transfer dependency","1998","Urban Area","8344","0.903677399269857","0.897706487778352","0.909648310761362","0"
"Very low transfer dependency","1998","Rural Area","4097","0.866247875335912","0.856648433939536","0.875847316732288","0"
"High transfer dependency","1999","Rural Area","132","0.0224696503624179","0.0182244746718552","0.0267148260529806","2"
"High transfer dependency","1999","Urban Area","184","0.0173790708771515","0.0146765575277014","0.0200815842266016","2"
"Low transfer dependency","1999","Rural Area","441","0.0745793821984183","0.0670542980178964","0.0821044663789402","1"
"Low transfer dependency","1999","Urban Area","537","0.0461501719336774","0.0418111861199952","0.0504891577473597","1"
"Very high transfer dependency","1999","Urban Area","188","0.0217126922888268","0.0186986342283154","0.0247267503493382","3"
"Very high transfer dependency","1999","Rural Area","133","0.0321683669986144","0.0271142324408101","0.0372225015564187","3"
"Very low transfer dependency","1999","Urban Area","8073","0.914758064900344","0.908983206506417","0.920532923294271","0"
"Very low transfer dependency","1999","Rural Area","3976","0.870782600440549","0.86117427385953","0.880390927021568","0"
"High transfer dependency","2000","Rural Area","223","0.0230443531013558","0.0198015078507386","0.0262871983519731","2"
"High transfer dependency","2000","Urban Area","245","0.0142885386552928","0.0124416036243832","0.0161354736862024","2"
"Low transfer dependency","2000","Rural Area","699","0.0733866431901207","0.0677507295503827","0.0790225568298587","1"
"Low transfer dependency","2000","Urban Area","855","0.0439766531585456","0.0407856433089035","0.0471676630081877","1"
"Very high transfer dependency","2000","Rural Area","214","0.0258364485828266","0.0224076743775158","0.0292652227881373","3"
"Very high transfer dependency","2000","Urban Area","404","0.0253530171781385","0.0229066518938836","0.0277993824623934","3"
"Very low transfer dependency","2000","Urban Area","14357","0.916381791008023","0.912073832968353","0.920689749047693","0"
"Very low transfer dependency","2000","Rural Area","7088","0.877732555125697","0.870652395294949","0.884812714956445","0"
"High transfer dependency","2001","Rural Area","185","0.0197977560758631","0.0166342772304451","0.022961234921281","2"
"High transfer dependency","2001","Urban Area","258","0.0171729483402088","0.0150542685023584","0.0192916281780592","2"
"Low transfer dependency","2001","Rural Area","691","0.0709830811083356","0.0651514728974726","0.0768146893191987","1"
"Low transfer dependency","2001","Urban Area","774","0.0454464994877988","0.0420498189164169","0.0488431800591808","1"
"Very high transfer dependency","2001","Rural Area","214","0.0308767383824463","0.0269484413230139","0.0348050354418786","3"
"Very high transfer dependency","2001","Urban Area","343","0.0250251946417496","0.0224778378401895","0.0275725514433097","3"
"Very low transfer dependency","2001","Urban Area","13069","0.912355357530243","0.907743784917324","0.916966930143162","0"
"Very low transfer dependency","2001","Rural Area","6359","0.878342424433355","0.8709190628924","0.88576578597431","0"
"High transfer dependency","2002","Rural Area","183","0.0259636764805561","0.0223890862288796","0.0295382667322326","2"
"High transfer dependency","2002","Urban Area","276","0.023774413121531","0.0213666484479823","0.0261821777950796","2"
"Low transfer dependency","2002","Rural Area","615","0.0784671825678861","0.0724227570792453","0.0845116080565269","1"
"Low transfer dependency","2002","Urban Area","712","0.0477509940005556","0.0443808340388684","0.0511211539622429","1"
"Very high transfer dependency","2002","Rural Area","195","0.0285544472008999","0.0248107414512124","0.0322981529505874","3"
"Very high transfer dependency","2002","Urban Area","322","0.0263084592442396","0.0237789140205634","0.0288380044679157","3"
"Very low transfer dependency","2002","Rural Area","6610","0.867014693750658","0.859382126254513","0.874647261246803","0"
"Very low transfer dependency","2002","Urban Area","14069","0.902166133633674","0.897470741034006","0.906861526233342","0"
"High transfer dependency","2003","Urban Area","250","0.0180162055078463","0.0158772083615187","0.0201552026541739","2"
"High transfer dependency","2003","Rural Area","188","0.0271435660658202","0.0234073813409119","0.0308797507907285","2"
"Low transfer dependency","2003","Rural Area","627","0.0829812553165283","0.0766389138891929","0.0893235967438637","1"
"Low transfer dependency","2003","Urban Area","778","0.0507822969840593","0.0472515591904671","0.0543130347776516","1"
"Very high transfer dependency","2003","Rural Area","220","0.0339195281819902","0.0297575282961984","0.038081528067782","3"
"Very high transfer dependency","2003","Urban Area","359","0.034902487608559","0.0319510053968328","0.0378539698202851","3"
"Very low transfer dependency","2003","Rural Area","6232","0.855955650435661","0.847882477493838","0.864028823377485","0"
"Very low transfer dependency","2003","Urban Area","13467","0.896299009899535","0.891396208617167","0.901201811181904","0"
"High transfer dependency","2004","Urban Area","267","0.0191127097775155","0.0168777677281516","0.0213476518268793","2"
"High transfer dependency","2004","Rural Area","173","0.0283363088103017","0.0244861315210706","0.0321864860995328","2"
"Low transfer dependency","2004","Rural Area","642","0.0888923460491844","0.0822889380126592","0.0954957540857095","1"
"Low transfer dependency","2004","Urban Area","746","0.0530948895961419","0.0494349394334104","0.0567548397588734","1"
"Very high transfer dependency","2004","Rural Area","234","0.0389245935919105","0.0344367069602968","0.0434124802235242","3"
"Very high transfer dependency","2004","Urban Area","375","0.0338779916918838","0.0309249444361956","0.0368310389475721","3"
"Very low transfer dependency","2004","Rural Area","6086","0.843846751548603","0.83542391437149","0.852269588725716","0"
"Very low transfer dependency","2004","Urban Area","13030","0.893914408934459","0.888887838765784","0.898940979103134","0"
"High transfer dependency","2005","Urban Area","265","0.0230438855382279","0.0205416096647521","0.0255461614117038","2"
"High transfer dependency","2005","Rural Area","205","0.0284837789242693","0.0245345970827197","0.0324329607658189","2"
"Low transfer dependency","2005","Urban Area","745","0.0524240610212164","0.0487070645510775","0.0561410574913554","1"
"Low transfer dependency","2005","Rural Area","643","0.102403277004246","0.0952057905421602","0.109600763466332","1"
"Very high transfer dependency","2005","Rural Area","241","0.0424398934378302","0.0376541053461845","0.0472256815294759","3"
"Very high transfer dependency","2005","Urban Area","377","0.0359946998076511","0.0328881466100966","0.0391012530052057","3"
"Very low transfer dependency","2005","Rural Area","5727","0.826673050633654","0.817686702551845","0.835659398715464","0"
"Very low transfer dependency","2005","Urban Area","12425","0.888537353632904","0.883289009230954","0.893785698034854","0"
"High transfer dependency","2006","Urban Area","323","0.0251982684496765","0.0226704525059734","0.0277260843933795","2"
"High transfer dependency","2006","Rural Area","235","0.0349113697494201","0.0307474703440347","0.0390752691548056","2"
"Low transfer dependency","2006","Urban Area","779","0.0586076637928709","0.0548191882513611","0.0623961393343807","1"
"Low transfer dependency","2006","Rural Area","575","0.0748708474772012","0.0689006218711008","0.0808410730833015","1"
"Very high transfer dependency","2006","Rural Area","305","0.0513526464986738","0.0463457686077882","0.0563595243895594","3"
"Very high transfer dependency","2006","Urban Area","478","0.0439014485673973","0.0405970478415549","0.0472058492932398","3"
"Very low transfer dependency","2006","Rural Area","6350","0.838865136274705","0.830524983316345","0.847205289233065","0"
"Very low transfer dependency","2006","Urban Area","13187","0.872292619190055","0.866909412544725","0.877675825835386","0"
"High transfer dependency","2007","Rural Area","180","0.0296215343544165","0.0256617235975137","0.0335813451113193","2"
"High transfer dependency","2007","Urban Area","308","0.0279910685986271","0.0252377398447032","0.030744397352551","2"
"Low transfer dependency","2007","Urban Area","669","0.0550703355709244","0.0512625559411502","0.0588781152006987","1"
"Low transfer dependency","2007","Rural Area","568","0.077692684851192","0.0714405552478985","0.0839448144544855","1"
"Very high transfer dependency","2007","Rural Area","274","0.0454925492439241","0.0406255656870841","0.0503595328007642","3"
"Very high transfer dependency","2007","Urban Area","439","0.0424479723833062","0.0390826794900077","0.0458132652766048","3"
"Very low transfer dependency","2007","Rural Area","6020","0.847193231550467","0.838789684904875","0.85559677819606","0"
"Very low transfer dependency","2007","Urban Area","12371","0.874490623447142","0.868960575866815","0.88002067102747","0"
"High transfer dependency","2008","Rural Area","141","0.0244696256138738","0.0207421897138101","0.0281970615139376","2"
"High transfer dependency","2008","Urban Area","253","0.0257228968562845","0.0229970776463125","0.0284487160662564","2"
"Low transfer dependency","2008","Urban Area","621","0.0498900968094494","0.046141316782426","0.0536388768364729","1"
"Low transfer dependency","2008","Rural Area","439","0.0748771941155512","0.0685275322650263","0.0812268559660762","1"
"Very high transfer dependency","2008","Urban Area","358","0.039889060687388","0.0365194209161485","0.0432587004586275","3"
"Very high transfer dependency","2008","Rural Area","256","0.0413907501603698","0.0365851395295391","0.0461963607912005","3"
"Very low transfer dependency","2008","Rural Area","5764","0.859262430110205","0.850872775946056","0.867652084274355","0"
"Very low transfer dependency","2008","Urban Area","11725","0.884497945646878","0.878994443625775","0.890001447667982","0"
"High transfer dependency","2009","Rural Area","130","0.0246828091689245","0.0208466180536064","0.0285190002842425","2"
"High transfer dependency","2009","Urban Area","209","0.0191490293485177","0.0166965533942401","0.0216015053027952","2"
"Low transfer dependency","2009","Urban Area","560","0.05654943823416","0.0524160748903612","0.0606828015779589","1"
"Low transfer dependency","2009","Rural Area","442","0.071823222122661","0.0654394438488268","0.0782070003964951","1"
"Very high transfer dependency","2009","Urban Area","287","0.0334362223794475","0.0302192026612585","0.0366532420976366","3"
"Very high transfer dependency","2009","Rural Area","199","0.0367387954273274","0.0320876010018177","0.041389989852837","3"
"Very low transfer dependency","2009","Rural Area","5513","0.866755173281087","0.858352772318119","0.875157574244055","0"
"Very low transfer dependency","2009","Urban Area","10940","0.890865310037875","0.885285527210032","0.896445092865718","0"
"High transfer dependency","2010","Rural Area","377","0.0267458480157822","0.0232709023571878","0.0302207936743766","2"
"High transfer dependency","2010","Urban Area","568","0.0256888949497515","0.0232285857559501","0.0281492041435529","2"
"Low transfer dependency","2010","Rural Area","871","0.0610652817312088","0.0559079914073286","0.066222572055089","1"
"Low transfer dependency","2010","Urban Area","1332","0.0597578074147601","0.0560715526499089","0.0634440621796114","1"
"Very high transfer dependency","2010","Urban Area","822","0.041474647942406","0.0383739368139884","0.0445753590708236","3"
"Very high transfer dependency","2010","Rural Area","438","0.0328700014198537","0.0290298443574397","0.0367101584822677","3"
"Very low transfer dependency","2010","Rural Area","6595","0.879318868833155","0.872302707269981","0.88633503039633","0"
"Very low transfer dependency","2010","Urban Area","13162","0.873078649693082","0.867901840264384","0.878255459121781","0"
"High transfer dependency","2011","Rural Area","474","0.0327577747336038","0.0292924845375479","0.0362230649296598","2"
"High transfer dependency","2011","Urban Area","733","0.0324576020724394","0.029909421842467","0.0350057823024118","2"
"Low transfer dependency","2011","Rural Area","1070","0.0671716141838629","0.0622984778788782","0.0720447504888477","1"
"Low transfer dependency","2011","Urban Area","1590","0.0534976134834051","0.0502619378035721","0.0567332891632381","1"
"Very high transfer dependency","2011","Urban Area","938","0.0376604827976431","0.0349230464770043","0.040397919118282","3"
"Very high transfer dependency","2011","Rural Area","507","0.0336849351891577","0.030172631796149","0.0371972385821663","3"
"Very low transfer dependency","2011","Urban Area","15318","0.876384301646512","0.871651470266668","0.881117133026356","0"
"Very low transfer dependency","2011","Rural Area","8085","0.866385675893376","0.859762032672673","0.873009319114078","0"
"High transfer dependency","2012","Rural Area","453","0.0353610092921561","0.0317553548657933","0.038966663718519","2"
"High transfer dependency","2012","Urban Area","665","0.027408359534836","0.0250231271893565","0.0297935918803156","2"
"Low transfer dependency","2012","Rural Area","905","0.0595036559989506","0.0548852750884698","0.0641220369094315","1"
"Low transfer dependency","2012","Urban Area","1322","0.0520859588939954","0.048839807933046","0.0553321098549449","1"
"Very high transfer dependency","2012","Urban Area","836","0.0366871165542861","0.0339407128474765","0.0394335202610957","3"
"Very high transfer dependency","2012","Rural Area","430","0.0303736377760297","0.0270232893057604","0.033723986246299","3"
"Very low transfer dependency","2012","Urban Area","15176","0.883818565016882","0.879137185715281","0.888499944318484","0"
"Very low transfer dependency","2012","Rural Area","8291","0.874761696932864","0.868299907007974","0.881223486857754","0"
"High transfer dependency","2013","Rural Area","443","0.0306138467461542","0.0273106163448286","0.0339170771474799","2"
"High transfer dependency","2013","Urban Area","937","0.0274312006779552","0.0251999689242365","0.0296624324316739","2"
"Low transfer dependency","2013","Rural Area","859","0.0608376013670208","0.0562541999079599","0.0654210028260818","1"
"Low transfer dependency","2013","Urban Area","1618","0.0538710137113435","0.0507870102644499","0.0569550171582372","1"
"Very high transfer dependency","2013","Rural Area","538","0.0368039212386528","0.0331936826136267","0.0404141598636789","3"
"Very high transfer dependency","2013","Urban Area","1110","0.0399176658119453","0.0372434348353747","0.042591896788516","3"
"Very low transfer dependency","2013","Urban Area","16921","0.878780119798756","0.874321615971307","0.883238623626205","0"
"Very low transfer dependency","2013","Rural Area","8608","0.871744630648172","0.865333067449543","0.878156193846801","0"
"High transfer dependency","2014","Rural Area","403","0.0303842834634388","0.0269197911998035","0.033848775727074","2"
"High transfer dependency","2014","Urban Area","734","0.0293236320250865","0.0268666668197985","0.0317805972303746","2"
"Low transfer dependency","2014","Rural Area","823","0.0624748202758651","0.0575898800799674","0.0673597604717629","1"
"Low transfer dependency","2014","Urban Area","1360","0.0566703360221861","0.0533031854539349","0.0600374865904373","1"
"Very high transfer dependency","2014","Rural Area","402","0.0361027650302098","0.0323374538590237","0.0398680762013959","3"
"Very high transfer dependency","2014","Urban Area","970","0.0423845143816577","0.0394505686032141","0.0453184601601014","3"
"Very low transfer dependency","2014","Urban Area","15049","0.87162151757107","0.866750014420413","0.876493020721727","0"
"Very low transfer dependency","2014","Rural Area","7801","0.871038131230486","0.864273182403211","0.877803080057761","0"
"High transfer dependency","2015","Rural Area","358","0.0256515195978748","0.0224353346579336","0.028867704537816","2"
"High transfer dependency","2015","Urban Area","708","0.0288423660280007","0.0263974717661047","0.0312872602898966","2"
"Low transfer dependency","2015","Rural Area","706","0.0563654564398301","0.0516736969788553","0.0610572159008049","1"
"Low transfer dependency","2015","Urban Area","1221","0.0515657436753793","0.0483351373898952","0.0547963499608635","1"
"Very high transfer dependency","2015","Rural Area","434","0.039358171731717","0.0354024520009546","0.0433138914624795","3"
"Very high transfer dependency","2015","Urban Area","1043","0.0425478702081401","0.039599396749557","0.0454963436667232","3"
"Very low transfer dependency","2015","Rural Area","7784","0.878624852230578","0.871981398166354","0.885268306294802","0"
"Very low transfer dependency","2015","Urban Area","15029","0.87704402008848","0.872246847994887","0.881841192182073","0"
"High transfer dependency","2016","Urban Area","628","0.03230425987875","0.0295813697828794","0.0350271499746206","2"
"High transfer dependency","2016","Rural Area","208","0.0165041427132828","0.013800614708095","0.0192076707184705","2"
"Low transfer dependency","2016","Rural Area","723","0.0697423603540795","0.0643373309184391","0.0751473897897199","1"
"Low transfer dependency","2016","Urban Area","1121","0.0525043870285782","0.0490694624932652","0.0559393115638911","1"
"Very high transfer dependency","2016","Rural Area","375","0.0337917507797333","0.0299574265201671","0.0376260750392994","3"
"Very high transfer dependency","2016","Urban Area","857","0.0409661290596581","0.0379135969764195","0.0440186611428967","3"
"Very low transfer dependency","2016","Rural Area","7225","0.879961746152904","0.873065069717523","0.886858422588286","0"
"Very low transfer dependency","2016","Urban Area","13591","0.874225224033014","0.869118536999597","0.87933191106643","0"
"High transfer dependency","2017","Urban Area","739","0.0309347737282555","0.0284692978210144","0.0334002496354965","2"
"High transfer dependency","2017","Rural Area","360","0.0210062047350175","0.0182219853245649","0.0237904241454702","2"
"Low transfer dependency","2017","Rural Area","746","0.0580958683468664","0.0535541974065941","0.0626375392871387","1"
"Low transfer dependency","2017","Urban Area","1138","0.0479102638235184","0.0448690006084057","0.0509515270386311","1"
"Very high transfer dependency","2017","Urban Area","2089","0.042279095797465","0.0394137099270305","0.0451444816678995","3"
"Very high transfer dependency","2017","Rural Area","866","0.0386523844677064","0.0349098305799976","0.0423949383554153","3"
"Very low transfer dependency","2017","Rural Area","8219","0.88224554245041","0.875987721906478","0.888503362994341","0"
"Very low transfer dependency","2017","Urban Area","14979","0.878875866650761","0.874229859251274","0.883521874050248","0"
"High transfer dependency","2018","Urban Area","927","0.0270422722445941","0.0247593339741159","0.0293252105150723","2"
"High transfer dependency","2018","Rural Area","411","0.0305278639962894","0.0271555413439741","0.0339001866486047","2"
"Low transfer dependency","2018","Urban Area","1199","0.0478554884801945","0.0448511912093745","0.0508597857510145","1"
"Low transfer dependency","2018","Rural Area","687","0.0529587358584996","0.0485687158358507","0.0573487558811485","1"
"Very high transfer dependency","2018","Rural Area","1019","0.0368631648855619","0.0331695335093687","0.0405567962617552","3"
"Very high transfer dependency","2018","Urban Area","2767","0.0434192162941699","0.0405508975659459","0.046287535022394","3"
"Very low transfer dependency","2018","Rural Area","7880","0.879650235259649","0.873272141790974","0.886028328728324","0"
"Very low transfer dependency","2018","Urban Area","14500","0.881683022981041","0.877137274900795","0.886228771061288","0"
"High transfer dependency","2019","Urban Area","696","0.0273990668372289","0.0250103757188163","0.0297877579556414","2"
"High transfer dependency","2019","Rural Area","387","0.0244368776302467","0.0213853911267977","0.0274883641336957","2"
"Low transfer dependency","2019","Urban Area","944","0.0454457644844135","0.0423980675431948","0.0484934614256321","1"
"Low transfer dependency","2019","Rural Area","633","0.0646276250700751","0.0597684530146707","0.0694867971254796","1"
"Very high transfer dependency","2019","Rural Area","868","0.0324777987196361","0.0289744394900922","0.03598115794918","3"
"Very high transfer dependency","2019","Urban Area","2338","0.0391065322449312","0.0362700044612404","0.041943060028622","3"
"Very low transfer dependency","2019","Rural Area","7947","0.878457698580042","0.871999891552532","0.884915505607552","0"
