"transab_cat2","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1987","Not Employed","Urban Area","2725","0.922525365171829","0.912979452606652","0.932071277737007"
"Very low transfer dependency","1987","Not Employed","Rural Area","688","0.915770725860316","0.896064169972331","0.9354772817483"
"Very low transfer dependency","1987","Employed","Urban Area","5141","0.969264721974","0.964625835966665","0.973903607981334"
"Very low transfer dependency","1987","Employed","Rural Area","1326","0.955065039046492","0.944158796947233","0.965971281145751"
"Low transfer dependency","1987","Not Employed","Urban Area","133","0.0357954798099316","0.0291619115743411","0.0424290480455221"
"Low transfer dependency","1987","Not Employed","Rural Area","34","0.0341428904631065","0.0212576536442643","0.0470281272819487"
"Low transfer dependency","1987","Employed","Urban Area","130","0.0221154981739883","0.0181630510422216","0.0260679453057551"
"Low transfer dependency","1987","Employed","Rural Area","45","0.031673343774235","0.0224534827063482","0.0408932048421218"
"High transfer dependency","1987","Not Employed","Urban Area","50","0.00993573767284296","0.00639429451391489","0.013477180831771"
"High transfer dependency","1987","Not Employed","Rural Area","14","","",""
"High transfer dependency","1987","Employed","Urban Area","39","0.00672608865383872","0.00452929263656815","0.00892288467110929"
"High transfer dependency","1987","Employed","Rural Area","10","","",""
"Very high transfer dependency","1987","Not Employed","Urban Area","105","0.0317434173453961","0.0254834712458243","0.038003363444968"
"Very high transfer dependency","1987","Not Employed","Rural Area","27","","",""
"Very high transfer dependency","1987","Employed","Urban Area","8","","",""
"Very high transfer dependency","1987","Employed","Rural Area","5","","",""
"Very low transfer dependency","1988","Not Employed","Urban Area","2582","0.928457807513459","0.918990716191154","0.937924898835763"
"Very low transfer dependency","1988","Not Employed","Rural Area","632","0.915987603222607","0.895466721349812","0.936508485095403"
"Very low transfer dependency","1988","Employed","Urban Area","4953","0.971993314475242","0.96746866288465","0.976517966065833"
"Very low transfer dependency","1988","Employed","Rural Area","1264","0.958719057333578","0.947978894420123","0.969459220247033"
"Low transfer dependency","1988","Not Employed","Urban Area","113","0.0261241448588203","0.0202650949367675","0.0319831947808731"
"Low transfer dependency","1988","Not Employed","Rural Area","31","0.0328121866852037","0.0196340948500978","0.0459902785203097"
"Low transfer dependency","1988","Employed","Urban Area","121","0.0216773972473341","0.0176837724659205","0.0256710220287478"
"Low transfer dependency","1988","Employed","Rural Area","38","0.0279589478358937","0.0190588844184778","0.0368590112533097"
"High transfer dependency","1988","Not Employed","Urban Area","40","0.0118205341126853","0.00785053124625629","0.0157905369791143"
"High transfer dependency","1988","Not Employed","Rural Area","11","","",""
"High transfer dependency","1988","Employed","Urban Area","24","","",""
"High transfer dependency","1988","Employed","Rural Area","10","","",""
"Very high transfer dependency","1988","Not Employed","Urban Area","112","0.0335975135150357","0.0269785963581158","0.0402164306719557"
"Very high transfer dependency","1988","Not Employed","Rural Area","28","","",""
"Very high transfer dependency","1988","Employed","Urban Area","10","","",""
"Very high transfer dependency","1988","Employed","Rural Area","6","","",""
"Very low transfer dependency","1989","Not Employed","Urban Area","2485","0.922541166233098","0.912561021519589","0.932521310946607"
"Very low transfer dependency","1989","Not Employed","Rural Area","606","0.921317967464794","0.900900474468184","0.941735460461403"
"Very low transfer dependency","1989","Employed","Urban Area","4839","0.97162393270332","0.967023330902862","0.976224534503779"
"Very low transfer dependency","1989","Employed","Rural Area","1200","0.961918940026364","0.951274788576494","0.972563091476234"
"Low transfer dependency","1989","Not Employed","Urban Area","117","0.0275232893665028","0.0214153002130056","0.0336312785199999"
"Low transfer dependency","1989","Not Employed","Rural Area","20","","",""
"Low transfer dependency","1989","Employed","Urban Area","124","0.0201128844548622","0.0162231975619816","0.0240025713477428"
"Low transfer dependency","1989","Employed","Rural Area","29","","",""
"High transfer dependency","1989","Not Employed","Urban Area","51","0.0144263461696667","0.00997459171725231","0.018878100622081"
"High transfer dependency","1989","Not Employed","Rural Area","7","","",""
"High transfer dependency","1989","Employed","Urban Area","33","0.00740561215874501","0.00503010780855782","0.0097811165089322"
"High transfer dependency","1989","Employed","Rural Area","11","","",""
"Very high transfer dependency","1989","Not Employed","Urban Area","103","0.0355091982307323","0.028599995075319","0.0424184013861455"
"Very high transfer dependency","1989","Not Employed","Rural Area","35","0.0484263897214667","0.0321476004656261","0.0647051789773073"
"Very high transfer dependency","1989","Employed","Urban Area","8","","",""
"Very high transfer dependency","1989","Employed","Rural Area","2","","",""
"Very low transfer dependency","1990","Not Employed","Urban Area","2425","0.935492621662795","0.926144930717045","0.944840312608544"
"Very low transfer dependency","1990","Not Employed","Rural Area","608","0.923743420526556","0.903556113378391","0.943930727674721"
"Very low transfer dependency","1990","Employed","Urban Area","4755","0.972756422440049","0.968198319037029","0.977314525843068"
"Very low transfer dependency","1990","Employed","Rural Area","1214","0.969952173892954","0.96048059268193","0.979423755103978"
"Low transfer dependency","1990","Not Employed","Urban Area","95","0.0233648401053364","0.017616703901346","0.0291129763093268"
"Low transfer dependency","1990","Not Employed","Rural Area","29","","",""
"Low transfer dependency","1990","Employed","Urban Area","95","0.0163362545066245","0.0127868979532676","0.0198856110599814"
"Low transfer dependency","1990","Employed","Rural Area","28","","",""
"High transfer dependency","1990","Not Employed","Urban Area","47","0.0128738527256908","0.00858422047101324","0.0171634849803684"
"High transfer dependency","1990","Not Employed","Rural Area","7","","",""
"High transfer dependency","1990","Employed","Urban Area","39","0.0085776128523696","0.00599557483748024","0.0111596508672589"
"High transfer dependency","1990","Employed","Rural Area","6","","",""
"Very high transfer dependency","1990","Not Employed","Urban Area","86","0.0282686855061781","0.0219619390431265","0.0345754319692297"
"Very high transfer dependency","1990","Not Employed","Rural Area","20","","",""
"Very high transfer dependency","1990","Employed","Urban Area","11","","",""
"Very high transfer dependency","1990","Employed","Rural Area","","","",""
"Very low transfer dependency","1991","Not Employed","Urban Area","2351","0.926406659255356","0.916339152504969","0.936474166005743"
"Very low transfer dependency","1991","Not Employed","Rural Area","603","0.919282793443712","0.898641226634281","0.939924360253144"
"Very low transfer dependency","1991","Employed","Urban Area","4763","0.973842634673958","0.969377472829471","0.978307796518444"
"Very low transfer dependency","1991","Employed","Rural Area","1233","0.971955206895243","0.962878578377343","0.981031835413142"
"Low transfer dependency","1991","Not Employed","Urban Area","116","0.0335883142256745","0.0266416384967632","0.0405349899545857"
"Low transfer dependency","1991","Not Employed","Rural Area","25","","",""
"Low transfer dependency","1991","Employed","Urban Area","108","0.019298886560061","0.0154500428608286","0.0231477302592933"
"Low transfer dependency","1991","Employed","Rural Area","31","0.0206436032115741","0.0128266331367906","0.0284605732863576"
"High transfer dependency","1991","Not Employed","Urban Area","41","0.0121913815081029","0.00796017031534564","0.0164225927008601"
"High transfer dependency","1991","Not Employed","Rural Area","15","","",""
"High transfer dependency","1991","Employed","Urban Area","29","","",""
"High transfer dependency","1991","Employed","Rural Area","6","","",""
"Very high transfer dependency","1991","Not Employed","Urban Area","76","0.0278136450108667","0.0214734071574697","0.0341538828642638"
"Very high transfer dependency","1991","Not Employed","Rural Area","26","","",""
"Very high transfer dependency","1991","Employed","Urban Area","8","","",""
"Very high transfer dependency","1991","Employed","Rural Area","1","","",""
"Very low transfer dependency","1992","Not Employed","Urban Area","2588","0.926657180127042","0.917147562636213","0.936166797617872"
"Very low transfer dependency","1992","Not Employed","Rural Area","1169","0.908250709464226","0.892777278642563","0.923724140285889"
"Very low transfer dependency","1992","Employed","Urban Area","5655","0.966887736490139","0.962322453069797","0.971453019910481"
"Very low transfer dependency","1992","Employed","Rural Area","2840","0.933432954319221","0.924636822826777","0.942229085811665"
"Low transfer dependency","1992","Not Employed","Urban Area","144","0.0267222711115358","0.0208395294780918","0.0326050127449797"
"Low transfer dependency","1992","Not Employed","Rural Area","100","0.0430480701908581","0.0321686865333508","0.0539274538483655"
"Low transfer dependency","1992","Employed","Urban Area","183","0.0233542321803988","0.0195008985160013","0.0272075658447964"
"Low transfer dependency","1992","Employed","Rural Area","207","0.05357182908887","0.0456261215901401","0.0615175365875998"
"High transfer dependency","1992","Not Employed","Urban Area","56","0.0140413984675189","0.00974940333140413","0.0183333936036337"
"High transfer dependency","1992","Not Employed","Rural Area","31","0.020524890735763","0.0129247870663761","0.0281249944051499"
"High transfer dependency","1992","Employed","Urban Area","50","0.00818807107445756","0.00588879696366612","0.010487345185249"
"High transfer dependency","1992","Employed","Rural Area","29","","",""
"Very high transfer dependency","1992","Not Employed","Urban Area","99","0.0325791502939031","0.0261032180354831","0.0390550825523232"
"Very high transfer dependency","1992","Not Employed","Rural Area","37","0.028176329609153","0.019306437579533","0.037046221638773"
"Very high transfer dependency","1992","Employed","Urban Area","13","","",""
"Very high transfer dependency","1992","Employed","Rural Area","9","","",""
"Very low transfer dependency","1993","Not Employed","Urban Area","2572","0.911813201077023","0.901557842623226","0.92206855953082"
"Very low transfer dependency","1993","Not Employed","Rural Area","1213","0.877710190603875","0.861007686835615","0.894412694372135"
"Very low transfer dependency","1993","Employed","Urban Area","5507","0.962821074594218","0.957948118269128","0.967694030919307"
"Very low transfer dependency","1993","Employed","Rural Area","2605","0.918371018276409","0.908390448859142","0.928351587693675"
"Low transfer dependency","1993","Not Employed","Urban Area","180","0.0379033926351619","0.0309971075525497","0.0448096777177742"
"Low transfer dependency","1993","Not Employed","Rural Area","171","0.0667751810373473","0.0540486057452972","0.0795017563293974"
"Low transfer dependency","1993","Employed","Urban Area","207","0.0261664421628881","0.0220550773513531","0.0302778069744231"
"Low transfer dependency","1993","Employed","Rural Area","226","0.0614754357698057","0.052719598627275","0.0702312729123364"
"High transfer dependency","1993","Not Employed","Urban Area","68","0.0150297290046668","0.0106294192009275","0.0194300388084061"
"High transfer dependency","1993","Not Employed","Rural Area","41","0.0232255858460368","0.0155468213129164","0.0309043503791573"
"High transfer dependency","1993","Employed","Urban Area","59","0.00934051696261913","0.00686298671232172","0.0118180472129165"
"High transfer dependency","1993","Employed","Rural Area","44","0.0146998797623109","0.0103129043097667","0.0190868552148552"
"Very high transfer dependency","1993","Not Employed","Urban Area","117","0.0352536772831482","0.0285839988451089","0.0419233557211876"
"Very high transfer dependency","1993","Not Employed","Rural Area","53","0.032289042512741","0.0232772478683694","0.0413008371571125"
"Very high transfer dependency","1993","Employed","Urban Area","18","","",""
"Very high transfer dependency","1993","Employed","Rural Area","16","","",""
"Very low transfer dependency","1994","Not Employed","Urban Area","2633","0.897605827500828","0.886876520920027","0.908335134081629"
"Very low transfer dependency","1994","Not Employed","Rural Area","1248","0.884423329019526","0.868194975691853","0.9006516823472"
"Very low transfer dependency","1994","Employed","Urban Area","5220","0.955181750054444","0.949729478720413","0.960634021388474"
"Very low transfer dependency","1994","Employed","Rural Area","2528","0.917095234778906","0.90684710628926","0.927343363268552"
"Low transfer dependency","1994","Not Employed","Urban Area","216","0.0398193205332058","0.0328991848934047","0.0467394561730069"
"Low transfer dependency","1994","Not Employed","Rural Area","137","0.0562069295521897","0.0445161736642375","0.067897685440142"
"Low transfer dependency","1994","Employed","Urban Area","234","0.0312913804999957","0.026703459309703","0.0358793016902883"
"Low transfer dependency","1994","Employed","Rural Area","190","0.0552642641099332","0.0467719712217504","0.063756556998116"
"High transfer dependency","1994","Not Employed","Urban Area","83","0.019941447962516","0.014993836817406","0.024889059107626"
"High transfer dependency","1994","Not Employed","Rural Area","43","0.02138937435095","0.014045702311447","0.0287330463904531"
"High transfer dependency","1994","Employed","Urban Area","57","0.00976644043679914","0.0071749836065901","0.0123578972670082"
"High transfer dependency","1994","Employed","Rural Area","46","0.0179051302571283","0.0129766495573154","0.0228336109569412"
"Very high transfer dependency","1994","Not Employed","Urban Area","135","0.0426334040034503","0.0354834155088237","0.0497833924980768"
"Very high transfer dependency","1994","Not Employed","Rural Area","63","0.037980367077334","0.0282779304264652","0.0476828037282028"
"Very high transfer dependency","1994","Employed","Urban Area","21","","",""
"Very high transfer dependency","1994","Employed","Rural Area","17","","",""
"Very low transfer dependency","1995","Not Employed","Urban Area","2738","0.884352802871223","0.873308633388279","0.895396972354168"
"Very low transfer dependency","1995","Not Employed","Rural Area","1260","0.851234509334732","0.833609558161137","0.868859460508328"
"Very low transfer dependency","1995","Employed","Urban Area","5309","0.955091923499319","0.949671070553029","0.960512776445609"
"Very low transfer dependency","1995","Employed","Rural Area","2624","0.919998739609869","0.910102579118635","0.929894900101104"
"Low transfer dependency","1995","Not Employed","Urban Area","187","0.0347304445340191","0.0284073131754832","0.0410535758925551"
"Low transfer dependency","1995","Not Employed","Rural Area","162","0.0664209635448298","0.0540876337877866","0.078754293301873"
"Low transfer dependency","1995","Employed","Urban Area","222","0.0321718607098168","0.0275531578275941","0.0367905635920395"
"Low transfer dependency","1995","Employed","Rural Area","196","0.0600874188085097","0.051418594430064","0.0687562431869555"
"High transfer dependency","1995","Not Employed","Urban Area","92","0.0223613779641318","0.0172552559904743","0.0274674999377893"
"High transfer dependency","1995","Not Employed","Rural Area","53","0.024379669801338","0.0167411968935434","0.0320181427091327"
"High transfer dependency","1995","Employed","Urban Area","55","0.0101172234634562","0.00749780208224958","0.0127366448446628"
"High transfer dependency","1995","Employed","Rural Area","48","0.012788450147117","0.00868981962050688","0.016887080673727"
"Very high transfer dependency","1995","Not Employed","Urban Area","204","0.0585553746306258","0.0504470057017129","0.0666637435595387"
"Very high transfer dependency","1995","Not Employed","Rural Area","91","0.0579648573190999","0.0463912658059317","0.0695384488322682"
"Very high transfer dependency","1995","Employed","Urban Area","21","","",""
"Very high transfer dependency","1995","Employed","Rural Area","19","","",""
"Very low transfer dependency","1996","Not Employed","Urban Area","2571","0.868731497294033","0.856845920631371","0.880617073956696"
"Very low transfer dependency","1996","Not Employed","Rural Area","1170","0.833693647677083","0.81493133832783","0.852455957026335"
"Very low transfer dependency","1996","Employed","Urban Area","5208","0.951083557114631","0.945401232379018","0.956765881850244"
"Very low transfer dependency","1996","Employed","Rural Area","2601","0.915865796572563","0.905718943300704","0.926012649844422"
"Low transfer dependency","1996","Not Employed","Urban Area","223","0.0475877639651723","0.0400947362239386","0.0550807917064061"
"Low transfer dependency","1996","Not Employed","Rural Area","177","0.0805983419424992","0.0668818099067886","0.0943148739782097"
"Low transfer dependency","1996","Employed","Urban Area","229","0.0334025558428675","0.0286688425657051","0.03813626912003"
"Low transfer dependency","1996","Employed","Rural Area","207","0.064519809129653","0.0555394645454612","0.0735001537138448"
"High transfer dependency","1996","Not Employed","Urban Area","99","0.0259224898003319","0.020329650740457","0.0315153288602069"
"High transfer dependency","1996","Not Employed","Rural Area","74","0.0347571454479045","0.0255278409365422","0.0439864499592667"
"High transfer dependency","1996","Employed","Urban Area","80","0.0136258561579571","0.0105716945182022","0.0166800177977121"
"High transfer dependency","1996","Employed","Rural Area","53","0.0140539723015715","0.00975113144270383","0.0183568131604392"
"Very high transfer dependency","1996","Not Employed","Urban Area","208","0.0577582489404624","0.0495474505397281","0.0659690473411968"
"Very high transfer dependency","1996","Not Employed","Rural Area","92","0.0509508649325137","0.039870635420268","0.0620310944447593"
"Very high transfer dependency","1996","Employed","Urban Area","18","","",""
"Very high transfer dependency","1996","Employed","Rural Area","14","","",""
"Very low transfer dependency","1997","Not Employed","Urban Area","2579","0.855759423618559","0.843474723189189","0.868044124047929"
"Very low transfer dependency","1997","Not Employed","Rural Area","1186","0.807278378663217","0.787692581831709","0.826864175494725"
"Very low transfer dependency","1997","Employed","Urban Area","4921","0.934103326860764","0.927450206913771","0.940756446807757"
"Very low transfer dependency","1997","Employed","Rural Area","2445","0.888432545302956","0.876676309682263","0.900188780923649"
"Low transfer dependency","1997","Not Employed","Urban Area","261","0.0557815057719372","0.0477568507969286","0.0638061607469458"
"Low transfer dependency","1997","Not Employed","Rural Area","184","0.0847732943297241","0.0709421460734033","0.0986044425860448"
"Low transfer dependency","1997","Employed","Urban Area","315","0.0491619560885943","0.043364145789161","0.0549597663880276"
"Low transfer dependency","1997","Employed","Rural Area","231","0.077849549541163","0.0678445693577551","0.087854529724571"
"High transfer dependency","1997","Not Employed","Urban Area","105","0.0260089514518967","0.020443711355964","0.0315741915478294"
"High transfer dependency","1997","Not Employed","Rural Area","81","0.0458794517981908","0.0354904194419987","0.056268484154383"
"High transfer dependency","1997","Employed","Urban Area","73","0.0124740294740535","0.00949774941227896","0.015450309535828"
"High transfer dependency","1997","Employed","Rural Area","61","0.0251621186693875","0.0193138530268949","0.03101038431188"
"Very high transfer dependency","1997","Not Employed","Urban Area","197","0.0624501191576069","0.053989369835316","0.0709108684798977"
"Very high transfer dependency","1997","Not Employed","Rural Area","107","0.0620688752088683","0.050088048791679","0.0740497016260575"
"Very high transfer dependency","1997","Employed","Urban Area","33","0.00426068757658803","0.00251402578162821","0.00600734937154784"
"Very high transfer dependency","1997","Employed","Rural Area","18","","",""
"Very low transfer dependency","1998","Not Employed","Urban Area","2966","0.855768929768403","0.84428777576422","0.867250083772587"
"Very low transfer dependency","1998","Not Employed","Rural Area","1396","0.825857120990725","0.808298742465339","0.843415499516111"
"Very low transfer dependency","1998","Employed","Urban Area","5378","0.939555858913822","0.933413326524102","0.945698391303542"
"Very low transfer dependency","1998","Employed","Rural Area","2701","0.898560691338547","0.887824974342083","0.909296408335011"
"Low transfer dependency","1998","Not Employed","Urban Area","277","0.0511132775082488","0.0439162705611037","0.0583102844553938"
"Low transfer dependency","1998","Not Employed","Rural Area","233","0.0935737379261964","0.080089626971699","0.107057848880694"
"Low transfer dependency","1998","Employed","Urban Area","292","0.0432306715586302","0.0379885310116586","0.0484728121056017"
"Low transfer dependency","1998","Employed","Rural Area","249","0.0718276231834206","0.0626461097552169","0.0810091366116242"
"High transfer dependency","1998","Not Employed","Urban Area","117","0.0264730912305166","0.0212267784373044","0.0317194040237289"
"High transfer dependency","1998","Not Employed","Rural Area","56","0.0194090770339138","0.0130216571689576","0.0257964968988701"
"High transfer dependency","1998","Employed","Urban Area","87","0.0139600229724359","0.0109359005012471","0.0169841454436246"
"High transfer dependency","1998","Employed","Rural Area","63","0.0200556970521529","0.0150705981047503","0.0250407959995554"
"Very high transfer dependency","1998","Not Employed","Urban Area","237","0.0666447014928314","0.0584942027595428","0.0747952002261201"
"Very high transfer dependency","1998","Not Employed","Rural Area","107","0.061160064049165","0.0500655360198415","0.0722545920784884"
"Very high transfer dependency","1998","Employed","Urban Area","25","","",""
"Very high transfer dependency","1998","Employed","Rural Area","25","","",""
"Very low transfer dependency","1999","Not Employed","Urban Area","2734","0.87297075096147","0.861529038525277","0.884412463397664"
"Very low transfer dependency","1999","Not Employed","Rural Area","1328","0.843092928294212","0.825695633405868","0.860490223182555"
"Very low transfer dependency","1999","Employed","Urban Area","5339","0.943136328648386","0.937139090825619","0.949133566471153"
"Very low transfer dependency","1999","Employed","Rural Area","2648","0.891316577094414","0.880184708510005","0.902448445678823"
"Low transfer dependency","1999","Not Employed","Urban Area","254","0.0549982063380876","0.0471651744211267","0.0628312382550485"
"Low transfer dependency","1999","Not Employed","Rural Area","173","0.0666593211125714","0.0547284189761283","0.0785902232490146"
"Low transfer dependency","1999","Employed","Urban Area","283","0.0401413661428244","0.035058059617076","0.0452246726685728"
"Low transfer dependency","1999","Employed","Rural Area","268","0.0804527037955277","0.070724609248093","0.0901807983429624"
"High transfer dependency","1999","Not Employed","Urban Area","96","0.022773224472516","0.0176475707941642","0.0278988781508677"
"High transfer dependency","1999","Not Employed","Rural Area","66","0.0238953762622549","0.0165902476795851","0.0312005048449247"
"High transfer dependency","1999","Employed","Urban Area","88","0.0137158367757537","0.0107038104018294","0.016727863149678"
"High transfer dependency","1999","Employed","Rural Area","66","0.0214123672646859","0.0162350756423123","0.0265896588870595"
"Very high transfer dependency","1999","Not Employed","Urban Area","170","0.049257818227926","0.0418223506543583","0.0566932858014937"
"Very high transfer dependency","1999","Not Employed","Rural Area","112","0.066352374330962","0.054447015887432","0.078257732774492"
"Very high transfer dependency","1999","Employed","Urban Area","18","","",""
"Very high transfer dependency","1999","Employed","Rural Area","21","","",""
"Very low transfer dependency","2000","Not Employed","Urban Area","5091","0.87843924131017","0.870139591409355","0.886738891210984"
"Very low transfer dependency","2000","Not Employed","Rural Area","2470","0.846028016897233","0.833202298198331","0.858853735596135"
"Very low transfer dependency","2000","Employed","Urban Area","9266","0.941543586921015","0.936923658725616","0.946163515116414"
"Very low transfer dependency","2000","Employed","Rural Area","4618","0.899755530186401","0.891576992013157","0.907934068359645"
"Low transfer dependency","2000","Not Employed","Urban Area","390","0.0498663406932767","0.0443378916643069","0.0553947897222465"
"Low transfer dependency","2000","Not Employed","Rural Area","279","0.0731117195690016","0.063860996481628","0.0823624426563752"
"Low transfer dependency","2000","Employed","Urban Area","465","0.0400708767434045","0.0362086929638008","0.0439330605230082"
"Low transfer dependency","2000","Employed","Rural Area","420","0.073607968003442","0.0664967657453981","0.0807191702614859"
"High transfer dependency","2000","Not Employed","Urban Area","131","0.0181718762386326","0.0147793374077338","0.0215644150695314"
"High transfer dependency","2000","Not Employed","Rural Area","117","0.029158125175162","0.0231792080405383","0.0351370423097856"
"High transfer dependency","2000","Employed","Urban Area","114","0.0117132834731464","0.00959453337761526","0.0138320335686775"
"High transfer dependency","2000","Employed","Rural Area","106","0.018886277818052","0.0151793334102482","0.0225932222258558"
"Very high transfer dependency","2000","Not Employed","Urban Area","343","0.0535225417579209","0.047806035141704","0.0592390483741379"
"Very high transfer dependency","2000","Not Employed","Rural Area","176","0.0517021383586036","0.043833580826873","0.0595706958903342"
"Very high transfer dependency","2000","Employed","Urban Area","61","0.00667225286243419","0.00506907590888932","0.00827542981597905"
"Very high transfer dependency","2000","Employed","Rural Area","36","0.00775022399210503","0.00536213315033202","0.010138314833878"
"Very low transfer dependency","2001","Not Employed","Urban Area","4546","0.876039504284872","0.867167665247748","0.884911343321995"
"Very low transfer dependency","2001","Not Employed","Rural Area","2252","0.852282690946633","0.839064483113036","0.865500898780229"
"Very low transfer dependency","2001","Employed","Urban Area","8523","0.935430021174908","0.930392684755963","0.940467357593854"
"Very low transfer dependency","2001","Employed","Rural Area","4107","0.896011134824133","0.887266757422418","0.904755512225848"
"Low transfer dependency","2001","Not Employed","Urban Area","340","0.0499196757221728","0.0440565906460391","0.0557827607983064"
"Low transfer dependency","2001","Not Employed","Rural Area","263","0.0685869504769121","0.0591711563532374","0.0780027446005867"
"Low transfer dependency","2001","Employed","Urban Area","434","0.0426042962127142","0.0384647530316316","0.0467438393937967"
"Low transfer dependency","2001","Employed","Rural Area","428","0.0726076770853692","0.0651740325495824","0.080041321621156"
"High transfer dependency","2001","Not Employed","Urban Area","131","0.0209214222011911","0.0170682844785957","0.0247745599237864"
"High transfer dependency","2001","Not Employed","Rural Area","88","0.0215170661174506","0.0161115993336351","0.026922532901266"
"High transfer dependency","2001","Employed","Urban Area","127","0.0147912123821252","0.0123169485474285","0.0172654762168219"
"High transfer dependency","2001","Employed","Rural Area","97","0.0186320499410615","0.0147583584868052","0.0225057413953178"
"Very high transfer dependency","2001","Not Employed","Urban Area","283","0.0531193977917647","0.047081519736624","0.0591572758469054"
"Very high transfer dependency","2001","Not Employed","Rural Area","165","0.0576132924590049","0.0489328678124797","0.0662937171055301"
"Very high transfer dependency","2001","Employed","Urban Area","60","0.00717447023025231","0.00544460858572921","0.00890433187477542"
"Very high transfer dependency","2001","Employed","Rural Area","49","0.012749138149436","0.00953523381900285","0.0159630424798692"
"Very low transfer dependency","2002","Not Employed","Urban Area","4711","0.859189673004264","0.849950123207025","0.868429222801503"
"Very low transfer dependency","2002","Not Employed","Rural Area","2309","0.839550986513459","0.825944398079208","0.853157574947711"
"Very low transfer dependency","2002","Employed","Urban Area","9358","0.930692368168925","0.925698262106222","0.935686474231629"
"Very low transfer dependency","2002","Employed","Rural Area","4301","0.885782733545669","0.87679199542755","0.894773471663788"
"Low transfer dependency","2002","Not Employed","Urban Area","300","0.0495981885988992","0.0438308484221913","0.0553655287756071"
"Low transfer dependency","2002","Not Employed","Rural Area","234","0.0715167205249114","0.0619635391313271","0.0810699019184956"
"Low transfer dependency","2002","Employed","Urban Area","412","0.0465248924190648","0.0423833556276489","0.0506664292104807"
"Low transfer dependency","2002","Employed","Rural Area","381","0.0832169618707902","0.0754095862455306","0.0910243374960497"
"High transfer dependency","2002","Not Employed","Urban Area","147","0.0315729002514052","0.0269279642085143","0.0362178362942961"
"High transfer dependency","2002","Not Employed","Rural Area","92","0.0297534416959475","0.0234545107817881","0.036052372610107"
"High transfer dependency","2002","Employed","Urban Area","129","0.0185980568178968","0.0159414860031055","0.0212546276326881"
"High transfer dependency","2002","Employed","Rural Area","91","0.0233738416937989","0.0191031808130456","0.0276445025745523"
"Very high transfer dependency","2002","Not Employed","Urban Area","286","0.0596392381454318","0.0533484896005874","0.0659299866902761"
