"year","bula_h","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1985","Bremen","Female","59.3","59.3","62","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Bremen","Male","59.3","59.3","54","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Hamburg","Female","59.3","59.3","141","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Hamburg","Male","59.3","59.3","140","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Hesse","Female","59.3","59.3","566","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Hesse","Male","59.3","59.3","573","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Lower Saxony","Female","59.3","59.3","567","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Lower Saxony","Male","59.3","59.3","541","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Mecklenburg-Western Pomerania","Female","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","Male","","","","","","","","",""
"1985","North Rhine-Westphalia","Female","59.3","59.3","1500","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","North Rhine-Westphalia","Male","59.3","59.3","1474","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Rhineland-Palatinate,Saarland","Female","59.3","59.3","391","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Rhineland-Palatinate,Saarland","Male","59.3","59.3","384","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Saxony","Female","","","","","","","","",""
"1985","Saxony","Male","","","","","","","","",""
"1985","Saxony-Anhalt","Female","","","","","","","","",""
"1985","Saxony-Anhalt","Male","","","","","","","","",""
"1985","Schleswig-Holstein","Female","59.3","59.3","183","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Schleswig-Holstein","Male","59.3","59.3","171","59.3","59.3","59.2999992370605","59.2999992370605","59.2999992370605","59.2999992370605"
"1985","Thuringia","Female","","","","","","","","",""
"1985","Thuringia","Male","","","","","","","","",""
"1986","Baden-Württemberg","Female","60.6","60.6","991","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Baden-Württemberg","Male","60.6","60.6","1016","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Bavaria","Female","60.6","60.6","930","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Bavaria","Male","60.6","60.6","856","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Berlin","Female","60.6","60.6","178","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Berlin","Male","60.6","60.6","177","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Brandenburg","Female","","","","","","","","",""
"1986","Brandenburg","Male","","","","","","","","",""
"1986","Bremen","Female","60.6","60.6","59","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Bremen","Male","60.6","60.6","50","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Hamburg","Female","60.6","60.6","128","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Hamburg","Male","60.6","60.6","128","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Hesse","Female","60.6","60.6","526","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Hesse","Male","60.6","60.6","527","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Lower Saxony","Female","60.6","60.6","569","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Lower Saxony","Male","60.6","60.6","542","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Mecklenburg-Western Pomerania","Female","","","","","","","","",""
"1986","Mecklenburg-Western Pomerania","Male","","","","","","","","",""
"1986","North Rhine-Westphalia","Female","60.6","60.6","1438","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","North Rhine-Westphalia","Male","60.6","60.6","1432","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Rhineland-Palatinate,Saarland","Female","60.6","60.6","393","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Rhineland-Palatinate,Saarland","Male","60.6","60.6","379","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Saxony","Female","","","","","","","","",""
"1986","Saxony","Male","","","","","","","","",""
"1986","Saxony-Anhalt","Female","","","","","","","","",""
"1986","Saxony-Anhalt","Male","","","","","","","","",""
"1986","Schleswig-Holstein","Female","60.6","60.6","165","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Schleswig-Holstein","Male","60.6","60.6","159","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1986","Thuringia","Female","","","","","","","","",""
"1986","Thuringia","Male","","","","","","","","",""
"1987","Baden-Württemberg","Female","60.5","60.5","986","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Baden-Württemberg","Male","60.5","60.5","993","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Bavaria","Female","60.5","60.5","901","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Bavaria","Male","60.5","60.5","834","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Berlin","Female","60.5","60.5","183","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Berlin","Male","60.5","60.5","182","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Brandenburg","Female","","","","","","","","",""
"1987","Brandenburg","Male","","","","","","","","",""
"1987","Bremen","Female","60.5","60.5","54","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Bremen","Male","60.5","60.5","47","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Hamburg","Female","60.5","60.5","113","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Hamburg","Male","60.5","60.5","113","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Hesse","Female","60.5","60.5","529","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Hesse","Male","60.5","60.5","533","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Lower Saxony","Female","60.5","60.5","568","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Lower Saxony","Male","60.5","60.5","541","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Mecklenburg-Western Pomerania","Female","","","","","","","","",""
"1987","Mecklenburg-Western Pomerania","Male","","","","","","","","",""
"1987","North Rhine-Westphalia","Female","60.5","60.5","1413","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","North Rhine-Westphalia","Male","60.5","60.5","1426","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Rhineland-Palatinate,Saarland","Female","60.5","60.5","390","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Rhineland-Palatinate,Saarland","Male","60.5","60.5","381","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Saxony","Female","","","","","","","","",""
"1987","Saxony","Male","","","","","","","","",""
"1987","Saxony-Anhalt","Female","","","","","","","","",""
"1987","Saxony-Anhalt","Male","","","","","","","","",""
"1987","Schleswig-Holstein","Female","60.5","60.5","170","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Schleswig-Holstein","Male","60.5","60.5","156","60.5","60.5","60.5","60.5","60.5","60.5"
"1987","Thuringia","Female","","","","","","","","",""
"1987","Thuringia","Male","","","","","","","","",""
"1988","Baden-Württemberg","Female","60.6","60.6","941","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Baden-Württemberg","Male","60.6","60.6","960","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Bavaria","Female","60.6","60.6","856","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Bavaria","Male","60.6","60.6","801","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Berlin","Female","60.6","60.6","168","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Berlin","Male","60.6","60.6","168","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Brandenburg","Female","","","","","","","","",""
"1988","Brandenburg","Male","","","","","","","","",""
"1988","Bremen","Female","60.6","60.6","56","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Bremen","Male","60.6","60.6","44","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Hamburg","Female","60.6","60.6","105","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Hamburg","Male","60.6","60.6","98","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Hesse","Female","60.6","60.6","506","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Hesse","Male","60.6","60.6","499","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Lower Saxony","Female","60.6","60.6","538","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Lower Saxony","Male","60.6","60.6","513","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Mecklenburg-Western Pomerania","Female","","","","","","","","",""
"1988","Mecklenburg-Western Pomerania","Male","","","","","","","","",""
"1988","North Rhine-Westphalia","Female","60.6","60.6","1351","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","North Rhine-Westphalia","Male","60.6","60.6","1354","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Rhineland-Palatinate,Saarland","Female","60.6","60.6","381","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Rhineland-Palatinate,Saarland","Male","60.6","60.6","359","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Saxony","Female","","","","","","","","",""
"1988","Saxony","Male","","","","","","","","",""
"1988","Saxony-Anhalt","Female","","","","","","","","",""
"1988","Saxony-Anhalt","Male","","","","","","","","",""
"1988","Schleswig-Holstein","Female","60.6","60.6","166","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Schleswig-Holstein","Male","60.6","60.6","158","60.6","60.6","60.5999984741211","60.5999984741211","60.5999984741211","60.5999984741211"
"1988","Thuringia","Female","","","","","","","","",""
"1988","Thuringia","Male","","","","","","","","",""
"1989","Baden-Württemberg","Female","61.4","61.4","909","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Baden-Württemberg","Male","61.4","61.4","914","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Bavaria","Female","61.4","61.4","833","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Bavaria","Male","61.4","61.4","787","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Berlin","Female","61.4","61.4","171","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Berlin","Male","61.4","61.4","161","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Brandenburg","Female","","","","","","","","",""
"1989","Brandenburg","Male","","","","","","","","",""
"1989","Bremen","Female","61.4","61.4","58","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Bremen","Male","61.4","61.4","50","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Hamburg","Female","61.4","61.4","100","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Hamburg","Male","61.4","61.4","97","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Hesse","Female","61.4","61.4","501","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Hesse","Male","61.4","61.4","497","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Lower Saxony","Female","61.4","61.4","517","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Lower Saxony","Male","61.4","61.4","485","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Mecklenburg-Western Pomerania","Female","","","","","","","","",""
"1989","Mecklenburg-Western Pomerania","Male","","","","","","","","",""
"1989","North Rhine-Westphalia","Female","61.4","61.4","1326","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","North Rhine-Westphalia","Male","61.4","61.4","1303","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Rhineland-Palatinate,Saarland","Female","61.4","61.4","358","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Rhineland-Palatinate,Saarland","Male","61.4","61.4","338","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Saxony","Female","","","","","","","","",""
"1989","Saxony","Male","","","","","","","","",""
"1989","Saxony-Anhalt","Female","","","","","","","","",""
"1989","Saxony-Anhalt","Male","","","","","","","","",""
"1989","Schleswig-Holstein","Female","61.4","61.4","155","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Schleswig-Holstein","Male","61.4","61.4","149","61.4","61.4","61.4000015258789","61.4000015258789","61.4000015258789","61.4000015258789"
"1989","Thuringia","Female","","","","","","","","",""
"1989","Thuringia","Male","","","","","","","","",""
"1990","Baden-Württemberg","Female","63.1","63.1","896","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Baden-Württemberg","Male","63.1","63.1","908","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Bavaria","Female","63.1","63.1","818","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Bavaria","Male","63.1","63.1","790","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Berlin","Female","63.1","63.1","176","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Berlin","Male","63.1","63.1","155","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Brandenburg","Female","","","","","","","","",""
"1990","Brandenburg","Male","","","","","","","","",""
"1990","Bremen","Female","63.1","63.1","56","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Bremen","Male","63.1","63.1","47","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Hamburg","Female","63.1","63.1","88","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Hamburg","Male","63.1","63.1","81","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Hesse","Female","63.1","63.1","495","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Hesse","Male","63.1","63.1","493","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Lower Saxony","Female","63.1","63.1","496","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Lower Saxony","Male","63.1","63.1","486","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Mecklenburg-Western Pomerania","Female","","","","","","","","",""
"1990","Mecklenburg-Western Pomerania","Male","","","","","","","","",""
"1990","North Rhine-Westphalia","Female","63.1","63.1","1305","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","North Rhine-Westphalia","Male","63.1","63.1","1270","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Rhineland-Palatinate,Saarland","Female","63.1","63.1","351","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Rhineland-Palatinate,Saarland","Male","63.1","63.1","322","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Saxony","Female","","","","","","","","",""
"1990","Saxony","Male","","","","","","","","",""
"1990","Saxony-Anhalt","Female","","","","","","","","",""
"1990","Saxony-Anhalt","Male","","","","","","","","",""
"1990","Schleswig-Holstein","Female","63.1","63.1","146","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Schleswig-Holstein","Male","63.1","63.1","138","63.1","63.1","63.0999984741211","63.0999984741211","63.0999984741211","63.0999984741211"
"1990","Thuringia","Female","","","","","","","","",""
"1990","Thuringia","Male","","","","","","","","",""
"1991","Baden-Württemberg","Female","64.8","64.8","909","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Baden-Württemberg","Male","64.8","64.8","904","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Bavaria","Female","64.8","64.8","811","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Bavaria","Male","64.8","64.8","802","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Berlin","Female","64.8","64.8","181","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Berlin","Male","64.8","64.8","159","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Brandenburg","Female","","","","","","","","",""
"1991","Brandenburg","Male","","","","","","","","",""
"1991","Bremen","Female","64.8","64.8","52","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Bremen","Male","64.8","64.8","45","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Hamburg","Female","64.8","64.8","85","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Hamburg","Male","64.8","64.8","77","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Hesse","Female","64.8","64.8","484","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Hesse","Male","64.8","64.8","488","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Lower Saxony","Female","64.8","64.8","499","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Lower Saxony","Male","64.8","64.8","479","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Mecklenburg-Western Pomerania","Female","","","","","","","","",""
"1991","Mecklenburg-Western Pomerania","Male","","","","","","","","",""
"1991","North Rhine-Westphalia","Female","64.8","64.8","1303","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","North Rhine-Westphalia","Male","64.8","64.8","1259","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Rhineland-Palatinate,Saarland","Female","64.8","64.8","350","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Rhineland-Palatinate,Saarland","Male","64.8","64.8","319","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Saxony","Female","","","","","","","","",""
"1991","Saxony","Male","","","","","","","","",""
"1991","Saxony-Anhalt","Female","","","","","","","","",""
"1991","Saxony-Anhalt","Male","","","","","","","","",""
"1991","Schleswig-Holstein","Female","64.8","64.8","151","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Schleswig-Holstein","Male","64.8","64.8","148","64.8","64.8","64.8000030517578","64.8000030517578","64.8000030517578","64.8000030517578"
"1991","Thuringia","Female","","","","","","","","",""
"1991","Thuringia","Male","","","","","","","","",""
"1992","Baden-Württemberg","Female","67.2","67.2","890","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Baden-Württemberg","Male","67.2","67.2","883","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Bavaria","Female","67.2","67.2","831","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Bavaria","Male","67.2","67.2","818","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Berlin","Female","63.55","67.2","322","62.99","64.11","57","57","67.1999969482422","67.1999969482422"
"1992","Berlin","Male","63.12","67.2","281","62.52","63.72","57","57","67.1999969482422","67.1999969482422"
"1992","Brandenburg","Female","57","57","348","57","57","57","57","57","57"
"1992","Brandenburg","Male","57","57","320","57","57","57","57","57","57"
"1992","Bremen","Female","67.2","67.2","50","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Bremen","Male","67.2","67.2","43","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Hamburg","Female","67.2","67.2","85","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Hamburg","Male","67.2","67.2","68","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Hesse","Female","67.2","67.2","487","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Hesse","Male","67.2","67.2","473","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Lower Saxony","Female","67.2","67.2","496","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Lower Saxony","Male","67.2","67.2","479","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Mecklenburg-Western Pomerania","Female","57","57","210","57","57","57","57","57","57"
"1992","Mecklenburg-Western Pomerania","Male","57","57","208","57","57","57","57","57","57"
"1992","North Rhine-Westphalia","Female","67.2","67.2","1298","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","North Rhine-Westphalia","Male","67.2","67.2","1242","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Rhineland-Palatinate,Saarland","Female","67.2","67.2","348","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Rhineland-Palatinate,Saarland","Male","67.2","67.2","312","67.2","67.2","67.1999969482422","67.1999969482422","67.1999969482422","67.1999969482422"
"1992","Saxony","Female","57","57","627","57","57","57","57","57","57"
"1992","Saxony","Male","57","57","538","57","57","57","57","57","57"
"1992","Saxony-Anhalt","Female","57","57","409","57","57","57","57","57","57"
"1992","Saxony-Anhalt","Male","57","57","370","57","57","57","57","57","57"
