"pli0092_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","1985","general elemantary","2094","0.71140334582137","0.695296336989058","0.727510354653681"
"Never","1985","middle vocational","2903","0.575992353184779","0.56247294557233","0.589511760797229"
"Never","1985","vocational + Abi","125","0.41768534907637","0.359183411915058","0.476187286237683"
"Never","1985","higher vocational","289","0.490993511827206","0.451418833865793","0.530568189788619"
"Never","1985","higher education","255","0.357004029114831","0.322714766649682","0.39129329157998"
"Daily","1986","in school","","","",""
"Daily","1986","inadequately","","","",""
"Daily","1986","general elemantary","","","",""
"Daily","1986","middle vocational","","","",""
"Daily","1986","vocational + Abi","","","",""
"Daily","1986","higher vocational","","","",""
"Daily","1986","higher education","","","",""
"Min 1x per week","1986","in school","121","0.659826867253713","0.591741055231718","0.727912679275707"
"Min 1x per week","1986","inadequately","57","0.134954994334038","0.110992258159699","0.158917730508377"
"Min 1x per week","1986","general elemantary","541","0.172187891056242","0.158416053547095","0.185959728565389"
"Min 1x per week","1986","middle vocational","1244","0.247221639708461","0.235225704765307","0.259217574651614"
"Min 1x per week","1986","vocational + Abi","88","0.332609505385801","0.277025365896776","0.388193644874826"
"Min 1x per week","1986","higher vocational","167","0.281241252374076","0.244331447742288","0.318151057005865"
"Min 1x per week","1986","higher education","300","0.387972686118394","0.353005180336227","0.422940191900561"
"Min 1x per month","1986","in school","6","","",""
"Min 1x per month","1986","inadequately","15","","",""
"Min 1x per month","1986","general elemantary","121","0.0377061405444104","0.0307577439730768","0.0446545371157441"
"Min 1x per month","1986","middle vocational","299","0.0552660940075404","0.0489121785168114","0.0616200094982693"
"Min 1x per month","1986","vocational + Abi","18","","",""
"Min 1x per month","1986","higher vocational","35","0.0500113532277348","0.0321174875166621","0.0679052189388076"
"Min 1x per month","1986","higher education","67","0.0904135661860801","0.0698348885412957","0.110992243830864"
"Rarely","1986","in school","33","0.157843734894524","0.105447312426558","0.21024015736249"
"Rarely","1986","inadequately","50","0.0662915459977269","0.0488430783195768","0.0837400136758769"
"Rarely","1986","general elemantary","261","0.0802437092578513","0.0703338706778426","0.09015354783786"
"Rarely","1986","middle vocational","675","0.128235844493858","0.118938444415736","0.13753324457198"
"Rarely","1986","vocational + Abi","47","0.188897698930297","0.142718680171666","0.235076717688929"
"Rarely","1986","higher vocational","92","0.164794928156445","0.134338487642845","0.195251368670044"
"Rarely","1986","higher education","110","0.142496874469283","0.117412735252708","0.167581013685857"
"Never","1986","in school","26","","",""
"Never","1986","inadequately","659","0.778084286211577","0.748941576913495","0.807226995509658"
"Never","1986","general elemantary","1964","0.709862259141496","0.693307843500182","0.726416674782811"
"Never","1986","middle vocational","2750","0.569276421790141","0.555506920254911","0.583045923325372"
"Never","1986","vocational + Abi","123","0.392592124222205","0.334981238679023","0.450203009765386"
"Never","1986","higher vocational","276","0.503952466241744","0.462906819979372","0.544998112504116"
"Never","1986","higher education","269","0.379116873226243","0.344301571528107","0.41393217492438"
"Daily","1987","in school","","","",""
"Daily","1987","inadequately","","","",""
"Daily","1987","general elemantary","","","",""
"Daily","1987","middle vocational","","","",""
"Daily","1987","vocational + Abi","","","",""
"Daily","1987","higher vocational","","","",""
"Daily","1987","higher education","","","",""
"Min 1x per week","1987","in school","","","",""
"Min 1x per week","1987","inadequately","","","",""
"Min 1x per week","1987","general elemantary","","","",""
"Min 1x per week","1987","middle vocational","","","",""
"Min 1x per week","1987","vocational + Abi","","","",""
"Min 1x per week","1987","higher vocational","","","",""
"Min 1x per week","1987","higher education","","","",""
"Min 1x per month","1987","in school","","","",""
"Min 1x per month","1987","inadequately","","","",""
"Min 1x per month","1987","general elemantary","","","",""
"Min 1x per month","1987","middle vocational","","","",""
"Min 1x per month","1987","vocational + Abi","","","",""
"Min 1x per month","1987","higher vocational","","","",""
"Min 1x per month","1987","higher education","","","",""
"Rarely","1987","in school","","","",""
"Rarely","1987","inadequately","","","",""
"Rarely","1987","general elemantary","","","",""
"Rarely","1987","middle vocational","","","",""
"Rarely","1987","vocational + Abi","","","",""
"Rarely","1987","higher vocational","","","",""
"Rarely","1987","higher education","","","",""
"Never","1987","in school","","","",""
"Never","1987","inadequately","","","",""
"Never","1987","general elemantary","","","",""
"Never","1987","middle vocational","","","",""
"Never","1987","vocational + Abi","","","",""
"Never","1987","higher vocational","","","",""
"Never","1987","higher education","","","",""
"Daily","1988","in school","","","",""
"Daily","1988","inadequately","","","",""
"Daily","1988","general elemantary","","","",""
"Daily","1988","middle vocational","","","",""
"Daily","1988","vocational + Abi","","","",""
"Daily","1988","higher vocational","","","",""
"Daily","1988","higher education","","","",""
"Min 1x per week","1988","in school","116","0.70982393395022","0.639720181235252","0.779927686665188"
"Min 1x per week","1988","inadequately","45","0.105020260068439","0.0822927086012277","0.127747811535651"
"Min 1x per week","1988","general elemantary","523","0.175671432354017","0.16133620088761","0.190006663820423"
"Min 1x per week","1988","middle vocational","1170","0.2467973298784","0.234468616995873","0.259126042760928"
"Min 1x per week","1988","vocational + Abi","81","0.316983173214003","0.261482274602085","0.372484071825922"
"Min 1x per week","1988","higher vocational","160","0.283943975553013","0.2458066021514","0.322081348954627"
"Min 1x per week","1988","higher education","283","0.393896374649635","0.357674248742836","0.430118500556433"
"Min 1x per month","1988","in school","9","","",""
"Min 1x per month","1988","inadequately","13","","",""
"Min 1x per month","1988","general elemantary","121","0.0352906623204484","0.0283399052718494","0.0422414193690474"
"Min 1x per month","1988","middle vocational","275","0.0579939264746027","0.0513103381290322","0.0646775148201731"
"Min 1x per month","1988","vocational + Abi","17","","",""
"Min 1x per month","1988","higher vocational","37","0.0688594719916237","0.0474428778207913","0.090276066162456"
"Min 1x per month","1988","higher education","45","0.0681555153478338","0.0494731558116437","0.0868378748840238"
"Rarely","1988","in school","14","","",""
"Rarely","1988","inadequately","33","0.0731420237086055","0.0538401448694974","0.0924439025477135"
"Rarely","1988","general elemantary","268","0.0856683622589592","0.07512531704193","0.0962114074759884"
"Rarely","1988","middle vocational","714","0.146535150312342","0.136422725362499","0.156647575262186"
"Rarely","1988","vocational + Abi","48","0.197319271184653","0.149848927233907","0.244789615135398"
"Rarely","1988","higher vocational","103","0.176353806669","0.144119100543793","0.208588512794206"
"Rarely","1988","higher education","130","0.177377610412632","0.149059832856671","0.205695387968593"
"Never","1988","in school","22","","",""
"Never","1988","inadequately","608","0.799294903181799","0.769602713543876","0.828987092819722"
"Never","1988","general elemantary","1795","0.703369543066576","0.68616260431169","0.720576481821461"
"Never","1988","middle vocational","2539","0.548673593334654","0.534443950923976","0.562903235745333"
"Never","1988","vocational + Abi","124","0.41304689807439","0.354315871438125","0.471777924710656"
"Never","1988","higher vocational","237","0.470842745786363","0.428625366803672","0.513060124769055"
"Never","1988","higher education","241","0.3605704995899","0.324974521288345","0.396166477891454"
"Daily","1989","in school","","","",""
"Daily","1989","inadequately","","","",""
"Daily","1989","general elemantary","","","",""
"Daily","1989","middle vocational","","","",""
"Daily","1989","vocational + Abi","","","",""
"Daily","1989","higher vocational","","","",""
"Daily","1989","higher education","","","",""
"Min 1x per week","1989","in school","","","",""
"Min 1x per week","1989","inadequately","","","",""
"Min 1x per week","1989","general elemantary","","","",""
"Min 1x per week","1989","middle vocational","","","",""
"Min 1x per week","1989","vocational + Abi","","","",""
"Min 1x per week","1989","higher vocational","","","",""
"Min 1x per week","1989","higher education","","","",""
"Min 1x per month","1989","in school","","","",""
"Min 1x per month","1989","inadequately","","","",""
"Min 1x per month","1989","general elemantary","","","",""
"Min 1x per month","1989","middle vocational","","","",""
"Min 1x per month","1989","vocational + Abi","","","",""
"Min 1x per month","1989","higher vocational","","","",""
"Min 1x per month","1989","higher education","","","",""
"Rarely","1989","in school","","","",""
"Rarely","1989","inadequately","","","",""
"Rarely","1989","general elemantary","","","",""
"Rarely","1989","middle vocational","","","",""
"Rarely","1989","vocational + Abi","","","",""
"Rarely","1989","higher vocational","","","",""
"Rarely","1989","higher education","","","",""
"Never","1989","in school","","","",""
"Never","1989","inadequately","","","",""
"Never","1989","general elemantary","","","",""
"Never","1989","middle vocational","","","",""
"Never","1989","vocational + Abi","","","",""
"Never","1989","higher vocational","","","",""
"Never","1989","higher education","","","",""
"Daily","1990","in school","17","","",""
"Daily","1990","inadequately","12","","",""
"Daily","1990","general elemantary","87","0.0271123716781441","0.0212684496470385","0.0329562937092497"
"Daily","1990","middle vocational","181","0.0316861019416005","0.0275830166731182","0.0357891872100827"
"Daily","1990","vocational + Abi","14","","",""
"Daily","1990","higher vocational","23","","",""
"Daily","1990","higher education","45","0.0438582779844575","0.0340397408110786","0.0536768151578365"
"Min 1x per week","1990","in school","108","0.619092321369912","0.550758643099702","0.687425999640123"
"Min 1x per week","1990","inadequately","34","0.0738957799552084","0.053628388567995","0.0941631713424217"
"Min 1x per week","1990","general elemantary","470","0.157808698268014","0.144690923723282","0.170926472812747"
"Min 1x per week","1990","middle vocational","1409","0.219908187599441","0.210206179972841","0.22961019522604"
"Min 1x per week","1990","vocational + Abi","119","0.36903497113752","0.32013048541263","0.417939456862409"
"Min 1x per week","1990","higher vocational","174","0.244850653971239","0.21429983744088","0.275401470501598"
"Min 1x per week","1990","higher education","439","0.301905047727259","0.279893412755714","0.323916682698803"
"Min 1x per month","1990","in school","19","","",""
"Min 1x per month","1990","inadequately","22","","",""
"Min 1x per month","1990","general elemantary","174","0.0529941261882915","0.0449333006454997","0.0610549517310832"
"Min 1x per month","1990","middle vocational","504","0.0807641723184473","0.0743816712381314","0.0871466733987632"
"Min 1x per month","1990","vocational + Abi","30","0.0821402846301755","0.054312505593522","0.109968063666829"
"Min 1x per month","1990","higher vocational","71","0.101239791048001","0.0798082549053342","0.122671327190667"
"Min 1x per month","1990","higher education","120","0.0843386253838093","0.0710144428833549","0.0976628078842638"
"Rarely","1990","in school","24","","",""
"Rarely","1990","inadequately","64","0.124263086422437","0.0987057258428314","0.149820447002043"
"Rarely","1990","general elemantary","430","0.136797145185225","0.124432425675476","0.149161864694975"
"Rarely","1990","middle vocational","1284","0.195993340537806","0.186694719838272","0.205291961237341"
"Rarely","1990","vocational + Abi","83","0.217883238005378","0.176046289829521","0.259720186181235"
"Rarely","1990","higher vocational","155","0.217592038522617","0.188276768852608","0.246907308192626"
"Rarely","1990","higher education","362","0.216492783498323","0.196745694719589","0.236239872277057"
"Never","1990","in school","26","","",""
"Never","1990","inadequately","508","0.727659120733651","0.693170286864531","0.762147954602772"
"Never","1990","general elemantary","1806","0.625287658680325","0.607870462446926","0.642704854913724"
"Never","1990","middle vocational","3623","0.471648197602705","0.459954853272391","0.483341541933019"
"Never","1990","vocational + Abi","128","0.290010650058999","0.244022580410863","0.335998719707135"
"Never","1990","higher vocational","338","0.39920341928183","0.364408437372139","0.433998401191521"
"Never","1990","higher education","705","0.353405265406151","0.330485379266885","0.376325151545418"
"Daily","1991","in school","","","",""
"Daily","1991","inadequately","","","",""
"Daily","1991","general elemantary","","","",""
"Daily","1991","middle vocational","","","",""
"Daily","1991","vocational + Abi","","","",""
"Daily","1991","higher vocational","","","",""
"Daily","1991","higher education","","","",""
"Min 1x per week","1991","in school","","","",""
"Min 1x per week","1991","inadequately","","","",""
"Min 1x per week","1991","general elemantary","","","",""
"Min 1x per week","1991","middle vocational","","","",""
"Min 1x per week","1991","vocational + Abi","","","",""
"Min 1x per week","1991","higher vocational","","","",""
"Min 1x per week","1991","higher education","","","",""
"Min 1x per month","1991","in school","","","",""
"Min 1x per month","1991","inadequately","","","",""
"Min 1x per month","1991","general elemantary","","","",""
"Min 1x per month","1991","middle vocational","","","",""
"Min 1x per month","1991","vocational + Abi","","","",""
"Min 1x per month","1991","higher vocational","","","",""
"Min 1x per month","1991","higher education","","","",""
"Rarely","1991","in school","","","",""
"Rarely","1991","inadequately","","","",""
"Rarely","1991","general elemantary","","","",""
"Rarely","1991","middle vocational","","","",""
"Rarely","1991","vocational + Abi","","","",""
"Rarely","1991","higher vocational","","","",""
"Rarely","1991","higher education","","","",""
"Never","1991","in school","","","",""
"Never","1991","inadequately","","","",""
"Never","1991","general elemantary","","","",""
"Never","1991","middle vocational","","","",""
"Never","1991","vocational + Abi","","","",""
"Never","1991","higher vocational","","","",""
"Never","1991","higher education","","","",""
"Daily","1992","in school","","","",""
"Daily","1992","inadequately","","","",""
"Daily","1992","general elemantary","","","",""
"Daily","1992","middle vocational","","","",""
"Daily","1992","vocational + Abi","","","",""
"Daily","1992","higher vocational","","","",""
"Daily","1992","higher education","","","",""
"Min 1x per week","1992","in school","117","0.66200992453436","0.593847276955987","0.730172572112732"
"Min 1x per week","1992","inadequately","47","0.0865754385548397","0.0644222390175095","0.10872863809217"
"Min 1x per week","1992","general elemantary","463","0.160592855179195","0.146857928128704","0.174327782229687"
"Min 1x per week","1992","middle vocational","1392","0.221210115998647","0.211212442728264","0.23120778926903"
"Min 1x per week","1992","vocational + Abi","119","0.348250807304985","0.300537994421407","0.395963620188563"
"Min 1x per week","1992","higher vocational","177","0.268137353717013","0.236642851743445","0.299631855690581"
"Min 1x per week","1992","higher education","444","0.315842967883835","0.293365736676334","0.338320199091335"
"Min 1x per month","1992","in school","12","","",""
"Min 1x per month","1992","inadequately","18","","",""
"Min 1x per month","1992","general elemantary","141","0.0421840759314917","0.0346645196680106","0.0497036321949728"
"Min 1x per month","1992","middle vocational","377","0.0579887058966546","0.0523589954229005","0.0636184163704086"
"Min 1x per month","1992","vocational + Abi","37","0.0964617274340606","0.0668952559444355","0.126028198923686"
"Min 1x per month","1992","higher vocational","54","0.0814685383225158","0.0620201653196585","0.100916911325373"
"Min 1x per month","1992","higher education","104","0.0798886129340066","0.0667789371150824","0.0929982887529308"
"Rarely","1992","in school","29","","",""
"Rarely","1992","inadequately","43","0.0671836247679593","0.0474624599343334","0.0869047896015852"
"Rarely","1992","general elemantary","352","0.111325165747238","0.0995587271509668","0.12309160434351"
"Rarely","1992","middle vocational","1123","0.16185200983678","0.152980333290783","0.170723686382777"
"Rarely","1992","vocational + Abi","82","0.213917527565411","0.17284930134492","0.254985753785901"
"Rarely","1992","higher vocational","157","0.19489831497752","0.166735847392233","0.223060782562808"
"Rarely","1992","higher education","362","0.195391851741365","0.176219528307577","0.214564175175153"
"Never","1992","in school","27","","",""
"Never","1992","inadequately","511","0.807144009011658","0.776063018726804","0.838224999296513"
"Never","1992","general elemantary","1789","0.685897903142074","0.668534211206585","0.703261595077564"
"Never","1992","middle vocational","3729","0.558949168267919","0.546989564897398","0.57090877163844"
"Never","1992","vocational + Abi","145","0.341369937695543","0.293882130577103","0.388857744813984"
"Never","1992","higher vocational","372","0.455495792982951","0.420089203164783","0.490902382801118"
"Never","1992","higher education","733","0.408876567440793","0.385104633867211","0.432648501014376"
"Daily","1993","in school","","","",""
"Daily","1993","inadequately","","","",""
"Daily","1993","general elemantary","","","",""
"Daily","1993","middle vocational","","","",""
"Daily","1993","vocational + Abi","","","",""
"Daily","1993","higher vocational","","","",""
"Daily","1993","higher education","","","",""
"Min 1x per week","1993","in school","","","",""
"Min 1x per week","1993","inadequately","","","",""
"Min 1x per week","1993","general elemantary","","","",""
"Min 1x per week","1993","middle vocational","","","",""
"Min 1x per week","1993","vocational + Abi","","","",""
"Min 1x per week","1993","higher vocational","","","",""
"Min 1x per week","1993","higher education","","","",""
"Min 1x per month","1993","in school","","","",""
"Min 1x per month","1993","inadequately","","","",""
"Min 1x per month","1993","general elemantary","","","",""
"Min 1x per month","1993","middle vocational","","","",""
"Min 1x per month","1993","vocational + Abi","","","",""
"Min 1x per month","1993","higher vocational","","","",""
"Min 1x per month","1993","higher education","","","",""
"Rarely","1993","in school","","","",""
"Rarely","1993","inadequately","","","",""
"Rarely","1993","general elemantary","","","",""
"Rarely","1993","middle vocational","","","",""
"Rarely","1993","vocational + Abi","","","",""
"Rarely","1993","higher vocational","","","",""
"Rarely","1993","higher education","","","",""
"Never","1993","in school","","","",""
"Never","1993","inadequately","","","",""
"Never","1993","general elemantary","","","",""
"Never","1993","middle vocational","","","",""
"Never","1993","vocational + Abi","","","",""
"Never","1993","higher vocational","","","",""
"Never","1993","higher education","","","",""
"Daily","1994","in school","","","",""
"Daily","1994","inadequately","","","",""
"Daily","1994","general elemantary","","","",""
"Daily","1994","middle vocational","","","",""
"Daily","1994","vocational + Abi","","","",""
"Daily","1994","higher vocational","","","",""
"Daily","1994","higher education","","","",""
"Min 1x per week","1994","in school","132","0.630358225534013","0.569032337204408","0.691684113863618"
"Min 1x per week","1994","inadequately","37","0.0634139652024721","0.0431203462000308","0.0837075842049135"
"Min 1x per week","1994","general elemantary","377","0.148409049055762","0.134332028040172","0.162486070071353"
"Min 1x per week","1994","middle vocational","1323","0.21189307529043","0.201960186748706","0.221825963832153"
"Min 1x per week","1994","vocational + Abi","128","0.375273128450317","0.32734131230897","0.423204944591663"
"Min 1x per week","1994","higher vocational","164","0.232476500171331","0.202144201419832","0.262808798922831"
"Min 1x per week","1994","higher education","446","0.33780365935226","0.314850277922138","0.360757040782383"
"Min 1x per month","1994","in school","20","","",""
"Min 1x per month","1994","inadequately","9","","",""
"Min 1x per month","1994","general elemantary","133","0.0450153101920263","0.0368053060363538","0.0532253143476988"
"Min 1x per month","1994","middle vocational","378","0.0561303836238862","0.0505356473851646","0.0617251198626078"
"Min 1x per month","1994","vocational + Abi","29","","",""
"Min 1x per month","1994","higher vocational","57","0.0806339270332712","0.0610827415075106","0.100185112559032"
"Min 1x per month","1994","higher education","129","0.0849316226173855","0.0714020962029726","0.0984611490317985"
"Rarely","1994","in school","48","0.162881372359751","0.11596884557262","0.209793899146882"
"Rarely","1994","inadequately","58","0.0986670407702018","0.0738344583088636","0.12349962323154"
"Rarely","1994","general elemantary","343","0.119305398689585","0.106470047259758","0.132140750119411"
"Rarely","1994","middle vocational","1196","0.179376170356595","0.170050521809378","0.188701818903812"
"Rarely","1994","vocational + Abi","84","0.226763166730498","0.185310967110403","0.268215366350593"
"Rarely","1994","higher vocational","167","0.219231794654326","0.189523153778978","0.248940435529674"
"Rarely","1994","higher education","341","0.192621410199535","0.173482729198041","0.211760091201028"
"Never","1994","in school","38","0.125081555267858","0.0830534283631975","0.167109682172518"
"Never","1994","inadequately","450","0.821774467891934","0.789906491220265","0.853642444563602"
"Never","1994","general elemantary","1597","0.687270242062627","0.668912746870415","0.705627737254838"
"Never","1994","middle vocational","3605","0.552600370729089","0.540514498340069","0.564686243118109"
"Never","1994","vocational + Abi","151","0.330333575023475","0.283773820822527","0.376893329224423"
"Never","1994","higher vocational","357","0.467657778141072","0.431829206717294","0.503486349564849"
"Never","1994","higher education","715","0.38464330783082","0.361032346772261","0.408254268889378"
"Daily","1995","in school","58","0.222765366462735","0.174456642169566","0.271074090755904"
"Daily","1995","inadequately","5","","",""
"Daily","1995","general elemantary","93","0.032042159415015","0.0251206740048364","0.0389636448251937"
"Daily","1995","middle vocational","294","0.0438524010398637","0.0389522358362058","0.0487525662435216"
"Daily","1995","vocational + Abi","25","","",""
"Daily","1995","higher vocational","29","","",""
"Daily","1995","higher education","103","0.0819248706775069","0.0690866709904535","0.0947630703645604"
"Min 1x per week","1995","in school","143","0.506529714723057","0.448485541700793","0.564573887745321"
"Min 1x per week","1995","inadequately","20","","",""
"Min 1x per week","1995","general elemantary","379","0.14024920730664","0.126601908563285","0.153896506049995"
"Min 1x per week","1995","middle vocational","1439","0.222518736792204","0.212565145070932","0.232472328513477"
"Min 1x per week","1995","vocational + Abi","132","0.331327217075239","0.289087180938093","0.373567253212385"
"Min 1x per week","1995","higher vocational","186","0.271867526130726","0.240277173537332","0.303457878724121"
"Min 1x per week","1995","higher education","508","0.314814771267838","0.293073312528641","0.336556230007034"
"Min 1x per month","1995","in school","23","","",""
"Min 1x per month","1995","inadequately","8","","",""
"Min 1x per month","1995","general elemantary","136","0.0439362957327185","0.035881299654446","0.0519912918109909"
"Min 1x per month","1995","middle vocational","502","0.0780294255930949","0.071610840558709","0.0844480106274807"
"Min 1x per month","1995","vocational + Abi","43","0.101058931916848","0.074010514230793","0.128107349602903"
"Min 1x per month","1995","higher vocational","63","0.0802740836644832","0.0609816286653664","0.0995665386636"
"Min 1x per month","1995","higher education","162","0.0886869698892675","0.0753787235436964","0.101995216234839"
"Rarely","1995","in school","33","0.0988389544437888","0.0641899359002554","0.133487972987322"
"Rarely","1995","inadequately","67","0.147002562391941","0.116855397803387","0.177149726980495"
"Rarely","1995","general elemantary","384","0.149160699702827","0.135159631368782","0.163161768036872"
"Rarely","1995","middle vocational","1559","0.219605277084029","0.209698551983424","0.229512002184635"
"Rarely","1995","vocational + Abi","120","0.213854069757483","0.17705818529616","0.250649954218806"
"Rarely","1995","higher vocational","224","0.266708366695151","0.235308537174231","0.298108196216071"
"Rarely","1995","higher education","486","0.243213615693308","0.22313019294983","0.263297038436786"
"Never","1995","in school","28","","",""
"Never","1995","inadequately","430","0.780074712483896","0.744811989918941","0.815337435048852"
"Never","1995","general elemantary","1495","0.634611637842799","0.615686390255705","0.653536885429893"
"Never","1995","middle vocational","2914","0.435994159490808","0.424127357371846","0.44786096160977"
"Never","1995","vocational + Abi","157","0.297490268133321","0.256464997420065","0.338515538846577"
"Never","1995","higher vocational","260","0.339170871313504","0.305556540650545","0.372785201976463"
"Never","1995","higher education","494","0.27135977247208","0.250544292069527","0.292175252874632"
"Daily","1996","in school","","","",""
"Daily","1996","inadequately","","","",""
"Daily","1996","general elemantary","","","",""
"Daily","1996","middle vocational","","","",""
"Daily","1996","vocational + Abi","","","",""
"Daily","1996","higher vocational","","","",""
"Daily","1996","higher education","","","",""
"Min 1x per week","1996","in school","167","0.628818817931134","0.573405723201119","0.684231912661149"
"Min 1x per week","1996","inadequately","20","","",""
"Min 1x per week","1996","general elemantary","361","0.149007240476919","0.134727949793758","0.16328653116008"
"Min 1x per week","1996","middle vocational","1420","0.230390048859024","0.220226606807426","0.240553490910622"
"Min 1x per week","1996","vocational + Abi","139","0.317856026359061","0.276068934310318","0.359643118407805"
"Min 1x per week","1996","higher vocational","196","0.267277373001135","0.235917934926449","0.298636811075821"
"Min 1x per week","1996","higher education","534","0.342436243780419","0.320229131284194","0.364643356276645"
"Min 1x per month","1996","in school","32","0.119307031498657","0.0821276680590937","0.15648639493822"
"Min 1x per month","1996","inadequately","12","","",""
"Min 1x per month","1996","general elemantary","144","0.052708359892757","0.043748079095576","0.061668640689938"
"Min 1x per month","1996","middle vocational","460","0.0692409577658929","0.0631135922946789","0.0753683232371069"
"Min 1x per month","1996","vocational + Abi","40","0.0711303703691682","0.0480632268239918","0.0941975139143447"
"Min 1x per month","1996","higher vocational","68","0.0805053736192305","0.0612254900828249","0.0997852571556362"
"Min 1x per month","1996","higher education","145","0.087557611734515","0.0743299531689556","0.100785270300075"
"Rarely","1996","in school","57","0.166813971541217","0.124053364121182","0.209574578961251"
"Rarely","1996","inadequately","51","0.0932503143607148","0.0675037722053872","0.118996856516042"
"Rarely","1996","general elemantary","401","0.140607106419317","0.126667852457218","0.154546360381415"
"Rarely","1996","middle vocational","1412","0.205049236731213","0.195304439350338","0.214794034112088"
"Rarely","1996","vocational + Abi","105","0.235641520812925","0.197555697016779","0.273727344609071"
"Rarely","1996","higher vocational","186","0.24547084945707","0.214973973894453","0.275967725019687"
"Rarely","1996","higher education","424","0.226067109111363","0.206492024912172","0.245642193310554"
"Never","1996","in school","36","0.0850601790289926","0.0530626769146456","0.11705768114334"
"Never","1996","inadequately","407","0.810725704256313","0.77604141161826","0.845409996894366"
"Never","1996","general elemantary","1483","0.657677293211008","0.638650557145302","0.676704029276714"
"Never","1996","middle vocational","3302","0.49531975664387","0.483252054093796","0.507387459193943"
"Never","1996","vocational + Abi","193","0.375372082458845","0.331918000230304","0.418826164687386"
"Never","1996","higher vocational","315","0.406746403922565","0.371936772554744","0.441556035290385"
"Never","1996","higher education","651","0.343939035373703","0.321708694093702","0.366169376653704"
"Daily","1997","in school","","","",""
"Daily","1997","inadequately","","","",""
"Daily","1997","general elemantary","","","",""
"Daily","1997","middle vocational","","","",""
"Daily","1997","vocational + Abi","","","",""
"Daily","1997","higher vocational","","","",""
"Daily","1997","higher education","","","",""
"Min 1x per week","1997","in school","172","0.596296241111022","0.54211421433828","0.650478267883763"
"Min 1x per week","1997","inadequately","18","","",""
"Min 1x per week","1997","general elemantary","391","0.166975659487902","0.15180611944317","0.182145199532634"
"Min 1x per week","1997","middle vocational","1405","0.232717566520232","0.222389927555586","0.243045205484878"
"Min 1x per week","1997","vocational + Abi","146","0.356505141344211","0.312398455186784","0.400611827501638"
"Min 1x per week","1997","higher vocational","196","0.271646058957863","0.239959644910525","0.303332473005202"
"Min 1x per week","1997","higher education","585","0.370930767371051","0.348420542895366","0.393440991846736"
"Min 1x per month","1997","in school","29","","",""
"Min 1x per month","1997","inadequately","9","","",""
"Min 1x per month","1997","general elemantary","123","0.042100859608641","0.0339327349581598","0.0502689842591221"
"Min 1x per month","1997","middle vocational","385","0.0569925067402468","0.0513265234718737","0.06265849000862"
"Min 1x per month","1997","vocational + Abi","37","0.0842474848237915","0.0586694884115382","0.109825481236045"
"Min 1x per month","1997","higher vocational","51","0.0638014141828165","0.0463913932127314","0.0812114351529016"
"Min 1x per month","1997","higher education","114","0.0621522304434846","0.050901552088249","0.0734029087987203"
"Rarely","1997","in school","72","0.193977512940426","0.150311646040039","0.237643379840814"
"Rarely","1997","inadequately","52","0.139647860800366","0.108075078097016","0.171220643503716"
"Rarely","1997","general elemantary","369","0.142628785375906","0.128405332952379","0.156852237799434"
"Rarely","1997","middle vocational","1240","0.187772467697761","0.178227737722276","0.197317197673246"
