"pli0092_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1988","general elemantary","Urban Area","90","0.0330372308277125","0.0254163523266222","0.0406581093288029"
"Min 1x per month","1988","general elemantary","Rural Area","31","0.0417210612506227","0.0256413400797129","0.0578007824215325"
"Min 1x per month","1988","middle vocational","Urban Area","206","0.0550538402465356","0.0476906204108672","0.062417060082204"
"Min 1x per month","1988","middle vocational","Rural Area","69","0.067820790306853","0.0523294510773707","0.0833121295363352"
"Min 1x per month","1988","vocational + Abi","Urban Area","14","","",""
"Min 1x per month","1988","vocational + Abi","Rural Area","3","","",""
"Min 1x per month","1988","higher vocational","Urban Area","33","0.0782926023194914","0.0528130933399675","0.103772111299015"
"Min 1x per month","1988","higher vocational","Rural Area","4","","",""
"Min 1x per month","1988","higher education","Urban Area","41","0.0729880887130531","0.0519634723070004","0.0940127051191057"
"Min 1x per month","1988","higher education","Rural Area","4","","",""
"Rarely","1988","in school","Urban Area","13","","",""
"Rarely","1988","in school","Rural Area","1","","",""
"Rarely","1988","inadequately","Urban Area","26","","",""
"Rarely","1988","inadequately","Rural Area","7","","",""
"Rarely","1988","general elemantary","Urban Area","194","0.0782220804687513","0.0667728532544215","0.0896713076830811"
"Rarely","1988","general elemantary","Rural Area","74","0.106917094519905","0.0820672125118335","0.131766976527977"
"Rarely","1988","middle vocational","Urban Area","536","0.139293444547251","0.128115464759764","0.150471424334739"
"Rarely","1988","middle vocational","Rural Area","178","0.170739629686935","0.147556585766283","0.193922673607586"
"Rarely","1988","vocational + Abi","Urban Area","40","0.198274311431786","0.147190147825389","0.249358475038183"
"Rarely","1988","vocational + Abi","Rural Area","8","","",""
"Rarely","1988","higher vocational","Urban Area","81","0.17150979917622","0.135755990590539","0.2072636077619"
"Rarely","1988","higher vocational","Rural Area","22","","",""
"Rarely","1988","higher education","Urban Area","106","0.172523951874019","0.141984457483297","0.20306344626474"
"Rarely","1988","higher education","Rural Area","24","","",""
"Never","1988","in school","Urban Area","19","","",""
"Never","1988","in school","Rural Area","3","","",""
"Never","1988","inadequately","Urban Area","534","0.827382715387615","0.797243982881858","0.857521447893371"
"Never","1988","inadequately","Rural Area","74","0.693599166980018","0.60089792757336","0.786300406386677"
"Never","1988","general elemantary","Urban Area","1406","0.706125874590495","0.686702705984752","0.725549043196237"
"Never","1988","general elemantary","Rural Area","389","0.695504067084833","0.658496080872949","0.732512053296717"
"Never","1988","middle vocational","Urban Area","2025","0.556025499462156","0.539985779055571","0.57206521986874"
"Never","1988","middle vocational","Rural Area","514","0.524100783281415","0.493331120676816","0.554870445886013"
"Never","1988","vocational + Abi","Urban Area","109","0.408607506036786","0.34562336129111","0.471591650782462"
"Never","1988","vocational + Abi","Rural Area","15","","",""
"Never","1988","higher vocational","Urban Area","187","0.457301318792519","0.410049909774025","0.504552727811013"
"Never","1988","higher vocational","Rural Area","50","0.521332212978881","0.427979674998816","0.614684750958946"
"Never","1988","higher education","Urban Area","204","0.366138221639434","0.327199719238834","0.405076724040033"
"Never","1988","higher education","Rural Area","37","0.331947166992513","0.244342651932439","0.419551682052587"
"Daily","1989","in school","Urban Area","","","",""
"Daily","1989","in school","Rural Area","","","",""
"Daily","1989","inadequately","Urban Area","","","",""
"Daily","1989","inadequately","Rural Area","","","",""
"Daily","1989","general elemantary","Urban Area","","","",""
"Daily","1989","general elemantary","Rural Area","","","",""
"Daily","1989","middle vocational","Urban Area","","","",""
"Daily","1989","middle vocational","Rural Area","","","",""
"Daily","1989","vocational + Abi","Urban Area","","","",""
"Daily","1989","vocational + Abi","Rural Area","","","",""
"Daily","1989","higher vocational","Urban Area","","","",""
"Daily","1989","higher vocational","Rural Area","","","",""
"Daily","1989","higher education","Urban Area","","","",""
"Daily","1989","higher education","Rural Area","","","",""
"Min 1x per week","1989","in school","Urban Area","","","",""
"Min 1x per week","1989","in school","Rural Area","","","",""
"Min 1x per week","1989","inadequately","Urban Area","","","",""
"Min 1x per week","1989","inadequately","Rural Area","","","",""
"Min 1x per week","1989","general elemantary","Urban Area","","","",""
"Min 1x per week","1989","general elemantary","Rural Area","","","",""
"Min 1x per week","1989","middle vocational","Urban Area","","","",""
"Min 1x per week","1989","middle vocational","Rural Area","","","",""
"Min 1x per week","1989","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1989","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1989","higher vocational","Urban Area","","","",""
"Min 1x per week","1989","higher vocational","Rural Area","","","",""
"Min 1x per week","1989","higher education","Urban Area","","","",""
"Min 1x per week","1989","higher education","Rural Area","","","",""
"Min 1x per month","1989","in school","Urban Area","","","",""
"Min 1x per month","1989","in school","Rural Area","","","",""
"Min 1x per month","1989","inadequately","Urban Area","","","",""
"Min 1x per month","1989","inadequately","Rural Area","","","",""
"Min 1x per month","1989","general elemantary","Urban Area","","","",""
"Min 1x per month","1989","general elemantary","Rural Area","","","",""
"Min 1x per month","1989","middle vocational","Urban Area","","","",""
"Min 1x per month","1989","middle vocational","Rural Area","","","",""
"Min 1x per month","1989","vocational + Abi","Urban Area","","","",""
"Min 1x per month","1989","vocational + Abi","Rural Area","","","",""
"Min 1x per month","1989","higher vocational","Urban Area","","","",""
"Min 1x per month","1989","higher vocational","Rural Area","","","",""
"Min 1x per month","1989","higher education","Urban Area","","","",""
"Min 1x per month","1989","higher education","Rural Area","","","",""
"Rarely","1989","in school","Urban Area","","","",""
"Rarely","1989","in school","Rural Area","","","",""
"Rarely","1989","inadequately","Urban Area","","","",""
