"pli0092_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","1985","Not Working","higher vocational","115","0.714772193957475","0.645877484301288","0.783666903613661"
"Never","1985","Not Working","higher education","73","0.539726201342744","0.458878711484805","0.620573691200683"
"Daily","1986","Full Time","in school","","","",""
"Daily","1986","Full Time","inadequately","","","",""
"Daily","1986","Full Time","general elemantary","","","",""
"Daily","1986","Full Time","middle vocational","","","",""
"Daily","1986","Full Time","vocational + Abi","","","",""
"Daily","1986","Full Time","higher vocational","","","",""
"Daily","1986","Full Time","higher education","","","",""
"Daily","1986","Part Time","in school","","","",""
"Daily","1986","Part Time","inadequately","","","",""
"Daily","1986","Part Time","general elemantary","","","",""
"Daily","1986","Part Time","middle vocational","","","",""
"Daily","1986","Part Time","vocational + Abi","","","",""
"Daily","1986","Part Time","higher vocational","","","",""
"Daily","1986","Part Time","higher education","","","",""
"Daily","1986","Not Working","in school","","","",""
"Daily","1986","Not Working","inadequately","","","",""
"Daily","1986","Not Working","general elemantary","","","",""
"Daily","1986","Not Working","middle vocational","","","",""
"Daily","1986","Not Working","vocational + Abi","","","",""
"Daily","1986","Not Working","higher vocational","","","",""
"Daily","1986","Not Working","higher education","","","",""
"Min 1x per week","1986","Full Time","in school","","","",""
"Min 1x per week","1986","Full Time","inadequately","28","","",""
"Min 1x per week","1986","Full Time","general elemantary","196","0.215744706421487","0.190301019779478","0.241188393063495"
"Min 1x per week","1986","Full Time","middle vocational","663","0.287444672075061","0.269618454689467","0.305270889460655"
"Min 1x per week","1986","Full Time","vocational + Abi","48","0.411775164461599","0.333535307068692","0.490015021854505"
"Min 1x per week","1986","Full Time","higher vocational","100","0.318316434790023","0.266628195709944","0.370004673870102"
"Min 1x per week","1986","Full Time","higher education","203","0.421054278051208","0.376418086899589","0.465690469202827"
"Min 1x per week","1986","Part Time","in school","3","","",""
"Min 1x per week","1986","Part Time","inadequately","8","","",""
"Min 1x per week","1986","Part Time","general elemantary","120","0.240314603346487","0.203765610856917","0.276863595836057"
"Min 1x per week","1986","Part Time","middle vocational","263","0.309126162567607","0.2785580877397","0.339694237395515"
"Min 1x per week","1986","Part Time","vocational + Abi","15","","",""
"Min 1x per week","1986","Part Time","higher vocational","40","0.41586879047789","0.318287080731102","0.513450500224677"
"Min 1x per week","1986","Part Time","higher education","55","0.429929247269089","0.345474512817787","0.514383981720391"
"Min 1x per week","1986","Not Working","in school","118","0.660963908123786","0.592000193991388","0.729927622256184"
"Min 1x per week","1986","Not Working","inadequately","21","","",""
"Min 1x per week","1986","Not Working","general elemantary","225","0.133233964130219","0.11515986651493","0.151308061745508"
"Min 1x per week","1986","Not Working","middle vocational","318","0.173381796187563","0.154912491015931","0.191851101359195"
"Min 1x per week","1986","Not Working","vocational + Abi","25","","",""
"Min 1x per week","1986","Not Working","higher vocational","27","","",""
"Min 1x per week","1986","Not Working","higher education","42","0.267090728458264","0.194826834636257","0.33935462228027"
"Min 1x per month","1986","Full Time","in school","","","",""
"Min 1x per month","1986","Full Time","inadequately","8","","",""
"Min 1x per month","1986","Full Time","general elemantary","53","0.0534439277162283","0.0395314785173194","0.0673563769151373"
"Min 1x per month","1986","Full Time","middle vocational","193","0.0766100432259797","0.0661337366779988","0.0870863497739606"
