"pli0092_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1985","Berlin","","","",""
"Min 1x per month","1985","Brandenburg","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1985","Saxony","","","",""
"Min 1x per month","1985","Saxony-Anhalt","","","",""
"Min 1x per month","1985","Thuringia","","","",""
"Rarely","1985","Schleswig-Holstein","48","0.134229008585071","0.0984125060104632","0.170045511159678"
"Rarely","1985","Hamburg","","","",""
"Rarely","1985","Lower Saxony","142","0.123777706631084","0.104244878128285","0.143310535133883"
"Rarely","1985","Bremen","","","",""
"Rarely","1985","North Rhine-Westphalia","396","0.130442708278032","0.118272843267512","0.142612573288553"
"Rarely","1985","Hesse","133","0.112404667333874","0.0938895330364891","0.130919801631258"
"Rarely","1985","Rhineland-Palatinate,Saarland","102","0.130689973389215","0.106757968410572","0.154621978367859"
"Rarely","1985","Baden-Württemberg","249","0.127010891615384","0.112554134111746","0.141467649119021"
"Rarely","1985","Bavaria","269","0.133436045630842","0.118117777197908","0.148754314063775"
"Rarely","1985","Berlin","51","0.125818896025361","0.0917956848110505","0.159842107239671"
"Rarely","1985","Brandenburg","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","","","",""
"Rarely","1985","Saxony","","","",""
"Rarely","1985","Saxony-Anhalt","","","",""
"Rarely","1985","Thuringia","","","",""
"Never","1985","Schleswig-Holstein","192","0.557822293151336","0.505642203139186","0.610002383163487"
"Never","1985","Hamburg","149","0.516771552527905","0.457816762660662","0.575726342395149"
"Never","1985","Lower Saxony","634","0.596037270869101","0.566933843993603","0.6251406977446"
"Never","1985","Bremen","74","0.6867090376989","0.601935660334384","0.771482415063415"
"Never","1985","North Rhine-Westphalia","1746","0.585866181479379","0.568067152096637","0.603665210862121"
"Never","1985","Hesse","699","0.606020679838707","0.577378397291095","0.634662962386319"
"Never","1985","Rhineland-Palatinate,Saarland","467","0.616912320885298","0.582395449877797","0.6514291918928"
"Never","1985","Baden-Württemberg","1278","0.599168562808431","0.577892003492377","0.620445122124485"
"Never","1985","Bavaria","1052","0.558400810544919","0.536031121978466","0.580770499111372"
"Never","1985","Berlin","213","0.585334607119793","0.534792580105059","0.635876634134526"
"Never","1985","Brandenburg","","","",""
"Never","1985","Mecklenburg-Western Pomerania","","","",""
"Never","1985","Saxony","","","",""
"Never","1985","Saxony-Anhalt","","","",""
"Never","1985","Thuringia","","","",""
"Daily","1986","Schleswig-Holstein","","","",""
"Daily","1986","Hamburg","","","",""
"Daily","1986","Lower Saxony","","","",""
"Daily","1986","Bremen","","","",""
"Daily","1986","North Rhine-Westphalia","","","",""
"Daily","1986","Hesse","","","",""
"Daily","1986","Rhineland-Palatinate,Saarland","","","",""
"Daily","1986","Baden-Württemberg","","","",""
"Daily","1986","Bavaria","","","",""
"Daily","1986","Berlin","","","",""
"Daily","1986","Brandenburg","","","",""
"Daily","1986","Mecklenburg-Western Pomerania","","","",""
"Daily","1986","Saxony","","","",""
"Daily","1986","Saxony-Anhalt","","","",""
"Daily","1986","Thuringia","","","",""
"Min 1x per week","1986","Schleswig-Holstein","83","0.258646912316936","0.210669225925056","0.306624598708817"
"Min 1x per week","1986","Hamburg","62","0.250437873185898","0.196837840917513","0.304037905454284"
"Min 1x per week","1986","Lower Saxony","296","0.25933961003646","0.233451614919652","0.285227605153268"
"Min 1x per week","1986","Bremen","","","",""
"Min 1x per week","1986","North Rhine-Westphalia","711","0.256842654160085","0.240777443074679","0.272907865245491"
"Min 1x per week","1986","Hesse","248","0.249719432878929","0.22341254702678","0.276026318731078"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","152","0.192227751963183","0.164322482927225","0.220133020999141"
"Min 1x per week","1986","Baden-Württemberg","428","0.220825691847844","0.202591689226916","0.239059694468773"
"Min 1x per week","1986","Bavaria","479","0.269740489220532","0.249017289128429","0.290463689312635"
"Min 1x per week","1986","Berlin","70","0.209564668960237","0.166925741316457","0.252203596604016"
"Min 1x per week","1986","Brandenburg","","","",""
"Min 1x per week","1986","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1986","Saxony","","","",""
"Min 1x per week","1986","Saxony-Anhalt","","","",""
"Min 1x per week","1986","Thuringia","","","",""
"Min 1x per month","1986","Schleswig-Holstein","","","",""
"Min 1x per month","1986","Hamburg","","","",""
"Min 1x per month","1986","Lower Saxony","58","0.0491886768557412","0.036414463240968","0.0619628904705144"
"Min 1x per month","1986","Bremen","","","",""
"Min 1x per month","1986","North Rhine-Westphalia","144","0.0490377391631752","0.0410970291760428","0.0569784491503075"
"Min 1x per month","1986","Hesse","36","0.0381645279527872","0.0265202714476554","0.049808784457919"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","43","0.058334239634647","0.041736694183064","0.07493178508623"
"Min 1x per month","1986","Baden-Württemberg","111","0.0558726689141566","0.0457765398312054","0.0659687979971079"
"Min 1x per month","1986","Bavaria","109","0.0586727604485153","0.0476995498867969","0.0696459710102338"
"Min 1x per month","1986","Berlin","","","",""
"Min 1x per month","1986","Brandenburg","","","",""
"Min 1x per month","1986","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1986","Saxony","","","",""
"Min 1x per month","1986","Saxony-Anhalt","","","",""
"Min 1x per month","1986","Thuringia","","","",""
"Rarely","1986","Schleswig-Holstein","43","0.127843399598931","0.09125785760854","0.164428941589322"
"Rarely","1986","Hamburg","","","",""
"Rarely","1986","Lower Saxony","136","0.11206227462129","0.0934295913228111","0.130694957919769"
"Rarely","1986","Bremen","","","",""
"Rarely","1986","North Rhine-Westphalia","354","0.121376035130029","0.10936776442181","0.133384305838248"
"Rarely","1986","Hesse","102","0.103468318336883","0.0849578273998986","0.121978809273868"
"Rarely","1986","Rhineland-Palatinate,Saarland","78","0.100940404492836","0.0796069853152811","0.12227382367039"
"Rarely","1986","Baden-Württemberg","251","0.138322875671484","0.123146810345511","0.153498940997457"
"Rarely","1986","Bavaria","234","0.121570044647875","0.106311539248584","0.136828550047167"
"Rarely","1986","Berlin","41","0.0883689921967701","0.0586336073121865","0.118104377081354"
"Rarely","1986","Brandenburg","","","",""
"Rarely","1986","Mecklenburg-Western Pomerania","","","",""
"Rarely","1986","Saxony","","","",""
"Rarely","1986","Saxony-Anhalt","","","",""
"Rarely","1986","Thuringia","","","",""
"Never","1986","Schleswig-Holstein","178","0.560559692583958","0.506180346615734","0.614939038552183"
"Never","1986","Hamburg","143","0.560542899246706","0.499142117422096","0.621943681071317"
"Never","1986","Lower Saxony","611","0.579409438486509","0.550250146446716","0.608568730526302"
"Never","1986","Bremen","75","0.672496961900819","0.583987633949862","0.761006289851776"
"Never","1986","North Rhine-Westphalia","1632","0.572743571546711","0.55455339606516","0.590933747028262"
"Never","1986","Hesse","654","0.6086477208314","0.578985862582517","0.638309579080284"
"Never","1986","Rhineland-Palatinate,Saarland","493","0.648497603909334","0.614687069209868","0.6823081386088"
"Never","1986","Baden-Württemberg","1198","0.584978763566515","0.563319428936948","0.606638098196082"
"Never","1986","Bavaria","940","0.550016705683077","0.526787664996218","0.573245746369936"
"Never","1986","Berlin","214","0.643765832451885","0.593595634315045","0.693936030588725"
"Never","1986","Brandenburg","","","",""
"Never","1986","Mecklenburg-Western Pomerania","","","",""
"Never","1986","Saxony","","","",""
"Never","1986","Saxony-Anhalt","","","",""
"Never","1986","Thuringia","","","",""
"Daily","1987","Schleswig-Holstein","","","",""
"Daily","1987","Hamburg","","","",""
"Daily","1987","Lower Saxony","","","",""
"Daily","1987","Bremen","","","",""
"Daily","1987","North Rhine-Westphalia","","","",""
"Daily","1987","Hesse","","","",""
"Daily","1987","Rhineland-Palatinate,Saarland","","","",""
"Daily","1987","Baden-Württemberg","","","",""
"Daily","1987","Bavaria","","","",""
"Daily","1987","Berlin","","","",""
"Daily","1987","Brandenburg","","","",""
"Daily","1987","Mecklenburg-Western Pomerania","","","",""
"Daily","1987","Saxony","","","",""
"Daily","1987","Saxony-Anhalt","","","",""
"Daily","1987","Thuringia","","","",""
"Min 1x per week","1987","Schleswig-Holstein","","","",""
"Min 1x per week","1987","Hamburg","","","",""
"Min 1x per week","1987","Lower Saxony","","","",""
"Min 1x per week","1987","Bremen","","","",""
"Min 1x per week","1987","North Rhine-Westphalia","","","",""
"Min 1x per week","1987","Hesse","","","",""
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1987","Baden-Württemberg","","","",""
"Min 1x per week","1987","Bavaria","","","",""
"Min 1x per week","1987","Berlin","","","",""
"Min 1x per week","1987","Brandenburg","","","",""
"Min 1x per week","1987","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1987","Saxony","","","",""
"Min 1x per week","1987","Saxony-Anhalt","","","",""
"Min 1x per week","1987","Thuringia","","","",""
"Min 1x per month","1987","Schleswig-Holstein","","","",""
"Min 1x per month","1987","Hamburg","","","",""
"Min 1x per month","1987","Lower Saxony","","","",""
"Min 1x per month","1987","Bremen","","","",""
"Min 1x per month","1987","North Rhine-Westphalia","","","",""
"Min 1x per month","1987","Hesse","","","",""
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per month","1987","Baden-Württemberg","","","",""
"Min 1x per month","1987","Bavaria","","","",""
"Min 1x per month","1987","Berlin","","","",""
"Min 1x per month","1987","Brandenburg","","","",""
"Min 1x per month","1987","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1987","Saxony","","","",""
"Min 1x per month","1987","Saxony-Anhalt","","","",""
"Min 1x per month","1987","Thuringia","","","",""
"Rarely","1987","Schleswig-Holstein","","","",""
"Rarely","1987","Hamburg","","","",""
"Rarely","1987","Lower Saxony","","","",""
"Rarely","1987","Bremen","","","",""
"Rarely","1987","North Rhine-Westphalia","","","",""
"Rarely","1987","Hesse","","","",""
"Rarely","1987","Rhineland-Palatinate,Saarland","","","",""
"Rarely","1987","Baden-Württemberg","","","",""
"Rarely","1987","Bavaria","","","",""
"Rarely","1987","Berlin","","","",""
"Rarely","1987","Brandenburg","","","",""
"Rarely","1987","Mecklenburg-Western Pomerania","","","",""
"Rarely","1987","Saxony","","","",""
"Rarely","1987","Saxony-Anhalt","","","",""
"Rarely","1987","Thuringia","","","",""
"Never","1987","Schleswig-Holstein","","","",""
"Never","1987","Hamburg","","","",""
"Never","1987","Lower Saxony","","","",""
"Never","1987","Bremen","","","",""
"Never","1987","North Rhine-Westphalia","","","",""
"Never","1987","Hesse","","","",""
"Never","1987","Rhineland-Palatinate,Saarland","","","",""
"Never","1987","Baden-Württemberg","","","",""
"Never","1987","Bavaria","","","",""
"Never","1987","Berlin","","","",""
"Never","1987","Brandenburg","","","",""
"Never","1987","Mecklenburg-Western Pomerania","","","",""
"Never","1987","Saxony","","","",""
"Never","1987","Saxony-Anhalt","","","",""
"Never","1987","Thuringia","","","",""
"Daily","1988","Schleswig-Holstein","","","",""
"Daily","1988","Hamburg","","","",""
"Daily","1988","Lower Saxony","","","",""
"Daily","1988","Bremen","","","",""
"Daily","1988","North Rhine-Westphalia","","","",""
"Daily","1988","Hesse","","","",""
"Daily","1988","Rhineland-Palatinate,Saarland","","","",""
"Daily","1988","Baden-Württemberg","","","",""
"Daily","1988","Bavaria","","","",""
"Daily","1988","Berlin","","","",""
"Daily","1988","Brandenburg","","","",""
"Daily","1988","Mecklenburg-Western Pomerania","","","",""
"Daily","1988","Saxony","","","",""
"Daily","1988","Saxony-Anhalt","","","",""
"Daily","1988","Thuringia","","","",""
"Min 1x per week","1988","Schleswig-Holstein","103","0.338803486695584","0.28661871802518","0.390988255365988"
"Min 1x per week","1988","Hamburg","56","0.308576258393894","0.244399917555814","0.372752599231975"
"Min 1x per week","1988","Lower Saxony","310","0.281730145447689","0.254416811723144","0.309043479172235"
"Min 1x per week","1988","Bremen","","","",""
"Min 1x per week","1988","North Rhine-Westphalia","676","0.255865933798184","0.239364301181917","0.272367566414451"
"Min 1x per week","1988","Hesse","211","0.226412607060376","0.200421581502637","0.252403632618114"
"Min 1x per week","1988","Rhineland-Palatinate,Saarland","143","0.1945238455942","0.165789778985809","0.22325791220259"
"Min 1x per week","1988","Baden-Württemberg","413","0.228879696924058","0.209929584104935","0.247829809743181"
"Min 1x per week","1988","Bavaria","421","0.252763488900226","0.231665527108737","0.273861450691716"
"Min 1x per week","1988","Berlin","67","0.208540364890342","0.164839654285192","0.252241075495492"
"Min 1x per week","1988","Brandenburg","","","",""
"Min 1x per week","1988","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1988","Saxony","","","",""
"Min 1x per week","1988","Saxony-Anhalt","","","",""
"Min 1x per week","1988","Thuringia","","","",""
"Min 1x per month","1988","Schleswig-Holstein","","","",""
"Min 1x per month","1988","Hamburg","","","",""
"Min 1x per month","1988","Lower Saxony","45","0.0406180110820289","0.028632147267065","0.0526038748969928"
"Min 1x per month","1988","Bremen","","","",""
"Min 1x per month","1988","North Rhine-Westphalia","129","0.0475353772953467","0.0394884887453185","0.055582265845375"
"Min 1x per month","1988","Hesse","49","0.0538899527370095","0.0398668811715753","0.0679130243024436"
"Min 1x per month","1988","Rhineland-Palatinate,Saarland","41","0.0625799534945798","0.0449979216149007","0.0801619853742588"
"Min 1x per month","1988","Baden-Württemberg","111","0.0638760777769309","0.0528458904457098","0.074906265108152"
"Min 1x per month","1988","Bavaria","103","0.0600843309917034","0.0485476907827708","0.071620971200636"
"Min 1x per month","1988","Berlin","","","",""
"Min 1x per month","1988","Brandenburg","","","",""
"Min 1x per month","1988","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1988","Saxony","","","",""
"Min 1x per month","1988","Saxony-Anhalt","","","",""
"Min 1x per month","1988","Thuringia","","","",""
"Rarely","1988","Schleswig-Holstein","49","0.153487328414615","0.113744612266346","0.193230044562883"
"Rarely","1988","Hamburg","","","",""
"Rarely","1988","Lower Saxony","128","0.117841798985301","0.0982652042024517","0.13741839376815"
"Rarely","1988","Bremen","","","",""
"Rarely","1988","North Rhine-Westphalia","351","0.134755233449793","0.121841928776022","0.147668538123563"
"Rarely","1988","Hesse","98","0.108785945429228","0.0894486456315521","0.128123245226905"
"Rarely","1988","Rhineland-Palatinate,Saarland","89","0.110221344025612","0.0874882698012832","0.132954418249941"
"Rarely","1988","Baden-Württemberg","260","0.149698546617308","0.133605348835601","0.165791744399015"
"Rarely","1988","Bavaria","269","0.157849480364101","0.140149583834149","0.175549376894054"
"Rarely","1988","Berlin","44","0.111904960205535","0.0779945190334","0.14581540137767"
"Rarely","1988","Brandenburg","","","",""
"Rarely","1988","Mecklenburg-Western Pomerania","","","",""
"Rarely","1988","Saxony","","","",""
"Rarely","1988","Saxony-Anhalt","","","",""
"Rarely","1988","Thuringia","","","",""
"Never","1988","Schleswig-Holstein","147","0.465635473434918","0.410637537714519","0.520633409155316"
"Never","1988","Hamburg","103","0.507634677907733","0.438173695293421","0.577095660522045"
"Never","1988","Lower Saxony","559","0.559810044484981","0.529669253936989","0.589950835032973"
"Never","1988","Bremen","59","0.623957701824684","0.527561893847274","0.720353509802094"
"Never","1988","North Rhine-Westphalia","1530","0.561843455456677","0.543079802081793","0.580607108831561"
"Never","1988","Hesse","638","0.610911494773387","0.580633175052302","0.641189814494471"
"Never","1988","Rhineland-Palatinate,Saarland","456","0.632674856885608","0.59768034478722","0.667669368983997"
"Never","1988","Baden-Württemberg","1104","0.557545678681703","0.535141886079383","0.579949471284023"
"Never","1988","Bavaria","837","0.529302699743969","0.505071372818789","0.553534026669149"
"Never","1988","Berlin","210","0.639616995227047","0.587972837649415","0.691261152804679"
"Never","1988","Brandenburg","","","",""
"Never","1988","Mecklenburg-Western Pomerania","","","",""
"Never","1988","Saxony","","","",""
"Never","1988","Saxony-Anhalt","","","",""
"Never","1988","Thuringia","","","",""
"Daily","1989","Schleswig-Holstein","","","",""
"Daily","1989","Hamburg","","","",""
"Daily","1989","Lower Saxony","","","",""
"Daily","1989","Bremen","","","",""
"Daily","1989","North Rhine-Westphalia","","","",""
"Daily","1989","Hesse","","","",""
"Daily","1989","Rhineland-Palatinate,Saarland","","","",""
"Daily","1989","Baden-Württemberg","","","",""
"Daily","1989","Bavaria","","","",""
"Daily","1989","Berlin","","","",""
"Daily","1989","Brandenburg","","","",""
"Daily","1989","Mecklenburg-Western Pomerania","","","",""
"Daily","1989","Saxony","","","",""
"Daily","1989","Saxony-Anhalt","","","",""
"Daily","1989","Thuringia","","","",""
"Min 1x per week","1989","Schleswig-Holstein","","","",""
"Min 1x per week","1989","Hamburg","","","",""
"Min 1x per week","1989","Lower Saxony","","","",""
"Min 1x per week","1989","Bremen","","","",""
"Min 1x per week","1989","North Rhine-Westphalia","","","",""
"Min 1x per week","1989","Hesse","","","",""
"Min 1x per week","1989","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1989","Baden-Württemberg","","","",""
"Min 1x per week","1989","Bavaria","","","",""
"Min 1x per week","1989","Berlin","","","",""
"Min 1x per week","1989","Brandenburg","","","",""
"Min 1x per week","1989","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1989","Saxony","","","",""
"Min 1x per week","1989","Saxony-Anhalt","","","",""
"Min 1x per week","1989","Thuringia","","","",""
"Min 1x per month","1989","Schleswig-Holstein","","","",""
"Min 1x per month","1989","Hamburg","","","",""
"Min 1x per month","1989","Lower Saxony","","","",""
"Min 1x per month","1989","Bremen","","","",""
"Min 1x per month","1989","North Rhine-Westphalia","","","",""
"Min 1x per month","1989","Hesse","","","",""
"Min 1x per month","1989","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per month","1989","Baden-Württemberg","","","",""
"Min 1x per month","1989","Bavaria","","","",""
"Min 1x per month","1989","Berlin","","","",""
"Min 1x per month","1989","Brandenburg","","","",""
"Min 1x per month","1989","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1989","Saxony","","","",""
"Min 1x per month","1989","Saxony-Anhalt","","","",""
"Min 1x per month","1989","Thuringia","","","",""
"Rarely","1989","Schleswig-Holstein","","","",""
"Rarely","1989","Hamburg","","","",""
"Rarely","1989","Lower Saxony","","","",""
"Rarely","1989","Bremen","","","",""
"Rarely","1989","North Rhine-Westphalia","","","",""
"Rarely","1989","Hesse","","","",""
"Rarely","1989","Rhineland-Palatinate,Saarland","","","",""
"Rarely","1989","Baden-Württemberg","","","",""
"Rarely","1989","Bavaria","","","",""
"Rarely","1989","Berlin","","","",""
"Rarely","1989","Brandenburg","","","",""
"Rarely","1989","Mecklenburg-Western Pomerania","","","",""
"Rarely","1989","Saxony","","","",""
"Rarely","1989","Saxony-Anhalt","","","",""
"Rarely","1989","Thuringia","","","",""
"Never","1989","Schleswig-Holstein","","","",""
"Never","1989","Hamburg","","","",""
"Never","1989","Lower Saxony","","","",""
"Never","1989","Bremen","","","",""
"Never","1989","North Rhine-Westphalia","","","",""
"Never","1989","Hesse","","","",""
"Never","1989","Rhineland-Palatinate,Saarland","","","",""
"Never","1989","Baden-Württemberg","","","",""
"Never","1989","Bavaria","","","",""
"Never","1989","Berlin","","","",""
"Never","1989","Brandenburg","","","",""
"Never","1989","Mecklenburg-Western Pomerania","","","",""
"Never","1989","Saxony","","","",""
"Never","1989","Saxony-Anhalt","","","",""
"Never","1989","Thuringia","","","",""
"Daily","1990","Schleswig-Holstein","","","",""
"Daily","1990","Hamburg","","","",""
"Daily","1990","Lower Saxony","44","0.0417079754222161","0.0291655457791533","0.0542504050652789"
"Daily","1990","Bremen","","","",""
"Daily","1990","North Rhine-Westphalia","111","0.0427343318105046","0.0349055573577193","0.0505631062632899"
"Daily","1990","Hesse","45","0.0486580140576805","0.035187611489683","0.0621284166256779"
"Daily","1990","Rhineland-Palatinate,Saarland","30","0.0440360542155016","0.0284885749041256","0.0595835335268775"
"Daily","1990","Baden-Württemberg","51","0.0300901205768383","0.0221716375649505","0.038008603588726"
"Daily","1990","Bavaria","68","0.0474954483806033","0.0370637467024861","0.0579271500587206"
"Daily","1990","Berlin","","","",""
"Daily","1990","Brandenburg","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","","","",""
"Daily","1990","Saxony","","","",""
"Daily","1990","Saxony-Anhalt","","","",""
"Daily","1990","Thuringia","","","",""
"Min 1x per week","1990","Schleswig-Holstein","82","0.304591331834893","0.25097048196611","0.358212181703676"
"Min 1x per week","1990","Hamburg","43","0.273998159847547","0.206353652331864","0.341642667363231"
"Min 1x per week","1990","Lower Saxony","259","0.256411501099436","0.229017323644539","0.283805678554334"
"Min 1x per week","1990","Bremen","","","",""
"Min 1x per week","1990","North Rhine-Westphalia","611","0.251973586265216","0.235169107122038","0.268778065408395"
"Min 1x per week","1990","Hesse","215","0.249783105382426","0.222680564792605","0.276885645972247"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","140","0.215636322713356","0.18447221278156","0.246800432645151"
"Min 1x per week","1990","Baden-Württemberg","394","0.248007834414356","0.227990617661449","0.268025051167263"
"Min 1x per week","1990","Bavaria","372","0.229865315736062","0.209229782429151","0.250500849042973"
"Min 1x per week","1990","Berlin","130","0.210422726873263","0.178364025007555","0.242481428738971"
"Min 1x per week","1990","Brandenburg","79","0.113976626442052","0.0906673134399404","0.137285939444164"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","53","0.100447756535211","0.0737778498457859","0.127117663224636"
"Min 1x per week","1990","Saxony","198","0.135685198532865","0.117033627471581","0.154336769594149"
"Min 1x per week","1990","Saxony-Anhalt","100","0.132169425250631","0.108582655132115","0.155756195369147"
"Min 1x per week","1990","Thuringia","95","0.11666088236288","0.0934057449281788","0.139916019797581"
"Min 1x per month","1990","Schleswig-Holstein","","","",""
"Min 1x per month","1990","Hamburg","","","",""
"Min 1x per month","1990","Lower Saxony","81","0.0820063937186409","0.0647929855346143","0.0992198019026675"
"Min 1x per month","1990","Bremen","","","",""
"Min 1x per month","1990","North Rhine-Westphalia","215","0.0909998416655971","0.0798673756411035","0.102132307690091"
"Min 1x per month","1990","Hesse","65","0.0601033582794362","0.0452226202356091","0.0749840963232632"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","46","0.0718874226854255","0.0523142233995227","0.0914606219713282"
"Min 1x per month","1990","Baden-Württemberg","165","0.0927253013658925","0.0792811665014542","0.106169436230331"
"Min 1x per month","1990","Bavaria","174","0.108746072586579","0.093477334275268","0.12401481089789"
"Min 1x per month","1990","Berlin","36","0.0605391110038053","0.0417822714784147","0.0792959505291959"
"Min 1x per month","1990","Brandenburg","","","",""
"Min 1x per month","1990","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1990","Saxony","50","0.0351356566616537","0.025107517022285","0.0451637963010223"
"Min 1x per month","1990","Saxony-Anhalt","","","",""
"Min 1x per month","1990","Thuringia","","","",""
"Rarely","1990","Schleswig-Holstein","70","0.274351735040988","0.22236748183277","0.326335988249206"
"Rarely","1990","Hamburg","","","",""
"Rarely","1990","Lower Saxony","183","0.177289012198852","0.153328961033857","0.201249063363847"
"Rarely","1990","Bremen","","","",""
"Rarely","1990","North Rhine-Westphalia","469","0.188700646953774","0.173555749398012","0.203845544509536"
"Rarely","1990","Hesse","160","0.182523774778977","0.158339540599234","0.20670800895872"
"Rarely","1990","Rhineland-Palatinate,Saarland","93","0.138815587403119","0.11261553077631","0.165015644029928"
"Rarely","1990","Baden-Württemberg","358","0.211972476523108","0.193028342223105","0.23091661082311"
"Rarely","1990","Bavaria","365","0.240696088851873","0.219729008087525","0.261663169616221"
"Rarely","1990","Berlin","124","0.196224345500378","0.16498901112862","0.227459679872137"
"Rarely","1990","Brandenburg","106","0.145389303198929","0.119534015485403","0.171244590912455"
"Rarely","1990","Mecklenburg-Western Pomerania","73","0.135765774862177","0.105374489957203","0.166157059767152"
"Rarely","1990","Saxony","177","0.124887024711332","0.106881576864709","0.142892472557955"
"Rarely","1990","Saxony-Anhalt","108","0.111261881066272","0.089361806010423","0.13316195612212"
"Rarely","1990","Thuringia","99","0.124502502394928","0.100585373432457","0.148419631357398"
"Never","1990","Schleswig-Holstein","95","0.302058564067157","0.248563964455735","0.355553163678579"
"Never","1990","Hamburg","79","0.477342725411396","0.401587340462094","0.553098110360698"
"Never","1990","Lower Saxony","409","0.442585117560855","0.411424154955659","0.47374608016605"
"Never","1990","Bremen","59","0.613068696462579","0.518549611390263","0.707587781534896"
"Never","1990","North Rhine-Westphalia","1158","0.425591593304908","0.406453617787939","0.444729568821878"
"Never","1990","Hesse","495","0.45893174750148","0.427733145761986","0.490130349240974"
"Never","1990","Rhineland-Palatinate,Saarland","360","0.529624612982599","0.491802881562372","0.567446344402825"
"Never","1990","Baden-Württemberg","820","0.417204267119805","0.394348442953822","0.440060091285788"
"Never","1990","Bavaria","618","0.373197074444882","0.349476223985148","0.396917924904616"
"Never","1990","Berlin","318","0.503637036145014","0.464312753835986","0.542961318454043"
"Never","1990","Brandenburg","508","0.711362101384722","0.678125162070671","0.744599040698773"
"Never","1990","Mecklenburg-Western Pomerania","341","0.723922488733512","0.684258194617025","0.763586782849999"
"Never","1990","Saxony","870","0.704292120094149","0.679436702145425","0.729147538042874"
