"pli0092_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1986","Rural Area","Female","217","0.196413531830089","0.172925249701314","0.219901813958863","2"
"Min 1x per week","1986","Urban Area","Male","1193","0.29345817653283","0.279606135509322","0.307310217556339","2"
"Min 1x per week","1986","Urban Area","Female","835","0.209302064767225","0.197026672277264","0.221577457257186","2"
"Never","1986","Urban Area","Male","2162","0.512401129140422","0.497195369928892","0.527606888351952","5"
"Never","1986","Urban Area","Female","2730","0.637543757198447","0.623038477109108","0.652049037287786","5"
"Never","1986","Rural Area","Male","547","0.533825879918092","0.503766560086878","0.563885199749305","5"
"Never","1986","Rural Area","Female","699","0.652354793444838","0.624199549370528","0.680510037519148","5"
"Rarely","1986","Rural Area","Male","150","0.133575280039607","0.113076230680468","0.154074329398746","4"
"Rarely","1986","Urban Area","Female","467","0.107252132829831","0.0979150608314743","0.116589204828188","4"
"Rarely","1986","Urban Area","Male","534","0.132452982356946","0.122140835110686","0.142765129603207","4"
"Rarely","1986","Rural Area","Female","128","0.104825625170223","0.0867148601335677","0.122936390206878","4"
"Daily","1987","Urban Area","Male","","","","","1"
"Daily","1987","Rural Area","Female","","","","","1"
"Daily","1987","Urban Area","Female","","","","","1"
"Daily","1987","Rural Area","Male","","","","","1"
"Min 1x per month","1987","Rural Area","Female","","","","","3"
"Min 1x per month","1987","Rural Area","Male","","","","","3"
"Min 1x per month","1987","Urban Area","Male","","","","","3"
"Min 1x per month","1987","Urban Area","Female","","","","","3"
"Min 1x per week","1987","Rural Area","Female","","","","","2"
"Min 1x per week","1987","Urban Area","Female","","","","","2"
"Min 1x per week","1987","Urban Area","Male","","","","","2"
"Min 1x per week","1987","Rural Area","Male","","","","","2"
"Never","1987","Urban Area","Male","","","","","5"
"Never","1987","Urban Area","Female","","","","","5"
"Never","1987","Rural Area","Male","","","","","5"
"Never","1987","Rural Area","Female","","","","","5"
"Rarely","1987","Urban Area","Male","","","","","4"
"Rarely","1987","Urban Area","Female","","","","","4"
"Rarely","1987","Rural Area","Male","","","","","4"
"Rarely","1987","Rural Area","Female","","","","","4"
"Daily","1988","Urban Area","Male","","","","","1"
"Daily","1988","Rural Area","Female","","","","","1"
"Daily","1988","Urban Area","Female","","","","","1"
"Daily","1988","Rural Area","Male","","","","","1"
"Min 1x per month","1988","Rural Area","Female","58","0.0594510159726064","0.0449464222139892","0.0739556097312237","3"
"Min 1x per month","1988","Rural Area","Male","58","0.0520067976671553","0.0381192675069976","0.0658943278273131","3"
"Min 1x per month","1988","Urban Area","Male","233","0.0606229899454053","0.0531621030634259","0.0680838768273846","3"
"Min 1x per month","1988","Urban Area","Female","172","0.0448053353793609","0.0383798154726471","0.0512308552860747","3"
"Min 1x per week","1988","Urban Area","Female","840","0.228730003038056","0.215684457362963","0.24177554871315","2"
"Min 1x per week","1988","Rural Area","Male","284","0.276872222117269","0.248886303776684","0.304858140457854","2"
"Min 1x per week","1988","Rural Area","Female","197","0.190098745194931","0.16603069652826","0.214166793861602","2"
"Min 1x per week","1988","Urban Area","Male","1098","0.282795309077481","0.268715087892076","0.296875530262885","2"
"Never","1988","Urban Area","Male","2050","0.512799791847193","0.497172653084419","0.528426930609967","5"
"Never","1988","Urban Area","Female","2502","0.609878791519883","0.594728569086307","0.625029013953458","5"
"Never","1988","Rural Area","Male","485","0.50842518522551","0.477157143198943","0.539693227252077","5"
"Never","1988","Rural Area","Female","606","0.605701872396356","0.575725640800602","0.635678103992109","5"
"Rarely","1988","Rural Area","Male","155","0.162695794990066","0.139611205952202","0.185780384027931","4"
"Rarely","1988","Urban Area","Female","468","0.1165858700627","0.106617994838733","0.126553745286667","4"
"Rarely","1988","Urban Area","Male","549","0.143781909129921","0.13281217407095","0.154751644188892","4"
"Rarely","1988","Rural Area","Female","160","0.144748366436107","0.123166499440141","0.166330233432074","4"
"Daily","1989","Rural Area","Female","","","","","1"
"Daily","1989","Urban Area","Male","","","","","1"
"Daily","1989","Rural Area","Male","","","","","1"
"Daily","1989","Urban Area","Female","","","","","1"
"Min 1x per month","1989","Rural Area","Female","","","","","3"
"Min 1x per month","1989","Urban Area","Female","","","","","3"
"Min 1x per month","1989","Rural Area","Male","","","","","3"
"Min 1x per month","1989","Urban Area","Male","","","","","3"
"Min 1x per week","1989","Rural Area","Female","","","","","2"
"Min 1x per week","1989","Rural Area","Male","","","","","2"
"Min 1x per week","1989","Urban Area","Male","","","","","2"
"Min 1x per week","1989","Urban Area","Female","","","","","2"
"Never","1989","Urban Area","Male","","","","","5"
"Never","1989","Urban Area","Female","","","","","5"
"Never","1989","Rural Area","Male","","","","","5"
"Never","1989","Rural Area","Female","","","","","5"
"Rarely","1989","Rural Area","Male","","","","","4"
"Rarely","1989","Rural Area","Female","","","","","4"
"Rarely","1989","Urban Area","Male","","","","","4"
"Rarely","1989","Urban Area","Female","","","","","4"
"Daily","1990","Rural Area","Female","20","","","","1"
"Daily","1990","Urban Area","Male","197","0.048597356532574","0.0422697302346554","0.0549249828304926","1"
"Daily","1990","Rural Area","Male","57","0.0350440520766526","0.0274406587544857","0.0426474453988194","1"
"Daily","1990","Urban Area","Female","118","0.0292096822463105","0.02435081055983","0.034068553932791","1"
"Min 1x per month","1990","Rural Area","Male","161","0.0819474851480585","0.070606569186755","0.093288401109362","3"
"Min 1x per month","1990","Rural Area","Female","106","0.053281430158027","0.0442677470834437","0.0622951132326104","3"
"Min 1x per month","1990","Urban Area","Female","291","0.068551201954553","0.0612600470320767","0.0758423568770294","3"
"Min 1x per month","1990","Urban Area","Male","391","0.0915583800784196","0.083071464465865","0.100045295690974","3"
"Min 1x per week","1990","Rural Area","Female","349","0.171317526428867","0.156195887154252","0.186439165703481","2"
"Min 1x per week","1990","Urban Area","Male","1104","0.265219311356012","0.252228575247205","0.278210047464819","2"
"Min 1x per week","1990","Urban Area","Female","915","0.221455725970474","0.209474688943237","0.233436762997712","2"
"Min 1x per week","1990","Rural Area","Male","409","0.189370098300414","0.173170152300999","0.205570044299829","2"
"Never","1990","Urban Area","Male","1892","0.389285777339052","0.374937306882288","0.403634247795817","5"
"Never","1990","Urban Area","Female","2539","0.514694151467368","0.500273274383521","0.529115028551216","5"
"Never","1990","Rural Area","Male","1179","0.477860035958395","0.457206691990321","0.49851337992647","5"
"Never","1990","Rural Area","Female","1547","0.603410602249747","0.583777862141674","0.623043342357819","5"
"Rarely","1990","Rural Area","Female","363","0.156116445297751","0.141549466498898","0.170683424096605","4"
"Rarely","1990","Urban Area","Male","852","0.205339174693942","0.193451986719516","0.217226362668368","4"
"Rarely","1990","Urban Area","Female","751","0.166089238361294","0.155350832062341","0.176827644660247","4"
"Rarely","1990","Rural Area","Male","441","0.21577832851648","0.198769676852917","0.232786980180043","4"
"Daily","1991","Rural Area","Female","","","","","1"
"Daily","1991","Urban Area","Female","","","","","1"
"Daily","1991","Rural Area","Male","","","","","1"
"Daily","1991","Urban Area","Male","","","","","1"
"Min 1x per month","1991","Rural Area","Male","","","","","3"
"Min 1x per month","1991","Rural Area","Female","","","","","3"
"Min 1x per month","1991","Urban Area","Male","","","","","3"
"Min 1x per month","1991","Urban Area","Female","","","","","3"
"Min 1x per week","1991","Rural Area","Male","","","","","2"
"Min 1x per week","1991","Rural Area","Female","","","","","2"
"Min 1x per week","1991","Urban Area","Female","","","","","2"
"Min 1x per week","1991","Urban Area","Male","","","","","2"
"Never","1991","Urban Area","Male","","","","","5"
"Never","1991","Urban Area","Female","","","","","5"
"Never","1991","Rural Area","Male","","","","","5"
"Never","1991","Rural Area","Female","","","","","5"
"Rarely","1991","Urban Area","Female","","","","","4"
"Rarely","1991","Rural Area","Female","","","","","4"
"Rarely","1991","Rural Area","Male","","","","","4"
"Rarely","1991","Urban Area","Male","","","","","4"
"Daily","1992","Urban Area","Male","","","","","1"
"Daily","1992","Rural Area","Female","","","","","1"
"Daily","1992","Urban Area","Female","","","","","1"
"Daily","1992","Rural Area","Male","","","","","1"
"Min 1x per month","1992","Rural Area","Female","81","0.037612416721664","0.0297649994256874","0.0454598340176406","3"
"Min 1x per month","1992","Urban Area","Female","222","0.0495871633078726","0.0432016269058232","0.0559726997099221","3"
"Min 1x per month","1992","Rural Area","Male","127","0.0606927662340933","0.0504977452804621","0.0708877871877245","3"
"Min 1x per month","1992","Urban Area","Male","333","0.084382370303948","0.0759989646019687","0.0927657760059274","3"
"Min 1x per week","1992","Rural Area","Male","414","0.213101407969216","0.195616298046912","0.230586517891519","2"
"Min 1x per week","1992","Rural Area","Female","343","0.175168349927991","0.159490135486643","0.190846564369339","2"
"Min 1x per week","1992","Urban Area","Male","1088","0.263894191854484","0.250601204597044","0.277187179111925","2"
"Min 1x per week","1992","Urban Area","Female","926","0.227710399782364","0.215375428800483","0.240045370764244","2"
"Never","1992","Urban Area","Male","2081","0.483025815237524","0.467954291915917","0.498097338559132","5"
"Never","1992","Urban Area","Female","2624","0.577967012734964","0.563439832294147","0.592494193175781","5"
"Never","1992","Rural Area","Male","1144","0.533556315590669","0.51225504230273","0.554857588878609","5"
"Never","1992","Rural Area","Female","1480","0.652886255678461","0.633250808767442","0.672521702589481","5"
"Rarely","1992","Rural Area","Male","422","0.192649510206022","0.17580994653397","0.209489073878073","4"
"Rarely","1992","Urban Area","Male","721","0.168697622604043","0.157403004717059","0.179992240491027","4"
"Rarely","1992","Urban Area","Female","668","0.144735424174799","0.134386522343948","0.155084326005651","4"
"Rarely","1992","Rural Area","Female","354","0.134332977671884","0.120267552012107","0.14839840333166","4"
"Daily","1993","Urban Area","Male","","","","","1"
"Daily","1993","Rural Area","Male","","","","","1"
"Daily","1993","Rural Area","Female","","","","","1"
"Daily","1993","Urban Area","Female","","","","","1"
"Min 1x per month","1993","Urban Area","Female","","","","","3"
"Min 1x per month","1993","Rural Area","Male","","","","","3"
"Min 1x per month","1993","Rural Area","Female","","","","","3"
"Min 1x per month","1993","Urban Area","Male","","","","","3"
"Min 1x per week","1993","Rural Area","Female","","","","","2"
"Min 1x per week","1993","Urban Area","Female","","","","","2"
"Min 1x per week","1993","Rural Area","Male","","","","","2"
"Min 1x per week","1993","Urban Area","Male","","","","","2"
"Never","1993","Urban Area","Male","","","","","5"
"Never","1993","Urban Area","Female","","","","","5"
"Never","1993","Rural Area","Male","","","","","5"
"Never","1993","Rural Area","Female","","","","","5"
"Rarely","1993","Urban Area","Male","","","","","4"
"Rarely","1993","Rural Area","Male","","","","","4"
"Rarely","1993","Rural Area","Female","","","","","4"
"Rarely","1993","Urban Area","Female","","","","","4"
"Daily","1994","Urban Area","Male","","","","","1"
"Daily","1994","Rural Area","Male","","","","","1"
"Daily","1994","Rural Area","Female","","","","","1"
"Daily","1994","Urban Area","Female","","","","","1"
"Min 1x per month","1994","Rural Area","Male","130","0.0630258492416729","0.0524909398837652","0.0735607585995806","3"
"Min 1x per month","1994","Urban Area","Male","316","0.0692909203526216","0.0615148487786957","0.0770669919265476","3"
"Min 1x per month","1994","Urban Area","Female","230","0.0528810346524125","0.0462669048000522","0.0594951645047728","3"
"Min 1x per month","1994","Rural Area","Female","102","0.0503221873673407","0.0411727018036147","0.0594716729310667","3"
"Min 1x per week","1994","Urban Area","Female","880","0.228474902242096","0.216066531594127","0.240883272890065","2"
"Min 1x per week","1994","Rural Area","Male","433","0.225142094393935","0.207035072347491","0.243249116440378","2"
"Min 1x per week","1994","Rural Area","Female","313","0.158121872526494","0.142851509465369","0.173392235587618","2"
"Min 1x per week","1994","Urban Area","Male","1035","0.257202378202745","0.243818318928929","0.27058643747656","2"
"Never","1994","Urban Area","Male","1958","0.47391954320159","0.45863003548435","0.48920905091883","5"
"Never","1994","Urban Area","Female","2565","0.570455371603642","0.555825670215378","0.585085072991907","5"
"Never","1994","Rural Area","Male","1067","0.513783244840887","0.492115556799609","0.535450932882165","5"
"Never","1994","Rural Area","Female","1419","0.646068278203417","0.626054562398356","0.666081994008477","5"
"Rarely","1994","Urban Area","Female","723","0.148188691501849","0.137688439772179","0.158688943231519","4"
"Rarely","1994","Rural Area","Female","359","0.145487661902749","0.130730561696384","0.160244762109114","4"
"Rarely","1994","Urban Area","Male","788","0.199587158243044","0.187348369728484","0.211825946757604","4"
"Rarely","1994","Rural Area","Male","414","0.198048811523506","0.180771835392586","0.215325787654425","4"
"Daily","1995","Urban Area","Male","235","0.0541451199266732","0.0473358039169699","0.0609544359363766","1"
"Daily","1995","Urban Area","Female","189","0.0449731014067535","0.0389762870118162","0.0509699158016908","1"
"Daily","1995","Rural Area","Male","112","0.0554944138790392","0.0458283123253574","0.0651605154327211","1"
"Daily","1995","Rural Area","Female","83","0.0464192160180622","0.0377833019228305","0.0550551301132939","1"
"Min 1x per month","1995","Urban Area","Male","357","0.0944090538818475","0.0856110442362512","0.103207063527444","3"
"Min 1x per month","1995","Urban Area","Female","282","0.0561716268082145","0.0495090626868329","0.0628341909295961","3"
"Min 1x per month","1995","Rural Area","Female","140","0.0584230484314466","0.0487958331368889","0.0680502637260042","3"
"Min 1x per month","1995","Rural Area","Male","181","0.0796652636507291","0.0682330097909742","0.0910975175104839","3"
"Min 1x per week","1995","Rural Area","Male","433","0.216659973155325","0.199266394095801","0.234053552214849","2"
"Min 1x per week","1995","Urban Area","Male","1053","0.251692993586881","0.238634681493785","0.264751305679977","2"
"Min 1x per week","1995","Urban Area","Female","980","0.233431946436873","0.221191651283284","0.245672241590462","2"
"Min 1x per week","1995","Rural Area","Female","400","0.182983857210903","0.167112927241954","0.198854787179853","2"
"Never","1995","Urban Area","Male","1687","0.384864216387343","0.370223887345402","0.399504545429285","5"
"Never","1995","Urban Area","Female","2255","0.480335490941553","0.465878754833839","0.494792227049267","5"
"Never","1995","Rural Area","Male","843","0.387504337607238","0.366935287004454","0.408073388210022","5"
"Never","1995","Rural Area","Female","1099","0.503596209625434","0.483073276104997","0.524119143145871","5"
"Rarely","1995","Urban Area","Female","882","0.185087834406607","0.17385004927407","0.196325619539143","4"
"Rarely","1995","Rural Area","Male","586","0.260676011707669","0.242141020409372","0.279211003005965","4"
"Rarely","1995","Rural Area","Female","558","0.208577668714154","0.191900638244075","0.225254699184233","4"
"Rarely","1995","Urban Area","Male","911","0.214888616217255","0.202529599576303","0.227247632858206","4"
"Daily","1996","Urban Area","Male","","","","","1"
"Daily","1996","Urban Area","Female","","","","","1"
"Daily","1996","Rural Area","Male","","","","","1"
"Daily","1996","Rural Area","Female","","","","","1"
"Min 1x per month","1996","Urban Area","Female","295","0.063221320328702","0.0560998652994175","0.0703427753579864","3"
"Min 1x per month","1996","Urban Area","Male","342","0.0818809635082358","0.0735300027268197","0.090231924289652","3"
"Min 1x per month","1996","Rural Area","Male","169","0.0784892825919401","0.0670733902131716","0.0899051749707087","3"
"Min 1x per month","1996","Rural Area","Female","115","0.0512688195727833","0.0421781461554286","0.060359492990138","3"
"Min 1x per week","1996","Rural Area","Female","402","0.195406923420725","0.179063014668441","0.21175083217301","2"
"Min 1x per week","1996","Urban Area","Male","1108","0.274554004533821","0.260961111138332","0.28814689792931","2"
"Min 1x per week","1996","Urban Area","Female","928","0.233452112172441","0.221073071044111","0.245831153300771","2"
"Min 1x per week","1996","Rural Area","Male","454","0.230189482479792","0.212320939164088","0.248058025795496","2"
"Never","1996","Urban Area","Female","2434","0.530214628259127","0.515609880726242","0.544819375792011","5"
"Never","1996","Urban Area","Male","1801","0.427189354702432","0.41212289456444","0.442255814840423","5"
"Never","1996","Rural Area","Male","987","0.459916230130546","0.43876067519112","0.481071785069972","5"
"Never","1996","Rural Area","Female","1285","0.566945389110281","0.546521438237035","0.587369339983527","5"
"Rarely","1996","Urban Area","Male","890","0.216375677255511","0.203834056916647","0.228917297594376","4"
"Rarely","1996","Rural Area","Male","522","0.231405004797722","0.213503495816956","0.249306513778489","4"
"Rarely","1996","Rural Area","Female","459","0.18637886789621","0.170327677195692","0.202430058596729","4"
"Rarely","1996","Urban Area","Female","829","0.17311193923973","0.162040468215151","0.184183410264309","4"
"Daily","1997","Urban Area","Male","","","","","1"
"Daily","1997","Urban Area","Female","","","","","1"
"Daily","1997","Rural Area","Male","","","","","1"
"Daily","1997","Rural Area","Female","","","","","1"
"Min 1x per month","1997","Urban Area","Male","301","0.068850831119789","0.0610777137225016","0.0766239485170763","3"
"Min 1x per month","1997","Rural Area","Male","154","0.0661446348908025","0.0555274553427499","0.076761814438855","3"
"Min 1x per month","1997","Rural Area","Female","100","0.0487895109168269","0.0398322007818437","0.0577468210518102","3"
"Min 1x per month","1997","Urban Area","Female","208","0.0438355522838081","0.0377648825577429","0.0499062220098733","3"
"Min 1x per week","1997","Urban Area","Female","987","0.245833203515081","0.233065551337325","0.258600855692837","2"
"Min 1x per week","1997","Rural Area","Female","394","0.198679993813903","0.182089621763967","0.215270365863839","2"
"Min 1x per week","1997","Urban Area","Male","1146","0.283892362121691","0.270050420589508","0.297734303653873","2"
"Min 1x per week","1997","Rural Area","Male","445","0.236384099715425","0.218234433075682","0.254533766355169","2"
"Never","1997","Urban Area","Male","1851","0.454715666387762","0.439429011109228","0.470002321666296","5"
"Never","1997","Urban Area","Female","2423","0.541823422426206","0.527049276027275","0.556597568825138","5"
"Never","1997","Rural Area","Male","1026","0.489488481293983","0.468133654567535","0.510843308020432","5"
"Never","1997","Rural Area","Female","1259","0.570845648282004","0.550265799874067","0.59142549668994","5"
"Rarely","1997","Rural Area","Female","469","0.181684846987266","0.165652551299497","0.197717142675036","4"
"Rarely","1997","Urban Area","Male","778","0.192541140370758","0.180436469781868","0.204645810959648","4"
"Rarely","1997","Urban Area","Female","751","0.168507821774905","0.157408506564962","0.179607136984847","4"
"Rarely","1997","Rural Area","Male","480","0.207982784099789","0.190644622534717","0.225320945664861","4"
"Daily","1998","Urban Area","Male","276","0.0620706980949027","0.0550217883246154","0.0691196078651901","1"
"Daily","1998","Urban Area","Female","193","0.0401074438913127","0.0345876608324995","0.0456272269501259","1"
"Daily","1998","Rural Area","Male","114","0.0525868820223133","0.0435891560502954","0.0615846079943312","1"
"Daily","1998","Rural Area","Female","98","0.043305831452567","0.0352965332635154","0.0513151296416186","1"
"Min 1x per month","1998","Rural Area","Female","168","0.0642854070314337","0.0546346227276189","0.0739361913352484","3"
"Min 1x per month","1998","Urban Area","Male","402","0.0898477448027213","0.0814935576606306","0.098201931944812","3"
"Min 1x per month","1998","Urban Area","Female","351","0.0713913564421233","0.064148041268971","0.0786346716152756","3"
"Min 1x per month","1998","Rural Area","Male","185","0.0680056102515345","0.0578570747567031","0.0781541457463659","3"
"Min 1x per week","1998","Rural Area","Male","528","0.229823459267961","0.212863817421538","0.246783101114384","2"
"Min 1x per week","1998","Urban Area","Male","1137","0.266663067090137","0.253744129552672","0.279582004627601","2"
"Min 1x per week","1998","Urban Area","Female","1120","0.252204359980711","0.239987320862823","0.2644213990986","2"
"Min 1x per week","1998","Rural Area","Female","484","0.201843746394744","0.186049957874898","0.217637534914591","2"
"Never","1998","Urban Area","Male","1686","0.362582029102089","0.348537445299845","0.376626612904333","5"
"Never","1998","Urban Area","Female","2230","0.458283335212276","0.444266455850738","0.472300214573813","5"
"Never","1998","Rural Area","Male","892","0.385539816104519","0.365919506955037","0.405160125254001","5"
"Never","1998","Rural Area","Female","1133","0.468748343348478","0.449112266165891","0.488384420531065","5"
"Rarely","1998","Rural Area","Female","598","0.221816671772777","0.205468365610448","0.238164977935106","4"
"Rarely","1998","Urban Area","Female","960","0.178013504473577","0.167252395699121","0.188774613248033","4"
"Rarely","1998","Rural Area","Male","645","0.264044232353672","0.246274186264086","0.281814278443258","4"
"Rarely","1998","Urban Area","Male","1000","0.21883646091015","0.206757643729735","0.230915278090566","4"
"Daily","1999","Urban Area","Male","","","","","1"
"Daily","1999","Urban Area","Female","","","","","1"
"Daily","1999","Rural Area","Male","","","","","1"
"Daily","1999","Rural Area","Female","","","","","1"
"Min 1x per month","1999","Rural Area","Female","132","0.0529104577916842","0.0439750214327701","0.0618458941505982","3"
"Min 1x per month","1999","Urban Area","Female","285","0.0582619525256347","0.0515199778171907","0.0650039272340787","3"
"Min 1x per month","1999","Rural Area","Male","163","0.0673379285475422","0.0570218565371012","0.0776540005579832","3"
"Min 1x per month","1999","Urban Area","Male","347","0.0737526234516052","0.0659541441635237","0.0815511027396868","3"
"Min 1x per week","1999","Urban Area","Male","1216","0.292952242824744","0.279372846017836","0.306531639631651","2"
"Min 1x per week","1999","Rural Area","Male","524","0.237555959686771","0.220036960876725","0.255074958496816","2"
"Min 1x per week","1999","Rural Area","Female","470","0.210620445684493","0.194344632875022","0.226896258493965","2"
"Min 1x per week","1999","Urban Area","Female","1078","0.248734278390358","0.236292165145314","0.261176391635401","2"
"Never","1999","Urban Area","Male","1855","0.429113019880806","0.414345124531656","0.443880915229956","5"
"Never","1999","Urban Area","Female","2417","0.528390787697187","0.514022722114696","0.542758853279678","5"
"Never","1999","Rural Area","Male","1057","0.476363934530989","0.455804718819261","0.496923150242717","5"
"Never","1999","Rural Area","Female","1305","0.543351563865128","0.523468608670173","0.563234519060084","5"
"Rarely","1999","Rural Area","Male","523","0.218742177234698","0.201725068036963","0.235759286432434","4"
"Rarely","1999","Rural Area","Female","504","0.193117532658694","0.177360825005065","0.208874240312323","4"
"Rarely","1999","Urban Area","Male","897","0.204182113842845","0.192154668646393","0.216209559039297","4"
"Rarely","1999","Urban Area","Female","857","0.164612981386821","0.153939516035831","0.17528644673781","4"
"Daily","2000","Urban Area","Male","","","","","1"
"Daily","2000","Urban Area","Female","","","","","1"
"Daily","2000","Rural Area","Female","","","","","1"
"Daily","2000","Rural Area","Male","","","","","1"
"Min 1x per month","2000","Rural Area","Male","","","","","3"
"Min 1x per month","2000","Rural Area","Female","","","","","3"
"Min 1x per month","2000","Urban Area","Male","","","","","3"
"Min 1x per month","2000","Urban Area","Female","","","","","3"
"Min 1x per week","2000","Rural Area","Female","","","","","2"
"Min 1x per week","2000","Urban Area","Female","","","","","2"
"Min 1x per week","2000","Urban Area","Male","","","","","2"
"Min 1x per week","2000","Rural Area","Male","","","","","2"
"Never","2000","Urban Area","Male","","","","","5"
"Never","2000","Urban Area","Female","","","","","5"
"Never","2000","Rural Area","Male","","","","","5"
"Never","2000","Rural Area","Female","","","","","5"
"Rarely","2000","Rural Area","Female","","","","","4"
"Rarely","2000","Rural Area","Male","","","","","4"
"Rarely","2000","Urban Area","Male","","","","","4"
"Rarely","2000","Urban Area","Female","","","","","4"
"Daily","2001","Urban Area","Male","","","","","1"
"Daily","2001","Urban Area","Female","","","","","1"
"Daily","2001","Rural Area","Female","","","","","1"
"Daily","2001","Rural Area","Male","","","","","1"
"Min 1x per month","2001","Rural Area","Female","185","0.0406136449536683","0.034368703683599","0.0468585862237375","3"
"Min 1x per month","2001","Rural Area","Male","240","0.0633136142062213","0.0553936936015906","0.071233534810852","3"
"Min 1x per month","2001","Urban Area","Male","505","0.0751347918929937","0.0688954213048403","0.0813741624811471","3"
"Min 1x per month","2001","Urban Area","Female","442","0.0589775448139888","0.0536572429574266","0.0642978466705511","3"
"Min 1x per week","2001","Urban Area","Female","2099","0.275049424750317","0.264964968057834","0.285133881442801","2"
"Min 1x per week","2001","Rural Area","Male","882","0.242325020047336","0.228389737689731","0.256260302404941","2"
"Min 1x per week","2001","Rural Area","Female","877","0.234380203618551","0.220978418613457","0.247781988623644","2"
"Min 1x per week","2001","Urban Area","Male","2031","0.298021876184115","0.287195904730326","0.308847847637905","2"
"Never","2001","Urban Area","Male","3073","0.445880276268791","0.434115275725384","0.457645276812199","5"
"Never","2001","Urban Area","Female","3836","0.523962761750862","0.512683943195762","0.535241580305963","5"
"Never","2001","Rural Area","Male","1860","0.52573598989849","0.509496622411014","0.541975357385966","5"
"Never","2001","Rural Area","Female","2137","0.577928749534426","0.562303547517592","0.593553951551259","5"
"Rarely","2001","Urban Area","Female","1155","0.142010268684832","0.13412722642133","0.149893310948333","4"
"Rarely","2001","Rural Area","Male","650","0.168625375847953","0.156448524096819","0.180802227599086","4"
"Rarely","2001","Rural Area","Female","639","0.147077401893355","0.135872104402903","0.158282699383808","4"
"Rarely","2001","Urban Area","Male","1248","0.1809630556541","0.171850761668652","0.190075349639547","4"
"Daily","2002","Urban Area","Male","","","","","1"
"Daily","2002","Urban Area","Female","","","","","1"
"Daily","2002","Rural Area","Female","","","","","1"
"Daily","2002","Rural Area","Male","","","","","1"
"Min 1x per month","2002","Rural Area","Female","","","","","3"
"Min 1x per month","2002","Urban Area","Female","","","","","3"
"Min 1x per month","2002","Rural Area","Male","","","","","3"
"Min 1x per month","2002","Urban Area","Male","","","","","3"
"Min 1x per week","2002","Rural Area","Female","","","","","2"
"Min 1x per week","2002","Rural Area","Male","","","","","2"
"Min 1x per week","2002","Urban Area","Male","","","","","2"
"Min 1x per week","2002","Urban Area","Female","","","","","2"
"Never","2002","Urban Area","Female","","","","","5"
"Never","2002","Urban Area","Male","","","","","5"
"Never","2002","Rural Area","Male","","","","","5"
"Never","2002","Rural Area","Female","","","","","5"
"Rarely","2002","Rural Area","Male","","","","","4"
"Rarely","2002","Rural Area","Female","","","","","4"
"Rarely","2002","Urban Area","Female","","","","","4"
"Rarely","2002","Urban Area","Male","","","","","4"
