"pli0092_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1986","direct migration background","Rural Area","20","","",""
"Min 1x per month","1986","indirect migration background","Urban Area","10","","",""
"Min 1x per month","1986","indirect migration background","Rural Area","2","","",""
"Rarely","1986","no migration background","Urban Area","756","0.121864473538641","0.113415695827504","0.130313251249779"
"Rarely","1986","no migration background","Rural Area","226","0.117087589444786","0.102167723904524","0.132007454985048"
"Rarely","1986","direct migration background","Urban Area","224","0.0960141778849842","0.0844074719124803","0.107620883857488"
"Rarely","1986","direct migration background","Rural Area","49","0.133327614854987","0.0979169570586783","0.168738272651296"
"Rarely","1986","indirect migration background","Urban Area","21","","",""
"Rarely","1986","indirect migration background","Rural Area","3","","",""
"Never","1986","no migration background","Urban Area","3058","0.564977377997695","0.552173368076523","0.577781387918866"
"Never","1986","no migration background","Rural Area","1012","0.59567579980624","0.572902785846182","0.618448813766297"
"Never","1986","direct migration background","Urban Area","1783","0.691998192716046","0.673809997708328","0.710186387723764"
"Never","1986","direct migration background","Rural Area","226","0.608586323116844","0.557743980552432","0.659428665681255"
"Never","1986","indirect migration background","Urban Area","51","0.457128499030169","0.373405204955154","0.540851793105184"
"Never","1986","indirect migration background","Rural Area","8","","",""
"Daily","1987","no migration background","Urban Area","","","",""
"Daily","1987","no migration background","Rural Area","","","",""
"Daily","1987","direct migration background","Urban Area","","","",""
"Daily","1987","direct migration background","Rural Area","","","",""
"Daily","1987","indirect migration background","Urban Area","","","",""
"Daily","1987","indirect migration background","Rural Area","","","",""
"Min 1x per week","1987","no migration background","Urban Area","","","",""
"Min 1x per week","1987","no migration background","Rural Area","","","",""
"Min 1x per week","1987","direct migration background","Urban Area","","","",""
"Min 1x per week","1987","direct migration background","Rural Area","","","",""
"Min 1x per week","1987","indirect migration background","Urban Area","","","",""
"Min 1x per week","1987","indirect migration background","Rural Area","","","",""
"Min 1x per month","1987","no migration background","Urban Area","","","",""
"Min 1x per month","1987","no migration background","Rural Area","","","",""
"Min 1x per month","1987","direct migration background","Urban Area","","","",""
"Min 1x per month","1987","direct migration background","Rural Area","","","",""
"Min 1x per month","1987","indirect migration background","Urban Area","","","",""
"Min 1x per month","1987","indirect migration background","Rural Area","","","",""
"Rarely","1987","no migration background","Urban Area","","","",""
"Rarely","1987","no migration background","Rural Area","","","",""
"Rarely","1987","direct migration background","Urban Area","","","",""
"Rarely","1987","direct migration background","Rural Area","","","",""
"Rarely","1987","indirect migration background","Urban Area","","","",""
"Rarely","1987","indirect migration background","Rural Area","","","",""
"Never","1987","no migration background","Urban Area","","","",""
"Never","1987","no migration background","Rural Area","","","",""
"Never","1987","direct migration background","Urban Area","","","",""
"Never","1987","direct migration background","Rural Area","","","",""
"Never","1987","indirect migration background","Urban Area","","","",""
"Never","1987","indirect migration background","Rural Area","","","",""
"Daily","1988","no migration background","Urban Area","","","",""
"Daily","1988","no migration background","Rural Area","","","",""
"Daily","1988","direct migration background","Urban Area","","","",""
"Daily","1988","direct migration background","Rural Area","","","",""
"Daily","1988","indirect migration background","Urban Area","","","",""
"Daily","1988","indirect migration background","Rural Area","","","",""
"Min 1x per week","1988","no migration background","Urban Area","1534","0.266538739289132","0.254736017096329","0.278341461481936"
"Min 1x per week","1988","no migration background","Rural Area","411","0.230334410839303","0.209975255475578","0.250693566203027"
"Min 1x per week","1988","direct migration background","Urban Area","327","0.157716902954799","0.142911345434732","0.172522460474867"
"Min 1x per week","1988","direct migration background","Rural Area","62","0.252107999102957","0.205399941614052","0.298816056591863"
"Min 1x per week","1988","indirect migration background","Urban Area","77","0.279487391635764","0.216177533653768","0.342797249617761"
"Min 1x per week","1988","indirect migration background","Rural Area","8","","",""
"Min 1x per month","1988","no migration background","Urban Area","326","0.0554703515349775","0.0493602042137994","0.0615804988561555"
"Min 1x per month","1988","no migration background","Rural Area","92","0.0562431059509808","0.0451028793230138","0.0673833325789478"
"Min 1x per month","1988","direct migration background","Urban Area","65","0.0268076502850312","0.020246419395446","0.0333688811746164"
"Min 1x per month","1988","direct migration background","Rural Area","20","","",""
"Min 1x per month","1988","indirect migration background","Urban Area","14","","",""
"Min 1x per month","1988","indirect migration background","Rural Area","4","","",""
"Rarely","1988","no migration background","Urban Area","769","0.132321410036117","0.123276423476817","0.141366396595418"
"Rarely","1988","no migration background","Rural Area","272","0.156029784050282","0.138483036684712","0.173576531415852"
"Rarely","1988","direct migration background","Urban Area","215","0.107023771070808","0.0944658810033531","0.119581661138262"
"Rarely","1988","direct migration background","Rural Area","37","0.112236543364789","0.0782822401486543","0.146190846580924"
"Rarely","1988","indirect migration background","Urban Area","33","0.135974775738852","0.0876175003991803","0.184332051078524"
"Rarely","1988","indirect migration background","Rural Area","6","","",""
"Never","1988","no migration background","Urban Area","2762","0.545669499139773","0.532378298580094","0.558960699699451"
"Never","1988","no migration background","Rural Area","868","0.557392699159434","0.533375672842315","0.581409725476553"
"Never","1988","direct migration background","Urban Area","1721","0.708451675689362","0.689990175300142","0.726913176078582"
"Never","1988","direct migration background","Rural Area","213","0.586217939426934","0.533240077093083","0.639195801760784"
"Never","1988","indirect migration background","Urban Area","69","0.52056605999461","0.450085110049253","0.591047009939968"
"Never","1988","indirect migration background","Rural Area","10","","",""
"Daily","1989","no migration background","Urban Area","","","",""
"Daily","1989","no migration background","Rural Area","","","",""
"Daily","1989","direct migration background","Urban Area","","","",""
"Daily","1989","direct migration background","Rural Area","","","",""
"Daily","1989","indirect migration background","Urban Area","","","",""
"Daily","1989","indirect migration background","Rural Area","","","",""
"Min 1x per week","1989","no migration background","Urban Area","","","",""
"Min 1x per week","1989","no migration background","Rural Area","","","",""
"Min 1x per week","1989","direct migration background","Urban Area","","","",""
"Min 1x per week","1989","direct migration background","Rural Area","","","",""
"Min 1x per week","1989","indirect migration background","Urban Area","","","",""
"Min 1x per week","1989","indirect migration background","Rural Area","","","",""
"Min 1x per month","1989","no migration background","Urban Area","","","",""
"Min 1x per month","1989","no migration background","Rural Area","","","",""
"Min 1x per month","1989","direct migration background","Urban Area","","","",""
"Min 1x per month","1989","direct migration background","Rural Area","","","",""
"Min 1x per month","1989","indirect migration background","Urban Area","","","",""
"Min 1x per month","1989","indirect migration background","Rural Area","","","",""
"Rarely","1989","no migration background","Urban Area","","","",""
"Rarely","1989","no migration background","Rural Area","","","",""
"Rarely","1989","direct migration background","Urban Area","","","",""
"Rarely","1989","direct migration background","Rural Area","","","",""
"Rarely","1989","indirect migration background","Urban Area","","","",""
"Rarely","1989","indirect migration background","Rural Area","","","",""
"Never","1989","no migration background","Urban Area","","","",""
"Never","1989","no migration background","Rural Area","","","",""
"Never","1989","direct migration background","Urban Area","","","",""
"Never","1989","direct migration background","Rural Area","","","",""
"Never","1989","indirect migration background","Urban Area","","","",""
"Never","1989","indirect migration background","Rural Area","","","",""
"Daily","1990","no migration background","Urban Area","234","0.0386386604559643","0.0339661914768597","0.0433111294350688"
"Daily","1990","no migration background","Rural Area","62","0.0239691003104083","0.0193406057421481","0.0285975948786685"
"Daily","1990","direct migration background","Urban Area","64","0.0369747788681168","0.0291881376089126","0.044761420127321"
"Daily","1990","direct migration background","Rural Area","12","","",""
"Daily","1990","indirect migration background","Urban Area","17","","",""
"Daily","1990","indirect migration background","Rural Area","3","","",""
"Min 1x per week","1990","no migration background","Urban Area","1637","0.253039687924438","0.242499820345148","0.263579555503728"
"Min 1x per week","1990","no migration background","Rural Area","689","0.180867714349091","0.16922002831829","0.192515400379892"
"Min 1x per week","1990","direct migration background","Urban Area","297","0.1574408164626","0.142411562668792","0.172470070256407"
"Min 1x per week","1990","direct migration background","Rural Area","61","0.16883145939993","0.132075067026472","0.205587851773388"
"Min 1x per week","1990","indirect migration background","Urban Area","85","0.284080316774978","0.229051400339685","0.339109233210271"
"Min 1x per week","1990","indirect migration background","Rural Area","8","","",""
"Min 1x per month","1990","no migration background","Urban Area","518","0.0819089991915747","0.0752608501941918","0.0885571481889577"
"Min 1x per month","1990","no migration background","Rural Area","236","0.067218103879214","0.0596407897591008","0.0747954179993272"
"Min 1x per month","1990","direct migration background","Urban Area","126","0.0567328048192776","0.047186989313243","0.0662786203253123"
"Min 1x per month","1990","direct migration background","Rural Area","27","","",""
"Min 1x per month","1990","indirect migration background","Urban Area","38","0.13129698894418","0.0900871151314374","0.172506862756923"
"Min 1x per month","1990","indirect migration background","Rural Area","4","","",""
"Rarely","1990","no migration background","Urban Area","1254","0.188125205867453","0.178650623133143","0.197599788601763"
"Rarely","1990","no migration background","Rural Area","745","0.187179585064057","0.175376143616849","0.198983026511265"
"Rarely","1990","direct migration background","Urban Area","310","0.157209163912333","0.142188906527505","0.172229421297161"
"Rarely","1990","direct migration background","Rural Area","48","0.146017286677134","0.111368476958917","0.180666096395352"
"Rarely","1990","indirect migration background","Urban Area","39","0.210618667451277","0.160864427725075","0.260372907177479"
"Rarely","1990","indirect migration background","Rural Area","11","","",""
"Never","1990","no migration background","Urban Area","2893","0.43828744656057","0.426258470791613","0.450316422329527"
"Never","1990","no migration background","Rural Area","2463","0.540765496397229","0.525685409280118","0.55584558351434"
"Never","1990","direct migration background","Urban Area","1459","0.591642435937673","0.571359608122619","0.611925263752727"
"Never","1990","direct migration background","Rural Area","251","0.588293199662135","0.540003714241034","0.636582685083237"
"Never","1990","indirect migration background","Urban Area","79","0.335754534459842","0.278129197148592","0.393379871771092"
"Never","1990","indirect migration background","Rural Area","12","","",""
"Daily","1991","no migration background","Urban Area","","","",""
"Daily","1991","no migration background","Rural Area","","","",""
"Daily","1991","direct migration background","Urban Area","","","",""
"Daily","1991","direct migration background","Rural Area","","","",""
"Daily","1991","indirect migration background","Urban Area","","","",""
"Daily","1991","indirect migration background","Rural Area","","","",""
"Min 1x per week","1991","no migration background","Urban Area","","","",""
"Min 1x per week","1991","no migration background","Rural Area","","","",""
"Min 1x per week","1991","direct migration background","Urban Area","","","",""
"Min 1x per week","1991","direct migration background","Rural Area","","","",""
"Min 1x per week","1991","indirect migration background","Urban Area","","","",""
"Min 1x per week","1991","indirect migration background","Rural Area","","","",""
"Min 1x per month","1991","no migration background","Urban Area","","","",""
"Min 1x per month","1991","no migration background","Rural Area","","","",""
"Min 1x per month","1991","direct migration background","Urban Area","","","",""
"Min 1x per month","1991","direct migration background","Rural Area","","","",""
"Min 1x per month","1991","indirect migration background","Urban Area","","","",""
"Min 1x per month","1991","indirect migration background","Rural Area","","","",""
"Rarely","1991","no migration background","Urban Area","","","",""
"Rarely","1991","no migration background","Rural Area","","","",""
"Rarely","1991","direct migration background","Urban Area","","","",""
"Rarely","1991","direct migration background","Rural Area","","","",""
"Rarely","1991","indirect migration background","Urban Area","","","",""
"Rarely","1991","indirect migration background","Rural Area","","","",""
"Never","1991","no migration background","Urban Area","","","",""
"Never","1991","no migration background","Rural Area","","","",""
"Never","1991","direct migration background","Urban Area","","","",""
"Never","1991","direct migration background","Rural Area","","","",""
"Never","1991","indirect migration background","Urban Area","","","",""
"Never","1991","indirect migration background","Rural Area","","","",""
"Daily","1992","no migration background","Urban Area","","","",""
"Daily","1992","no migration background","Rural Area","","","",""
"Daily","1992","direct migration background","Urban Area","","","",""
"Daily","1992","direct migration background","Rural Area","","","",""
"Daily","1992","indirect migration background","Urban Area","","","",""
"Daily","1992","indirect migration background","Rural Area","","","",""
"Min 1x per week","1992","no migration background","Urban Area","1573","0.254967939079136","0.24412523796945","0.265810640188821"
"Min 1x per week","1992","no migration background","Rural Area","676","0.192074134458534","0.17973607246812","0.204412196448948"
"Min 1x per week","1992","direct migration background","Urban Area","293","0.158776888746449","0.143186633842798","0.174367143650099"
"Min 1x per week","1992","direct migration background","Rural Area","67","0.209107857302064","0.169003334819892","0.249212379784236"
"Min 1x per week","1992","indirect migration background","Urban Area","148","0.397824950616787","0.346177851813283","0.449472049420291"
"Min 1x per week","1992","indirect migration background","Rural Area","14","","",""
"Min 1x per month","1992","no migration background","Urban Area","428","0.0696887316240594","0.0633543731241275","0.0760230901239913"
"Min 1x per month","1992","no migration background","Rural Area","183","0.0482862498230891","0.0415720902318337","0.0550004094143444"
"Min 1x per month","1992","direct migration background","Urban Area","87","0.0414257429931125","0.0329250954748499","0.0499263905113751"
"Min 1x per month","1992","direct migration background","Rural Area","18","","",""
"Min 1x per month","1992","indirect migration background","Urban Area","40","0.0797273016801891","0.0511447929076342","0.108309810452744"
"Min 1x per month","1992","indirect migration background","Rural Area","7","","",""
"Rarely","1992","no migration background","Urban Area","1075","0.160339183092197","0.151211112391929","0.169467253792465"
"Rarely","1992","no migration background","Rural Area","699","0.161786636696476","0.150252758439605","0.173320514953347"
"Rarely","1992","direct migration background","Urban Area","248","0.123976497469266","0.109918238649445","0.138034756289087"
"Rarely","1992","direct migration background","Rural Area","61","0.164029666949975","0.127511734790837","0.200547599109113"
"Rarely","1992","indirect migration background","Urban Area","66","0.191171670021636","0.149678321134821","0.232665018908451"
"Rarely","1992","indirect migration background","Rural Area","16","","",""
"Never","1992","no migration background","Urban Area","3131","0.515004146204608","0.502570984158904","0.527437308250313"
"Never","1992","no migration background","Rural Area","2358","0.597852979021901","0.582495625694962","0.61321033234884"
"Never","1992","direct migration background","Urban Area","1483","0.675820870791173","0.655853894611216","0.695787846971129"
"Never","1992","direct migration background","Rural Area","249","0.581683423394223","0.533037615058987","0.630329231729458"
"Never","1992","indirect migration background","Urban Area","91","0.331276077681388","0.281610326210091","0.380941829152684"
"Never","1992","indirect migration background","Rural Area","17","","",""
"Daily","1993","no migration background","Urban Area","","","",""
"Daily","1993","no migration background","Rural Area","","","",""
"Daily","1993","direct migration background","Urban Area","","","",""
"Daily","1993","direct migration background","Rural Area","","","",""
"Daily","1993","indirect migration background","Urban Area","","","",""
"Daily","1993","indirect migration background","Rural Area","","","",""
"Min 1x per week","1993","no migration background","Urban Area","","","",""
"Min 1x per week","1993","no migration background","Rural Area","","","",""
"Min 1x per week","1993","direct migration background","Urban Area","","","",""
"Min 1x per week","1993","direct migration background","Rural Area","","","",""
"Min 1x per week","1993","indirect migration background","Urban Area","","","",""
"Min 1x per week","1993","indirect migration background","Rural Area","","","",""
"Min 1x per month","1993","no migration background","Urban Area","","","",""
"Min 1x per month","1993","no migration background","Rural Area","","","",""
"Min 1x per month","1993","direct migration background","Urban Area","","","",""
"Min 1x per month","1993","direct migration background","Rural Area","","","",""
"Min 1x per month","1993","indirect migration background","Urban Area","","","",""
"Min 1x per month","1993","indirect migration background","Rural Area","","","",""
"Rarely","1993","no migration background","Urban Area","","","",""
"Rarely","1993","no migration background","Rural Area","","","",""
"Rarely","1993","direct migration background","Urban Area","","","",""
"Rarely","1993","direct migration background","Rural Area","","","",""
"Rarely","1993","indirect migration background","Urban Area","","","",""
"Rarely","1993","indirect migration background","Rural Area","","","",""
"Never","1993","no migration background","Urban Area","","","",""
"Never","1993","no migration background","Rural Area","","","",""
"Never","1993","direct migration background","Urban Area","","","",""
"Never","1993","direct migration background","Rural Area","","","",""
"Never","1993","indirect migration background","Urban Area","","","",""
"Never","1993","indirect migration background","Rural Area","","","",""
"Daily","1994","no migration background","Urban Area","","","",""
"Daily","1994","no migration background","Rural Area","","","",""
"Daily","1994","direct migration background","Urban Area","","","",""
"Daily","1994","direct migration background","Rural Area","","","",""
"Daily","1994","indirect migration background","Urban Area","","","",""
"Daily","1994","indirect migration background","Rural Area","","","",""
"Min 1x per week","1994","no migration background","Urban Area","1506","0.253065881318184","0.242156364255882","0.263975398380486"
"Min 1x per week","1994","no migration background","Rural Area","672","0.188362286966724","0.175930476529247","0.200794097404202"
"Min 1x per week","1994","direct migration background","Urban Area","253","0.160674216925094","0.144474295987792","0.176874137862397"
"Min 1x per week","1994","direct migration background","Rural Area","52","0.193101827454652","0.152826649705748","0.233377005203556"
"Min 1x per week","1994","indirect migration background","Urban Area","156","0.344049198375666","0.29861641390502","0.389481982846312"
"Min 1x per week","1994","indirect migration background","Rural Area","22","","",""
"Min 1x per month","1994","no migration background","Urban Area","408","0.0631039401582721","0.0570026521895098","0.0692052281270343"
"Min 1x per month","1994","no migration background","Rural Area","200","0.0550095119444623","0.047760331551058","0.0622586923378666"
"Min 1x per month","1994","direct migration background","Urban Area","86","0.04212177649223","0.0332607709832841","0.050982782001176"
"Min 1x per month","1994","direct migration background","Rural Area","21","","",""
"Min 1x per month","1994","indirect migration background","Urban Area","52","0.0877932379206458","0.0607286996197102","0.114857776221581"
"Min 1x per month","1994","indirect migration background","Rural Area","11","","",""
"Rarely","1994","no migration background","Urban Area","1125","0.17426711160113","0.164748467558392","0.183785755643867"
"Rarely","1994","no migration background","Rural Area","687","0.170917816070037","0.158949067285801","0.182886564854273"
"Rarely","1994","direct migration background","Urban Area","290","0.144972111121864","0.129440844014982","0.160503378228747"
"Rarely","1994","direct migration background","Rural Area","63","0.15647557743058","0.119406906073954","0.193544248787207"
"Rarely","1994","indirect migration background","Urban Area","96","0.286963414499855","0.243702806551252","0.330224022448459"
"Rarely","1994","indirect migration background","Rural Area","23","","",""
"Never","1994","no migration background","Urban Area","3062","0.509563066922414","0.497019006596705","0.522107127248122"
"Never","1994","no migration background","Rural Area","2241","0.585710385018776","0.570048292741575","0.601372477295978"
"Never","1994","direct migration background","Urban Area","1345","0.652231895460811","0.631222168547708","0.673241622373915"
"Never","1994","direct migration background","Rural Area","233","0.596508536756385","0.546452044257777","0.646565029254994"
"Never","1994","indirect migration background","Urban Area","116","0.281194149203833","0.238197720189383","0.324190578218283"
"Never","1994","indirect migration background","Rural Area","12","","",""
"Daily","1995","no migration background","Urban Area","295","0.046452749025317","0.0411581806068948","0.0517473174437391"
"Daily","1995","no migration background","Rural Area","175","0.0497372292447213","0.0429124308772759","0.0565620276121667"
"Daily","1995","direct migration background","Urban Area","81","0.0537759272823584","0.044608780482075","0.0629430740826417"
"Daily","1995","direct migration background","Rural Area","15","","",""
"Daily","1995","indirect migration background","Urban Area","48","0.121676138111063","0.0909552680127416","0.152397008209384"
"Daily","1995","indirect migration background","Rural Area","5","","",""
"Min 1x per week","1995","no migration background","Urban Area","1600","0.259473301799745","0.248445969928958","0.270500633670531"
"Min 1x per week","1995","no migration background","Rural Area","744","0.194614861249992","0.18218641095171","0.207043311548275"
"Min 1x per week","1995","direct migration background","Urban Area","290","0.150256207631835","0.13573497617453","0.164777439089139"
"Min 1x per week","1995","direct migration background","Rural Area","67","0.22814684705431","0.189881850359014","0.266411843749605"
"Min 1x per week","1995","indirect migration background","Urban Area","143","0.289641203878027","0.247015406540139","0.332267001215915"
"Min 1x per week","1995","indirect migration background","Rural Area","22","","",""
"Min 1x per month","1995","no migration background","Urban Area","481","0.0787394347602115","0.0719639381452327","0.0855149313751904"
"Min 1x per month","1995","no migration background","Rural Area","279","0.0690845484314306","0.0611234543797153","0.0770456424831458"
"Min 1x per month","1995","direct migration background","Urban Area","108","0.0493107466725821","0.0405117466763032","0.0581097466688609"
"Min 1x per month","1995","direct migration background","Rural Area","31","0.0593170199012941","0.0377773814957857","0.0808566583068026"
"Min 1x per month","1995","indirect migration background","Urban Area","50","0.100447813739025","0.0721998668117961","0.128695760666253"
"Min 1x per month","1995","indirect migration background","Rural Area","11","","",""
"Rarely","1995","no migration background","Urban Area","1331","0.203131169496142","0.19300988925725","0.213252449735035"
"Rarely","1995","no migration background","Rural Area","1046","0.242364912341781","0.228912750408772","0.25581707427479"
"Rarely","1995","direct migration background","Urban Area","374","0.17621378191819","0.160730235768837","0.191697328067543"
"Rarely","1995","direct migration background","Rural Area","78","0.153184130648243","0.120342214690589","0.186026046605897"
"Rarely","1995","indirect migration background","Urban Area","88","0.229127142662662","0.189632961923415","0.268621323401909"
"Rarely","1995","indirect migration background","Rural Area","20","","",""
"Never","1995","no migration background","Urban Area","2363","0.412203344918584","0.399820425223484","0.424586264613684"
"Never","1995","no migration background","Rural Area","1654","0.444198448732075","0.428600209758487","0.459796687705662"
"Never","1995","direct migration background","Urban Area","1473","0.570443336495035","0.550326498349086","0.590560174640984"
"Never","1995","direct migration background","Rural Area","271","0.503693747389917","0.458102103010536","0.549285391769298"
"Never","1995","indirect migration background","Urban Area","106","0.259107701609224","0.217933881410777","0.300281521807671"
"Never","1995","indirect migration background","Rural Area","17","","",""
"Daily","1996","no migration background","Urban Area","","","",""
"Daily","1996","no migration background","Rural Area","","","",""
"Daily","1996","direct migration background","Urban Area","","","",""
"Daily","1996","direct migration background","Rural Area","","","",""
"Daily","1996","indirect migration background","Urban Area","","","",""
"Daily","1996","indirect migration background","Rural Area","","","",""
"Min 1x per week","1996","no migration background","Urban Area","1617","0.268574386811761","0.257367099449235","0.279781674174287"
"Min 1x per week","1996","no migration background","Rural Area","772","0.214700804623894","0.201752284109007","0.227649325138781"
"Min 1x per week","1996","direct migration background","Urban Area","274","0.165186255990849","0.149533097002417","0.180839414979281"
"Min 1x per week","1996","direct migration background","Rural Area","54","0.151452691574196","0.118069891926338","0.184835491222054"
"Min 1x per week","1996","indirect migration background","Urban Area","145","0.335106504972765","0.291829473613383","0.378383536332148"
"Min 1x per week","1996","indirect migration background","Rural Area","30","0.47485645783521","0.369924287971314","0.579788627699107"
"Min 1x per month","1996","no migration background","Urban Area","462","0.0726586604682457","0.0660949920595755","0.0792223288769158"
"Min 1x per month","1996","no migration background","Rural Area","240","0.0615056847564237","0.0539293494141143","0.069082020098733"
"Min 1x per month","1996","direct migration background","Urban Area","114","0.0598926533434722","0.0498904484618589","0.0698948582250855"
"Min 1x per month","1996","direct migration background","Rural Area","32","0.092439531001598","0.0654675478299399","0.119411514173256"
"Min 1x per month","1996","indirect migration background","Urban Area","61","0.141619604255649","0.109653362885538","0.17358584562576"
"Min 1x per month","1996","indirect migration background","Rural Area","12","","",""
"Rarely","1996","no migration background","Urban Area","1254","0.197892247471162","0.18781797073925","0.207966524203074"
"Rarely","1996","no migration background","Rural Area","873","0.210943420709523","0.1980780352737","0.223808806145346"
"Rarely","1996","direct migration background","Urban Area","346","0.163791178480091","0.148191240475117","0.179391116485064"
"Rarely","1996","direct migration background","Rural Area","80","0.178859757010095","0.143172660566463","0.214546853453728"
"Rarely","1996","indirect migration background","Urban Area","119","0.263427397820145","0.223041639478459","0.303813156161831"
"Rarely","1996","indirect migration background","Rural Area","28","","",""
"Never","1996","no migration background","Urban Area","2675","0.460874705248832","0.44827038527244","0.473479025225223"
"Never","1996","no migration background","Rural Area","1978","0.512850089910159","0.497088055607876","0.528612124212443"
"Never","1996","direct migration background","Urban Area","1428","0.611129912185588","0.590580978726004","0.631678845645172"
"Never","1996","direct migration background","Rural Area","277","0.57724802041411","0.531246701990329","0.623249338837892"
"Never","1996","indirect migration background","Urban Area","132","0.259846492951441","0.219638784563879","0.300054201339002"
"Never","1996","indirect migration background","Rural Area","17","","",""
"Daily","1997","no migration background","Urban Area","","","",""
"Daily","1997","no migration background","Rural Area","","","",""
"Daily","1997","direct migration background","Urban Area","","","",""
"Daily","1997","direct migration background","Rural Area","","","",""
"Daily","1997","indirect migration background","Urban Area","","","",""
"Daily","1997","indirect migration background","Rural Area","","","",""
"Min 1x per week","1997","no migration background","Urban Area","1656","0.279108604628497","0.267674493416688","0.290542715840306"
"Min 1x per week","1997","no migration background","Rural Area","768","0.221120972034117","0.207965818699249","0.234276125368986"
"Min 1x per week","1997","direct migration background","Urban Area","275","0.166094436926804","0.14998007585075","0.182208798002859"
"Min 1x per week","1997","direct migration background","Rural Area","48","0.167572602438934","0.13185369750717","0.203291507370697"
"Min 1x per week","1997","indirect migration background","Urban Area","202","0.411768412963934","0.36792280510989","0.455614020817977"
"Min 1x per week","1997","indirect migration background","Rural Area","23","","",""
"Min 1x per month","1997","no migration background","Urban Area","375","0.0558449461522863","0.049991731141883","0.0616981611626896"
"Min 1x per month","1997","no migration background","Rural Area","218","0.0571632695738447","0.0498042032134785","0.0645223359342109"
"Min 1x per month","1997","direct migration background","Urban Area","82","0.0479395270075744","0.0386892177664376","0.0571898362487113"
"Min 1x per month","1997","direct migration background","Rural Area","20","","",""
"Min 1x per month","1997","indirect migration background","Urban Area","52","0.103613916622676","0.0764631555414158","0.130764677703935"
"Min 1x per month","1997","indirect migration background","Rural Area","16","","",""
