"ple0160","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2001","inadequately","Female","177","0.982006708613546","0.962587819923796","1.0014255973033","2"
"No","2001","higher vocational","Male","909","0.947136408012872","0.932989191586685","0.96128362443906","2"
"No","2001","higher vocational","Female","666","0.939385602965225","0.921882750592697","0.956888455337753","2"
"No","2001","in school","Male","253","0.972596012906182","0.952865274604103","0.992326751208262","2"
"No","2001","general elemantary","Male","952","0.941706249622447","0.927256639509097","0.956155859735796","2"
"No","2001","general elemantary","Female","2028","0.97099185871635","0.963820639996258","0.978163077436442","2"
"No","2001","higher education","Male","1861","0.920877996529501","0.909053960612229","0.932702032446773","2"
"No","2001","higher education","Female","1425","0.906666875778276","0.892236141958997","0.921097609597554","2"
"No","2001","middle vocational","Male","5307","0.941253450508975","0.935128428822263","0.947378472195688","2"
"No","2001","middle vocational","Female","5627","0.949518285601683","0.943961362327342","0.955075208876024","2"
"No","2001","vocational + Abi","Male","436","0.908621302937156","0.882897302401998","0.934345303472314","2"
"No","2001","vocational + Abi","Female","539","0.912387764065705","0.889670202360707","0.935105325770703","2"
"Yes","2001","in school","Male","10","","","","1"
"Yes","2001","in school","Female","12","","","","1"
"Yes","2001","inadequately","Male","6","","","","1"
"Yes","2001","inadequately","Female","3","","","","1"
"Yes","2001","general elemantary","Male","58","0.0582937503775533","0.0438441402642038","0.0727433604909028","1"
"Yes","2001","general elemantary","Female","76","0.0290081412836501","0.0218369225635581","0.036179360003742","1"
"Yes","2001","middle vocational","Male","355","0.0587465494910245","0.0526215278043119","0.0648715711777372","1"
"Yes","2001","middle vocational","Female","336","0.0504817143983167","0.0449247911239757","0.0560386376726577","1"
"Yes","2001","vocational + Abi","Male","46","0.0913786970628443","0.0656546965276864","0.117102697598002","1"
"Yes","2001","vocational + Abi","Female","56","0.0876122359342948","0.0648946742292967","0.110329797639293","1"
"Yes","2001","higher vocational","Male","52","0.0528635919871278","0.0387163755609402","0.0670108084133153","1"
"Yes","2001","higher vocational","Female","48","0.0606143970347752","0.043111544662247","0.0781172494073034","1"
"Yes","2001","higher education","Male","141","0.0791220034704988","0.067297967553227","0.0909460393877706","1"
"Yes","2001","higher education","Female","136","0.0933331242217243","0.0789023904024458","0.107763858041003","1"
"No","2002","higher vocational","Male","784","0.966876170450382","0.954634738817486","0.979117602083279","2"
"No","2002","in school","Female","240","0.948643122023618","0.921282319901716","0.976003924145521","2"
"No","2002","inadequately","Male","110","0.982862639165504","0.9588269010387","1.00689837729231","2"
"No","2002","higher vocational","Female","618","0.947089541218755","0.929893682008094","0.964285400429415","2"
"No","2002","higher education","Female","1254","0.954612548368135","0.943392006452667","0.965833090283603","2"
"No","2002","higher education","Male","1473","0.955350574345148","0.945062077334381","0.965639071355915","2"
"No","2002","inadequately","Female","157","0.979455086181134","0.957474841404107","1.00143533095816","2"
"No","2002","general elemantary","Male","851","0.952212491123095","0.938291538507113","0.966133443739077","2"
"No","2002","general elemantary","Female","1791","0.973366261544103","0.966029296726343","0.980703226361863","2"
"No","2002","middle vocational","Male","4628","0.951366623750251","0.945329739080496","0.957403508420007","2"
"No","2002","middle vocational","Female","5315","0.963353616641775","0.958409950262715","0.968297283020836","2"
"No","2002","vocational + Abi","Male","397","0.925617221156801","0.900729446488641","0.950504995824961","2"
"No","2002","vocational + Abi","Female","560","0.925893503712403","0.905089443432244","0.946697563992562","2"
"No","2002","in school","Male","223","0.953321082112009","0.926176442064715","0.980465722159303","2"
"Yes","2002","in school","Male","9","","","","1"
"Yes","2002","in school","Female","10","","","","1"
"Yes","2002","inadequately","Male","2","","","","1"
"Yes","2002","inadequately","Female","3","","","","1"
"Yes","2002","general elemantary","Male","51","0.047787508876905","0.0338665562609232","0.0617084614928867","1"
"Yes","2002","general elemantary","Female","59","0.0266337384558969","0.0192967736381372","0.0339707032736567","1"
"Yes","2002","middle vocational","Male","249","0.0486333762497486","0.0425964915799931","0.0546702609195042","1"
"Yes","2002","middle vocational","Female","234","0.0366463833582247","0.0317027169791644","0.0415900497372851","1"
"Yes","2002","vocational + Abi","Male","30","0.074382778843199","0.0494950041750388","0.0992705535113593","1"
"Yes","2002","vocational + Abi","Female","49","0.074106496287597","0.053302436007438","0.0949105565677561","1"
"Yes","2002","higher vocational","Male","37","0.0331238295496177","0.0208823979167213","0.0453652611825141","1"
"Yes","2002","higher vocational","Female","33","0.0529104587812454","0.0357145995705849","0.070106317991906","1"
"Yes","2002","higher education","Male","75","0.0446494256548521","0.0343609286440849","0.0549379226656193","1"
"Yes","2002","higher education","Female","68","0.0453874516318651","0.0341669097163972","0.0566079935473331","1"
"No","2003","higher vocational","Male","750","0.9662777265905","0.953642021921594","0.978913431259405","2"
"No","2003","in school","Female","234","0.930961014379606","0.899844499510304","0.962077529248908","2"
"No","2003","inadequately","Male","95","0.950152985526485","0.90728364148041","0.99302232957256","2"
"No","2003","higher vocational","Female","598","0.933936240205912","0.914737052184134","0.95313542822769","2"
"No","2003","higher education","Male","1393","0.938725402388666","0.926527240767912","0.950923564009421","2"
"No","2003","higher education","Female","1174","0.912584437379873","0.897141588025736","0.928027286734011","2"
"No","2003","inadequately","Female","152","0.993079588103338","0.979986390258424","1.00617278594825","2"
"No","2003","general elemantary","Male","827","0.945919187864028","0.930992535497793","0.960845840230263","2"
"No","2003","general elemantary","Female","1708","0.97319888249291","0.965647274064888","0.980750490920931","2"
"No","2003","middle vocational","Male","4411","0.949117513763083","0.942817407240744","0.955417620285421","2"
"No","2003","middle vocational","Female","5024","0.950064857708651","0.944218534872627","0.955911180544675","2"
"No","2003","vocational + Abi","Male","387","0.940509780644826","0.917697037615326","0.963322523674326","2"
"No","2003","vocational + Abi","Female","558","0.93504109102435","0.915515369581372","0.954566812467328","2"
"No","2003","in school","Male","219","0.914480045567121","0.8790256580173","0.949934433116942","2"
"Yes","2003","in school","Male","20","","","","1"
"Yes","2003","in school","Female","21","","","","1"
"Yes","2003","inadequately","Male","4","","","","1"
"Yes","2003","inadequately","Female","2","","","","1"
"Yes","2003","general elemantary","Male","55","0.0540808121359721","0.0391541597697374","0.0690074645022069","1"
"Yes","2003","general elemantary","Female","49","0.0268011175070902","0.0192495090790688","0.0343527259351116","1"
"Yes","2003","middle vocational","Male","263","0.0508824862369172","0.0445823797145788","0.0571825927592557","1"
"Yes","2003","middle vocational","Female","308","0.0499351422913488","0.0440888194553245","0.0557814651273731","1"
"Yes","2003","vocational + Abi","Male","26","","","","1"
"Yes","2003","vocational + Abi","Female","54","0.0649589089756501","0.0454331875326724","0.0844846304186278","1"
"Yes","2003","higher vocational","Male","34","0.0337222734095004","0.0210865687405946","0.0463579780784061","1"
"Yes","2003","higher vocational","Female","45","0.0660637597940877","0.0468645717723099","0.0852629478158656","1"
"Yes","2003","higher education","Male","92","0.0612745976113336","0.049076435990579","0.0734727592320882","1"
"Yes","2003","higher education","Female","111","0.0874155626201266","0.0719727132659889","0.102858411974264","1"
"No","2004","in school","Female","302","0.918918468448224","0.889287983954179","0.948548952942269","2"
"No","2004","general elemantary","Male","790","0.951230611535049","0.936647753579426","0.965813469490672","2"
"No","2004","higher vocational","Male","879","0.960070698949928","0.94746677756491","0.972674620334946","2"
"No","2004","inadequately","Male","95","0.902382882970795","0.844211886408108","0.960553879533482","2"
"No","2004","inadequately","Female","146","0.927771371770754","0.88675308257709","0.968789660964419","2"
"No","2004","higher vocational","Female","649","0.91250835947723","0.891695432141171","0.933321286813289","2"
"No","2004","higher education","Male","2282","0.95035824146212","0.941690086018337","0.959026396905902","2"
"No","2004","higher education","Female","1723","0.929331291043605","0.917740871520066","0.940921710567144","2"
"No","2004","in school","Male","290","0.974619118620882","0.956909973792414","0.99232826344935","2"
"No","2004","general elemantary","Female","1673","0.963929515749103","0.955188216207843","0.972670815290362","2"
"No","2004","middle vocational","Male","4822","0.943204870803489","0.936873160704677","0.949536580902302","2"
"No","2004","middle vocational","Female","5302","0.946520025286823","0.940650856248473","0.952389194325173","2"
"No","2004","vocational + Abi","Male","438","0.883812133698689","0.855204302150569","0.91241996524681","2"
"No","2004","vocational + Abi","Female","616","0.921937399317701","0.901729276110842","0.942145522524561","2"
"Yes","2004","in school","Male","13","","","","1"
"Yes","2004","in school","Female","24","","","","1"
"Yes","2004","inadequately","Male","5","","","","1"
"Yes","2004","inadequately","Female","7","","","","1"
"Yes","2004","general elemantary","Male","48","0.048769388464951","0.0341865305093284","0.0633522464205736","1"
"Yes","2004","general elemantary","Female","75","0.0360704842508974","0.0273291847096376","0.0448117837921571","1"
"Yes","2004","middle vocational","Male","311","0.0567951291965106","0.0504634190976979","0.0631268392953233","1"
"Yes","2004","middle vocational","Female","343","0.053479974713177","0.047610805674827","0.059349143751527","1"
"Yes","2004","vocational + Abi","Male","44","0.11618786630131","0.08758003475319","0.144795697849431","1"
"Yes","2004","vocational + Abi","Female","61","0.0780626006822985","0.0578544774754394","0.0982707238891575","1"
"Yes","2004","higher vocational","Male","48","0.039929301050072","0.0273253796650537","0.0525332224350902","1"
"Yes","2004","higher vocational","Female","59","0.08749164052277","0.0666787131867106","0.108304567858829","1"
"Yes","2004","higher education","Male","130","0.0496417585378805","0.0409736030940982","0.0583099139816627","1"
"Yes","2004","higher education","Female","155","0.0706687089563952","0.0590782894328564","0.0822591284799339","1"
"No","2005","inadequately","Female","134","0.945900405291229","0.908561786713724","0.983239023868734","2"
"No","2005","in school","Female","324","0.970219200015023","0.952043900994756","0.988394499035289","2"
"No","2005","general elemantary","Male","723","0.934064704382542","0.91658133753426","0.951548071230823","2"
"No","2005","inadequately","Male","97","0.970313760345546","0.937049200539727","1.00357832015137","2"
"No","2005","higher vocational","Male","849","0.973267220784112","0.962628097451614","0.98390634411661","2"
"No","2005","higher vocational","Female","622","0.939563635345868","0.921452339089096","0.95767493160264","2"
"No","2005","higher education","Female","1730","0.936066983010464","0.924916448181287","0.94721751783964","2"
"No","2005","higher education","Male","2163","0.942341946021307","0.932790825336457","0.951893066706157","2"
"No","2005","in school","Male","294","0.955983851920431","0.933074962916422","0.978892740924441","2"
"No","2005","general elemantary","Female","1538","0.955178161863033","0.94509929541733","0.965257028308735","2"
"No","2005","middle vocational","Male","4559","0.949706237066057","0.943543391533931","0.955869082598183","2"
"No","2005","middle vocational","Female","5064","0.94945453668631","0.94358931555791","0.955319757814709","2"
"No","2005","vocational + Abi","Male","419","0.907404089374767","0.881001053541265","0.933807125208268","2"
"No","2005","vocational + Abi","Female","624","0.918841158782468","0.898086031189024","0.939596286375912","2"
"Yes","2005","in school","Male","14","","","","1"
"Yes","2005","in school","Female","12","","","","1"
"Yes","2005","inadequately","Male","3","","","","1"
"Yes","2005","inadequately","Female","7","","","","1"
"Yes","2005","general elemantary","Male","51","0.0659352956174584","0.0484519287691771","0.0834186624657398","1"
"Yes","2005","general elemantary","Female","81","0.0448218381369675","0.0347429716912654","0.0549007045826697","1"
"Yes","2005","middle vocational","Male","272","0.0502937629339428","0.0441309174018166","0.056456608466069","1"
"Yes","2005","middle vocational","Female","295","0.0505454633136904","0.0446802421852912","0.0564106844420895","1"
"Yes","2005","vocational + Abi","Male","44","0.0925959106252333","0.0661928747917319","0.118998946458735","1"
"Yes","2005","vocational + Abi","Female","41","0.081158841217532","0.0604037136240879","0.101913968810976","1"
"Yes","2005","higher vocational","Male","34","0.026732779215888","0.0160936558833897","0.0373719025483864","1"
"Yes","2005","higher vocational","Female","43","0.0604363646541324","0.0423250683973602","0.0785476609109045","1"
"Yes","2005","higher education","Male","125","0.0576580539786931","0.0481069332938435","0.0672091746635428","1"
"Yes","2005","higher education","Female","119","0.0639330169895363","0.0527824821603595","0.0750835518187131","1"
"No","2006","in school","Female","189","0.980222296356336","0.9607792102794","0.999665382433272","2"
"No","2006","inadequately","Male","96","0.97968524627072","0.951610794212334","1.00775969832911","2"
"No","2006","inadequately","Female","141","0.985935791228193","0.966635580945204","1.00523600151118","2"
"No","2006","general elemantary","Male","722","0.938626970339789","0.921663284655661","0.955590656023917","2"
"No","2006","higher education","Female","1917","0.943179995452449","0.933102116463631","0.953257874441267","2"
"No","2006","higher vocational","Male","889","0.953754102088438","0.940292489027655","0.967215715149221","2"
"No","2006","higher vocational","Female","671","0.956647604545628","0.941657401434215","0.971637807657041","2"
"No","2006","higher education","Male","2417","0.949375576388865","0.940843150207894","0.957908002569836","2"
"No","2006","in school","Male","179","0.92792576760959","0.891628208962461","0.964223326256719","2"
"No","2006","general elemantary","Female","1655","0.972568078151567","0.964844391714418","0.980291764588716","2"
"No","2006","middle vocational","Male","4997","0.954930408612956","0.949313334948321","0.96054748227759","2"
"No","2006","middle vocational","Female","5562","0.95812582851995","0.952975830752459","0.963275826287442","2"
"No","2006","vocational + Abi","Male","445","0.909471463788002","0.883881963022316","0.935060964553688","2"
"No","2006","vocational + Abi","Female","693","0.95266668746266","0.937293991328813","0.968039383596506","2"
"Yes","2006","in school","Male","16","","","","1"
"Yes","2006","in school","Female","8","","","","1"
"Yes","2006","inadequately","Male","1","","","","1"
"Yes","2006","inadequately","Female","2","","","","1"
"Yes","2006","general elemantary","Male","47","0.0613730296602109","0.0444093439760831","0.0783367153443388","1"
"Yes","2006","general elemantary","Female","63","0.0274319218484329","0.0197082354112836","0.0351556082855823","1"
"Yes","2006","middle vocational","Male","243","0.0450695913870443","0.0394525177224095","0.0506866650516791","1"
"Yes","2006","middle vocational","Female","249","0.0418741714800498","0.0367241737125584","0.0470241692475411","1"
"Yes","2006","vocational + Abi","Male","38","0.0905285362119979","0.0649390354463123","0.116118036977683","1"
"Yes","2006","vocational + Abi","Female","40","0.0473333125373401","0.0319606164034937","0.0627060086711865","1"
"Yes","2006","higher vocational","Male","46","0.046245897911562","0.0327842848507788","0.0597075109723451","1"
"Yes","2006","higher vocational","Female","38","0.043352395454372","0.0283621923429586","0.0583425985657854","1"
"Yes","2006","higher education","Male","119","0.0506244236111352","0.042091997430164","0.0591568497921063","1"
"Yes","2006","higher education","Female","110","0.0568200045475508","0.0467421255587331","0.0668978835363685","1"
"No","2007","in school","Male","154","0.964879781470469","0.936266693065435","0.993492869875503","2"
"No","2007","in school","Female","168","0.94700655000299","0.914003882325851","0.98000921768013","2"
"No","2007","inadequately","Male","76","0.957644645115412","0.913233609544217","1.00205568068661","2"
"No","2007","inadequately","Female","134","0.936714682986368","0.896092459446222","0.977336906526514","2"
"No","2007","general elemantary","Male","645","0.949203341510975","0.932711401876657","0.965695281145293","2"
"No","2007","higher education","Female","1859","0.948306452684791","0.93854426526061","0.958068640108971","2"
"No","2007","higher vocational","Male","845","0.956454127577395","0.942993251998406","0.969915003156384","2"
"No","2007","higher vocational","Female","601","0.932935819023371","0.913511331427935","0.952360306618807","2"
"No","2007","higher education","Male","2270","0.945902961196875","0.936832067963739","0.954973854430012","2"
"No","2007","general elemantary","Female","1456","0.957071497240324","0.946884913819312","0.967258080661335","2"
"No","2007","middle vocational","Male","4560","0.94141408314788","0.934808054773047","0.948020111522714","2"
"No","2007","middle vocational","Female","5161","0.951300148154345","0.945568344890578","0.957031951418112","2"
"No","2007","vocational + Abi","Male","435","0.947501702453869","0.927186544424582","0.967816860483155","2"
"No","2007","vocational + Abi","Female","657","0.953245947571962","0.937606868170874","0.96888502697305","2"
"Yes","2007","in school","Male","5","","","","1"
"Yes","2007","in school","Female","9","","","","1"
"Yes","2007","inadequately","Male","3","","","","1"
"Yes","2007","inadequately","Female","4","","","","1"
"Yes","2007","general elemantary","Male","36","0.0507966584890251","0.0343047188547074","0.0672885981233428","1"
"Yes","2007","general elemantary","Female","65","0.0429285027596762","0.0327419193386649","0.0531150861806875","1"
"Yes","2007","middle vocational","Male","295","0.05858591685212","0.0519798884772865","0.0651919452269535","1"
"Yes","2007","middle vocational","Female","256","0.0486998518456545","0.0429680485818874","0.0544316551094216","1"
"Yes","2007","vocational + Abi","Male","28","","","","1"
"Yes","2007","vocational + Abi","Female","43","0.0467540524280379","0.0311149730269496","0.0623931318291261","1"
"Yes","2007","higher vocational","Male","38","0.0435458724226051","0.0300849968436158","0.0570067480015943","1"
"Yes","2007","higher vocational","Female","36","0.0670641809766289","0.0476396933811932","0.0864886685720646","1"
"Yes","2007","higher education","Male","119","0.0540970388031248","0.0450261455699883","0.0631679320362613","1"
"Yes","2007","higher education","Female","117","0.0516935473152093","0.0419313598910289","0.0614557347393897","1"
"No","2008","in school","Male","165","0.975151257823521","0.951819995672262","0.998482519974781","2"
"No","2008","in school","Female","172","0.906417275204604","0.864219993393712","0.948614557015495","2"
"No","2008","inadequately","Male","72","0.961861963025357","0.917925792200584","1.00579813385013","2"
"No","2008","inadequately","Female","110","0.966120187013316","0.932909202819179","0.999331171207454","2"
"No","2008","general elemantary","Male","594","0.944172734786756","0.926287479626558","0.962057989946954","2"
"No","2008","higher vocational","Male","805","0.967105830370096","0.954993657659552","0.97921800308064","2"
"No","2008","higher vocational","Female","554","0.94070371713973","0.92156511022045","0.95984232405901","2"
"No","2008","higher education","Male","2199","0.956554738618358","0.948218047431517","0.964891429805199","2"
"No","2008","higher education","Female","1779","0.932486793528169","0.921204769954151","0.943768817102186","2"
"No","2008","general elemantary","Female","1351","0.965400761148237","0.955827251836165","0.974974270460308","2"
"No","2008","middle vocational","Male","4408","0.956679092429579","0.950811349308389","0.962546835550768","2"
"No","2008","middle vocational","Female","4870","0.951877710766995","0.946030688804168","0.957724732729822","2"
"No","2008","vocational + Abi","Male","410","0.944493163240625","0.923123314667826","0.965863011813424","2"
"No","2008","vocational + Abi","Female","613","0.937845922548649","0.919370399982099","0.9563214451152","2"
"Yes","2008","general elemantary","Male","39","0.0558272652132437","0.0379420100530458","0.0737125203734416","1"
"Yes","2008","general elemantary","Female","49","0.0345992388517634","0.0250257295396923","0.0441727481638346","1"
"Yes","2008","middle vocational","Male","216","0.0433209075704215","0.0374531644492319","0.0491886506916111","1"
"Yes","2008","middle vocational","Female","277","0.0481222892330048","0.0422752672701777","0.0539693111958318","1"
"Yes","2008","vocational + Abi","Male","31","0.0555068367593751","0.0341369881865759","0.0768766853321743","1"
"Yes","2008","in school","Male","6","","","","1"
"Yes","2008","in school","Female","11","","","","1"
"Yes","2008","inadequately","Male","1","","","","1"
"Yes","2008","inadequately","Female","4","","","","1"
"Yes","2008","vocational + Abi","Female","43","0.0621540774513507","0.0436785548848004","0.0806296000179011","1"
"Yes","2008","higher vocational","Male","28","","","","1"
"Yes","2008","higher vocational","Female","31","0.0592962828602697","0.0401576759409898","0.0784348897795497","1"
"Yes","2008","higher education","Male","98","0.0434452613816421","0.0351085701948012","0.0517819525684829","1"
"Yes","2008","higher education","Female","121","0.0675132064718313","0.0562311828978142","0.0787952300458485","1"
"No","2009","in school","Male","163","0.97852022361112","0.956532025748521","1.00050842147372","2"
"No","2009","in school","Female","138","0.963135099009965","0.932358757970233","0.993911440049696","2"
"No","2009","inadequately","Male","69","0.985048356990844","0.956618655081562","1.01347805890013","2"
"No","2009","inadequately","Female","99","1","1","1","2"
"No","2009","general elemantary","Male","538","0.957633317932091","0.940965509088909","0.974301126775273","2"
"No","2009","higher vocational","Male","759","0.96828461045145","0.956033559171452","0.980535661731448","2"
"No","2009","higher vocational","Female","528","0.949496062931478","0.931195015441244","0.967797110421712","2"
"No","2009","higher education","Male","2106","0.953678607001644","0.944877876377511","0.962479337625776","2"
"No","2009","higher education","Female","1749","0.93621000068931","0.925086124080038","0.947333877298582","2"
"No","2009","general elemantary","Female","1210","0.961939436484388","0.951332143701053","0.972546729267722","2"
"No","2009","middle vocational","Male","4114","0.958295013890481","0.952314178644758","0.964275849136205","2"
"No","2009","middle vocational","Female","4624","0.961853103023799","0.956441522269316","0.967264683778282","2"
"No","2009","vocational + Abi","Male","368","0.923091330336933","0.896748538414632","0.949434122259234","2"
"No","2009","vocational + Abi","Female","581","0.950806614796393","0.933644032791649","0.967969196801137","2"
"Yes","2009","general elemantary","Male","23","","","","1"
"Yes","2009","general elemantary","Female","40","0.0380605635156123","0.027453270732278","0.0486678562989467","1"
"Yes","2009","middle vocational","Male","178","0.0417049861095185","0.0357241508637954","0.0476858213552416","1"
"Yes","2009","middle vocational","Female","189","0.038146896976201","0.0327353162217176","0.0435584777306844","1"
"Yes","2009","vocational + Abi","Male","25","","","","1"
"Yes","2009","in school","Male","4","","","","1"
"Yes","2009","in school","Female","6","","","","1"
"Yes","2009","inadequately","Male","1","","","","1"
"Yes","2009","inadequately","Female","","","","","1"
"Yes","2009","vocational + Abi","Female","29","","","","1"
"Yes","2009","higher vocational","Male","27","","","","1"
"Yes","2009","higher vocational","Female","22","","","","1"
"Yes","2009","higher education","Male","85","0.0463213929983564","0.0375206623742242","0.0551221236224886","1"
"Yes","2009","higher education","Female","105","0.0637899993106899","0.0526661227014177","0.074913875919962","1"
"No","2010","in school","Male","153","0.991018120827647","0.976165378594774","1.00587086306052","2"
"No","2010","in school","Female","112","0.919766494208418","0.870543068285732","0.968989920131103","2"
"No","2010","inadequately","Male","56","0.963222623898637","0.91478444553358","1.01166080226369","2"
"No","2010","inadequately","Female","80","0.98529521907013","0.959399885366619","1.01119055277364","2"
"No","2010","general elemantary","Male","475","0.96518495248999","0.949101229466328","0.981268675513652","2"
"No","2010","higher vocational","Male","722","0.978643391099735","0.968248209870037","0.989038572329433","2"
"No","2010","higher vocational","Female","499","0.93957114400594","0.919031645251322","0.960110642760558","2"
"No","2010","higher education","Male","1997","0.94953384333361","0.940092291036333","0.958975395630887","2"
"No","2010","higher education","Female","1681","0.95361741751376","0.943827967946018","0.963406867081501","2"
"No","2010","general elemantary","Female","1110","0.971438858142245","0.96175689605739","0.9811208202271","2"
"No","2010","middle vocational","Male","3772","0.971473459611982","0.966264828337387","0.976682090886577","2"
"No","2010","middle vocational","Female","4241","0.966451419417011","0.961140009424612","0.971762829409409","2"
"No","2010","vocational + Abi","Male","348","0.915124033778717","0.886571812901072","0.943676254656362","2"
"No","2010","vocational + Abi","Female","556","0.970163303481286","0.956328983548139","0.983997623414432","2"
"Yes","2010","general elemantary","Male","24","","","","1"
"Yes","2010","general elemantary","Female","27","","","","1"
"Yes","2010","middle vocational","Male","152","0.0285265403880183","0.0233179091134233","0.0337351716626133","1"
"Yes","2010","middle vocational","Female","174","0.0335485805829894","0.0282371705905912","0.0388599905753877","1"
"Yes","2010","vocational + Abi","Male","18","","","","1"
"Yes","2010","in school","Male","2","","","","1"
"Yes","2010","in school","Female","5","","","","1"
"Yes","2010","inadequately","Male","2","","","","1"
"Yes","2010","inadequately","Female","3","","","","1"
"Yes","2010","vocational + Abi","Female","25","","","","1"
"Yes","2010","higher vocational","Male","21","","","","1"
"Yes","2010","higher vocational","Female","18","","","","1"
"Yes","2010","higher education","Male","68","0.0504661566663896","0.0410246043691126","0.0599077089636666","1"
"Yes","2010","higher education","Female","92","0.0463825824862401","0.0365931329184986","0.0561720320539817","1"
"No","2011","in school","Male","158","0.983341294612661","0.963632351032051","1.00305023819327","2"
