"ple0160","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"No","2001","Mecklenburg-Western Pomerania","direct migration background","15","","",""
"No","2001","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2001","Saxony","no migration background","1496","0.942657319422697","0.931297119184836","0.954017519660558"
"No","2001","Saxony","direct migration background","31","0.986040041281854","0.945389863952652","1.02669021861105"
"No","2001","Saxony","indirect migration background","8","","",""
"No","2001","Saxony-Anhalt","no migration background","906","0.933431714802628","0.917704225607713","0.949159203997542"
"No","2001","Saxony-Anhalt","direct migration background","31","0.92794766341524","0.839725663849373","1.01616966298111"
"No","2001","Saxony-Anhalt","indirect migration background","6","","",""
"No","2001","Thuringia","no migration background","862","0.922463581981774","0.905439198081035","0.939487965882512"
"No","2001","Thuringia","direct migration background","18","","",""
"No","2001","Thuringia","indirect migration background","1","","",""
"Yes","2002","Schleswig-Holstein","no migration background","21","","",""
"Yes","2002","Schleswig-Holstein","direct migration background","2","","",""
"Yes","2002","Schleswig-Holstein","indirect migration background","2","","",""
"Yes","2002","Hamburg","no migration background","7","","",""
"Yes","2002","Hamburg","direct migration background","2","","",""
"Yes","2002","Hamburg","indirect migration background","","","",""
"Yes","2002","Lower Saxony","no migration background","70","0.0459174743850655","0.0350425158929231","0.0567924328772078"
"Yes","2002","Lower Saxony","direct migration background","7","","",""
"Yes","2002","Lower Saxony","indirect migration background","2","","",""
"Yes","2002","Bremen","no migration background","5","","",""
"Yes","2002","Bremen","direct migration background","2","","",""
"Yes","2002","Bremen","indirect migration background","","","",""
"Yes","2002","North Rhine-Westphalia","no migration background","151","0.0449734797753578","0.0376721203817526","0.052274839168963"
"Yes","2002","North Rhine-Westphalia","direct migration background","36","0.0563024261942133","0.0393114489458871","0.0732934034425395"
"Yes","2002","North Rhine-Westphalia","indirect migration background","12","","",""
"Yes","2002","Hesse","no migration background","51","0.0494595867980659","0.0360073855663214","0.0629117880298104"
"Yes","2002","Hesse","direct migration background","14","","",""
"Yes","2002","Hesse","indirect migration background","3","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","no migration background","41","0.0340532340791422","0.0222304528330129","0.0458760153252715"
"Yes","2002","Rhineland-Palatinate,Saarland","direct migration background","7","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Yes","2002","Baden-Württemberg","no migration background","92","0.0585337324829813","0.0468921219113664","0.0701753430545963"
"Yes","2002","Baden-Württemberg","direct migration background","11","","",""
"Yes","2002","Baden-Württemberg","indirect migration background","10","","",""
"Yes","2002","Bavaria","no migration background","101","0.0368405180782893","0.0289240689178425","0.0447569672387362"
"Yes","2002","Bavaria","direct migration background","16","","",""
"Yes","2002","Bavaria","indirect migration background","4","","",""
"Yes","2002","Berlin","no migration background","30","0.0346598041606341","0.0197606348129539","0.0495589735083143"
"Yes","2002","Berlin","direct migration background","4","","",""
"Yes","2002","Berlin","indirect migration background","","","",""
"Yes","2002","Brandenburg","no migration background","32","0.0442103794013082","0.0307656149271911","0.0576551438754254"
"Yes","2002","Brandenburg","direct migration background","1","","",""
"Yes","2002","Brandenburg","indirect migration background","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","no migration background","29","","",""
"Yes","2002","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2002","Saxony","no migration background","63","0.0310246995389007","0.0222032229459058","0.0398461761318955"
"Yes","2002","Saxony","direct migration background","","","",""
"Yes","2002","Saxony","indirect migration background","","","",""
"Yes","2002","Saxony-Anhalt","no migration background","38","0.0493442044697175","0.0349605666356968","0.0637278423037381"
"Yes","2002","Saxony-Anhalt","direct migration background","","","",""
"Yes","2002","Saxony-Anhalt","indirect migration background","","","",""
"Yes","2002","Thuringia","no migration background","52","0.0481623324513166","0.0339186124550995","0.0624060524475338"
"Yes","2002","Thuringia","direct migration background","1","","",""
"Yes","2002","Thuringia","indirect migration background","","","",""
"No","2002","Schleswig-Holstein","no migration background","490","0.963002165647886","0.946636283304092","0.97936804799168"
"No","2002","Schleswig-Holstein","direct migration background","60","0.978962259575704","0.943240341748683","1.01468417740273"
"No","2002","Schleswig-Holstein","indirect migration background","11","","",""
"No","2002","Hamburg","no migration background","225","0.966376856978173","0.943181742891952","0.989571971064394"
"No","2002","Hamburg","direct migration background","20","","",""
"No","2002","Hamburg","indirect migration background","7","","",""
"No","2002","Lower Saxony","no migration background","1353","0.954082525614935","0.943207567122792","0.964957484107077"
"No","2002","Lower Saxony","direct migration background","192","0.958245900781213","0.930454553750086","0.98603724781234"
"No","2002","Lower Saxony","indirect migration background","47","0.947894898336101","0.885669130007785","1.01012066666442"
"No","2002","Bremen","no migration background","125","0.988350243914979","0.969904750884354","1.0067957369456"
"No","2002","Bremen","direct migration background","18","","",""
"No","2002","Bremen","indirect migration background","4","","",""
"No","2002","North Rhine-Westphalia","no migration background","2944","0.955026520224642","0.947725160831037","0.962327879618247"
"No","2002","North Rhine-Westphalia","direct migration background","671","0.943697573805787","0.92670659655746","0.960688551054113"
"No","2002","North Rhine-Westphalia","indirect migration background","191","0.927932267338014","0.892358599965958","0.963505934710071"
"No","2002","Hesse","no migration background","947","0.950540413201934","0.93708821197019","0.963992614433679"
"No","2002","Hesse","direct migration background","245","0.950008369462596","0.923467779301293","0.9765489596239"
"No","2002","Hesse","indirect migration background","55","0.984277140057842","0.952261767023228","1.01629251309246"
"No","2002","Rhineland-Palatinate,Saarland","no migration background","863","0.965946765920858","0.954123984674728","0.977769547166987"
"No","2002","Rhineland-Palatinate,Saarland","direct migration background","193","0.985075799830729","0.96827176972874","1.00187982993272"
"No","2002","Rhineland-Palatinate,Saarland","indirect migration background","29","","",""
"No","2002","Baden-Württemberg","no migration background","1470","0.941466267517019","0.929824656945404","0.953107878088634"
"No","2002","Baden-Württemberg","direct migration background","586","0.981803841884827","0.971082154504728","0.992525529264926"
"No","2002","Baden-Württemberg","indirect migration background","180","0.953354832008489","0.923369980162172","0.983339683854806"
"No","2002","Bavaria","no migration background","2074","0.963159481921711","0.955243032761264","0.971075931082158"
"No","2002","Bavaria","direct migration background","337","0.960764522106841","0.940510620749426","0.981018423464256"
"No","2002","Bavaria","indirect migration background","89","0.973628509823089","0.941062046779207","1.00619497286697"
"No","2002","Berlin","no migration background","549","0.965340195839366","0.950441026491686","0.980239365187046"
"No","2002","Berlin","direct migration background","58","0.930206978917401","0.866783794771283","0.993630163063519"
"No","2002","Berlin","indirect migration background","33","1","1","1"
"No","2002","Brandenburg","no migration background","866","0.955789620598692","0.942344856124575","0.969234385072809"
"No","2002","Brandenburg","direct migration background","11","","",""
"No","2002","Brandenburg","indirect migration background","2","","",""
"No","2002","Mecklenburg-Western Pomerania","no migration background","421","0.958190808213398","0.939697963601062","0.976683652825733"
"No","2002","Mecklenburg-Western Pomerania","direct migration background","13","","",""
"No","2002","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2002","Saxony","no migration background","1421","0.968975300461099","0.960153823868105","0.977796777054094"
"No","2002","Saxony","direct migration background","30","1","1","1"
"No","2002","Saxony","indirect migration background","6","","",""
"No","2002","Saxony-Anhalt","no migration background","833","0.950655795530282","0.936272157696262","0.965039433364303"
"No","2002","Saxony-Anhalt","direct migration background","32","1","1","1"
"No","2002","Saxony-Anhalt","indirect migration background","5","","",""
"No","2002","Thuringia","no migration background","816","0.951837667548683","0.937593947552466","0.966081387544901"
"No","2002","Thuringia","direct migration background","18","","",""
"No","2002","Thuringia","indirect migration background","4","","",""
"Yes","2003","Schleswig-Holstein","no migration background","21","","",""
"Yes","2003","Schleswig-Holstein","direct migration background","3","","",""
"Yes","2003","Schleswig-Holstein","indirect migration background","1","","",""
"Yes","2003","Hamburg","no migration background","13","","",""
"Yes","2003","Hamburg","direct migration background","1","","",""
"Yes","2003","Hamburg","indirect migration background","","","",""
"Yes","2003","Lower Saxony","no migration background","82","0.058283880855537","0.0458917196217789","0.0706760420892951"
"Yes","2003","Lower Saxony","direct migration background","8","","",""
"Yes","2003","Lower Saxony","indirect migration background","2","","",""
"Yes","2003","Bremen","no migration background","4","","",""
"Yes","2003","Bremen","direct migration background","1","","",""
