"ple0160","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2004","Part Time","higher education","850","0.914045497776567","0.895952903171397","0.932138092381737"
"No","2004","Not Working","in school","506","0.951451796190446","0.933257063705837","0.969646528675055"
"No","2004","Not Working","inadequately","145","0.951921730617951","0.917799717063651","0.986043744172252"
"No","2004","Not Working","general elemantary","1386","0.971310864063794","0.962661859396847","0.979959868730741"
"No","2004","Not Working","middle vocational","4052","0.977108535456207","0.9725681530852","0.981648917827213"
"No","2004","Not Working","vocational + Abi","271","0.952669601173332","0.928016764596899","0.977322437749765"
"No","2004","Not Working","higher vocational","475","0.972825093714651","0.958458065341265","0.987192122088037"
"No","2004","Not Working","higher education","968","0.978404062861467","0.969367567086414","0.98744055863652"
"Yes","2005","Full Time","in school","","","",""
"Yes","2005","Full Time","inadequately","2","","",""
"Yes","2005","Full Time","general elemantary","30","0.0423849780380528","0.0255171459911911","0.0592528100849146"
"Yes","2005","Full Time","middle vocational","237","0.0579071636808524","0.050428581990098","0.0653857453716067"
"Yes","2005","Full Time","vocational + Abi","50","0.0965277608260667","0.0713146573804599","0.121740864271674"
"Yes","2005","Full Time","higher vocational","51","0.057088310261777","0.0406150443208258","0.0735615762027283"
"Yes","2005","Full Time","higher education","141","0.0632521127335677","0.0531196707963886","0.0733845546707469"
"Yes","2005","Part Time","in school","2","","",""
"Yes","2005","Part Time","inadequately","1","","",""
"Yes","2005","Part Time","general elemantary","55","0.123208149187734","0.0942538231280362","0.152162475247432"
"Yes","2005","Part Time","middle vocational","181","0.0753347607568968","0.064976428464606","0.0856930930491876"
"Yes","2005","Part Time","vocational + Abi","26","","",""
"Yes","2005","Part Time","higher vocational","15","","",""
"Yes","2005","Part Time","higher education","73","0.0845508480514559","0.0666122622280916","0.10248943387482"
"Yes","2005","Not Working","in school","24","","",""
"Yes","2005","Not Working","inadequately","7","","",""
"Yes","2005","Not Working","general elemantary","47","0.0273848660053487","0.0186790992298213","0.0360906327808762"
"Yes","2005","Not Working","middle vocational","149","0.0296997346205526","0.0244051257417945","0.0349943434993108"
"Yes","2005","Not Working","vocational + Abi","9","","",""
"Yes","2005","Not Working","higher vocational","11","","",""
"Yes","2005","Not Working","higher education","30","0.0352895710923122","0.0238307457854259","0.0467483963991985"
"No","2005","Full Time","in school","3","","",""
"No","2005","Full Time","inadequately","53","0.971450254065744","0.927437539706922","1.01546296842457"
"No","2005","Full Time","general elemantary","518","0.957615021961947","0.940747189915085","0.974482854008809"
"No","2005","Full Time","middle vocational","3510","0.942092836319148","0.934614254628393","0.949571418009902"
"No","2005","Full Time","vocational + Abi","477","0.903472239173933","0.878259135728326","0.92868534261954"
"No","2005","Full Time","higher vocational","711","0.942911689738223","0.926438423797272","0.959384955679174"
"No","2005","Full Time","higher education","2076","0.936747887266432","0.926615445329253","0.946880329203611"
"No","2005","Part Time","in school","92","0.985672723295857","0.961649440280076","1.00969600631164"
"No","2005","Part Time","inadequately","33","0.984334693048271","0.942594977689997","1.02607440840654"
"No","2005","Part Time","general elemantary","440","0.876791850812266","0.847837524752568","0.905746176871964"
"No","2005","Part Time","middle vocational","2313","0.924665239243103","0.914306906950812","0.935023571535394"
"No","2005","Part Time","vocational + Abi","295","0.870163732946108","0.833393695310349","0.906933770581868"
"No","2005","Part Time","higher vocational","316","0.964560659357639","0.944642844869652","0.984478473845625"
"No","2005","Part Time","higher education","851","0.915449151948544","0.89751056612518","0.933387737771909"
"No","2005","Not Working","in school","523","0.959228259406841","0.942655491952619","0.975801026861063"
"No","2005","Not Working","inadequately","145","0.944650685465105","0.90829954485864","0.98100182607157"
"No","2005","Not Working","general elemantary","1303","0.972615133994651","0.963909367219124","0.981320900770179"
"No","2005","Not Working","middle vocational","3800","0.970300265379447","0.965005656500689","0.975594874258205"
