"ple0160","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","2003","North Rhine-Westphalia","174","0.0460131410587635","0.0393787028769903","0.0526475792405367"
"Yes","2003","Hesse","71","0.0463859572286728","0.0345647757668304","0.0582071386905152"
"Yes","2003","Rhineland-Palatinate,Saarland","71","0.0542423598930517","0.0410130218818668","0.0674716979042366"
"Yes","2003","Baden-Württemberg","112","0.0440295180549575","0.0355785961796433","0.0524804399302718"
"Yes","2003","Bavaria","188","0.0652195356170841","0.0556058824348984","0.0748331887992697"
"Yes","2003","Berlin","30","0.0363112209428026","0.0222201959953058","0.0504022458902995"
"Yes","2003","Brandenburg","34","0.0480662494965012","0.0340051043534463","0.062127394639556"
"Yes","2003","Mecklenburg-Western Pomerania","35","0.0532148410404082","0.0329651128955918","0.0734645691852246"
"Yes","2003","Saxony","119","0.0663691826914356","0.0537042768728452","0.079034088510026"
"Yes","2003","Saxony-Anhalt","64","0.0640883257312336","0.0478885975167148","0.0802880539457525"
"Yes","2003","Thuringia","72","0.0751850090306548","0.0577530293080709","0.0926169887532388"
"No","2003","Schleswig-Holstein","531","0.964501214942303","0.949120772472975","0.97988165741163"
"No","2003","Hamburg","232","0.945199076469094","0.916758648946148","0.97363950399204"
"No","2003","Lower Saxony","1528","0.94219816518921","0.930834131224045","0.953562199154374"
"No","2003","Bremen","145","0.983725202591762","0.963476502125699","1.00397390305783"
"No","2003","North Rhine-Westphalia","3657","0.953986858941236","0.947352420759463","0.96062129712301"
"No","2003","Hesse","1145","0.953614042771327","0.941792861309485","0.96543522423317"
"No","2003","Rhineland-Palatinate,Saarland","1055","0.945757640106948","0.932528302095763","0.958986978118133"
"No","2003","Baden-Württemberg","2152","0.955970481945042","0.947519560069728","0.964421403820357"
"No","2003","Bavaria","2346","0.934780464382916","0.92516681120073","0.944394117565101"
"No","2003","Berlin","647","0.963688779057197","0.949597754109701","0.977779804004694"
"No","2003","Brandenburg","855","0.951933750503499","0.937872605360444","0.965994895646554"
"No","2003","Mecklenburg-Western Pomerania","437","0.946785158959592","0.926535430814775","0.967034887104408"
"No","2003","Saxony","1365","0.933630817308564","0.920965911489974","0.946295723127155"
"No","2003","Saxony-Anhalt","814","0.935911674268766","0.919711946054248","0.952111402483285"
"No","2003","Thuringia","807","0.924814990969345","0.907383011246761","0.942246970691929"
"Yes","2004","Schleswig-Holstein","31","0.0557678478381141","0.038443795887064","0.0730918997891643"
"Yes","2004","Hamburg","36","0.0744942473427418","0.0446321163689511","0.104356378316533"
"Yes","2004","Lower Saxony","108","0.0495408980773311","0.0397163642495803","0.0593654319050818"
"Yes","2004","Bremen","5","","",""
"Yes","2004","North Rhine-Westphalia","230","0.0493841726054765","0.0430648935237686","0.0557034516871844"
"Yes","2004","Hesse","81","0.0537962116078421","0.0421270660018257","0.0654653572138586"
"Yes","2004","Rhineland-Palatinate,Saarland","74","0.0397225092783078","0.0291220176503395","0.0503230009062762"
"Yes","2004","Baden-Württemberg","152","0.0563280325959004","0.047484669161967","0.0651713960298339"
"Yes","2004","Bavaria","189","0.0668528955615996","0.0579786328277906","0.0757271582954085"
"Yes","2004","Berlin","54","0.0559866938537813","0.0401055558449897","0.0718678318625729"
"Yes","2004","Brandenburg","58","0.0712569263759863","0.0545334143794137","0.0879804383725589"
"Yes","2004","Mecklenburg-Western Pomerania","38","0.0707763953803179","0.0485628720941658","0.0929899186664699"
"Yes","2004","Saxony","153","0.0785373673442724","0.0652600823287394","0.0918146523598053"
"Yes","2004","Saxony-Anhalt","79","0.0729430155012899","0.0561850112434699","0.0897010197591098"
"Yes","2004","Thuringia","65","0.0484283125356085","0.0347197138191779","0.062136911252039"
"No","2004","Schleswig-Holstein","643","0.944232152161886","0.926908100210836","0.961556204112936"
"No","2004","Hamburg","261","0.925505752657258","0.895643621683467","0.955367883631049"
"No","2004","Lower Saxony","1766","0.950459101922669","0.940634568094918","0.96028363575042"
"No","2004","Bremen","161","0.982956448681342","0.963266652008133","1.00264624535455"
"No","2004","North Rhine-Westphalia","4286","0.950615827394524","0.944296548312816","0.956935106476231"
"No","2004","Hesse","1355","0.946203788392158","0.934534642786141","0.957872933998174"
"No","2004","Rhineland-Palatinate,Saarland","1230","0.960277490721692","0.949676999093724","0.97087798234966"
"No","2004","Baden-Württemberg","2459","0.9436719674041","0.934828603970166","0.952515330838033"
"No","2004","Bavaria","2854","0.9331471044384","0.924272841704591","0.942021367172209"
"No","2004","Berlin","751","0.944013306146219","0.928132168137427","0.95989444415501"
"No","2004","Brandenburg","851","0.928743073624014","0.912019561627441","0.945466585620586"
"No","2004","Mecklenburg-Western Pomerania","474","0.929223604619682","0.90701008133353","0.951437127905834"
"No","2004","Saxony","1424","0.921462632655728","0.908185347640195","0.934739917671261"
"No","2004","Saxony-Anhalt","846","0.92705698449871","0.91029898024089","0.94381498875653"
"No","2004","Thuringia","877","0.951571687464391","0.937863088747961","0.965280286180822"
"Yes","2005","Schleswig-Holstein","30","0.0556739572695248","0.0379924672041813","0.0733554473348684"
"Yes","2005","Hamburg","27","","",""
"Yes","2005","Lower Saxony","88","0.0376939906012369","0.0288313336116743","0.0465566475907995"
"Yes","2005","Bremen","8","","",""
"Yes","2005","North Rhine-Westphalia","247","0.0527140189366639","0.0460527174122303","0.0593753204610975"
"Yes","2005","Hesse","75","0.0541689948632925","0.0421302733611956","0.0662077163653894"
"Yes","2005","Rhineland-Palatinate,Saarland","69","0.0589772874750163","0.0458064133384976","0.072148161611535"
"Yes","2005","Baden-Württemberg","131","0.0655113491770045","0.0558394726896748","0.0751832256643342"
"Yes","2005","Bavaria","120","0.0428067405078699","0.0354190897104419","0.050194391305298"
"Yes","2005","Berlin","43","0.051525284162207","0.0357355913918647","0.0673149769325493"
"Yes","2005","Brandenburg","52","0.0526750758751898","0.0378907896773131","0.0674593620730666"
"Yes","2005","Mecklenburg-Western Pomerania","25","","",""
"Yes","2005","Saxony","138","0.0836751422101738","0.0697041762416257","0.0976461081787219"
"Yes","2005","Saxony-Anhalt","60","0.0607711348349176","0.0451015766860119","0.0764406929838234"
"Yes","2005","Thuringia","60","0.0592017027690269","0.043661861067308","0.0747415444707458"
"No","2005","Schleswig-Holstein","616","0.944326042730475","0.926644552665132","0.962007532795819"
"No","2005","Hamburg","263","0.942602611355712","0.915831926693732","0.969373296017692"
"No","2005","Lower Saxony","1686","0.962306009398763","0.953443352409201","0.971168666388326"
"No","2005","Bremen","137","0.966228277736135","0.936826027724861","0.99563052774741"
"No","2005","North Rhine-Westphalia","4076","0.947285981063336","0.940624679538903","0.95394728258777"
