"ple0160","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1999","North Rhine-Westphalia","inadequately","116","0.972390101772561","0.942950815420104","1.00182938812502"
"No","1999","North Rhine-Westphalia","general elemantary","490","0.983832286732599","0.972843299540031","0.994821273925167"
"No","1999","North Rhine-Westphalia","middle vocational","1267","0.955433997140953","0.94433164963211","0.966536344649797"
"No","1999","North Rhine-Westphalia","vocational + Abi","123","0.879430464735365","0.824703900548177","0.934157028922553"
"No","1999","North Rhine-Westphalia","higher vocational","157","0.95555769626779","0.924018334117572","0.987097058418008"
"No","1999","North Rhine-Westphalia","higher education","289","0.924105404310091","0.894672435013118","0.953538373607063"
"No","1999","Hesse","in school","20","","",""
"No","1999","Hesse","inadequately","43","1","1","1"
"No","1999","Hesse","general elemantary","186","0.968540434349977","0.943785222538451","0.993295646161503"
"No","1999","Hesse","middle vocational","408","0.959950035956838","0.941352323300398","0.978547748613278"
"No","1999","Hesse","vocational + Abi","35","0.899778845429642","0.807860171019335","0.99169751983995"
"No","1999","Hesse","higher vocational","32","0.932408796406133","0.849239631681147","1.01557796113112"
"No","1999","Hesse","higher education","113","0.956830931507002","0.920618361502158","0.993043501511845"
"No","1999","Rhineland-Palatinate,Saarland","in school","16","","",""
"No","1999","Rhineland-Palatinate,Saarland","inadequately","23","","",""
"No","1999","Rhineland-Palatinate,Saarland","general elemantary","195","0.974490781075179","0.952639820111984","0.996341742038373"
"No","1999","Rhineland-Palatinate,Saarland","middle vocational","364","0.953726848319022","0.932715253211762","0.974738443426282"
"No","1999","Rhineland-Palatinate,Saarland","vocational + Abi","20","","",""
"No","1999","Rhineland-Palatinate,Saarland","higher vocational","43","0.946716482812096","0.881811866541324","1.01162109908287"
"No","1999","Rhineland-Palatinate,Saarland","higher education","58","0.957131075431309","0.906710331515676","1.00755181934694"
"No","1999","Baden-Württemberg","in school","34","0.957644878813722","0.891856065878836","1.02343369174861"
"No","1999","Baden-Württemberg","inadequately","125","0.978401783396292","0.953119645572986","1.0036839212196"
"No","1999","Baden-Württemberg","general elemantary","417","0.968813917541581","0.9524418043407","0.985186030742463"
"No","1999","Baden-Württemberg","middle vocational","744","0.965202447312871","0.952316357932687","0.978088536693054"
"No","1999","Baden-Württemberg","vocational + Abi","63","0.958909551989801","0.911730099651204","1.0060890043284"
"No","1999","Baden-Württemberg","higher vocational","87","0.883616029594039","0.819466887619343","0.947765171568735"
"No","1999","Baden-Württemberg","higher education","138","0.924461024320537","0.882724375105301","0.966197673535774"
"No","1999","Bavaria","in school","19","","",""
"No","1999","Bavaria","inadequately","44","0.968526727156079","0.918612319648012","1.01844113466415"
"No","1999","Bavaria","general elemantary","362","0.969948572077265","0.952714642010203","0.987182502144328"
"No","1999","Bavaria","middle vocational","886","0.964609886904582","0.952722375881789","0.976497397927375"
"No","1999","Bavaria","vocational + Abi","59","0.970897084696388","0.929055599429028","1.01273856996375"
"No","1999","Bavaria","higher vocational","115","0.962845429288716","0.929004531327047","0.996686327250385"
"No","1999","Bavaria","higher education","189","0.952493850785363","0.923374803273248","0.981612898297478"
"No","1999","Berlin","in school","21","","",""
"No","1999","Berlin","inadequately","4","","",""
"No","1999","Berlin","general elemantary","57","0.970319375370887","0.927016577763781","1.01362217297799"
"No","1999","Berlin","middle vocational","206","0.94295807861764","0.912100525179548","0.973815632055732"
"No","1999","Berlin","vocational + Abi","17","","",""
"No","1999","Berlin","higher vocational","32","0.988632054235186","0.952461974906748","1.02480213356362"
"No","1999","Berlin","higher education","144","0.94423215614791","0.907751922006169","0.980712390289651"
"No","1999","Brandenburg","in school","17","","",""
"No","1999","Brandenburg","inadequately","2","","",""
"No","1999","Brandenburg","general elemantary","49","0.916014628601643","0.842036346966984","0.989992910236302"
"No","1999","Brandenburg","middle vocational","292","0.898440607896608","0.865082796645415","0.931798419147801"
"No","1999","Brandenburg","vocational + Abi","7","","",""
"No","1999","Brandenburg","higher vocational","40","0.930270640577681","0.854145806615378","1.00639547453999"
"No","1999","Brandenburg","higher education","142","0.929734111385038","0.888966875011604","0.970501347758472"
"No","1999","Mecklenburg-Western Pomerania","in school","10","","",""
"No","1999","Mecklenburg-Western Pomerania","inadequately","3","","",""
"No","1999","Mecklenburg-Western Pomerania","general elemantary","36","1","1","1"
"No","1999","Mecklenburg-Western Pomerania","middle vocational","208","0.931349402955436","0.898309762582237","0.964389043328634"
"No","1999","Mecklenburg-Western Pomerania","vocational + Abi","4","","",""
"No","1999","Mecklenburg-Western Pomerania","higher vocational","21","","",""
"No","1999","Mecklenburg-Western Pomerania","higher education","96","0.968754721446138","0.934309088482192","1.00320035441008"
"No","1999","Saxony","in school","29","","",""
"No","1999","Saxony","inadequately","5","","",""
"No","1999","Saxony","general elemantary","116","0.960564161404129","0.925595151175928","0.995533171632331"
"No","1999","Saxony","middle vocational","611","0.942748983874025","0.924819909458088","0.960678058289961"
"No","1999","Saxony","vocational + Abi","28","","",""
"No","1999","Saxony","higher vocational","67","0.955233032889075","0.907132219636237","1.00333384614191"
"No","1999","Saxony","higher education","227","0.940122683378755","0.910291644050527","0.969953722706984"
"No","1999","Saxony-Anhalt","in school","18","","",""
"No","1999","Saxony-Anhalt","inadequately","3","","",""
"No","1999","Saxony-Anhalt","general elemantary","74","0.91453904035607","0.85327747285158","0.97580060786056"
"No","1999","Saxony-Anhalt","middle vocational","339","0.931181000170623","0.905103555233035","0.95725844510821"
"No","1999","Saxony-Anhalt","vocational + Abi","14","","",""
"No","1999","Saxony-Anhalt","higher vocational","52","0.966063273617362","0.918210787519589","1.01391575971514"
"No","1999","Saxony-Anhalt","higher education","141","0.949157088592662","0.913884347521095","0.984429829664228"
"No","1999","Thuringia","in school","14","","",""
"No","1999","Thuringia","inadequately","2","","",""
"No","1999","Thuringia","general elemantary","66","0.950577458926898","0.900160666956283","1.00099425089751"
"No","1999","Thuringia","middle vocational","427","0.97727120944515","0.963392728178604","0.991149690711695"
"No","1999","Thuringia","vocational + Abi","10","","",""
"No","1999","Thuringia","higher vocational","37","0.927393472467517","0.846978309555556","1.00780863537948"
"No","1999","Thuringia","higher education","129","0.956664440675715","0.922189961742072","0.991138919609357"
"Yes","2000","Schleswig-Holstein","in school","","","",""
"Yes","2000","Schleswig-Holstein","inadequately","","","",""
"Yes","2000","Schleswig-Holstein","general elemantary","3","","",""
"Yes","2000","Schleswig-Holstein","middle vocational","21","","",""
"Yes","2000","Schleswig-Holstein","vocational + Abi","4","","",""
"Yes","2000","Schleswig-Holstein","higher vocational","5","","",""
"Yes","2000","Schleswig-Holstein","higher education","4","","",""
"Yes","2000","Hamburg","in school","","","",""
"Yes","2000","Hamburg","inadequately","","","",""
"Yes","2000","Hamburg","general elemantary","2","","",""
"Yes","2000","Hamburg","middle vocational","12","","",""
"Yes","2000","Hamburg","vocational + Abi","2","","",""
"Yes","2000","Hamburg","higher vocational","1","","",""
"Yes","2000","Hamburg","higher education","8","","",""
"Yes","2000","Lower Saxony","in school","","","",""
"Yes","2000","Lower Saxony","inadequately","1","","",""
"Yes","2000","Lower Saxony","general elemantary","18","","",""
"Yes","2000","Lower Saxony","middle vocational","74","0.0554681494097888","0.0422448274796401","0.0686914713399375"
"Yes","2000","Lower Saxony","vocational + Abi","13","","",""
"Yes","2000","Lower Saxony","higher vocational","4","","",""
"Yes","2000","Lower Saxony","higher education","21","","",""
"Yes","2000","Bremen","in school","","","",""
"Yes","2000","Bremen","inadequately","","","",""
"Yes","2000","Bremen","general elemantary","1","","",""
"Yes","2000","Bremen","middle vocational","6","","",""
"Yes","2000","Bremen","vocational + Abi","1","","",""
"Yes","2000","Bremen","higher vocational","","","",""
"Yes","2000","Bremen","higher education","2","","",""
"Yes","2000","North Rhine-Westphalia","in school","6","","",""
"Yes","2000","North Rhine-Westphalia","inadequately","4","","",""
"Yes","2000","North Rhine-Westphalia","general elemantary","40","0.0468854490908361","0.0322277334749257","0.0615431647067464"
"Yes","2000","North Rhine-Westphalia","middle vocational","143","0.0488659835775064","0.0406515551397592","0.0570804120152536"
"Yes","2000","North Rhine-Westphalia","vocational + Abi","38","0.109827871239698","0.0766411627387062","0.14301457974069"
"Yes","2000","North Rhine-Westphalia","higher vocational","30","0.070607530368917","0.0456589599672436","0.0955561007705904"
"Yes","2000","North Rhine-Westphalia","higher education","63","0.0986171959087363","0.0764512306684293","0.120783161149043"
"Yes","2000","Hesse","in school","","","",""
"Yes","2000","Hesse","inadequately","2","","",""
"Yes","2000","Hesse","general elemantary","9","","",""
"Yes","2000","Hesse","middle vocational","37","0.0442120481809071","0.0303599997061837","0.0580640966556305"
"Yes","2000","Hesse","vocational + Abi","7","","",""
"Yes","2000","Hesse","higher vocational","6","","",""
"Yes","2000","Hesse","higher education","25","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","general elemantary","13","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","middle vocational","46","0.0636389307982969","0.0465950654719667","0.0806827961246271"
"Yes","2000","Rhineland-Palatinate,Saarland","vocational + Abi","7","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","higher vocational","5","","",""
"Yes","2000","Rhineland-Palatinate,Saarland","higher education","9","","",""
"Yes","2000","Baden-Württemberg","in school","3","","",""
"Yes","2000","Baden-Württemberg","inadequately","","","",""
"Yes","2000","Baden-Württemberg","general elemantary","13","","",""
"Yes","2000","Baden-Württemberg","middle vocational","78","0.0494590467661126","0.0382210640550997","0.0606970294771255"
"Yes","2000","Baden-Württemberg","vocational + Abi","11","","",""
"Yes","2000","Baden-Württemberg","higher vocational","19","","",""
"Yes","2000","Baden-Württemberg","higher education","38","0.0821223112712748","0.0555469515843198","0.10869767095823"
"Yes","2000","Bavaria","in school","","","",""
"Yes","2000","Bavaria","inadequately","1","","",""
"Yes","2000","Bavaria","general elemantary","20","","",""
"Yes","2000","Bavaria","middle vocational","89","0.0427638281487162","0.0336926105270617","0.0518350457703707"
"Yes","2000","Bavaria","vocational + Abi","11","","",""
"Yes","2000","Bavaria","higher vocational","15","","",""
"Yes","2000","Bavaria","higher education","31","0.062013463596214","0.0401860153986695","0.0838409117937585"
"Yes","2000","Berlin","in school","1","","",""
"Yes","2000","Berlin","inadequately","","","",""
"Yes","2000","Berlin","general elemantary","3","","",""
"Yes","2000","Berlin","middle vocational","35","0.106531011651558","0.0747935239455959","0.13826849935752"
"Yes","2000","Berlin","vocational + Abi","2","","",""
"Yes","2000","Berlin","higher vocational","3","","",""
"Yes","2000","Berlin","higher education","16","","",""
"Yes","2000","Brandenburg","in school","","","",""
"Yes","2000","Brandenburg","inadequately","","","",""
"Yes","2000","Brandenburg","general elemantary","11","","",""
"Yes","2000","Brandenburg","middle vocational","33","0.0745007554346248","0.0518002825613175","0.0972012283079322"
"Yes","2000","Brandenburg","vocational + Abi","1","","",""
"Yes","2000","Brandenburg","higher vocational","5","","",""
"Yes","2000","Brandenburg","higher education","19","","",""
"Yes","2000","Mecklenburg-Western Pomerania","in school","1","","",""
"Yes","2000","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","2000","Mecklenburg-Western Pomerania","general elemantary","1","","",""
"Yes","2000","Mecklenburg-Western Pomerania","middle vocational","29","","",""
"Yes","2000","Mecklenburg-Western Pomerania","vocational + Abi","2","","",""
"Yes","2000","Mecklenburg-Western Pomerania","higher vocational","7","","",""
"Yes","2000","Mecklenburg-Western Pomerania","higher education","7","","",""
"Yes","2000","Saxony","in school","5","","",""
"Yes","2000","Saxony","inadequately","1","","",""
"Yes","2000","Saxony","general elemantary","8","","",""
"Yes","2000","Saxony","middle vocational","59","0.0510569183457623","0.0375088775821523","0.0646049591093724"
"Yes","2000","Saxony","vocational + Abi","8","","",""
"Yes","2000","Saxony","higher vocational","7","","",""
"Yes","2000","Saxony","higher education","33","0.0655225957265109","0.0405114194072055","0.0905337720458163"
"Yes","2000","Saxony-Anhalt","in school","4","","",""
"Yes","2000","Saxony-Anhalt","inadequately","","","",""
"Yes","2000","Saxony-Anhalt","general elemantary","5","","",""
"Yes","2000","Saxony-Anhalt","middle vocational","41","0.0688205548083399","0.0478725610648814","0.0897685485517985"
"Yes","2000","Saxony-Anhalt","vocational + Abi","5","","",""
"Yes","2000","Saxony-Anhalt","higher vocational","6","","",""
"Yes","2000","Saxony-Anhalt","higher education","20","","",""
"Yes","2000","Thuringia","in school","","","",""
"Yes","2000","Thuringia","inadequately","","","",""
"Yes","2000","Thuringia","general elemantary","","","",""
"Yes","2000","Thuringia","middle vocational","44","0.0582399288494774","0.0405329687369997","0.0759468889619551"
"Yes","2000","Thuringia","vocational + Abi","2","","",""
"Yes","2000","Thuringia","higher vocational","4","","",""
"Yes","2000","Thuringia","higher education","7","","",""
"No","2000","Schleswig-Holstein","in school","16","","",""
"No","2000","Schleswig-Holstein","inadequately","9","","",""
"No","2000","Schleswig-Holstein","general elemantary","97","0.977030882676117","0.947669642893743","1.00639212245849"
"No","2000","Schleswig-Holstein","middle vocational","371","0.950845002834209","0.929443525210522","0.972246480457896"
"No","2000","Schleswig-Holstein","vocational + Abi","35","0.918775823374942","0.833039821811421","1.00451182493846"
"No","2000","Schleswig-Holstein","higher vocational","53","0.884884509926804","0.802746481540558","0.96702253831305"
"No","2000","Schleswig-Holstein","higher education","94","0.937110610002173","0.889046691808122","0.985174528196224"
"No","2000","Hamburg","in school","4","","",""
"No","2000","Hamburg","inadequately","3","","",""
"No","2000","Hamburg","general elemantary","32","0.937979637726254","0.856907339012671","1.01905193643984"
"No","2000","Hamburg","middle vocational","139","0.927684830277469","0.886372989212643","0.968996671342296"
"No","2000","Hamburg","vocational + Abi","15","","",""
"No","2000","Hamburg","higher vocational","21","","",""
"No","2000","Hamburg","higher education","60","0.853557989233854","0.769526319685747","0.937589658781961"
"No","2000","Lower Saxony","in school","36","1","1","1"
"No","2000","Lower Saxony","inadequately","28","","",""
"No","2000","Lower Saxony","general elemantary","306","0.959635532306466","0.938205226874554","0.981065837738378"
"No","2000","Lower Saxony","middle vocational","1077","0.944531850590211","0.931308528660063","0.95775517252036"
"No","2000","Lower Saxony","vocational + Abi","108","0.89416338668061","0.83935060854427","0.948976164816949"
"No","2000","Lower Saxony","higher vocational","131","0.961564188155682","0.929134828271211","0.993993548040152"
"No","2000","Lower Saxony","higher education","217","0.922127342554256","0.888082795529733","0.956171889578778"
"No","2000","Bremen","in school","4","","",""
"No","2000","Bremen","inadequately","","","",""
"No","2000","Bremen","general elemantary","32","0.978652414872757","0.929337335761988","1.02796749398353"
"No","2000","Bremen","middle vocational","82","0.912516957453729","0.853484730605321","0.971549184302136"
"No","2000","Bremen","vocational + Abi","15","","",""
"No","2000","Bremen","higher vocational","15","","",""
"No","2000","Bremen","higher education","29","","",""
"No","2000","North Rhine-Westphalia","in school","107","0.943817164322942","0.901359643379726","0.986274685266158"
"No","2000","North Rhine-Westphalia","inadequately","147","0.975253521791167","0.950475017834714","1.00003202574762"
"No","2000","North Rhine-Westphalia","general elemantary","759","0.953114550909164","0.938456835293254","0.967772266525074"
"No","2000","North Rhine-Westphalia","middle vocational","2503","0.951134016422494","0.942919587984746","0.959348444860241"
"No","2000","North Rhine-Westphalia","vocational + Abi","303","0.890172128760302","0.85698542025931","0.923358837261294"
"No","2000","North Rhine-Westphalia","higher vocational","375","0.929392469631083","0.90444389922941","0.954341040032756"
"No","2000","North Rhine-Westphalia","higher education","632","0.901382804091264","0.879216838850957","0.923548769331571"
"No","2000","Hesse","in school","32","1","1","1"
"No","2000","Hesse","inadequately","34","0.955465810968035","0.888082679408258","1.02284894252781"
"No","2000","Hesse","general elemantary","276","0.970929068166821","0.951423936374159","0.990434199959482"
"No","2000","Hesse","middle vocational","809","0.955787951819093","0.94193590334437","0.969640000293816"
"No","2000","Hesse","vocational + Abi","102","0.917183857455342","0.865444558227216","0.968923156683468"
"No","2000","Hesse","higher vocational","95","0.953903350135907","0.913007967787344","0.994798732484469"
"No","2000","Hesse","higher education","245","0.872672002139648","0.832911332927225","0.912432671352072"
"No","2000","Rhineland-Palatinate,Saarland","in school","24","","",""
"No","2000","Rhineland-Palatinate,Saarland","inadequately","28","","",""
"No","2000","Rhineland-Palatinate,Saarland","general elemantary","285","0.962060254691054","0.940368818825158","0.983751690556951"
"No","2000","Rhineland-Palatinate,Saarland","middle vocational","742","0.936361069201703","0.919317203875373","0.953404934528033"
"No","2000","Rhineland-Palatinate,Saarland","vocational + Abi","52","0.880304826844985","0.797476870591342","0.963132783098627"
"No","2000","Rhineland-Palatinate,Saarland","higher vocational","109","0.949213111373202","0.908908630362638","0.989517592383765"
"No","2000","Rhineland-Palatinate,Saarland","higher education","140","0.935171886035064","0.895636828844401","0.974706943225728"
"No","2000","Baden-Württemberg","in school","61","0.945287604956947","0.889571217620578","1.00100399229332"
"No","2000","Baden-Württemberg","inadequately","79","1","1","1"
"No","2000","Baden-Württemberg","general elemantary","603","0.984819436174552","0.975163820044472","0.994475052304633"
"No","2000","Baden-Württemberg","middle vocational","1352","0.950540953233888","0.939302970522875","0.9617789359449"
"No","2000","Baden-Württemberg","vocational + Abi","111","0.905325751503969","0.853375632610154","0.957275870397785"
"No","2000","Baden-Württemberg","higher vocational","221","0.932313068313497","0.90053146740023","0.964094669226764"
"No","2000","Baden-Württemberg","higher education","372","0.917877688728725","0.89130232904177","0.94445304841568"
"No","2000","Bavaria","in school","47","1","1","1"
"No","2000","Bavaria","inadequately","39","0.983100394273583","0.943156048108382","1.02304474043879"
"No","2000","Bavaria","general elemantary","493","0.969831046271634","0.955029142576496","0.984632949966773"
"No","2000","Bavaria","middle vocational","1822","0.957236171851284","0.948164954229629","0.966307389472938"
"No","2000","Bavaria","vocational + Abi","136","0.935803300891554","0.896181148957023","0.975425452826085"
"No","2000","Bavaria","higher vocational","239","0.946888888971541","0.919310211478897","0.974467566464184"
"No","2000","Bavaria","higher education","438","0.937986536403786","0.916159088206242","0.95981398460133"
"No","2000","Berlin","in school","27","","",""
"No","2000","Berlin","inadequately","9","","",""
"No","2000","Berlin","general elemantary","73","0.980208625974626","0.948894627356206","1.01152262459305"
"No","2000","Berlin","middle vocational","328","0.893468988348442","0.86173150064248","0.925206476054404"
"No","2000","Berlin","vocational + Abi","35","0.946909884715779","0.874664786094589","1.01915498333697"
"No","2000","Berlin","higher vocational","68","0.943911198768202","0.89039040263406","0.997431994902344"
"No","2000","Berlin","higher education","220","0.934574169358671","0.903026041025766","0.966122297691575"
"No","2000","Brandenburg","in school","23","","",""
"No","2000","Brandenburg","inadequately","4","","",""
"No","2000","Brandenburg","general elemantary","99","0.907807364646727","0.85374479129382","0.961869937999634"
"No","2000","Brandenburg","middle vocational","481","0.925499244565375","0.902798771692068","0.948199717438682"
"No","2000","Brandenburg","vocational + Abi","20","","",""
"No","2000","Brandenburg","higher vocational","78","0.948739846022574","0.901296799578011","0.996182892467136"
"No","2000","Brandenburg","higher education","246","0.932712105842247","0.902549599289806","0.962874612394687"
"No","2000","Mecklenburg-Western Pomerania","in school","18","","",""
"No","2000","Mecklenburg-Western Pomerania","inadequately","3","","",""
"No","2000","Mecklenburg-Western Pomerania","general elemantary","42","0.977300136571047","0.932781744996587","1.02181852814551"
"No","2000","Mecklenburg-Western Pomerania","middle vocational","299","0.924984428000836","0.896477258862486","0.953491597139186"
"No","2000","Mecklenburg-Western Pomerania","vocational + Abi","6","","",""
"No","2000","Mecklenburg-Western Pomerania","higher vocational","35","0.875735798876569","0.77596969468255","0.975501903070588"
"No","2000","Mecklenburg-Western Pomerania","higher education","116","0.94609493137711","0.90618530198926","0.986004560764959"
"No","2000","Saxony","in school","31","0.909924241121347","0.816404472630413","1.00344400961228"
