"ple0160","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2002","vocational + Abi","Rural Area","222","0.910750165263064","0.874977070127038","0.94652326039909","2"
"No","2002","in school","Urban Area","315","0.939015677376146","0.913157633635839","0.964873721116453","2"
"Yes","2002","in school","Urban Area","14","","","","1"
"Yes","2002","in school","Rural Area","5","","","","1"
"Yes","2002","inadequately","Urban Area","3","","","","1"
"Yes","2002","inadequately","Rural Area","2","","","","1"
"Yes","2002","general elemantary","Urban Area","74","0.0339165066868795","0.0256857810643522","0.0421472323094068","1"
"Yes","2002","general elemantary","Rural Area","36","0.0313239565016521","0.0199055127369846","0.0427424002663196","1"
"Yes","2002","middle vocational","Urban Area","296","0.0430308254983674","0.0381217171442099","0.0479399338525249","1"
"Yes","2002","middle vocational","Rural Area","187","0.041139549011787","0.0348755825668186","0.0474035154567553","1"
"Yes","2002","vocational + Abi","Urban Area","57","0.0701592867059536","0.0523710720448382","0.0879475013670689","1"
"Yes","2002","vocational + Abi","Rural Area","22","","","","1"
"Yes","2002","higher vocational","Urban Area","46","0.0456941759151141","0.0323448795135697","0.0590434723166585","1"
"Yes","2002","higher vocational","Rural Area","24","","","","1"
"Yes","2002","higher education","Urban Area","98","0.0439097025039868","0.0348202465979035","0.0529991584100701","1"
"Yes","2002","higher education","Rural Area","45","0.0477129844341823","0.0339241050402303","0.0615018638281344","1"
"No","2003","higher vocational","Urban Area","852","0.955518545386027","0.942042039792329","0.968995050979724","2"
"No","2003","in school","Rural Area","141","0.880216582912134","0.830215005432544","0.930218160391725","2"
"No","2003","inadequately","Urban Area","189","0.970539851325705","0.946684073032317","0.994395629619092","2"
"No","2003","higher vocational","Rural Area","496","0.945700576260336","0.926371746238371","0.965029406282302","2"
"No","2003","higher education","Urban Area","1750","0.928526284932568","0.916881286194434","0.940171283670701","2"
"No","2003","higher education","Rural Area","817","0.923093189892012","0.905588345263632","0.940598034520392","2"
"No","2003","inadequately","Rural Area","58","0.990676846138073","0.966359291629351","1.0149944006468","2"
"No","2003","general elemantary","Urban Area","1717","0.962896190611378","0.954115330179904","0.971677051042852","2"
"No","2003","general elemantary","Rural Area","818","0.967649493425214","0.955817686101693","0.979481300748736","2"
"No","2003","middle vocational","Urban Area","6008","0.954731126839443","0.949611772807793","0.959850480871093","2"
"No","2003","middle vocational","Rural Area","3427","0.939719783110153","0.93202063832475","0.947418927895556","2"
"No","2003","vocational + Abi","Urban Area","727","0.940308009543395","0.923734809944243","0.956881209142546","2"
"No","2003","vocational + Abi","Rural Area","218","0.926357117013814","0.893312776987858","0.959401457039769","2"
"No","2003","in school","Urban Area","312","0.94133989444063","0.916063000767408","0.966616788113852","2"
"Yes","2003","in school","Urban Area","20","","","","1"
"Yes","2003","in school","Rural Area","21","","","","1"
"Yes","2003","inadequately","Urban Area","4","","","","1"
"Yes","2003","inadequately","Rural Area","2","","","","1"
"Yes","2003","general elemantary","Urban Area","63","0.0371038093886222","0.028322948957148","0.0458846698200964","1"
"Yes","2003","general elemantary","Rural Area","41","0.0323505065747856","0.0205186992512642","0.0441823138983069","1"
"Yes","2003","middle vocational","Urban Area","327","0.0452688731605567","0.0401495191289067","0.0503882271922068","1"
"Yes","2003","middle vocational","Rural Area","244","0.0602802168898466","0.0525810721044436","0.0679793616752496","1"
"Yes","2003","vocational + Abi","Urban Area","58","0.0596919904566054","0.0431187908574534","0.0762651900557573","1"
"Yes","2003","vocational + Abi","Rural Area","22","","","","1"
"Yes","2003","higher vocational","Urban Area","47","0.0444814546139735","0.031004949020276","0.0579579602076709","1"
"Yes","2003","higher vocational","Rural Area","32","0.0542994237396638","0.0349705937176983","0.0736282537616293","1"
"Yes","2003","higher education","Urban Area","130","0.0714737150674325","0.059828716329299","0.083118713805566","1"
"Yes","2003","higher education","Rural Area","73","0.0769068101079882","0.0594019654796081","0.0944116547363684","1"
"No","2004","in school","Rural Area","174","0.935121163365057","0.900097887864813","0.970144438865301","2"
"No","2004","general elemantary","Urban Area","1662","0.961910101024553","0.95292914585709","0.970891056192016","2"
"No","2004","higher vocational","Urban Area","982","0.943714819430142","0.929761264415112","0.957668374445171","2"
"No","2004","inadequately","Urban Area","182","0.894323342279039","0.850951661343088","0.937695023214991","2"
"No","2004","inadequately","Rural Area","59","0.994354761926746","0.975397121759286","1.01331240209421","2"
"No","2004","higher vocational","Rural Area","546","0.934672342822878","0.914682596713661","0.954662088932096","2"
"No","2004","higher education","Urban Area","2844","0.94085238107171","0.932476292884032","0.949228469259389","2"
"No","2004","higher education","Rural Area","1161","0.943223824319337","0.93035902619449","0.956088622444184","2"
"No","2004","in school","Urban Area","418","0.953631192386361","0.933960528442055","0.973301856330668","2"
"No","2004","general elemantary","Rural Area","801","0.955850907363325","0.941967180452239","0.969734634274411","2"
"No","2004","middle vocational","Urban Area","6511","0.94957042180008","0.94440334713693","0.95473749646323","2"
"No","2004","middle vocational","Rural Area","3613","0.935668579890554","0.92795674797752","0.943380411803587","2"
"No","2004","vocational + Abi","Urban Area","813","0.906150366824157","0.887023722291782","0.925277011356531","2"
"No","2004","vocational + Abi","Rural Area","241","0.899923881652128","0.863859757683709","0.935988005620547","2"
"Yes","2004","in school","Urban Area","21","","","","1"
"Yes","2004","in school","Rural Area","16","","","","1"
"Yes","2004","inadequately","Urban Area","11","","","","1"
"Yes","2004","inadequately","Rural Area","1","","","","1"
"Yes","2004","general elemantary","Urban Area","83","0.0380898989754473","0.0291089438079842","0.0470708541429105","1"
"Yes","2004","general elemantary","Rural Area","40","0.0441490926366748","0.030265365725589","0.0580328195477605","1"
"Yes","2004","middle vocational","Urban Area","379","0.0504295781999199","0.0452625035367699","0.05559665286307","1"
"Yes","2004","middle vocational","Rural Area","275","0.0643314201094463","0.0566195881964127","0.0720432520224799","1"
"Yes","2004","vocational + Abi","Urban Area","80","0.0938496331758433","0.0747229886434687","0.112976277708218","1"
"Yes","2004","vocational + Abi","Rural Area","25","","","","1"
"Yes","2004","higher vocational","Urban Area","66","0.0562851805698585","0.0423316255548293","0.0702387355848877","1"
"Yes","2004","higher vocational","Rural Area","41","0.0653276571771216","0.0453379110679042","0.0853174032863389","1"
"Yes","2004","higher education","Urban Area","203","0.0591476189282897","0.0507715307406114","0.067523707115968","1"
"Yes","2004","higher education","Rural Area","82","0.0567761756806628","0.0439113775558161","0.0696409738055095","1"
"No","2005","inadequately","Rural Area","57","1","1","1","2"
"No","2005","in school","Rural Area","194","0.981463827764976","0.962676601188422","1.00025105434153","2"
"No","2005","general elemantary","Urban Area","1546","0.950676769015488","0.940170942776571","0.961182595254406","2"
"No","2005","inadequately","Urban Area","174","0.94539037985634","0.912559740027085","0.978221019685595","2"
"No","2005","higher vocational","Urban Area","947","0.965542121668142","0.95419715182838","0.976887091507903","2"
"No","2005","higher vocational","Rural Area","524","0.94739021510475","0.928816477325323","0.965963952884178","2"
"No","2005","higher education","Rural Area","1112","0.943254805526826","0.930076751084314","0.956432859969338","2"
"No","2005","higher education","Urban Area","2781","0.938355161299348","0.929680583401038","0.947029739197659","2"
"No","2005","in school","Urban Area","424","0.956243015577901","0.937258982066083","0.975227049089718","2"
"No","2005","general elemantary","Rural Area","715","0.943549000949523","0.927151645602641","0.959946356296406","2"
"No","2005","middle vocational","Urban Area","6156","0.95101970446446","0.945776101779673","0.956263307149247","2"
"No","2005","middle vocational","Rural Area","3467","0.946774575920296","0.939523723635541","0.954025428205051","2"
"No","2005","vocational + Abi","Urban Area","806","0.921641737317983","0.903753728162838","0.939529746473129","2"
"No","2005","vocational + Abi","Rural Area","237","0.884082537124861","0.845245268675351","0.922919805574372","2"
"Yes","2005","in school","Urban Area","22","","","","1"
"Yes","2005","in school","Rural Area","4","","","","1"
"Yes","2005","inadequately","Urban Area","10","","","","1"
"Yes","2005","inadequately","Rural Area","","","","","1"
"Yes","2005","general elemantary","Urban Area","86","0.0493232309845115","0.0388174047455944","0.0598290572234286","1"
"Yes","2005","general elemantary","Rural Area","46","0.0564509990504765","0.0400536437035937","0.0728483543973593","1"
"Yes","2005","middle vocational","Urban Area","352","0.0489802955355399","0.0437366928507529","0.0542238982203269","1"
"Yes","2005","middle vocational","Rural Area","215","0.0532254240797044","0.0459745717949494","0.0604762763644594","1"
"Yes","2005","vocational + Abi","Urban Area","61","0.0783582626820169","0.0604702535268715","0.0962462718371623","1"
"Yes","2005","vocational + Abi","Rural Area","24","","","","1"
"Yes","2005","higher vocational","Urban Area","46","0.0344578783318583","0.0231129084920969","0.0458028481716197","1"
"Yes","2005","higher vocational","Rural Area","31","0.0526097848952498","0.0340360471158225","0.0711835226746772","1"
"Yes","2005","higher education","Urban Area","172","0.0616448387006515","0.0529702608023411","0.070319416598962","1"
"Yes","2005","higher education","Rural Area","72","0.056745194473174","0.043567140030662","0.0699232489156861","1"
"No","2006","in school","Rural Area","111","0.936827932133937","0.893301814630911","0.980354049636964","2"
"No","2006","inadequately","Urban Area","174","0.979414119833862","0.958436333498959","1.00039190616877","2"
"No","2006","inadequately","Rural Area","63","0.993176369830678","0.97300761747887","1.01334512218249","2"
"No","2006","general elemantary","Urban Area","1573","0.95992919612326","0.950451587559665","0.969406804686856","2"
"No","2006","higher education","Rural Area","1253","0.959482025768077","0.948796731112691","0.970167320423464","2"
"No","2006","higher vocational","Urban Area","989","0.960246383927952","0.948337598193798","0.972155169662106","2"
"No","2006","higher vocational","Rural Area","571","0.944526137664318","0.92636118100429","0.962691094324346","2"
"No","2006","higher education","Urban Area","3081","0.942343148650242","0.934335544534007","0.950350752766477","2"
"No","2006","in school","Urban Area","257","0.959014697805147","0.935453881058368","0.982575514551925","2"
"No","2006","general elemantary","Rural Area","804","0.966069711315802","0.953840736357456","0.978298686274147","2"
"No","2006","middle vocational","Urban Area","6730","0.95841441449781","0.953744631676747","0.963084197318874","2"
"No","2006","middle vocational","Rural Area","3829","0.952980501559389","0.946445035381333","0.959515967737445","2"
"No","2006","vocational + Abi","Urban Area","870","0.947165087266639","0.932733284714446","0.961596889818832","2"
"No","2006","vocational + Abi","Rural Area","268","0.889415788715359","0.853505966038732","0.925325611391987","2"
"Yes","2006","in school","Urban Area","15","","","","1"
"Yes","2006","in school","Rural Area","9","","","","1"
"Yes","2006","inadequately","Urban Area","2","","","","1"
"Yes","2006","inadequately","Rural Area","1","","","","1"
"Yes","2006","general elemantary","Urban Area","72","0.0400708038767397","0.0305931953131444","0.049548412440335","1"
"Yes","2006","general elemantary","Rural Area","38","0.0339302886841985","0.0217013137258531","0.0461592636425439","1"
"Yes","2006","middle vocational","Urban Area","291","0.0415855855021898","0.0369158026811261","0.0462553683232536","1"
"Yes","2006","middle vocational","Rural Area","201","0.0470194984406112","0.0404840322625554","0.0535549646186669","1"
"Yes","2006","vocational + Abi","Urban Area","53","0.0528349127333611","0.0384031101811684","0.0672667152855538","1"
"Yes","2006","vocational + Abi","Rural Area","25","","","","1"
"Yes","2006","higher vocational","Urban Area","45","0.0397536160720478","0.0278448303378937","0.0516624018062018","1"
"Yes","2006","higher vocational","Rural Area","39","0.0554738623356821","0.0373089056756541","0.0736388189957101","1"
"Yes","2006","higher education","Urban Area","174","0.0576568513497579","0.0496492472335227","0.065664455465993","1"
"Yes","2006","higher education","Rural Area","55","0.0405179742319226","0.0298326795765358","0.0512032688873094","1"
"No","2007","in school","Urban Area","217","0.96488246315905","0.940722576674916","0.989042349643185","2"
"No","2007","in school","Rural Area","105","0.937715534505799","0.893156651492718","0.98227441751888","2"
"No","2007","inadequately","Urban Area","147","0.963554877347107","0.933665452888358","0.993444301805856","2"
"No","2007","inadequately","Rural Area","63","0.902724619251963","0.831232983115407","0.974216255388519","2"
"No","2007","general elemantary","Urban Area","1390","0.95621209139414","0.945705241393723","0.966718941394557","2"
"No","2007","higher education","Rural Area","1171","0.944230281315272","0.931524225918609","0.956936336711935","2"
"No","2007","higher vocational","Urban Area","908","0.959060226843881","0.946446611622423","0.971673842065338","2"
"No","2007","higher vocational","Rural Area","538","0.923820600406739","0.902080443683641","0.945560757129837","2"
"No","2007","higher education","Urban Area","2958","0.947866234982102","0.940056049131416","0.955676420832789","2"
"No","2007","general elemantary","Rural Area","711","0.951191076819384","0.935718827621922","0.966663326016846","2"
"No","2007","middle vocational","Urban Area","6188","0.95178883013108","0.946584056753475","0.956993603508685","2"
"No","2007","middle vocational","Rural Area","3533","0.936389371976233","0.928593608029665","0.9441851359228","2"
"No","2007","vocational + Abi","Urban Area","826","0.949571327982337","0.935088583899871","0.964054072064803","2"
"No","2007","vocational + Abi","Rural Area","266","0.954842225465473","0.930776600299929","0.978907850631018","2"
"Yes","2007","in school","Urban Area","6","","","","1"
"Yes","2007","in school","Rural Area","8","","","","1"
"Yes","2007","inadequately","Urban Area","4","","","","1"
"Yes","2007","inadequately","Rural Area","3","","","","1"
"Yes","2007","general elemantary","Urban Area","67","0.0437879086058603","0.0332810586054434","0.0542947586062773","1"
"Yes","2007","general elemantary","Rural Area","34","0.0488089231806161","0.0333366739831544","0.0642811723780777","1"
"Yes","2007","middle vocational","Urban Area","319","0.0482111698689196","0.0430063964913146","0.0534159432465246","1"
"Yes","2007","middle vocational","Rural Area","232","0.0636106280237674","0.0558148640771999","0.071406391970335","1"
"Yes","2007","vocational + Abi","Urban Area","51","0.0504286720176628","0.0359459279351967","0.0649114161001289","1"
"Yes","2007","vocational + Abi","Rural Area","20","","","","1"
"Yes","2007","higher vocational","Urban Area","40","0.0409397731561194","0.0283261579346621","0.0535533883775767","1"
"Yes","2007","higher vocational","Rural Area","34","0.0761793995932608","0.0544392428701629","0.0979195563163586","1"
"Yes","2007","higher education","Urban Area","154","0.0521337650178976","0.044323579167211","0.0599439508685842","1"
"Yes","2007","higher education","Rural Area","82","0.0557697186847282","0.0430636632880654","0.068475774081391","1"
"No","2008","in school","Urban Area","227","0.968597736554219","0.946347005171917","0.990848467936522","2"
"No","2008","in school","Rural Area","110","0.881340714340175","0.822992191113666","0.939689237566685","2"
"No","2008","inadequately","Urban Area","133","0.977935876159668","0.953248372950064","1.00262337936927","2"
"No","2008","inadequately","Rural Area","49","0.927552033879187","0.856406893133262","0.998697174625112","2"
"No","2008","general elemantary","Urban Area","1294","0.965361319806806","0.955595922710622","0.97512671690299","2"
"No","2008","higher vocational","Urban Area","853","0.962001933041464","0.949426865326814","0.974577000756114","2"
"No","2008","higher vocational","Rural Area","506","0.945204983221737","0.925829894956763","0.964580071486711","2"
"No","2008","higher education","Urban Area","2852","0.953820037402561","0.946302385673269","0.961337689131853","2"
"No","2008","higher education","Rural Area","1126","0.922694964480694","0.907602914158461","0.937787014802928","2"
"No","2008","general elemantary","Rural Area","651","0.94480998023867","0.927722086132081","0.961897874345259","2"
"No","2008","middle vocational","Urban Area","5871","0.955163929052557","0.950004023837346","0.960323834267768","2"
"No","2008","middle vocational","Rural Area","3407","0.952426801188711","0.945465716649404","0.959387885728018","2"
"No","2008","vocational + Abi","Urban Area","763","0.92989695060735","0.912464021993958","0.947329879220742","2"
"No","2008","vocational + Abi","Rural Area","260","0.976778573263616","0.958913315799191","0.99464383072804","2"
"Yes","2008","general elemantary","Urban Area","53","0.034638680193194","0.0248732830970098","0.0444040772893783","1"
"Yes","2008","general elemantary","Rural Area","35","0.0551900197613302","0.0381021256547413","0.0722779138679191","1"
"Yes","2008","middle vocational","Urban Area","308","0.0448360709474431","0.0396761657322317","0.0499959761626544","1"
"Yes","2008","middle vocational","Rural Area","185","0.0475731988112888","0.040612114271982","0.0545342833505956","1"
"Yes","2008","vocational + Abi","Urban Area","61","0.07010304939265","0.052670120779258","0.0875359780060419","1"
"Yes","2008","in school","Urban Area","9","","","","1"
"Yes","2008","in school","Rural Area","8","","","","1"
"Yes","2008","inadequately","Urban Area","3","","","","1"
"Yes","2008","inadequately","Rural Area","2","","","","1"
"Yes","2008","vocational + Abi","Rural Area","13","","","","1"
"Yes","2008","higher vocational","Urban Area","35","0.037998066958536","0.0254229992438859","0.0505731346731861","1"
"Yes","2008","higher vocational","Rural Area","24","","","","1"
"Yes","2008","higher education","Urban Area","142","0.0461799625974394","0.0386623108681473","0.0536976143267315","1"
"Yes","2008","higher education","Rural Area","77","0.0773050355193055","0.0622129851970719","0.0923970858415392","1"
"No","2009","in school","Urban Area","212","0.980686716136068","0.962459546235465","0.998913886036671","2"
"No","2009","in school","Rural Area","89","0.948644617247639","0.903542291641217","0.993746942854062","2"
"No","2009","inadequately","Urban Area","125","0.990606653974269","0.97376349300027","1.00744981494827","2"
"No","2009","inadequately","Rural Area","43","1","1","1","2"
"No","2009","general elemantary","Urban Area","1168","0.971458719070274","0.962057082199219","0.980860355941329","2"
"No","2009","higher vocational","Urban Area","793","0.959968603191538","0.946551151154742","0.973386055228334","2"
"No","2009","higher vocational","Rural Area","494","0.961759254335092","0.94521224152148","0.978306267148705","2"
"No","2009","higher education","Urban Area","2724","0.948637062066522","0.940531617518326","0.956742506614718","2"
"No","2009","higher education","Rural Area","1131","0.938167393261478","0.924517431132834","0.951817355390121","2"
"No","2009","general elemantary","Rural Area","580","0.937181772266821","0.917863577721143","0.956499966812498","2"
"No","2009","middle vocational","Urban Area","5440","0.960277447391403","0.955196062438498","0.965358832344309","2"
"No","2009","middle vocational","Rural Area","3298","0.959835994009186","0.953265196881882","0.96640679113649","2"
"No","2009","vocational + Abi","Urban Area","706","0.94713073657159","0.93107296511216","0.963188508031019","2"
"No","2009","vocational + Abi","Rural Area","243","0.912348057155909","0.877774618326741","0.946921495985077","2"
"Yes","2009","general elemantary","Urban Area","37","0.0285412809297262","0.0191396440586715","0.0379429178007809","1"
"Yes","2009","general elemantary","Rural Area","26","","","","1"
"Yes","2009","middle vocational","Urban Area","235","0.0397225526085968","0.0346411676556915","0.0448039375615021","1"
"Yes","2009","middle vocational","Rural Area","132","0.0401640059908139","0.0335932088635098","0.046734803118118","1"
"Yes","2009","vocational + Abi","Urban Area","40","0.0528692634284103","0.0368114919689809","0.0689270348878397","1"
"Yes","2009","in school","Urban Area","7","","","","1"
"Yes","2009","in school","Rural Area","3","","","","1"
"Yes","2009","inadequately","Urban Area","1","","","","1"
"Yes","2009","inadequately","Rural Area","","","","","1"
"Yes","2009","vocational + Abi","Rural Area","14","","","","1"
"Yes","2009","higher vocational","Urban Area","27","","","","1"
"Yes","2009","higher vocational","Rural Area","22","","","","1"
"Yes","2009","higher education","Urban Area","125","0.0513629379334778","0.0432574933852815","0.0594683824816741","1"
"Yes","2009","higher education","Rural Area","65","0.061832606738522","0.0481826446098785","0.0754825688671655","1"
"No","2010","in school","Urban Area","199","0.970114468118766","0.946691492970137","0.993537443267396","2"
"No","2010","in school","Rural Area","66","0.93117144313322","0.871437291248608","0.990905595017832","2"
"No","2010","inadequately","Urban Area","104","0.969400814287642","0.936767376514771","1.00203425206051","2"
"No","2010","inadequately","Rural Area","32","0.995538225510372","0.973135987314401","1.01794046370634","2"
"No","2010","general elemantary","Urban Area","1074","0.97584777461442","0.966804121517165","0.984891427711674","2"
"No","2010","higher vocational","Urban Area","758","0.959135573231968","0.945242014712811","0.973029131751124","2"
"No","2010","higher vocational","Rural Area","463","0.970120806029201","0.954889932195363","0.985351679863039","2"
